x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.5645065,0.38246593,-0.5818556,0.99976164,0.58606505,0.36269075,-0.56091166,0.9993999,0.54882896,0.364958,-0.56056756,0.9995024,0.6037113,0.37772948,-0.39759505,0.99922967,0.5389071,0.38250342,-0.39325884,0.9994777,0.5801482,0.40929717,-0.517923,0.9999399,0.5521936,0.41023687,-0.51659745,0.9999453,0.66976345,0.531139,-0.26104224,0.9998723,0.49031916,0.5245905,-0.2838242,0.9998698,0.6955489,0.72822374,-0.17036201,0.99448544,0.46349686,0.7144259,-0.22641489,0.9913605,0.6807779,0.8908209,-0.31529486,0.9542506,0.4712924,0.8820005,-0.37542263,0.9389034,0.63025695,0.86900395,0.008074147,0.9799788,0.5265026,0.87605226,-0.007431779,0.97469,0.6222166,1.1252522,0.0096547045,0.60448694,0.5182992,1.1210239,0.053546757,0.35395083,0.62018263,1.314652,0.46012717,0.041048925,0.5230149,1.3184152,0.41113147,0.021336569,0.6208695,1.3465222,0.49408406,0.037153624,0.52356774,1.3498218,0.43916684,0.025793195,idle
0.57792145,0.3831567,-0.50155234,0.99977034,0.5981288,0.36345908,-0.47833174,0.9994249,0.56402546,0.36496982,-0.4816553,0.999523,0.61625636,0.37816003,-0.3059386,0.9992403,0.55183095,0.38030767,-0.32008713,0.9995005,0.5900627,0.41036472,-0.4340639,0.9999392,0.5656394,0.410482,-0.4380556,0.99994504,0.674778,0.5288815,-0.15928295,0.9998763,0.5051319,0.5226856,-0.22843003,0.9998717,0.70019644,0.7245622,-0.040402334,0.994088,0.46987256,0.7087461,-0.18801378,0.9915845,0.6974786,0.88567066,-0.1722658,0.9569351,0.47587037,0.87321484,-0.33446386,0.94102675,0.6399932,0.87760264,0.008804118,0.98106754,0.5322781,0.8818543,-0.008100364,0.9761588,0.6252612,1.1293374,0.024460267,0.5916006,0.5233594,1.1239612,0.12837398,0.34086365,0.62080985,1.3321348,0.39544952,0.04069152,0.5237788,1.329695,0.4970471,0.021117216,0.6209431,1.3671519,0.4216168,0.036668483,0.5238841,1.3620646,0.527722,0.025202304,idle
0.58474636,0.38679233,-0.52416,0.99978256,0.60527664,0.3663774,-0.5023869,0.99945545,0.57208574,0.36641747,-0.50404674,0.9995499,0.62581974,0.3821758,-0.33452663,0.9992672,0.5595404,0.38032827,-0.34139892,0.99952865,0.5955249,0.41492245,-0.45843515,0.99994045,0.57259023,0.4142375,-0.460385,0.9999468,0.6793934,0.5287737,-0.19232482,0.9998799,0.5140258,0.5220553,-0.23721015,0.9998754,0.70808303,0.72503716,-0.07220118,0.99409693,0.47420827,0.7028119,-0.18595812,0.9918374,0.7070131,0.8860087,-0.18987335,0.95987517,0.4797429,0.8655871,-0.32639235,0.943301,0.64563966,0.8799013,0.007822649,0.98198944,0.5374611,0.8819104,-0.007144452,0.9774664,0.62831753,1.1305783,0.023861099,0.5789779,0.52536684,1.1244124,0.12858546,0.33119085,0.62197036,1.3373985,0.3700831,0.040762212,0.52454156,1.3338369,0.48085672,0.021742662,0.62145466,1.3723598,0.39519113,0.03653169,0.52468723,1.3660022,0.5099781,0.02518913,idle
0.5881097,0.39139864,-0.5350367,0.99979025,0.6088222,0.37242702,-0.5128833,0.99947464,0.5771543,0.37067398,-0.51399195,0.9995661,0.6304738,0.3879406,-0.3412255,0.99928135,0.56607187,0.3810844,-0.3461545,0.99954355,0.59844834,0.41928306,-0.46832475,0.9999411,0.57643545,0.41727912,-0.46967405,0.9999475,0.6828916,0.5288831,-0.19523951,0.9998818,0.5200454,0.52215517,-0.2320995,0.99987453,0.7116467,0.72508943,-0.07173721,0.9940525,0.4793864,0.7023971,-0.18172148,0.9919181,0.71421266,0.8861241,-0.20329252,0.96259075,0.48303285,0.8599885,-0.3372716,0.94572866,0.64847726,0.8836418,0.0053759306,0.9825306,0.54023284,0.88390577,-0.004694706,0.9780753,0.6297685,1.1343131,0.0037761338,0.5636245,0.52545285,1.125627,0.11865626,0.31962892,0.6231162,1.340155,0.37225574,0.04027165,0.52548045,1.335493,0.49388137,0.022302909,0.6219866,1.3737718,0.39991504,0.0357479,0.52588475,1.3669782,0.52534163,0.025212156,idle
0.59224,0.39227903,-0.53612876,0.99979603,0.6128551,0.3746393,-0.51599354,0.99948967,0.58207744,0.37264532,-0.51867497,0.99957377,0.635159,0.3904814,-0.34851244,0.9992943,0.5722719,0.38213062,-0.34660265,0.9995409,0.6027601,0.4197917,-0.47400743,0.9999418,0.5811787,0.4173718,-0.47560987,0.99994725,0.68664026,0.52907866,-0.20547235,0.99988407,0.5257813,0.5221819,-0.22549999,0.9998712,0.7168329,0.72550166,-0.08688116,0.993969,0.48703545,0.70033556,-0.16894603,0.9915963,0.7193685,0.8877304,-0.21937296,0.96440434,0.48340255,0.85619915,-0.3371023,0.9453896,0.65220743,0.88510245,-0.0052286335,0.9826587,0.5436432,0.8851871,0.005889414,0.97800756,0.63679993,1.1357085,-0.0072776666,0.54915464,0.5330285,1.1259799,0.16421098,0.30613095,0.63256145,1.3389714,0.39057335,0.041863058,0.53551567,1.3345119,0.59903276,0.023723982,0.6313022,1.371847,0.42045078,0.036222324,0.5366243,1.3659198,0.63692725,0.027180335,idle
0.59727764,0.393777,-0.5440176,0.99980557,0.6170207,0.37709302,-0.5192229,0.9995169,0.5857717,0.37527567,-0.52257353,0.9995933,0.63835704,0.39295024,-0.34915644,0.99932694,0.57435536,0.38465825,-0.3500408,0.9995578,0.6071862,0.4212835,-0.47600722,0.9999441,0.5853456,0.41891184,-0.47626847,0.9999488,0.68942654,0.53120667,-0.1975973,0.9998888,0.5270907,0.52261215,-0.23218957,0.99987084,0.7190509,0.7267287,-0.07097711,0.9939534,0.48947373,0.7007628,-0.17825349,0.99140406,0.7290667,0.88819295,-0.21617739,0.96596545,0.4834045,0.85687834,-0.35585454,0.94570655,0.65201557,0.8875334,-0.0038911519,0.9829622,0.54237694,0.8867102,0.0045747133,0.9779539,0.6368298,1.141333,-0.0042957324,0.5249593,0.5319547,1.1278172,0.15107283,0.28876662,0.6323758,1.3452859,0.3976768,0.040967394,0.534577,1.3362789,0.5784246,0.02339664,0.63101465,1.3778841,0.42771703,0.035205472,0.5354371,1.3672603,0.61479217,0.026836606,idle
0.5989103,0.39783758,-0.5551907,0.99981654,0.6178418,0.3813431,-0.5309173,0.99954605,0.58725893,0.37913606,-0.53308827,0.9996148,0.63885915,0.39695865,-0.35175794,0.9993654,0.5765327,0.38814604,-0.3523656,0.9995785,0.6092208,0.42430398,-0.4819092,0.99994695,0.5871009,0.42155185,-0.48228687,0.999951,0.6907891,0.53177154,-0.19988568,0.9998946,0.5283297,0.5231625,-0.23687157,0.99987257,0.7201909,0.7267498,-0.06906535,0.9939512,0.49232754,0.70122653,-0.18091524,0.991226,0.7312426,0.8886815,-0.2124826,0.96735835,0.483718,0.85772854,-0.3726889,0.94545674,0.6510545,0.890152,-0.003033369,0.9826451,0.54171574,0.8878838,0.0037117084,0.9768649,0.63607365,1.1444467,-0.007579013,0.50378156,0.5313076,1.1284374,0.16199614,0.2728714,0.6308116,1.3471414,0.3978619,0.040160887,0.5332974,1.336127,0.6071171,0.023001835,0.62832004,1.3794373,0.42800093,0.034481484,0.53345305,1.3669425,0.6454833,0.026718177,idle
0.5982402,0.40042067,-0.5806148,0.99982613,0.6171945,0.3842574,-0.56020194,0.99957067,0.5867097,0.38173547,-0.5610522,0.99963456,0.63760495,0.40085438,-0.3821821,0.9993967,0.57760435,0.39034513,-0.3819964,0.9995973,0.60915756,0.42658466,-0.509262,0.99994874,0.5862781,0.42355305,-0.50926507,0.99995273,0.69047993,0.53270745,-0.21985574,0.9998978,0.52859485,0.5234149,-0.2645669,0.9998747,0.71976227,0.7271946,-0.072125226,0.99386364,0.4928534,0.7014513,-0.20918961,0.99104583,0.7325716,0.88870883,-0.22135119,0.9681062,0.48405275,0.85782844,-0.37966177,0.9445172,0.65018356,0.889959,-0.0024514478,0.9814198,0.54124033,0.88814,0.0031323992,0.9748851,0.63548636,1.1442778,-0.019658763,0.4884099,0.5310348,1.1279866,0.1621703,0.26038867,0.63033545,1.3461107,0.35300118,0.040412273,0.53292716,1.3350749,0.59112364,0.023219224,0.62821066,1.3780347,0.37971273,0.0347204,0.53300446,1.3647411,0.62809634,0.027457725,idle
0.59726393,0.40327016,-0.5348369,0.9998395,0.61675084,0.38691172,-0.51548535,0.9996041,0.5860348,0.38407868,-0.51560134,0.99966246,0.6366655,0.40401137,-0.34382182,0.9994419,0.5775489,0.3924568,-0.34308305,0.99962795,0.6087928,0.4293023,-0.46665078,0.9999522,0.5854219,0.42586416,-0.46634626,0.999956,0.69002616,0.5335764,-0.19297001,0.9999055,0.5279375,0.5237202,-0.23480198,0.9998826,0.7191065,0.7276572,-0.061977107,0.9940727,0.49106604,0.70165384,-0.18604843,0.9913468,0.7302314,0.8886875,-0.2035394,0.9700897,0.48382425,0.8582355,-0.35016522,0.94695294,0.64960897,0.8910683,-0.0019658837,0.9819774,0.5407396,0.8897342,0.0027247062,0.9755272,0.635094,1.1453347,-0.027004134,0.4798863,0.531205,1.128342,0.1510649,0.25246572,0.6302537,1.347974,0.33629826,0.04081262,0.5327555,1.3353343,0.5380143,0.023337597,0.6279054,1.3792757,0.36288303,0.035316106,0.53261864,1.3646842,0.57112515,0.02730171,idle
0.59599936,0.40555546,-0.4475801,0.9998501,0.61567503,0.3884147,-0.42822567,0.9996313,0.5849118,0.3859033,-0.4276,0.99968505,0.6355418,0.40522212,-0.27099624,0.99947864,0.5768816,0.39416543,-0.2666588,0.9996538,0.6077479,0.4306375,-0.38601947,0.9999548,0.58440626,0.42730722,-0.38462168,0.99995846,0.689762,0.5344394,-0.14192979,0.99991184,0.5276793,0.52476317,-0.18440212,0.9998883,0.71850806,0.7276491,-0.027175952,0.9942483,0.49105287,0.7029516,-0.16235854,0.9915664,0.7274453,0.88695717,-0.15550467,0.97228247,0.48365217,0.85861796,-0.3343226,0.9499117,0.64902145,0.89233965,-0.00054538564,0.9832303,0.5403491,0.8907002,0.0013405092,0.9772022,0.6330367,1.1447941,-0.024439678,0.4753009,0.53079474,1.1281533,0.14844896,0.24780002,0.6265696,1.3470376,0.3183519,0.040384952,0.5314495,1.3344162,0.5329605,0.023138499,0.6242175,1.3784705,0.3420797,0.03541335,0.5312553,1.3629365,0.56445384,0.026764082,idle
