x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.49546546,0.11382406,-0.45495662,0.9999862,0.5148076,0.091710806,-0.42944127,0.99996567,0.479258,0.08800852,-0.42616588,0.99994886,0.5309668,0.1048955,-0.2615428,0.999972,0.4648114,0.09793544,-0.24877767,0.9999465,0.50726247,0.14080805,-0.3916554,0.99999535,0.48125687,0.1379913,-0.38778758,0.9999919,0.5889558,0.26873237,-0.16462554,0.99997854,0.40833092,0.2542709,-0.11604197,0.9998839,0.62191415,0.44136012,-0.10138996,0.9969709,0.37645727,0.4154618,-0.070775114,0.9602207,0.6403878,0.57172775,-0.30032668,0.99503136,0.35210234,0.55227154,-0.2942898,0.944555,0.54216135,0.60517627,-0.016444355,0.99931455,0.44454747,0.5983181,0.016753523,0.99908435,0.5373618,0.85079455,-0.04562935,0.9885279,0.43788558,0.85164744,0.05706633,0.967009,0.5190314,1.0036485,0.30761525,0.90555805,0.44204998,1.0286558,0.4287366,0.8356695,0.504332,1.0632355,0.3295892,0.6709155,0.45257092,1.0542232,0.456106,0.684625,idle
0.49968243,0.11375273,-0.39295673,0.9999857,0.5182448,0.09175207,-0.36664626,0.9999648,0.48330003,0.088013105,-0.36596498,0.9999479,0.5345825,0.10515917,-0.20620973,0.9999704,0.46925443,0.09851026,-0.2054419,0.99994385,0.51175344,0.14150882,-0.3334347,0.99999464,0.4869759,0.13923447,-0.33262113,0.99999094,0.58982277,0.26504466,-0.11863001,0.9999783,0.41605106,0.25445998,-0.09724717,0.9998824,0.62284493,0.43203217,-0.04389817,0.99689907,0.3825888,0.42092612,-0.07015544,0.96135837,0.63972396,0.57013214,-0.22680159,0.9950494,0.35887247,0.5527027,-0.29165167,0.945684,0.544906,0.6068762,-0.009186984,0.9992041,0.4477786,0.5990828,0.009491486,0.9990189,0.53828657,0.85283375,0.012909256,0.9869313,0.4465539,0.85729194,0.02358855,0.96658915,0.51881045,1.0040928,0.34373826,0.9031064,0.45300356,1.0399926,0.2747127,0.83499265,0.50587857,1.0181459,0.36485785,0.66857624,0.46069804,1.0643152,0.28930777,0.6723088,idle
0.50043756,0.1136472,-0.357241,0.99998546,0.51943314,0.0917718,-0.33089697,0.99996454,0.48397225,0.08799948,-0.3291188,0.9999473,0.5357304,0.10539559,-0.17439234,0.9999694,0.4698537,0.09905885,-0.16926584,0.99994123,0.5129943,0.14188121,-0.2996229,0.99999404,0.48777828,0.13981514,-0.29754692,0.99999,0.58992034,0.26345888,-0.09539701,0.99997824,0.41798443,0.2544416,-0.07108202,0.9998791,0.62284064,0.4294821,-0.032981165,0.99682295,0.38465384,0.4208694,-0.059664287,0.9618326,0.6393413,0.56941384,-0.21904714,0.99511766,0.36204702,0.5520521,-0.282207,0.9462405,0.5462794,0.60804653,-0.005081602,0.99910945,0.44956812,0.6002432,0.005360247,0.9989468,0.5383786,0.857139,-6.5477843e-06,0.9846721,0.45061892,0.86384666,0.00988323,0.9647502,0.51749027,1.0041044,0.33929342,0.89715874,0.4565745,1.0467106,0.25815108,0.82899004,0.50586766,1.0369419,0.3563481,0.6621544,0.46296436,1.0706754,0.2727592,0.6536398,idle
0.5002931,0.11364549,-0.36197895,0.9999853,0.51944095,0.09186981,-0.3359592,0.99996436,0.4838391,0.08811048,-0.33362347,0.9999466,0.53562385,0.10571394,-0.17889228,0.99996865,0.4697205,0.10056857,-0.17085645,0.99993885,0.5128673,0.14233585,-0.3038122,0.99999356,0.48750964,0.14074135,-0.30097142,0.99998903,0.5898023,0.26197305,-0.0961387,0.9999784,0.41862798,0.2544419,-0.070161805,0.999875,0.622408,0.4253423,-0.029885476,0.9967087,0.38621476,0.4208183,-0.06059132,0.96176803,0.6392522,0.56792074,-0.21118824,0.9951363,0.36599213,0.5515737,-0.28910837,0.94598746,0.5470291,0.6082986,-0.005402589,0.9990651,0.4504835,0.6002759,0.005681914,0.99890393,0.53873074,0.85707015,0.0016572761,0.9831279,0.4520809,0.86330545,0.019778738,0.9632957,0.51749486,1.0041077,0.33502483,0.89386714,0.4582808,1.0031737,0.2960264,0.8244548,0.5066455,1.0455998,0.34858802,0.6568813,0.46471962,1.0696741,0.31293386,0.6401174,idle
0.50019777,0.113600105,-0.36151093,0.99998486,0.51941955,0.09187208,-0.3349126,0.99996364,0.48379144,0.088111185,-0.33374783,0.9999455,0.5355265,0.10585633,-0.17494482,0.99996734,0.46963578,0.10132917,-0.17203602,0.99993634,0.5127414,0.14272009,-0.3022036,0.9999929,0.48731714,0.14135846,-0.30088502,0.999988,0.5896032,0.2607417,-0.08821247,0.99997836,0.4183596,0.25476968,-0.0744461,0.999871,0.62240136,0.4228011,-0.017601084,0.996595,0.38680238,0.4210125,-0.07859266,0.96162784,0.63909394,0.5666166,-0.194089,0.995147,0.36875647,0.5503393,-0.32594255,0.9458086,0.5474035,0.6096789,-0.0029310244,0.9990161,0.45082206,0.6014015,0.003179709,0.9988597,0.5389646,0.8572269,0.0068838047,0.9814563,0.45362276,0.8639554,0.023519874,0.96121794,0.51752746,1.0059329,0.3302368,0.89049995,0.46169025,1.0043815,0.28973618,0.81930757,0.50727993,1.0169941,0.34689212,0.65090734,0.46672168,1.0722908,0.30586368,0.62510425,idle
0.5001044,0.11327505,-0.36404532,0.99998474,0.5193738,0.09178383,-0.33701456,0.99996346,0.48370773,0.08805124,-0.33610696,0.9999454,0.5354811,0.10585459,-0.17715624,0.99996656,0.46955758,0.101531595,-0.17549367,0.9999353,0.5126833,0.14272061,-0.30499262,0.99999255,0.48718867,0.1414023,-0.30403197,0.9999875,0.58918566,0.25913724,-0.09210775,0.9999787,0.41831613,0.25482085,-0.07582629,0.9998691,0.62245977,0.4210473,-0.019788768,0.9965614,0.38649583,0.42127135,-0.077666625,0.96240395,0.6390721,0.56603146,-0.19695905,0.9952266,0.3689757,0.5508518,-0.31904516,0.9466496,0.54823637,0.6103458,-0.003423772,0.9989804,0.4512268,0.6021952,0.003677237,0.99881625,0.5393132,0.8579589,7.960625e-05,0.9802229,0.454199,0.8647067,0.022088056,0.9600445,0.5176077,1.0074278,0.30841902,0.8881972,0.46199507,0.9950521,0.28659216,0.8144863,0.50839126,1.050855,0.3243429,0.64655894,0.46737456,1.0716683,0.30315867,0.61269283,idle
0.5000348,0.11285353,-0.3711995,0.99998444,0.519334,0.09165488,-0.344989,0.99996287,0.48362288,0.08796765,-0.34359717,0.99994445,0.5354334,0.10585049,-0.1860023,0.9999654,0.46947432,0.10153932,-0.1823614,0.999933,0.51260984,0.14265446,-0.3122766,0.9999921,0.48707676,0.14137036,-0.3107294,0.9999867,0.58875304,0.25779378,-0.10077928,0.9999788,0.41846442,0.25482032,-0.07854287,0.99986684,0.62245387,0.41853467,-0.030016169,0.99650633,0.3864511,0.42125636,-0.07662514,0.96269226,0.6388233,0.5638697,-0.21053538,0.995249,0.36910364,0.55009025,-0.3095293,0.947108,0.5482038,0.6102874,-0.0038702334,0.9989397,0.45123285,0.60215515,0.004133063,0.9987808,0.53949136,0.8564448,0.014425494,0.97900677,0.45416054,0.8641137,0.023944762,0.9592187,0.51795065,1.006405,0.32254612,0.886881,0.46192437,0.9895852,0.2913865,0.81373775,0.5095969,1.0108641,0.34016192,0.6456237,0.46823877,1.0016081,0.30740216,0.6062435,idle
0.49996194,0.11205111,-0.3745483,0.9999825,0.51930183,0.09121016,-0.34804487,0.9999582,0.4834148,0.087676115,-0.34666175,0.9999379,0.5353886,0.105429806,-0.18702866,0.99996,0.4694252,0.10143043,-0.18324949,0.99992293,0.51255345,0.14234136,-0.31477708,0.99999064,0.48704737,0.14109917,-0.31317002,0.9999844,0.58868104,0.25733307,-0.09881341,0.9999775,0.41831985,0.25485644,-0.07744913,0.9998591,0.62249535,0.41818562,-0.026837092,0.996393,0.3862722,0.4212223,-0.060882412,0.9628537,0.63887596,0.5627716,-0.2136745,0.99515,0.36898157,0.5498365,-0.28234503,0.9473229,0.54836947,0.6104178,-0.0039392235,0.9988162,0.45117107,0.6021443,0.0041926606,0.99866444,0.539524,0.85698146,0.010791427,0.9763413,0.4537672,0.864415,0.015526007,0.9558745,0.5174594,1.0062717,0.32193047,0.87932336,0.46151,0.9951618,0.27865607,0.8053417,0.5094562,1.0044864,0.34067953,0.6354911,0.46801394,1.0537809,0.29475215,0.59128267,idle
0.49994564,0.11111056,-0.37404272,0.99998206,0.5193379,0.09059243,-0.3479194,0.9999569,0.48327413,0.08704499,-0.34614086,0.99993634,0.535331,0.10452409,-0.18708691,0.9999582,0.46938187,0.100345545,-0.18185998,0.99991965,0.51251274,0.14185676,-0.31419474,0.99999005,0.48701492,0.14030382,-0.3121756,0.9999836,0.5886599,0.25616956,-0.099194124,0.99997705,0.4181961,0.2541904,-0.07577147,0.9998584,0.62249815,0.41780835,-0.027005196,0.99634135,0.38612172,0.4177019,-0.06126059,0.9632386,0.6388458,0.56174976,-0.21408758,0.99515414,0.3685141,0.5457682,-0.28330517,0.9479135,0.548329,0.6104073,-0.0041627223,0.9987706,0.4511517,0.60180414,0.0044113714,0.99865305,0.5395037,0.85647386,0.019518437,0.9750949,0.45342827,0.8641836,0.018519001,0.95478654,0.5174583,1.00344,0.35219333,0.8768259,0.46119228,0.98979586,0.28101438,0.80357504,0.50944364,0.99874526,0.37397578,0.63310117,0.4674961,1.0639131,0.29697412,0.5836167,idle
0.5000972,0.11055252,-0.40303364,0.9999828,0.5196661,0.08967487,-0.37791204,0.9999587,0.48321122,0.08648276,-0.37529087,0.99993914,0.5356832,0.10313997,-0.21660535,0.99996006,0.46934706,0.09937288,-0.20865127,0.99992335,0.5128858,0.14149092,-0.34314138,0.99999046,0.4870836,0.14017305,-0.3402265,0.9999843,0.58921826,0.256323,-0.13567361,0.99997765,0.41811308,0.25413978,-0.092429206,0.9998611,0.62310976,0.41834858,-0.056702744,0.996438,0.38609442,0.41769505,-0.08666476,0.96343505,0.63910353,0.5617543,-0.2358727,0.9953309,0.36831543,0.5440667,-0.3344782,0.94904244,0.54831916,0.61074287,-0.007234582,0.99879724,0.45110354,0.60179263,0.007481576,0.9986933,0.5392943,0.85179114,0.036577307,0.9761587,0.4533214,0.8582548,0.06621133,0.9556562,0.517607,0.9903033,0.421956,0.87915826,0.46092883,0.9690312,0.37872353,0.80879754,0.5096683,0.98702395,0.44981575,0.64254034,0.46788192,0.9850857,0.40089956,0.5939979,idle
