x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.6145234,0.1834001,-1.6093124,0.9999335,0.662382,0.11202063,-1.5697209,0.99972075,0.561445,0.10695307,-1.5890882,0.999882,0.7019637,0.12979159,-1.170109,0.9993656,0.5132332,0.1308557,-1.2454761,0.9999331,0.64560395,0.26514792,-1.4483687,0.99978477,0.57572335,0.25478056,-1.4698721,0.9999434,0.78835136,0.43358693,-0.7419745,0.99529904,0.3863077,0.42626914,-0.9964155,0.9989942,0.95529604,0.65976727,-1.0470864,0.87122744,0.28141403,0.82997876,-1.1440206,0.81994194,1.1430426,0.5658637,-1.7168814,0.8319517,0.18026048,1.0138887,-1.5603596,0.6938769,0.65048426,1.0454016,0.0715191,0.061938927,0.44197074,1.0982605,-0.06901862,0.08415278,0.66406655,1.6183468,0.35650185,0.009407158,0.42641264,1.6167605,0.22370498,0.015769707,0.635162,2.0758734,1.083179,0.00044658792,0.39101154,2.0830903,0.864495,0.0016969548,0.6269552,2.1571372,1.1290057,0.0003493543,0.3668943,2.1641247,0.9087782,0.0013639292,idle
0.6065306,0.18413314,-1.4909155,0.99991775,0.65749013,0.114809416,-1.4485728,0.9996573,0.5540433,0.11378291,-1.4589368,0.9998437,0.69950044,0.1337636,-1.0576829,0.9992093,0.51099026,0.1361644,-1.0896603,0.9998961,0.6388861,0.26404417,-1.336876,0.9997433,0.5669728,0.25456244,-1.3458116,0.9999239,0.788571,0.4353085,-0.6736723,0.9950736,0.38920552,0.42643735,-0.80553406,0.99878186,0.9548289,0.6665179,-0.97834194,0.8645443,0.28216532,0.83553153,-0.84927595,0.81582475,1.1462618,0.6232296,-1.6670717,0.8081735,0.14258301,1.052729,-1.2002807,0.6814234,0.6791057,1.0984454,0.026843498,0.060055465,0.44352627,1.1010354,-0.02437533,0.07978756,0.6655943,1.6314753,0.24351016,0.0105461525,0.4264235,1.6233522,0.15838924,0.016239485,0.64025223,2.0904253,0.90801984,0.0006332031,0.39338344,2.0890505,0.6924828,0.0020563554,0.6359002,2.1664476,0.9444807,0.0004520679,0.37747866,2.1655114,0.7243105,0.0017252426,idle
0.603651,0.18531753,-1.4606307,0.9998729,0.65418327,0.117804475,-1.421864,0.99946797,0.5504211,0.11660017,-1.4334563,0.9997499,0.6977499,0.1371563,-1.0367879,0.9987749,0.50939065,0.13790849,-1.0729978,0.9998153,0.6356778,0.26370725,-1.3063943,0.9996397,0.5626637,0.2546659,-1.3164058,0.9998843,0.7884948,0.4353241,-0.6320217,0.9948633,0.39048132,0.42354566,-0.78232664,0.9986339,0.9548152,0.6691479,-0.8630222,0.861659,0.2882353,0.83383054,-0.7671249,0.8136656,1.1458942,0.66515255,-1.5078428,0.78320605,0.14831205,1.0756377,-1.0634031,0.66990304,0.67577803,1.0519025,0.022385515,0.057710916,0.44456896,1.097951,-0.020053202,0.075289816,0.6687264,1.6326548,0.2064142,0.012016755,0.4272862,1.6232376,0.10674612,0.016751697,0.64367235,2.0924404,0.84713745,0.00088780955,0.39698118,2.088967,0.6185592,0.0024789958,0.6392555,2.1671617,0.8811948,0.00059672183,0.38448232,2.1645553,0.64781094,0.0022184213,idle
0.59821874,0.18532078,-1.5010581,0.9997773,0.64826626,0.11946596,-1.4617822,0.9991818,0.54688513,0.11748931,-1.4747896,0.9996028,0.6914949,0.1380805,-1.0716263,0.9984166,0.5076406,0.13836423,-1.1171875,0.9996286,0.6303101,0.2617069,-1.3442926,0.9995383,0.5579172,0.2533465,-1.3572952,0.9998124,0.7842143,0.41222388,-0.6591145,0.9949259,0.39102384,0.4185935,-0.78954333,0.99846417,0.9455615,0.6789747,-0.45843858,0.86473346,0.29694253,0.82275796,-0.69863445,0.8121522,1.1401982,0.93182164,-0.6724616,0.7460765,0.20504108,1.0818424,-1.0442026,0.6444829,0.6750854,1.0226265,-0.0053611044,0.060555488,0.451652,1.0907215,0.0069472976,0.0759164,0.68004405,1.613804,0.076132715,0.021814682,0.44057694,1.6203791,0.12704423,0.022792352,0.6561676,2.0889235,0.69236183,0.0024151087,0.43144608,2.091642,0.57103693,0.004625924,0.6519585,2.1600156,0.7236832,0.0014406535,0.4243428,2.1652577,0.59311813,0.0055411444,idle
0.591205,0.18601725,-1.5459241,0.99977905,0.642814,0.122975186,-1.5160291,0.9992129,0.5422543,0.12015219,-1.5023354,0.99959624,0.68643737,0.14149489,-1.1189388,0.9985219,0.50487965,0.1396701,-1.1201422,0.9996099,0.6222248,0.26175624,-1.3832593,0.99957037,0.5500857,0.25337112,-1.3643737,0.9998177,0.7833054,0.41341943,-0.70933825,0.9953618,0.3909983,0.41637918,-0.7339878,0.9985018,0.94097376,0.7419304,-0.52228653,0.87206316,0.3029099,0.82298064,-0.5536474,0.8116137,1.1167166,1.0568172,-0.8112537,0.71583563,0.24095872,1.0869926,-0.94409573,0.6148073,0.68248117,1.105328,-0.041353013,0.05957669,0.447327,1.0975426,0.04408573,0.072379924,0.67393756,1.6656291,0.08379057,0.022718294,0.43324676,1.6555398,0.13146387,0.022019805,0.6438235,2.147663,0.78156364,0.0024720116,0.42546415,2.1329288,0.6641285,0.0043354705,0.64248043,2.21762,0.81862926,0.0014436402,0.41532508,2.1978993,0.6964469,0.0053022974,idle
0.5842002,0.18645681,-1.4239657,0.9997899,0.6371661,0.12576157,-1.390912,0.99925977,0.53680164,0.12183047,-1.385852,0.9996092,0.6813112,0.14440376,-0.99045354,0.9986299,0.5007795,0.14249107,-0.9656423,0.9996268,0.6149677,0.26192442,-1.2620316,0.99960667,0.544163,0.2535304,-1.2521906,0.9998309,0.7824163,0.41493002,-0.60412824,0.99579865,0.38802692,0.4234343,-0.61910343,0.99860406,0.9069236,0.7475676,-0.39110687,0.8746108,0.30360287,0.8570889,-0.48236316,0.81796956,0.948448,1.0190768,-0.7740807,0.68134034,0.27990204,1.1032051,-0.95133716,0.5874341,0.6939274,1.1431402,-0.038683888,0.056492504,0.44216385,1.1286114,0.042040654,0.06726684,0.68222183,1.7060888,0.15452757,0.02090201,0.43359262,1.7078773,0.17987093,0.02005161,0.6611537,2.1984107,0.8727908,0.0022627953,0.42683116,2.194956,0.7813043,0.0039196564,0.66293883,2.2745945,0.9184667,0.001326188,0.4217073,2.2635496,0.82395667,0.0048176437,idle
0.5742048,0.18684533,-1.4659278,0.9997814,0.62951934,0.12565781,-1.4228785,0.9992631,0.5291411,0.12282782,-1.4364253,0.99959916,0.67602825,0.14375909,-1.0306264,0.9986806,0.4950281,0.14292058,-1.0300095,0.99961746,0.6083363,0.2619039,-1.3079998,0.9996293,0.5375291,0.25363475,-1.3091593,0.99983656,0.7784733,0.41141313,-0.60910904,0.9961417,0.38700593,0.41736937,-0.6330381,0.9986832,0.8876295,0.7549992,-0.44886962,0.87824935,0.30786014,0.8384851,-0.38625023,0.8210075,0.86789954,1.0232126,-0.768916,0.65117466,0.31412512,1.0972772,-0.7870179,0.56071544,0.69109994,1.1340199,-0.050556432,0.05758724,0.4391622,1.1274517,0.05339002,0.066646166,0.67840666,1.6943746,0.098268956,0.020619264,0.4260059,1.690406,0.17673978,0.018948117,0.6519848,2.1761658,0.858657,0.0022786127,0.4199512,2.1724749,0.7752305,0.0037036364,0.65426964,2.2509007,0.9036292,0.0013400221,0.4174655,2.2428727,0.81745493,0.0047028684,idle
0.56010395,0.18683812,-1.2591126,0.9997762,0.61818945,0.123882964,-1.2328007,0.99926305,0.5179071,0.12312294,-1.2285779,0.9995951,0.66657907,0.13933705,-0.8862666,0.99873626,0.4846054,0.14342491,-0.846243,0.99962085,0.5984639,0.26088122,-1.1149501,0.9996521,0.528379,0.25358024,-1.1038874,0.9998426,0.77714837,0.40657428,-0.5536818,0.99646455,0.37930065,0.41772798,-0.5253583,0.99877757,0.88567877,0.7511774,-0.3599891,0.8805801,0.32155508,0.84048104,-0.26677147,0.82482123,0.7937063,0.99953777,-0.5664432,0.6163466,0.3430724,1.1094702,-0.58302295,0.5318137,0.6920866,1.1311419,-0.051082164,0.05404264,0.43641472,1.1249135,0.054004394,0.062280588,0.6783181,1.6923373,0.09609581,0.018858485,0.42491245,1.6833999,0.17709623,0.017234312,0.6465914,2.1708713,0.78905135,0.002076793,0.41807133,2.164765,0.7084242,0.0033518563,0.6501163,2.2433953,0.8305725,0.0012271119,0.4134458,2.2354999,0.74655616,0.0042891107,idle
0.5522529,0.18684986,-1.3698542,0.9997719,0.6105517,0.12386727,-1.3400447,0.9992681,0.51170003,0.12396744,-1.3346312,0.99959296,0.658888,0.13897504,-0.96851885,0.998789,0.47910446,0.14357474,-0.9200729,0.99961704,0.5903135,0.26034296,-1.217172,0.999674,0.52163726,0.25353947,-1.2052889,0.9998482,0.7731072,0.40694717,-0.57546866,0.9967385,0.37549123,0.4189996,-0.5356599,0.99885744,0.88054943,0.76005405,-0.45133162,0.88453156,0.32686585,0.840206,-0.24310772,0.8315104,0.792267,1.0354518,-0.702034,0.592802,0.3444563,1.1043496,-0.59474385,0.517319,0.69991565,1.1511074,-0.08058635,0.052562915,0.4401393,1.1399367,0.08352661,0.060097076,0.68616295,1.7121468,-0.00033783208,0.017631767,0.43152714,1.7029343,0.23309287,0.015907817,0.656376,2.1988003,0.6797537,0.001923263,0.4240438,2.1925614,0.75332624,0.0030693358,0.65932405,2.2725809,0.7170796,0.001136359,0.42172208,2.265183,0.7915457,0.0039903643,idle
0.54509264,0.18753783,-1.3337342,0.99974597,0.6042641,0.12548293,-1.3050307,0.99923253,0.50685203,0.12608702,-1.2893614,0.9995574,0.6539468,0.14068486,-0.9570721,0.9987989,0.47614747,0.14471927,-0.8766443,0.9995789,0.5818657,0.26048407,-1.1909344,0.9996796,0.5159901,0.2536863,-1.1684924,0.9998431,0.77195203,0.4242765,-0.6076696,0.9967914,0.3737941,0.4240681,-0.49908224,0.9988597,0.87157106,0.8055722,-0.45771986,0.8797616,0.33924225,0.8388706,-0.21404259,0.8174191,0.79750377,1.1170824,-0.6623308,0.55936813,0.3511011,1.1047854,-0.5431215,0.4909527,0.69797844,1.1705745,-0.07429431,0.049702775,0.4402036,1.1524407,0.07719571,0.056506537,0.6840979,1.7382029,-0.08594443,0.017559072,0.43108463,1.7162901,0.029163906,0.01547778,0.6557064,2.2428825,0.49406537,0.001844057,0.42240554,2.235447,0.40105882,0.0029071341,0.65797126,2.3231208,0.52017397,0.0010805595,0.4190913,2.317871,0.42077175,0.0038048895,idle
