x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.57468927,0.25097537,-0.6135949,0.99930656,0.60598266,0.20725083,-0.5837964,0.9988312,0.5426435,0.1900804,-0.6150849,0.99876535,0.61732566,0.22809213,-0.3226744,0.9986972,0.48797637,0.20512342,-0.47187844,0.9995813,0.5885943,0.29714477,-0.50545126,0.99966824,0.5466465,0.2887336,-0.5496453,0.9998512,0.6495465,0.4776438,-0.1520726,0.99975723,0.3174145,0.4620546,-0.26546675,0.9997435,0.7836292,0.7784582,-0.33273435,0.98529947,0.23017582,0.82719475,-0.14930218,0.81711835,0.68143886,0.45412737,-0.72711277,0.99418867,0.2293336,1.1186347,-0.2822677,0.5017263,0.6117373,1.1029503,0.024592003,0.1566294,0.38519737,1.1088938,-0.021417001,0.12587485,0.6313508,1.5984845,0.105433926,0.0031593763,0.41507912,1.6022058,0.009751655,0.002687478,0.64221704,2.037363,0.6271383,5.1507748e-05,0.43016738,2.0353239,0.41881838,3.798056e-05,0.6427097,2.1059113,0.6604433,5.5903154e-05,0.41464764,2.1079814,0.44545355,0.00011780815,idle
0.569661,0.27726683,-0.5803515,0.99918866,0.60591936,0.23330326,-0.56225973,0.99855644,0.5424914,0.20381576,-0.56859195,0.99848115,0.6187564,0.24915981,-0.33602685,0.99831325,0.49863544,0.209528,-0.38562965,0.99943733,0.5828451,0.32652214,-0.4926885,0.99950117,0.5388227,0.3136378,-0.5044319,0.99977374,0.6730774,0.4991508,-0.21528038,0.99959344,0.32131138,0.46784112,-0.18766506,0.9996676,0.7852879,0.7949595,-0.4438303,0.97470593,0.23430416,0.82968456,-0.014534384,0.77466536,0.7054286,0.46239704,-0.7464323,0.99252,0.21401231,1.1268542,-0.072235554,0.481191,0.6085255,1.1503471,-0.023595048,0.14189263,0.37514296,1.1351837,0.026838202,0.11415699,0.6003473,1.691225,0.0511657,0.002914156,0.37585342,1.6623296,0.015422975,0.0024686235,0.5936081,2.158738,0.56468534,4.8125487e-05,0.3693959,2.1336172,0.41885033,3.4841887e-05,0.59502345,2.2253788,0.59875625,5.229186e-05,0.35794908,2.205591,0.44625068,0.00010814209,idle
0.55082715,0.29566348,-0.5341873,0.9988459,0.60121167,0.2563558,-0.5373625,0.99773574,0.53946245,0.22068249,-0.5140127,0.9976185,0.6192411,0.27304038,-0.3914974,0.99715966,0.507105,0.22401004,-0.31008595,0.99890727,0.5704469,0.35065272,-0.47758126,0.9989555,0.5200943,0.3294551,-0.44973975,0.99948627,0.6841849,0.5176768,-0.308164,0.9990848,0.3290705,0.4799838,-0.10628003,0.9994905,0.7851148,0.8191423,-0.5209534,0.9597373,0.2437984,0.83877903,0.06597461,0.7153603,0.68259555,0.47741845,-0.69099694,0.9905109,0.20519738,1.1371207,-0.040620092,0.4525091,0.603578,1.181709,-0.06091228,0.12822804,0.36960182,1.1543605,0.06425283,0.103289686,0.57778025,1.7246387,-0.032776803,0.0026950266,0.35516924,1.6854484,0.042505763,0.0022506325,0.5630972,2.1960018,0.45974016,4.5623394e-05,0.34265018,2.1614845,0.42027536,3.1805113e-05,0.56509745,2.2633026,0.4916118,4.949896e-05,0.33229545,2.2343314,0.44777662,9.901878e-05,idle
0.5498132,0.3044406,-0.5667559,0.9979149,0.6012288,0.26716426,-0.5860655,0.9956585,0.53985775,0.2284288,-0.5226428,0.9952888,0.6209999,0.28710604,-0.4657835,0.9939308,0.5195172,0.23445979,-0.35036105,0.99752367,0.5695635,0.360568,-0.52894837,0.9979205,0.5200312,0.33735508,-0.461585,0.9989479,0.6912001,0.53663784,-0.38567108,0.99837655,0.33677062,0.50003844,-0.12491381,0.9991656,0.7854411,0.83886826,-0.6439533,0.94538593,0.24727437,0.8573254,0.085111246,0.6629008,0.6791283,0.50298554,-0.8160442,0.9890728,0.20719945,1.1514869,0.01731895,0.4244862,0.6036325,1.2233888,-0.07823091,0.11598549,0.3687184,1.1954591,0.08145235,0.0935604,0.5740661,1.7728304,-0.019622507,0.0025281578,0.35161242,1.7289946,0.024112573,0.002080624,0.5576125,2.254387,0.511731,4.4210097e-05,0.3324634,2.2172735,0.4354787,2.9446259e-05,0.55990213,2.325987,0.5451077,4.7708923e-05,0.32169178,2.2941375,0.46832842,9.220263e-05,idle
0.5499525,0.32835895,-0.6044728,0.99712855,0.60126007,0.2906514,-0.6193658,0.99378556,0.53988004,0.2563751,-0.55161726,0.9934651,0.62532914,0.3085045,-0.4902106,0.9910247,0.5254714,0.25785932,-0.35414198,0.9963318,0.57046634,0.379941,-0.55760986,0.99673903,0.5219449,0.36103547,-0.4780929,0.9983708,0.7033197,0.5728985,-0.381212,0.9971868,0.3516393,0.5131333,-0.13245419,0.9988693,0.7819846,0.86962277,-0.5598219,0.9242044,0.25778818,0.8668668,0.022283487,0.6144457,0.67936563,0.5278288,-0.63119096,0.98697025,0.2045959,1.1572034,-0.06417657,0.40234315,0.6036601,1.2449461,-0.07979242,0.10466568,0.36890152,1.2083936,0.083062306,0.084531225,0.5657548,1.7904526,-0.107883155,0.0024284008,0.34747773,1.7374036,-0.08953388,0.001944244,0.5461196,2.2789245,0.3339947,4.627434e-05,0.32381824,2.231649,0.23590598,2.7980961e-05,0.5485854,2.3490639,0.35521317,4.790386e-05,0.31288964,2.307692,0.25676194,8.800112e-05,idle
0.54556644,0.337433,-0.546888,0.9970395,0.60080653,0.30110005,-0.56798166,0.99360305,0.538286,0.27096596,-0.5109839,0.99317914,0.627962,0.3183927,-0.46056765,0.99083865,0.5260556,0.27291924,-0.28179616,0.99616265,0.5702407,0.3919591,-0.51690096,0.9964434,0.5199478,0.37104288,-0.44366273,0.99817914,0.7067008,0.59098935,-0.3582756,0.99655896,0.3642277,0.5193795,-0.08987899,0.99863493,0.7815363,0.8808085,-0.5467572,0.90565586,0.26648158,0.8708151,0.037858605,0.57010084,0.6874241,0.54014724,-0.6126174,0.9853194,0.20467389,1.1600227,-0.09329875,0.37926996,0.60309297,1.2554152,-0.08315904,0.09446471,0.36843795,1.211264,0.08670574,0.07638257,0.5554265,1.8053277,-0.110480525,0.0022584202,0.33565745,1.7464236,-0.06242851,0.0017827807,0.5259908,2.2933555,0.3254668,4.4148852e-05,0.30337662,2.237849,0.2552455,2.5693324e-05,0.527746,2.3608522,0.34623855,4.5112847e-05,0.29123196,2.3099847,0.27530035,8.118348e-05,idle
0.5400182,0.34927,-0.49032712,0.9972705,0.5993575,0.31597465,-0.50869286,0.9941011,0.5355797,0.2881755,-0.4573709,0.9936698,0.6294535,0.33110657,-0.44220012,0.9915868,0.5252667,0.2868008,-0.21806094,0.9964249,0.56769156,0.4027443,-0.4571441,0.9966596,0.5158033,0.38042453,-0.39128536,0.99826324,0.7111142,0.5852535,-0.32678643,0.99663574,0.3780867,0.5239454,-0.055444516,0.99854857,0.78168154,0.8901549,-0.5181994,0.89120436,0.28574026,0.8742934,0.055875085,0.5232414,0.6843025,0.55745596,-0.5404664,0.984103,0.20832133,1.1590145,-0.11219503,0.3559097,0.60682184,1.2520577,-0.075248234,0.08516146,0.37467524,1.2083709,0.07914491,0.06888886,0.5608099,1.8033569,-0.09711209,0.0020892995,0.34203738,1.747363,-0.05318727,0.0016240539,0.5337364,2.2938082,0.30707803,4.1657517e-05,0.31508082,2.2380288,0.2511608,2.3397606e-05,0.53549737,2.3621657,0.32484096,4.226808e-05,0.30399692,2.3083425,0.26573694,7.392796e-05,idle
0.5416649,0.36579472,-0.5090479,0.99747103,0.5994067,0.3325631,-0.5217904,0.9945062,0.5356068,0.30658418,-0.48061696,0.9940687,0.6304039,0.3425537,-0.4345739,0.9922039,0.5272606,0.30187744,-0.24090381,0.9966356,0.5681857,0.41591102,-0.46353284,0.99682236,0.51707184,0.39305183,-0.4102617,0.9983268,0.71660286,0.58820087,-0.3181825,0.99667084,0.38588884,0.5329416,-0.07336585,0.99849766,0.7785577,0.89158744,-0.50314915,0.8727121,0.29171672,0.8803364,0.030397817,0.48386914,0.6769319,0.5536318,-0.48530427,0.9822734,0.21128485,1.162802,-0.13085946,0.337359,0.6134608,1.264088,-0.07111895,0.076748215,0.38268077,1.2226739,0.075172536,0.062113557,0.56467474,1.817026,-0.08588256,0.0019506505,0.34294444,1.7678667,-0.047663078,0.0014902266,0.5443966,2.3119507,0.32852402,3.936809e-05,0.32481778,2.2577968,0.246124,2.141829e-05,0.5458392,2.380383,0.3470282,3.930444e-05,0.3112971,2.326481,0.2605359,6.757708e-05,idle
0.5597838,0.37204644,-0.47264975,0.99766856,0.61182654,0.33858648,-0.47174367,0.99493146,0.5520564,0.3112326,-0.45240444,0.9945322,0.6303648,0.34949127,-0.33873388,0.9928466,0.5382367,0.31323043,-0.2522053,0.996905,0.5787249,0.42189053,-0.41427636,0.9970271,0.5280105,0.40015996,-0.39080697,0.99843484,0.7127136,0.5859429,-0.19746338,0.9968046,0.38750434,0.54376644,-0.08475719,0.9984992,0.7786247,0.8822221,-0.26124662,0.84817994,0.29395387,0.8915855,-0.0918075,0.45950624,0.7188147,0.55160415,-0.27110106,0.97598684,0.21670058,1.1699754,-0.2920445,0.3205563,0.6184383,1.2601383,-0.052535754,0.069308676,0.39085782,1.2267954,0.056749754,0.05612913,0.5714065,1.8107884,-0.06719183,0.0018468439,0.36046085,1.7754964,-0.06676616,0.0013948481,0.54718214,2.3173842,0.3353387,3.816098e-05,0.3436888,2.2685754,0.17059985,2.0094198e-05,0.5464575,2.3859892,0.34906486,3.7310718e-05,0.33378625,2.33488,0.18120903,6.3176405e-05,idle
0.5665721,0.38313344,-0.4370014,0.9972195,0.6115879,0.35260442,-0.43572864,0.99408513,0.56027895,0.33106434,-0.4304666,0.9939197,0.6216578,0.36549455,-0.29101664,0.99231565,0.54779416,0.33872792,-0.25946826,0.996416,0.57875913,0.43164742,-0.37251276,0.9967942,0.53391933,0.41487086,-0.3643252,0.9982003,0.69923455,0.58397824,-0.14986777,0.99684083,0.39673656,0.5554525,-0.17676082,0.998494,0.7783713,0.8804462,-0.1531398,0.79063916,0.29994273,0.89506406,-0.22213836,0.44497997,0.7945801,0.9977345,-0.34511268,0.8980282,0.2390835,1.1629764,-0.47389466,0.29894835,0.6229588,1.2524475,-0.031325877,0.06251537,0.39855215,1.2283247,0.035113715,0.05066918,0.57756835,1.7981504,-0.064732805,0.0017266715,0.37442228,1.774973,-0.08438326,0.0013408975,0.55099916,2.3081677,0.3408404,3.926161e-05,0.3557305,2.2786174,0.11802073,2.1477867e-05,0.5474769,2.3782094,0.35419157,3.73348e-05,0.34534368,2.344493,0.12587598,6.442837e-05,idle
