x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.46950492,-0.014039874,-0.17493804,0.9976808,0.4901361,-0.037580192,-0.15551874,0.99746656,0.45157617,-0.041796982,-0.13673511,0.99575424,0.50902766,-0.010835648,-0.03673314,0.9971955,0.4332758,-0.011094868,0.049611412,0.99547833,0.4815411,0.032609344,-0.13003522,0.9968368,0.4578937,0.028129399,-0.10477779,0.9946641,0.6045091,0.177234,-0.030045386,0.99942786,0.369313,0.18372798,0.08823536,0.9981236,0.63658077,0.3982912,-0.09473886,0.9726174,0.33431935,0.43803713,0.13154922,0.9463813,0.6250974,0.5092391,-0.32711735,0.96238494,0.33055001,0.6121075,0.018453216,0.8841934,0.5431924,0.63274896,-0.00081813225,0.9965796,0.4050321,0.63416636,0.001962779,0.9971891,0.5400548,0.9536637,-0.08166297,0.84533924,0.41309136,0.96232724,-0.0538956,0.8511429,0.5240393,1.3576627,0.3264358,0.1597359,0.4088747,1.3795724,0.19930854,0.13823447,0.5161414,1.3954046,0.36097056,0.10232625,0.40939364,1.4184706,0.220758,0.063000895,idle
0.48314786,-0.007860575,-0.2632131,0.99758995,0.49959785,-0.036797974,-0.24370782,0.9973304,0.46866822,-0.04165704,-0.24402492,0.9956788,0.5114554,-0.013246624,-0.09793459,0.9970533,0.45338655,-0.015612146,-0.10492802,0.9953442,0.49074894,0.03373792,-0.20676656,0.9969461,0.47238737,0.028624196,-0.20744395,0.994897,0.60442555,0.17377152,-0.062882096,0.99941117,0.38265124,0.18271749,-0.064260915,0.9981195,0.6323897,0.37460518,-0.093678996,0.95557034,0.34491214,0.40826613,-0.13985385,0.9280383,0.62224495,0.50420433,-0.30915928,0.9423255,0.3461472,0.5652276,-0.37133795,0.84739196,0.53604174,0.6307458,0.0044789,0.9961724,0.4225152,0.6331839,-0.003589296,0.9968608,0.531659,0.93816787,0.11267672,0.8041773,0.4207801,0.93669325,0.08541612,0.8186904,0.51316327,1.1746533,0.54411733,0.15816277,0.42690316,1.0636643,0.45078182,0.13898958,0.50367314,1.1981702,0.5845374,0.110538766,0.4183618,1.1965747,0.4878997,0.06841885,idle
0.48214155,0.0034208961,-0.2358965,0.9977627,0.49756938,-0.028410288,-0.21701494,0.99748397,0.4672392,-0.031536415,-0.20945866,0.99594826,0.5093845,-0.00867943,-0.091480486,0.99720526,0.4545278,-0.011897639,-0.06313397,0.99561775,0.4903214,0.04069672,-0.18836845,0.9971975,0.47139436,0.035489235,-0.17908975,0.99533033,0.60246104,0.1749916,-0.06949224,0.99943775,0.38656923,0.1833222,-0.052993022,0.99821013,0.632476,0.37340012,-0.07724297,0.956338,0.34615743,0.3983132,-0.13375047,0.9306521,0.6196331,0.50567645,-0.22478168,0.9418622,0.35956502,0.5457945,-0.38593838,0.846633,0.5357714,0.6285608,0.0059512877,0.9961155,0.42151016,0.6296527,-0.0051759793,0.996832,0.5310332,0.9355537,0.048539802,0.79974866,0.41856247,0.929302,0.038930237,0.81858814,0.52066296,1.1925186,0.3850656,0.17905462,0.42526197,1.1794827,0.32154042,0.16144598,0.5082298,1.2211708,0.40029016,0.12987208,0.41935697,1.2240347,0.3314626,0.08150717,idle
0.47925216,0.012504052,-0.24626319,0.99796754,0.49722624,-0.020611694,-0.2302882,0.9976992,0.46235475,-0.021093283,-0.22161153,0.9962995,0.5115075,-0.006117679,-0.120321915,0.9974417,0.45342126,-0.007106836,-0.08019192,0.99600315,0.48989898,0.045552418,-0.20537734,0.9974668,0.46999303,0.042183325,-0.19287623,0.99578226,0.60257304,0.16762812,-0.09286852,0.9994838,0.38355932,0.18415754,-0.075476944,0.99835056,0.6351029,0.36997142,-0.07789959,0.9597807,0.34492117,0.39071274,-0.12321613,0.93612134,0.6092487,0.5104055,-0.20451689,0.94550765,0.36474818,0.5267959,-0.32999834,0.85641605,0.53621954,0.6242006,0.009253377,0.9961017,0.41950625,0.6232146,-0.008322844,0.9967525,0.5350112,0.9115792,0.038601875,0.81149936,0.40845484,0.904564,0.08798972,0.827135,0.5219109,1.1992569,0.2503262,0.21654837,0.42176732,1.1956155,0.29564002,0.19191092,0.5083955,1.2327323,0.258822,0.15962808,0.41912097,1.2332679,0.31029063,0.103036836,idle
0.47153622,0.024717096,-0.37410742,0.9981398,0.49320453,-0.011211296,-0.36316484,0.9978802,0.45613474,-0.008250575,-0.35165566,0.9966087,0.5119599,-0.00022825616,-0.24260624,0.997642,0.45281696,-0.0004706617,-0.19099884,0.99634373,0.48787227,0.05445824,-0.32589537,0.99770397,0.46423063,0.053280722,-0.3097423,0.9961835,0.6034285,0.1657771,-0.1832595,0.99952143,0.382978,0.18403092,-0.14674708,0.9984865,0.6350571,0.3663914,-0.1421669,0.9622114,0.34382978,0.38779017,-0.20089999,0.939498,0.5899888,0.51222354,-0.240913,0.9478455,0.36216205,0.50791794,-0.43577617,0.86365765,0.5354918,0.62352157,0.007891858,0.99571663,0.41736585,0.6207754,-0.0069524506,0.9964277,0.53338706,0.8979725,0.055797864,0.8083475,0.39820954,0.8747383,0.12817533,0.8197477,0.5153861,1.1318847,0.31128842,0.23033333,0.41684514,1.1262443,0.3888858,0.20304586,0.5040492,1.1619275,0.3176359,0.18168095,0.41884765,1.1587033,0.41276923,0.12350263,idle
0.47154355,0.046644505,-0.32702076,0.99829817,0.49298072,0.014452202,-0.29783887,0.9980406,0.45610157,0.020658111,-0.2817436,0.9968742,0.51202536,0.020248117,-0.16977106,0.9978223,0.4522032,0.028660227,-0.11652666,0.9966338,0.48823938,0.0738784,-0.27087295,0.99791753,0.46417695,0.074352145,-0.24862346,0.99654204,0.6031161,0.16741924,-0.13628075,0.99955785,0.3824032,0.1956567,-0.086775824,0.99859625,0.6329191,0.36765495,-0.08575295,0.96431357,0.34376544,0.39202622,-0.13124071,0.9428972,0.5805584,0.5123106,-0.16670758,0.94930726,0.36909765,0.5124548,-0.32889578,0.8679441,0.5345133,0.6233035,0.009418327,0.9956737,0.41285315,0.62026775,-0.008497668,0.99630135,0.53027284,0.89377826,0.03997628,0.81274587,0.3941401,0.87772524,0.09134657,0.8223257,0.51383406,1.1427413,0.2250309,0.25332308,0.4168191,1.137911,0.28954622,0.22084934,0.4998006,1.1735036,0.23440829,0.20302655,0.42314267,1.1728616,0.29901388,0.14099845,idle
0.46541348,0.060321014,-0.26408896,0.9984594,0.48637694,0.02881326,-0.25490722,0.9982174,0.451806,0.034185436,-0.24089268,0.9971622,0.5098331,0.032200266,-0.16017212,0.998014,0.44991904,0.03919993,-0.11014917,0.99694234,0.48311338,0.08468672,-0.22397487,0.99811906,0.46000162,0.08531034,-0.20294783,0.99687856,0.59862435,0.16993189,-0.11077048,0.9995949,0.38241577,0.20497666,-0.07998808,0.9987123,0.62724304,0.368851,-0.037874058,0.96673256,0.34466678,0.3940056,-0.031786926,0.9461884,0.56843483,0.51229614,-0.10399212,0.95096,0.37069184,0.51563746,-0.14415734,0.8711624,0.5337173,0.6163436,0.009485665,0.9956018,0.41238278,0.6124161,-0.0086075645,0.9960352,0.5302239,0.88620025,0.038558472,0.8119044,0.38704538,0.87261945,0.07169075,0.82043254,0.5139235,1.1387908,0.14613661,0.26889434,0.41702098,1.1218492,0.20924774,0.23157191,0.49951982,1.1713055,0.15229863,0.21777166,0.4260899,1.1562939,0.2183313,0.15248875,idle
0.45805526,0.074277684,-0.25880495,0.9986047,0.4796052,0.042376257,-0.2471647,0.99837434,0.44590712,0.048919078,-0.23338218,0.9974171,0.5052074,0.046033993,-0.15883464,0.9981823,0.4468926,0.0534002,-0.09446379,0.99721533,0.47666693,0.09805999,-0.21661897,0.99830043,0.45348015,0.09980088,-0.1966676,0.9971818,0.5937592,0.17715925,-0.11838385,0.99962705,0.38227922,0.20802787,-0.061272215,0.9988206,0.6178747,0.36191007,-0.04683305,0.9688099,0.34504315,0.39515913,-0.029604305,0.94990194,0.5617304,0.51228505,-0.13256787,0.9525574,0.36882108,0.5164107,-0.14796165,0.8784649,0.5324129,0.60392964,0.00846032,0.99574816,0.4121936,0.5992361,-0.007716992,0.996095,0.5303314,0.87583184,0.007372486,0.8202762,0.38735828,0.86401933,0.08758125,0.82556945,0.51523083,1.125169,0.10359301,0.30222347,0.41803202,1.0164684,0.22359951,0.25697073,0.49991336,1.1575799,0.10717334,0.24094859,0.43201175,1.0225893,0.22173274,0.17406954,idle
0.45413485,0.0896432,-0.17094561,0.9987355,0.47288832,0.06127774,-0.15732387,0.9985224,0.44211316,0.06642223,-0.14468612,0.9976544,0.49413854,0.07159967,-0.06503741,0.9983454,0.4375483,0.07853305,-0.006466049,0.99746686,0.4693709,0.11487724,-0.13622901,0.99845946,0.44875783,0.116462946,-0.11853583,0.9974479,0.5694722,0.20593174,-0.072024055,0.99965495,0.38174656,0.22330746,0.035026647,0.99889034,0.5969629,0.3643456,-0.056611627,0.9708003,0.3444473,0.39610836,0.019852666,0.9516495,0.5481155,0.51148427,-0.16655895,0.95500636,0.36752278,0.52080524,-0.13737562,0.8817862,0.5250255,0.59336966,-0.0032457493,0.99585676,0.41050434,0.59342766,0.0037230249,0.9960801,0.52805036,0.8829848,-0.048305582,0.82926434,0.3884443,0.87312114,0.05953443,0.8275976,0.5152512,1.1440572,0.038226306,0.327096,0.42173696,1.0185175,0.12014581,0.26945695,0.50012696,1.1768532,0.039936837,0.25264546,0.4372087,1.1171399,0.12263726,0.18373403,idle
0.445724,0.10098429,-0.18396582,0.9988259,0.46167168,0.0715874,-0.16109607,0.99859726,0.43363786,0.07606389,-0.1592586,0.9978042,0.47984663,0.0819558,-0.100454845,0.9984187,0.42576915,0.09045957,-0.059805997,0.9976344,0.4595836,0.12691668,-0.14182827,0.9985779,0.44002193,0.12747194,-0.13493852,0.99766403,0.5549941,0.21595594,-0.090362795,0.9996609,0.37772086,0.23130465,-0.017003652,0.9989605,0.58715284,0.36530432,-0.07096201,0.9692868,0.3428778,0.3970156,0.004857266,0.9538051,0.54687977,0.4984135,-0.17431429,0.94910735,0.36571652,0.5234301,-0.07982503,0.8835475,0.5194514,0.593356,-0.0036542825,0.99585444,0.40767422,0.59334695,0.004083493,0.9961093,0.5269434,0.8844281,-0.04403943,0.8321482,0.3890473,0.8746598,0.05162724,0.8293588,0.5188987,1.1259396,0.05934779,0.34996852,0.42172822,1.0029122,0.13489564,0.2878144,0.5051402,1.1575311,0.062360734,0.26737872,0.4380669,1.133371,0.14095211,0.19808851,idle
