x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.32845345,0.13468951,-1.3619791,0.99948907,0.37619242,0.018402219,-1.409507,0.99955076,0.26225817,0.086927414,-1.36314,0.99904436,0.4647998,-0.028426051,-1.2890755,0.99964106,0.2624076,0.06886518,-1.085567,0.9992384,0.4092435,0.1768949,-1.2791606,0.9998455,0.33554316,0.20914984,-1.2208152,0.99968576,0.68893343,0.16067475,-1.1279474,0.9985129,0.31320336,0.18514991,-0.60154563,0.99819994,0.83830816,0.72068596,-1.0485423,0.94176215,0.4066618,0.47735894,0.025311347,0.17093636,0.80425346,1.20811,-1.0154346,0.6932213,0.41737032,0.64598393,0.45134196,0.25382677,0.7868458,0.78342164,-0.15335372,0.94646573,0.5656366,0.7209669,0.15379053,0.85248905,0.780337,1.0323145,0.17056829,0.64137894,0.46828914,0.9533754,0.61227393,0.35485983,0.8994171,1.6058757,0.6325103,0.34325048,0.72570866,1.4481087,1.0892423,0.12951533,0.93124425,1.6448237,0.6719426,0.36955252,0.7763041,1.4771072,1.1443515,0.21335842,idle
0.32622936,0.1306261,-1.3539622,0.99949366,0.37602597,0.01727116,-1.4021019,0.99954695,0.26317346,0.07379197,-1.3559353,0.9990353,0.46982566,-0.030702371,-1.2843206,0.99965113,0.26409516,0.05065813,-1.0825865,0.99922305,0.40075293,0.17687103,-1.2728956,0.9998469,0.33481786,0.20279431,-1.2150298,0.9996919,0.68911374,0.17316732,-1.1212546,0.99857724,0.28876024,0.17948069,-0.58264196,0.99828637,0.83759624,0.7373639,-0.97578746,0.9437349,0.3719903,0.45206726,0.16616994,0.17572825,0.8171154,1.203789,-0.92831147,0.69915855,0.36955413,0.61069214,0.63681906,0.26492563,0.7732552,0.8249033,-0.12483615,0.9474682,0.5369149,0.73285574,0.12540963,0.8591655,0.78195775,1.3307242,0.10824418,0.65247774,0.5221801,1.331138,0.5750667,0.36897632,0.89402425,1.7808723,0.5686132,0.33923072,0.7160459,1.769789,1.0941248,0.13812706,0.9184866,1.8465878,0.60446614,0.37116075,0.7636453,1.8268667,1.1464412,0.22070423,idle
0.3207415,0.13064855,-1.1869277,0.9992285,0.36709842,0.023570944,-1.2499888,0.9993138,0.2631671,0.073733166,-1.1902037,0.9985596,0.47007856,-0.030413771,-1.1941718,0.99955565,0.26640734,0.05002391,-0.932809,0.9988789,0.3887475,0.1771954,-1.1303136,0.99980634,0.3321387,0.20077989,-1.0559496,0.9996241,0.6899202,0.17628834,-1.0775644,0.9985316,0.2904752,0.18102416,-0.45304236,0.9982599,0.8369153,0.7390517,-0.94428253,0.9424896,0.36834562,0.451874,0.2627394,0.16991863,0.81812525,1.2037693,-0.861534,0.6816052,0.3582019,0.6005802,0.70902354,0.25996763,0.77176356,0.8612979,-0.12040985,0.94403774,0.53605914,0.7607719,0.1207601,0.86020243,0.8031418,1.4474584,0.045998648,0.6426965,0.5799254,1.4602191,0.4965314,0.37143424,0.9264101,1.946756,0.54894894,0.3155527,0.73796463,1.9596972,1.005028,0.13405612,0.9549155,2.0192428,0.587952,0.3470739,0.7755303,2.0207336,1.0466983,0.20708331,idle
0.31005362,0.1278396,-1.2288935,0.999089,0.35614136,0.020297669,-1.287352,0.9991863,0.26062682,0.061413422,-1.2338489,0.9982729,0.4700542,-0.034298994,-1.2163274,0.9995003,0.26913005,0.03032876,-0.9823078,0.9986671,0.3788571,0.17717913,-1.1707666,0.9997864,0.32454377,0.19599685,-1.1036389,0.9995915,0.6899065,0.17591098,-1.0827719,0.9984726,0.2804333,0.17867345,-0.500421,0.99823296,0.8359275,0.73887676,-0.9339396,0.9425533,0.3577666,0.41373172,0.21777841,0.16957127,0.8225034,1.2040254,-0.840278,0.66903067,0.35892487,0.5869686,0.6271076,0.25491837,0.7590748,0.8587793,-0.104890145,0.9449849,0.52033246,0.75726724,0.10545889,0.8639328,0.78728557,1.3827055,0.071664646,0.64409214,0.55340725,1.3738997,0.56065565,0.37112266,0.88291246,1.8433478,0.5598002,0.3040181,0.6960517,1.8145756,1.2027256,0.13354737,0.9048958,1.9043808,0.5977285,0.33829084,0.73285455,1.8668711,1.2575986,0.20339666,idle
0.3061066,0.12676635,-1.3576459,0.9988654,0.35472614,0.02128817,-1.4163065,0.99900234,0.2594609,0.047701444,-1.3699305,0.99784636,0.47109237,-0.028465576,-1.3644516,0.9993983,0.27131838,0.010810939,-1.1589191,0.9983572,0.37479204,0.17852709,-1.3039384,0.999737,0.3194245,0.19161358,-1.2452484,0.99950343,0.6898447,0.17587663,-1.181335,0.9983902,0.27036607,0.16890207,-0.70683014,0.99818623,0.83608353,0.737648,-1.0203533,0.9433855,0.35912132,0.38136548,0.023631841,0.16999885,0.8219488,1.2154115,-0.9627199,0.6648214,0.36221573,0.5571304,0.5340586,0.25376987,0.7418884,0.8569058,-0.10458139,0.94526684,0.5072701,0.74393946,0.105098344,0.86640537,0.7693037,1.3161724,0.08147155,0.63691413,0.5175761,1.2966506,0.55423695,0.3646741,0.8517281,1.782315,0.6223461,0.2933621,0.675316,1.7532927,1.1975012,0.13159294,0.8722601,1.8479394,0.66525763,0.3312091,0.71915644,1.8012784,1.2585218,0.20257224,idle
0.30294582,0.12711379,-1.2830883,0.9983361,0.34914902,0.027873848,-1.3500961,0.9985652,0.25863177,0.049993522,-1.2906843,0.9969154,0.4699518,-0.019285977,-1.3390714,0.9992245,0.27512643,0.015034397,-1.055371,0.9977761,0.3698418,0.1792823,-1.2351888,0.9996686,0.31681383,0.19145557,-1.1604716,0.99938434,0.68819314,0.17609033,-1.1692021,0.99841946,0.27328083,0.16908187,-0.5889192,0.998198,0.83820784,0.73750955,-1.0193706,0.9451416,0.36484918,0.3949339,0.11635673,0.17019586,0.8215535,1.2244557,-0.9733777,0.66783893,0.36586362,0.5658152,0.5495633,0.26631626,0.7433935,0.87016326,-0.10658224,0.9457192,0.511647,0.7595276,0.10706165,0.87141174,0.7742638,1.4475788,0.048363253,0.6279204,0.5406819,1.4489143,0.44452825,0.37146458,0.86876285,1.9514378,0.5994502,0.27103192,0.67728424,1.9497814,0.98015535,0.12573911,0.8945054,2.024253,0.64192915,0.3056561,0.72642475,2.0045087,1.0243633,0.18694586,idle
0.30530688,0.13225302,-1.2893951,0.99837315,0.35010213,0.0344728,-1.351589,0.998587,0.26133206,0.054314613,-1.3012764,0.99692446,0.4703947,-0.019545265,-1.3308756,0.9992419,0.2753442,0.015811328,-1.0843914,0.9977796,0.37181064,0.18254492,-1.2383821,0.99967694,0.31886175,0.19282052,-1.1752063,0.9993922,0.6878077,0.17633778,-1.1544492,0.99848485,0.2735798,0.15857713,-0.64339024,0.9982269,0.839135,0.7368409,-0.98877656,0.9466842,0.36672455,0.38090393,0.031477295,0.17111193,0.8212899,1.2244084,-0.95898324,0.67244893,0.36795208,0.56121504,0.50414664,0.2702865,0.7367405,0.862178,-0.1000602,0.946085,0.50991076,0.7396381,0.10069952,0.8734697,0.76086473,1.3676574,0.06488287,0.6377871,0.5131568,1.3477116,0.47548932,0.38218892,0.83593005,1.8931211,0.54482377,0.26954046,0.66612643,1.9222606,1.0220733,0.12999882,0.8570444,1.9777577,0.5785834,0.30671406,0.7170602,1.9958113,1.0709443,0.19226445,idle
0.30579418,0.13283557,-1.3227205,0.9983791,0.35091877,0.034621146,-1.3795125,0.9985682,0.26132637,0.05463125,-1.3330535,0.9968839,0.47150293,-0.020477306,-1.3217443,0.99923754,0.2746351,0.017683558,-1.1008037,0.9977473,0.37304735,0.18292199,-1.2603173,0.99967957,0.31949165,0.1928987,-1.2016413,0.9993986,0.687145,0.17625028,-1.1517231,0.9985467,0.27322736,0.15300064,-0.64387643,0.99830127,0.8398916,0.7366313,-0.989004,0.9487854,0.36717436,0.38016883,0.013258547,0.17869103,0.81265414,1.2241453,-0.97771263,0.6790095,0.36945796,0.56180674,0.4377235,0.28485602,0.72994393,0.8596169,-0.10022446,0.945715,0.50645316,0.73140407,0.10069777,0.8761222,0.7543402,1.3686955,0.070337236,0.63824886,0.5092905,1.3372207,0.45603004,0.38880995,0.8362034,1.8449059,0.56123,0.2582547,0.6590368,1.821224,1.0222259,0.13003568,0.85915595,1.9137824,0.59816295,0.2950573,0.70193803,1.8760617,1.074422,0.18737528,idle
0.30613908,0.13305573,-1.2999803,0.99828213,0.35049087,0.03432174,-1.3607616,0.998467,0.26115113,0.055623155,-1.3104079,0.99667716,0.47148466,-0.02250089,-1.3157842,0.9992046,0.27380955,0.020044427,-1.0799922,0.9976368,0.3739716,0.18294746,-1.2416774,0.999672,0.3196116,0.1930341,-1.1781158,0.99939126,0.6869759,0.17665361,-1.1475146,0.99858624,0.2741835,0.14917842,-0.6374603,0.99835813,0.84034765,0.73903716,-0.9697962,0.94969237,0.37500906,0.3869125,0.026750837,0.18499462,0.8110325,1.2239006,-0.95234746,0.67528075,0.37313014,0.5668091,0.44291848,0.29432818,0.73265016,0.85750026,-0.0956395,0.94627404,0.5089986,0.73271537,0.09611286,0.87946385,0.7560663,1.4239032,0.05547603,0.6379538,0.5205134,1.3998586,0.47773972,0.3920127,0.83748627,1.9130306,0.5120111,0.24097615,0.65308726,1.9002755,1.0344826,0.12451387,0.86025894,1.9837441,0.543529,0.2755326,0.68623835,1.9587281,1.0853767,0.17458591,idle
0.30567798,0.13161321,-1.2798054,0.9981803,0.34931785,0.030182965,-1.341625,0.99837327,0.25891647,0.05551273,-1.2861826,0.9964924,0.47121683,-0.027308743,-1.3007165,0.9991876,0.2728791,0.021674903,-1.0426502,0.99757415,0.37293467,0.18166642,-1.2248237,0.99966496,0.3186909,0.19212843,-1.1544414,0.99938565,0.6871705,0.17659745,-1.1426604,0.9986439,0.2743215,0.14989598,-0.6028985,0.9984448,0.84044725,0.73911595,-0.9600383,0.9501818,0.3831345,0.39636427,0.049629126,0.19279067,0.81102717,1.2282717,-0.9430648,0.6584698,0.37351474,0.58188593,0.45031524,0.3018793,0.73475313,0.8583993,-0.09606439,0.9420586,0.5098975,0.7370449,0.09674378,0.87746257,0.75834167,1.4760782,-0.009817838,0.6272241,0.5275798,1.4490886,0.4059072,0.3904966,0.8405679,2.004022,0.43240365,0.22199751,0.65191805,1.9804143,0.9254805,0.11589525,0.86417705,2.0846717,0.4583884,0.25490886,0.6811336,2.0420108,0.9670617,0.16046563,idle
