x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.4209548,0.19935308,-1.1890166,0.9999671,0.47926098,0.12687731,-1.1052122,0.99994385,0.3524814,0.12777531,-1.0932604,0.99994206,0.5405531,0.18298197,-0.5898663,0.9999404,0.29808965,0.18883644,-0.5180409,0.99994814,0.4653377,0.3028691,-1.0041982,0.99996376,0.3722558,0.30842316,-0.98359025,0.999962,0.73526514,0.66164345,-0.33488992,0.9989973,0.11042855,0.7056604,-0.38450477,0.9993407,0.88171273,1.0112575,-0.48498353,0.1678696,-0.014374435,1.2557092,-0.7451474,0.20612155,1.0122375,1.6470073,-1.0415064,0.0623322,-0.013722897,1.6649607,-1.8343475,0.100393616,0.6600429,1.7467806,-0.079240076,0.0009352085,0.23567387,1.7704624,0.086910225,0.0009153709,0.69024175,2.6681273,-0.06978872,0.0001330965,0.2957446,2.6929731,0.17068349,7.196396e-05,0.73651797,3.4892035,0.7543924,4.0560484e-05,0.35289502,3.506279,0.7916977,3.5844146e-06,0.75439787,3.6148365,0.7822398,3.8309914e-05,0.34948653,3.6313517,0.82661235,9.973988e-06,idle
0.42071733,0.2344651,-1.2311383,0.99996424,0.47840342,0.1660331,-1.1401693,0.99993914,0.35249358,0.16533102,-1.1406349,0.9999378,0.5345403,0.20976306,-0.59070194,0.9999346,0.2979012,0.21372332,-0.56639373,0.99994355,0.4642662,0.3262317,-1.0281384,0.9999613,0.37213096,0.33391157,-1.0236753,0.9999598,0.71690243,0.6654509,-0.31046194,0.9990299,0.11378034,0.7067372,-0.3846854,0.99935293,0.86406213,0.990588,-0.41663495,0.16928741,-0.015625054,1.246628,-0.587356,0.22439614,0.9906082,1.5874672,-1.0389148,0.059785,-0.015955428,1.6667737,-1.4694345,0.09997894,0.6379918,1.72316,-0.079554714,0.00094904535,0.23573323,1.7462589,0.08723174,0.0009293432,0.67929083,2.6200266,-0.21554609,0.00018247825,0.29740024,2.6479874,0.01403339,9.6754724e-05,0.7317406,3.4383132,0.4891728,4.8681013e-05,0.3564386,3.4603271,0.3840852,4.7345256e-06,0.74962574,3.5657923,0.5080243,4.6679397e-05,0.35292032,3.5878096,0.38964087,1.4445563e-05,idle
0.42071182,0.2498608,-1.2923973,0.99996185,0.47792625,0.18365023,-1.1947286,0.9999366,0.35265902,0.18301521,-1.1975465,0.9999342,0.53139204,0.22273465,-0.59707135,0.9999327,0.2978918,0.22885872,-0.59144056,0.99994034,0.46402454,0.3372368,-1.0731717,0.9999603,0.3722813,0.34450492,-1.0732781,0.9999581,0.7075558,0.66548115,-0.2973735,0.99906796,0.123887874,0.70579845,-0.38035607,0.9993523,0.8450367,0.97666675,-0.39578032,0.17517886,-0.025947383,1.2100824,-0.6318067,0.24465553,0.9856242,1.5530689,-1.0496255,0.05904473,-0.04975826,1.579163,-1.5156937,0.101817474,0.63070345,1.6995933,-0.08098689,0.00095634523,0.23573187,1.7198824,0.0887066,0.00093526003,0.6724707,2.5885618,-0.20317996,0.00019296083,0.29546508,2.610333,0.016627762,0.00010485973,0.72301996,3.4003801,0.5453073,5.0928193e-05,0.3521922,3.4209223,0.44526744,5.3654826e-06,0.74057704,3.523886,0.5667338,4.9334238e-05,0.34819487,3.5455315,0.4579791,1.6918235e-05,idle
0.41913804,0.25422445,-1.2726848,0.9999631,0.47519144,0.18671766,-1.1802942,0.99993765,0.35147625,0.1890348,-1.1777909,0.99993604,0.5242564,0.22463451,-0.5882194,0.99993193,0.2961592,0.23377906,-0.5821487,0.99994123,0.46276993,0.34011784,-1.0642303,0.9999601,0.37143108,0.34972697,-1.0580617,0.99995804,0.70645297,0.665554,-0.2464329,0.9991097,0.12356404,0.70857304,-0.37928274,0.9993909,0.8400642,0.97679895,-0.17917937,0.17848165,0.00021547536,1.2115574,-0.39431885,0.2640317,0.9693645,1.5653744,-0.6929662,0.05685917,-0.0376179,1.5910863,-1.0820603,0.103749454,0.63163185,1.6870372,-0.07824649,0.00093651644,0.24158661,1.7116039,0.08588059,0.0009197798,0.6728343,2.5674589,-0.21075964,0.00018884211,0.3029258,2.595069,0.04421995,0.00010513478,0.72332937,3.377616,0.5387987,5.1543775e-05,0.3579795,3.4081597,0.54763806,5.6524395e-06,0.74071515,3.5032322,0.5629529,5.1025374e-05,0.35434556,3.5354886,0.56947255,1.7831797e-05,idle
0.41468483,0.25093377,-1.1371651,0.99996483,0.47080636,0.18295208,-1.0493653,0.9999393,0.34880465,0.18508764,-1.0493201,0.99993896,0.5194801,0.22329822,-0.5324114,0.99993175,0.2931631,0.23188807,-0.5205111,0.9999437,0.45842737,0.33945224,-0.9550907,0.99996066,0.36744213,0.34922966,-0.94957936,0.9999593,0.706552,0.66542345,-0.2528014,0.99912405,0.12275243,0.711361,-0.36479634,0.9994245,0.83424646,0.9780367,-0.21295026,0.17573702,0.008798222,1.2199944,-0.34638235,0.26977754,0.9383917,1.5720599,-0.60809076,0.05423994,-0.014053221,1.657959,-0.97688454,0.1072641,0.632877,1.68071,-0.07875584,0.0008799973,0.24221082,1.7080108,0.08629609,0.0008714706,0.67100495,2.5685523,-0.19161502,0.0001814443,0.30286193,2.599145,0.04686352,0.000100369245,0.7154537,3.379699,0.5710487,5.084189e-05,0.3578954,3.411364,0.5854882,5.4893235e-06,0.7311017,3.5045383,0.59703094,5.0373554e-05,0.35435963,3.5384028,0.6093297,1.7261342e-05,idle
0.40923333,0.25012815,-1.2932278,0.9999632,0.46583328,0.18033366,-1.1945739,0.9999362,0.34332007,0.18238892,-1.1967138,0.999936,0.51430386,0.22205673,-0.6002552,0.999927,0.28948215,0.23016424,-0.5976798,0.9999408,0.45430842,0.33812875,-1.0790642,0.9999591,0.36398524,0.3475472,-1.0777245,0.9999579,0.70625657,0.66373956,-0.2895594,0.9991319,0.12231994,0.7102527,-0.37105796,0.99942195,0.83429986,0.9874451,-0.39071682,0.17906612,-0.0014035889,1.2217838,-0.46446925,0.27915448,0.92720807,1.574106,-1.0903013,0.051889334,-0.034299806,1.6558322,-1.2851368,0.10673985,0.6230715,1.6725361,-0.08337258,0.0008623584,0.23163185,1.695368,0.090978764,0.0008563814,0.65298843,2.5632417,-0.18365899,0.00018924112,0.2832728,2.5862117,0.05164274,0.000104736835,0.6820477,3.3698258,0.6447777,5.1212257e-05,0.32275918,3.3973272,0.57676136,5.964192e-06,0.69559413,3.494148,0.6741445,4.9880615e-05,0.31873602,3.524877,0.5976736,1.8508616e-05,idle
0.40932244,0.26571363,-1.2779458,0.99996156,0.4659542,0.19148372,-1.1901801,0.9999334,0.3433987,0.19543883,-1.1903561,0.9999331,0.51481926,0.22846168,-0.61602235,0.9999239,0.2894669,0.24125727,-0.5994432,0.99993885,0.45432487,0.35555744,-1.0734603,0.9999565,0.3640384,0.36489472,-1.069672,0.9999561,0.7016854,0.66821647,-0.35973215,0.99911755,0.12491407,0.71162623,-0.39265814,0.9994037,0.82965124,0.9923745,-0.4917113,0.17074609,-0.021654911,1.2185217,-0.5730847,0.27908832,0.93156844,1.5652937,-1.0758141,0.051395144,-0.05038635,1.6313782,-1.4249488,0.106811084,0.61685526,1.6763622,-0.08336109,0.0008219861,0.22952874,1.6994692,0.09096916,0.0008177543,0.64739805,2.5685966,-0.20669183,0.00020079757,0.2835487,2.5932357,0.026634172,0.000105441795,0.68428946,3.3770573,0.51041245,5.170286e-05,0.32510898,3.40091,0.42125148,5.701751e-06,0.7000661,3.5016434,0.5305135,5.0470786e-05,0.32010365,3.5274146,0.43139666,1.807187e-05,idle
0.41051412,0.27564967,-1.2837743,0.9999525,0.46689755,0.20128788,-1.1987765,0.999916,0.345869,0.20364556,-1.2027926,0.99991924,0.5150093,0.23744525,-0.63770455,0.9998998,0.29055643,0.24962738,-0.64132386,0.9999272,0.45469418,0.36705342,-1.079674,0.9999459,0.36548337,0.37339225,-1.07936,0.9999485,0.695845,0.6685575,-0.35226485,0.9990387,0.12698613,0.7124992,-0.42136496,0.99938005,0.83055514,1.1211628,-0.47272706,0.16685301,-0.018035335,1.2197715,-0.5543644,0.2869058,0.92592984,1.56576,-1.0464108,0.049851447,-0.037608773,1.636349,-1.3492413,0.109841585,0.6129051,1.6768817,-0.081848085,0.000808417,0.22910266,1.7016627,0.08932006,0.00080793456,0.64194584,2.572817,-0.20521569,0.00023507289,0.28367472,2.5969183,-0.011863881,0.00011733192,0.6786124,3.3823383,0.5014988,6.02713e-05,0.3268188,3.402537,0.38030082,6.225287e-06,0.6940051,3.5070872,0.5208027,5.8165002e-05,0.32238147,3.5285597,0.39003155,2.0568974e-05,idle
0.41061163,0.28240904,-1.2736886,0.99994856,0.46695858,0.20708176,-1.1875975,0.99990827,0.3468788,0.20952253,-1.1904022,0.99991304,0.5154368,0.24253464,-0.63688934,0.999888,0.2911812,0.25480986,-0.62696517,0.9999213,0.45475417,0.37351105,-1.0722387,0.99994063,0.36600813,0.38022575,-1.0691712,0.99994415,0.6924234,0.6694961,-0.32170045,0.99901193,0.12891512,0.7142135,-0.4192249,0.99938124,0.8111575,1.0836257,-0.41015974,0.16525988,-0.0043383893,1.2224537,-0.46469194,0.29596066,0.91627884,1.5672809,-1.0312873,0.047768287,-0.023773838,1.6440766,-1.2021805,0.11145042,0.61141723,1.6768306,-0.08183249,0.00078759936,0.2292004,1.6990294,0.08929203,0.0007898628,0.63935035,2.5655112,-0.22005384,0.00024016376,0.28397918,2.5852997,-0.00956477,0.000120948804,0.67489237,3.3725984,0.49545366,6.2519815e-05,0.32792127,3.3889685,0.3927419,6.5624035e-06,0.6893556,3.4965272,0.5172737,6.0408034e-05,0.32356364,3.5145042,0.40433854,2.195803e-05,idle
0.4111186,0.2860718,-1.2743909,0.9999391,0.46736327,0.21049193,-1.1887908,0.9998932,0.34823588,0.21220303,-1.1921333,0.9998999,0.5157435,0.24573271,-0.6376819,0.9998664,0.29178345,0.25662744,-0.6343664,0.99991035,0.45480448,0.37708634,-1.0724428,0.99993,0.36672604,0.38287625,-1.0707912,0.9999372,0.68454254,0.67334855,-0.3349399,0.9989038,0.1305092,0.71539235,-0.42029697,0.99934304,0.80448276,1.0788826,-0.46156186,0.15627803,-0.0045028552,1.228003,-0.4919931,0.3025065,0.8946824,1.5643458,-1.122953,0.04528048,-0.020824198,1.6444652,-1.3094807,0.11053139,0.60427195,1.6781459,-0.082170434,0.00077060034,0.22513938,1.7001185,0.08965321,0.0007764767,0.628856,2.5674312,-0.2590311,0.0002857971,0.27323058,2.5865874,-0.03515669,0.00013446421,0.66348946,3.3750281,0.38786924,6.8492365e-05,0.31432867,3.3886619,0.28996155,6.911416e-06,0.68040127,3.4990797,0.4027082,6.628665e-05,0.31066513,3.5136375,0.29241052,2.3908538e-05,idle
