x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.53621006,-0.13248312,-1.7100128,0.9889397,0.5956735,-0.21188246,-1.6508124,0.97725976,0.5027765,-0.22644925,-1.652695,0.98721886,0.6454427,-0.1526917,-1.1061736,0.9645359,0.47580743,-0.19245182,-1.0926702,0.99011034,0.56753296,-0.03258431,-1.4943712,0.99177355,0.4982036,-0.042295575,-1.4914665,0.9953759,0.75274074,0.25032806,-0.6089955,0.99187136,0.28524554,0.1833161,-0.696508,0.99883455,0.8147537,0.8254812,-0.30934432,0.61447704,0.13612476,0.7508835,-0.48392534,0.8855585,0.825359,1.1503302,-0.91252536,0.24947605,0.18088262,1.1700673,-0.9447529,0.5565574,0.6177834,1.2028309,-0.01185343,0.18953194,0.30360585,1.0038803,0.014429914,0.29844666,0.5955501,2.0494616,0.024644032,0.0037634827,0.25186044,2.009659,0.05369828,0.005406951,0.57923484,2.8742127,0.89295924,0.00097398396,0.25791755,2.8292856,0.76350653,0.0012553942,0.57569844,2.9851446,0.9418877,0.0014370141,0.25104475,2.937675,0.8123752,0.002743812,idle
0.57330084,-0.12766592,-1.8551916,0.98958236,0.6239428,-0.20062861,-1.7959232,0.97861475,0.5375164,-0.22036062,-1.8257965,0.98789805,0.654466,-0.13519391,-1.2792974,0.9667123,0.49243698,-0.18234242,-1.3970977,0.990653,0.58981925,-0.023365349,-1.6495603,0.9922401,0.53211343,-0.03517733,-1.6828654,0.99563944,0.7525182,0.25057596,-0.82483083,0.9924974,0.28567687,0.1830685,-1.0432376,0.99889994,0.8150784,0.813953,-0.58323705,0.6240596,0.13347077,0.7276782,-0.8301724,0.8858641,0.83540726,1.164903,-1.1568456,0.25504106,0.100993834,1.1909355,-1.2039717,0.5556796,0.6240945,1.1815923,-0.01185234,0.18056937,0.30667606,1.00055,0.014422623,0.28543305,0.5986954,2.0083132,0.3086143,0.003736481,0.25711235,1.9804164,0.19290404,0.0051176464,0.58457917,2.796227,1.4202476,0.00096125447,0.26210153,2.755879,1.0837587,0.0011718868,0.5782116,2.9050758,1.4978902,0.0013974098,0.25685042,2.8604352,1.152137,0.0025746154,idle
0.5991804,-0.14047985,-1.7483809,0.99004465,0.63180363,-0.2043352,-1.7232716,0.9795432,0.5414685,-0.22200474,-1.754659,0.9884138,0.6610158,-0.1336828,-1.2587022,0.968345,0.49750748,-0.17893417,-1.3137591,0.99106944,0.59749544,-0.021075368,-1.6274179,0.99259955,0.53952974,-0.028078642,-1.6753719,0.9958677,0.75333923,0.24656242,-0.86647236,0.99304515,0.291694,0.18307921,-1.0094085,0.9989708,0.8192484,0.7763542,-0.6282475,0.6426501,0.12957004,0.7021391,-0.879676,0.8874507,0.8688439,1.1852577,-1.0720809,0.2624258,0.09049638,1.1517453,-1.2076405,0.5625453,0.61977804,1.0309258,-0.009430972,0.19508174,0.3197541,0.99670315,0.011385509,0.30312347,0.6149651,1.9446241,0.42328447,0.004413943,0.27689666,1.9296601,0.28987032,0.0054025454,0.61875916,2.7177992,1.4734534,0.0011316463,0.29075307,2.686919,1.1123688,0.0012687537,0.61175656,2.824089,1.5509108,0.0016269878,0.2880821,2.7923229,1.1777608,0.0027335975,idle
0.59660065,-0.13523635,-1.8477951,0.9901806,0.62900317,-0.20366181,-1.8116211,0.9797423,0.5399295,-0.22204594,-1.8098606,0.9884427,0.66102386,-0.13072443,-1.3589698,0.9686592,0.496839,-0.1791419,-1.3182944,0.99095774,0.59561366,-0.017647186,-1.6767385,0.99268275,0.5359231,-0.02590506,-1.6716149,0.99588466,0.7567186,0.25152418,-0.92088807,0.99346834,0.29780865,0.17880978,-0.97594535,0.9990086,0.8315654,0.7805503,-0.6812331,0.65567774,0.12602663,0.6662428,-0.8081579,0.88568825,0.86444265,1.1996467,-1.1037707,0.2593122,0.093516596,1.1079402,-1.2144978,0.54961836,0.6164654,1.0192527,-0.013361705,0.19026406,0.32128364,0.99572176,0.015464069,0.29613972,0.6154946,1.9442762,0.34157056,0.004626884,0.27748564,1.9154544,0.24589682,0.0052846908,0.61467934,2.7082388,1.3625551,0.0011884939,0.2879233,2.6684651,1.034622,0.0012165506,0.6081886,2.8151557,1.432111,0.0016783763,0.2844532,2.77078,1.0933661,0.0026581187,idle
0.58940196,-0.13508381,-1.6836834,0.9897328,0.62882006,-0.2054097,-1.6590694,0.97888285,0.53891504,-0.22209157,-1.6550074,0.98797864,0.6611529,-0.13117796,-1.2928798,0.96718925,0.4983054,-0.1792956,-1.2853391,0.99069244,0.59657276,-0.017406752,-1.5487982,0.99208224,0.53860366,-0.02571194,-1.5375801,0.99568295,0.75742644,0.252384,-0.8646901,0.9936116,0.3014718,0.17882374,-0.96470594,0.99902236,0.83102065,0.78018475,-0.6506764,0.66255534,0.114249706,0.6421131,-0.897628,0.8822925,0.87229615,1.2130896,-1.0671129,0.26379144,0.084161304,1.0658606,-1.2690265,0.5496986,0.6151247,0.99541086,-0.007915662,0.19639578,0.32448313,0.9885389,0.009689764,0.30218014,0.61044466,1.9198155,0.38399425,0.0056669354,0.27646047,1.8854423,0.24454184,0.0057055494,0.6055883,2.6851451,1.3481225,0.0014212797,0.28510505,2.6427796,0.9941217,0.0013251614,0.59721744,2.7948449,1.4164646,0.0019122985,0.28372383,2.7477546,1.0497637,0.0027382276,idle
0.58477294,-0.11376702,-1.7943623,0.99021125,0.6234764,-0.19395408,-1.792659,0.9799884,0.53830725,-0.19830069,-1.7797222,0.988528,0.65550333,-0.12775382,-1.4945686,0.9693151,0.49809033,-0.17473048,-1.4309273,0.991139,0.59505403,-0.0030393486,-1.6677021,0.9925052,0.5366864,-0.012392099,-1.6473777,0.9959133,0.756529,0.24937217,-1.1121557,0.99385905,0.3022836,0.17881346,-1.0694104,0.9990259,0.83063823,0.75193757,-1.0012509,0.675875,0.09926552,0.62001723,-1.0489713,0.88224894,0.8880645,1.211571,-1.3505719,0.2749797,-0.05653689,1.0576413,-1.3966323,0.5629716,0.61446357,0.9559995,-0.009266386,0.21436496,0.3288296,0.960151,0.010834958,0.3217174,0.6047703,1.8342779,0.34247267,0.013307039,0.27399,1.8122629,0.22010145,0.0102246255,0.5987524,2.574544,1.0435326,0.0032399045,0.2814203,2.5604894,0.7735261,0.003665092,0.5888178,2.6758492,1.0973252,0.003475432,0.2814985,2.6664965,0.8045355,0.004407694,idle
0.5659105,-0.07384482,-1.8001143,0.9910718,0.6139138,-0.17357025,-1.7978413,0.9817797,0.52386355,-0.19005707,-1.7801857,0.98955476,0.65565693,-0.12030835,-1.5012931,0.9721265,0.49295545,-0.17363635,-1.407132,0.991944,0.5884918,0.025340293,-1.6689789,0.9931874,0.5273693,0.013304939,-1.642209,0.9962919,0.76513255,0.2526771,-1.1293638,0.9942463,0.3060295,0.17245866,-1.0525111,0.99909294,0.83354455,0.75424075,-1.0689707,0.6943493,0.07870044,0.5915019,-1.0500329,0.88586855,0.8984065,1.2184108,-1.4352958,0.30038378,-0.13489947,1.0286328,-1.4059604,0.5889351,0.6156397,0.9282803,-0.009021128,0.24627285,0.33658564,0.9266005,0.010561781,0.3596598,0.5985249,1.774227,0.33890805,0.024415866,0.2455451,1.7642473,0.25327995,0.01778178,0.5790273,2.49025,1.0735688,0.007867517,0.25226206,2.4892511,0.78868806,0.010333694,0.56628597,2.588653,1.1301721,0.0077642617,0.26178437,2.587414,0.8222297,0.008074129,idle
0.5639249,-0.07157703,-1.783741,0.99195063,0.61381215,-0.17121752,-1.7828528,0.9835741,0.52246153,-0.18876359,-1.7693586,0.9905825,0.66243935,-0.12079107,-1.4333909,0.9748822,0.49276933,-0.17338115,-1.3574971,0.9927387,0.58814824,0.02396672,-1.6458559,0.9938614,0.5272073,0.012585269,-1.6365474,0.9966595,0.76860344,0.2455914,-1.0600889,0.9947613,0.3215115,0.15267235,-1.0052158,0.9991774,0.83320963,0.71896535,-1.0079035,0.7175978,0.080066785,0.5245281,-0.9769948,0.89445984,0.9147752,1.1400032,-1.461607,0.34036428,-0.1535525,0.90074563,-1.3472826,0.62353915,0.6170925,0.89580595,0.0023181015,0.297933,0.3458467,0.8928274,-0.0009730164,0.412247,0.6067602,1.6806513,0.4629728,0.04546878,0.2648867,1.6935813,0.37057376,0.039635148,0.59245527,2.3742633,1.2602789,0.018417032,0.27511477,2.4081852,0.9254074,0.03295047,0.57972413,2.4675262,1.3241968,0.016934687,0.28066772,2.5020432,0.96241474,0.022184618,idle
0.56360376,-0.05079531,-1.8972414,0.9927472,0.61790425,-0.15189007,-1.8938328,0.9852051,0.5221518,-0.17012374,-1.8775346,0.99151635,0.6705824,-0.116077155,-1.5701268,0.977382,0.49261728,-0.15796849,-1.4930993,0.99345934,0.5904943,0.035804555,-1.7597481,0.9944717,0.5268165,0.017597655,-1.7376721,0.99699193,0.7732976,0.24792163,-1.2160075,0.9952537,0.32614297,0.15120324,-1.105796,0.999253,0.8331052,0.70494395,-1.1885518,0.73995423,0.08264566,0.46885163,-1.2498757,0.9024791,0.9163164,1.1458715,-1.5883293,0.37517065,-0.15066269,0.7963798,-1.7387497,0.6546387,0.63510585,0.8691609,0.0031174337,0.36071438,0.3645253,0.8707172,-0.0019237014,0.46744338,0.6445286,1.571053,0.5240109,0.075034045,0.3138371,1.5941727,0.4273382,0.063587315,0.624978,2.2227418,1.3483036,0.037520498,0.31580222,2.2592545,1.0098617,0.059921134,0.60980207,2.3032768,1.4153734,0.04069812,0.3238684,2.345997,1.0534441,0.042391546,idle
0.56410795,-0.06309438,-1.889354,0.9934358,0.6197253,-0.1529325,-1.8841417,0.9866478,0.5240332,-0.17169636,-1.8709917,0.9923307,0.6700549,-0.11887875,-1.4835198,0.979606,0.49272227,-0.15886572,-1.4234074,0.99408865,0.59313136,0.027210843,-1.707824,0.9950078,0.5290626,0.0035152482,-1.6909539,0.9972834,0.7753304,0.22676717,-1.1763687,0.9956667,0.33018082,0.14822516,-1.0613476,0.99928534,0.8325208,0.66555744,-1.2524238,0.7575922,0.08521528,0.4572464,-1.1430776,0.9089784,0.9147502,1.0881077,-1.7492361,0.40692472,-0.20576902,0.69110584,-1.5153255,0.67674845,0.6450782,0.84943324,0.002785838,0.41900432,0.3791919,0.8640602,-0.001545573,0.5170545,0.6661066,1.4710793,0.4824288,0.095109075,0.354918,1.4830822,0.41037315,0.08284481,0.6462109,2.0657413,1.2873213,0.0508271,0.3505623,2.0889165,0.9786171,0.07693405,0.6314612,2.1373184,1.3511338,0.059764985,0.3574791,2.159385,1.0228313,0.05767671,idle
