x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.40429378,0.26782483,-0.24489847,0.9999469,0.40229955,0.25540885,-0.22133979,0.9998968,0.3916778,0.25384507,-0.23745354,0.99993014,0.39283663,0.2621982,-0.06329711,0.9997544,0.36899328,0.26383144,-0.14207242,0.99993926,0.40332255,0.28329986,-0.18346915,0.9998683,0.3958813,0.28445694,-0.20642444,0.9999261,0.42763573,0.35556766,0.047097873,0.99959654,0.31542602,0.3489242,-0.069296755,0.9999085,0.44936967,0.46937436,-0.037025526,0.75203276,0.27851436,0.44678476,-0.22750688,0.9918425,0.47595492,0.40364617,-0.32733947,0.90457386,0.29612866,0.40124765,-0.5139255,0.9852225,0.41979748,0.582159,0.032347873,0.9993318,0.34582976,0.5925014,-0.032222513,0.99948645,0.46471888,0.7418072,0.042041756,0.87968904,0.33902794,0.74347454,-0.01392941,0.9853462,0.50319785,0.9045086,0.16260785,0.92116106,0.3121636,0.9067447,0.17218992,0.985243,0.49703726,0.9326767,0.16595967,0.9061895,0.3164401,0.9287226,0.1779441,0.89068025,idle
0.4061016,0.2706151,-0.2567211,0.9999508,0.403984,0.2578171,-0.23416886,0.99990475,0.39320275,0.25640804,-0.2511961,0.9999338,0.39443243,0.26423872,-0.07832504,0.9997735,0.3722219,0.26570323,-0.15998277,0.9999404,0.40526137,0.28585824,-0.19583842,0.99987864,0.39757568,0.2865347,-0.21986322,0.9999311,0.43133277,0.3563413,0.025879864,0.9996337,0.31990382,0.35232303,-0.077845,0.99990964,0.4527927,0.46920145,-0.07369842,0.77222455,0.29389077,0.45379597,-0.23871338,0.9909286,0.47929984,0.40613946,-0.38385954,0.91354334,0.30034432,0.40569672,-0.53246135,0.9856716,0.42657843,0.5829685,0.027870659,0.99938524,0.35367545,0.5941065,-0.027758047,0.99952465,0.47233734,0.74165666,0.03668119,0.8914638,0.34435254,0.74291766,-0.0026875783,0.9865156,0.50216424,0.9045074,0.17827632,0.92864364,0.31233236,0.90445364,0.1881763,0.9863455,0.49444088,0.93264866,0.1837662,0.9125439,0.31646776,0.9281105,0.19803508,0.894309,idle
0.40737897,0.26965612,-0.25683144,0.99995476,0.40620002,0.25676644,-0.23400757,0.9999128,0.3944872,0.25552255,-0.24880376,0.99993795,0.39943925,0.2639982,-0.08028679,0.9997936,0.37555987,0.26563823,-0.1537038,0.99994284,0.40789598,0.28499657,-0.19727169,0.99988925,0.3993277,0.28565696,-0.21830682,0.9999364,0.4358685,0.35630882,0.016684413,0.99966776,0.32641247,0.35334527,-0.07919796,0.99990964,0.4592998,0.47084776,-0.09969278,0.79155415,0.29699677,0.45254764,-0.24334972,0.9899597,0.4823698,0.40484074,-0.41129446,0.9217531,0.30189392,0.40162364,-0.5402942,0.98589075,0.43079028,0.5868865,0.024050005,0.99943554,0.36032167,0.5971125,-0.023961581,0.9995619,0.47756648,0.744973,0.035495747,0.90204877,0.3462012,0.75816923,-0.0019256857,0.98763686,0.50453466,0.90562886,0.22676596,0.9352657,0.3130462,0.9090974,0.20261481,0.9874169,0.49692106,0.932746,0.23737288,0.9170726,0.3185036,0.9333945,0.21435097,0.8985244,idle
0.40853947,0.2692715,-0.2856649,0.9999588,0.40939593,0.2562586,-0.26309407,0.99992067,0.3957966,0.2549108,-0.27533406,0.99994296,0.40617737,0.26409194,-0.10418262,0.9998126,0.37831908,0.26476118,-0.16514519,0.99994683,0.41011372,0.28472075,-0.2237592,0.99989945,0.40045133,0.28533512,-0.2415754,0.9999419,0.43943697,0.3556464,0.0049533485,0.99969906,0.33072132,0.35199896,-0.08160612,0.9999135,0.46408948,0.4703023,-0.102340385,0.8100303,0.30249822,0.45321015,-0.24986902,0.9894753,0.48740345,0.40366957,-0.40907487,0.9293075,0.3036941,0.39940083,-0.567165,0.9866154,0.434649,0.5880355,0.022999205,0.9994841,0.3641513,0.59738797,-0.022976581,0.999599,0.47925004,0.74939364,0.04211689,0.91164124,0.34649563,0.759362,-0.008576771,0.98871833,0.5065092,0.905739,0.26367655,0.94137216,0.31306672,0.90938854,0.19357193,0.9884646,0.4980877,0.9327171,0.276505,0.9220073,0.31900313,0.93394256,0.20541699,0.90353143,idle
0.4104913,0.2687499,-0.26513568,0.99996185,0.4117527,0.2557096,-0.24402817,0.99992687,0.39779672,0.25439677,-0.25657082,0.9999459,0.40857434,0.26358902,-0.09356557,0.9998278,0.38109,0.26406965,-0.15777215,0.99994814,0.41242567,0.28425148,-0.20625952,0.9999077,0.40260974,0.28483745,-0.22451396,0.99994594,0.44035792,0.3534463,0.009253846,0.99972636,0.3336664,0.35073265,-0.070475675,0.9999153,0.46498722,0.46989754,-0.10150243,0.82642543,0.3067587,0.45420775,-0.21822584,0.9891412,0.48953095,0.40025485,-0.4115754,0.93605345,0.30532655,0.3981532,-0.5454444,0.9873916,0.4344595,0.58785594,0.021302529,0.9995258,0.36454418,0.5963813,-0.021269131,0.99962944,0.4788987,0.74836063,0.038492743,0.92014116,0.34723756,0.758603,0.0018894359,0.9895845,0.505355,0.9057129,0.2248948,0.9466482,0.31319788,0.9056274,0.20113888,0.98921716,0.4952313,0.9326975,0.23343435,0.9256289,0.31860143,0.92988765,0.21280432,0.9053339,idle
0.41229463,0.2684573,-0.26589277,0.99996454,0.41379657,0.2552881,-0.24463832,0.9999325,0.39941493,0.25401494,-0.25672215,0.99994856,0.41042787,0.26314047,-0.09519906,0.99984205,0.3827178,0.2635863,-0.15591656,0.9999497,0.41458693,0.283969,-0.2077811,0.9999155,0.40445986,0.2846463,-0.2252011,0.9999499,0.44151092,0.35213217,0.005613499,0.999751,0.33453384,0.35007316,-0.072349146,0.9999147,0.46887413,0.46965015,-0.09961974,0.84158784,0.30574924,0.45355693,-0.22168577,0.9888609,0.49174437,0.39795032,-0.39805967,0.9421237,0.3060505,0.39756542,-0.5303942,0.98805887,0.43506798,0.5877,0.021412661,0.999562,0.364228,0.5962752,-0.021347824,0.9996509,0.47900748,0.7477637,0.010435379,0.92775506,0.34699875,0.7600546,0.021467242,0.9902168,0.5065124,0.9057215,0.18152735,0.9511672,0.31320268,0.905598,0.2519607,0.9896306,0.49568677,0.9326841,0.18941543,0.9271715,0.31826964,0.92905647,0.26721904,0.9042445,idle
0.41377315,0.26815608,-0.2560411,0.99996597,0.41514692,0.2550753,-0.23428135,0.99993587,0.4009974,0.2538291,-0.2485188,0.9999483,0.41115087,0.2628827,-0.08655606,0.99985087,0.3835297,0.26324236,-0.14943266,0.9999467,0.41607386,0.28369987,-0.1982453,0.99992037,0.4060293,0.28437337,-0.21803577,0.9999516,0.4420181,0.35177273,0.009337124,0.9997712,0.3350206,0.3495284,-0.06580769,0.99991125,0.46907943,0.46957996,-0.0912548,0.8550982,0.30494785,0.45208737,-0.20861933,0.98840314,0.49255514,0.39780107,-0.37777087,0.94756943,0.3065185,0.39747965,-0.49692297,0.9885921,0.4344206,0.58774585,0.021046607,0.99959046,0.3637256,0.5964851,-0.020949507,0.99966824,0.47807527,0.7473245,0.012592619,0.93462014,0.346963,0.75948995,0.036774598,0.9907994,0.50597686,0.90569365,0.14747259,0.95530707,0.31375656,0.90378696,0.25971353,0.99007326,0.49562854,0.93232,0.15122467,0.92940384,0.31943646,0.9261205,0.2737077,0.90534693,idle
0.41487083,0.2680568,-0.27676067,0.9999682,0.41604584,0.25495374,-0.25591838,0.9999404,0.40217525,0.25376874,-0.26695663,0.9999504,0.41144675,0.26268497,-0.10694472,0.9998622,0.38420638,0.2630495,-0.16031025,0.99994767,0.4170804,0.2835537,-0.21875784,0.9999266,0.4071173,0.28414866,-0.23467335,0.9999548,0.44342166,0.35174662,-0.006222589,0.999791,0.33517057,0.35014609,-0.06946589,0.99991196,0.4690543,0.46920928,-0.11352738,0.8675841,0.3039699,0.4518507,-0.2187649,0.98826504,0.49254236,0.39778426,-0.4193008,0.9525161,0.3068067,0.39688292,-0.5213724,0.989186,0.43397766,0.58845615,0.019666303,0.99961793,0.36307767,0.59729135,-0.01958607,0.999685,0.47665015,0.75061214,0.01157957,0.94086653,0.3460841,0.75903434,0.033873,0.99142176,0.5062505,0.9065091,0.16178906,0.9592,0.31376722,0.9036436,0.26766208,0.9905762,0.4961365,0.9324928,0.16712138,0.9316728,0.31953517,0.9261873,0.28290507,0.906518,idle
0.4160326,0.26816395,-0.26726457,0.9999697,0.4167703,0.25497726,-0.24623485,0.999944,0.4035224,0.25384894,-0.25890973,0.9999515,0.41128,0.26253542,-0.09740459,0.99987125,0.38498527,0.2629289,-0.15831585,0.9999477,0.41791242,0.28356108,-0.20917375,0.99993163,0.4082338,0.28405344,-0.22733507,0.9999572,0.4439846,0.35170037,0.005007145,0.9998086,0.33548874,0.3500145,-0.07167921,0.99991256,0.46888524,0.4689364,-0.09945634,0.8780323,0.30318934,0.45206454,-0.21982507,0.98802054,0.49188995,0.39820543,-0.40149984,0.956843,0.30707103,0.39707673,-0.5188781,0.9896261,0.4332158,0.5884212,0.021657657,0.99964094,0.3627076,0.5972636,-0.021572998,0.99969745,0.47574735,0.7451343,0.0084466785,0.94647217,0.34603402,0.75612336,0.028414186,0.9919079,0.50493014,0.9064102,0.14784804,0.96267605,0.31377137,0.9024632,0.25339243,0.9908971,0.49519938,0.9325321,0.15228096,0.93381387,0.31933337,0.9252562,0.26770452,0.9054181,idle
0.4171141,0.26825094,-0.26044026,0.9999706,0.41733384,0.25498167,-0.24069555,0.99994636,0.40467995,0.25384215,-0.25322357,0.99995154,0.4110674,0.26242176,-0.09549302,0.99987656,0.38536924,0.26281077,-0.1554933,0.99994665,0.41875863,0.2836046,-0.20329173,0.99993455,0.4094109,0.28396845,-0.22152027,0.99995834,0.44349128,0.35138935,0.006601886,0.9998221,0.33531094,0.34997097,-0.07095182,0.9999117,0.4678344,0.46871093,-0.089683846,0.8867911,0.30250734,0.4514061,-0.21664807,0.9881239,0.49086347,0.39823198,-0.3875308,0.9606413,0.3071458,0.39686763,-0.5045335,0.9900914,0.43263513,0.5876571,0.02324893,0.999655,0.3625756,0.5967152,-0.023170933,0.9997014,0.47494417,0.74063957,0.0043728985,0.9514015,0.3458193,0.74828154,0.021427024,0.99224085,0.5039209,0.90637577,0.099456124,0.96571976,0.31359887,0.900973,0.24971095,0.99102277,0.49406433,0.93298763,0.099346675,0.93634075,0.3192968,0.9230919,0.25796336,0.9023799,idle
