x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.40395442,0.058186546,-0.4311695,0.99817044,0.42282623,0.032998826,-0.4175617,0.9982593,0.39188093,0.03576696,-0.4020454,0.99630016,0.44628268,0.041911226,-0.29860777,0.9984991,0.38814673,0.050072912,-0.21289642,0.99544275,0.42014208,0.08402772,-0.3801941,0.99762857,0.40075478,0.08365141,-0.35885507,0.99534315,0.5024373,0.17312585,-0.23280713,0.9996986,0.36696085,0.19304271,-0.07745277,0.9988377,0.526641,0.32199487,-0.4285658,0.98835707,0.34871203,0.35637668,-0.22847709,0.5556307,0.45456186,0.29321262,-0.70187473,0.9656646,0.3357715,0.2665946,-0.64272654,0.69792366,0.47854805,0.49430713,-0.048728973,0.9990218,0.3892407,0.49252203,0.048582736,0.99909335,0.5000911,0.6800973,0.06467943,0.9941629,0.36602467,0.6834952,0.20378432,0.9913036,0.52733344,0.8386106,0.35638276,0.992665,0.3611268,0.8479897,0.53310555,0.99307567,0.52319115,0.86435604,0.37448364,0.9162007,0.37655786,0.8669243,0.5575121,0.9632921,idle
0.40320054,0.055542003,-0.41923088,0.99834394,0.42288676,0.03151126,-0.4054351,0.9984156,0.39100152,0.03175671,-0.39015394,0.9966511,0.4449872,0.04217954,-0.27927294,0.9986233,0.3848357,0.047490597,-0.20668146,0.99583864,0.41873115,0.0825602,-0.36980543,0.99785554,0.40009856,0.08100346,-0.34959364,0.99579173,0.50218654,0.17513134,-0.22824144,0.9996976,0.35897237,0.19288199,-0.074117966,0.9989159,0.5204687,0.32330942,-0.41390467,0.98892707,0.33903632,0.35514483,-0.23756035,0.5923626,0.4474306,0.2912708,-0.6630978,0.96793586,0.3308409,0.26575842,-0.6408826,0.7261897,0.4700249,0.4943922,-0.04921971,0.9990464,0.37823206,0.49318293,0.049020894,0.99912006,0.49438214,0.67642874,0.08131203,0.9944177,0.36276263,0.6832458,0.20932412,0.99182725,0.52731824,0.83708483,0.36271158,0.99289787,0.3601293,0.84707123,0.5245006,0.9933159,0.5234833,0.8632033,0.37993145,0.917019,0.37642723,0.86517197,0.5473315,0.9634043,idle
0.40276876,0.051669043,-0.42021552,0.9985009,0.4229018,0.029728627,-0.40214816,0.9985568,0.39059666,0.028280843,-0.38954884,0.9969697,0.4439231,0.042367525,-0.26289475,0.99873227,0.3822079,0.0448284,-0.20402017,0.99620694,0.41841778,0.08016429,-0.3674021,0.9980596,0.3994426,0.07752173,-0.35076323,0.99619794,0.49602413,0.17744675,-0.21584101,0.9996738,0.3508214,0.1928182,-0.07653574,0.998987,0.5156361,0.32973284,-0.40026894,0.98878235,0.3334135,0.35508564,-0.25105935,0.6262906,0.4427564,0.28904352,-0.6736157,0.9689867,0.3289074,0.2675281,-0.6616334,0.7519115,0.46045184,0.49661,-0.048532188,0.9990669,0.3699153,0.49784616,0.048274867,0.9991542,0.49083787,0.6827561,0.066213354,0.99468887,0.3589637,0.68446434,0.1923965,0.9923265,0.5273591,0.8395798,0.3617886,0.9930777,0.35993785,0.84684414,0.5336425,0.9934525,0.5239484,0.8633127,0.38070765,0.91581094,0.37696007,0.86481684,0.5602192,0.9625943,idle
0.40250015,0.045925215,-0.4345902,0.99864626,0.4220469,0.026079778,-0.4124604,0.9986919,0.38821328,0.024253018,-0.40364128,0.9972632,0.4420577,0.040959295,-0.26256853,0.99884444,0.37431234,0.04248034,-0.21425137,0.99656045,0.41485566,0.07473971,-0.37637243,0.9982489,0.3947791,0.071906656,-0.36398333,0.996571,0.48721638,0.17763002,-0.20542315,0.99967897,0.34190077,0.19100328,-0.08688447,0.999058,0.5114514,0.3288503,-0.3793345,0.98867035,0.32877642,0.35459453,-0.25078183,0.6566328,0.43837485,0.2881012,-0.66511995,0.9696026,0.32641482,0.26882645,-0.6565946,0.7748551,0.45409936,0.4958082,-0.04331318,0.9991145,0.36411485,0.49771434,0.043043654,0.99919313,0.4882852,0.68269163,0.034071136,0.9950454,0.3542873,0.68693095,0.16986994,0.992861,0.5261274,0.8415974,0.35273588,0.9934371,0.36012343,0.8466957,0.53941095,0.9937153,0.5218745,0.86412793,0.3698169,0.91592556,0.3773322,0.86441636,0.56810176,0.96207637,idle
0.40225577,0.041969284,-0.47100407,0.99877924,0.42131925,0.021366924,-0.4481968,0.9988183,0.3857932,0.019571273,-0.44102407,0.9975319,0.4384818,0.03617287,-0.2809796,0.9989533,0.3680747,0.038194798,-0.24837983,0.99689156,0.41366276,0.0710368,-0.4086133,0.9984215,0.39101413,0.06822049,-0.39850745,0.9969102,0.47986117,0.17793447,-0.2167433,0.99969393,0.3353389,0.18882506,-0.111074686,0.99913126,0.50293076,0.33318108,-0.38588417,0.9887048,0.32006383,0.3545305,-0.2809816,0.6845454,0.436071,0.28701636,-0.6917914,0.970868,0.32532763,0.26979977,-0.7002596,0.79564106,0.4483993,0.49410298,-0.041472297,0.99916667,0.359916,0.49760038,0.041215174,0.9992386,0.47812557,0.68250626,0.038472425,0.9953861,0.35204035,0.687203,0.19283526,0.99332654,0.5199892,0.8416054,0.3687859,0.99380136,0.3602216,0.8462302,0.5914032,0.9939821,0.5168489,0.8640836,0.3890701,0.91743124,0.37760976,0.86359286,0.6217628,0.9619207,idle
0.396952,0.040033977,-0.44693208,0.998898,0.41667137,0.02107056,-0.42864093,0.9989299,0.38129705,0.019784871,-0.41732007,0.9977726,0.43243495,0.035891753,-0.272307,0.99904656,0.3646683,0.038382154,-0.2301879,0.9971864,0.4084982,0.06835058,-0.39122078,0.99857545,0.38503128,0.06608857,-0.37647596,0.9972143,0.4733285,0.17769498,-0.21190326,0.9996965,0.33221227,0.18653801,-0.10006388,0.99919957,0.49559087,0.33097377,-0.3860033,0.98864704,0.31089586,0.3525875,-0.2740191,0.71138316,0.42890024,0.28526428,-0.6815895,0.97184443,0.31688264,0.2705282,-0.6783839,0.8146025,0.44245425,0.4908892,-0.04013737,0.99919856,0.35565466,0.49540764,0.039877668,0.9992754,0.46732673,0.6811416,0.038602598,0.9956281,0.34999898,0.6869835,0.18308808,0.99371123,0.50900507,0.8406737,0.35989398,0.99401414,0.36032158,0.8460185,0.5593461,0.9941767,0.5036618,0.8636389,0.37989268,0.9189168,0.37773344,0.86312103,0.5842349,0.9614315,idle
0.3949236,0.04153539,-0.43936318,0.99900436,0.41550812,0.022244591,-0.42116767,0.9990293,0.38008323,0.020595869,-0.41009012,0.99798787,0.42926264,0.03629654,-0.26888055,0.99913055,0.3646378,0.038647644,-0.22728217,0.9974498,0.40569916,0.06958334,-0.3846,0.99871343,0.38188332,0.0669433,-0.3705209,0.99748725,0.47000104,0.17844059,-0.21083143,0.9996944,0.32880515,0.18556973,-0.10107933,0.9992562,0.4896025,0.332156,-0.37445745,0.98855305,0.30770227,0.35041368,-0.2651651,0.7343328,0.4246564,0.28516823,-0.6732677,0.9724839,0.3166761,0.27065566,-0.6535296,0.8311267,0.4387645,0.4887284,-0.038926158,0.9991593,0.35271114,0.49438694,0.038734566,0.9992698,0.46137318,0.6795441,0.038170926,0.9956457,0.3489614,0.68685967,0.15523314,0.9938823,0.48596683,0.82937115,0.36674422,0.99360716,0.36065117,0.8460156,0.4917497,0.99400437,0.4807207,0.8514358,0.38874835,0.9139227,0.37792337,0.86290413,0.51590335,0.9594321,idle
0.39281228,0.042422716,-0.43222255,0.99909943,0.41300687,0.023012143,-0.40652794,0.9991182,0.3776663,0.02178628,-0.40230757,0.99818075,0.42626843,0.036660824,-0.25168836,0.9992061,0.36240175,0.038742583,-0.2250425,0.9976853,0.40432376,0.07035669,-0.37255934,0.9988375,0.37967628,0.06786804,-0.36928764,0.99773234,0.4681943,0.1789017,-0.19739398,0.99969673,0.32705826,0.1855367,-0.09531854,0.9992998,0.4860775,0.332098,-0.35268772,0.9884471,0.3026877,0.35030916,-0.26083624,0.7543329,0.4202167,0.28481385,-0.6230557,0.97305113,0.31766748,0.27185982,-0.6385253,0.84483,0.43754634,0.48884496,-0.03557806,0.9991496,0.35118526,0.49446642,0.035447594,0.9992723,0.45794955,0.67946035,0.03861185,0.9958009,0.34777886,0.68670195,0.15629916,0.99418557,0.47112188,0.82976973,0.36700478,0.99359995,0.36069244,0.8459841,0.48567757,0.9940784,0.46316534,0.8520947,0.38848907,0.91340506,0.37781364,0.86253744,0.50947416,0.95870805,idle
0.39007282,0.0432108,-0.4297623,0.9991826,0.4107024,0.023550123,-0.4061606,0.99919355,0.37503284,0.022583518,-0.40029335,0.99834883,0.42457357,0.036929987,-0.2535252,0.99926925,0.36098346,0.039004546,-0.2233021,0.9978831,0.40228066,0.07042675,-0.37177986,0.998947,0.37724993,0.068272896,-0.3650766,0.9979491,0.4673999,0.17888594,-0.19840568,0.999692,0.3264916,0.18543142,-0.091253944,0.9993319,0.48582587,0.33160824,-0.36039263,0.9880768,0.30433246,0.3507965,-0.26037508,0.77174467,0.41956973,0.2847274,-0.624884,0.97333044,0.3150987,0.27183023,-0.65111434,0.8577807,0.43697748,0.4906591,-0.03688551,0.9991329,0.349894,0.49576473,0.036774386,0.9992744,0.454206,0.67987794,0.016965823,0.9958765,0.3467667,0.6868673,0.15108922,0.99441844,0.46064416,0.82824695,0.36816555,0.9934071,0.3609248,0.84517324,0.49242106,0.9941023,0.45176715,0.8495692,0.3921209,0.9125305,0.37785769,0.8608004,0.5155357,0.95828086,idle
0.3899051,0.0437227,-0.42956313,0.99925894,0.4104794,0.023917668,-0.40469846,0.999265,0.37449482,0.02312421,-0.39982164,0.99850386,0.4245862,0.037117846,-0.25323677,0.9993296,0.36102432,0.039161325,-0.2206181,0.9980705,0.4023853,0.070669405,-0.36968237,0.9990472,0.37732756,0.06859383,-0.36351794,0.9981468,0.4678227,0.17920524,-0.19590825,0.9996904,0.32809833,0.1859664,-0.093873926,0.99936026,0.4866193,0.3313694,-0.36358574,0.98792994,0.3090247,0.35711703,-0.26608142,0.7882674,0.41962895,0.28153518,-0.63501,0.97432345,0.3150409,0.2715374,-0.6543351,0.8698509,0.4383858,0.49159664,-0.032576937,0.99914724,0.35069364,0.49584407,0.03246212,0.99928653,0.45434126,0.68016106,0.01939242,0.9959511,0.3454423,0.6867918,0.15443638,0.99466825,0.4592513,0.8289179,0.37600172,0.99332917,0.36096942,0.8438041,0.49367183,0.9941601,0.4493761,0.8500315,0.40017873,0.91389567,0.3776713,0.85919434,0.5178019,0.9577019,idle
