x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.44494128,0.17754927,-0.23103707,0.99972695,0.45641223,0.15783551,-0.2436525,0.9995259,0.43899608,0.1588758,-0.20896046,0.9993638,0.48160878,0.15657373,-0.218546,0.99944615,0.44572133,0.1594431,-0.058555175,0.9991094,0.45652795,0.19162153,-0.21412852,0.9994723,0.44650927,0.19092932,-0.16797902,0.99919593,0.54742044,0.22826825,-0.17893618,0.99960315,0.42872936,0.24689493,0.08044526,0.99963635,0.5441114,0.32734573,-0.38224068,0.99145526,0.37376955,0.33503774,-0.0060430635,0.7879039,0.48646736,0.22975904,-0.533784,0.9839012,0.36944434,0.23312755,-0.3287651,0.8591179,0.50284225,0.51493967,-0.06420206,0.9992437,0.42810708,0.5033541,0.06411769,0.99975395,0.5233726,0.7067674,-0.043066718,0.99815136,0.36499733,0.6678606,-1.2644496e-05,0.99731606,0.53836703,0.85431653,0.26386586,0.9968528,0.34009293,0.84712595,0.19842562,0.99765426,0.5337099,0.8687671,0.28516012,0.90806997,0.35279632,0.8758363,0.21079943,0.9798239,idle
0.42797333,0.17859758,-0.2196018,0.9997483,0.43946195,0.15874124,-0.2330254,0.9995627,0.42223597,0.15989771,-0.1976321,0.9994138,0.4638834,0.15729345,-0.21121964,0.9994902,0.4304622,0.15989758,-0.048159264,0.9991738,0.4420333,0.19243206,-0.2044044,0.99951595,0.43160075,0.19129743,-0.15720679,0.9992608,0.53714,0.23407155,-0.18739411,0.99962616,0.41604584,0.25256127,0.078959934,0.9996594,0.5365,0.32810456,-0.3994026,0.99172306,0.36235452,0.33529705,-0.028175512,0.80091894,0.4693202,0.23142593,-0.5657964,0.9848977,0.35693726,0.23597278,-0.35375258,0.8708734,0.49662033,0.5226683,-0.06540973,0.9992864,0.421969,0.50922126,0.06533738,0.9997702,0.5167018,0.7108842,0.013190245,0.9982267,0.36141455,0.6803943,0.011075417,0.9974968,0.53892386,0.8544836,0.35523126,0.99692506,0.32580876,0.84939367,0.21039918,0.9977917,0.53604037,0.8688592,0.3801273,0.90746945,0.33549005,0.87785,0.22309308,0.9802024,idle
0.40731502,0.18770811,-0.21618693,0.9997677,0.41875714,0.16978376,-0.22988658,0.9995948,0.40552458,0.16984352,-0.19318144,0.99945545,0.44469947,0.17025723,-0.21053052,0.9995296,0.4188033,0.17250809,-0.046503402,0.99922997,0.42304978,0.2086385,-0.20222005,0.9995547,0.41407815,0.20796834,-0.15314128,0.9993184,0.51786387,0.2498749,-0.19290684,0.9996529,0.40702337,0.2715663,0.08555056,0.9996826,0.5217718,0.34810337,-0.3942151,0.9920672,0.3480077,0.34734496,0.009185378,0.8116551,0.4545261,0.24445097,-0.5428366,0.98582655,0.3450156,0.24322338,-0.28018528,0.88061845,0.48434797,0.54015136,-0.068932064,0.9993233,0.41291118,0.52937627,0.06880061,0.9997875,0.5039929,0.72135985,0.024535809,0.99827796,0.34472352,0.6953808,-0.024108646,0.9976853,0.5390635,0.85504156,0.40075952,0.9969458,0.31978768,0.8543056,0.20552751,0.9979235,0.5379474,0.86896,0.42986822,0.9055122,0.33226353,0.8816449,0.20937638,0.9807181,idle
0.39749837,0.20684497,-0.21674946,0.9997888,0.4102099,0.18634818,-0.22850437,0.9996307,0.3940268,0.18648353,-0.19321898,0.99950206,0.4355895,0.18650961,-0.20205602,0.9995717,0.40319037,0.1883189,-0.04214533,0.9992956,0.41400188,0.2260212,-0.20005043,0.9995954,0.4023521,0.22582212,-0.15298273,0.9993799,0.5048469,0.2627216,-0.16979195,0.9996822,0.38958234,0.28413045,0.08364504,0.99970835,0.50319034,0.3819447,-0.35109863,0.99238557,0.3425508,0.37507248,0.0007657539,0.8199863,0.4434163,0.26956713,-0.53032184,0.98693657,0.33567756,0.26553872,-0.30319047,0.88938797,0.47903156,0.5486947,-0.061191678,0.99936,0.4054482,0.53742296,0.06107874,0.9998047,0.49975753,0.73036826,0.020202793,0.9983353,0.33043498,0.69773656,-0.1412351,0.99788487,0.5344257,0.8560701,0.38734066,0.9969934,0.31674695,0.8605194,0.065703936,0.9980641,0.53172535,0.8697898,0.41480947,0.9056877,0.33059368,0.88670623,0.07795541,0.9814164,idle
0.40497747,0.21735235,-0.27183396,0.9998062,0.41669065,0.19589058,-0.27343917,0.99965906,0.39955202,0.19634706,-0.24736333,0.999538,0.44104543,0.19501956,-0.20477791,0.99960315,0.4042592,0.19768104,-0.08169525,0.99934447,0.41883254,0.23368004,-0.23933843,0.99962854,0.40722466,0.23495863,-0.20495293,0.99943006,0.50369203,0.27429903,-0.1600273,0.9996983,0.38422865,0.29061648,0.036992885,0.9997299,0.50186723,0.39736378,-0.36322916,0.9924365,0.34565857,0.39054006,-0.047824655,0.82953215,0.4451499,0.28571132,-0.61922777,0.9876783,0.3376661,0.28442723,-0.35007292,0.8968417,0.47836512,0.5522555,-0.046014022,0.9993887,0.40234607,0.5422716,0.045890726,0.99981874,0.5042588,0.733206,0.0009593487,0.99828,0.32592398,0.70112205,-0.17834103,0.9980587,0.52700734,0.85727704,0.3564987,0.9969219,0.31564063,0.86221665,0.045214407,0.99818486,0.518552,0.8736868,0.3832318,0.90644574,0.3320054,0.88903993,0.058968704,0.98190594,idle
0.4164404,0.21321711,-0.2501489,0.99982446,0.42963475,0.1923079,-0.2580071,0.9996905,0.40411967,0.19370145,-0.22454521,0.99958074,0.45122188,0.19332094,-0.14105144,0.9996387,0.410746,0.1971309,-0.065176904,0.9994042,0.42688173,0.22928734,-0.23101886,0.99966294,0.40857643,0.23011224,-0.18482956,0.99948305,0.50824213,0.27608517,-0.07772525,0.999717,0.38931248,0.28886893,0.043170877,0.9997486,0.52823126,0.39347368,-0.28365585,0.9927143,0.34744364,0.39616212,-0.110616066,0.8424343,0.47159275,0.29306665,-0.5742506,0.9885702,0.3435758,0.28759736,-0.44499508,0.90532875,0.48083442,0.5529134,-0.029670352,0.9994322,0.40296912,0.5436024,0.029556682,0.99983245,0.50932443,0.73382896,-0.026573583,0.99821013,0.32865968,0.7029742,-0.18261752,0.998214,0.5209788,0.8658152,0.35439926,0.99685687,0.31598908,0.8637924,0.05555647,0.9982987,0.50496775,0.88723147,0.36979505,0.91126513,0.33181468,0.8905821,0.071199276,0.98241127,idle
0.45692983,0.21207477,-0.2484068,0.9998407,0.46623024,0.19092482,-0.20693366,0.9997183,0.4420783,0.19237597,-0.20880386,0.9996201,0.4777957,0.19005153,-0.05229913,0.9996701,0.42888147,0.19371432,-0.043358944,0.9994607,0.4645179,0.22647586,-0.17903689,0.999693,0.44704962,0.22842754,-0.17787635,0.9995316,0.5139994,0.28010646,0.00964067,0.99972403,0.39493138,0.2851749,0.03394136,0.9997578,0.57310927,0.3816861,-0.20176797,0.99311215,0.34860572,0.38912824,-0.1487265,0.85725456,0.5094088,0.2802248,-0.452881,0.9893144,0.36841804,0.2865303,-0.4077793,0.91364926,0.48239088,0.5534809,-0.01106303,0.999475,0.40701184,0.5451553,0.011003541,0.99984235,0.5243825,0.7327238,-0.08392669,0.9982191,0.33550522,0.705595,-0.15290533,0.99834263,0.5171772,0.8705832,0.21112545,0.99683446,0.31539965,0.864024,0.08167712,0.99838567,0.49941182,0.89241034,0.23066822,0.9166558,0.33096436,0.8915638,0.09625254,0.9823364,idle
0.48615202,0.19324331,-0.24796243,0.99985546,0.49462256,0.17319065,-0.21184692,0.9997437,0.4720869,0.17349984,-0.2164313,0.999656,0.50109506,0.17874746,-0.056072135,0.99969804,0.455307,0.18002099,-0.053233646,0.9995126,0.4923299,0.21259697,-0.18307677,0.99972045,0.47622037,0.21274367,-0.18585202,0.99957657,0.5310654,0.2744471,0.021850977,0.999734,0.40800118,0.27584553,0.013831581,0.9997709,0.59539837,0.3720661,-0.18170038,0.9933435,0.3529845,0.37991235,-0.16646026,0.87087804,0.53712803,0.268896,-0.45529413,0.9898896,0.40171736,0.2746028,-0.41507515,0.92123497,0.4980978,0.54860526,-0.0009975454,0.9995111,0.42349234,0.5412516,0.0010010134,0.9998511,0.5306708,0.72864705,0.008856727,0.998146,0.3594306,0.7032813,-0.11313026,0.9984466,0.5161928,0.87150365,0.2832462,0.9967771,0.31999245,0.86376566,0.10767943,0.99847233,0.4989032,0.89294493,0.30026677,0.92112076,0.33486903,0.8917042,0.11952201,0.9821251,idle
0.50839347,0.16342941,-0.2883548,0.99986815,0.51558244,0.14303817,-0.25389832,0.9997654,0.4926617,0.14300741,-0.2627561,0.9996874,0.5199459,0.14992358,-0.08287186,0.9997219,0.4743126,0.15120773,-0.10785808,0.99955887,0.5144807,0.18459299,-0.21942082,0.9997449,0.49673015,0.1845384,-0.23108533,0.9996167,0.5478831,0.25509158,0.0034970916,0.999738,0.42333394,0.24390076,-0.033823382,0.99977267,0.607474,0.34190676,-0.19988832,0.99338055,0.3690436,0.34525645,-0.24427176,0.88308513,0.5578016,0.24110511,-0.47723064,0.99018604,0.42378432,0.23816429,-0.5211015,0.92807007,0.5136331,0.522026,0.0049264575,0.99952006,0.44073287,0.5166128,-0.00488104,0.9998454,0.53325,0.7125546,0.009045876,0.99803525,0.38705558,0.6972611,-0.10062964,0.9984809,0.5158323,0.8712051,0.23546529,0.9967045,0.35785803,0.8635967,0.11101164,0.99845785,0.49833745,0.8930216,0.2458529,0.9247475,0.36865872,0.8912423,0.1209508,0.98010105,idle
0.5296625,0.14463015,-0.31034815,0.9998763,0.53331804,0.12461848,-0.27856848,0.9997797,0.51191324,0.124463946,-0.29324573,0.99971133,0.5322019,0.13008793,-0.10166901,0.9997357,0.48922244,0.13082267,-0.16644652,0.99959713,0.53306115,0.16478786,-0.24225946,0.9997657,0.5160113,0.16481233,-0.26224428,0.99965197,0.56010365,0.23334795,-0.004391552,0.999742,0.4357818,0.22015896,-0.11211403,0.9997629,0.619127,0.32047325,-0.19125856,0.99310905,0.38356698,0.31575447,-0.33558595,0.8944061,0.57343423,0.21224043,-0.46935725,0.98998153,0.4410234,0.21378748,-0.59475714,0.9345968,0.524566,0.500568,0.030667821,0.99952835,0.45245552,0.49817106,-0.03073351,0.99980223,0.5503839,0.69348305,-0.051202394,0.9977641,0.4092548,0.6898893,-0.09992497,0.9981381,0.5172451,0.8655183,0.19778787,0.996135,0.40386906,0.85736775,0.14287268,0.9977706,0.50338876,0.8867718,0.21410783,0.92610043,0.41040325,0.8745772,0.1579516,0.9694073,idle
