x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.53976125,0.19788088,-0.35474646,0.9999888,0.54181564,0.18063523,-0.3279961,0.9999735,0.5281514,0.17708376,-0.3519417,0.99998,0.533302,0.18738893,-0.15901804,0.99992967,0.5015048,0.18084422,-0.2764548,0.9999816,0.5387674,0.21636896,-0.28944102,0.99997145,0.529368,0.2136992,-0.3230457,0.99998474,0.54485404,0.30277613,-0.042670324,0.99988914,0.43983215,0.27959487,-0.21658078,0.9999847,0.5578371,0.4438617,-0.116903946,0.9364127,0.38762718,0.39401796,-0.3418259,0.99650335,0.5562455,0.40279356,-0.4247365,0.96851575,0.48152557,0.40729144,-0.50633585,0.9908434,0.51473683,0.5662163,0.057680488,0.9997787,0.44496164,0.5554432,-0.05780933,0.99989665,0.536574,0.73084396,0.21022394,0.9956966,0.4132462,0.7231452,0.00015629762,0.99917006,0.5275303,0.8803256,0.5124413,0.9967148,0.37343198,0.8825672,0.20810106,0.9986656,0.5119084,0.90723985,0.5347128,0.9828429,0.37202418,0.8976965,0.2205753,0.9682215,idle
0.54861325,0.19749609,-0.34620857,0.99998814,0.54950726,0.18027593,-0.32156903,0.9999724,0.53720623,0.17655171,-0.34744534,0.9999797,0.5379437,0.18733726,-0.15847829,0.9999255,0.51000535,0.18017498,-0.2794488,0.9999814,0.5473627,0.21625857,-0.2829385,0.9999716,0.5387219,0.21375538,-0.31865367,0.9999854,0.5536394,0.30258283,-0.04169984,0.9998859,0.44714814,0.2787064,-0.22502267,0.9999845,0.56193924,0.44275,-0.11494237,0.93134844,0.39518163,0.39390033,-0.3453042,0.99649704,0.5582204,0.4018609,-0.42287612,0.9670896,0.4898749,0.4069652,-0.50638735,0.99070555,0.5162227,0.5661442,0.056408327,0.9997749,0.4467062,0.5543481,-0.05652824,0.999898,0.5376444,0.7309236,0.20776749,0.99574083,0.41282806,0.7238091,-0.0013772829,0.9991923,0.52758056,0.88028204,0.5004457,0.99677,0.37374488,0.8822523,0.1897423,0.9986897,0.5115475,0.90696794,0.52131534,0.98297596,0.37205663,0.89714485,0.20020711,0.96858215,idle
0.5578879,0.19448428,-0.3218214,0.99998504,0.5579231,0.17595148,-0.30104703,0.99996537,0.5464901,0.17368111,-0.32995155,0.99997586,0.5434506,0.18177938,-0.15297644,0.99990636,0.519752,0.17677031,-0.282675,0.9999785,0.55523145,0.21384011,-0.26287743,0.99996847,0.5481727,0.21214636,-0.3022352,0.9999848,0.5587215,0.29957202,-0.035592653,0.99987364,0.45333043,0.27144364,-0.2330182,0.999984,0.56498665,0.43704626,-0.10120417,0.9211089,0.39858577,0.38856894,-0.34384465,0.9964755,0.56024665,0.40089858,-0.40497798,0.9615426,0.48855805,0.40356883,-0.4839837,0.9905473,0.5166643,0.5612653,0.05573271,0.99975914,0.44627547,0.5482883,-0.055853695,0.9998946,0.53668815,0.7292391,0.20151897,0.9957516,0.41147414,0.72236764,-0.0004332363,0.9991969,0.5277699,0.8803234,0.48511156,0.9967898,0.37469319,0.8815626,0.1953927,0.9986969,0.51147676,0.9070026,0.505385,0.9829048,0.3724237,0.8965252,0.20789094,0.96876985,idle
0.56510603,0.19286534,-0.31861037,0.999983,0.5653221,0.1731347,-0.29816893,0.9999607,0.55347866,0.1712152,-0.32715172,0.99997306,0.5499295,0.17748752,-0.1518518,0.9998959,0.52767706,0.1728485,-0.2851044,0.99997616,0.5611944,0.21232238,-0.2598618,0.999967,0.5542382,0.2111864,-0.2995655,0.9999846,0.56089824,0.29422677,-0.036982577,0.99986845,0.45596752,0.26336482,-0.23138556,0.9999833,0.56610525,0.4331359,-0.10892296,0.9183992,0.40022954,0.3840855,-0.3425248,0.99633265,0.5620184,0.3993095,-0.41252032,0.96004224,0.48743644,0.3979198,-0.4901031,0.99023867,0.51645243,0.5551055,0.05537488,0.99974257,0.4458386,0.5425145,-0.055487633,0.9998901,0.5360157,0.7279702,0.18927228,0.9958269,0.41020256,0.7202437,-0.0032548748,0.9991983,0.52800816,0.8794311,0.48119417,0.9968093,0.3749241,0.8816427,0.19884405,0.9987087,0.5110282,0.9060389,0.5034138,0.9827363,0.3734008,0.89721596,0.21085076,0.96889865,idle
0.5705892,0.19305232,-0.29519948,0.9999809,0.57138324,0.17309135,-0.27476293,0.9999557,0.56019276,0.17119834,-0.3041055,0.9999697,0.5549025,0.17642435,-0.13338801,0.99988717,0.53400236,0.1714696,-0.2725475,0.9999733,0.5653905,0.21233079,-0.23813672,0.999966,0.5587926,0.21121839,-0.27836198,0.99998456,0.56459343,0.29140338,-0.033516597,0.99986804,0.45770794,0.25897795,-0.22277749,0.9999826,0.56854737,0.4328278,-0.11256009,0.91648734,0.4013409,0.3796581,-0.33529827,0.99621665,0.565282,0.39630422,-0.4162999,0.9587691,0.48530388,0.39509115,-0.49099988,0.9901309,0.5173088,0.551203,0.049968768,0.99973285,0.44489923,0.5379718,-0.05005175,0.99988484,0.53924465,0.72468764,0.15364864,0.99598354,0.40921277,0.7147827,-0.010423925,0.9991947,0.5313486,0.8773892,0.4564828,0.9968407,0.37477046,0.88109416,0.20013738,0.99872994,0.5122039,0.9015243,0.4787279,0.9820364,0.37468347,0.8972235,0.21177475,0.96902514,idle
0.5749273,0.19412771,-0.24634345,0.9999777,0.5749647,0.17351454,-0.22737339,0.9999485,0.5655411,0.1718699,-0.25601488,0.9999638,0.557526,0.1764175,-0.10043713,0.9998781,0.53906214,0.17139842,-0.23522969,0.9999676,0.56877506,0.21315637,-0.19505866,0.99996424,0.56281424,0.21228437,-0.23429182,0.9999839,0.5679316,0.29152128,-0.021157112,0.9998673,0.45998406,0.25792068,-0.18915066,0.999981,0.56997955,0.43285325,-0.105638884,0.9159796,0.4012708,0.37541658,-0.30605367,0.99615216,0.56841886,0.39493555,-0.3925119,0.9581393,0.48330045,0.39351264,-0.45986128,0.9901284,0.51794314,0.5484686,0.041829873,0.9997101,0.4446445,0.53564084,-0.041857697,0.9998641,0.5474452,0.716307,0.043736614,0.99618435,0.40840158,0.7128465,-0.018873338,0.9991621,0.53654206,0.8747637,0.3149291,0.9968146,0.37476668,0.88059133,0.20158975,0.9987165,0.51656246,0.896837,0.333666,0.98099947,0.37728018,0.8975314,0.21376693,0.9686032,idle
0.5769204,0.20212862,-0.2662632,0.99997646,0.57734406,0.1820949,-0.24534316,0.99994564,0.56755465,0.18026789,-0.27202204,0.99996144,0.56091917,0.18193808,-0.10824641,0.9998749,0.5421821,0.17676598,-0.23459974,0.9999655,0.5714974,0.21927732,-0.21169646,0.9999638,0.56502134,0.21739073,-0.24848147,0.999984,0.5702591,0.29354763,-0.024364684,0.9998678,0.46419653,0.25909102,-0.18116526,0.99998015,0.5731028,0.4362849,-0.108772054,0.91751325,0.40084004,0.37391597,-0.30401596,0.9961855,0.570428,0.39515778,-0.40636927,0.95895976,0.4830378,0.39370832,-0.47072273,0.990227,0.51938546,0.54923356,0.039900683,0.999691,0.44570655,0.53711027,-0.03990347,0.99985,0.55504036,0.71732736,0.01770811,0.99633217,0.40802783,0.7131578,-0.041738782,0.99914724,0.54045534,0.8753642,0.26439118,0.9967855,0.37438393,0.8808553,0.16841888,0.9987122,0.5206046,0.8981945,0.28021967,0.9806474,0.37766677,0.89765763,0.17938837,0.96862483,idle
0.577592,0.20513593,-0.28517482,0.9999763,0.57859164,0.18525518,-0.26277024,0.9999457,0.56861544,0.18325278,-0.28994656,0.999961,0.56298196,0.18451717,-0.11156629,0.9998769,0.5430945,0.17877698,-0.2440809,0.99996513,0.57221323,0.22218737,-0.22600651,0.9999647,0.5659808,0.21989933,-0.2638366,0.9999846,0.57041365,0.29581833,-0.039869998,0.99987,0.4655909,0.25956607,-0.18839967,0.9999795,0.5724537,0.43979555,-0.14595178,0.92002285,0.39901555,0.37316445,-0.30916834,0.9962454,0.5709878,0.3962885,-0.44998732,0.96049845,0.48228955,0.39384028,-0.4961792,0.99029356,0.5194602,0.54963225,0.039896492,0.9996773,0.4456311,0.53820574,-0.039901383,0.99983954,0.55691916,0.7180863,0.034449853,0.9964709,0.40761885,0.713985,-0.040948417,0.999143,0.5408398,0.87571746,0.29087844,0.9967843,0.37403044,0.88099515,0.16416708,0.9987125,0.521323,0.89864993,0.30768222,0.9803441,0.37751275,0.89821994,0.17458287,0.96852314,idle
0.58152115,0.2149873,-0.29378778,0.99997735,0.5812054,0.19632249,-0.27093682,0.9999485,0.5710249,0.19452092,-0.2978402,0.9999631,0.5658195,0.1983707,-0.12019248,0.9998833,0.5448073,0.1932945,-0.24772742,0.99996734,0.57616675,0.23254189,-0.23463222,0.99996674,0.56930196,0.23066096,-0.27123863,0.99998575,0.5712718,0.31625825,-0.026552241,0.9998735,0.46807998,0.2761584,-0.20227031,0.9999802,0.5776005,0.45772514,-0.121846914,0.921958,0.39706972,0.37440422,-0.3310607,0.99638206,0.57103693,0.4108314,-0.42731196,0.96159434,0.47888032,0.41657183,-0.5077917,0.9902803,0.51878494,0.56790227,0.058421988,0.99966913,0.44599405,0.5563008,-0.058463566,0.99983764,0.5558479,0.72618866,0.09959275,0.9963832,0.40735507,0.7309788,-0.068076715,0.9991357,0.53982276,0.8785417,0.38004985,0.99665314,0.37341842,0.88540906,0.12810838,0.99870664,0.5204461,0.9020773,0.40072995,0.98024595,0.37651724,0.9003772,0.13867371,0.9684285,idle
0.58250475,0.21980996,-0.29702014,0.9999781,0.58227,0.20200548,-0.27401635,0.9999506,0.57191664,0.19940837,-0.30039582,0.99996454,0.5668419,0.20506619,-0.12374599,0.99988896,0.5462021,0.19922687,-0.25080043,0.999969,0.57733697,0.2367829,-0.2385474,0.9999688,0.5703698,0.23484781,-0.27502167,0.9999868,0.5749525,0.32644454,-0.029356483,0.99987924,0.46754694,0.2844787,-0.20209663,0.99998105,0.58035827,0.46757066,-0.12338017,0.92484176,0.39340585,0.3751637,-0.3214013,0.99654907,0.5715242,0.42034718,-0.42809716,0.9631305,0.46564656,0.42998308,-0.500801,0.9904119,0.5196512,0.57630956,0.05688398,0.9996619,0.44644183,0.5616818,-0.056911003,0.9998342,0.55508125,0.7307751,0.047257774,0.99635935,0.4071332,0.73233265,-0.09769972,0.99912065,0.5392659,0.88086355,0.32949394,0.99648666,0.37267253,0.8858758,0.11396923,0.99868995,0.5198599,0.90518886,0.35001564,0.9797549,0.37556767,0.900426,0.12601016,0.9680199,idle
