x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.5710395,0.23802063,-0.1865234,0.9999572,0.5746488,0.22311226,-0.16127273,0.9999513,0.5593609,0.2223061,-0.18723044,0.9999336,0.5725864,0.23199087,-0.017175986,0.9998953,0.53874767,0.23213895,-0.13104203,0.9999562,0.5728227,0.25714558,-0.13126905,0.99995345,0.5629029,0.25577602,-0.16433725,0.9999466,0.59194916,0.34049305,0.09904975,0.99967885,0.50457764,0.32272473,-0.16807361,0.99985963,0.62192523,0.44318026,-0.072862536,0.8574286,0.53416526,0.4197207,-0.2508364,0.98946655,0.621735,0.34290823,-0.36404166,0.9047319,0.5858832,0.32134324,-0.2123259,0.9791084,0.57039255,0.57401043,0.088970795,0.99945027,0.51595926,0.5685701,-0.08899681,0.99950653,0.58391225,0.7388875,0.17926235,0.920395,0.50572926,0.7439369,-0.09417597,0.99070406,0.5613613,0.8872651,0.36251047,0.9618919,0.45939174,0.9154038,-0.02128797,0.9854926,0.54368937,0.91402304,0.37325183,0.9216386,0.44746694,0.9383367,-0.022540439,0.85973614,idle
0.5674369,0.23333095,-0.14652957,0.99996036,0.5716351,0.21925503,-0.12165131,0.9999551,0.5556731,0.21788755,-0.14622295,0.9999388,0.5710563,0.22809304,0.016398748,0.9999038,0.53497326,0.22601368,-0.091768935,0.99995965,0.56887907,0.25232315,-0.09368358,0.9999569,0.5581849,0.2509189,-0.12518956,0.99995047,0.5881921,0.3385444,0.11547854,0.9996829,0.5001104,0.3178414,-0.14448589,0.9998665,0.621838,0.44122043,-0.06585231,0.86159796,0.53086364,0.412376,-0.23994145,0.9895427,0.62118995,0.3366723,-0.35591257,0.90780765,0.582286,0.31459045,-0.19064978,0.9795231,0.56820154,0.57350945,0.08555795,0.99947834,0.5112736,0.567875,-0.085562445,0.9995456,0.58222216,0.7409052,0.17795098,0.925756,0.49578944,0.7481976,-0.09113973,0.9913951,0.5610562,0.8879578,0.36097807,0.9644072,0.45594564,0.9210149,-0.017568229,0.986471,0.5433711,0.91498536,0.37176794,0.92561156,0.44440007,0.94669247,-0.018917093,0.8626689,idle
0.5635208,0.22784199,-0.14860913,0.99996334,0.5676292,0.21407355,-0.12433116,0.99995863,0.550881,0.21264549,-0.14979069,0.9999437,0.5678605,0.22153877,0.013217175,0.99991167,0.5312713,0.21953483,-0.0983163,0.99996287,0.5648638,0.24611887,-0.09582082,0.99996024,0.5531496,0.24522512,-0.12864572,0.9999543,0.5847172,0.33736086,0.11603761,0.99968797,0.4965937,0.31039122,-0.15008359,0.9998744,0.6195941,0.43990073,-0.062155806,0.8663418,0.5254051,0.40532506,-0.25487727,0.9896895,0.61962664,0.3338303,-0.34353787,0.91127145,0.57931423,0.31074554,-0.21263358,0.9801451,0.5645452,0.5761364,0.085363075,0.9995028,0.5056048,0.5678123,-0.085381046,0.999582,0.578066,0.74076706,0.19732657,0.93062854,0.48780328,0.7524674,-0.090761,0.99203956,0.56099963,0.88690984,0.40036815,0.96656644,0.45477358,0.92614347,-0.017071098,0.987425,0.5433694,0.9133885,0.4134643,0.92932445,0.44530645,0.94951206,-0.018304192,0.86738425,idle
0.5586408,0.223615,-0.14412205,0.99996626,0.56391686,0.2099409,-0.12001775,0.999962,0.54560935,0.20800337,-0.14464234,0.9999483,0.5646741,0.21710463,0.017446958,0.9999191,0.5275253,0.21402985,-0.09167944,0.9999658,0.5607528,0.24280734,-0.09127752,0.99996334,0.54742974,0.2417782,-0.1232823,0.9999578,0.58068407,0.3355585,0.12210189,0.9996998,0.49138385,0.30606458,-0.14717402,0.99988264,0.61673796,0.43810263,-0.058914136,0.8719986,0.518928,0.4015605,-0.26115146,0.9895312,0.61822927,0.3323161,-0.32717392,0.9156017,0.57404137,0.30926493,-0.24515891,0.9805326,0.5588865,0.57525665,0.08537593,0.99952686,0.49920392,0.5671586,-0.085394956,0.99961734,0.5732435,0.7398417,0.22010191,0.9351224,0.4839577,0.75022095,-0.10622637,0.9926749,0.56098735,0.8862106,0.42964378,0.9687218,0.45208955,0.93019277,-0.05983756,0.9883971,0.5434383,0.9131792,0.44326726,0.9328336,0.44393796,0.9540358,-0.0639866,0.8733529,idle
0.5547806,0.22373469,-0.14381453,0.9999684,0.5602595,0.2090539,-0.12036954,0.99996436,0.5426083,0.20654817,-0.14603522,0.99995184,0.5596707,0.21643393,0.015845057,0.9999248,0.5242043,0.21202335,-0.095788404,0.9999679,0.556564,0.24278693,-0.09121083,0.9999656,0.5436123,0.24119256,-0.12468382,0.9999604,0.57389075,0.33532074,0.121050574,0.9997058,0.48676285,0.30334508,-0.14815356,0.99988914,0.6105953,0.4360471,-0.0435042,0.8762479,0.514624,0.3997587,-0.26952365,0.9894499,0.615203,0.33241063,-0.3033326,0.91929156,0.5705408,0.3061553,-0.26928297,0.9811089,0.5546351,0.5752423,0.08438104,0.9995414,0.4949042,0.5669752,-0.08439704,0.9996459,0.57015985,0.7391756,0.20461488,0.93925565,0.48069257,0.74959236,-0.10090109,0.9931758,0.5611148,0.88543594,0.40800962,0.97048074,0.45130664,0.929201,-0.0343537,0.98912996,0.5438391,0.9122479,0.42103893,0.9357036,0.44410643,0.95226115,-0.036236685,0.87791485,idle
0.5507978,0.22394118,-0.17177004,0.99997026,0.5566476,0.20837937,-0.14783522,0.99996626,0.53873146,0.20535918,-0.17567185,0.99995476,0.5556213,0.2154763,-0.0047667604,0.9999293,0.52024645,0.21090743,-0.12946521,0.99996954,0.5527691,0.24334873,-0.11612351,0.99996763,0.5392788,0.24142961,-0.15282692,0.9999629,0.56874436,0.33534214,0.109907806,0.9997121,0.48085293,0.30365455,-0.17306575,0.9998954,0.604291,0.4359674,-0.0441266,0.87941486,0.5091188,0.40042093,-0.30380088,0.98943263,0.60966337,0.3321882,-0.31166896,0.9222403,0.56697667,0.30423757,-0.31900224,0.9815666,0.5509662,0.579509,0.08513941,0.99955374,0.49057364,0.5714726,-0.08515935,0.9996712,0.56831247,0.7397951,0.21954481,0.943238,0.47763357,0.75355417,-0.098946184,0.99366695,0.5611104,0.8851289,0.44865745,0.97220093,0.45085946,0.9297133,-0.026577827,0.9898649,0.54392064,0.9110679,0.464372,0.9388248,0.44384724,0.95155126,-0.028694272,0.8830072,idle
0.5468174,0.22353527,-0.17900795,0.99997073,0.5527059,0.20760012,-0.15545484,0.99996644,0.5348714,0.20435566,-0.18363753,0.99995553,0.55139494,0.21489795,-0.013862875,0.99993145,0.5160246,0.2098043,-0.14079215,0.9999696,0.54852885,0.24341789,-0.12375476,0.9999685,0.5350419,0.24112323,-0.1609161,0.9999641,0.5634936,0.33537477,0.09806235,0.99971145,0.47509795,0.30376828,-0.17863134,0.9998983,0.5982033,0.4359698,-0.044622473,0.88244486,0.50405633,0.40116376,-0.3075874,0.98926187,0.6039234,0.33268297,-0.3121311,0.924776,0.56292903,0.3043353,-0.3303414,0.98179936,0.5468037,0.5833789,0.08297814,0.9995606,0.4855457,0.5769292,-0.082995795,0.9996898,0.5681969,0.74160314,0.207746,0.9473054,0.47422475,0.7568892,-0.07847097,0.9940482,0.56111205,0.88373715,0.43395752,0.9736423,0.4503738,0.9280299,0.05342704,0.9904133,0.5440782,0.9082517,0.45111394,0.94105285,0.44445592,0.9488557,0.05776582,0.88612187,idle
0.54513115,0.22402187,-0.17851274,0.9999709,0.5499739,0.20810427,-0.15587452,0.99996597,0.5334228,0.2046812,-0.18576802,0.9999561,0.54787546,0.21521774,-0.01839115,0.99993277,0.5128109,0.2096871,-0.15495831,0.99996936,0.54584146,0.24387316,-0.124363266,0.999969,0.53296036,0.24151064,-0.16380556,0.9999651,0.55851054,0.3354747,0.093618155,0.99970865,0.4704774,0.30339006,-0.19157134,0.99990106,0.59450376,0.43668258,-0.03397449,0.88434774,0.49999732,0.40181524,-0.3246119,0.98898286,0.60127264,0.33289966,-0.28397268,0.92651564,0.5590812,0.30504507,-0.3549147,0.9820271,0.5427537,0.5865449,0.081657775,0.99956214,0.48069543,0.5801593,-0.081667654,0.9997064,0.56783,0.74165076,0.19965908,0.95111907,0.47284073,0.7590545,-0.072499834,0.99437296,0.5611974,0.8802782,0.45318857,0.97486365,0.4497149,0.9277603,0.06544987,0.9909143,0.5444959,0.9034808,0.47247115,0.9427521,0.44432068,0.9472825,0.07069181,0.8896396,idle
0.5440825,0.22338536,-0.17755207,0.99996984,0.54780084,0.20771122,-0.15548019,0.999964,0.53269374,0.20408808,-0.1864059,0.99995464,0.5450594,0.21523148,-0.020594772,0.9999318,0.50977767,0.2088004,-0.16179982,0.9999675,0.5439477,0.24364458,-0.12407795,0.9999683,0.5324062,0.24087843,-0.16482781,0.9999648,0.5546017,0.3354019,0.08949147,0.999699,0.46720394,0.30286503,-0.19630587,0.9999002,0.59096676,0.43738607,-0.035566937,0.88510925,0.49692625,0.40222657,-0.32226884,0.9886697,0.5986099,0.3332029,-0.28971833,0.9275364,0.55548275,0.30563965,-0.34571168,0.9821508,0.5392717,0.5878371,0.080093965,0.99955314,0.47649425,0.58183646,-0.08009134,0.9997147,0.568075,0.74222827,0.19687131,0.954506,0.47199553,0.76076907,-0.06753506,0.99461657,0.56119525,0.87951434,0.44303435,0.9757625,0.44838992,0.92799443,0.075414374,0.99126273,0.54450154,0.90262455,0.46211678,0.9436565,0.44324845,0.94657505,0.08134364,0.8916681,idle
0.542712,0.22008057,-0.12887667,0.99996114,0.54537046,0.20412634,-0.10723303,0.9999516,0.53224295,0.20002101,-0.14352177,0.9999412,0.53933316,0.20807031,0.023542698,0.999911,0.5070425,0.20174497,-0.15304667,0.99995804,0.5412079,0.23858948,-0.07620032,0.99995714,0.5314952,0.23595633,-0.12370342,0.9999545,0.5505723,0.32593358,0.1260065,0.9996578,0.46163797,0.29616654,-0.17675611,0.99989295,0.5850478,0.4343685,0.013815405,0.8794703,0.49032617,0.40202495,-0.25395674,0.98812276,0.5910975,0.33144158,-0.2413857,0.92369163,0.55170125,0.30404285,-0.21593699,0.9818498,0.53941995,0.58618027,0.08020665,0.9995118,0.4768532,0.58056444,-0.08018532,0.9996921,0.56696355,0.7445335,0.14152317,0.956592,0.47315392,0.7597541,-0.05957622,0.9942796,0.5590171,0.89560705,0.3313306,0.97585356,0.44884023,0.92945874,0.09477435,0.99103844,0.5397688,0.9188053,0.3424092,0.9435864,0.4434715,0.94684774,0.10111662,0.8895448,idle
