x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.39588973,0.2694782,-0.48641998,0.9996351,0.41032815,0.25118634,-0.46861178,0.9997522,0.38706875,0.25141266,-0.45974857,0.9988185,0.42932042,0.25975046,-0.3316918,0.9997566,0.38507956,0.2584837,-0.29083785,0.9988102,0.4059011,0.28857577,-0.4329459,0.9998799,0.39096513,0.28694203,-0.4217592,0.9996724,0.47538608,0.37234622,-0.22859216,0.9999599,0.35173142,0.33778608,-0.17876759,0.99986583,0.49706143,0.47897068,-0.22989056,0.9903442,0.31302518,0.39975834,-0.35910764,0.9270162,0.48819438,0.5761425,-0.33507842,0.98542774,0.29783347,0.43181005,-0.70280755,0.92929727,0.44156185,0.55437934,-0.019110294,0.9998578,0.36869302,0.5497599,0.018909682,0.99988025,0.4847901,0.69151783,-0.23704576,0.748101,0.30377328,0.67849636,-0.2626723,0.75339204,0.52437234,0.8358085,-0.0027323442,0.72150326,0.33539003,0.8194906,0.004565065,0.6705608,0.51891196,0.86100566,0.0076770573,0.7061777,0.35410896,0.84829235,0.022555243,0.63848823,idle
0.41938385,0.26488617,-0.43720618,0.9996713,0.4333385,0.24754646,-0.4186572,0.99977595,0.4093229,0.24629502,-0.41179857,0.9989357,0.45150822,0.25605047,-0.28319904,0.9997799,0.40289992,0.2519041,-0.24809556,0.99892765,0.42831653,0.28291908,-0.3841981,0.99989146,0.41276473,0.28117952,-0.37483028,0.9997046,0.49584097,0.3668373,-0.19600058,0.9999617,0.36697084,0.33783597,-0.13183181,0.99987644,0.5172713,0.47277364,-0.19685432,0.990865,0.34095773,0.4203506,-0.23919228,0.9246658,0.5052815,0.56560796,-0.31983784,0.9846094,0.32983327,0.4606652,-0.57289034,0.93027866,0.46054068,0.56058764,-0.030529087,0.99984837,0.38657978,0.5562681,0.030368615,0.99988747,0.5179505,0.69989425,-0.05163332,0.7731023,0.31666064,0.678373,-0.25202987,0.77788126,0.5695447,0.83557975,0.23639211,0.7490567,0.3355164,0.8195482,0.10346898,0.70326644,0.5730874,0.8524611,0.25475827,0.7187744,0.35191765,0.84767413,0.12222804,0.67247885,idle
0.43792248,0.2722192,-0.48096004,0.99970394,0.45085746,0.25445744,-0.46381316,0.9997978,0.42850146,0.25215796,-0.4576326,0.99904156,0.46852082,0.26010308,-0.32313353,0.9998014,0.4217584,0.25608212,-0.29229409,0.999034,0.4457871,0.28898945,-0.425728,0.9999021,0.431266,0.2877673,-0.4171834,0.9997339,0.51411533,0.3677402,-0.227646,0.9999643,0.3825472,0.34483865,-0.16351388,0.9998859,0.5359875,0.4777258,-0.261612,0.9913795,0.36156374,0.4323941,-0.24754634,0.925481,0.5206219,0.5605172,-0.4380981,0.9839008,0.35106856,0.46373123,-0.5778383,0.93280476,0.47811612,0.5640185,-0.026767313,0.99984366,0.40307158,0.5595255,0.026601633,0.9998904,0.5321443,0.7040967,-0.105533764,0.795671,0.3323627,0.68183744,-0.20292683,0.80000407,0.5696398,0.83688414,0.20732248,0.7739113,0.33871913,0.8218943,0.1563926,0.7327863,0.56826496,0.85153264,0.22744544,0.735377,0.3535569,0.8478535,0.17819843,0.70308846,idle
0.4507175,0.2738993,-0.51369274,0.99973345,0.46346077,0.25572628,-0.49747482,0.9998178,0.4407243,0.255475,-0.49146947,0.9991371,0.48005575,0.26042637,-0.35131782,0.99982107,0.43257466,0.2587512,-0.32841286,0.9991301,0.45854473,0.2906159,-0.45843387,0.99991184,0.44356173,0.2903792,-0.45076925,0.9997604,0.52368915,0.36627695,-0.2514822,0.99996716,0.39399773,0.34195125,-0.19236045,0.99989337,0.55077374,0.4787751,-0.28586614,0.99190825,0.37015516,0.4365577,-0.26688337,0.92537135,0.5278777,0.56098837,-0.46786508,0.9836393,0.36140165,0.47215968,-0.59706205,0.932727,0.48861438,0.5600347,-0.023262318,0.99984425,0.41483742,0.5554496,0.02310803,0.99989265,0.53661126,0.70637417,-0.13595535,0.8160074,0.34802458,0.68375516,-0.1576651,0.8199168,0.568175,0.8377529,0.19431129,0.79633266,0.34278706,0.8238384,0.18574016,0.7593933,0.5659691,0.85280955,0.21603146,0.75319594,0.3568838,0.85035264,0.20861098,0.7308253,idle
0.45530304,0.26493227,-0.3972336,0.9997601,0.46958297,0.24675569,-0.37581152,0.9998359,0.444203,0.24678494,-0.37225392,0.9992233,0.48486978,0.2536525,-0.22783074,0.9998389,0.43499503,0.25240445,-0.208725,0.9992169,0.4630998,0.28166902,-0.33992487,0.99992067,0.44604605,0.28167108,-0.33495757,0.9997843,0.526813,0.36122516,-0.14163849,0.99997014,0.39716905,0.33571976,-0.09167273,0.99990267,0.5562917,0.4694571,-0.21817048,0.99252844,0.36473465,0.43849188,-0.1944646,0.93092495,0.5268168,0.52311546,-0.4588117,0.9846748,0.3645253,0.45085326,-0.5937,0.93813986,0.4914145,0.5621033,-0.021927942,0.9998512,0.4170197,0.5540071,0.021721195,0.99989617,0.54079247,0.7076652,-0.1727488,0.8343183,0.34921068,0.6845831,-0.15295519,0.83783203,0.5672944,0.83823454,0.1541977,0.8165048,0.34395725,0.8259376,0.16724749,0.78331214,0.56415355,0.8530094,0.17709762,0.7707527,0.357862,0.85102165,0.18980221,0.7559905,idle
0.45314926,0.2510444,-0.42748323,0.99978393,0.4675818,0.23150982,-0.4032023,0.99985194,0.4408371,0.23304066,-0.39970264,0.9993006,0.48037124,0.2386115,-0.24647267,0.9998546,0.43276983,0.23938663,-0.2277288,0.9992948,0.4627847,0.2692323,-0.36839077,0.9999285,0.44376168,0.27034396,-0.36333543,0.99980575,0.5212478,0.34575012,-0.15190724,0.99997187,0.3943121,0.3262697,-0.10514472,0.99990964,0.55454934,0.4566111,-0.2893928,0.99283516,0.34463507,0.42237034,-0.23379616,0.9370791,0.5380295,0.45956525,-0.59365356,0.9849055,0.35230145,0.41156393,-0.5686988,0.94308853,0.49055848,0.5536107,-0.023476422,0.99985,0.41469806,0.5510079,0.023293575,0.9998953,0.54105574,0.7076266,-0.21100235,0.85078865,0.3462319,0.68536407,-0.1803439,0.85396296,0.5691632,0.84090346,0.113279894,0.834688,0.34429818,0.82689583,0.14673299,0.8048571,0.5664615,0.8540504,0.13606228,0.7883608,0.3583746,0.85146964,0.16723341,0.7788962,idle
0.44739804,0.22423841,-0.3821649,0.99980545,0.46179485,0.20621635,-0.35690734,0.99986655,0.4365595,0.20518583,-0.35564083,0.99937034,0.47244802,0.21319348,-0.19433394,0.999869,0.42643514,0.2113357,-0.1866437,0.9993651,0.45644817,0.24312654,-0.3204248,0.99993557,0.4387023,0.24198775,-0.3187085,0.9998251,0.5103192,0.32139543,-0.09704,0.9999742,0.38472247,0.30522016,-0.06210503,0.99991673,0.5483395,0.4293917,-0.25552946,0.99320775,0.33196208,0.38539228,-0.21588941,0.94270873,0.53693235,0.41166407,-0.59046066,0.98587143,0.34037647,0.35980982,-0.5634606,0.94799507,0.48028812,0.5353805,-0.021038003,0.99985665,0.40733734,0.5359932,0.02087417,0.9998985,0.5327097,0.7017106,-0.19485262,0.8656507,0.34029222,0.68573076,-0.17431647,0.8685128,0.5676814,0.8410111,0.14218739,0.8511218,0.34304348,0.8272859,0.16242346,0.82429075,0.56523025,0.8547222,0.16529079,0.8049497,0.35818765,0.85123605,0.18537052,0.79980886,idle
0.4372031,0.18535987,-0.36971337,0.9998249,0.45149404,0.16637915,-0.34900302,0.99987984,0.4264577,0.16712524,-0.34548047,0.9994332,0.46494985,0.17573194,-0.19048223,0.99988204,0.41739908,0.17557515,-0.17289305,0.9994285,0.44741789,0.20468697,-0.3075927,0.999942,0.4300219,0.20369606,-0.3030667,0.9998426,0.50218356,0.28387135,-0.08274035,0.99997663,0.3776521,0.2657891,-0.042010248,0.99992436,0.53867644,0.4042371,-0.22993696,0.99370635,0.32365504,0.35043797,-0.19667552,0.94792134,0.5273855,0.37467802,-0.56550395,0.9871074,0.33281487,0.31366947,-0.5613736,0.9528128,0.47196275,0.50904375,-0.019609679,0.99986565,0.40169606,0.5077297,0.019455936,0.99990314,0.5137711,0.68018407,-0.1483916,0.8790264,0.34221998,0.6795798,-0.09742428,0.8815893,0.5600661,0.83740485,0.122373864,0.8659288,0.34219497,0.8278193,0.16846183,0.8417617,0.5558507,0.8524798,0.14026381,0.8208039,0.3573623,0.8511728,0.18612647,0.8184493,idle
0.43081468,0.15230104,-0.41493416,0.99984235,0.44542605,0.13444808,-0.39683115,0.99989176,0.42049107,0.13300346,-0.39332274,0.9994898,0.45983642,0.14343144,-0.23512325,0.9998937,0.41128564,0.14076655,-0.22232027,0.9994855,0.44041508,0.17100506,-0.35074478,0.9999477,0.42322642,0.16972134,-0.34730294,0.99985826,0.4964582,0.24894294,-0.11520127,0.9999785,0.3732869,0.22523431,-0.076660715,0.9999309,0.52960926,0.37556636,-0.25439563,0.99416953,0.31858546,0.32077017,-0.22259398,0.95236367,0.51846504,0.33739886,-0.58757055,0.98829466,0.33026975,0.27652723,-0.6244532,0.95718557,0.47164673,0.48089898,-0.015754731,0.9998671,0.39740583,0.4774946,0.015669031,0.9999059,0.50130403,0.66563743,-0.091497615,0.89093167,0.3455721,0.6612795,-0.09307431,0.89332694,0.5354525,0.835743,0.1176929,0.8791402,0.34102833,0.82696307,0.15121192,0.85749567,0.53409326,0.8528308,0.12989277,0.8355782,0.35670015,0.8503983,0.15572208,0.8354579,idle
0.42595848,0.13455305,-0.37008744,0.999858,0.44078928,0.11573433,-0.35235462,0.9999024,0.41566482,0.11445664,-0.3493709,0.99954057,0.45540518,0.121975675,-0.19201522,0.9999042,0.4080638,0.11841571,-0.17977275,0.99953663,0.43493184,0.15406282,-0.3058328,0.99995285,0.41846928,0.15267546,-0.30264035,0.9998723,0.49506563,0.2254942,-0.0775141,0.99998033,0.3700742,0.2030159,-0.036867715,0.9999367,0.526106,0.35228106,-0.19766429,0.99452597,0.3156641,0.3084941,-0.17504185,0.95663035,0.51495737,0.3224948,-0.557608,0.9893543,0.32606542,0.2683365,-0.5877016,0.9612629,0.4611493,0.4655116,-0.012749622,0.99986845,0.38479897,0.46006334,0.012655532,0.9999046,0.4945918,0.6515068,-0.068789095,0.9016956,0.34280735,0.6467781,-0.062383495,0.9038938,0.4947006,0.82896835,0.14882588,0.89104307,0.33437967,0.8166046,0.16017877,0.8716138,0.4854726,0.85264975,0.15895332,0.8477568,0.34522066,0.84001946,0.16937895,0.8494514,idle
0.42365462,0.1373311,-0.43061042,0.99987197,0.43885365,0.11922746,-0.40978107,0.9999118,0.41393313,0.117334604,-0.41522542,0.9995858,0.45526052,0.1268334,-0.24890804,0.9999133,0.40314645,0.12146738,-0.23067364,0.9995818,0.43471384,0.15520965,-0.32687664,0.9999573,0.41760245,0.15430096,-0.35421294,0.9998848,0.4849209,0.22810164,-0.13008402,0.99998146,0.358283,0.20873363,-0.07180929,0.99993896,0.5153046,0.35769448,-0.24736187,0.99482423,0.31226936,0.31882703,-0.24501567,0.9597088,0.49594107,0.326696,-0.5937817,0.99020606,0.3278116,0.2827888,-0.6416794,0.9640439,0.44461584,0.47296533,-0.002869869,0.99986196,0.37203428,0.4671745,0.0027748097,0.99989665,0.46921858,0.6627728,3.6418346e-06,0.9113765,0.3378943,0.6516397,-0.01700084,0.913407,0.46916738,0.83026344,0.25958484,0.90172464,0.31893158,0.81625193,0.21786651,0.8843262,0.46116933,0.8530128,0.27421883,0.8588725,0.32656977,0.8388679,0.23024945,0.8609033,idle
0.4186135,0.15815367,-0.42668062,0.99988455,0.43237895,0.1413965,-0.40745512,0.99992007,0.40701208,0.13923047,-0.40863928,0.99962664,0.4438395,0.1463751,-0.24422553,0.99992114,0.39285344,0.14320317,-0.23934165,0.9996229,0.42404523,0.17653622,-0.35383672,0.9999613,0.4092804,0.1754456,-0.3589584,0.9998961,0.47063246,0.2453343,-0.11797847,0.99998146,0.34769768,0.233179,-0.097533,0.9999434,0.5030858,0.3719546,-0.24031119,0.99495184,0.30663836,0.34253874,-0.2411048,0.96316355,0.48345608,0.34751278,-0.5820851,0.9908218,0.3262823,0.31933722,-0.60227025,0.96718377,0.43211684,0.49092677,-0.0011988189,0.9998488,0.36199602,0.48337948,0.0010875973,0.99989474,0.44940662,0.6649891,0.006032123,0.92010385,0.32388496,0.6587046,-0.023003073,0.9220066,0.45581684,0.83087665,0.2863998,0.91133314,0.3033232,0.82588077,0.21332875,0.895809,0.44806966,0.853672,0.30384734,0.86962026,0.31257528,0.8463744,0.2262718,0.872223,idle
0.4079043,0.1719596,-0.39249745,0.99989593,0.4223988,0.1553996,-0.37232533,0.9999277,0.39763373,0.1535264,-0.37258285,0.9996635,0.43397826,0.16279514,-0.21404013,0.9999286,0.3838215,0.1596158,-0.21323061,0.99965996,0.41276318,0.19126292,-0.3289803,0.9999651,0.39816448,0.19040902,-0.32971266,0.99990636,0.46217284,0.2677085,-0.09481876,0.9999828,0.33795837,0.24915709,-0.08907796,0.99994785,0.49622172,0.3890635,-0.19672649,0.9952322,0.29911903,0.34457776,-0.19581415,0.9663749,0.48478323,0.38187402,-0.5353368,0.99155813,0.3242062,0.3341714,-0.5303611,0.9702615,0.4232656,0.501918,-0.0005020503,0.9998504,0.35332805,0.49344495,0.00038947896,0.99989486,0.44463888,0.6769708,-0.044381037,0.9280145,0.30932245,0.6729934,-0.030016894,0.9297512,0.45070657,0.8313688,0.2366142,0.92004704,0.3012814,0.82788557,0.22331345,0.9061431,0.4413001,0.85371196,0.25445953,0.87958544,0.3125562,0.84879506,0.23824158,0.8827539,idle
0.40547046,0.16986923,-0.47765747,0.9999061,0.42013392,0.15280376,-0.45559844,0.9999344,0.39571834,0.14942926,-0.45924082,0.99969655,0.43070084,0.16043258,-0.27970785,0.999935,0.38137394,0.15534057,-0.2977585,0.9996933,0.41116586,0.18720804,-0.40929446,0.99996835,0.39566165,0.18608505,-0.41443738,0.99991554,0.4593687,0.26369765,-0.1236917,0.9999832,0.3334797,0.24649362,-0.17036204,0.99995154,0.48844114,0.38857466,-0.2663013,0.9952498,0.29750344,0.35437056,-0.29851323,0.9693382,0.47804183,0.37240648,-0.6358059,0.9919584,0.3229821,0.34118813,-0.6415056,0.9729312,0.4226753,0.500886,0.0028389576,0.9998478,0.35099453,0.49497446,-0.002933614,0.9998939,0.44746456,0.678856,-0.05197836,0.93510437,0.3098836,0.6730683,-0.033638574,0.9366838,0.45386022,0.8319239,0.22032626,0.9278816,0.30149722,0.8290418,0.22210619,0.91541505,0.4441248,0.8534561,0.23680624,0.8889173,0.31234258,0.84892714,0.23682757,0.8915339,idle
0.40768018,0.15891603,-0.39972764,0.9999154,0.42062226,0.14121035,-0.3753763,0.99994075,0.3959581,0.13783504,-0.38250247,0.9997267,0.43138337,0.14673588,-0.19505388,0.99994123,0.3829513,0.14235242,-0.22840635,0.9997238,0.4129033,0.17598341,-0.32889733,0.99997145,0.3962069,0.1737049,-0.33893746,0.99992394,0.45688438,0.24786992,-0.06547122,0.9999843,0.33192316,0.23134914,-0.11165774,0.9999557,0.483104,0.3642262,-0.17022745,0.9948313,0.29310387,0.3345607,-0.24542622,0.97215337,0.47910842,0.35407603,-0.54846764,0.9923025,0.32836226,0.34070188,-0.5825983,0.9754012,0.4242754,0.48919436,0.005519026,0.9998497,0.35266393,0.4873041,-0.0055594696,0.9998947,0.44845456,0.6659766,-0.08592587,0.94151366,0.3115131,0.6655703,-0.0705796,0.94294196,0.46022755,0.8289924,0.15610144,0.9349538,0.299123,0.8288885,0.15269998,0.92376345,0.44823042,0.8516392,0.16998991,0.89809287,0.30650982,0.8491406,0.16453096,0.89958143,idle
