x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.62763727,0.15607215,-0.40638328,0.99999154,0.64171386,0.13146625,-0.39669076,0.99998134,0.61733663,0.13815938,-0.38237947,0.99997985,0.6618906,0.13462754,-0.27615097,0.9999825,0.6150472,0.14515896,-0.20491998,0.9999569,0.6393665,0.17318527,-0.3570514,0.99999034,0.6238077,0.17547226,-0.33762076,0.999986,0.71992147,0.23552482,-0.19752535,0.999959,0.59248006,0.25191915,-0.052484363,0.99994326,0.7730813,0.36164913,-0.3563743,0.9944194,0.5784291,0.38553926,-0.1809825,0.9243886,0.6918982,0.34308788,-0.63594264,0.96106684,0.58156526,0.34738553,-0.54306465,0.9756856,0.7000267,0.51695865,-0.058261473,0.9996863,0.62533414,0.5174957,0.058158733,0.999729,0.71265876,0.70747554,-0.0386481,0.9988557,0.5799289,0.7039998,0.095290124,0.994509,0.7093312,0.8716007,0.22281508,0.9978513,0.5448457,0.8718225,0.32828173,0.99749804,0.7111702,0.8949643,0.23697026,0.9431547,0.55804867,0.89759225,0.34208053,0.97633487,idle
0.6391095,0.15576203,-0.39529806,0.99999046,0.6535347,0.13127284,-0.38584295,0.99997956,0.62952983,0.13778402,-0.37048012,0.99997824,0.67293566,0.13325739,-0.26594338,0.99998075,0.62802625,0.14402594,-0.19329718,0.99995345,0.6508319,0.17228885,-0.34566456,0.9999899,0.63545966,0.17466283,-0.3247649,0.99998474,0.7301299,0.23405932,-0.19611022,0.99996,0.6043749,0.25083467,-0.042276077,0.9999377,0.78703904,0.35379475,-0.33885533,0.9948,0.5891158,0.38518208,-0.17013799,0.9280034,0.7024694,0.3409619,-0.5995484,0.96438056,0.5924145,0.34044105,-0.5305822,0.9767452,0.70834345,0.5136544,-0.058767874,0.99966866,0.63283986,0.5131373,0.058700252,0.9997023,0.71659195,0.7042056,-0.041029885,0.99881965,0.58935565,0.70215416,0.095941864,0.99471956,0.71060824,0.8708151,0.19512446,0.99773806,0.5690358,0.8704677,0.31254002,0.9973753,0.7118718,0.8940534,0.20656994,0.940163,0.5833466,0.897792,0.3244445,0.97468275,idle
0.64551127,0.1543511,-0.35309413,0.99998945,0.66012317,0.13029191,-0.34925634,0.99997777,0.63634676,0.13678566,-0.33027542,0.9999762,0.6805028,0.13204545,-0.25166133,0.9999794,0.6361491,0.14254633,-0.15980561,0.99995035,0.6587662,0.171349,-0.31045657,0.9999897,0.64292413,0.17358066,-0.28444827,0.9999836,0.7406026,0.23317404,-0.17382121,0.9999612,0.61442906,0.25013807,-0.027636284,0.9999341,0.7938554,0.3529364,-0.3137758,0.99506825,0.59646136,0.38495588,-0.15639931,0.9307008,0.71225345,0.3395921,-0.5655774,0.9672385,0.60081,0.33795425,-0.5103806,0.97757906,0.7133749,0.5133298,-0.059035093,0.9996539,0.638092,0.51179993,0.05898882,0.9996818,0.7154336,0.70411223,-0.04198776,0.998807,0.60632217,0.7018538,0.09636812,0.99499595,0.7117765,0.8708317,0.20158522,0.9976848,0.5960632,0.8674424,0.31884146,0.99730176,0.71425754,0.8945678,0.2136958,0.93806356,0.6113124,0.8948191,0.33351144,0.9735858,idle
0.6546792,0.15267207,-0.34070694,0.9999895,0.6705006,0.1292861,-0.330936,0.99997824,0.64452523,0.13533704,-0.3159925,0.9999766,0.6895513,0.1316316,-0.20982507,0.9999802,0.6419852,0.1411551,-0.13913672,0.9999515,0.667192,0.17001861,-0.29068506,0.99999005,0.64985263,0.17208153,-0.27052903,0.9999838,0.7435302,0.2317312,-0.14481017,0.9999634,0.61957073,0.24873644,0.012287816,0.9999328,0.79946196,0.35282177,-0.2851497,0.99540037,0.597746,0.38268346,-0.11874785,0.9330088,0.7159823,0.33837667,-0.5357954,0.97011703,0.60091084,0.33298236,-0.4831821,0.9786078,0.7171859,0.511825,-0.060394697,0.999644,0.642945,0.50926316,0.060532372,0.9996664,0.71549857,0.70272255,-0.042605247,0.99878997,0.6199341,0.6991117,0.11806619,0.9952047,0.7119447,0.871492,0.1442738,0.9975963,0.6145294,0.8674459,0.31631058,0.99716634,0.71316797,0.8987265,0.14914408,0.93789566,0.6289489,0.89410037,0.3262177,0.9731733,idle
0.6598843,0.15122357,-0.34612986,0.9999894,0.6756887,0.12810628,-0.3374544,0.9999781,0.65025926,0.13386127,-0.32246903,0.9999763,0.6955378,0.13101512,-0.21683657,0.99998015,0.64840937,0.13969749,-0.14775655,0.9999504,0.67236006,0.1691191,-0.29586262,0.9999899,0.65541846,0.17097993,-0.27655953,0.9999833,0.7498615,0.2318694,-0.15302166,0.99996364,0.6256012,0.24785504,0.00081139075,0.9999296,0.8011643,0.35714155,-0.29935178,0.99564433,0.5977644,0.3808259,-0.13732837,0.9354139,0.7187773,0.3380771,-0.5534371,0.9726646,0.60229015,0.326868,-0.5106733,0.97948796,0.7173353,0.51289386,-0.060601972,0.9996226,0.64282846,0.509479,0.060703896,0.999647,0.71793354,0.70283276,-0.025786135,0.99875224,0.6257483,0.69749457,0.13074197,0.9954295,0.71204424,0.8713334,0.16657409,0.9975246,0.6170941,0.8667781,0.32624292,0.99713,0.71161896,0.8984791,0.17576814,0.9382675,0.6322485,0.89289576,0.3343076,0.9730535,idle
0.6646513,0.14922623,-0.3509881,0.99998957,0.68029046,0.12688103,-0.34287828,0.99997866,0.6559588,0.13162811,-0.3266027,0.99997663,0.6999115,0.13068525,-0.22387347,0.9999808,0.65429294,0.13803548,-0.15050521,0.9999513,0.6768072,0.16780874,-0.30243963,0.9999902,0.65990555,0.16924126,-0.28126797,0.99998355,0.75151813,0.23192729,-0.15873368,0.9999647,0.6295415,0.24523924,0.0022514332,0.99992913,0.7984575,0.36030105,-0.3035953,0.9958361,0.60078585,0.37782195,-0.13573791,0.93719286,0.718639,0.33779803,-0.5618549,0.9749492,0.6051131,0.32662848,-0.5068475,0.98032707,0.7174181,0.51301944,-0.06107374,0.99960595,0.6436975,0.50933903,0.061191875,0.9996337,0.7165826,0.7028552,-0.025299847,0.99874586,0.62087214,0.69612247,0.13101721,0.9956508,0.7123662,0.8716917,0.17485477,0.99749845,0.6141891,0.8665585,0.33143753,0.99709636,0.71444815,0.8992977,0.18396851,0.93816155,0.6298334,0.8922406,0.3396993,0.9729964,idle
0.66385496,0.14745143,-0.35267854,0.9999889,0.6791999,0.1255093,-0.34904435,0.9999775,0.65718895,0.12939458,-0.32862943,0.999975,0.7009732,0.13001858,-0.2482202,0.9999798,0.6570995,0.13687834,-0.15824257,0.9999483,0.6772561,0.1665501,-0.30899984,0.9999899,0.66093606,0.16737461,-0.28241694,0.99998254,0.7557572,0.23282531,-0.17634866,0.99996334,0.63128066,0.2431268,-0.008668906,0.9999256,0.7964131,0.36469555,-0.315357,0.99592173,0.604351,0.37695363,-0.1374061,0.93699974,0.7194739,0.33777055,-0.5689131,0.9768202,0.60608375,0.327967,-0.5102178,0.9806623,0.7150357,0.5139347,-0.059809595,0.999563,0.64102083,0.50923246,0.059835546,0.99960387,0.71510595,0.70343226,-0.022173746,0.9987215,0.6122497,0.6941883,0.11813998,0.99590504,0.71026117,0.8716863,0.20205542,0.9974316,0.60706514,0.8633707,0.33143672,0.997088,0.7117561,0.8991269,0.21198538,0.93615544,0.62337196,0.8879426,0.3402061,0.97271055,idle
0.66236633,0.1474263,-0.40105614,0.99998885,0.6763638,0.12517847,-0.3991556,0.9999775,0.6541165,0.12912263,-0.37921804,0.9999748,0.7004634,0.1299261,-0.29375538,0.99997985,0.6548456,0.13688232,-0.2000368,0.9999477,0.67413557,0.16644768,-0.355164,0.99999005,0.6595279,0.1672652,-0.32834136,0.9999824,0.7531817,0.23295398,-0.21286845,0.99996394,0.6293553,0.2412168,-0.03775928,0.9999247,0.79378754,0.3659616,-0.35379377,0.99607486,0.6048447,0.37672085,-0.15901339,0.9369868,0.71965337,0.33782852,-0.61937046,0.9786029,0.6043493,0.32848752,-0.5429301,0.9813426,0.7134136,0.5140604,-0.060145516,0.9995384,0.63859785,0.5086548,0.060174245,0.9995874,0.71518457,0.7034674,-0.026021848,0.99873483,0.60342836,0.69006175,0.10568112,0.99615645,0.7102955,0.87106335,0.20097654,0.9974749,0.59866786,0.86224467,0.33210972,0.9971534,0.71214426,0.89791656,0.2109625,0.9358576,0.61444306,0.887584,0.34303075,0.9730404,idle
0.65653497,0.1474535,-0.4089203,0.99998873,0.6707242,0.12504202,-0.40835533,0.9999776,0.649017,0.12919328,-0.38740712,0.9999746,0.69502115,0.12909137,-0.3024711,0.9999802,0.6488245,0.13693312,-0.20327732,0.99994725,0.6678859,0.16645259,-0.3621997,0.99999017,0.65421885,0.16731052,-0.33408314,0.9999822,0.74917924,0.23291954,-0.22498024,0.9999653,0.6266376,0.24005216,-0.031920098,0.9999247,0.7917584,0.36556667,-0.3727081,0.99627554,0.6032814,0.37599123,-0.15237243,0.9357492,0.71850103,0.33828637,-0.6361066,0.9802284,0.6004149,0.32928857,-0.5421841,0.9818653,0.7106582,0.5141002,-0.066063605,0.99952704,0.6360606,0.5086685,0.06602315,0.99957925,0.71324956,0.7034814,-0.027827177,0.9987474,0.6003575,0.68967515,0.117770575,0.99634004,0.71069866,0.8705291,0.19701399,0.9975145,0.59718996,0.8640409,0.3350354,0.9972313,0.7136559,0.89647025,0.20699635,0.93674684,0.6080176,0.8925096,0.34605968,0.97359014,idle
0.6508176,0.14928578,-0.4049326,0.9999878,0.6649476,0.12525542,-0.3971079,0.99997616,0.642597,0.13114701,-0.3859196,0.9999731,0.6884767,0.12888059,-0.2874747,0.9999793,0.642476,0.13809155,-0.2013438,0.9999441,0.66240954,0.16731487,-0.35404307,0.99998945,0.64886993,0.16852061,-0.32691717,0.99998033,0.744136,0.23332904,-0.22067933,0.99996483,0.62200654,0.24013959,-0.01656132,0.99992293,0.7882453,0.36499295,-0.3875085,0.99649197,0.5998088,0.37519655,-0.14267437,0.9340647,0.7115973,0.338602,-0.6456579,0.98170745,0.59551394,0.32980242,-0.53201497,0.9822784,0.70694613,0.5152777,-0.07604356,0.99949145,0.63276565,0.5096945,0.075970575,0.999563,0.7111074,0.7034082,-0.029415643,0.998719,0.5910157,0.6897157,0.12843078,0.9963934,0.710992,0.8706808,0.17373842,0.99747366,0.5643576,0.86659336,0.31489772,0.99724776,0.71414554,0.8964644,0.18160473,0.9371463,0.579278,0.8985701,0.32247847,0.97408515,idle
