x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.4233467,0.2052959,-0.33866882,0.99999017,0.43128866,0.19098371,-0.3004262,0.9999732,0.413402,0.17962454,-0.33188385,0.99998677,0.42833668,0.19756947,-0.09466122,0.9999006,0.38980812,0.17980996,-0.23942542,0.999987,0.4214335,0.2251453,-0.25956258,0.99992055,0.40784773,0.21975714,-0.30137116,0.9999458,0.40181237,0.30671194,0.12566315,0.9998408,0.34190148,0.25859737,-0.2607364,0.9999788,0.39899498,0.43208843,0.20427021,0.3634856,0.27418986,0.36383107,-0.3367783,0.96163774,0.43497425,0.52512354,0.057613093,0.6238308,0.25287777,0.48816264,-0.46603948,0.87610453,0.37482142,0.5305245,0.14677487,0.99925804,0.3374936,0.52169377,-0.1468715,0.9995541,0.39455372,0.70517963,0.14988291,0.83518684,0.37776086,0.7029721,-0.28476724,0.9912594,0.34422088,0.86897147,0.2972241,0.9424013,0.28245637,0.8788033,-0.20266807,0.9940976,0.3258573,0.8942801,0.3029489,0.92237645,0.2460661,0.8890175,-0.23072343,0.9673678,idle
0.41467515,0.20558658,-0.36278433,0.9999911,0.4229258,0.1912457,-0.324439,0.99997556,0.4039878,0.18005879,-0.35697764,0.99998796,0.41690245,0.19763285,-0.11633392,0.9999091,0.37889642,0.18127342,-0.26699257,0.9999882,0.4116512,0.22546396,-0.28268552,0.9999278,0.3994108,0.22045274,-0.32616705,0.99995106,0.38973862,0.30665633,0.10850284,0.99985343,0.3300072,0.26059383,-0.2835957,0.99998075,0.3854403,0.43362036,0.2004004,0.36363858,0.26513952,0.36488387,-0.3465366,0.9653571,0.41980648,0.5275681,0.061596535,0.64215845,0.24919546,0.5036684,-0.44991422,0.888059,0.3681998,0.536482,0.1464328,0.99931276,0.3307547,0.5220111,-0.14652245,0.999589,0.39130145,0.7072006,0.14891556,0.8419839,0.3571919,0.705279,-0.2807197,0.9918814,0.3523277,0.8706599,0.31095737,0.9441252,0.23736319,0.86844724,-0.199156,0.99447256,0.33119935,0.90075856,0.31578365,0.92308277,0.20934924,0.8766871,-0.2010761,0.9671424,idle
0.40388528,0.20950194,-0.40838403,0.9999919,0.41144696,0.19418214,-0.3700987,0.9999775,0.3935686,0.18315992,-0.4045585,0.999989,0.4039344,0.19931313,-0.15933688,0.9999155,0.36893958,0.18166637,-0.31866106,0.9999892,0.40002865,0.22878338,-0.32677004,0.9999334,0.38937944,0.22384809,-0.37281364,0.99995553,0.37536034,0.30671784,0.0746528,0.99985933,0.3217112,0.26315048,-0.33627325,0.99998236,0.36954004,0.43570492,0.17741892,0.34514505,0.25991803,0.37649766,-0.39974862,0.96864665,0.4032587,0.5311965,0.059035875,0.64287937,0.2524367,0.5172269,-0.48437014,0.89854515,0.35684243,0.5478858,0.14560542,0.99935627,0.32146272,0.53424567,-0.14569679,0.99961495,0.38436222,0.7114596,0.16550018,0.8504687,0.32459348,0.71608055,-0.20842893,0.9925073,0.34988227,0.8730151,0.35320038,0.94723135,0.20639531,0.86912,-0.06847188,0.99487776,0.33080855,0.9082509,0.36176133,0.9255405,0.17601039,0.875376,-0.061739374,0.9674172,idle
0.36489326,0.22460584,-0.35673228,0.9999926,0.37089998,0.20684583,-0.32243282,0.99997944,0.35582995,0.19700073,-0.3591843,0.9999899,0.36217314,0.20757134,-0.13312323,0.9999218,0.33201495,0.19147927,-0.30788904,0.9999901,0.35950387,0.24365248,-0.28253692,0.9999389,0.3496259,0.23830155,-0.33231285,0.99995965,0.3289619,0.30919135,0.09462449,0.99986523,0.28463614,0.27065933,-0.35388035,0.99998397,0.31603423,0.43819502,0.18069388,0.32122508,0.24724528,0.39769307,-0.42276517,0.9715058,0.34353536,0.5356674,0.07870935,0.6197574,0.27234453,0.5329705,-0.48228154,0.9073988,0.31235918,0.5634688,0.14494364,0.99940705,0.26747677,0.55554044,-0.14503379,0.9996498,0.35724407,0.71138674,0.30675754,0.8638012,0.22648656,0.73024434,-0.162478,0.99323946,0.34625286,0.87478215,0.53063554,0.9520752,0.12642643,0.89331144,-0.08251367,0.99536395,0.32753438,0.90957165,0.5448369,0.93160623,0.101472,0.90601826,-0.08188858,0.9691031,idle
0.36252066,0.22750607,-0.34650815,0.9999931,0.3684153,0.20944148,-0.31496096,0.9999806,0.3531916,0.2000837,-0.35036433,0.9999905,0.3585747,0.2099135,-0.13540575,0.9999247,0.32803035,0.19431986,-0.3008338,0.99999064,0.3574707,0.24605152,-0.27544636,0.9999424,0.34753457,0.24111737,-0.32327765,0.9999629,0.3293052,0.3121587,0.08441706,0.999864,0.2811165,0.27376395,-0.3413089,0.99998534,0.31905106,0.43898636,0.18331087,0.3018399,0.24637334,0.40373108,-0.40402913,0.9739954,0.34226093,0.5393191,0.08254097,0.60670984,0.27504453,0.53688806,-0.46343294,0.9153279,0.30797097,0.56920415,0.13940246,0.9994408,0.2616555,0.5618306,-0.13948354,0.99967885,0.35728407,0.7113117,0.28488,0.8749543,0.22530428,0.73408926,-0.1617511,0.99386036,0.3472023,0.87543577,0.49570593,0.9559574,0.12738821,0.90202224,-0.08977367,0.99575853,0.32582086,0.9113396,0.5092495,0.93615305,0.103411935,0.9152454,-0.089929916,0.9694061,idle
0.35318688,0.23025194,-0.34013936,0.99999297,0.3583234,0.21152422,-0.310885,0.9999796,0.3437206,0.20325439,-0.34497884,0.99999005,0.34806067,0.21178031,-0.13895833,0.99991626,0.31842336,0.19749278,-0.29663843,0.99999,0.3483061,0.24808103,-0.2710566,0.9999408,0.33820432,0.24331455,-0.31696644,0.9999644,0.31868953,0.31238973,0.07507639,0.9998462,0.2722279,0.276621,-0.33494088,0.99998647,0.30295122,0.43865898,0.16383621,0.2806752,0.24206483,0.40865147,-0.3902315,0.97616273,0.31890088,0.5388706,0.05529628,0.5758446,0.2792186,0.5389625,-0.44601005,0.9218444,0.29600462,0.570664,0.13157716,0.99944144,0.2480487,0.56316596,-0.13161759,0.99970096,0.34876895,0.7112001,0.28371397,0.8853182,0.21437177,0.73515856,-0.15885656,0.99441665,0.3419455,0.8749977,0.49923366,0.95949006,0.120982505,0.90649897,-0.09970733,0.99609196,0.32053864,0.9093867,0.5132228,0.9401126,0.09949152,0.9247665,-0.10145315,0.96885496,idle
0.34451514,0.23173332,-0.31418496,0.99998987,0.34918168,0.2131321,-0.29062942,0.99996835,0.33563358,0.2051711,-0.3268313,0.99998385,0.33873802,0.21320431,-0.12452054,0.9998563,0.31053978,0.19890098,-0.281668,0.99998385,0.33929875,0.24895178,-0.24996133,0.9999139,0.3294714,0.24450603,-0.29802775,0.9999588,0.30783764,0.31215182,0.08673467,0.9997847,0.26502067,0.27718294,-0.32438365,0.9999871,0.2833613,0.43883446,0.17326847,0.2576704,0.23714392,0.41232362,-0.3751377,0.9780433,0.29519865,0.5430729,0.074684285,0.53254867,0.2856646,0.5328813,-0.41855893,0.92742324,0.28200454,0.56778115,0.13140675,0.99938715,0.23375583,0.56004924,-0.1314132,0.9997054,0.3443842,0.70775825,0.24063234,0.89371854,0.20704153,0.7340145,-0.19243993,0.9948692,0.33090663,0.8732513,0.4399353,0.96209615,0.11987729,0.9060297,-0.1488105,0.9963392,0.3051594,0.9079472,0.45117396,0.9424155,0.094869055,0.92688143,-0.15171482,0.96769905,idle
0.31116205,0.21737263,-0.1482651,0.9999711,0.31930274,0.20266101,-0.1232717,0.9999021,0.30363637,0.18821901,-0.15620996,0.9999599,0.31500894,0.20474939,0.019297691,0.9996484,0.2792445,0.18047303,-0.12998818,0.9999675,0.30646405,0.23681684,-0.09066677,0.9998298,0.29477835,0.22953601,-0.13409446,0.9999419,0.27988487,0.2922324,0.1778399,0.9994933,0.22393005,0.25018445,-0.19625683,0.99998593,0.24805693,0.41191235,0.24863963,0.23375769,0.17683311,0.366964,-0.26222917,0.9798803,0.25113434,0.5177603,0.15925667,0.48476884,0.23247345,0.48913008,-0.29340857,0.9324007,0.25369298,0.55922025,0.124276996,0.99909264,0.20892131,0.54371417,-0.12426611,0.9995819,0.26079184,0.7138087,0.08939232,0.8906322,0.19145384,0.7247324,-0.14959452,0.9934263,0.16593337,0.87057525,0.2392335,0.94961333,0.118108,0.90536225,-0.08620824,0.99491304,0.14079955,0.8920309,0.2491117,0.92920697,0.09676827,0.9272166,-0.0861267,0.9611758,idle
0.30843645,0.21085137,-0.14013407,0.99993604,0.31673092,0.19693272,-0.11620338,0.9997874,0.2998328,0.18317004,-0.1510334,0.9999261,0.30858734,0.19903708,0.025769219,0.99933475,0.27385348,0.1728747,-0.12989,0.9999484,0.30310246,0.22904201,-0.08144112,0.99968755,0.2922639,0.22234,-0.12654334,0.9999145,0.2765271,0.28475195,0.19993909,0.9991329,0.2234739,0.24340947,-0.19413869,0.99998575,0.24221173,0.40065283,0.27206153,0.21222785,0.16298518,0.3504882,-0.25985682,0.98165804,0.24202745,0.50582623,0.18567246,0.440817,0.19953595,0.47663084,-0.2935176,0.93743813,0.24692993,0.55636567,0.12514713,0.9985795,0.21046881,0.54095733,-0.12507781,0.9994334,0.2357857,0.71673506,0.05301463,0.87792367,0.19519275,0.720878,-0.20773213,0.9922955,0.12695056,0.87587,0.10400561,0.933425,0.11685672,0.90557045,-0.22448888,0.99299,0.09903665,0.89391726,0.10336129,0.91377646,0.092392065,0.92785895,-0.23145166,0.9585627,idle
0.30613205,0.20736878,-0.15054098,0.99989265,0.3145973,0.19231567,-0.12530655,0.9996352,0.29724213,0.18016407,-0.16038226,0.9998862,0.30692962,0.19487236,0.019000702,0.9988759,0.27256805,0.17101078,-0.13802978,0.99992704,0.30137742,0.2253637,-0.09118125,0.99948615,0.2903665,0.21927351,-0.13660024,0.9998735,0.2763,0.28360686,0.19241467,0.99879074,0.21820375,0.24203852,-0.20359465,0.9999857,0.23781697,0.40267503,0.2529309,0.19250768,0.15165745,0.34782872,-0.27304983,0.9833221,0.22366755,0.5060046,0.14587255,0.4027977,0.16546834,0.47892618,-0.3207465,0.9427495,0.24329975,0.5524311,0.12569907,0.9980063,0.21056592,0.5388316,-0.12565467,0.9992511,0.20976269,0.71816933,0.085396424,0.855266,0.19832782,0.7211834,-0.18831334,0.99067336,0.11835928,0.88090247,0.13838303,0.91640943,0.115384676,0.9052976,-0.20376416,0.9911667,0.088583484,0.9023935,0.13675196,0.9001578,0.08833198,0.9281488,-0.20551202,0.9555746,idle
