x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.5271865,0.26065627,-0.22119705,0.9998624,0.54052675,0.24533187,-0.2109847,0.9996654,0.52059424,0.2432932,-0.19991727,0.99967706,0.5526949,0.25298318,-0.11824165,0.99950117,0.5152303,0.24782136,-0.06836271,0.9991658,0.53400487,0.27725947,-0.18414323,0.9995978,0.52129525,0.27627987,-0.17000917,0.99953705,0.5774275,0.3425106,-0.11738497,0.9983779,0.48699546,0.34433416,0.041439053,0.9994547,0.5462792,0.44767505,-0.20383123,0.9677407,0.46140766,0.4466614,-0.080483414,0.8561059,0.48740357,0.36650604,-0.27921918,0.962487,0.47056347,0.37768066,-0.3283893,0.89447904,0.5584349,0.57546234,-0.047018204,0.99906635,0.49900642,0.5722497,0.047004856,0.99957407,0.56183124,0.732231,0.005830189,0.99668705,0.4838036,0.72397846,0.13779747,0.99670464,0.5738574,0.8672676,0.17116967,0.9937273,0.46069542,0.86334676,0.3322351,0.99648434,0.57176507,0.8859409,0.17946036,0.9000937,0.47152567,0.8866021,0.34402746,0.9611369,idle
0.5232758,0.2601561,-0.22106858,0.99986845,0.5367153,0.24516244,-0.21066117,0.9996827,0.5166519,0.24266912,-0.19915488,0.99969256,0.5487975,0.25297374,-0.11789123,0.9995302,0.51095724,0.2475269,-0.06591819,0.99919933,0.5298239,0.27718833,-0.18414399,0.9996164,0.51721144,0.27603716,-0.16960977,0.99955493,0.57333165,0.34275028,-0.11919056,0.9984346,0.4830486,0.34431654,0.04619593,0.9994483,0.5412695,0.44728333,-0.20155826,0.9680986,0.45549455,0.44428566,-0.08270787,0.85048693,0.48440567,0.3664884,-0.2524845,0.9621887,0.46870548,0.37669623,-0.3320213,0.8898494,0.5544318,0.57569224,-0.052426606,0.99911416,0.49540228,0.5726257,0.05241235,0.9995894,0.5591444,0.73219275,0.0029548868,0.9966937,0.4815878,0.7230639,0.14807181,0.99650633,0.57385606,0.8669613,0.1674113,0.9938344,0.46079126,0.86320597,0.34277692,0.9963867,0.5719666,0.88573825,0.17544697,0.90250134,0.4715697,0.88660884,0.35448426,0.9614134,idle
0.5207307,0.25921905,-0.22176221,0.9998743,0.5341815,0.24465638,-0.21159276,0.9996985,0.5139113,0.24135742,-0.20005159,0.9997081,0.5452125,0.25295445,-0.11846491,0.99955446,0.50749975,0.24691448,-0.06618162,0.99923307,0.5269973,0.2770268,-0.1845292,0.9996319,0.5143678,0.27554998,-0.16969405,0.99957204,0.5682318,0.3427583,-0.121766806,0.9984575,0.47884852,0.3443099,0.04481567,0.999442,0.5371423,0.44661167,-0.20275763,0.96822596,0.44924983,0.44292495,-0.089277044,0.8492905,0.48071432,0.3667288,-0.26453322,0.96175694,0.46473995,0.37516484,-0.34292144,0.88973176,0.5503675,0.5757358,-0.053902604,0.99915236,0.4914123,0.5728146,0.053869724,0.9996023,0.5562013,0.7318078,0.0004432715,0.9967244,0.4779798,0.7216174,0.1510014,0.99634063,0.57377064,0.86670893,0.15932953,0.9939584,0.4607795,0.8632105,0.34181002,0.99631494,0.5720156,0.8855621,0.1665516,0.9047777,0.4717122,0.88697565,0.35316145,0.9618376,idle
0.5176412,0.25869814,-0.22244582,0.99987954,0.53079253,0.24430491,-0.21215522,0.9997129,0.5107725,0.24102601,-0.20070319,0.99972177,0.54128045,0.25283363,-0.11871837,0.99957687,0.50423884,0.24680938,-0.066957496,0.9992636,0.5240833,0.2768968,-0.18511595,0.9996459,0.5112979,0.27536494,-0.16998318,0.99958694,0.5646858,0.3428959,-0.12310232,0.998489,0.4749469,0.34427035,0.042935375,0.9994346,0.5324385,0.4465412,-0.20573266,0.9685477,0.44387668,0.44130555,-0.09792887,0.84779567,0.4768253,0.36678421,-0.27190334,0.96182656,0.46030313,0.37314788,-0.35240498,0.88895917,0.5468406,0.576185,-0.053765386,0.9991859,0.48821792,0.57352144,0.05372259,0.9996118,0.55321664,0.73174846,0.0008828739,0.99672616,0.47511023,0.72111744,0.14838311,0.99613583,0.573688,0.86657923,0.1577715,0.99402153,0.46076822,0.86322707,0.3340926,0.996181,0.5723468,0.88554347,0.16473459,0.9062691,0.47176576,0.88711995,0.3450561,0.9618144,idle
0.515997,0.25741798,-0.2227443,0.9998847,0.52899873,0.24343626,-0.212522,0.999727,0.50860375,0.2395711,-0.20089021,0.9997348,0.5385093,0.25246423,-0.115464464,0.9995979,0.50062525,0.2462373,-0.06882719,0.99929434,0.52237475,0.27659652,-0.1855348,0.99966013,0.50907576,0.27477458,-0.17147651,0.999603,0.5619477,0.3429141,-0.12062571,0.99852425,0.4705243,0.34415066,0.039815668,0.9994236,0.53093946,0.44624674,-0.20926991,0.9689204,0.43952614,0.44004157,-0.10186823,0.8472741,0.47523063,0.36681682,-0.29444298,0.96222603,0.4567794,0.36944678,-0.35758775,0.88884723,0.54385257,0.57644445,-0.053056818,0.9992139,0.48508707,0.5739553,0.053020477,0.9996174,0.55087394,0.73139536,0.008232674,0.9966783,0.47308654,0.7210826,0.14354719,0.9959197,0.5734289,0.86583483,0.17487702,0.994022,0.46058235,0.8632328,0.33163342,0.9960342,0.5723895,0.8840754,0.18303618,0.90726626,0.47169495,0.8871463,0.343016,0.961605,idle
0.5152114,0.25686157,-0.21749981,0.9998884,0.5277493,0.24310027,-0.20361944,0.999737,0.506813,0.23863578,-0.19484596,0.9997434,0.5366589,0.25207382,-0.100467086,0.9996105,0.49848253,0.24544303,-0.0635577,0.9993117,0.52150965,0.27630457,-0.17811787,0.9996673,0.5077336,0.27436593,-0.16744043,0.9996128,0.55951506,0.34288916,-0.10218219,0.9985697,0.46758652,0.34291038,0.043196812,0.9994118,0.5289159,0.4462458,-0.20204227,0.9694765,0.43617004,0.43806413,-0.0911552,0.84905523,0.4736383,0.36707115,-0.2971111,0.9628829,0.45173126,0.36688155,-0.34233916,0.88879126,0.5404496,0.57520425,-0.05296669,0.99922585,0.48300448,0.57348996,0.0529309,0.9996113,0.54815537,0.72898597,0.0073197507,0.996581,0.47234672,0.7203147,0.12944762,0.9956355,0.5722382,0.8638258,0.1729094,0.9939552,0.46023068,0.8632255,0.3114614,0.99580824,0.57219315,0.88135815,0.1808429,0.9061857,0.471327,0.8870787,0.32211247,0.9604302,idle
0.5136367,0.25656936,-0.20240095,0.9998915,0.5264058,0.24276938,-0.18663517,0.9997443,0.5044885,0.23810054,-0.17907457,0.9997509,0.5351812,0.25161391,-0.080311924,0.999617,0.49638504,0.24490732,-0.0470692,0.9993313,0.5201807,0.2761965,-0.16148037,0.999669,0.5057517,0.2743459,-0.15241669,0.9996195,0.5574836,0.34283102,-0.07981911,0.99861115,0.4662083,0.3411179,0.054501962,0.9994122,0.5266343,0.44594982,-0.19264022,0.96990126,0.43400788,0.4365897,-0.08240367,0.85458547,0.47159505,0.36700407,-0.2993577,0.9635153,0.44847497,0.3642805,-0.3300981,0.89190495,0.5384301,0.57263124,-0.0528576,0.99923354,0.4809689,0.57099056,0.0528345,0.9996051,0.54567045,0.7273077,-0.009870029,0.9963759,0.4710985,0.7196592,0.11162666,0.99515676,0.5690702,0.8636654,0.13771367,0.99372697,0.46011344,0.8632109,0.28074732,0.99544746,0.57038367,0.88175786,0.14337927,0.90353394,0.47139868,0.8870912,0.28955153,0.9586265,idle
0.51103157,0.2562306,-0.19115765,0.999898,0.5240444,0.24234577,-0.17700842,0.99976015,0.50208575,0.23753355,-0.16779676,0.9997663,0.53311753,0.25117064,-0.07768837,0.9996419,0.4950587,0.24416545,-0.036682844,0.99937147,0.51792663,0.27601448,-0.15284213,0.99968594,0.5032259,0.27410433,-0.14167807,0.9996406,0.55624217,0.3427829,-0.08493587,0.99868983,0.46556252,0.33934328,0.06540278,0.99942625,0.5243536,0.44519928,-0.1929369,0.9708464,0.43247524,0.4342104,-0.081922576,0.85924226,0.46998796,0.36622688,-0.28744334,0.9647962,0.44558853,0.3634686,-0.3325181,0.8948505,0.53646183,0.5683959,-0.05414442,0.9992352,0.47969413,0.5672489,0.054123413,0.99959546,0.5428232,0.7253063,-0.016554764,0.9963608,0.4701713,0.7189081,0.106840655,0.99487907,0.5648727,0.8636446,0.1236277,0.99370867,0.4601286,0.86320657,0.25203305,0.9951888,0.56919414,0.88187915,0.12830082,0.9003119,0.47143793,0.88718617,0.2583571,0.9572043,idle
0.5089013,0.2557995,-0.19650349,0.99990183,0.5225126,0.24203554,-0.18431409,0.99976844,0.5005741,0.23704396,-0.17450419,0.9997755,0.5317763,0.2509552,-0.086861685,0.9996538,0.4942309,0.24336092,-0.043254204,0.99939173,0.5158403,0.27582982,-0.1585064,0.9996915,0.5013561,0.27367696,-0.14616124,0.99965173,0.5552997,0.3426364,-0.08737706,0.99871373,0.46443638,0.33738914,0.062768,0.99943364,0.5235293,0.44523478,-0.19885501,0.97152776,0.4312049,0.43283716,-0.09555085,0.86408365,0.46901387,0.3655865,-0.29987302,0.96579725,0.4455626,0.3615375,-0.36234123,0.8981149,0.53682435,0.56474274,-0.05388391,0.99919504,0.47954124,0.5639404,0.053855546,0.9995742,0.5414861,0.7218732,-0.016267957,0.9963537,0.4689459,0.7154768,0.1052116,0.9946536,0.561976,0.86085665,0.12795685,0.99374425,0.46014705,0.8618219,0.2498025,0.99507743,0.5676981,0.8796295,0.1329619,0.8990584,0.47153887,0.8861983,0.25575024,0.9568132,idle
0.5049819,0.25545445,-0.23125473,0.9999056,0.5197662,0.24161376,-0.21944945,0.9997782,0.49841,0.23686004,-0.20812996,0.9997852,0.5304134,0.2507568,-0.12225734,0.9996678,0.49403006,0.2430654,-0.07252826,0.99940634,0.5129448,0.2756437,-0.19364265,0.9996982,0.4988187,0.27297002,-0.17984125,0.99966097,0.5545441,0.34260643,-0.12581466,0.99871475,0.46505156,0.3369135,0.04086379,0.99941653,0.52448285,0.44576323,-0.22167507,0.97191733,0.43003058,0.43214458,-0.11611462,0.8637597,0.4696084,0.365071,-0.31189606,0.9664272,0.44398928,0.36043355,-0.4013249,0.8980313,0.5376421,0.56090283,-0.054829277,0.99913955,0.48007196,0.5609804,0.054784566,0.99953794,0.5397275,0.7168084,-0.036122587,0.9963097,0.4684959,0.7139209,0.10819075,0.99413407,0.56063116,0.86067617,0.08571626,0.99378735,0.46018213,0.8612257,0.252249,0.9947947,0.56728935,0.8797654,0.08815996,0.89970577,0.4715539,0.8859555,0.2576871,0.9557341,idle
0.50002205,0.2554653,-0.260838,0.99990726,0.51557374,0.24148336,-0.25151277,0.99978286,0.49583936,0.23689404,-0.23777863,0.99979115,0.528941,0.25075716,-0.15920593,0.9996736,0.49436292,0.24308461,-0.0979067,0.9994071,0.50825125,0.27566722,-0.22463873,0.99970067,0.49541473,0.27302128,-0.20752402,0.9996624,0.5558293,0.34317386,-0.15878671,0.99867433,0.46609712,0.3375807,0.020776575,0.9994098,0.5254314,0.45102358,-0.25415084,0.97208315,0.43205243,0.43244135,-0.12443672,0.8612264,0.47054452,0.3746545,-0.34617072,0.96629876,0.440732,0.36549005,-0.41467094,0.8975478,0.5387308,0.5619437,-0.056203127,0.99909645,0.48043084,0.56151026,0.056142204,0.99952,0.5405715,0.71686965,-0.037872676,0.99628776,0.46800599,0.7141503,0.124008514,0.9937936,0.5602304,0.86077493,0.088303186,0.9939094,0.46019453,0.8611308,0.2869051,0.9947262,0.56625843,0.8816404,0.09124941,0.9028515,0.4718822,0.88595474,0.29376957,0.956108,idle
0.4970644,0.25576574,-0.26723713,0.99990916,0.51245344,0.24148308,-0.2612665,0.99978805,0.49422985,0.23724079,-0.24537091,0.9997976,0.528038,0.2508113,-0.17896852,0.9996838,0.49462026,0.24351001,-0.10740968,0.9994138,0.5054861,0.27582088,-0.23405507,0.9997058,0.49367267,0.2734361,-0.21409896,0.99966633,0.55677736,0.34424606,-0.17688647,0.99864167,0.4668912,0.33895743,0.016141886,0.99941254,0.5283396,0.4543562,-0.25528005,0.9721585,0.43335995,0.43493965,-0.12069555,0.8579066,0.47082502,0.3821434,-0.32835692,0.9651576,0.43798596,0.36738917,-0.4092285,0.89738065,0.5393295,0.562684,-0.058371227,0.9990523,0.48075753,0.56192845,0.058283813,0.9995021,0.54125893,0.7170219,-0.038608823,0.99627924,0.4675905,0.71427536,0.12969512,0.99355865,0.5599674,0.86079776,0.089552745,0.99405485,0.4602087,0.8611127,0.28993186,0.9947315,0.56562394,0.88253075,0.092748895,0.9052171,0.47212943,0.88595843,0.29670885,0.9567607,idle
0.49491087,0.25665173,-0.26015124,0.9999102,0.50940454,0.24188116,-0.2588143,0.9997918,0.4929006,0.23883227,-0.23989949,0.99980384,0.52704287,0.25107685,-0.19343275,0.99969524,0.49480706,0.24539007,-0.106346466,0.99942654,0.5027214,0.27612284,-0.23175594,0.99971175,0.49245638,0.27423766,-0.20794551,0.99967015,0.5572592,0.34519622,-0.19376305,0.998617,0.4676149,0.34142944,0.022133952,0.9994226,0.5332688,0.45881426,-0.24979094,0.9719858,0.43452936,0.4401092,-0.10686733,0.85077477,0.4709506,0.39021438,-0.28012434,0.9621318,0.4324339,0.36903617,-0.39602974,0.89646393,0.5397543,0.5627588,-0.06344726,0.9989856,0.48094615,0.56277716,0.063358024,0.99947804,0.54169756,0.7164202,-0.046379544,0.99630946,0.4660933,0.7139149,0.14343964,0.9933319,0.5599891,0.8612656,0.07723009,0.9942185,0.4601493,0.8609791,0.30598408,0.99477285,0.565395,0.8841112,0.07993928,0.9081783,0.4722147,0.8859163,0.3131706,0.9580144,idle
0.49267307,0.25839645,-0.24809659,0.99991226,0.5059077,0.24325119,-0.24746272,0.9997972,0.49185577,0.24096577,-0.23264487,0.9998093,0.5256899,0.25248012,-0.17983466,0.9997138,0.49516362,0.24787857,-0.10417642,0.9994431,0.49973074,0.27669433,-0.22134762,0.999729,0.49076757,0.2753288,-0.1950448,0.999681,0.5575174,0.3459564,-0.180811,0.9987014,0.47360206,0.34281102,0.057095837,0.9994366,0.54529345,0.467144,-0.24432215,0.97377694,0.4531908,0.44003397,-0.038469777,0.81439245,0.4712972,0.41957036,-0.26031604,0.96179426,0.42623425,0.38564664,-0.3437786,0.88214076,0.5392294,0.5644334,-0.06838275,0.9988906,0.48107204,0.5649847,0.06832905,0.9994328,0.5420041,0.7164501,-0.080970354,0.9962725,0.45550522,0.7048776,0.046478536,0.9932744,0.56015706,0.8617684,0.030002186,0.99432385,0.45924988,0.8565151,0.18572927,0.9948534,0.56547874,0.88496906,0.030541698,0.9100782,0.4722361,0.8822063,0.1901266,0.95999235,idle
0.49021322,0.25879768,-0.24613543,0.99990976,0.50274783,0.24347438,-0.24399917,0.999795,0.49032077,0.24154912,-0.22847573,0.99980646,0.5241525,0.25294262,-0.18911259,0.99972534,0.49532634,0.24923109,-0.0982551,0.9994437,0.49661675,0.27690327,-0.21818502,0.9997417,0.48866504,0.27565685,-0.19405879,0.9996795,0.5576908,0.34718692,-0.1915755,0.9987963,0.47719687,0.34409064,0.06226393,0.9994409,0.5529914,0.4731627,-0.26262993,0.9757331,0.46130037,0.44153062,-0.010943791,0.77210027,0.47137237,0.43427488,-0.32349473,0.9626692,0.42132896,0.4058464,-0.30254078,0.8641867,0.5381196,0.56570953,-0.07403304,0.99877083,0.48093095,0.5663486,0.07396612,0.9993427,0.5422697,0.7167414,-0.08347446,0.9962916,0.44820896,0.7031995,0.05719269,0.9930998,0.5601934,0.8625337,0.030529192,0.99451166,0.45689988,0.8530648,0.21188574,0.99482787,0.5656116,0.8853832,0.031360485,0.9121256,0.47206563,0.87850255,0.21801047,0.96164167,idle
