x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.38514075,0.10030617,-0.30086243,0.9998653,0.38531142,0.07915651,-0.28191274,0.9998207,0.37008592,0.077066384,-0.31784636,0.99980325,0.36681163,0.08616595,-0.1416929,0.999654,0.3407709,0.081496276,-0.29311818,0.9997697,0.38197273,0.11911807,-0.24321517,0.9998367,0.3730383,0.11865904,-0.29011574,0.99981874,0.3864216,0.21412702,-0.016045425,0.99961907,0.28100452,0.19469212,-0.27323526,0.999803,0.39974052,0.35468912,-0.026095856,0.7402842,0.26054168,0.33220527,-0.3181256,0.91266054,0.41581464,0.3252894,-0.25405812,0.9191808,0.34615582,0.28698838,-0.2844438,0.93984485,0.38910756,0.50070745,0.06348294,0.9992316,0.31288952,0.50823826,-0.06333248,0.99939007,0.40357727,0.66872066,0.20600636,0.9866307,0.30684912,0.67705655,0.14995645,0.9868571,0.39920655,0.8252344,0.40934372,0.9825321,0.29946944,0.8394497,0.46203017,0.9803323,0.3850844,0.848223,0.42523843,0.9307103,0.29292503,0.85599416,0.4874754,0.8965196,idle
0.3891537,0.10031997,-0.2953488,0.99986535,0.38569412,0.07954289,-0.27629226,0.9998152,0.37444457,0.07788945,-0.31260908,0.9998077,0.36810127,0.085921176,-0.13611609,0.99962693,0.3444549,0.081430085,-0.29739124,0.9997833,0.38341805,0.11894179,-0.23750329,0.999829,0.37751418,0.118549734,-0.28492862,0.9998287,0.3828141,0.2120335,-0.0066434927,0.9995564,0.28219703,0.19509955,-0.2827515,0.99981445,0.3924924,0.3551836,-0.030745938,0.6907167,0.2615927,0.33584595,-0.2931878,0.9207638,0.4133714,0.32037023,-0.29679754,0.8981267,0.353777,0.2926056,-0.21801078,0.9446713,0.38981712,0.5005088,0.06616718,0.9991599,0.31411105,0.50790143,-0.06600799,0.99934644,0.40457463,0.66986525,0.2087013,0.98544735,0.30737543,0.67730904,0.14643791,0.9873513,0.39993578,0.8267515,0.40666723,0.98138136,0.29787928,0.8401463,0.4516696,0.97972655,0.38612184,0.84899515,0.42492515,0.9314469,0.29050633,0.8562958,0.47664252,0.8955742,idle
0.3901227,0.101353,-0.29026332,0.99987227,0.385834,0.08048281,-0.26920617,0.9998217,0.37631774,0.078796096,-0.3044067,0.99981976,0.3699063,0.08569808,-0.122754835,0.99962944,0.34641996,0.08124904,-0.28630778,0.99980086,0.3839064,0.11935564,-0.23061547,0.9998317,0.37819022,0.118877515,-0.27679962,0.99984145,0.3811115,0.20916556,0.008966838,0.99952567,0.2827683,0.19549388,-0.26731902,0.99982804,0.3911923,0.35385513,-0.024756718,0.6508005,0.2619948,0.33638477,-0.2746479,0.92820734,0.41228232,0.31649444,-0.2956942,0.8886132,0.35609382,0.2968224,-0.19206509,0.9493898,0.39012092,0.5003707,0.068754256,0.99913144,0.31501818,0.5079037,-0.06863647,0.9993429,0.40493187,0.6707649,0.21289006,0.98386234,0.30771953,0.68097323,0.13855687,0.9877526,0.40079182,0.82717115,0.40583378,0.9800947,0.29703027,0.84320015,0.40929532,0.9791757,0.38620374,0.84945846,0.42225957,0.9326805,0.28900868,0.859864,0.4321557,0.89533937,idle
0.3884675,0.1010596,-0.3135653,0.9998818,0.38585943,0.08018126,-0.28165048,0.9998325,0.3738996,0.07841518,-0.32247922,0.9998347,0.37096852,0.08559491,-0.13263486,0.99964154,0.3442027,0.07954689,-0.28269437,0.99981904,0.38353854,0.11919868,-0.24312516,0.9998399,0.37605053,0.118823044,-0.29487136,0.99985516,0.3842104,0.20791717,0.0030074448,0.9994854,0.28102875,0.19732596,-0.26164272,0.99984133,0.39166707,0.35456598,-0.015148319,0.6165257,0.26257488,0.33808407,-0.27743557,0.93495184,0.41020313,0.31707123,-0.27452645,0.87915474,0.3564861,0.30010816,-0.2132076,0.95373327,0.39048713,0.5003432,0.06714596,0.9991346,0.31565198,0.508277,-0.06709221,0.99936205,0.40524745,0.67320514,0.20896728,0.9831617,0.3078793,0.68570346,0.11654518,0.9883039,0.40163732,0.82721037,0.43315348,0.97992706,0.29597393,0.84523314,0.3936083,0.9793871,0.38676462,0.84938854,0.44960147,0.93481475,0.28873295,0.86077505,0.41677442,0.8954412,idle
0.3808132,0.09632749,-0.35099897,0.99989235,0.38222763,0.076970376,-0.31691974,0.9998466,0.3637628,0.07377012,-0.34725112,0.99985,0.371492,0.08535971,-0.13705109,0.99966764,0.33723378,0.07792119,-0.27771562,0.9998364,0.38087624,0.11686946,-0.27656054,0.999852,0.36851498,0.116307296,-0.31630474,0.99986863,0.3843169,0.20805185,0.012547013,0.99948746,0.27928784,0.19821073,-0.25472718,0.99985415,0.39031082,0.3552929,0.020049244,0.59530175,0.26303524,0.33841544,-0.27259618,0.94104064,0.40973672,0.31823927,-0.21994312,0.8771748,0.35576332,0.30106112,-0.2446661,0.9577047,0.3904354,0.50007236,0.06871991,0.999168,0.3160229,0.508078,-0.06870747,0.9993946,0.405437,0.67402434,0.20759197,0.9828978,0.30847472,0.68567675,0.09440525,0.98891896,0.40272158,0.82782304,0.450953,0.98010486,0.2948092,0.8495817,0.37524563,0.979927,0.38815552,0.84945256,0.46823564,0.93680465,0.2872097,0.86506265,0.39835638,0.8955215,idle
0.375931,0.09499654,-0.37067637,0.99990106,0.38056695,0.076692134,-0.33842903,0.9998574,0.359204,0.0709262,-0.36632687,0.9998631,0.3720992,0.08545963,-0.14633316,0.999684,0.33407858,0.075040825,-0.28069288,0.99985164,0.37774235,0.116099685,-0.29685274,0.99986035,0.36345422,0.11414811,-0.33376828,0.9998803,0.38459262,0.20877782,0.004566584,0.9994607,0.27591854,0.19895571,-0.25022167,0.9998651,0.39046466,0.35592595,0.0033723568,0.57257366,0.26246923,0.33869365,-0.28055426,0.9465216,0.4084804,0.31860843,-0.23446652,0.8717945,0.35192287,0.30189508,-0.27225846,0.96132016,0.38997334,0.49842128,0.06645484,0.9991826,0.31577775,0.50702244,-0.06643636,0.99941856,0.4050157,0.67363,0.20542172,0.98309624,0.30846632,0.6856346,0.09783248,0.9894981,0.40283626,0.82778573,0.45870337,0.98054093,0.29518044,0.8500354,0.3866308,0.9804913,0.3874355,0.84940886,0.47651178,0.9386131,0.28803378,0.8655426,0.4100384,0.8956754,idle
0.3724578,0.09591017,-0.37142596,0.9999067,0.37678775,0.0781437,-0.34140307,0.99986273,0.35616928,0.07199904,-0.3691652,0.999873,0.37015837,0.08683757,-0.15100463,0.99968296,0.33193165,0.07534853,-0.28417152,0.99986404,0.37393147,0.11659075,-0.29874447,0.9998648,0.3596521,0.11482581,-0.33573943,0.99989015,0.38371497,0.20925994,0.0005891202,0.9994408,0.27296084,0.19891599,-0.25590035,0.9998754,0.39131352,0.3559452,0.0021473826,0.5631842,0.25784475,0.33837655,-0.32675081,0.95147675,0.40815187,0.31959376,-0.27526894,0.8697516,0.34947443,0.30344006,-0.36788,0.9644904,0.38712543,0.49961907,0.07075833,0.9991844,0.31333888,0.5082834,-0.07079322,0.9994367,0.40474397,0.6730608,0.2307368,0.9830551,0.30788213,0.6851665,0.095341876,0.990121,0.402669,0.8271417,0.46798483,0.98118615,0.29520532,0.85094845,0.37009868,0.98130876,0.3873691,0.8490962,0.4841836,0.94126785,0.28811193,0.866371,0.3915356,0.8977551,idle
0.36847585,0.09387933,-0.36628985,0.99991417,0.374049,0.07633718,-0.33695287,0.99987215,0.35124108,0.06956731,-0.3629978,0.9998838,0.37005228,0.086716644,-0.15146399,0.9997004,0.32776365,0.07414632,-0.27341348,0.9998762,0.37209833,0.11560499,-0.29606152,0.99987394,0.35628954,0.11363055,-0.33047104,0.9999002,0.38166872,0.20974047,-0.008385583,0.99945235,0.26906568,0.1988558,-0.2398192,0.99988514,0.3903175,0.35592476,-0.0036149193,0.5600397,0.25393882,0.33826086,-0.34270018,0.9559052,0.4077229,0.31976193,-0.26496816,0.8716635,0.3435369,0.3035773,-0.4532713,0.96736807,0.38411692,0.49982053,0.06887733,0.9992149,0.30998087,0.50859815,-0.068880215,0.9994645,0.40484086,0.671751,0.20999472,0.9830215,0.3062567,0.68448406,0.0797996,0.9905778,0.40246615,0.8250615,0.45990866,0.981518,0.29541025,0.85076267,0.35656208,0.981801,0.38711825,0.84676623,0.4790209,0.9423751,0.28843203,0.8660604,0.37864482,0.89798856,idle
0.36326778,0.09318209,-0.36633092,0.99992204,0.36987048,0.07533888,-0.3376107,0.9998832,0.34521577,0.06840615,-0.3612665,0.9998946,0.36829573,0.08661764,-0.15581834,0.9997244,0.32204014,0.07347948,-0.27017683,0.99988794,0.36816677,0.115434475,-0.29746935,0.9998847,0.35156554,0.11348415,-0.32929832,0.9999098,0.3790298,0.21087642,-0.022440542,0.99948275,0.2671364,0.19881798,-0.23030381,0.9998947,0.388979,0.35575598,-0.031950872,0.571739,0.24859902,0.33807808,-0.35090652,0.9599267,0.40575194,0.32175878,-0.27334788,0.87846047,0.33859673,0.30332345,-0.4786171,0.97000515,0.38257277,0.49989912,0.068402335,0.99925405,0.30797833,0.50872314,-0.068284765,0.9994971,0.4027326,0.6700391,0.20833194,0.98296124,0.30439517,0.68424165,0.06587006,0.99105674,0.4027834,0.82531047,0.47207898,0.9820574,0.2946638,0.85098827,0.3156922,0.9824903,0.3875233,0.8471472,0.49240795,0.9438381,0.28800935,0.86594146,0.33519086,0.89915615,idle
0.36097103,0.09338124,-0.3697558,0.9999287,0.36742535,0.075852595,-0.33999032,0.99989235,0.3434022,0.06858651,-0.3628258,0.99990404,0.36592716,0.08704945,-0.1559538,0.9997426,0.32004806,0.07365457,-0.26822692,0.9998983,0.3651653,0.115605004,-0.29956123,0.99989325,0.34933823,0.113790795,-0.33077025,0.9999182,0.37762278,0.21138488,-0.021370705,0.99950165,0.26568264,0.19879614,-0.2296181,0.9999028,0.38747555,0.35405752,-0.019379264,0.57249326,0.2458808,0.33783203,-0.3533917,0.96354216,0.40486676,0.32347253,-0.25053507,0.88164157,0.33657724,0.3036275,-0.47579807,0.9723303,0.38107628,0.50059927,0.067993686,0.99928373,0.30680448,0.5092995,-0.06798576,0.99952495,0.4023316,0.6699731,0.21538293,0.98306465,0.30267626,0.68464667,0.045664363,0.9915813,0.40287143,0.82622445,0.48899406,0.9827547,0.29379743,0.852089,0.28444377,0.98333174,0.3877166,0.8480389,0.50940645,0.9459039,0.2873779,0.8664807,0.30261263,0.90096474,idle
