x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.38469377,0.16029039,-0.29900867,0.9994621,0.38581938,0.14242,-0.27760768,0.9990197,0.37802407,0.13607308,-0.31367773,0.99909776,0.3691811,0.143499,-0.12720802,0.99768597,0.35096434,0.13270731,-0.2947444,0.9991264,0.37520745,0.17862818,-0.2394846,0.9993266,0.36997008,0.17433074,-0.28853968,0.9997059,0.36765075,0.25262868,-0.01035692,0.99966365,0.25910366,0.20131159,-0.2556849,0.99993855,0.36395937,0.37249714,-0.09228206,0.646411,0.20709424,0.31123847,-0.3728682,0.9954995,0.3821569,0.34852237,-0.39555505,0.8950627,0.3066666,0.30347905,-0.49432167,0.99273527,0.30826324,0.49698144,0.0865196,0.99751824,0.24013987,0.4845165,-0.086509444,0.99802876,0.32535702,0.67801374,0.16894308,0.9269786,0.24047618,0.67580855,-0.14056505,0.9829719,0.2825008,0.84279,0.33586177,0.92927146,0.19204667,0.8669675,-0.041698985,0.9649202,0.26758838,0.8718657,0.34370166,0.89503396,0.1786603,0.8916679,-0.039098486,0.85242325,idle
0.3755241,0.17081179,-0.32810014,0.99950546,0.37785533,0.1513025,-0.3070069,0.9991016,0.3710747,0.14492935,-0.34343845,0.9991743,0.36076662,0.14582999,-0.15847816,0.99787444,0.34448862,0.13694271,-0.33030614,0.9992006,0.3639843,0.18491992,-0.26863363,0.99938416,0.35950965,0.1794437,-0.31860432,0.9997324,0.3571087,0.25886264,-0.037788972,0.9996866,0.24806003,0.2081296,-0.29290184,0.99994314,0.34948522,0.3834611,-0.11109827,0.66783196,0.19254833,0.32566735,-0.41476497,0.9956756,0.36360666,0.36821488,-0.4260714,0.9001274,0.29142737,0.3354201,-0.54619944,0.99284077,0.2978032,0.50147504,0.08909782,0.9975533,0.22909299,0.49304426,-0.0890954,0.99816185,0.32524428,0.68954974,0.21124418,0.93078065,0.20333126,0.6827307,-0.16711646,0.98443484,0.28777346,0.8472167,0.47246948,0.9342945,0.14865431,0.870321,-0.07765769,0.9678963,0.2666067,0.87285024,0.49073163,0.89981437,0.13291873,0.89438236,-0.077406086,0.8593256,idle
0.3635739,0.17470288,-0.2868384,0.9995502,0.36501387,0.15329842,-0.2652852,0.999184,0.3593717,0.1467624,-0.30078626,0.9992514,0.34787443,0.15027866,-0.12643111,0.99806803,0.33246592,0.14075829,-0.29422534,0.99927604,0.351437,0.18645386,-0.22973867,0.9994402,0.3472828,0.18076187,-0.27827376,0.9997576,0.34167296,0.26196495,-0.021548672,0.9996972,0.23182714,0.21027078,-0.26742774,0.99994755,0.33436665,0.39302886,-0.1159818,0.68141013,0.17445597,0.3309808,-0.3897434,0.99583554,0.33785686,0.36705795,-0.4302868,0.9011836,0.27276623,0.3381048,-0.46105176,0.9929042,0.28336176,0.50166696,0.08448518,0.9976049,0.21379654,0.49631983,-0.08455969,0.9982837,0.31800312,0.69224447,0.19827284,0.93599546,0.1712077,0.6866387,-0.13046685,0.98580533,0.2875623,0.84911627,0.4524513,0.93966144,0.11262336,0.8712553,-0.074132726,0.97065294,0.2657153,0.87330794,0.47109166,0.9055346,0.09706125,0.89623576,-0.06322609,0.86436635,idle
0.3447746,0.18276277,-0.28288278,0.9995911,0.34731197,0.16072054,-0.26123068,0.9992593,0.34085932,0.15477154,-0.29730517,0.99932104,0.33064365,0.1533024,-0.11822669,0.9982478,0.31248376,0.14277261,-0.28837562,0.9993441,0.33403024,0.19347557,-0.22552697,0.999492,0.32952073,0.18761888,-0.2750073,0.9997806,0.32241598,0.2638124,-0.017202053,0.9997162,0.21475771,0.21234597,-0.25750944,0.9999515,0.31135798,0.40070933,-0.10714358,0.6964442,0.15512684,0.3338382,-0.3950065,0.9960078,0.31858656,0.36808065,-0.41209093,0.90537226,0.2543791,0.34007934,-0.515328,0.9930746,0.27064985,0.50917983,0.08174871,0.9976964,0.1996625,0.503278,-0.081796035,0.9983844,0.31239247,0.69396687,0.1743427,0.9415284,0.1479941,0.68868196,-0.13897623,0.9870464,0.28758386,0.8538636,0.35284558,0.94482046,0.09208457,0.8733631,-0.048336856,0.97317636,0.26637906,0.8784567,0.36851686,0.9111613,0.07784814,0.8991535,-0.041991867,0.8694372,idle
0.32383868,0.19539315,-0.2859258,0.99962646,0.32528776,0.17535433,-0.26445425,0.999325,0.3196994,0.16957965,-0.3006077,0.99938107,0.30849513,0.16875783,-0.123509265,0.99840873,0.29213652,0.1557428,-0.29274628,0.9994036,0.31395912,0.20799087,-0.229408,0.9995383,0.30960625,0.20311986,-0.27877545,0.99980104,0.30299783,0.27020583,-0.031631056,0.9997344,0.19522828,0.22316451,-0.25880402,0.99995434,0.29289514,0.4069958,-0.108965635,0.7077658,0.13463669,0.3458323,-0.39128405,0.9961142,0.30562705,0.38164586,-0.3987298,0.90683323,0.23892982,0.36486655,-0.5123042,0.9929363,0.2553231,0.52628404,0.070052505,0.9977795,0.18280536,0.5239993,-0.0700275,0.9984661,0.30266532,0.6980197,0.1403538,0.9465963,0.13584372,0.698683,-0.10549122,0.98814553,0.28699344,0.85608363,0.39336115,0.949313,0.09015762,0.87590116,0.056891866,0.97539276,0.26477394,0.8789124,0.4144194,0.91469854,0.078568265,0.8993034,0.06636495,0.8743531,idle
0.31290632,0.19593737,-0.23656258,0.99965245,0.314817,0.17688242,-0.21227483,0.9993763,0.30805102,0.17144121,-0.25012314,0.99942774,0.29783243,0.17120488,-0.07077294,0.9985397,0.2804935,0.15868926,-0.24940813,0.99945354,0.3026125,0.20972142,-0.18050233,0.99957526,0.29779777,0.20541424,-0.23175092,0.999818,0.29114956,0.27014425,-0.024466302,0.9997432,0.18746875,0.2262703,-0.2363718,0.99995553,0.28235835,0.3861182,-0.08598478,0.69908804,0.1297532,0.34933245,-0.36704835,0.9962348,0.2988923,0.38424784,-0.36098564,0.90162814,0.23454733,0.37595037,-0.46249127,0.99284464,0.24597105,0.53146094,0.072210774,0.99786156,0.17403284,0.5296173,-0.07214648,0.9984983,0.3046226,0.69836575,0.06414063,0.95124185,0.13273042,0.7118866,-0.08676071,0.98911107,0.28644717,0.85918164,0.3376159,0.9535257,0.09125968,0.88291943,0.08406312,0.97736436,0.26293734,0.8819853,0.36879238,0.9196706,0.07891272,0.9044192,0.093489334,0.87948275,idle
0.309414,0.19497932,-0.19059235,0.9996796,0.31128043,0.17644414,-0.16738358,0.9994251,0.30382505,0.17090008,-0.20445421,0.99947304,0.29371154,0.17022316,-0.031109357,0.99865806,0.2765895,0.15773879,-0.20496106,0.99949974,0.29812518,0.20945261,-0.13653865,0.99960804,0.29314375,0.20459203,-0.18687846,0.9998333,0.28303042,0.26710165,0.03169262,0.99975115,0.18248077,0.22380242,-0.1990241,0.9999577,0.2692776,0.38227373,-0.047078066,0.69009966,0.13136074,0.3477368,-0.34524173,0.9964034,0.28986287,0.3837428,-0.33164263,0.9014762,0.2363472,0.3646616,-0.4442049,0.99319994,0.24737728,0.53060645,0.07074936,0.9979119,0.17559537,0.5276374,-0.07068115,0.99853075,0.30811614,0.6972627,0.024948714,0.95537454,0.13221192,0.7107466,-0.12861806,0.98996675,0.28531542,0.8592606,0.23113327,0.95706093,0.094541386,0.8819372,0.05960418,0.97901005,0.2629592,0.8830227,0.24481829,0.9231725,0.08363551,0.9029948,0.08036171,0.8825152,idle
0.30746213,0.19001311,-0.19448383,0.99970335,0.30888125,0.17114526,-0.17196509,0.9994681,0.30131525,0.166277,-0.21056211,0.99951226,0.29093656,0.16566454,-0.036656685,0.998763,0.2753766,0.15471387,-0.21500342,0.9995395,0.2972721,0.20551325,-0.14058238,0.99963784,0.29289743,0.2006811,-0.19300658,0.9998469,0.28355825,0.26287773,0.039547633,0.9997672,0.18314987,0.2165545,-0.20595077,0.99996024,0.27116883,0.38463625,-0.030224662,0.6981346,0.13152531,0.34469253,-0.34980696,0.9965832,0.29524928,0.38388032,-0.31037813,0.9067646,0.2332845,0.3460201,-0.45336598,0.99359107,0.25286457,0.52866936,0.07357321,0.9979798,0.17961216,0.52720857,-0.0735224,0.9986019,0.31122378,0.69656235,0.04648017,0.95894134,0.13595308,0.70865566,-0.18979284,0.99075985,0.28691542,0.8592567,0.2585218,0.9602633,0.09626807,0.88080746,-0.042615574,0.9805933,0.26274705,0.88409686,0.27181235,0.9266749,0.08394212,0.9018584,-0.034297403,0.886878,idle
0.3091612,0.18790081,-0.20551951,0.9997288,0.3101237,0.1688496,-0.18182436,0.9995146,0.30179325,0.16379951,-0.21865714,0.9995543,0.29306594,0.16383122,-0.039853588,0.99887455,0.27408606,0.15335773,-0.21256475,0.99958026,0.3007028,0.20388307,-0.1493018,0.9996696,0.2952773,0.1993195,-0.19954655,0.99986047,0.29076874,0.26356402,0.042532064,0.99978536,0.18692562,0.21604012,-0.19371988,0.9999627,0.27970296,0.39182153,-0.028260672,0.71426535,0.13638403,0.3445664,-0.3398987,0.99674547,0.30191082,0.3859336,-0.3116622,0.91382045,0.23060223,0.33841142,-0.45982337,0.9939506,0.2597348,0.52834076,0.07424369,0.99808246,0.18554981,0.5260608,-0.074177794,0.99867946,0.31316015,0.6963255,0.04165765,0.96209383,0.13683909,0.7082919,-0.17744477,0.99145216,0.28371906,0.8598312,0.26570627,0.96286523,0.095784426,0.88060224,-0.031677924,0.9818861,0.26101312,0.88739204,0.27977702,0.9296992,0.08345419,0.9011931,-0.024368692,0.88997954,idle
0.31771252,0.186235,-0.19151257,0.99974793,0.3173979,0.1672547,-0.16715625,0.99955004,0.30866826,0.16251673,-0.20354411,0.99958664,0.29906923,0.16310766,-0.02393039,0.99895716,0.2789513,0.15301791,-0.19526084,0.99961317,0.3091818,0.20261723,-0.13509652,0.9996921,0.3041194,0.19874673,-0.18470201,0.9998709,0.29831016,0.2636442,0.0607117,0.9997985,0.19684449,0.21805646,-0.1811403,0.9999645,0.28495482,0.39423513,-0.0012893062,0.71752614,0.14344743,0.34518245,-0.32523412,0.9968715,0.309276,0.38670662,-0.28325337,0.9189086,0.23849034,0.3383766,-0.44077882,0.99424434,0.26756895,0.529136,0.07516329,0.99815315,0.19585383,0.5263632,-0.07511081,0.99874854,0.3148957,0.69720376,0.051794082,0.964747,0.14257893,0.7081448,-0.20072262,0.9921014,0.28101107,0.8609501,0.2699079,0.9653836,0.09472342,0.88016564,-0.070712134,0.9831588,0.25940964,0.88949907,0.2837685,0.93314046,0.08390233,0.9007416,-0.065369084,0.8939898,idle
