x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.37563255,0.25513798,-0.2295837,0.9999695,0.38041228,0.23897068,-0.1876748,0.9999244,0.3684458,0.23164043,-0.21876574,0.99994457,0.37209964,0.24033342,-0.041876193,0.99976707,0.34534302,0.22857733,-0.2044317,0.99990857,0.37017968,0.27345997,-0.1642196,0.99971545,0.3616527,0.2676467,-0.2049143,0.999714,0.3461564,0.33806512,0.1249902,0.9986528,0.29337832,0.29970232,-0.2765325,0.99966455,0.34744185,0.4561831,0.2086514,0.4097101,0.31223315,0.4297401,-0.36819094,0.98204017,0.41970372,0.51677346,0.13300075,0.75335205,0.40198082,0.4652082,-0.4054667,0.98714906,0.29118934,0.57201,0.11685493,0.99939495,0.23516119,0.5550106,-0.11689965,0.9993375,0.33379096,0.7219624,0.14483479,0.97057676,0.17885122,0.70396197,-0.13383308,0.9943323,0.2910308,0.89931107,0.3220841,0.9780425,0.08571695,0.8485148,0.013588006,0.96817815,0.26561305,0.93078107,0.33337408,0.9587341,0.06552853,0.86422384,0.021463329,0.9033823,idle
0.3908973,0.20081425,-0.19821629,0.9999689,0.39852503,0.18647653,-0.17533308,0.9999203,0.3842104,0.1753259,-0.20593998,0.99994075,0.39117792,0.18863131,-0.042313688,0.9997563,0.36090803,0.17102675,-0.18673815,0.99990726,0.3835921,0.22133097,-0.1431128,0.99972993,0.37497494,0.214509,-0.18380402,0.99973667,0.3596523,0.28114268,0.12099795,0.99875045,0.30268663,0.23703472,-0.23781955,0.99969566,0.33984542,0.4110002,0.20155784,0.39306748,0.28464696,0.36546248,-0.3171058,0.9834903,0.38417253,0.50624627,0.11643257,0.7433047,0.3685161,0.43094623,-0.3838004,0.98758054,0.32394496,0.51431745,0.1136631,0.9993874,0.27321324,0.5015176,-0.113661334,0.99933267,0.35306567,0.6762201,0.029477794,0.96854454,0.2685385,0.6754935,-0.10215378,0.99450505,0.3155604,0.8568275,0.10601574,0.9768768,0.22656529,0.8502508,0.0003898929,0.97081584,0.29240447,0.8797772,0.10668452,0.9573275,0.20529321,0.86794704,0.0026797494,0.9072153,idle
0.39393592,0.19638877,-0.23509923,0.99996936,0.4002518,0.18169703,-0.21241252,0.99991894,0.38407332,0.16943547,-0.24320424,0.999941,0.3940118,0.1832792,-0.06310793,0.9997506,0.3605642,0.16654368,-0.20654361,0.9999112,0.38831288,0.21528631,-0.17268202,0.99974704,0.3774729,0.20914693,-0.21296923,0.9997599,0.36226705,0.27713755,0.10686674,0.9988272,0.30547875,0.23518176,-0.2557393,0.99972373,0.33768493,0.40806648,0.19546494,0.37721837,0.28153586,0.3598119,-0.3429646,0.9849236,0.37947145,0.50640124,0.0817519,0.7311168,0.36642024,0.4221178,-0.41544253,0.9882953,0.33505315,0.50749403,0.11165775,0.9993479,0.2857594,0.50196004,-0.1116236,0.999298,0.37499157,0.6613114,0.023042511,0.96627015,0.2920664,0.6763597,-0.10727747,0.9942281,0.3292908,0.8393968,0.13949975,0.9743408,0.25669682,0.85197514,0.003296548,0.9728013,0.3053585,0.8592637,0.14461428,0.9527555,0.23190995,0.8725508,0.007280141,0.90911704,idle
0.3962517,0.20000604,-0.28010267,0.9999698,0.40295354,0.18567069,-0.25629124,0.9999161,0.3895887,0.1733387,-0.2846919,0.99994105,0.39672932,0.18836713,-0.102600515,0.99973875,0.3652926,0.16673063,-0.23474762,0.999915,0.39070848,0.21807948,-0.21704647,0.9997602,0.38047063,0.21249253,-0.25514624,0.999781,0.36539683,0.2812818,0.06919585,0.9988843,0.30827102,0.23701862,-0.2627127,0.99975014,0.34016144,0.4101873,0.15397502,0.36504057,0.27855602,0.36383393,-0.34716392,0.9862516,0.38238376,0.5133731,0.04659442,0.7193503,0.36635965,0.42390853,-0.4257713,0.98902625,0.34877527,0.5136867,0.107501864,0.9992669,0.297403,0.50690544,-0.1074603,0.9992824,0.39256054,0.6648143,0.036606412,0.96303403,0.31094536,0.6809634,-0.123916924,0.99412173,0.34575826,0.83530676,0.18207023,0.9696512,0.27423733,0.8530353,-0.03316545,0.9746842,0.3215798,0.8559425,0.18818133,0.9482301,0.2519491,0.87777007,-0.03150431,0.91173065,idle
0.4126126,0.2303992,-0.25717053,0.9999673,0.4210151,0.21567196,-0.23081788,0.9998966,0.4033238,0.20481077,-0.2598599,0.9999378,0.41256243,0.21714762,-0.07777079,0.99958336,0.38073856,0.20056224,-0.21617636,0.9999152,0.40793842,0.24896385,-0.19651316,0.9996974,0.39773488,0.24253869,-0.23659799,0.9997894,0.38368368,0.31011602,0.07564371,0.99838465,0.32608154,0.2756647,-0.2492108,0.99977225,0.35460156,0.42806306,0.18260106,0.32970846,0.2909506,0.39380303,-0.33603948,0.9869862,0.39139724,0.5155018,0.1057115,0.65238357,0.3792168,0.4350466,-0.4116686,0.98759747,0.38615113,0.5432876,0.10826777,0.9991779,0.33316118,0.51781505,-0.1082456,0.9992748,0.45505872,0.6761602,0.121696845,0.96240205,0.34202453,0.68216336,-0.076665565,0.9943015,0.43960723,0.84377235,0.30596018,0.97014105,0.26736966,0.8587435,0.11690651,0.97684073,0.42025536,0.8698222,0.31891352,0.94721,0.24437921,0.88162047,0.13236049,0.9128966,idle
0.4204258,0.23719956,-0.3111432,0.99996954,0.42869887,0.22276714,-0.27928773,0.999903,0.41110578,0.21351255,-0.31268635,0.99994224,0.42148334,0.22575332,-0.10258534,0.9996023,0.39013398,0.2113271,-0.2588455,0.9999222,0.4167878,0.2560978,-0.24171722,0.9997174,0.40635425,0.250075,-0.28740627,0.9998085,0.39678666,0.32153353,0.081119604,0.99846816,0.33738258,0.2875062,-0.2840686,0.9997939,0.3760991,0.4382106,0.17397751,0.30293173,0.29528546,0.40243775,-0.39697462,0.9879759,0.4177497,0.53614944,0.053835787,0.60662913,0.3824483,0.4410578,-0.49952227,0.98735166,0.39834866,0.55381227,0.1162838,0.99923515,0.34508887,0.53369683,-0.11629466,0.9993258,0.46428314,0.68101394,0.09881405,0.9640702,0.34502828,0.7051085,-0.103339374,0.99474436,0.45685488,0.8477246,0.25869527,0.9720929,0.26661408,0.8625567,0.08571478,0.9790073,0.43778342,0.8734091,0.2704371,0.9500358,0.24215932,0.8829463,0.09852909,0.91763675,idle
0.43086442,0.23816137,-0.31633672,0.99997216,0.4386754,0.22390242,-0.283938,0.9999112,0.42163616,0.21490695,-0.31974974,0.99994713,0.43078798,0.22692262,-0.10704549,0.99963266,0.400424,0.21410291,-0.2767668,0.9999292,0.42667252,0.25695273,-0.24731092,0.9997425,0.41651064,0.25113487,-0.29680887,0.99982697,0.40957227,0.32552576,0.07439183,0.9986078,0.34762406,0.29162169,-0.3026946,0.9998138,0.39517057,0.44275713,0.16743574,0.296046,0.30919144,0.40529713,-0.41016307,0.98890454,0.44417578,0.5550277,0.05180772,0.615368,0.39584112,0.44479427,-0.49423012,0.98779255,0.4106412,0.55793613,0.11783014,0.9993006,0.35895687,0.54586756,-0.117847875,0.9993835,0.47242016,0.68443674,0.14910354,0.9658322,0.34939831,0.7175674,-0.09698944,0.99514323,0.4592135,0.84738165,0.39615598,0.97393584,0.268619,0.86332834,0.116713785,0.98099947,0.44115454,0.8715159,0.4141891,0.952647,0.2467471,0.8829726,0.13180088,0.92234,idle
0.47499555,0.22941194,-0.34449407,0.99997485,0.4820693,0.21444015,-0.31574214,0.9999198,0.46557456,0.20717898,-0.34708524,0.9999523,0.476633,0.21682306,-0.14580578,0.9996675,0.44166893,0.20629843,-0.297971,0.9999362,0.47254315,0.24809575,-0.27844942,0.99976784,0.46181536,0.24400517,-0.3224693,0.9998442,0.471497,0.3244213,0.03539977,0.9987429,0.39228934,0.2861794,-0.30780107,0.99983233,0.48401994,0.4456627,0.13174258,0.31527597,0.35228553,0.39807075,-0.41398668,0.98989034,0.52102244,0.5508656,0.0062326742,0.64070475,0.43665355,0.4467872,-0.5161313,0.98858875,0.46642423,0.5545304,0.11708883,0.9993661,0.41477942,0.54627025,-0.117178224,0.999444,0.48206586,0.69736636,0.28134316,0.9674993,0.38688073,0.7170998,-0.0951007,0.99558693,0.45769334,0.8500022,0.5637647,0.9761075,0.29848176,0.85646045,0.078753814,0.9828552,0.43849736,0.87510574,0.58480775,0.95632225,0.27790672,0.865194,0.08627699,0.92846173,idle
0.49138546,0.22145084,-0.3773497,0.99997723,0.4975249,0.20534632,-0.34870994,0.9999274,0.4807435,0.1993551,-0.37638122,0.9999569,0.49427557,0.21136345,-0.17258671,0.9996989,0.46127635,0.20178899,-0.30680096,0.9999425,0.49094158,0.23957077,-0.3086193,0.9997906,0.47873187,0.23777679,-0.3473501,0.9998597,0.49797592,0.32362434,0.012945254,0.9988644,0.41227078,0.28180888,-0.3085709,0.99984896,0.5131021,0.44721797,0.10181683,0.3506407,0.3676629,0.39219224,-0.41148263,0.99083394,0.5454463,0.5521095,-0.03581717,0.66764736,0.44791692,0.44786823,-0.5256599,0.9894648,0.47955623,0.5530117,0.11337302,0.99942607,0.43015248,0.5446549,-0.11349404,0.9994972,0.48968992,0.7032682,0.17899108,0.96878266,0.40729457,0.7174644,-0.056918107,0.9959396,0.4575739,0.85083014,0.42000836,0.9778568,0.31329688,0.8508664,0.18239424,0.98450434,0.43797702,0.87549216,0.4371365,0.9594176,0.29436865,0.8559953,0.19988301,0.93400764,idle
0.5047456,0.2177845,-0.40264884,0.99997944,0.51156026,0.20198515,-0.3728046,0.9999344,0.49279752,0.19623943,-0.39685854,0.9999611,0.5094894,0.20874389,-0.18908384,0.9997276,0.47113633,0.20147839,-0.30765837,0.99994814,0.5054776,0.23687743,-0.33173615,0.99981123,0.49315196,0.2345269,-0.3657854,0.99987364,0.5197925,0.32256114,-0.0047695646,0.9989748,0.42555657,0.28117898,-0.3065896,0.9998638,0.5323142,0.44645157,0.084994674,0.39493942,0.38080722,0.3908799,-0.40452895,0.9916231,0.5640966,0.5508185,-0.059667032,0.69531006,0.4532327,0.44878644,-0.55300874,0.99003816,0.49246335,0.5518834,0.107412934,0.9994802,0.441961,0.5441158,-0.10758825,0.99954456,0.49660808,0.7071693,0.17724918,0.9691837,0.42302394,0.71495885,-0.027208522,0.9962086,0.455311,0.8512789,0.41444105,0.97931755,0.33175755,0.8441935,0.22102726,0.9859517,0.43591008,0.8748955,0.43058497,0.96199316,0.31615213,0.8509045,0.23951444,0.93842715,idle
0.54562336,0.19027089,-0.3739857,0.9999801,0.55589044,0.17426158,-0.34561262,0.9999357,0.53296024,0.17054088,-0.35948423,0.9999621,0.5601112,0.1818908,-0.1714743,0.99974346,0.51730597,0.17904006,-0.22661367,0.9999509,0.5495834,0.21171266,-0.30706418,0.9998279,0.53412604,0.20955797,-0.32841268,0.99988556,0.58195794,0.29892486,-0.018725112,0.9990637,0.46545488,0.271721,-0.15885638,0.999876,0.5899959,0.42244133,0.06386413,0.4430303,0.4121399,0.37537295,-0.23421237,0.9917577,0.6134193,0.5134,-0.0836463,0.7182371,0.45598453,0.44235504,-0.5189253,0.98963696,0.5454968,0.53339565,0.06416483,0.9994556,0.4846162,0.5256011,-0.06422156,0.99956626,0.54041886,0.7035768,0.052666444,0.9573836,0.4990612,0.6951836,-0.13365918,0.99319994,0.47860867,0.83134264,0.37314457,0.9594137,0.50250787,0.85959125,0.07468398,0.9845299,0.45411927,0.8406315,0.38400596,0.9379912,0.50665694,0.88849044,0.087321065,0.93269646,idle
0.5575063,0.18253438,-0.37000057,0.99998075,0.56918764,0.16714701,-0.33888942,0.9999356,0.54412603,0.16299391,-0.3231696,0.9999627,0.5737753,0.17436267,-0.1547812,0.9997572,0.529084,0.1707497,-0.17489126,0.999953,0.5629374,0.20449884,-0.30544537,0.9998432,0.5457449,0.20220777,-0.28594798,0.9998964,0.59689665,0.28857517,0.010019042,0.99914277,0.4765926,0.26704553,-0.09422003,0.9998862,0.61381006,0.40521845,0.0703221,0.49096516,0.42673445,0.37125936,-0.11947417,0.99203616,0.62668145,0.4873667,-0.0339999,0.7407196,0.45896703,0.44039714,-0.32874894,0.9900183,0.56170845,0.5293127,0.04987891,0.9993979,0.4956872,0.52495134,-0.049827866,0.9995666,0.5706991,0.70262647,-0.013268866,0.9559011,0.5181706,0.7026978,-0.120449565,0.98982316,0.50548613,0.8175751,0.3501566,0.9429872,0.5375419,0.8787858,0.11205208,0.9823627,0.47975317,0.81978023,0.3714856,0.9163079,0.5421192,0.9060129,0.12676057,0.92394644,idle
0.56751096,0.18189189,-0.37250286,0.9999811,0.5783113,0.16659284,-0.3453394,0.99993736,0.55354816,0.16257158,-0.34405497,0.9999624,0.5841398,0.17566991,-0.1746307,0.9997753,0.53684765,0.16923776,-0.19157365,0.99995303,0.5730781,0.20396158,-0.30803984,0.9998578,0.5560559,0.20196225,-0.3059106,0.9999063,0.61381286,0.2892577,-0.060243983,0.9992207,0.48776966,0.2693136,-0.06856858,0.9998952,0.630778,0.4038536,-0.018103283,0.5355277,0.4412805,0.37086776,-0.009580227,0.99154127,0.6299846,0.4730825,-0.23602208,0.7566867,0.4614253,0.44209975,-0.18529193,0.9881674,0.57888454,0.5288735,0.022984512,0.999376,0.5094989,0.5269806,-0.02284329,0.9995878,0.59158456,0.7059697,-0.014700522,0.95528406,0.54097295,0.71256846,-0.056855835,0.98890936,0.5455532,0.7653723,0.45764828,0.90647966,0.55524087,0.88526356,0.16436945,0.98040515,0.52957577,0.76585513,0.5017928,0.8706595,0.55601585,0.9058625,0.17924114,0.9129222,idle
0.5745965,0.18384233,-0.35774112,0.99998146,0.5847224,0.16985218,-0.33080107,0.99993914,0.5608374,0.16701095,-0.3430063,0.9999601,0.59394825,0.17980097,-0.16911586,0.99979264,0.54387206,0.17541026,-0.17193967,0.9999464,0.58184683,0.20591047,-0.29603165,0.99987054,0.5649628,0.2042108,-0.30179268,0.99991465,0.6274209,0.29334894,-0.0865926,0.9992931,0.50063485,0.2726281,-0.049390614,0.9999,0.6419363,0.41118553,-0.10791061,0.580103,0.45507836,0.3738627,0.032640934,0.9913321,0.6310578,0.46208504,-0.36820436,0.77883816,0.46186462,0.44466922,-0.10288159,0.98672926,0.5955938,0.5335467,0.013104205,0.9993646,0.52552205,0.53100044,-0.012956394,0.99958897,0.6312789,0.7025527,-0.1784974,0.956999,0.5523781,0.7131804,-0.06280297,0.9882058,0.576957,0.7639683,0.23340552,0.8979689,0.56440586,0.8834394,0.17975065,0.9794336,0.5615042,0.76170766,0.27142847,0.8556124,0.5647766,0.9005516,0.1969433,0.90655226,idle
0.60676897,0.1860156,-0.46292385,0.9999832,0.61964256,0.17746902,-0.4400304,0.9999448,0.5914261,0.16826294,-0.43825382,0.9999636,0.62928367,0.18628748,-0.26887026,0.99981296,0.57979983,0.17976758,-0.25057083,0.9999512,0.6154436,0.21136059,-0.3958172,0.9998834,0.595376,0.20572446,-0.39279744,0.9999231,0.67277485,0.29187614,-0.17329648,0.99936366,0.53746086,0.29137394,-0.10211668,0.9999096,0.71396375,0.4026184,-0.28875676,0.6219769,0.506667,0.39660484,-0.08658662,0.9912517,0.67107844,0.42078203,-0.6050266,0.80071896,0.49509192,0.48033372,-0.25183213,0.98619264,0.66463107,0.5353648,-0.006737134,0.9994194,0.58846664,0.54481375,0.006780885,0.9996262,0.71946347,0.7049894,-0.05419291,0.96109253,0.5723207,0.714374,-0.20092514,0.98920035,0.7637304,0.8115434,0.27974734,0.907661,0.5714301,0.881295,0.11993319,0.9811473,0.760981,0.8151639,0.32718864,0.86074597,0.57741284,0.89871186,0.146177,0.9077698,idle
0.61509645,0.19502003,-0.45098943,0.99998474,0.6263683,0.17812261,-0.4289998,0.99995,0.60052085,0.1806144,-0.42691803,0.99996656,0.6379855,0.18868801,-0.2661932,0.99983126,0.58765185,0.19419494,-0.25132188,0.99995506,0.62409866,0.21624951,-0.38665408,0.999895,0.6074779,0.2201245,-0.3834054,0.9999307,0.683172,0.29153326,-0.18484375,0.9994272,0.5552888,0.3015537,-0.08526968,0.99991775,0.7256242,0.40348873,-0.27477258,0.6596597,0.5234842,0.40899912,-0.022668354,0.99045575,0.6736038,0.42240354,-0.5596544,0.82043755,0.5164428,0.49489465,-0.21409324,0.9858656,0.679397,0.5373835,-0.028992835,0.9994714,0.60431296,0.54864395,0.02891453,0.99965805,0.73064315,0.7048166,-0.1297301,0.96486866,0.58019096,0.71219116,-0.15486866,0.990145,0.80441904,0.82139933,0.17429104,0.91673523,0.582799,0.8808085,0.15623479,0.9828888,0.81511414,0.81974894,0.19556266,0.8669389,0.59553945,0.8956253,0.17912832,0.9140464,idle
0.6238519,0.2145453,-0.4647235,0.9999862,0.6346105,0.19275613,-0.4426601,0.99995476,0.609348,0.20134597,-0.43849126,0.99996954,0.6473246,0.19867519,-0.27423495,0.9998479,0.59708595,0.21290348,-0.25059927,0.9999592,0.6327834,0.23476009,-0.39749533,0.9999054,0.6168338,0.24135108,-0.3910517,0.99993753,0.6962901,0.29436818,-0.17595254,0.9994844,0.57074636,0.3112153,-0.07326536,0.9999256,0.7435416,0.40784165,-0.27550605,0.69360954,0.5426927,0.4176727,0.022723617,0.9899942,0.6860216,0.42250928,-0.5751878,0.8382426,0.54138935,0.50258124,-0.14336845,0.98584646,0.6922436,0.54360366,-0.03224153,0.99951774,0.6192514,0.55601656,0.032220047,0.99968886,0.74059784,0.70645845,-0.1600606,0.96828717,0.5873136,0.710291,-0.25556582,0.99106,0.83852875,0.8259828,0.11905762,0.92493004,0.6038632,0.88066584,0.03255068,0.9844974,0.85448855,0.82336104,0.13640723,0.87237763,0.6221771,0.89724064,0.051728357,0.92062306,idle
