x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.6811216,0.17048575,-0.3144544,0.99996895,0.69402957,0.15019375,-0.28943023,0.9999206,0.67544985,0.154043,-0.28366256,0.9999216,0.7160858,0.15565453,-0.17246759,0.99988467,0.6748444,0.16076423,-0.11176977,0.99988514,0.6912606,0.18670574,-0.25823087,0.9999554,0.67873305,0.18845274,-0.24885623,0.99994284,0.76950914,0.24466777,-0.084556535,0.99983764,0.64716804,0.26326302,-0.023527818,0.99990106,0.8137163,0.36247873,-0.26282734,0.99633116,0.62857854,0.3849562,-0.15010014,0.95783675,0.74581516,0.3158398,-0.5400773,0.9935211,0.65309376,0.36998883,-0.45652527,0.9772241,0.744074,0.51156294,-0.015884828,0.99965495,0.6681067,0.5068005,0.015755096,0.9998598,0.7752276,0.68821144,0.009348633,0.99786544,0.6189558,0.6783311,-0.036933042,0.99925005,0.7964592,0.8448794,0.29132575,0.9965808,0.57975495,0.8466574,0.19101161,0.9987297,0.7885109,0.8691407,0.30981308,0.934844,0.5897492,0.8704897,0.20592721,0.9750127,idle
0.70257694,0.16787499,-0.35411862,0.9999701,0.71613353,0.14716858,-0.33985612,0.9999242,0.69377434,0.15170455,-0.3301898,0.9999259,0.7347116,0.15173845,-0.21416517,0.9998885,0.68940866,0.15800323,-0.1627923,0.99989164,0.7107336,0.18343441,-0.3021193,0.99995804,0.6970817,0.18497728,-0.28890896,0.9999466,0.78325135,0.24145924,-0.11397205,0.99984306,0.6614386,0.2525493,-0.07130975,0.99990606,0.8328806,0.36051312,-0.27794462,0.996361,0.62803984,0.3712828,-0.21025872,0.9607992,0.7729257,0.29964712,-0.54383945,0.9932879,0.6655645,0.34281015,-0.51056236,0.9783071,0.7535387,0.5095899,-0.012720997,0.9996559,0.67940533,0.50092137,0.0125853615,0.999851,0.7793784,0.6885365,0.0061623165,0.9978144,0.62820417,0.6748622,-0.0048626657,0.9992141,0.7949964,0.84496486,0.2716995,0.996474,0.60135335,0.8386329,0.22738495,0.99863285,0.7855051,0.86938226,0.28916332,0.93353736,0.6096529,0.8619646,0.24255796,0.97183913,idle
0.71380496,0.16585694,-0.35048205,0.9999708,0.7278427,0.14673671,-0.33737016,0.9999267,0.70390904,0.15010685,-0.32665348,0.9999287,0.7460283,0.15170307,-0.21080613,0.9998914,0.6991793,0.15657312,-0.15920195,0.99989766,0.72343373,0.18182662,-0.2990752,0.9999595,0.7074787,0.18200377,-0.28496268,0.99994946,0.79262286,0.24141274,-0.11450477,0.99984246,0.6714066,0.24424712,-0.069705896,0.99990815,0.8391272,0.35374382,-0.30427563,0.9963297,0.62888753,0.35750237,-0.23032582,0.9630748,0.79276526,0.26518434,-0.57372004,0.9931862,0.67315876,0.3279847,-0.5284678,0.978738,0.75698745,0.5094074,-0.013627532,0.99964225,0.68239146,0.4999482,0.013508153,0.9998396,0.7827253,0.6889678,0.0011286156,0.99774927,0.63842434,0.67463213,-0.008352532,0.99916923,0.79506963,0.8451833,0.23431191,0.9962949,0.6292063,0.83635265,0.2181968,0.9984993,0.7850618,0.8688812,0.24693823,0.9314907,0.6364525,0.85959595,0.23266634,0.96984535,idle
0.72164285,0.16475673,-0.37430397,0.999972,0.7362481,0.14684042,-0.36043516,0.99993,0.71298534,0.14949042,-0.35264808,0.9999323,0.7533188,0.15186901,-0.22658911,0.99989545,0.7088846,0.15594366,-0.1895454,0.9999043,0.73191047,0.18118359,-0.31983018,0.9999609,0.7146,0.18029371,-0.30976054,0.99995244,0.79584146,0.24296196,-0.12184216,0.9998441,0.6759689,0.23906945,-0.09849396,0.9999117,0.8448755,0.35066944,-0.31121644,0.99634916,0.63143706,0.35022596,-0.26038086,0.9657501,0.8064901,0.25593212,-0.5863353,0.9933383,0.68630564,0.32972628,-0.5422491,0.9797832,0.75981534,0.50719565,-0.013901634,0.99963355,0.6849338,0.49752125,0.013808778,0.9998306,0.78115475,0.6874301,0.0066046054,0.997711,0.65222675,0.6737674,0.042270955,0.99905545,0.7954997,0.84514195,0.19236486,0.9961969,0.6405046,0.833222,0.24893832,0.9983631,0.78584915,0.86859936,0.19976614,0.93095905,0.64962685,0.8570225,0.26065326,0.9685904,idle
0.7259017,0.1631708,-0.4038198,0.9999733,0.7414725,0.14654057,-0.39002708,0.9999334,0.71787095,0.1477982,-0.38335136,0.99993616,0.75758904,0.15192768,-0.25203437,0.9998987,0.7130432,0.15422422,-0.22078085,0.99991095,0.73561746,0.17991242,-0.3477698,0.99996287,0.71816283,0.17832147,-0.33925185,0.9999559,0.79928905,0.24468693,-0.1351976,0.99984896,0.67774665,0.2368368,-0.12716481,0.99991727,0.84590435,0.34980842,-0.317792,0.99638724,0.6327678,0.3452602,-0.28050384,0.9685975,0.81122285,0.26007313,-0.607054,0.99351525,0.6865746,0.3314518,-0.5617284,0.98100483,0.76231164,0.5045567,-0.008245697,0.9996344,0.68846905,0.49460286,0.008170089,0.9998248,0.7799885,0.6850856,0.01505659,0.99768764,0.65511215,0.67178506,0.047435414,0.9989544,0.79564154,0.8452341,0.1956448,0.99619,0.6359892,0.8322068,0.25652498,0.99823135,0.7856432,0.8687183,0.20355782,0.9313008,0.6427979,0.85483336,0.26828095,0.9659368,idle
0.72869676,0.16330972,-0.4036511,0.999974,0.7433111,0.14644693,-0.39078656,0.99993587,0.7184383,0.14782707,-0.38303667,0.99993825,0.7582609,0.15164715,-0.25054556,0.99990267,0.71301246,0.15354873,-0.2134581,0.999916,0.73854697,0.17965889,-0.34603786,0.99996513,0.72028977,0.17851117,-0.3358781,0.99995893,0.80377084,0.24250895,-0.13057828,0.9998595,0.67797303,0.23462337,-0.11189733,0.9999229,0.84593785,0.35153836,-0.31230336,0.99635214,0.6324934,0.3440691,-0.2632029,0.9709964,0.8040878,0.27783433,-0.6113372,0.99338514,0.6866027,0.32280344,-0.56030804,0.9815965,0.7634771,0.50014,-0.006115565,0.9996375,0.68853724,0.4908194,0.0060469992,0.9998191,0.78225964,0.68377537,-0.02866154,0.9976205,0.64503556,0.66954875,-0.029423097,0.9989165,0.7952944,0.84531194,0.20013523,0.99605274,0.6259102,0.82951087,0.21805277,0.9980939,0.7852617,0.8687932,0.21276912,0.92904264,0.63106847,0.84897536,0.2343781,0.9629576,idle
0.7234582,0.16349219,-0.40625185,0.9999694,0.737522,0.1464697,-0.3967002,0.999925,0.71596277,0.14797541,-0.38569772,0.99992853,0.75505805,0.1514432,-0.26549524,0.9998878,0.7117354,0.1532146,-0.2126334,0.9999037,0.733635,0.17970665,-0.35131067,0.9999629,0.7174325,0.17885348,-0.33663222,0.9999565,0.80157804,0.2405058,-0.14827749,0.99986386,0.67797613,0.232976,-0.10633409,0.99992514,0.8480092,0.35205498,-0.3144935,0.9963383,0.63297516,0.34459117,-0.26076227,0.97273713,0.7915291,0.30982035,-0.60261405,0.9927324,0.6781464,0.30645072,-0.58210176,0.98185676,0.76003796,0.5002096,-0.0065611927,0.9996218,0.68513525,0.49045107,0.006479492,0.9998039,0.7810965,0.68415,-0.03653892,0.9974979,0.6370646,0.6657008,-0.045233466,0.998869,0.7940432,0.8459342,0.1929869,0.9958922,0.6165858,0.82686925,0.19211121,0.9979951,0.7832189,0.86911935,0.20607248,0.92861956,0.6242844,0.84699446,0.2073446,0.9603409,idle
0.7139081,0.16354619,-0.39104256,0.9999694,0.7270463,0.14646344,-0.37858173,0.9999263,0.7077831,0.1479569,-0.36869213,0.9999278,0.7474596,0.15139176,-0.25114346,0.99989134,0.70613086,0.15320732,-0.19649492,0.99989796,0.72322476,0.17978731,-0.336295,0.99996364,0.70924234,0.17903066,-0.32275942,0.9999552,0.7968703,0.24203052,-0.14879113,0.9998719,0.6735519,0.2348807,-0.10537273,0.9999232,0.83838063,0.358152,-0.3077214,0.9963804,0.63216853,0.3474832,-0.2398595,0.9719792,0.78120536,0.33239862,-0.57281107,0.99262714,0.67642486,0.31185058,-0.5593047,0.9807653,0.756542,0.49996907,-0.013967437,0.9996241,0.6803956,0.4916241,0.013841325,0.9997987,0.7795799,0.68348783,-0.032839086,0.9975213,0.6320994,0.66548926,-0.003659654,0.998867,0.7946261,0.8458011,0.19475098,0.9959963,0.613732,0.82753,0.22464266,0.9980378,0.78356165,0.86878365,0.20715065,0.9299599,0.6228602,0.8490644,0.23833565,0.9611924,idle
0.70652485,0.16633512,-0.4275097,0.99997026,0.719885,0.14839539,-0.41389745,0.99992913,0.6995436,0.1498155,-0.40406233,0.9999301,0.7400448,0.15392645,-0.27882856,0.999896,0.6971544,0.15508185,-0.23028171,0.9998987,0.7160398,0.18265714,-0.37284058,0.99996513,0.70169574,0.18172115,-0.35956278,0.9999563,0.78913724,0.25038,-0.17483597,0.99987715,0.6660549,0.24235366,-0.123702966,0.99992424,0.83327645,0.3696746,-0.3351729,0.99636894,0.6280707,0.35712686,-0.27267024,0.972308,0.7747662,0.33710802,-0.6168257,0.99231225,0.6702122,0.33067557,-0.5990587,0.98031974,0.75208056,0.50021565,-0.014002616,0.9996262,0.6764547,0.49393606,0.0138698,0.9997965,0.7764901,0.6846542,-0.021934938,0.99756587,0.6313845,0.6690604,0.016620731,0.99887335,0.7945819,0.846063,0.23442133,0.9960903,0.602453,0.829282,0.25652716,0.9980829,0.7838979,0.86874634,0.2496346,0.9303756,0.6115587,0.8518351,0.27093235,0.96122646,idle
0.6957116,0.16729294,-0.40690964,0.9999727,0.7087018,0.15000793,-0.39820144,0.9999349,0.6868017,0.14999877,-0.38394883,0.99993587,0.7251441,0.15714325,-0.26864684,0.9999043,0.6835429,0.15610717,-0.2104272,0.9999069,0.70486224,0.18450403,-0.35338768,0.99996805,0.6891677,0.18308224,-0.3383528,0.99996,0.7732247,0.25292605,-0.16328485,0.99988383,0.64605916,0.2526295,-0.10807904,0.9999294,0.8020786,0.37596267,-0.30858523,0.9963672,0.6156157,0.36371866,-0.2606073,0.973387,0.7531812,0.3327944,-0.60873723,0.99250185,0.6480518,0.35615835,-0.59262043,0.98104274,0.7444695,0.504713,-0.011345411,0.99963117,0.6702866,0.5012481,0.011166665,0.999801,0.77499497,0.68671924,-0.002702008,0.99762726,0.6222352,0.6779199,0.010762973,0.99888915,0.795119,0.84751976,0.2393662,0.99617565,0.59634936,0.83689845,0.2411896,0.9981273,0.7844314,0.8699356,0.25315195,0.93151814,0.6061572,0.86045676,0.2548867,0.9612135,idle
0.67071795,0.16877691,-0.3406222,0.999975,0.68451524,0.1510994,-0.3224243,0.9999405,0.6618419,0.15124267,-0.31523088,0.99994135,0.69996846,0.15856592,-0.18221112,0.99991256,0.65974045,0.15765764,-0.14917293,0.99991494,0.68104523,0.18582882,-0.2857629,0.9999708,0.66486084,0.18503119,-0.27690834,0.9999634,0.7478876,0.25338423,-0.09259458,0.9998913,0.62691385,0.25786957,-0.047976192,0.9999337,0.7828199,0.3782164,-0.25532466,0.9964852,0.595112,0.37247995,-0.18462493,0.9742659,0.7337326,0.3288743,-0.5541338,0.99282604,0.6254953,0.35110393,-0.5077722,0.9817443,0.7227008,0.50964016,-0.01232781,0.99964553,0.65157175,0.50742227,0.012132948,0.9998077,0.7642831,0.6897822,-0.0053335843,0.99770385,0.6082829,0.6825915,0.0035112328,0.99891037,0.7939586,0.8482532,0.22350457,0.9963162,0.5933906,0.8393203,0.23690243,0.9981832,0.7842885,0.8700262,0.2350791,0.93329084,0.60442686,0.86257637,0.25218105,0.9623647,idle
0.648856,0.16957833,-0.34737062,0.999977,0.662754,0.15190695,-0.33225825,0.9999452,0.63968545,0.15225384,-0.31778377,0.9999459,0.6781506,0.15890393,-0.20123477,0.99991965,0.63722867,0.15792741,-0.16600016,0.9999216,0.6594524,0.18681525,-0.2980215,0.9999732,0.64291966,0.18644236,-0.27962238,0.9999663,0.72674006,0.25265795,-0.10547861,0.9998994,0.607585,0.2578091,-0.059981626,0.9999382,0.7694685,0.37543443,-0.26060304,0.99660397,0.57570803,0.3741994,-0.19584528,0.97516495,0.717124,0.33211458,-0.56333244,0.99310726,0.59653556,0.35075316,-0.5239817,0.9826957,0.7045401,0.5095453,-0.012395334,0.9996648,0.6338362,0.5081302,0.012198948,0.9998158,0.74871814,0.68977463,-0.0067880144,0.9977444,0.59883,0.68379414,0.034272905,0.9988938,0.7867149,0.8483402,0.17745161,0.99642056,0.59089833,0.8392478,0.2773445,0.9981953,0.77664566,0.8700349,0.18527448,0.9362104,0.602744,0.86255956,0.29220408,0.9633568,idle
