x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.41141996,0.19587693,-0.3669544,0.99994636,0.42594522,0.17748097,-0.34699953,0.99991447,0.39912274,0.17750844,-0.34006184,0.9998145,0.4418478,0.18474609,-0.18871287,0.9999111,0.3899032,0.18521118,-0.15864559,0.99977654,0.41969356,0.21694681,-0.3052947,0.99996644,0.40343824,0.21730022,-0.29683852,0.99992305,0.4769866,0.28506747,-0.11991054,0.9999675,0.35382956,0.28035906,-0.012473303,0.99990094,0.51862794,0.405899,-0.2799643,0.9961622,0.2984463,0.3599259,-0.05950349,0.9724573,0.44474047,0.36907715,-0.58304036,0.9927397,0.28465164,0.40038854,-0.3637407,0.976239,0.4435943,0.55730134,-0.025336942,0.9997575,0.36791137,0.55307144,0.025155868,0.9997807,0.48264188,0.72900265,-0.058612805,0.9973701,0.3324765,0.72540337,-0.08456139,0.99848795,0.51582086,0.8855914,0.24105461,0.9966373,0.3362718,0.8655294,0.21867418,0.9977351,0.5102336,0.9039768,0.25960153,0.9248498,0.3529919,0.88375884,0.23830342,0.9715248,idle
0.42180046,0.18431346,-0.38664332,0.9999516,0.43695563,0.16648032,-0.36742944,0.9999228,0.4093852,0.16420397,-0.36196196,0.9998327,0.45131904,0.17467217,-0.20843844,0.9999198,0.3983188,0.17090806,-0.18575035,0.9997985,0.4288579,0.2059961,-0.32388005,0.9999697,0.41191918,0.2052656,-0.31776083,0.9999307,0.4821984,0.27437738,-0.12353333,0.9999704,0.35856792,0.2625256,-0.04130867,0.99991,0.5203523,0.39818034,-0.2789277,0.99643373,0.3047855,0.34855872,-0.11070056,0.9739094,0.448944,0.3639054,-0.5898315,0.9932823,0.30705523,0.3832954,-0.42720857,0.97712994,0.444769,0.5397994,-0.01608156,0.9997752,0.36945534,0.53592306,0.015850047,0.9997948,0.48273793,0.71739686,-0.053075284,0.9975462,0.34884632,0.71976197,-0.036556628,0.99855983,0.51415664,0.881409,0.22995372,0.9968236,0.3601811,0.8654524,0.25248533,0.99781996,0.5083438,0.89893556,0.24746318,0.92829335,0.37532532,0.88029885,0.2711149,0.97179633,idle
0.44823724,0.18768659,-0.44442135,0.9999559,0.46057758,0.16946882,-0.423766,0.999929,0.43523875,0.16429372,-0.42913643,0.99984825,0.46888644,0.17656092,-0.2555233,0.999925,0.41897282,0.16541147,-0.2834115,0.9998173,0.45386657,0.20988867,-0.376831,0.9999718,0.4372812,0.20763606,-0.3852883,0.9999371,0.49430758,0.27865055,-0.14827757,0.9999681,0.36211136,0.2574282,-0.14425616,0.99991715,0.5156736,0.40560675,-0.2748127,0.9961356,0.310762,0.352673,-0.2618542,0.9757916,0.46011662,0.3598127,-0.5755179,0.9931396,0.37580448,0.3629908,-0.54376715,0.9784137,0.4595523,0.5270391,-0.01010368,0.9997184,0.38792038,0.5300114,0.009956674,0.9997735,0.477846,0.70678264,-0.016109008,0.9974176,0.39388436,0.7105941,0.029007215,0.9982845,0.49606282,0.87574154,0.22583768,0.99648887,0.40860423,0.8690237,0.24368808,0.99760836,0.48092046,0.8958284,0.23282441,0.9297135,0.42270422,0.885428,0.2563823,0.9701968,idle
0.45507485,0.19046326,-0.46022138,0.9999589,0.4668753,0.17298497,-0.44071597,0.99993193,0.4425355,0.16811949,-0.44522458,0.99986047,0.4746088,0.18053105,-0.2731039,0.99992424,0.42582622,0.16785468,-0.29660705,0.99983245,0.46104702,0.2105853,-0.39229327,0.9999726,0.4440539,0.20806128,-0.3996259,0.99994236,0.5006052,0.28250918,-0.1598734,0.99996185,0.3679322,0.26180023,-0.16431892,0.99992245,0.5184654,0.40723708,-0.28472167,0.9950999,0.31698382,0.37032947,-0.29712373,0.97734094,0.46406245,0.3625732,-0.5828604,0.99186426,0.3895292,0.35865238,-0.57809293,0.9789916,0.46554738,0.5313292,-0.004383579,0.9996898,0.39214903,0.5354985,0.004247402,0.99975926,0.47757038,0.70924157,0.0024756575,0.99719876,0.39939284,0.70894504,0.062731355,0.99803203,0.49431172,0.8731101,0.26137814,0.99603087,0.40398806,0.8689917,0.3312367,0.99730235,0.478355,0.8941578,0.27668798,0.9302143,0.41942805,0.8856355,0.34942898,0.9671642,idle
0.45955974,0.19351646,-0.4670611,0.99996096,0.47267032,0.1766081,-0.44637313,0.9999334,0.4476134,0.17057861,-0.4504075,0.99987036,0.47974986,0.18379332,-0.27619755,0.9999212,0.43072423,0.17035227,-0.29762322,0.99984527,0.46518272,0.21332426,-0.39876184,0.9999733,0.4480146,0.21019724,-0.4055459,0.9999471,0.5040511,0.2857059,-0.16360763,0.99995404,0.3727376,0.26603547,-0.1704311,0.99992615,0.519999,0.41282183,-0.29208472,0.9938496,0.3226031,0.38116616,-0.31357682,0.97866887,0.46921572,0.3666806,-0.6122655,0.9905752,0.3972411,0.36085287,-0.60001767,0.9792673,0.4671325,0.53873664,0.00096751156,0.99968743,0.392104,0.54123956,-0.0010996561,0.9997546,0.4811872,0.71289647,0.00092820375,0.997171,0.3876915,0.71338016,0.07906236,0.9979777,0.49217883,0.87287635,0.31844354,0.99587065,0.39835006,0.86844146,0.42110434,0.99718463,0.47781458,0.8933855,0.34090424,0.9319802,0.41427654,0.883978,0.4468596,0.9650884,idle
0.46545583,0.1960794,-0.4582445,0.9999603,0.4787683,0.17918237,-0.43619785,0.9999272,0.4538744,0.17251916,-0.44237286,0.9998741,0.48478013,0.18611722,-0.2621032,0.9999038,0.43629152,0.17140317,-0.2923842,0.99985313,0.47025117,0.21573158,-0.38827294,0.99997175,0.45333672,0.21246745,-0.39780456,0.99995047,0.5059284,0.2875883,-0.16285741,0.9999395,0.37541324,0.26699173,-0.1738886,0.9999285,0.5215653,0.4166817,-0.2946579,0.99204683,0.3265342,0.3889199,-0.32628286,0.97988313,0.47486272,0.368971,-0.61767817,0.988427,0.40746593,0.36242828,-0.60580015,0.9793043,0.46609497,0.5426991,0.006566354,0.99967533,0.38879964,0.5446723,-0.006656225,0.99974716,0.48245484,0.71469223,-0.00044788042,0.9970878,0.38136247,0.718519,0.035150144,0.9979652,0.4909063,0.8718268,0.3510699,0.995625,0.3924698,0.86830527,0.3867777,0.9970981,0.4771265,0.8922471,0.3770712,0.93335736,0.40607166,0.88283634,0.41361326,0.9632311,idle
0.47152528,0.19786794,-0.4396425,0.9999594,0.48452455,0.18030268,-0.41849223,0.99992055,0.46039686,0.17477767,-0.42829627,0.99987763,0.4888733,0.18739936,-0.24998327,0.9998862,0.44186562,0.1732295,-0.2987706,0.99986076,0.4751969,0.21770568,-0.37113923,0.99997,0.45914984,0.21503165,-0.38516822,0.99995357,0.5064435,0.2887136,-0.14016834,0.9999289,0.37690154,0.26623553,-0.18574752,0.99993163,0.52119267,0.41902974,-0.2637888,0.9897263,0.3303029,0.3928435,-0.33471572,0.981124,0.48220086,0.37038317,-0.57806104,0.985898,0.4163378,0.3634401,-0.59514725,0.97977847,0.46520716,0.5449057,0.010141333,0.9996602,0.38616732,0.54640985,-0.010194779,0.9997418,0.48394012,0.7191047,0.0145652685,0.99711084,0.3736346,0.7179027,0.01997285,0.9980098,0.4903573,0.8710631,0.36939603,0.9955854,0.3801195,0.86781114,0.35924765,0.99712974,0.47655812,0.89139515,0.3957581,0.9357817,0.39272666,0.8818957,0.38462165,0.9629041,idle
0.47657743,0.2027698,-0.4229536,0.9999588,0.48865372,0.18592499,-0.39930218,0.9999141,0.46663922,0.17508325,-0.4122855,0.99988204,0.49119458,0.191502,-0.22020626,0.99986947,0.44670647,0.1749439,-0.286193,0.9998683,0.47797832,0.2204208,-0.34647885,0.9999677,0.4634409,0.21584775,-0.36915514,0.99995613,0.50379854,0.28947133,-0.101684645,0.9999174,0.3783201,0.26516226,-0.17740795,0.9999353,0.5202732,0.41958228,-0.2068542,0.9854706,0.3345153,0.3957195,-0.31839794,0.98199624,0.48201132,0.37175605,-0.49936748,0.98152727,0.4224615,0.36391905,-0.5550521,0.9802306,0.46466404,0.54647917,0.013698134,0.9996609,0.38620883,0.54662997,-0.013782756,0.99974704,0.48540482,0.7234333,0.04611065,0.9972068,0.36983496,0.71800405,0.026336733,0.9980757,0.49122518,0.87110734,0.3881536,0.9956628,0.3730114,0.8678951,0.33895892,0.99724984,0.47789726,0.89113355,0.41400662,0.9389659,0.3899663,0.8826348,0.3617175,0.9638219,idle
0.48103946,0.21116544,-0.37277365,0.9999543,0.49179554,0.19604391,-0.35084915,0.9998962,0.47199783,0.18144327,-0.3703142,0.999878,0.49216914,0.1981898,-0.18264565,0.99983335,0.45155686,0.1750849,-0.26720756,0.99986756,0.4808069,0.22818966,-0.30353338,0.9999622,0.4671781,0.22207884,-0.33104783,0.9999572,0.501618,0.28954694,-0.07287799,0.9999053,0.3792672,0.26630065,-0.16596568,0.9999382,0.5180274,0.42042428,-0.17603998,0.97894186,0.33959952,0.39814797,-0.30672356,0.9831726,0.48338765,0.37614954,-0.46771973,0.9747099,0.42802328,0.36399505,-0.52286655,0.9809026,0.4639705,0.54733306,0.020629136,0.9996569,0.38625613,0.54643506,-0.020712834,0.9997433,0.4932905,0.72111,0.02755191,0.9973286,0.366456,0.7193336,0.0021976775,0.99812615,0.49139804,0.8667572,0.3456697,0.99575347,0.3529504,0.87264335,0.304657,0.99734724,0.4780802,0.88289046,0.37213144,0.9411426,0.35893413,0.8887211,0.32656735,0.9630399,idle
0.48283735,0.22283502,-0.3255645,0.9999508,0.49348053,0.2081375,-0.30061913,0.9998837,0.47394785,0.1958691,-0.3201757,0.99987555,0.493069,0.20954995,-0.13372102,0.9998051,0.45366073,0.18799879,-0.22714582,0.99986684,0.48122144,0.24228427,-0.25887686,0.99995786,0.46831718,0.2341335,-0.28570825,0.9999582,0.49875793,0.29645616,-0.03526353,0.9998855,0.37940556,0.2664857,-0.1506246,0.99993926,0.5164279,0.42207092,-0.15095526,0.96953577,0.34548855,0.40273395,-0.29441985,0.98450893,0.48587418,0.39318696,-0.45657855,0.9643794,0.43281493,0.3679018,-0.48672312,0.9818826,0.46458608,0.5476543,0.028199622,0.9996663,0.38781756,0.5480521,-0.028244292,0.99973106,0.50852156,0.7080326,-0.19982949,0.9975066,0.36533752,0.72193027,-0.017884616,0.9981211,0.4975366,0.8607343,0.084206045,0.9959356,0.34132263,0.8774041,0.28462133,0.9973087,0.4785757,0.87548447,0.10605989,0.9448664,0.34186578,0.8944224,0.3060882,0.9590685,idle
