x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.5258827,0.22957262,-0.11030911,0.9996715,0.5290743,0.21071109,-0.08548005,0.99938947,0.5204178,0.20710982,-0.1233212,0.99945015,0.51494277,0.20672408,0.049939338,0.9991227,0.4964644,0.20079522,-0.11912962,0.99949497,0.5181864,0.24616106,-0.052096643,0.9990195,0.51190436,0.24436404,-0.100568235,0.99919957,0.50184333,0.29259625,0.14631927,0.99624115,0.43628693,0.24697778,-0.18492195,0.99977314,0.4940657,0.36773852,0.020103026,0.28324136,0.42413077,0.3128893,-0.31587008,0.9943689,0.511485,0.33058083,-0.23180318,0.3246756,0.52963847,0.28408417,-0.2635922,0.97572684,0.44507298,0.5432025,0.09673603,0.99811304,0.38364178,0.52622956,-0.096535906,0.9990517,0.49167186,0.71652097,0.029345304,0.9186217,0.330225,0.7163923,-0.099021964,0.9946801,0.49684867,0.91446143,0.08315616,0.95668477,0.26559478,0.8960743,-0.023599815,0.9926475,0.47838894,0.9474255,0.082595214,0.9262316,0.25565556,0.9132195,-0.022853844,0.92315173,idle
0.49985877,0.223701,-0.17527525,0.99968183,0.5019244,0.20527866,-0.15186867,0.9994151,0.48996335,0.20207907,-0.18610802,0.9994633,0.4878486,0.20300016,0.002660288,0.99913484,0.46410918,0.19739774,-0.1501539,0.99951017,0.49464694,0.24035104,-0.113200665,0.9990687,0.48535293,0.23836212,-0.15793182,0.9992511,0.48920798,0.3056547,0.11385939,0.9964262,0.3964899,0.2472773,-0.18102333,0.99977666,0.46693963,0.40496576,-0.019504543,0.2865266,0.37675965,0.33730274,-0.32953748,0.993913,0.49564904,0.3315938,-0.29654595,0.3514264,0.46483445,0.28236112,-0.39180136,0.97704595,0.4311815,0.5482673,0.082190655,0.99810076,0.36179024,0.53511554,-0.08206815,0.9990369,0.48708105,0.7266825,0.02510995,0.92510754,0.31541643,0.73018646,-0.062060844,0.99444556,0.4965077,0.91443473,0.14091983,0.95900214,0.26535434,0.9059693,0.107909024,0.99224466,0.47807583,0.94734615,0.1453792,0.92704815,0.26053163,0.9254331,0.11610776,0.9155775,idle
0.46657634,0.2161734,-0.27538797,0.99970347,0.471402,0.19824006,-0.25026587,0.99945456,0.45317993,0.19353347,-0.27419725,0.99949235,0.46113238,0.20050903,-0.07700388,0.9991939,0.42916083,0.19170998,-0.18549229,0.9995384,0.46321616,0.2339051,-0.2060607,0.9991498,0.45064706,0.23241363,-0.23808137,0.999317,0.47222304,0.31584644,0.03695757,0.99675095,0.3603556,0.24847057,-0.1563878,0.99979144,0.45102882,0.4395835,-0.12891448,0.33608484,0.3254402,0.35262543,-0.36078662,0.9934365,0.47401938,0.3442258,-0.47319144,0.40385404,0.4012517,0.28320676,-0.60906327,0.9783006,0.4143737,0.5523652,0.047125496,0.9982236,0.33832258,0.545651,-0.047007807,0.9990817,0.47693595,0.73067003,-0.017472088,0.93210125,0.30004585,0.7418019,-0.022240896,0.99431574,0.49674797,0.913512,0.19577478,0.96208256,0.2667714,0.90464485,0.25723082,0.99200034,0.4810837,0.9444384,0.21491952,0.9294922,0.2738891,0.92484564,0.27607396,0.91188455,idle
0.4391171,0.20615235,-0.32541108,0.99973,0.444002,0.1883792,-0.30101207,0.99950385,0.4271109,0.18309547,-0.32419473,0.99953616,0.43419942,0.19218013,-0.12781729,0.99926907,0.4011604,0.18284829,-0.23386109,0.9995791,0.43642378,0.22360311,-0.2561415,0.99923277,0.42378896,0.22337598,-0.28776568,0.99938357,0.4490622,0.31193584,-0.015441379,0.997069,0.3283133,0.24974115,-0.1746218,0.9998085,0.449094,0.43943682,-0.17701727,0.39887515,0.28971133,0.35880455,-0.40893632,0.99358,0.45785588,0.34891364,-0.51417744,0.46144208,0.3612921,0.28292578,-0.6987498,0.9799701,0.39513135,0.55214673,0.035747334,0.9983676,0.31468818,0.54506344,-0.03565202,0.9991426,0.45940933,0.7316596,-0.026921878,0.93866754,0.27936584,0.7450678,-0.038932476,0.99460006,0.49150023,0.91171527,0.23252673,0.9652286,0.26668185,0.8998218,0.27940208,0.99208003,0.48003712,0.9438976,0.25290042,0.9324658,0.27521303,0.92318815,0.30324,0.9122588,idle
0.40603647,0.18923497,-0.27457583,0.99975574,0.41350704,0.17078064,-0.24725568,0.99955136,0.39252493,0.1660011,-0.26313832,0.9995801,0.41090924,0.17942296,-0.07864758,0.9993397,0.36531705,0.17082308,-0.15322153,0.999619,0.40853485,0.20890495,-0.20880122,0.9993083,0.3925571,0.20815304,-0.23112264,0.9994443,0.4269755,0.30708933,0.009236737,0.9973561,0.30168164,0.24975242,-0.06949433,0.9998239,0.43855467,0.43263188,-0.1630845,0.45679706,0.25582567,0.36131927,-0.29100338,0.9930696,0.42870718,0.3429895,-0.47930306,0.5134326,0.32127723,0.28154746,-0.5834203,0.9808606,0.37612507,0.5457534,0.021435259,0.9984874,0.29457968,0.54232764,-0.021426044,0.99919736,0.43173105,0.73103464,-0.006772111,0.9444169,0.26464495,0.7430824,-0.04362234,0.99479574,0.47970214,0.90621716,0.23806867,0.9680161,0.26248792,0.8985834,0.22902746,0.99230087,0.47378343,0.9383255,0.25465292,0.9343799,0.27255484,0.9229353,0.24749804,0.9133866,idle
0.37194237,0.17593142,-0.30683914,0.99977946,0.38436228,0.15727942,-0.2796506,0.99959505,0.35990185,0.15241274,-0.28299636,0.99962056,0.3900657,0.1673441,-0.10764021,0.9994042,0.34136122,0.15645556,-0.13207573,0.99965537,0.37802902,0.1965604,-0.24167033,0.99937683,0.36065796,0.1936832,-0.24768662,0.9994994,0.40948445,0.29246646,-0.023978846,0.9976165,0.28180647,0.248892,-0.04341536,0.999836,0.43102354,0.4260036,-0.19647096,0.51045984,0.22575787,0.35566917,-0.24929395,0.992844,0.40773147,0.33877614,-0.49888745,0.5614671,0.283108,0.272467,-0.5620626,0.9816169,0.364323,0.54094785,0.012632993,0.9985877,0.2825754,0.5367254,-0.012703533,0.99923015,0.4156012,0.7308219,-0.0057363464,0.9494711,0.26223832,0.74242276,-0.043451503,0.99490523,0.45138207,0.9047005,0.26417738,0.9701345,0.25468978,0.9052188,0.2234951,0.9920495,0.4469579,0.9325269,0.2828502,0.9312231,0.2717322,0.9253916,0.24243703,0.9079357,idle
0.3467351,0.16924219,-0.3058799,0.9998004,0.36079723,0.14961927,-0.27951992,0.9996332,0.33532414,0.14717926,-0.28074712,0.99965584,0.37100205,0.1590866,-0.114817895,0.99946004,0.32027793,0.1529242,-0.1253356,0.9996863,0.35481063,0.19154783,-0.2437892,0.9994376,0.33816046,0.1891782,-0.24684724,0.9995482,0.39588195,0.28039613,-0.034460045,0.9978493,0.26700333,0.24862295,-0.035845287,0.9998434,0.4275364,0.42038336,-0.20372796,0.55902505,0.20992227,0.35200247,-0.2315243,0.9928851,0.39318413,0.33153924,-0.49568447,0.6049766,0.26429594,0.25541502,-0.5412922,0.98264086,0.3568424,0.5290322,0.0042825853,0.99862003,0.27669606,0.52734095,-0.0043639275,0.99922353,0.39019638,0.72614646,-0.018026007,0.95344096,0.25743705,0.7317273,-0.050043453,0.99464685,0.40917,0.9013851,0.26331067,0.9712754,0.2535912,0.90636843,0.18886188,0.991436,0.40170866,0.92732394,0.26820108,0.9244848,0.26895386,0.92486566,0.20432167,0.90206176,idle
0.33384597,0.16192125,-0.3064762,0.99981874,0.3468727,0.14137371,-0.27914363,0.9996664,0.32203466,0.13987698,-0.28059664,0.9996868,0.35580993,0.1506973,-0.10892439,0.9995077,0.3063675,0.14730124,-0.12077588,0.9997134,0.3412489,0.18526272,-0.24263144,0.9994913,0.32372135,0.18395062,-0.24615851,0.99959147,0.38662273,0.2707033,-0.017739637,0.99805516,0.25627896,0.25017703,-0.028637975,0.999848,0.4232255,0.4178613,-0.18088482,0.60259473,0.20065281,0.35585958,-0.21651407,0.99277866,0.3773507,0.32373422,-0.4764307,0.6441278,0.24465176,0.25408557,-0.5306929,0.9835357,0.35297984,0.527496,0.0113543365,0.9986816,0.27349463,0.52439106,-0.011390716,0.9992417,0.36590388,0.72878426,-0.0018646929,0.9566194,0.25494403,0.7204411,-0.03448114,0.99437934,0.36275983,0.9111916,0.24627404,0.9723626,0.2537241,0.9062509,0.20722468,0.9911744,0.35123092,0.9340086,0.25604075,0.9253163,0.2674258,0.92462236,0.22171059,0.9002268,idle
0.3203135,0.15756631,-0.2761341,0.9998349,0.3327573,0.13604154,-0.25088087,0.9996964,0.30764872,0.13612625,-0.26868936,0.9997137,0.34363577,0.14391427,-0.099581115,0.9995518,0.29369807,0.14480704,-0.072989784,0.99973565,0.32854515,0.18121007,-0.21443471,0.9995397,0.3105856,0.18107253,-0.2251039,0.99962974,0.37975782,0.26299942,0.0070511834,0.9982436,0.25138906,0.2520865,0.025614273,0.9998456,0.42019215,0.411962,-0.14326058,0.6419698,0.19834179,0.36166364,-0.1473082,0.9918349,0.36939874,0.32243696,-0.42800483,0.6794277,0.22885172,0.25610384,-0.4875918,0.98363143,0.34783354,0.5236936,0.010736366,0.9987608,0.2696728,0.5187977,-0.010707015,0.99926734,0.36200476,0.73364437,-0.000482107,0.9600633,0.2518256,0.71662915,-0.019198429,0.9944894,0.36257687,0.9111594,0.25247985,0.9739186,0.25409514,0.9039171,0.21934088,0.99138755,0.35084197,0.9343805,0.26491207,0.9274766,0.26753515,0.9232987,0.23315577,0.90139073,idle
0.3104779,0.15888382,-0.2702903,0.99985015,0.32341003,0.13635793,-0.24551304,0.9997243,0.29762924,0.13774337,-0.26185673,0.999739,0.33535928,0.14356974,-0.08979849,0.99959373,0.28525436,0.14532964,-0.06953638,0.9997565,0.32028002,0.18166246,-0.209837,0.9995841,0.3010208,0.1816381,-0.22028515,0.99966466,0.3760217,0.25929263,-0.008444027,0.99841374,0.24679205,0.25368688,0.03217825,0.9998411,0.4159376,0.40615126,-0.17884234,0.6774003,0.19865146,0.3649521,-0.1486156,0.9900422,0.3588296,0.31615594,-0.45533004,0.71116,0.2239333,0.25913575,-0.48797864,0.98342603,0.34740904,0.5244156,-0.0058428617,0.9988293,0.26683223,0.5196714,0.0058968347,0.99929345,0.36965024,0.7349514,0.003206364,0.9635649,0.24846952,0.7177822,-0.012562351,0.994737,0.3777113,0.9089242,0.2464449,0.9756811,0.25436592,0.90386903,0.22494861,0.9917865,0.36884236,0.9314406,0.25946084,0.9274745,0.26806036,0.9231866,0.23901825,0.9052283,idle
