x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.44218516,0.0462169,-0.42411622,0.9999786,0.46130794,0.023125656,-0.41072837,0.9999632,0.42727464,0.026153518,-0.39334515,0.9999468,0.47974294,0.03295591,-0.27437243,0.9999575,0.4202037,0.0420544,-0.19703779,0.9998743,0.4578228,0.07044216,-0.3695076,0.9999804,0.43454155,0.071131945,-0.34814465,0.99996465,0.5346128,0.16894923,-0.23036298,0.99989843,0.39911312,0.17567334,-0.04279185,0.9997647,0.55097646,0.32172394,-0.37718356,0.9917801,0.38426498,0.33761534,-0.1596439,0.9198996,0.47736573,0.2786156,-0.6154993,0.9905989,0.3822387,0.28048393,-0.5379822,0.9651838,0.49851245,0.49184677,-0.054029536,0.9993261,0.41310993,0.48690665,0.054032814,0.99943346,0.5063618,0.67860425,0.065647736,0.9967678,0.40131313,0.68252474,0.21933766,0.99739176,0.5231379,0.8455416,0.36473197,0.99188304,0.4053947,0.84583974,0.54311436,0.99432606,0.52125293,0.86730564,0.38237336,0.91990256,0.4172358,0.8631571,0.5665887,0.9486105,idle
0.441513,0.048205074,-0.42301065,0.99997777,0.4603364,0.023880934,-0.41115636,0.9999622,0.42699045,0.02969088,-0.3925031,0.99994445,0.4799475,0.033041485,-0.29876256,0.99995756,0.42175007,0.04427399,-0.1972601,0.9998662,0.45780373,0.0710613,-0.37165365,0.9999796,0.43455988,0.07284313,-0.34794873,0.99996114,0.53879625,0.16833286,-0.26311374,0.99989873,0.4056508,0.17925507,-0.038193535,0.9997566,0.5521206,0.32180116,-0.40622917,0.9920147,0.39258474,0.34546193,-0.15687588,0.8980954,0.47561604,0.2787344,-0.61208904,0.9906837,0.38166437,0.28179103,-0.53819233,0.96069914,0.49934778,0.49290133,-0.064719886,0.999311,0.41865548,0.48742387,0.064717256,0.99941486,0.50663733,0.6784975,0.084513284,0.9967793,0.4014725,0.67972565,0.24138618,0.9973293,0.5330822,0.835902,0.39297837,0.99201775,0.40547132,0.8440573,0.5588515,0.99438524,0.5318781,0.85959667,0.41253757,0.91920435,0.41762272,0.8621837,0.5820809,0.9504916,idle
0.44157428,0.04822302,-0.422359,0.99997795,0.46037775,0.02384187,-0.41370654,0.9999629,0.42703652,0.029834218,-0.39268684,0.9999448,0.4816839,0.032819107,-0.30739442,0.999959,0.4235695,0.044597227,-0.2005361,0.9998648,0.45835963,0.07105926,-0.3756224,0.9999796,0.43522626,0.07313118,-0.3479641,0.9999595,0.5434991,0.16826686,-0.27147096,0.99989796,0.41096172,0.18334253,-0.042921416,0.9997507,0.55385685,0.32412764,-0.41360158,0.9920434,0.40121746,0.35177758,-0.15768717,0.8732078,0.476852,0.28015807,-0.609975,0.9905514,0.38281357,0.28221664,-0.53684723,0.95609665,0.5017586,0.49409273,-0.06738691,0.99930215,0.42320395,0.48745468,0.06736766,0.9994036,0.50726134,0.6762603,0.097827904,0.996739,0.40273848,0.67594993,0.26141712,0.9972543,0.5362353,0.83533674,0.38749418,0.99216706,0.40556264,0.84249055,0.57048714,0.9944332,0.5345458,0.860222,0.40646535,0.91898364,0.4178896,0.86124146,0.5931177,0.9523294,idle
0.4421038,0.04830358,-0.41871443,0.9999779,0.46095604,0.023616288,-0.41165692,0.9999633,0.42778808,0.029868823,-0.38963425,0.99994534,0.4843448,0.032399643,-0.30866838,0.99995965,0.4263235,0.04485435,-0.20049357,0.9998643,0.45985842,0.07109777,-0.3738114,0.9999794,0.43676385,0.07353843,-0.3456052,0.99995744,0.5487943,0.16753894,-0.27796146,0.9998932,0.4193129,0.18470995,-0.045082133,0.9997478,0.5562109,0.32443348,-0.4333458,0.9920881,0.40655956,0.3573059,-0.16858898,0.85593057,0.47720927,0.28049448,-0.63509154,0.9904299,0.38336012,0.28192425,-0.5555144,0.9548235,0.5040806,0.49461153,-0.07316205,0.9992695,0.42789307,0.48716968,0.07308614,0.9993758,0.50756055,0.6745441,0.09904353,0.9962719,0.40463695,0.6750739,0.2533797,0.99687654,0.53391254,0.83509195,0.38651142,0.9918069,0.40606532,0.8420881,0.5504356,0.99407953,0.5319486,0.86079234,0.40512758,0.9184181,0.41798037,0.8607412,0.5728377,0.95302397,idle
0.44213906,0.050965324,-0.40169603,0.9999781,0.46082824,0.025483213,-0.40002912,0.99996376,0.42912942,0.03323805,-0.37348047,0.9999465,0.48600912,0.033535525,-0.30195832,0.9999602,0.4316364,0.046500187,-0.1895388,0.9998656,0.4604187,0.073964916,-0.36513644,0.9999793,0.43794298,0.075979866,-0.33000997,0.99995613,0.54941785,0.16749766,-0.27453512,0.9998894,0.4269967,0.18539158,-0.032169633,0.9997533,0.55783623,0.32270354,-0.42700034,0.99218637,0.41417694,0.35693067,-0.15034965,0.8421093,0.47770673,0.28184283,-0.6342422,0.9903473,0.38510245,0.28277925,-0.54377925,0.9551497,0.5058845,0.4962555,-0.08047044,0.9992204,0.43416196,0.4870068,0.08034476,0.9993403,0.5082091,0.6743719,0.090605155,0.9955557,0.40680057,0.6733808,0.24917802,0.996153,0.5361498,0.83407694,0.3815531,0.99109375,0.4061131,0.8407785,0.54219043,0.9934563,0.5363743,0.8614723,0.40027794,0.9176817,0.41801223,0.8594081,0.56587434,0.95335704,idle
0.44215876,0.051941343,-0.3800502,0.9999776,0.46060365,0.026783258,-0.3811726,0.99996257,0.43029675,0.035104845,-0.35201603,0.9999455,0.48734316,0.034435235,-0.29711717,0.999959,0.43585342,0.04719746,-0.17005543,0.99985987,0.46042204,0.074462704,-0.34741288,0.99997807,0.43887368,0.07639865,-0.30868497,0.9999516,0.54887104,0.16687946,-0.27672166,0.9998827,0.43255386,0.18531372,-0.008185094,0.99975145,0.55979264,0.31848675,-0.42087692,0.9924014,0.42298427,0.35564512,-0.11395279,0.82192737,0.47492123,0.28141105,-0.6038327,0.99038947,0.3854547,0.28330114,-0.4959816,0.9538736,0.50727993,0.49909037,-0.08640543,0.99916667,0.4384857,0.4869987,0.08625521,0.999304,0.5088871,0.674937,0.09204645,0.9952573,0.40864772,0.67196584,0.2589411,0.9957543,0.5347647,0.83405155,0.37295982,0.990889,0.4061717,0.840749,0.53836334,0.9932525,0.53572714,0.86478245,0.39021465,0.9188765,0.41805977,0.8595339,0.56564796,0.9546742,idle
0.44220763,0.051874604,-0.38313633,0.99997586,0.46060205,0.02676684,-0.38334557,0.9999585,0.43134958,0.03508958,-0.3544076,0.99994045,0.48910904,0.034459803,-0.30207652,0.99995595,0.43810004,0.04719349,-0.16921005,0.99984175,0.46044722,0.07443362,-0.34868455,0.9999749,0.4399035,0.076358385,-0.31055555,0.999941,0.54810107,0.16669771,-0.29127926,0.9998703,0.43775138,0.1852138,0.0018054092,0.9997367,0.55954194,0.31860793,-0.409659,0.9925841,0.43255296,0.35517403,-0.08673957,0.78305566,0.4707364,0.28099808,-0.5258408,0.9901744,0.39085895,0.29055172,-0.44736624,0.94501245,0.5072478,0.5054578,-0.0901648,0.99910647,0.44121122,0.4899302,0.09005643,0.9992681,0.5088918,0.6795474,0.10202507,0.9948061,0.41057873,0.671101,0.27481693,0.99536675,0.53396684,0.83364415,0.37937433,0.9902887,0.40687695,0.8408429,0.5526837,0.9930423,0.53659666,0.8687265,0.39690712,0.9192687,0.41951972,0.8619651,0.57393706,0.95616883,idle
0.44220942,0.052643243,-0.36616135,0.99997026,0.4601558,0.027519828,-0.37255841,0.9999472,0.43258047,0.03601203,-0.33957702,0.9999261,0.4893447,0.034761358,-0.30665293,0.99994826,0.4414341,0.04722763,-0.16186836,0.9997969,0.46002108,0.074577786,-0.33837444,0.9999672,0.44072908,0.07656374,-0.2954836,0.999915,0.5477977,0.16542776,-0.30483285,0.99985176,0.446074,0.18348847,0.01748747,0.9996892,0.558826,0.3186927,-0.38493884,0.9926841,0.4450528,0.35092944,-0.056858666,0.731813,0.46303278,0.281672,-0.41433477,0.989371,0.3951488,0.29134402,-0.40480986,0.925399,0.5075101,0.5076606,-0.09799577,0.9989686,0.44514665,0.49181783,0.09791965,0.9991501,0.5090521,0.6829983,0.096961126,0.99439096,0.41293222,0.6693755,0.28523213,0.994542,0.53363144,0.8341208,0.36988807,0.98950994,0.40957308,0.8407784,0.55230016,0.9924617,0.5362415,0.873562,0.38712233,0.9190095,0.42377132,0.863247,0.57182825,0.9569269,idle
0.4425096,0.053162914,-0.35078013,0.99995774,0.46007258,0.02818148,-0.36107427,0.9999257,0.4340331,0.037367035,-0.32579663,0.9998963,0.48957133,0.034866784,-0.3099236,0.9999341,0.44368094,0.047671914,-0.15489893,0.9997143,0.46006575,0.07447137,-0.32786936,0.999951,0.44256082,0.07653524,-0.28205633,0.9998592,0.5474406,0.16406177,-0.31497934,0.99982435,0.45148128,0.18354827,0.026186243,0.9996011,0.5562974,0.31874415,-0.3716057,0.99231374,0.4467272,0.35101888,-0.046310354,0.6757105,0.45271856,0.2818221,-0.3700982,0.9870152,0.39637864,0.29305544,-0.38380194,0.88874984,0.5076184,0.5083907,-0.09975855,0.99878013,0.44650477,0.49325025,0.09971638,0.99898744,0.5098989,0.6855214,0.09423702,0.9940654,0.413486,0.6666206,0.2815832,0.99394745,0.5331675,0.8354071,0.36225814,0.9890295,0.4129805,0.8407013,0.5513214,0.9920904,0.53544766,0.8760666,0.37905148,0.9189901,0.4303003,0.86404216,0.5668394,0.95776075,idle
0.44284505,0.054717176,-0.3133081,0.999944,0.4600269,0.029586812,-0.32596517,0.9999005,0.4352606,0.04079898,-0.28960752,0.9998564,0.4899703,0.034969624,-0.29716516,0.99992156,0.44658798,0.04907697,-0.12777372,0.99961114,0.46033055,0.07440188,-0.29445192,0.99993646,0.4447677,0.076612346,-0.24762459,0.999801,0.5473014,0.16224454,-0.30276817,0.99981344,0.457884,0.1828262,0.05135303,0.9995022,0.55389136,0.318925,-0.3281375,0.9923394,0.45109692,0.3402582,-0.015894528,0.61852473,0.44439346,0.28186604,-0.2745115,0.98595196,0.40029374,0.29236633,-0.33570012,0.8385124,0.507575,0.50788426,-0.09817952,0.9985931,0.44683713,0.49322444,0.09817424,0.9988069,0.5098907,0.687597,0.09115759,0.9938244,0.4137451,0.66530186,0.27179265,0.9934679,0.5329057,0.8365572,0.34153396,0.98860765,0.4174413,0.8399658,0.51772785,0.99180645,0.53474796,0.8760933,0.3571799,0.9193627,0.43862748,0.86383075,0.5320822,0.95869166,idle
