x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.36672333,0.13331057,-0.21776707,0.99995345,0.38211733,0.11412668,-0.21292348,0.99989355,0.3622856,0.11524379,-0.19227031,0.9998845,0.40530872,0.12357597,-0.13471544,0.9998557,0.35909006,0.12148867,-0.0387898,0.99982136,0.37753415,0.15207934,-0.18512326,0.9998599,0.3634209,0.15448342,-0.15803225,0.99986494,0.44266033,0.21905068,-0.13034418,0.9996357,0.326333,0.22362365,0.058265388,0.99972636,0.41848478,0.3188854,-0.30945283,0.98961216,0.2691224,0.31648096,-0.11933334,0.8883328,0.35485405,0.22046743,-0.46754497,0.9866649,0.3001543,0.21768282,-0.41936946,0.9256378,0.4078768,0.49632657,-0.058237832,0.99958974,0.33768797,0.49300894,0.057958536,0.99976176,0.3910058,0.6818162,-0.06691699,0.9977281,0.30082008,0.6735262,0.02248491,0.99710226,0.4018075,0.8617691,0.21681264,0.9966681,0.314488,0.849203,0.30518544,0.9958451,0.40065727,0.88453585,0.23589525,0.8934242,0.33352727,0.8713696,0.3273222,0.97151315,idle
0.35939685,0.1362645,-0.23235103,0.9999524,0.37545574,0.1150552,-0.22451648,0.99988896,0.35581976,0.11866204,-0.20484903,0.9998781,0.39849484,0.12798817,-0.13504541,0.99984777,0.35284406,0.12240706,-0.043289475,0.99980986,0.37022886,0.15569195,-0.195861,0.99986035,0.3557827,0.15837453,-0.17039385,0.9998601,0.4367376,0.22118254,-0.1357486,0.99964064,0.3197068,0.22470959,0.044239037,0.9997169,0.41935816,0.32276848,-0.3185662,0.9891736,0.26026717,0.3207723,-0.14079899,0.8960132,0.3517462,0.2220785,-0.49105296,0.98654366,0.29345518,0.22768097,-0.44647425,0.929727,0.4061605,0.5039988,-0.055247426,0.99958557,0.3352628,0.49428633,0.05500763,0.9997523,0.39079985,0.6964573,-0.071720734,0.99758774,0.29150587,0.68078345,0.011195355,0.99704313,0.39876276,0.8669364,0.225402,0.9963384,0.3136087,0.8498803,0.33290336,0.99553436,0.39789104,0.887709,0.24606855,0.8895119,0.32998118,0.8725689,0.35913938,0.96889555,idle
0.35631317,0.13983396,-0.23358619,0.99995285,0.37113732,0.118758105,-0.22748625,0.9998891,0.3511399,0.12222908,-0.21019682,0.99987596,0.3934548,0.13104263,-0.13655719,0.99984723,0.34926292,0.1266917,-0.052226562,0.9998012,0.36670518,0.1593918,-0.19718388,0.99986446,0.35228592,0.16165169,-0.17204358,0.99986035,0.43310112,0.22460558,-0.13060953,0.9996488,0.32026166,0.23067524,0.038485426,0.9997053,0.41770753,0.32319695,-0.30463776,0.98889095,0.261485,0.32546616,-0.14048342,0.90295786,0.3499579,0.2278103,-0.48184747,0.98688626,0.2924679,0.23076202,-0.44868702,0.9336594,0.4100914,0.5062098,-0.05094388,0.999564,0.33939564,0.49948594,0.05076914,0.9997322,0.40388483,0.6987807,-0.05337522,0.99759674,0.29805693,0.6853668,0.0490681,0.99707794,0.40340286,0.8686059,0.2242301,0.996237,0.31442356,0.85076773,0.32741737,0.9955064,0.39970452,0.889417,0.24158227,0.8887014,0.3299542,0.87301326,0.3475342,0.9673658,idle
0.35765973,0.14024097,-0.23529491,0.99994975,0.3734966,0.119625956,-0.22940092,0.9998803,0.3527481,0.12256344,-0.21099105,0.9998645,0.39506167,0.1295176,-0.1384258,0.99983704,0.35012674,0.1284811,-0.052688867,0.99977887,0.37002087,0.15901613,-0.19850709,0.9998598,0.35499614,0.16135618,-0.17335957,0.9998516,0.43692273,0.22333522,-0.12453703,0.9996375,0.3248231,0.22939706,0.04365326,0.9996914,0.4212039,0.32683215,-0.28209466,0.9883632,0.26745087,0.32633412,-0.13098949,0.9075498,0.3506301,0.23153113,-0.4385931,0.9868244,0.29658705,0.22799028,-0.42033538,0.93648106,0.41635457,0.50088865,-0.052769773,0.9995079,0.34444058,0.4969835,0.05261817,0.99970746,0.4227334,0.69512326,-0.018306758,0.997724,0.30636042,0.68503314,0.07148299,0.9971886,0.42683396,0.86827284,0.22456285,0.9963252,0.31390756,0.8510755,0.30025595,0.99566233,0.42771283,0.8890454,0.23780286,0.8870675,0.3299705,0.8738816,0.31510103,0.9671206,idle
0.36148936,0.1333971,-0.2389822,0.99994934,0.37749094,0.11354809,-0.23065099,0.99987966,0.35582146,0.115968846,-0.21341369,0.99986446,0.39849567,0.12173738,-0.1531249,0.99983597,0.35464355,0.12353287,-0.053220965,0.99977434,0.37440276,0.15434572,-0.19946073,0.9998602,0.3588746,0.15655252,-0.1766833,0.9998496,0.4419527,0.21880026,-0.13581204,0.9996197,0.33069357,0.22931848,0.043934483,0.99968654,0.42572403,0.32853824,-0.298761,0.987946,0.27113542,0.32288697,-0.13404241,0.9117191,0.35512477,0.23156823,-0.45141068,0.98625594,0.30039024,0.2237241,-0.43094397,0.93860066,0.42218027,0.49616835,-0.054462142,0.99949664,0.350874,0.49564403,0.0543729,0.9997041,0.42728987,0.6920921,-0.022727959,0.99786574,0.31066477,0.6806751,0.123983026,0.99728525,0.45196924,0.861996,0.1983042,0.9965215,0.31659886,0.85131073,0.3487903,0.9958579,0.44799408,0.885054,0.2147645,0.8898714,0.33205462,0.87426245,0.3630813,0.9676222,idle
0.3633534,0.13642831,-0.25752,0.99995196,0.37834033,0.1168891,-0.24457712,0.99988544,0.3587145,0.11865591,-0.22847879,0.999871,0.4021179,0.12459842,-0.15074998,0.99984336,0.35814017,0.12581426,-0.05770269,0.99978083,0.3764754,0.15665136,-0.2135009,0.99986744,0.35992453,0.15836082,-0.19209974,0.99985665,0.4444279,0.22021228,-0.1356869,0.99963856,0.33318058,0.23152223,0.04430193,0.99970186,0.43262157,0.33824417,-0.2967111,0.9882313,0.27591395,0.32278544,-0.14609608,0.9172736,0.3617231,0.23170489,-0.43514037,0.9865059,0.3108434,0.22634642,-0.45302683,0.9415757,0.42526826,0.49831182,-0.057234615,0.99952906,0.3547334,0.49679393,0.057142995,0.99972004,0.46406928,0.6925532,-0.047105066,0.9979818,0.3128616,0.68017185,0.13553426,0.99727714,0.52316177,0.857741,0.13545206,0.9967194,0.32109195,0.85191387,0.40781656,0.9959596,0.52576876,0.87704223,0.14428444,0.8926072,0.3373189,0.87773776,0.42690963,0.9680852,idle
0.3867398,0.14436089,-0.2421569,0.99995476,0.4013062,0.124537244,-0.22301748,0.9998912,0.37992242,0.1258062,-0.20700586,0.9998781,0.42466265,0.1335641,-0.10572922,0.99984866,0.37715292,0.13338251,-0.026526382,0.9997904,0.3979915,0.16306962,-0.19648036,0.9998735,0.38316897,0.16353989,-0.17548345,0.9998645,0.46565443,0.24585003,-0.106108524,0.9996425,0.34570545,0.23924288,0.06403183,0.9997188,0.45256615,0.36905682,-0.28928447,0.9884939,0.28534126,0.32719555,-0.137163,0.9222964,0.38314426,0.2615107,-0.43560767,0.9868883,0.32902524,0.23768531,-0.4485336,0.94330114,0.43660837,0.52127457,-0.057335466,0.999546,0.36331695,0.5201461,0.057169735,0.9997314,0.49735612,0.6996369,-0.11864115,0.99796623,0.31254655,0.68123704,-0.015092592,0.9972861,0.5763347,0.8580467,0.09467544,0.99673307,0.32222715,0.8519672,0.25024217,0.9959971,0.58115333,0.8763254,0.10598789,0.8912014,0.3391455,0.87868226,0.2692453,0.96846145,idle
0.4089338,0.15665752,-0.2453185,0.9999564,0.42551607,0.13741164,-0.22491825,0.9998948,0.40298456,0.13884798,-0.20882007,0.99988335,0.44918856,0.14848469,-0.11827745,0.999853,0.40353116,0.1458181,-0.034882437,0.99979746,0.4197471,0.17517425,-0.19828463,0.9998789,0.40462795,0.17385222,-0.17668901,0.9998706,0.49305278,0.26691118,-0.10581825,0.9996452,0.36802498,0.25263467,0.07185013,0.99973625,0.48172468,0.3938749,-0.257151,0.9886861,0.3118196,0.34665382,-0.11041655,0.92627174,0.40823752,0.30015388,-0.37805602,0.98668164,0.3496403,0.2650948,-0.41736168,0.94511324,0.45685068,0.5375803,-0.05780766,0.9995454,0.381144,0.53453,0.05763145,0.99974,0.5238849,0.71599096,-0.08122952,0.9978923,0.3152896,0.68528426,-0.008564288,0.99731576,0.6009859,0.8686985,0.15996404,0.9966123,0.32258368,0.85469353,0.25504997,0.9960017,0.6080376,0.8838719,0.17464307,0.88866735,0.33954826,0.88300705,0.2743169,0.96884584,idle
0.4329761,0.1682249,-0.25457123,0.9999595,0.44971338,0.14844659,-0.23945956,0.9999025,0.42721158,0.15054753,-0.221028,0.99989194,0.47202435,0.15804724,-0.11981068,0.99986374,0.4286623,0.15771644,-0.038760312,0.9998113,0.44605288,0.18706186,-0.2064598,0.99988854,0.42976946,0.18599142,-0.1824442,0.99987996,0.5191677,0.2691549,-0.10505779,0.9996691,0.39844206,0.26553383,0.07076258,0.99975544,0.5123777,0.40175718,-0.2714676,0.989187,0.34766352,0.36988878,-0.09870647,0.9285249,0.43872744,0.313129,-0.47880888,0.987119,0.37249622,0.2975394,-0.42045516,0.9461915,0.4855981,0.54785454,-0.05202675,0.9995698,0.40808302,0.5432577,0.051864307,0.999757,0.54847884,0.72973645,-0.029177586,0.99797034,0.3384024,0.69249016,-0.007624831,0.997507,0.6072834,0.88077825,0.2662428,0.9966932,0.32260317,0.85591507,0.25843865,0.9962506,0.6075711,0.89743257,0.285762,0.8922226,0.33818835,0.88512456,0.27752018,0.9699393,idle
0.45709196,0.1715726,-0.25257748,0.99996203,0.47017527,0.15062541,-0.23739532,0.99990904,0.44979635,0.15569654,-0.21846151,0.9998994,0.4940372,0.15852912,-0.119884804,0.99987286,0.4535904,0.16227803,-0.031403556,0.9998225,0.46974254,0.19005434,-0.20476195,0.99989647,0.45619375,0.1907547,-0.17974809,0.999887,0.5485825,0.2645127,-0.09532796,0.99969095,0.429008,0.2749275,0.080329195,0.9997696,0.5439214,0.39362004,-0.27784827,0.9897041,0.3795556,0.37732345,-0.08474361,0.93033767,0.46662885,0.30659598,-0.5013774,0.98776275,0.4008976,0.3008369,-0.4161767,0.9473782,0.52352273,0.54860455,-0.04949808,0.9995961,0.44815165,0.544558,0.049377553,0.99977356,0.5742309,0.73144317,-0.016173419,0.9980722,0.37309772,0.6931076,-0.010161655,0.99768597,0.6111056,0.88830096,0.28294438,0.9968227,0.32430786,0.85466266,0.24159193,0.99650973,0.6045589,0.90667164,0.3022006,0.8971112,0.33873853,0.88507235,0.25850517,0.97094536,idle
