x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.45714468,0.22231802,-0.37889704,0.9999876,0.46785197,0.20945206,-0.3464136,0.99996954,0.44911355,0.19526753,-0.3702791,0.9999857,0.46488553,0.21716447,-0.16419017,0.99989533,0.42307296,0.19474544,-0.27807325,0.99998975,0.45477778,0.24312887,-0.3102439,0.9999513,0.44120994,0.2366262,-0.34327483,0.9999809,0.45948726,0.33688408,-0.040119644,0.9997358,0.34507126,0.28890592,-0.233224,0.99998325,0.46918258,0.45772275,-0.09106479,0.9175705,0.2805605,0.41520202,-0.3457354,0.99756193,0.47943348,0.4905823,-0.3997811,0.9069823,0.38283095,0.44137427,-0.5229842,0.9909664,0.40569448,0.58300674,0.07366754,0.99972105,0.33425367,0.57757217,-0.073824584,0.99983484,0.45836288,0.74691063,0.19381459,0.98830104,0.31226698,0.7590395,-0.10205331,0.9983911,0.495011,0.90235525,0.46536785,0.9930209,0.26873344,0.9202215,0.06999995,0.99705446,0.48380867,0.93175954,0.4852372,0.9649116,0.25962824,0.93744737,0.07757933,0.92550504,idle
0.4487866,0.22414356,-0.37019148,0.99998873,0.459413,0.21123892,-0.33705384,0.99997234,0.43966573,0.19638664,-0.35985038,0.99998695,0.45627227,0.21819872,-0.15422139,0.9999051,0.41319004,0.19483757,-0.2635424,0.99999064,0.44643527,0.244772,-0.30163315,0.99995595,0.43275505,0.23749878,-0.33311993,0.9999828,0.445611,0.3354014,-0.030064438,0.9997601,0.33683127,0.28839266,-0.2259553,0.9999846,0.4502942,0.45212752,-0.057818454,0.916472,0.27379206,0.411809,-0.34787327,0.9976309,0.4614151,0.49183857,-0.35120395,0.9126401,0.3754446,0.44067824,-0.51928693,0.99131304,0.39690977,0.5824838,0.08212947,0.9997166,0.3275121,0.57715595,-0.08225545,0.99983686,0.45013434,0.7441642,0.18529429,0.98791933,0.30693278,0.75932187,-0.0848884,0.9983781,0.47046036,0.9007687,0.44066563,0.9928364,0.26705387,0.9222326,0.070082314,0.9969774,0.45614725,0.9314467,0.45323095,0.9658261,0.25785747,0.94176954,0.07770027,0.9265348,idle
0.44362527,0.22374001,-0.3364211,0.9999892,0.45368442,0.2101313,-0.3028078,0.99997383,0.43469152,0.19642898,-0.3267968,0.99998724,0.44897604,0.21665755,-0.12082209,0.99991065,0.40789524,0.19387123,-0.23664828,0.9999909,0.44132242,0.24387246,-0.26802725,0.9999592,0.42804566,0.23674473,-0.3012404,0.9999842,0.43642825,0.333022,0.0038713303,0.9997747,0.3334542,0.28587377,-0.21706823,0.9999852,0.43254194,0.4472269,-0.0223117,0.9037049,0.27607366,0.40176776,-0.33884934,0.9976774,0.44841385,0.48853883,-0.30253544,0.9139588,0.37735534,0.44005546,-0.49583516,0.9916193,0.3887833,0.5791492,0.083146594,0.9996919,0.32075733,0.5760139,-0.08319144,0.99982303,0.44282538,0.7339125,0.13056146,0.9880477,0.30443487,0.7587664,-0.08035658,0.9983758,0.4452582,0.8975259,0.35167056,0.99273944,0.2656619,0.92154914,0.087240204,0.9969648,0.42578906,0.92983836,0.3662469,0.96669155,0.25630444,0.94086033,0.09583692,0.92794186,idle
0.4391275,0.22221738,-0.33000913,0.9999896,0.448263,0.2085323,-0.29607737,0.99997514,0.42996034,0.1951796,-0.3207448,0.99998754,0.44299182,0.21550679,-0.112934746,0.9999159,0.4040235,0.19319806,-0.23200655,0.9999911,0.4375177,0.24243046,-0.261191,0.9999621,0.4244028,0.23552944,-0.2953962,0.9999855,0.4278726,0.33275262,0.0127144605,0.99978817,0.3315737,0.27844363,-0.2174675,0.999986,0.41828465,0.44540584,-0.022662314,0.88702935,0.27553636,0.39120737,-0.35045904,0.99776435,0.43812004,0.48381376,-0.30244192,0.91538596,0.37973216,0.43425238,-0.502742,0.99204665,0.3840459,0.575193,0.088034235,0.9996706,0.31593373,0.57427686,-0.088015445,0.99981886,0.43563432,0.7266052,0.13102485,0.98780894,0.30190173,0.75857925,-0.10982822,0.9983803,0.41720423,0.88881814,0.37338525,0.9921641,0.2637301,0.9218659,0.044679217,0.9969539,0.39667544,0.9219309,0.39443445,0.9666358,0.2536835,0.94361085,0.052191027,0.9291522,idle
0.4338178,0.21908288,-0.33156788,0.9999875,0.44292387,0.20636883,-0.29699144,0.9999687,0.42414173,0.19222055,-0.32180923,0.999984,0.43625274,0.21065885,-0.10703709,0.9999016,0.39813837,0.18428472,-0.22685051,0.9999888,0.43072405,0.23945273,-0.25979513,0.9999565,0.41822082,0.23184766,-0.2941368,0.99998516,0.41004696,0.31740665,0.0421399,0.9997389,0.3292296,0.2635701,-0.22002384,0.9999855,0.39306402,0.43998054,0.071037866,0.8204516,0.2783644,0.38209578,-0.35880044,0.99777186,0.42124072,0.48003572,-0.14121976,0.8805062,0.38326722,0.42764342,-0.5191833,0.9922364,0.3719322,0.56632024,0.08889733,0.9995511,0.3071421,0.5644327,-0.088841096,0.99977976,0.41568464,0.7217314,0.070798755,0.9869883,0.2993086,0.7479762,-0.11132431,0.9981298,0.3649497,0.87614805,0.36882672,0.98908705,0.26214173,0.92122495,0.05169227,0.99650717,0.3414092,0.9024144,0.39200774,0.96188253,0.2528363,0.9423886,0.059851665,0.92527705,idle
0.42974037,0.2157099,-0.3115302,0.99998045,0.43858275,0.20317818,-0.27831587,0.9999453,0.4204465,0.18951032,-0.30372292,0.9999711,0.4319256,0.2063041,-0.093700044,0.99984443,0.3951615,0.17864603,-0.21384907,0.9999783,0.4263018,0.23611255,-0.24064057,0.99993473,0.41424474,0.2284102,-0.27530283,0.9999805,0.40262517,0.3087748,0.060783517,0.9996483,0.32883817,0.25365248,-0.22245583,0.9999832,0.3830393,0.43725184,0.1123562,0.7610268,0.2836556,0.37700814,-0.35487157,0.99768734,0.41590053,0.48153454,-0.06043324,0.84763235,0.3862152,0.4235008,-0.5084503,0.9921111,0.36505377,0.5590816,0.09223698,0.9993618,0.30294248,0.5550601,-0.09215668,0.999711,0.3986407,0.71718496,0.047843534,0.9846171,0.29918525,0.73174405,-0.11419515,0.99746716,0.3339853,0.8674128,0.33717817,0.98342144,0.26399654,0.92056584,0.054754484,0.9955947,0.30921552,0.89226454,0.3590713,0.9553471,0.25592798,0.9415087,0.06302329,0.9203095,idle
0.42960143,0.21376373,-0.2820833,0.99996436,0.43673167,0.20018858,-0.25285393,0.9998957,0.4219299,0.18813689,-0.28004557,0.99994147,0.42870396,0.20120053,-0.08431492,0.99974376,0.3959362,0.17576651,-0.21043453,0.99995565,0.42529812,0.23363043,-0.21661802,0.9999072,0.41434813,0.22658013,-0.25331855,0.9999734,0.40010625,0.30485842,0.05976991,0.99956733,0.32702035,0.24856667,-0.22275746,0.9999807,0.38487285,0.43619108,0.09446168,0.7193394,0.2849329,0.37523827,-0.34253806,0.9976343,0.41377872,0.47948444,-0.093692064,0.8252533,0.38602015,0.41732872,-0.45318827,0.9920009,0.36188126,0.55368084,0.092299,0.9990313,0.3019314,0.54846364,-0.092197,0.99957067,0.38258106,0.7165373,0.042027034,0.98028654,0.2990826,0.726506,-0.11346012,0.996346,0.3132425,0.86596626,0.29204085,0.9733566,0.2637378,0.92014366,0.051250286,0.99375963,0.28910324,0.8902514,0.31016025,0.9454448,0.2561298,0.9408192,0.058081187,0.91356164,idle
0.42866263,0.21341047,-0.22637932,0.99994373,0.4351457,0.19848831,-0.1995186,0.9998381,0.4214448,0.18756144,-0.22815569,0.99990565,0.42528397,0.19793765,-0.043516643,0.99961716,0.39599758,0.1748142,-0.17701635,0.99992424,0.4234561,0.23248632,-0.16502264,0.99987555,0.41321808,0.22562796,-0.20358217,0.99996275,0.3960238,0.30096287,0.09309915,0.9995276,0.32713607,0.24581653,-0.20114799,0.99997807,0.38010582,0.43316525,0.13959512,0.6907426,0.28532156,0.37298873,-0.30011103,0.99749136,0.41086778,0.4771891,-0.02038442,0.8155792,0.38488048,0.4124072,-0.40649047,0.99168783,0.3586654,0.5528926,0.09985927,0.9986589,0.30245656,0.54559636,-0.09977211,0.99943024,0.36072654,0.71688974,0.10273703,0.9723225,0.2964533,0.72758794,-0.096986495,0.9952243,0.29013938,0.869845,0.3314895,0.9626407,0.2630918,0.92018515,0.04960294,0.99236906,0.26957938,0.89217913,0.3481997,0.9374628,0.25248426,0.9420233,0.05490929,0.9126021,idle
0.42860246,0.21314543,-0.21642645,0.9999147,0.43560824,0.19748943,-0.1901206,0.99975514,0.42207694,0.18703267,-0.21908018,0.999855,0.42609072,0.19715099,-0.036514975,0.99941915,0.3972974,0.17442946,-0.17132208,0.99987894,0.42333406,0.2317293,-0.15587713,0.9998296,0.4130202,0.22469705,-0.19485673,0.9999472,0.39666817,0.3010059,0.097730175,0.9994618,0.32659933,0.24505869,-0.19265673,0.99997497,0.37889826,0.43176097,0.13780181,0.6606028,0.28616476,0.37280738,-0.28185546,0.9972328,0.4110814,0.47735035,-0.030005183,0.7986171,0.38581088,0.41227892,-0.38254008,0.9909708,0.35871798,0.55134994,0.100639604,0.99821246,0.30178237,0.5427978,-0.10056164,0.99926347,0.3566227,0.71710753,0.115407705,0.9642892,0.29647076,0.72655547,-0.09450948,0.9940153,0.28832445,0.87199205,0.33858708,0.9523411,0.26217848,0.9200057,0.045281995,0.9908173,0.26875675,0.89268315,0.35422808,0.9295305,0.2507071,0.9423269,0.049913965,0.9105253,idle
0.4287685,0.213261,-0.17655824,0.99986696,0.4346388,0.19741471,-0.15280579,0.99963796,0.42243403,0.18718359,-0.18380296,0.99976385,0.42292494,0.19643882,-0.013281738,0.99914235,0.39696822,0.17468582,-0.155282,0.99978864,0.42269927,0.23160085,-0.12054503,0.9997449,0.41345364,0.22468325,-0.16168275,0.99991053,0.39431587,0.29920533,0.1180367,0.99942005,0.32707006,0.24529888,-0.18438679,0.9999707,0.37617034,0.4302362,0.1626991,0.63093954,0.2871923,0.37467286,-0.24566701,0.9970146,0.40774974,0.47630692,0.014175017,0.7821947,0.3867709,0.41195977,-0.29699877,0.9901986,0.3545577,0.5491794,0.10591557,0.99766535,0.30104145,0.53984445,-0.10587299,0.9990111,0.34030628,0.71856534,0.12362567,0.9500405,0.29879868,0.7279356,-0.094633885,0.99229103,0.27874142,0.87320167,0.31603602,0.9412402,0.26252747,0.91991544,0.032109667,0.9890099,0.2603554,0.8910707,0.32824725,0.9212334,0.24976707,0.9424148,0.036286026,0.9096512,idle
