x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.40412116,0.19276582,-0.10490217,0.9997807,0.40478128,0.17566533,-0.08322517,0.9996378,0.3909326,0.17144923,-0.11843811,0.9996724,0.39710575,0.18190822,0.0377483,0.9993692,0.36919647,0.17694138,-0.11310272,0.99973553,0.40292794,0.21168388,-0.054139286,0.9994224,0.39363208,0.20973603,-0.09802792,0.9994348,0.3868044,0.29580614,0.18994477,0.9985772,0.34348097,0.27234223,-0.19850197,0.99984574,0.3963578,0.4212575,0.16233958,0.063641,0.3967805,0.3892549,-0.18304163,0.9894591,0.39774582,0.42530242,-0.038722727,0.12020662,0.44741845,0.28536713,0.005674069,0.97011214,0.35912526,0.5627956,0.11390481,0.9955675,0.32423568,0.55837506,-0.11373416,0.9971945,0.36085752,0.7585978,0.040674757,0.40404397,0.34836772,0.7660455,-0.12194129,0.90507466,0.33865365,0.96021086,0.090771645,0.6354405,0.29290864,0.9624978,-0.054516453,0.88447237,0.3180264,0.98079807,0.086815074,0.65061736,0.27411202,0.97962016,-0.05369545,0.8410825,idle
0.40186375,0.17985508,-0.10014494,0.9997771,0.40181875,0.16373691,-0.08059118,0.9996417,0.38881573,0.15980484,-0.116211295,0.9996687,0.39232263,0.16890804,0.041696984,0.999385,0.36675745,0.1647797,-0.111849405,0.99974275,0.40013975,0.19880003,-0.051169377,0.99944913,0.3915222,0.19722559,-0.09508676,0.9994605,0.38271445,0.28189176,0.18922246,0.9986199,0.34099117,0.26094168,-0.18593876,0.9998426,0.39555,0.4057618,0.108634934,0.07614445,0.39177254,0.37957808,-0.14267129,0.9893585,0.40124327,0.32904515,-0.14875594,0.13969219,0.4448266,0.27739963,0.076067805,0.9704276,0.35658097,0.55167925,0.10877134,0.99564904,0.32113314,0.5439513,-0.108668804,0.99708277,0.3557223,0.74621004,0.05254805,0.42345902,0.3383222,0.7447603,-0.1141029,0.9069207,0.3293959,0.9504233,0.102361955,0.6431722,0.29759663,0.9498413,-0.057296902,0.88304687,0.3072241,0.9733403,0.09898772,0.6513679,0.27405015,0.97891414,-0.05783558,0.8307489,idle
0.39878422,0.1756713,-0.08088519,0.99976647,0.39888015,0.15855373,-0.0634272,0.99963224,0.38589197,0.15526874,-0.09907265,0.9996546,0.388825,0.16303362,0.053311557,0.9993712,0.36333072,0.1587727,-0.09984452,0.9997354,0.3973177,0.19477801,-0.031661525,0.99945223,0.3888628,0.19351476,-0.07593344,0.99946076,0.3749538,0.27376553,0.20224392,0.99856985,0.34068877,0.2539702,-0.17105296,0.99983627,0.38711193,0.40236232,0.16780333,0.07819864,0.38812882,0.37314078,-0.1414671,0.9890655,0.40142274,0.38502997,-0.031656414,0.14460006,0.44380847,0.27033663,0.04470308,0.9702585,0.35182142,0.5443413,0.11000975,0.9954233,0.31997907,0.53564113,-0.10987143,0.9969902,0.3428411,0.739776,0.060831033,0.42423195,0.3367771,0.73826396,-0.11666058,0.90768725,0.29551888,0.9394245,0.107113495,0.6428798,0.33020005,0.95241517,-0.089941695,0.88522166,0.27594268,0.966943,0.10392171,0.64794075,0.30920437,0.97423357,-0.0938723,0.8307958,idle
0.39562604,0.17363839,-0.09169758,0.9997241,0.39555264,0.15510388,-0.074274875,0.9995605,0.382437,0.15256833,-0.10907314,0.999587,0.38519588,0.16027549,0.039074898,0.9992211,0.35946554,0.1571706,-0.11183643,0.99966544,0.39435616,0.19322252,-0.04356319,0.99933827,0.38593736,0.19242674,-0.08679889,0.99934083,0.3640338,0.2658197,0.19822668,0.9984621,0.34237713,0.25183293,-0.17607401,0.9998041,0.37027064,0.39866358,0.24021137,0.07569856,0.38709584,0.3747972,-0.16538629,0.9881396,0.3912052,0.4063427,0.14738558,0.13892129,0.4403366,0.2712427,-0.0037308459,0.9679095,0.34359205,0.54320884,0.11050024,0.99478096,0.32057118,0.536656,-0.1103968,0.9966087,0.32561037,0.73760915,0.08240129,0.42610303,0.3319766,0.7379427,-0.1138859,0.9022982,0.27159303,0.9347334,0.1300309,0.6459821,0.33315498,0.9523702,-0.078524366,0.88393694,0.2523654,0.96300006,0.12681806,0.65168715,0.31533626,0.97180754,-0.08084194,0.82986,idle
0.38990515,0.1770286,-0.09525978,0.99972445,0.39014786,0.15814887,-0.07630517,0.99955577,0.37691095,0.15569574,-0.11002003,0.99959207,0.38039336,0.16308478,0.040002935,0.99921113,0.35425076,0.15993267,-0.10826659,0.9996661,0.38863045,0.19631997,-0.046130627,0.9993174,0.3802962,0.19524725,-0.0877055,0.999325,0.36130083,0.2669508,0.2038258,0.9983466,0.33843604,0.25306502,-0.17917463,0.9997977,0.3720346,0.3983426,0.2597151,0.07363311,0.3833878,0.3761593,-0.17901969,0.98794866,0.39597526,0.35603443,0.18229875,0.13735217,0.43583655,0.2733819,-0.025257815,0.9680975,0.336655,0.54650885,0.11170323,0.99404067,0.32334143,0.5397151,-0.111584105,0.9962489,0.31056285,0.74001944,0.109347,0.41335258,0.3407899,0.7605793,-0.11743661,0.8972923,0.25037655,0.9361282,0.14625715,0.6307867,0.3370484,0.9539774,-0.08071523,0.8793724,0.22504452,0.9627753,0.14365628,0.64353067,0.31452334,0.9975121,-0.08364391,0.83040977,idle
0.38970286,0.17814922,-0.06485911,0.9996428,0.3870041,0.15991582,-0.047709096,0.99942,0.37679705,0.15653406,-0.08328934,0.9994809,0.37443548,0.1648151,0.04844717,0.9989632,0.3526799,0.16110136,-0.104909815,0.9995394,0.38752306,0.19698605,-0.02311767,0.9990715,0.38040587,0.19585654,-0.06733531,0.9990998,0.3533696,0.26975632,0.20469077,0.9980899,0.33733618,0.25476086,-0.18199809,0.99976885,0.35588145,0.40097052,0.28968108,0.06905661,0.38177034,0.3809977,-0.18449566,0.98755246,0.3752743,0.44693393,0.25094596,0.12779945,0.42968267,0.27562267,-0.037144165,0.9657126,0.32692754,0.5530873,0.112303,0.99346346,0.3249508,0.5510235,-0.112145446,0.99598926,0.30066523,0.7422628,0.13186805,0.40053836,0.3435976,0.7763689,-0.11755077,0.8925986,0.24260676,0.93720925,0.18168294,0.61736935,0.33799034,0.95583284,-0.09780441,0.872986,0.21456604,0.9630083,0.18054022,0.6388785,0.31487533,1.0131022,-0.101428725,0.82945496,idle
0.38700446,0.18469968,-0.015517051,0.99947494,0.38223177,0.1634741,0.0017071702,0.99920744,0.37379438,0.162591,-0.03571526,0.9992282,0.36762756,0.16774637,0.0878852,0.9986041,0.35058004,0.16769654,-0.07533078,0.99927163,0.38437885,0.20239381,0.022472378,0.99861455,0.37824985,0.20185383,-0.024464661,0.99859524,0.3436799,0.27102774,0.22442324,0.99794286,0.33506164,0.26395494,-0.17482167,0.9997298,0.33193058,0.4229971,0.29303932,0.064402245,0.3801872,0.39014432,-0.18563288,0.987268,0.35410923,0.50531393,0.24149159,0.117943436,0.427761,0.27836168,-0.041393362,0.9622736,0.31605148,0.5607849,0.112880066,0.99338824,0.3268255,0.5634295,-0.11282333,0.9958414,0.29125568,0.7582322,0.13332045,0.3867886,0.34968525,0.77773625,-0.119174816,0.88645375,0.23649728,0.95035714,0.18114097,0.6006345,0.3415372,0.9670571,-0.10067098,0.8587392,0.21332295,0.9717354,0.17950095,0.6271124,0.3123596,1.0315138,-0.10652311,0.8187331,idle
0.38363415,0.19302782,-0.025763746,0.9993574,0.3785637,0.17103592,-0.0072373464,0.99906075,0.3703382,0.17177929,-0.04401678,0.9990657,0.36363512,0.17384152,0.08535349,0.9983867,0.3474864,0.17701155,-0.075108364,0.9991184,0.38135618,0.21070698,0.014317582,0.9982797,0.37522355,0.21055657,-0.031702306,0.998197,0.34044236,0.27609858,0.22391367,0.99780494,0.3306614,0.27475798,-0.17487629,0.9996878,0.33265108,0.43338257,0.28093508,0.06042165,0.38038707,0.3976081,-0.18461464,0.9870117,0.35227695,0.5210224,0.213433,0.10936154,0.42559767,0.28028828,-0.035833474,0.95960784,0.31454113,0.57060564,0.11294317,0.99320066,0.3247189,0.5734986,-0.112917244,0.9955023,0.29121912,0.7705883,0.10947528,0.37844458,0.35246527,0.78696597,-0.11190369,0.8752535,0.23348522,0.96326524,0.12596214,0.5837892,0.34025818,0.97553474,-0.09943984,0.8318791,0.21263906,0.98080504,0.121280864,0.6142823,0.31459212,1.0424533,-0.102104865,0.7962811,idle
0.3798723,0.19943123,-0.08980017,0.9993794,0.3748979,0.17793521,-0.066669084,0.9990843,0.3659054,0.17843913,-0.099979706,0.99909765,0.3599314,0.18069665,0.04387503,0.9984198,0.3425435,0.18482664,-0.100995444,0.99913573,0.37763396,0.21749856,-0.04339111,0.9982405,0.3712737,0.21718399,-0.084751286,0.998158,0.33629906,0.28309774,0.19283217,0.9976784,0.32658234,0.28405797,-0.18222915,0.9996615,0.33044755,0.44140774,0.26601475,0.057127774,0.37700155,0.40335894,-0.18919614,0.98658395,0.34801576,0.54012626,0.1880066,0.102121264,0.42217627,0.28386763,-0.057745118,0.95845366,0.30910757,0.5773029,0.110672966,0.99294806,0.32205343,0.5805381,-0.11073575,0.99525666,0.29132307,0.77643037,0.11067818,0.37193537,0.35549337,0.7961071,-0.105738245,0.86854464,0.23484142,0.9654464,0.1438295,0.5672066,0.34003633,0.9790362,-0.086291745,0.8092283,0.21167716,0.9847129,0.14112327,0.5983275,0.312254,1.0451294,-0.0867382,0.7768787,idle
0.37575674,0.20501527,-0.09703471,0.9994103,0.37123066,0.18335728,-0.0731913,0.99912256,0.36113897,0.1838623,-0.105851695,0.9991458,0.3569576,0.18557173,0.042437192,0.99847156,0.33664387,0.1904811,-0.10063641,0.99916756,0.3739963,0.22301383,-0.049022254,0.9982391,0.36709294,0.2227911,-0.08947625,0.9981644,0.33449343,0.28669438,0.19554006,0.997561,0.32040393,0.28686395,-0.18173687,0.9996476,0.32869846,0.43988955,0.26451004,0.05410494,0.3695742,0.40799347,-0.1935251,0.9860676,0.34976038,0.52176714,0.19686867,0.09606216,0.41843575,0.28913876,-0.09002108,0.95746297,0.30675322,0.57939476,0.11043696,0.9925435,0.31991068,0.58223146,-0.110503614,0.9950737,0.293032,0.776606,0.110862315,0.3659521,0.3567492,0.79578245,-0.11139484,0.86515313,0.23386967,0.9652835,0.15105805,0.55665535,0.34255797,0.98288536,-0.12294954,0.7966102,0.20981555,0.98589593,0.14881724,0.5890839,0.30985558,1.0478432,-0.12613776,0.76695627,idle
