x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.4639755,0.18739028,-0.38767317,0.99994826,0.4808225,0.16481958,-0.36048025,0.9999123,0.44954175,0.16729102,-0.35336578,0.9999318,0.4937791,0.17333212,-0.18207748,0.99982786,0.44023067,0.17375413,-0.15340415,0.99993354,0.4737393,0.20916438,-0.31944996,0.99991965,0.45432797,0.21135934,-0.31134257,0.99994653,0.5435385,0.2831333,-0.06407836,0.99985355,0.3982438,0.28748715,-0.06053419,0.9999001,0.5963538,0.39111677,-0.28674582,0.97262657,0.36251098,0.43339092,-0.26210487,0.98790085,0.6071277,0.29493433,-0.6307281,0.95852613,0.3880176,0.37280434,-0.62142533,0.9844776,0.4998788,0.569123,0.0023597,0.9995067,0.40942574,0.56941336,-0.0024996004,0.9996263,0.5738422,0.7500486,-0.08563373,0.9900796,0.3488456,0.76904684,-0.12844662,0.99560887,0.61341196,0.91407216,0.3232002,0.98579884,0.36394477,0.9426344,0.22446032,0.9890379,0.6048566,0.9348156,0.35455114,0.91447514,0.37654382,0.95734775,0.2517493,0.90094656,idle
0.44575748,0.17983563,-0.35462403,0.9999533,0.46052322,0.15868884,-0.32612327,0.9999209,0.4298741,0.1603715,-0.32769462,0.99993837,0.4700354,0.1696898,-0.14093101,0.9998449,0.41679034,0.16968112,-0.14731193,0.99994,0.45502838,0.20072386,-0.283262,0.99992764,0.43526292,0.20080052,-0.2862248,0.9999518,0.5085063,0.28248838,-0.0305291,0.99986756,0.37014058,0.28486744,-0.048740167,0.9999086,0.5450265,0.41379055,-0.23148608,0.9749713,0.3313357,0.43165052,-0.258645,0.98814493,0.56249523,0.30257457,-0.6186062,0.96234363,0.36759853,0.35034257,-0.6261569,0.9853473,0.476575,0.56184596,0.0024007843,0.9995379,0.38851693,0.5677269,-0.0025107972,0.9996466,0.55279577,0.74429005,-0.09159826,0.99091816,0.33812323,0.77478004,-0.10791745,0.99582124,0.6112964,0.91434544,0.21280372,0.9866471,0.3597546,0.94316524,0.24758646,0.98904306,0.60430706,0.9352616,0.23325057,0.91531366,0.37413555,0.9588816,0.27497905,0.89966846,idle
0.4260862,0.16363367,-0.3937457,0.99995744,0.44060493,0.14244668,-0.36849767,0.999928,0.41261563,0.1415415,-0.36989006,0.9999432,0.45346838,0.15522441,-0.18785498,0.99985945,0.39976412,0.15139297,-0.19442692,0.99994445,0.4341991,0.18500277,-0.32344422,0.99993443,0.4159534,0.18372461,-0.3261256,0.99995613,0.48844853,0.27209216,-0.06799767,0.9998787,0.3510738,0.2581258,-0.0916193,0.9999121,0.5271487,0.40005067,-0.25814182,0.9770579,0.31099612,0.3940819,-0.31261995,0.98837,0.54199606,0.30164453,-0.61240286,0.9656539,0.35095638,0.30204886,-0.68126327,0.9859582,0.4546205,0.5401482,0.0025726934,0.99953556,0.37077516,0.54735106,-0.0026797939,0.9996311,0.52916485,0.72888184,-0.07049002,0.9914467,0.33714822,0.77367234,-0.0736991,0.9957767,0.58463067,0.9045389,0.20599723,0.9868917,0.35785794,0.94209,0.23222911,0.9884636,0.58071613,0.92771155,0.22338164,0.9102865,0.37065077,0.95760053,0.25522944,0.8928334,idle
0.41421443,0.122804806,-0.3884675,0.9999609,0.4312268,0.1045769,-0.3610069,0.9999337,0.40263763,0.10115543,-0.36236703,0.99994725,0.44215855,0.11810803,-0.17900746,0.9998717,0.38856465,0.11191168,-0.18608224,0.9999484,0.42086548,0.14691414,-0.3186516,0.9999402,0.40461978,0.14397313,-0.32146195,0.99996,0.4730695,0.24305868,-0.0635957,0.99988323,0.33638027,0.22685477,-0.093038596,0.9999147,0.51354706,0.38550887,-0.2600926,0.97859496,0.29385236,0.3476549,-0.32118815,0.9888008,0.52249765,0.27335235,-0.6197245,0.96843344,0.34132582,0.25833172,-0.6878761,0.98690695,0.44294825,0.50971407,0.0043514604,0.9995241,0.35954577,0.5170063,-0.004444937,0.9996275,0.50466174,0.71511227,-0.062315285,0.99185055,0.3352863,0.7519168,-0.07837033,0.99586624,0.5227309,0.8899077,0.24558604,0.98697895,0.35562253,0.94140506,0.2195355,0.9889169,0.5085639,0.90836483,0.26566643,0.90693855,0.36625308,0.9572267,0.23331848,0.89306986,idle
0.41160542,0.09632894,-0.34005454,0.9999639,0.4265932,0.077455156,-0.30962732,0.9999389,0.39761633,0.07619492,-0.3162615,0.99995095,0.43454328,0.08844992,-0.11973739,0.9998829,0.38077757,0.08710466,-0.15593708,0.9999524,0.41967392,0.11974299,-0.26791564,0.9999453,0.39955166,0.11942554,-0.2782746,0.99996334,0.46398625,0.21583775,-0.008846694,0.9998841,0.32819715,0.19913724,-0.06141319,0.99991375,0.5036101,0.3641647,-0.19656089,0.97922224,0.28569922,0.3256708,-0.29087782,0.9884738,0.50737196,0.2532893,-0.55265486,0.9703765,0.34077078,0.2293623,-0.6419474,0.9871677,0.4285667,0.49440128,0.004902669,0.9995079,0.3484476,0.4979193,-0.0049399873,0.9996159,0.45728582,0.7086328,0.0040201475,0.9915919,0.32849365,0.7206856,-0.037762765,0.9957831,0.45488578,0.8917592,0.28915828,0.9863539,0.34785777,0.9192114,0.24317865,0.98913807,0.44175297,0.9132265,0.30605945,0.9049467,0.3608716,0.9406554,0.26023012,0.89507294,idle
0.40537858,0.09883855,-0.367858,0.99996436,0.41852123,0.08002429,-0.33995837,0.99993956,0.39173138,0.078283235,-0.34681052,0.9999495,0.4247887,0.088412486,-0.14701432,0.99988776,0.37551737,0.08542312,-0.1839225,0.99995154,0.41128764,0.12481631,-0.29286736,0.9999476,0.3930948,0.123463705,-0.30463973,0.9999645,0.4557355,0.21440877,-0.025073951,0.99987835,0.31873372,0.19959274,-0.07783579,0.9999033,0.49244556,0.36351535,-0.21014473,0.9799361,0.2786189,0.32811204,-0.2911761,0.9883101,0.49029416,0.2486918,-0.56559974,0.97246975,0.33149227,0.23269147,-0.6423965,0.98766756,0.4159171,0.49685845,0.0025803365,0.9994591,0.3374797,0.4929923,-0.0025460783,0.99955297,0.4126903,0.71250373,-0.023821566,0.99047405,0.32051116,0.71989536,-0.031769942,0.9946673,0.39121625,0.8925587,0.2874549,0.9837537,0.32390815,0.91749656,0.26094937,0.98803747,0.38100252,0.9165224,0.30764705,0.8974055,0.33101985,0.93944514,0.28023916,0.89144653,idle
0.39090702,0.115490414,-0.4620586,0.9999601,0.4059914,0.09575029,-0.43636608,0.99992996,0.37783837,0.0948592,-0.44085154,0.99993765,0.4157776,0.104791805,-0.24351664,0.99987024,0.36313015,0.10268945,-0.2690544,0.9999355,0.39950028,0.13968056,-0.38721138,0.9999433,0.37874323,0.13871285,-0.3948452,0.9999599,0.449004,0.22501434,-0.10189159,0.9998402,0.30832255,0.21556975,-0.15978129,0.9998812,0.4830671,0.38076317,-0.26649195,0.9798868,0.27301845,0.34599808,-0.3499124,0.9878873,0.47107834,0.27086434,-0.6204628,0.9739267,0.32433194,0.25790295,-0.69189787,0.9873504,0.40779385,0.5011136,0.013578993,0.9994042,0.32615134,0.50593084,-0.013553686,0.9995204,0.39933714,0.7325657,0.05321719,0.98932564,0.29703617,0.72709674,0.0011248658,0.99433506,0.357007,0.910004,0.39671105,0.9820046,0.29401028,0.91749483,0.31234008,0.9875078,0.34203026,0.93454057,0.42135876,0.8987932,0.2983498,0.9400342,0.33329126,0.8873619,idle
0.38832778,0.12863247,-0.455978,0.9999594,0.40195417,0.11155148,-0.42988572,0.9999291,0.37425473,0.10738672,-0.43879375,0.9999352,0.4073368,0.11830558,-0.2409015,0.9998719,0.35642964,0.11359103,-0.2864542,0.99993104,0.39511323,0.150361,-0.38279417,0.99994487,0.37504065,0.14939803,-0.39583042,0.99996036,0.43760687,0.24726567,-0.09978244,0.9998363,0.2988842,0.23726495,-0.17793894,0.9998715,0.4662358,0.40953776,-0.23652366,0.98034376,0.27077687,0.3847689,-0.36247823,0.98809934,0.45743155,0.33183303,-0.57598615,0.97578394,0.32096916,0.27423912,-0.7095926,0.9879388,0.39847708,0.53818595,0.02163114,0.999352,0.31474224,0.5321975,-0.021569874,0.99949706,0.39883545,0.7600339,0.0627286,0.9894834,0.29015726,0.74501103,-0.0015391589,0.9944729,0.3589606,0.91887224,0.43294162,0.98145324,0.28900823,0.92334664,0.29631877,0.9878135,0.3408874,0.94078404,0.45985317,0.90217817,0.29669207,0.9436481,0.31556067,0.88812816,idle
0.38361076,0.13134123,-0.41337052,0.9999507,0.39491913,0.11302682,-0.39617038,0.9999142,0.3701388,0.10969385,-0.43003097,0.9999187,0.398732,0.12045751,-0.2389834,0.9998582,0.3508,0.11693094,-0.25274584,0.9999149,0.38952643,0.15273456,-0.34287354,0.99994,0.370094,0.15213113,-0.38873,0.99995476,0.4291852,0.24519691,-0.07175786,0.99980396,0.29615816,0.23311955,-0.15276577,0.9998475,0.45760345,0.39578196,-0.18003878,0.97794974,0.27102396,0.3836389,-0.33587098,0.9874695,0.4463982,0.32588175,-0.51623863,0.97494614,0.32201344,0.278499,-0.66723067,0.987561,0.39498127,0.5344814,0.02123003,0.99916553,0.31023568,0.5259855,-0.021151986,0.99936944,0.39004475,0.75551575,0.035045676,0.9890647,0.2843215,0.7450521,-0.017589565,0.9942761,0.3669135,0.920116,0.37375408,0.9800162,0.2850384,0.92405665,0.27922505,0.9874647,0.3565194,0.94250566,0.3972152,0.90161294,0.2943887,0.944498,0.29849023,0.8862189,idle
0.39451522,0.11527386,-0.15302399,0.9999449,0.40075737,0.09379339,-0.12993288,0.9999053,0.38199937,0.091584966,-0.15392856,0.9999088,0.39380306,0.09860981,0.02239448,0.999852,0.3549829,0.09619359,-0.08347041,0.9999102,0.3945458,0.13646595,-0.09102005,0.9999365,0.38196203,0.13614544,-0.12346456,0.9999524,0.42447528,0.21875381,0.117508076,0.9998094,0.29311842,0.20316468,-0.018101048,0.9998493,0.45665616,0.36869526,-0.01741622,0.97597843,0.2605071,0.3450132,-0.16287467,0.9877948,0.43569613,0.29752043,-0.3273818,0.97501284,0.3223832,0.26434785,-0.38911492,0.98809665,0.39115083,0.50195897,0.021062953,0.9991208,0.30767006,0.49494448,-0.020933622,0.99932474,0.38868237,0.73356736,0.016256718,0.9889999,0.28651088,0.7347336,-0.01956784,0.9936174,0.37603775,0.918781,0.2778071,0.979289,0.28056827,0.9240751,0.20589757,0.9868192,0.3665078,0.9389188,0.294441,0.8975471,0.28969488,0.9444576,0.2202094,0.87978214,idle
