x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.54593533,0.2528909,-0.22930995,0.9997698,0.5585369,0.23727347,-0.21600325,0.9995435,0.53524214,0.23600535,-0.20579076,0.99952966,0.5680841,0.24510579,-0.112421155,0.9993129,0.5284971,0.24337615,-0.06380144,0.9985726,0.55482066,0.27188995,-0.18850574,0.9993396,0.53868115,0.27195883,-0.17527132,0.9991488,0.59853435,0.3350315,-0.10515158,0.99809307,0.49941558,0.33972153,0.042196885,0.99877256,0.5738488,0.4311899,-0.22335884,0.9707497,0.47671017,0.4479851,-0.086090475,0.8391011,0.5138529,0.35112163,-0.33599177,0.9653326,0.4750344,0.36086604,-0.3487262,0.91352654,0.57984334,0.5750773,-0.04305922,0.99938875,0.51472676,0.5739265,0.04305442,0.9995705,0.60205513,0.7365773,-0.005150166,0.9983029,0.4995305,0.7270964,0.13628452,0.9968547,0.61942583,0.87560016,0.1549627,0.9967113,0.48219475,0.8664586,0.3436022,0.997207,0.6159873,0.8940455,0.16159311,0.9319047,0.4927453,0.89230865,0.35651696,0.96891916,idle
0.54572016,0.252886,-0.23054357,0.99977165,0.5583334,0.23728071,-0.21785136,0.99954623,0.5349793,0.23600453,-0.20713294,0.9995311,0.5679218,0.24515647,-0.1162866,0.99931407,0.5282665,0.24337436,-0.06528015,0.99856514,0.55464214,0.27188936,-0.19055113,0.9993393,0.53843045,0.27195975,-0.17656538,0.99914926,0.59839076,0.3350136,-0.108317,0.9980692,0.4993117,0.3398077,0.04067231,0.99876195,0.57373077,0.43087593,-0.22434404,0.97028285,0.47650123,0.44798172,-0.08635847,0.83635336,0.5139278,0.3506963,-0.33465773,0.96453375,0.47508544,0.36028358,-0.34914318,0.91167945,0.57936764,0.57526904,-0.043062128,0.9993941,0.5143717,0.57396656,0.043056507,0.9995728,0.6018726,0.7365713,-0.0016817946,0.9983116,0.49924406,0.7267523,0.13848065,0.99692035,0.6194967,0.8754132,0.15945026,0.99674433,0.48223537,0.86610323,0.3481218,0.9972489,0.61611086,0.89359325,0.16616824,0.93236077,0.49302205,0.8920275,0.36137092,0.9693423,idle
0.5454916,0.25288692,-0.23047991,0.9997778,0.5581769,0.2372972,-0.2174007,0.99955773,0.5348277,0.23599379,-0.20689532,0.99954224,0.56780934,0.24521677,-0.11515709,0.9993272,0.5281348,0.24335475,-0.064885296,0.9985917,0.55440724,0.2718942,-0.19003877,0.99935013,0.5382167,0.27194804,-0.17631279,0.99916595,0.59822065,0.33493784,-0.10725137,0.99808055,0.4991921,0.33981,0.04057034,0.99876636,0.57333606,0.4298669,-0.22406244,0.9699293,0.47645816,0.44779575,-0.08721798,0.83578014,0.5140747,0.35027447,-0.33095807,0.9643227,0.4751567,0.3600825,-0.34926996,0.91100764,0.5791902,0.5752675,-0.04300584,0.9994056,0.5142293,0.5738434,0.042998396,0.9995779,0.6016158,0.73635256,-0.0014987481,0.9983287,0.49905753,0.7263569,0.13944668,0.9969832,0.6195002,0.87523544,0.15812907,0.9967825,0.4823575,0.86568874,0.3484954,0.9972805,0.61612105,0.89306605,0.1645215,0.9329162,0.49308854,0.89156705,0.36171266,0.96960306,idle
0.54511416,0.2528902,-0.23093632,0.99978244,0.55793357,0.23732725,-0.21818104,0.9995669,0.5344869,0.23599885,-0.20765154,0.99954987,0.5676727,0.24530023,-0.11644633,0.99933887,0.52790827,0.24335767,-0.06636025,0.99860835,0.55414945,0.2719074,-0.19081032,0.9993607,0.5378766,0.2719499,-0.17703363,0.99917847,0.598186,0.33493742,-0.10775509,0.9980889,0.49891987,0.33981946,0.03751894,0.9987679,0.5731092,0.4292973,-0.22556546,0.9697056,0.47642174,0.44753447,-0.094297856,0.83529764,0.5141845,0.3499802,-0.33211198,0.96427417,0.47522038,0.36004323,-0.35797966,0.9103394,0.57897556,0.5752131,-0.04291252,0.9994136,0.5140187,0.57376295,0.04290203,0.99958193,0.6014389,0.73629576,-0.0015523201,0.9983508,0.4988944,0.7262159,0.1400322,0.997043,0.61954397,0.8752443,0.15621646,0.99682254,0.4824969,0.8655565,0.3487668,0.9973096,0.61632556,0.89306045,0.1623141,0.9334012,0.49313894,0.89141744,0.36190575,0.96986556,idle
0.5447592,0.25319964,-0.23204932,0.99978805,0.5576975,0.23775198,-0.21969874,0.9995787,0.53425753,0.23643953,-0.20902765,0.9995611,0.5675593,0.24549317,-0.11805189,0.9993568,0.5278993,0.2435325,-0.06754033,0.9986408,0.5539767,0.27214193,-0.19195244,0.9993759,0.53764236,0.27204058,-0.1780093,0.99919814,0.59816426,0.33500388,-0.10897659,0.9981142,0.49886888,0.33992574,0.037183728,0.9987826,0.5731126,0.42929828,-0.22643189,0.9697284,0.47632927,0.44729754,-0.09597697,0.83545446,0.51421535,0.34993687,-0.3336667,0.96432877,0.47537357,0.36001408,-0.3621856,0.91031444,0.57877743,0.5752085,-0.04316188,0.9994234,0.51374465,0.57376325,0.043155853,0.9995869,0.60140574,0.73627067,-0.009723229,0.9983764,0.4986435,0.7262173,0.14291903,0.9970741,0.6196419,0.8756161,0.1386929,0.9968536,0.48254544,0.8656635,0.35131982,0.99731356,0.6164741,0.8935994,0.14385837,0.933939,0.49311814,0.8914982,0.36438444,0.9700021,idle
0.54442465,0.25355178,-0.2296367,0.9997887,0.5574291,0.23839346,-0.2175344,0.9995802,0.5341785,0.23709491,-0.20664465,0.999561,0.567464,0.24582371,-0.117357895,0.9993595,0.52792203,0.24388266,-0.065760806,0.9986356,0.5537816,0.27230835,-0.19003029,0.9993754,0.5374757,0.2721415,-0.17582074,0.99919516,0.59820855,0.33508718,-0.10838387,0.9981206,0.49889612,0.340026,0.03846082,0.9987802,0.5731457,0.42932656,-0.22637911,0.9696381,0.4762438,0.44710895,-0.09592569,0.8342301,0.51423293,0.34994477,-0.33474228,0.9645136,0.47540307,0.35997504,-0.3612404,0.9099788,0.57875663,0.57514155,-0.043243263,0.99942493,0.513647,0.5737283,0.043238215,0.9995885,0.60126084,0.73626137,-0.008981446,0.9983862,0.49836865,0.72621405,0.14254706,0.9971024,0.6195198,0.8756414,0.14292745,0.99686,0.48253793,0.8657643,0.34598106,0.9973192,0.61643046,0.8935946,0.14857909,0.93374217,0.49307242,0.8915918,0.35848302,0.97006893,idle
0.5444815,0.2535089,-0.21820502,0.99978906,0.55743945,0.23839733,-0.20524359,0.9995817,0.53423584,0.23713236,-0.19536427,0.9995605,0.567485,0.24582894,-0.105281964,0.9993618,0.52797323,0.24401687,-0.05834631,0.9986375,0.5538315,0.27224705,-0.17896423,0.99937457,0.5375126,0.2721335,-0.16604063,0.99919116,0.59824884,0.33508638,-0.09906061,0.998122,0.4989174,0.33995894,0.03870802,0.9987797,0.5731813,0.42932293,-0.21583728,0.9693972,0.47623008,0.446901,-0.09586044,0.83425474,0.5142709,0.34988642,-0.31923053,0.9644948,0.47649592,0.35968056,-0.35089988,0.9099941,0.57871103,0.575127,-0.042309143,0.99943405,0.51342875,0.5735976,0.042293303,0.99959475,0.6008541,0.7361638,0.00019582042,0.9984014,0.4981889,0.7262002,0.13697943,0.99715227,0.6195191,0.8755682,0.16219676,0.99687445,0.48250145,0.8657642,0.3392684,0.997329,0.6164981,0.89313465,0.16928534,0.933467,0.49307346,0.89157474,0.3520251,0.97000694,idle
0.5453808,0.25272855,-0.21408376,0.9997911,0.5582311,0.23783097,-0.20069185,0.999588,0.53486764,0.23682278,-0.1911957,0.9995645,0.5677972,0.24560538,-0.10006664,0.9993757,0.52831763,0.24400273,-0.055265326,0.9986604,0.55457985,0.27144212,-0.17469674,0.99938387,0.5382713,0.27157354,-0.16235718,0.99919724,0.5991847,0.33500156,-0.09449219,0.99813753,0.49931636,0.33966187,0.038759507,0.9987814,0.5744352,0.4293178,-0.21274503,0.9696909,0.47618574,0.446404,-0.09569687,0.83472914,0.51447713,0.35006994,-0.31616485,0.9648087,0.47889757,0.36003965,-0.34930125,0.9095609,0.5787507,0.5751202,-0.041494053,0.99944174,0.5134454,0.5733913,0.041474454,0.99959946,0.6007515,0.7362707,0.0074076615,0.998399,0.4979921,0.7261905,0.13007975,0.99718994,0.6195194,0.87560093,0.17710099,0.9968428,0.4824733,0.8657819,0.3283025,0.9973122,0.61662465,0.89314306,0.18500486,0.93295246,0.4930738,0.89161223,0.34072953,0.96974325,idle
0.5467978,0.25271502,-0.21893677,0.99978733,0.56001294,0.23765816,-0.20394337,0.9995838,0.53644097,0.23681396,-0.19574371,0.9995545,0.57009315,0.2453644,-0.10155605,0.9993731,0.5294743,0.24402954,-0.057757813,0.9986384,0.55601525,0.271326,-0.17710263,0.9993821,0.5399977,0.27155295,-0.16639061,0.99918735,0.6020941,0.33531427,-0.09271235,0.9981576,0.50099444,0.33953774,0.03492286,0.99876565,0.58061445,0.43279886,-0.21482842,0.97024834,0.47615638,0.44572634,-0.105373695,0.8376172,0.51856774,0.3538579,-0.3447527,0.9654954,0.4822008,0.35884827,-0.36559907,0.91038495,0.5792036,0.5750438,-0.041328922,0.9994311,0.51377934,0.5730454,0.041309945,0.9995891,0.60074764,0.7362935,0.010658492,0.9983988,0.49791646,0.7259511,0.12644778,0.9972103,0.6195072,0.8754291,0.1830047,0.9968537,0.48245168,0.86579794,0.32254764,0.9972969,0.6166936,0.89265937,0.19088393,0.9325785,0.49307728,0.89163554,0.33459362,0.969339,idle
0.5470941,0.25286284,-0.23747878,0.9997885,0.5606147,0.23762737,-0.22349577,0.9995869,0.5370794,0.23685203,-0.21393521,0.99955547,0.5714654,0.24517278,-0.11666808,0.99937755,0.53044564,0.24402882,-0.069916904,0.99864465,0.5563677,0.27133152,-0.19506001,0.9993944,0.54063255,0.27161434,-0.18252173,0.99919957,0.6048573,0.3359999,-0.09702957,0.99818134,0.50247985,0.33939496,0.023976246,0.99877834,0.58447397,0.43677142,-0.23188774,0.97113776,0.47615522,0.44541293,-0.11854015,0.84245574,0.5224117,0.35719374,-0.37829947,0.966499,0.483957,0.3581621,-0.38868856,0.91286516,0.5795734,0.57534534,-0.04121963,0.9994214,0.5140628,0.57308924,0.041195195,0.99957925,0.60086006,0.73660016,0.011215113,0.9984035,0.49780402,0.72577673,0.12899953,0.9972283,0.6194981,0.8755173,0.17990252,0.9968744,0.48237148,0.8658126,0.32867667,0.9972745,0.6167628,0.8926694,0.18726069,0.9326048,0.49302882,0.8916403,0.34125605,0.96897805,idle
