x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.37444562,0.00020455263,-0.3298458,0.99981695,0.38661808,-0.012681561,-0.31234527,0.99957883,0.3612885,-0.020614296,-0.30953953,0.99958175,0.3927111,0.0030247604,-0.17570019,0.9993591,0.3427078,-0.006310716,-0.16013241,0.99931693,0.38042685,0.020908738,-0.27604824,0.9998687,0.36439088,0.017638972,-0.27172652,0.9998529,0.43584436,0.10576762,-0.11685084,0.99985194,0.29568404,0.10426499,-0.064479366,0.9998653,0.4565147,0.2590415,-0.2445676,0.9698638,0.2696749,0.26067588,-0.18420823,0.9595376,0.42933288,0.24928078,-0.53918684,0.97610146,0.30035567,0.24715993,-0.48636237,0.98357207,0.42112535,0.4156866,-0.01817102,0.99962157,0.33398458,0.4165705,0.018146683,0.9997064,0.43752623,0.6144006,-0.01772919,0.99574023,0.3219809,0.61329925,0.13883558,0.99521893,0.43792278,0.78428185,0.2522736,0.99209297,0.32575563,0.77844816,0.47321272,0.9935341,0.4238351,0.80479705,0.2688336,0.9157174,0.33923405,0.80006486,0.4990328,0.9425134,idle
0.37031135,0.0034422139,-0.33259898,0.9998093,0.3820524,-0.010362013,-0.3153001,0.9995615,0.35749444,-0.018811831,-0.31322998,0.9995701,0.38777056,0.0033428918,-0.17786515,0.99933124,0.33898532,-0.0061718775,-0.1665056,0.9993174,0.3757168,0.022520034,-0.27808133,0.9998638,0.36012992,0.019121857,-0.27492565,0.99985325,0.43185383,0.10566036,-0.11556488,0.9998445,0.29065233,0.103502885,-0.07107137,0.99987,0.45580786,0.2589452,-0.23918907,0.9683554,0.26241675,0.25767007,-0.19134349,0.9617013,0.42937738,0.24936123,-0.5356354,0.9753194,0.29671618,0.24577366,-0.48120528,0.98433083,0.41939577,0.4125228,-0.01828404,0.9996038,0.33207637,0.41641346,0.01827274,0.9997043,0.43736753,0.6104686,-0.012527838,0.9957421,0.32153407,0.61370957,0.12534186,0.99522907,0.44008216,0.779297,0.28289288,0.9919426,0.325683,0.78186613,0.4482912,0.993554,0.42751822,0.7984201,0.3031344,0.914604,0.339222,0.8029391,0.47357568,0.942879,idle
0.36648434,0.0029820604,-0.36062232,0.9998076,0.3788003,-0.010516646,-0.34283656,0.999559,0.35313535,-0.018882334,-0.3409967,0.9995711,0.38498494,0.0018106516,-0.20196588,0.9993231,0.33534542,-0.006816234,-0.19177516,0.9993281,0.37243325,0.022368345,-0.30496246,0.9998627,0.35598198,0.01890433,-0.30213523,0.99985576,0.42950502,0.10558068,-0.13346753,0.9998339,0.28805885,0.10355134,-0.09523757,0.99987364,0.45517007,0.2580817,-0.27229023,0.96722376,0.25936157,0.2563347,-0.22369018,0.96391225,0.4296565,0.24862522,-0.59314835,0.9748741,0.29524347,0.24503948,-0.51954776,0.9850829,0.41901392,0.4102394,-0.018295977,0.9995823,0.33189806,0.4164104,0.01829021,0.9997048,0.43749133,0.6032212,0.004694929,0.9957647,0.32158357,0.61369693,0.122866616,0.99534416,0.442211,0.7678463,0.31913418,0.99191064,0.32565296,0.78342474,0.43422228,0.9937132,0.42957386,0.78911096,0.3412639,0.9146791,0.33885765,0.8036837,0.45775595,0.9439791,idle
0.36211246,-0.00038183926,-0.2564005,0.99980783,0.37435448,-0.012864788,-0.24035835,0.99955463,0.34821194,-0.019528845,-0.23765652,0.9995781,0.382083,0.00081383076,-0.1300917,0.9992959,0.3324219,-0.006869072,-0.11685727,0.9993468,0.36946452,0.020027792,-0.21399312,0.9998562,0.35272747,0.016912896,-0.2100651,0.99985546,0.43132013,0.105577976,-0.08949129,0.9998161,0.28865644,0.103937864,-0.06278425,0.9998787,0.4569436,0.25739664,-0.1952805,0.9651694,0.25993696,0.25620806,-0.1755093,0.96558636,0.42849398,0.24771103,-0.43441135,0.9732843,0.29470053,0.24480627,-0.40404242,0.9854302,0.4191197,0.4103511,-0.015425088,0.9995283,0.33189008,0.41700557,0.015370061,0.99969214,0.43916678,0.59689903,0.025804779,0.9955932,0.3215811,0.6136828,0.075638875,0.9954664,0.44834796,0.75944144,0.2937791,0.99180454,0.3255039,0.7830067,0.29184967,0.9938449,0.43718562,0.7832192,0.31522247,0.91315174,0.33844945,0.8032976,0.30653602,0.9442713,idle
0.3629492,0.000978091,-0.27325088,0.9998095,0.37463677,-0.012473611,-0.25597364,0.99955744,0.34876347,-0.017860841,-0.2535619,0.9995838,0.38264257,0.0008155138,-0.13242802,0.999287,0.33343738,-0.0062278914,-0.12121254,0.9993605,0.37053865,0.020441635,-0.22548337,0.9998514,0.353828,0.017318895,-0.22203271,0.9998551,0.43279544,0.10542801,-0.085781306,0.99980444,0.29030928,0.10474239,-0.06275676,0.999882,0.4575602,0.25616693,-0.20096536,0.9637308,0.26241952,0.25656852,-0.18629487,0.9670554,0.42742753,0.24496624,-0.45235664,0.97321737,0.29283646,0.24441959,-0.41058636,0.9857145,0.418665,0.41201892,-0.009521049,0.99949,0.33194065,0.41989338,0.0094595775,0.99968815,0.440952,0.5915053,0.0550218,0.99540627,0.32141376,0.6136724,0.063843235,0.9956051,0.451485,0.7371434,0.3316052,0.99155873,0.32527322,0.782715,0.295075,0.9939864,0.44127765,0.75938076,0.35173395,0.9115653,0.3381067,0.8030625,0.3109446,0.9438841,idle
0.36292917,0.0010006125,-0.19178507,0.99982417,0.37486565,-0.012489614,-0.17701611,0.9995885,0.3489425,-0.017226938,-0.1732767,0.9996127,0.3835196,0.001277613,-0.07777162,0.999334,0.33428082,-0.004530394,-0.06040131,0.9994021,0.3714177,0.020494724,-0.15476464,0.99985987,0.35470977,0.017770914,-0.1495599,0.9998634,0.4334258,0.10576913,-0.05211268,0.9998098,0.29158825,0.10651592,-0.023516178,0.9998873,0.4583757,0.256208,-0.14871308,0.9660213,0.26796007,0.25718313,-0.14148308,0.968547,0.42740422,0.24495023,-0.34725553,0.97509503,0.29336438,0.2436155,-0.3776637,0.9862155,0.41875893,0.41673577,-0.0052648857,0.99948454,0.33218747,0.42316335,0.0051462934,0.99969804,0.44354993,0.5895455,0.044341505,0.9953463,0.32065812,0.6137752,0.029761773,0.9958143,0.45741042,0.72768176,0.26171938,0.99162966,0.32415402,0.7824861,0.18232813,0.9942224,0.44926944,0.7490477,0.2729805,0.9120551,0.3373899,0.8029873,0.18928942,0.94414884,idle
0.3711587,0.0065974453,-0.18396837,0.99983853,0.38194725,-0.007921145,-0.17067501,0.99961907,0.35777378,-0.012627483,-0.16924898,0.9996421,0.39278737,0.0042710723,-0.07203464,0.9993802,0.34248465,-0.0023205967,-0.06531371,0.99944705,0.37964445,0.024012422,-0.1461862,0.9998684,0.36453506,0.021358112,-0.14416675,0.9998726,0.44158345,0.106507994,-0.04579888,0.9998164,0.29752266,0.10925134,-0.020445941,0.9998934,0.46339518,0.25940952,-0.12521586,0.9677578,0.27863938,0.26025552,-0.120721795,0.9697185,0.42745394,0.24551587,-0.30877876,0.9764802,0.29355943,0.2456354,-0.34366018,0.9864758,0.4215866,0.419495,-0.004147114,0.9994693,0.33481258,0.42502362,0.004025553,0.9997041,0.44838804,0.5849968,0.05070697,0.99521023,0.32103735,0.61231637,0.032241132,0.9959361,0.46640405,0.72230923,0.23678021,0.9916534,0.32356662,0.78228027,0.16701289,0.99441814,0.45883137,0.743481,0.24662928,0.9125258,0.33686268,0.80285054,0.17246887,0.9444489,idle
0.37778476,0.00613414,-0.18685588,0.99985015,0.38706064,-0.008223387,-0.17353639,0.99964297,0.36213878,-0.011431805,-0.17076483,0.9996638,0.39832023,0.0042129853,-0.07695614,0.99941534,0.34734863,-0.0001430724,-0.064761564,0.9994754,0.38617945,0.02384721,-0.15064058,0.99987435,0.37049973,0.021837499,-0.14683191,0.99987805,0.45078737,0.10876658,-0.05588914,0.9998194,0.3085939,0.112224855,-0.01980682,0.99989444,0.46974373,0.26521388,-0.14440534,0.969245,0.29256922,0.26970354,-0.11612433,0.96836096,0.4294344,0.24748819,-0.3284484,0.9776302,0.29878157,0.25148073,-0.33896384,0.98502403,0.42689475,0.42600268,-0.0045391107,0.99944663,0.34001046,0.43013495,0.0044154935,0.9997077,0.45154577,0.583783,0.060829204,0.9949017,0.32267275,0.61156076,0.03238126,0.99604166,0.4737614,0.7205668,0.24515812,0.99150926,0.32339633,0.78187126,0.1637016,0.99455464,0.46788278,0.7414542,0.2573265,0.9116409,0.33654502,0.80271137,0.16849652,0.9440703,idle
0.37979302,0.006668825,-0.2143908,0.99986124,0.39093873,-0.008577068,-0.20066252,0.9996646,0.36376557,-0.010245991,-0.1970775,0.9996857,0.4063972,0.002954927,-0.094683,0.9994453,0.3525251,0.0013355328,-0.080740735,0.99950194,0.3901281,0.025614051,-0.174736,0.9998795,0.3733041,0.025662582,-0.16986257,0.9998827,0.46283644,0.10981163,-0.06757939,0.9998205,0.320564,0.11769424,-0.023593878,0.999897,0.48006192,0.26977712,-0.15037419,0.97075975,0.30788746,0.2836186,-0.114327565,0.96620464,0.43055505,0.24902402,-0.36577222,0.9786222,0.30653977,0.2573623,-0.3576153,0.9841781,0.43574506,0.4292454,-0.010045476,0.9993711,0.34822384,0.43285802,0.009865295,0.9997062,0.45434874,0.58215755,0.08820509,0.9943129,0.3279624,0.60992414,0.018695999,0.9961205,0.47932276,0.71922606,0.30382478,0.99105835,0.32384846,0.7813246,0.16208725,0.9946273,0.4745945,0.740308,0.31785077,0.9074268,0.33689636,0.8026706,0.16819865,0.9440489,idle
0.38570714,0.0064423103,-0.22532316,0.99986744,0.39830136,-0.009297396,-0.21096341,0.999676,0.3705079,-0.010094538,-0.20686534,0.99969596,0.41741267,0.001902921,-0.098418504,0.9994607,0.36152613,0.0017499565,-0.08606152,0.99949396,0.39843935,0.025590012,-0.1837453,0.99988025,0.38058022,0.026085734,-0.17926893,0.99987954,0.4747706,0.112861924,-0.08308212,0.99981725,0.33279037,0.12133873,-0.026796252,0.99988794,0.49554858,0.2750101,-0.17062142,0.9723784,0.32191837,0.29006225,-0.11320297,0.9584186,0.43516654,0.25277862,-0.36845964,0.97947854,0.3169532,0.2698258,-0.35402343,0.9801718,0.44581094,0.43057692,-0.010529066,0.9993105,0.35862085,0.43428817,0.01034792,0.9996929,0.4614398,0.5826782,0.08779499,0.99377126,0.33866033,0.6103935,0.034611516,0.99611366,0.48166308,0.72269017,0.3125835,0.9905795,0.32444164,0.78120434,0.1925042,0.9946893,0.47461563,0.7444822,0.32735175,0.90395725,0.33715034,0.80276936,0.19940236,0.94350374,idle
