x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.44631973,0.14410739,-0.3930167,0.999959,0.4599051,0.12327383,-0.36389875,0.99992466,0.43436408,0.12774426,-0.3707116,0.9999327,0.47727045,0.13051923,-0.16772227,0.9998978,0.4300126,0.13963298,-0.17907563,0.9999162,0.45896274,0.16225971,-0.32073274,0.9999638,0.44259897,0.16666952,-0.32781354,0.9999741,0.53468704,0.22789463,-0.07461394,0.99984366,0.39961818,0.26963603,-0.03454538,0.99985284,0.5974411,0.3475196,-0.21297157,0.973078,0.38919538,0.4108438,-0.1954368,0.9808382,0.559908,0.343318,-0.55641377,0.98172045,0.40015435,0.34625548,-0.5922407,0.9857526,0.53342587,0.5130678,-0.022969104,0.9991472,0.45205942,0.51077473,0.02308819,0.99935067,0.5411574,0.73422104,-0.051795434,0.9877953,0.38641322,0.70507205,-0.19370212,0.9896267,0.53867173,0.89468837,0.31399816,0.95574695,0.40907985,0.8796881,0.14713722,0.97828203,0.53554714,0.9121815,0.3385942,0.8504463,0.42769256,0.898674,0.17096764,0.87387675,idle
0.44651422,0.17149267,-0.39260927,0.99996126,0.4609579,0.15224552,-0.3619042,0.9999286,0.43638223,0.15534888,-0.36654836,0.9999357,0.47717565,0.15843844,-0.16766204,0.9999018,0.43120304,0.16472635,-0.1754903,0.99991673,0.4586411,0.19016053,-0.32089722,0.9999655,0.4415342,0.1938763,-0.32635295,0.9999743,0.53187376,0.26788613,-0.08325992,0.99985343,0.40215993,0.29035744,-0.035927717,0.9998409,0.58039176,0.3952345,-0.2271041,0.9747075,0.3901152,0.43077528,-0.20379344,0.97581494,0.5351262,0.38935626,-0.5577206,0.9823797,0.3998106,0.37740612,-0.59658974,0.9827723,0.5196472,0.53999805,-0.02131792,0.99921376,0.43963832,0.5319802,0.021379117,0.9993965,0.53696334,0.7431746,-0.037753787,0.9882754,0.35650077,0.70695126,-0.10904101,0.9904534,0.5367671,0.90128016,0.3455009,0.95934594,0.33108613,0.8798246,0.22552311,0.9800488,0.53074944,0.9196031,0.37310463,0.8574407,0.34711558,0.9007504,0.24868123,0.8821527,idle
0.4460578,0.19485608,-0.3949949,0.9999644,0.45875168,0.17347987,-0.3665893,0.9999344,0.43376747,0.17692097,-0.36497983,0.9999408,0.4736547,0.18076524,-0.1846935,0.9999093,0.42775345,0.18508512,-0.16991548,0.9999219,0.45819908,0.21516849,-0.32639852,0.9999682,0.44117388,0.21702957,-0.32546884,0.9999759,0.5299197,0.29410964,-0.10482458,0.9998644,0.4016018,0.30089933,-0.021513062,0.999847,0.56073445,0.4266166,-0.25921926,0.9768505,0.38176888,0.44104272,-0.16563188,0.9735651,0.49362573,0.41040617,-0.5772267,0.9835874,0.39351442,0.40698066,-0.5526096,0.9814153,0.4993681,0.561019,-0.03380873,0.9992797,0.42183048,0.5526755,0.03377557,0.9994459,0.5203308,0.7495517,-0.014298965,0.9889646,0.3315154,0.7107117,-0.057266425,0.9912158,0.5374701,0.90214336,0.35208875,0.9628058,0.28328422,0.8806726,0.21550372,0.9817314,0.5331253,0.92037106,0.37793818,0.8621479,0.29248676,0.9020673,0.23538645,0.88992155,idle
0.43464303,0.20253493,-0.3726372,0.99996716,0.45168072,0.18288833,-0.3450008,0.9999395,0.42526716,0.18057328,-0.34089088,0.99994534,0.46519488,0.19130613,-0.17124768,0.99991626,0.41971692,0.18935496,-0.15144989,0.9999263,0.4443654,0.2247601,-0.30647188,0.9999705,0.42787868,0.2227528,-0.30240205,0.99997735,0.50401175,0.3074561,-0.09375924,0.9998739,0.38090992,0.3018684,-0.0074670585,0.9998507,0.52892554,0.43900907,-0.24645829,0.97886825,0.36034197,0.4398608,-0.14366964,0.971453,0.45903516,0.41922846,-0.5391809,0.9847515,0.36733902,0.4075751,-0.51712716,0.9808485,0.46234202,0.5678517,-0.03181905,0.99934,0.38817167,0.56279564,0.0317223,0.9994885,0.499686,0.7483303,0.00013271738,0.98989266,0.3136415,0.7285469,0.007971002,0.99196595,0.53850245,0.898919,0.32874095,0.96628666,0.25734958,0.8882018,0.26575074,0.98337704,0.5374116,0.91841376,0.35125792,0.8697231,0.26307827,0.90951,0.28230423,0.89734834,idle
0.40657395,0.20376025,-0.37454945,0.99996907,0.4234994,0.1849928,-0.34749857,0.999943,0.3994448,0.18017793,-0.34381258,0.9999482,0.44080988,0.19647032,-0.1894081,0.999921,0.39375946,0.18892337,-0.1598162,0.9999287,0.4149424,0.22491832,-0.3087151,0.9999723,0.40043536,0.2228914,-0.30565265,0.999978,0.47416177,0.3095616,-0.1131928,0.9998804,0.35214597,0.3015429,-0.02254555,0.99985677,0.5007446,0.4433646,-0.26846212,0.98065937,0.321846,0.42896453,-0.17220339,0.97092265,0.43082395,0.42228812,-0.5519642,0.9853306,0.33937445,0.40106517,-0.54494244,0.9807727,0.434795,0.5739442,-0.03347896,0.99939096,0.36064905,0.5676001,0.03326189,0.9995234,0.4830574,0.7494842,0.00018388293,0.9907874,0.29027212,0.7346985,0.04593779,0.992653,0.5377675,0.8967885,0.31340554,0.9695013,0.25374922,0.88926315,0.34048492,0.984848,0.5383653,0.91576016,0.33453426,0.87689096,0.2651853,0.9106868,0.36169744,0.9039552,idle
0.38069814,0.20063704,-0.33197194,0.9999715,0.39681986,0.18137674,-0.31041342,0.9999475,0.37191814,0.1785763,-0.30301803,0.9999519,0.4151203,0.19292803,-0.1603987,0.99992776,0.36710814,0.18638158,-0.11856363,0.9999331,0.38971668,0.22084378,-0.27120572,0.9999746,0.37310797,0.21931069,-0.2615849,0.99997944,0.45092902,0.30454984,-0.099965855,0.9998904,0.3274983,0.29156834,0.016778417,0.9998673,0.48005658,0.43975833,-0.2566766,0.98241407,0.2918649,0.41158473,-0.12397631,0.97045076,0.40580177,0.41271535,-0.55369323,0.9862177,0.31097633,0.3909295,-0.49447116,0.98116946,0.41167054,0.5654574,-0.043263026,0.9994283,0.33516717,0.56259465,0.043014362,0.9995489,0.4650618,0.742178,-0.020908777,0.9916164,0.27204427,0.73288906,0.03311256,0.9932375,0.53093576,0.8923159,0.21765065,0.9723848,0.25439864,0.88929725,0.29365507,0.9861511,0.5331727,0.90994155,0.2325358,0.8814439,0.26534623,0.91139877,0.31101158,0.91044414,idle
0.3635363,0.19775374,-0.31513473,0.99997383,0.37916124,0.17766452,-0.29154956,0.99995166,0.3516163,0.17671385,-0.28826442,0.99995536,0.39082044,0.18833521,-0.13299417,0.9999339,0.34292677,0.18520191,-0.11323577,0.9999374,0.37148163,0.2176476,-0.2526706,0.99997675,0.35300606,0.21755642,-0.24833468,0.99998087,0.42828614,0.29652986,-0.06485306,0.99990046,0.3023047,0.2807156,0.014658557,0.99987674,0.45795313,0.42710212,-0.2225091,0.98394126,0.26600438,0.40021858,-0.13133624,0.9709748,0.3919086,0.40297118,-0.52471936,0.98706764,0.28651595,0.36878932,-0.4981532,0.98164177,0.3985185,0.55621046,-0.036574014,0.9994629,0.3225599,0.5592288,0.036393996,0.9995718,0.44402018,0.72791165,-0.10961808,0.9923585,0.2672359,0.7320917,0.024906436,0.9937093,0.50688064,0.884425,0.17397873,0.97492695,0.25211805,0.88816345,0.2351931,0.98725206,0.5083308,0.902897,0.1925938,0.8853404,0.26519924,0.91129404,0.2513526,0.9149124,idle
0.35109168,0.19089475,-0.3476476,0.9999763,0.36638173,0.16929586,-0.3278067,0.99995613,0.33846793,0.16804622,-0.32648653,0.9999594,0.37843856,0.17797934,-0.16884567,0.9999401,0.3270356,0.17380692,-0.15954338,0.9999428,0.35782835,0.21307327,-0.2845573,0.9999789,0.34048018,0.21257201,-0.2825832,0.99998254,0.41276932,0.29539725,-0.08976378,0.99990946,0.2850246,0.27051914,-0.01368008,0.99988544,0.4401239,0.4223816,-0.2403281,0.98540586,0.24969196,0.39172304,-0.16598836,0.9723746,0.37604815,0.39603287,-0.53181064,0.9881067,0.27394277,0.35115767,-0.5422783,0.98256063,0.38864022,0.5462025,-0.033621244,0.9994795,0.31379962,0.5438242,0.033452533,0.9995828,0.42959943,0.7240013,-0.10414857,0.99302876,0.26883298,0.7244837,-0.009605791,0.99413353,0.4803143,0.87475705,0.18930566,0.97721523,0.25068566,0.8877839,0.21763222,0.988286,0.47967607,0.8933633,0.20835407,0.8892969,0.26424068,0.91121167,0.23201558,0.9191739,idle
0.33874494,0.18152547,-0.42088467,0.99997807,0.35276088,0.1600395,-0.40032238,0.99995935,0.3265316,0.15832552,-0.39887685,0.9999623,0.3652599,0.16544376,-0.24207488,0.9999447,0.31395635,0.16215847,-0.23362331,0.999946,0.34500062,0.20551515,-0.35782748,0.9999804,0.32927522,0.20463066,-0.3561847,0.9999835,0.40211025,0.28633654,-0.1590034,0.99991584,0.2708686,0.26667958,-0.08404922,0.99989045,0.43256968,0.41957965,-0.31565946,0.98667985,0.23907487,0.3895711,-0.23942058,0.9733485,0.3723487,0.38741907,-0.6234976,0.988919,0.2644796,0.34734383,-0.60890883,0.9833753,0.38147405,0.5376145,-0.035652574,0.9994737,0.30481198,0.5366847,0.035454385,0.9995838,0.41711068,0.7203901,-0.07144974,0.9935749,0.265409,0.7219886,0.019773616,0.9944228,0.45395145,0.8697946,0.20268834,0.979159,0.24969256,0.88845384,0.268637,0.9891512,0.4503406,0.88890743,0.22844589,0.88974166,0.26111853,0.912839,0.28359613,0.92285854,idle
0.33587605,0.17666034,-0.41249758,0.9999792,0.34880245,0.15540455,-0.39077693,0.9999613,0.3222696,0.15463966,-0.39031595,0.9999641,0.35797673,0.15925203,-0.2285147,0.9999474,0.3085009,0.1596684,-0.22580667,0.9999478,0.34416804,0.2005468,-0.34856132,0.9999811,0.32579994,0.20027488,-0.34840104,0.9999839,0.395675,0.280078,-0.14342985,0.9999185,0.26735884,0.267327,-0.08195715,0.9998913,0.4290122,0.41521406,-0.29357392,0.98764473,0.2361639,0.39321676,-0.23056214,0.9740642,0.36538136,0.38272414,-0.6058456,0.98936003,0.26346415,0.34838837,-0.5918243,0.9839695,0.37649557,0.53415173,-0.033908054,0.99943787,0.29906267,0.5351768,0.033734936,0.99956256,0.4041111,0.7173954,-0.016773637,0.9939597,0.26438564,0.71905506,0.03197986,0.9946702,0.42896548,0.8752707,0.23481858,0.9807021,0.24898732,0.88847226,0.2671113,0.98986113,0.42715603,0.8985841,0.24776559,0.8883484,0.25928324,0.9130952,0.28101605,0.925517,idle
