x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.51624876,0.16267253,-0.49189726,0.99989533,0.5270473,0.1445195,-0.46924657,0.9998294,0.5039823,0.1384684,-0.47675928,0.9998597,0.5306156,0.15047187,-0.28582898,0.9997106,0.49018055,0.14085919,-0.31917712,0.9998767,0.51872647,0.18229601,-0.41877422,0.99986774,0.50361705,0.17969778,-0.42868543,0.9999116,0.564413,0.26447174,-0.13164894,0.9998353,0.43458685,0.24115638,-0.20226562,0.99994487,0.589519,0.39450726,-0.2614202,0.9436417,0.3832128,0.37342545,-0.3297831,0.99048036,0.5675751,0.35756016,-0.6475775,0.9378412,0.4180345,0.32791477,-0.67338306,0.9876284,0.5197693,0.512197,0.03330474,0.99892426,0.43991345,0.50313604,-0.03323788,0.9991943,0.5342172,0.7056137,-0.07385986,0.9839492,0.44456252,0.6960267,-0.11096146,0.983516,0.48744097,0.88102186,0.23434217,0.95716935,0.43903,0.8295341,0.33554846,0.9201772,0.4734683,0.9050589,0.25772324,0.88370085,0.43722066,0.83558756,0.3757974,0.8020265,idle
0.5322034,0.14032847,-0.41625118,0.9999032,0.54411876,0.12038183,-0.39242688,0.999842,0.5184859,0.1183264,-0.40132633,0.99986815,0.5503403,0.12808044,-0.21922271,0.9997339,0.5027778,0.12501614,-0.23952416,0.99988306,0.5379876,0.16013592,-0.3448128,0.9998798,0.52096015,0.15976149,-0.35930172,0.9999194,0.5893208,0.23623388,-0.121496394,0.9998498,0.45199704,0.23193523,-0.09254183,0.9999434,0.613598,0.38368648,-0.20894203,0.94818324,0.40570515,0.3658974,-0.2045455,0.99071,0.58081925,0.3442619,-0.5563594,0.94316494,0.4379899,0.30444193,-0.61624706,0.98806256,0.55396473,0.5049808,0.03229869,0.9989341,0.47794825,0.5014115,-0.032246843,0.9991463,0.5666777,0.7032688,-0.04467913,0.9828947,0.49482584,0.6969972,-0.06749132,0.9815715,0.5355545,0.8728801,0.2931699,0.95557857,0.5029294,0.8508051,0.24812698,0.9224279,0.5223111,0.89319235,0.3169772,0.8766342,0.5015122,0.8685163,0.26961762,0.7957757,idle
0.5480697,0.14309733,-0.5198704,0.9999098,0.5606909,0.122770146,-0.49261695,0.999851,0.534525,0.12108312,-0.49718338,0.9998761,0.56738913,0.13133572,-0.29846624,0.99975115,0.5200766,0.12889186,-0.3174663,0.9998896,0.5546359,0.16679326,-0.44437757,0.9998899,0.5378084,0.16603038,-0.451078,0.9999265,0.60898167,0.2475423,-0.160348,0.99984896,0.47333592,0.24263912,-0.17730679,0.99994314,0.6374612,0.39279214,-0.31851137,0.95224375,0.42932636,0.37099066,-0.34489238,0.9909139,0.5996565,0.34958684,-0.70378697,0.94737905,0.4517356,0.31435663,-0.760764,0.9884987,0.58380574,0.51179045,0.031016836,0.99884206,0.5035553,0.5126932,-0.031019604,0.9991491,0.63065296,0.70399994,-0.056283385,0.98324156,0.52581114,0.7029974,-0.14932832,0.98232347,0.62713623,0.8712133,0.3232985,0.95513135,0.55224043,0.893281,0.17952979,0.9283568,0.6075063,0.8959413,0.35037738,0.87189573,0.55257314,0.9148466,0.20424569,0.80056155,idle
0.56337345,0.15763661,-0.5294668,0.99991775,0.57612634,0.13864736,-0.5032635,0.99986356,0.55082476,0.13693404,-0.5014416,0.99988633,0.5865432,0.14711307,-0.32023245,0.99977183,0.5387618,0.14445004,-0.31306994,0.99989724,0.57239527,0.17874923,-0.46002904,0.9998995,0.55460554,0.178842,-0.45827046,0.99993277,0.63205045,0.26170224,-0.20192254,0.9998481,0.49444747,0.2631792,-0.17781003,0.99994254,0.65731966,0.4008714,-0.36093256,0.95600456,0.46364784,0.41051844,-0.3450393,0.9903465,0.6176841,0.36539078,-0.70633376,0.9511968,0.47436494,0.35065717,-0.7523774,0.9883531,0.61200035,0.5130684,0.01549835,0.998892,0.5305367,0.5295249,-0.015624714,0.9992035,0.6714314,0.707566,-0.041716855,0.98432076,0.5363676,0.73418814,-0.09354951,0.98365206,0.69466645,0.87179905,0.28031507,0.9585345,0.5563878,0.90575844,0.23303907,0.9348277,0.6841723,0.89736867,0.30156332,0.8791346,0.5620369,0.92440534,0.25462702,0.80956596,idle
0.57764506,0.16242175,-0.46713167,0.99992543,0.5913731,0.14081854,-0.44122902,0.99987626,0.56556046,0.14709635,-0.47254816,0.9998964,0.60374653,0.14753488,-0.26517665,0.99979323,0.5554789,0.16129704,-0.23099458,0.9999046,0.5866749,0.18397108,-0.3964631,0.9999091,0.5709576,0.19009086,-0.4541667,0.9999389,0.65993726,0.26748434,-0.15453248,0.99986124,0.5217796,0.28746355,-0.08924974,0.99994427,0.68852276,0.4027539,-0.30111063,0.9598991,0.4916737,0.4338656,-0.24252363,0.98976606,0.63201296,0.37873474,-0.6392463,0.9555523,0.5006603,0.3746908,-0.67173785,0.9886946,0.64183736,0.54444236,0.0009506171,0.9989897,0.5606109,0.55366963,-0.0011756949,0.9992696,0.7209254,0.73547405,-0.05351799,0.98574644,0.54350555,0.7524606,-0.02135556,0.9851524,0.7726089,0.88334,0.2625142,0.96241224,0.5534014,0.9131826,0.29703236,0.94108206,0.76126206,0.9086986,0.28372577,0.8870847,0.563107,0.9310976,0.3192955,0.82267845,idle
0.59236896,0.18557312,-0.318322,0.9999319,0.6067027,0.16157088,-0.29705268,0.9998869,0.5823106,0.17007992,-0.2909427,0.9999044,0.62358445,0.16888599,-0.15053257,0.99981105,0.5776063,0.18386847,-0.11021646,0.9999077,0.6018852,0.20606449,-0.26254788,0.99991745,0.58786297,0.21204396,-0.25533766,0.99994385,0.68001187,0.28038484,-0.07648566,0.99987376,0.5512011,0.30340335,0.00039489986,0.9999446,0.72045314,0.41162238,-0.21133175,0.96350485,0.53152287,0.441325,-0.12508114,0.9879119,0.6623806,0.398701,-0.49500412,0.9594487,0.53561074,0.39615095,-0.48201036,0.98816276,0.6695446,0.55857825,-0.004752027,0.99907595,0.5909289,0.56597775,0.0045164665,0.9993163,0.74641186,0.7420138,-0.05703652,0.9870248,0.56237924,0.7570317,-0.023105873,0.9864316,0.80467594,0.8930162,0.22170822,0.96584624,0.55439854,0.91531,0.2628651,0.94633645,0.80128986,0.91423076,0.23716326,0.88833666,0.56230533,0.93392044,0.28332716,0.82604766,idle
0.62008727,0.20152447,-0.26520544,0.99993837,0.6324369,0.177492,-0.24392454,0.9998977,0.6083501,0.1870472,-0.2325234,0.9999132,0.64982116,0.18222426,-0.09971292,0.9998293,0.60236925,0.20015736,-0.04539685,0.9999151,0.6307665,0.2201899,-0.21123795,0.99992543,0.6166267,0.22683582,-0.19608963,0.9999489,0.71821743,0.28880695,-0.032837972,0.99988544,0.583012,0.3109401,0.047394935,0.9999454,0.7565103,0.41584724,-0.19674529,0.9667175,0.5678074,0.4495636,-0.0877851,0.98465425,0.6978875,0.41051108,-0.50253654,0.9631223,0.57234085,0.40317214,-0.4388559,0.9871448,0.7009275,0.5654027,-0.009016943,0.99916077,0.61937475,0.5680128,0.008840311,0.9993718,0.77173424,0.7477369,-0.06089728,0.9880764,0.5716032,0.75373197,-0.040390227,0.987674,0.81037694,0.9021728,0.21360163,0.96891546,0.5537636,0.91614586,0.23665321,0.9514303,0.80185336,0.92573774,0.22949895,0.8932385,0.55922794,0.9371644,0.25613225,0.8354703,idle
0.6395531,0.20369484,-0.2635585,0.99994415,0.6517678,0.17977813,-0.24617533,0.9999074,0.63134176,0.18762666,-0.23246446,0.999921,0.67276114,0.1852564,-0.12021507,0.9998456,0.6302026,0.19735879,-0.055420645,0.99992144,0.65072143,0.2213374,-0.21669796,0.9999326,0.6375696,0.22606936,-0.19804913,0.9999533,0.74180204,0.2890472,-0.049605746,0.99989563,0.60850424,0.30407026,0.030231977,0.99994564,0.783638,0.4167143,-0.20361264,0.9696911,0.60188586,0.45231295,-0.088174276,0.980297,0.7314448,0.40942326,-0.49081856,0.96636015,0.59926516,0.40558398,-0.42783815,0.98635095,0.72535646,0.5626091,-0.01246877,0.999235,0.643188,0.56394154,0.01226159,0.9994198,0.78517276,0.7464395,-0.061959963,0.9890675,0.5909906,0.7503097,-0.026496504,0.9887859,0.8139073,0.9048005,0.21175297,0.971669,0.5631615,0.91385645,0.24266088,0.9559863,0.80720204,0.9281952,0.22804375,0.89631164,0.5725791,0.9338004,0.26163316,0.8438935,idle
0.6548887,0.20271319,-0.28777844,0.9999481,0.6689962,0.17951344,-0.2831204,0.99991405,0.6482958,0.18537459,-0.2658107,0.9999259,0.693269,0.18487765,-0.19600213,0.9998576,0.65578896,0.19455224,-0.112296805,0.999923,0.66900563,0.22060879,-0.2514332,0.99993795,0.654984,0.22445314,-0.2281342,0.999955,0.764855,0.2863359,-0.12717985,0.9999024,0.62835294,0.30113962,-0.017208789,0.99994546,0.8082244,0.40638918,-0.25700143,0.97217333,0.61965716,0.45193827,-0.1128602,0.9775409,0.7496812,0.408766,-0.5129803,0.9688079,0.62473035,0.40503085,-0.42986488,0.98659277,0.74242884,0.56201017,-0.022948686,0.99926126,0.6581224,0.5596861,0.022664772,0.9994248,0.7908431,0.74354374,-0.062985614,0.9894176,0.61264396,0.7330786,0.021370957,0.9893595,0.8210435,0.9117765,0.12961262,0.97323054,0.5943335,0.91248643,0.23323004,0.9593859,0.8171174,0.9345028,0.13857703,0.889064,0.6033487,0.9324141,0.25727668,0.84649694,idle
0.66624343,0.20205612,-0.26292485,0.99995106,0.6807581,0.17920311,-0.2639538,0.9999189,0.6624116,0.1844692,-0.24141073,0.99992967,0.707656,0.18433371,-0.19509044,0.99986714,0.6744796,0.19266418,-0.090078376,0.9999241,0.6797918,0.22034281,-0.23301645,0.999942,0.66694456,0.22391352,-0.20258777,0.9999555,0.77729946,0.28093022,-0.124131285,0.9999086,0.6466154,0.29626265,0.011677856,0.99994665,0.82419145,0.40071854,-0.25730962,0.9745434,0.62582755,0.4452759,-0.07061033,0.9759651,0.76816547,0.40405142,-0.50919294,0.9711313,0.63624704,0.4025375,-0.38546675,0.9869348,0.7589916,0.5550324,-0.039338987,0.99926656,0.6763557,0.5510307,0.039118867,0.999434,0.8006997,0.7420074,-0.050745506,0.9897555,0.6323277,0.7267396,0.04214609,0.9898741,0.824063,0.91263866,0.12797031,0.9745692,0.6305534,0.90994805,0.22923096,0.96254104,0.8204435,0.93487614,0.13511387,0.8842063,0.6429992,0.93223125,0.24902308,0.85311997,idle
