x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.4016355,0.020174308,-0.395107,0.99990976,0.414297,0.003556854,-0.3786334,0.99980307,0.3860115,0.0026860253,-0.37436903,0.9997624,0.4301617,0.013869211,-0.23711927,0.99967116,0.37273163,0.014567578,-0.21843877,0.99949324,0.41255552,0.03847321,-0.33943242,0.99991304,0.394252,0.037636615,-0.33393285,0.99988997,0.473877,0.124094464,-0.16148445,0.9998082,0.3381064,0.12277867,-0.13099515,0.9998159,0.48990065,0.27087495,-0.30564648,0.9815664,0.3138915,0.2656052,-0.2668205,0.9642913,0.44386777,0.2500896,-0.59845006,0.98019123,0.33730432,0.24768811,-0.56267035,0.9763831,0.43645033,0.41819468,-0.009638286,0.99946254,0.3545644,0.41346547,0.009501429,0.99963856,0.4379514,0.5821804,0.099754006,0.9910864,0.3457308,0.57919145,0.13385525,0.99372643,0.4357211,0.7303046,0.41138482,0.9860652,0.3312399,0.7369407,0.4350184,0.99118125,0.42378002,0.7518283,0.4351078,0.9046329,0.33768493,0.75477153,0.4588437,0.92943555,idle
0.39710015,0.01996354,-0.3559204,0.99990773,0.4113534,0.0007884466,-0.33808014,0.99979925,0.3797056,0.0010337378,-0.33360144,0.9997618,0.42772514,0.0125413835,-0.20025066,0.9996559,0.36820552,0.01319733,-0.1798865,0.999498,0.40830722,0.03846119,-0.30243415,0.99991083,0.38817218,0.037682835,-0.2965177,0.9998891,0.47090942,0.12523115,-0.13690262,0.9998038,0.33482665,0.12264845,-0.10626292,0.99981713,0.4873353,0.27044624,-0.29414317,0.9809574,0.30931282,0.26515052,-0.25877225,0.9648981,0.442851,0.24890278,-0.58241767,0.9800713,0.3368258,0.24659406,-0.5530329,0.97603554,0.43561107,0.41934597,-0.008528184,0.9994797,0.3530763,0.4138362,0.0083943,0.99964684,0.438085,0.58240944,0.09899859,0.99063915,0.33975777,0.57969856,0.12618047,0.9936413,0.4367668,0.730368,0.40568537,0.98582196,0.327496,0.7362843,0.43501252,0.99106556,0.42490047,0.7514286,0.43046194,0.90447664,0.3344136,0.7531312,0.45991707,0.9273581,idle
0.390789,0.02060277,-0.4156506,0.9999106,0.40608916,0.0011024625,-0.39412233,0.9998062,0.37424412,0.0016165855,-0.38794443,0.9997671,0.4219029,0.0127215665,-0.22652361,0.9996646,0.36398417,0.013207125,-0.19168636,0.9995072,0.40209323,0.039077945,-0.35210305,0.9999138,0.38096,0.038426958,-0.34430042,0.9998924,0.4623528,0.1256205,-0.13965644,0.9998091,0.32938635,0.121639654,-0.11018535,0.99981415,0.47399682,0.270298,-0.33742586,0.9809584,0.29985937,0.26029068,-0.27641043,0.96501184,0.4427983,0.24983965,-0.6942511,0.9804973,0.33143076,0.24685241,-0.6322094,0.9746003,0.4308261,0.41809422,-0.009238799,0.99950457,0.34688213,0.41262257,0.009123161,0.99965596,0.43589926,0.5785253,0.072717726,0.9907183,0.33350402,0.5790523,0.15616885,0.99373823,0.4369952,0.7287922,0.397378,0.9860514,0.32460696,0.73558784,0.5418738,0.99110013,0.4253637,0.7500229,0.42200595,0.9049001,0.33075148,0.7524528,0.572334,0.9262282,idle
0.38459474,0.020602275,-0.42577282,0.99991494,0.39992306,0.0011398091,-0.4044568,0.99981636,0.367986,0.0015048722,-0.39852977,0.9997785,0.41449872,0.01270482,-0.24355967,0.9996807,0.35681528,0.013019255,-0.21076123,0.99953175,0.3957115,0.039227393,-0.36454937,0.99991834,0.37423486,0.038421914,-0.35717502,0.99989814,0.45401192,0.1264988,-0.1631985,0.9998156,0.3226351,0.12103918,-0.11786596,0.99981797,0.46873888,0.27085236,-0.33861476,0.98138255,0.28991342,0.25944987,-0.28326517,0.9656676,0.4409236,0.24977158,-0.6704148,0.9810405,0.3216755,0.24803779,-0.6340133,0.9746557,0.42386276,0.41478735,-0.010741764,0.9995253,0.33890077,0.40969238,0.010639882,0.9996638,0.4322633,0.57350147,0.061485905,0.9905623,0.32866666,0.57741624,0.15592113,0.99359083,0.43674207,0.72643405,0.398966,0.98610777,0.32440883,0.73498,0.5218403,0.9910369,0.4258593,0.74758154,0.4244985,0.9039767,0.33167797,0.7522281,0.55042577,0.92550176,idle
0.37938577,0.021244226,-0.37624872,0.999913,0.39387816,0.0024145914,-0.35639012,0.99981296,0.36414558,0.001838435,-0.3536779,0.99977887,0.40649447,0.013462586,-0.21209018,0.9996634,0.35177287,0.013212277,-0.19825509,0.9995385,0.38987666,0.03952315,-0.32071316,0.999914,0.36888868,0.038763765,-0.3173719,0.9998969,0.44598666,0.12702394,-0.14463308,0.99980736,0.31447226,0.120955795,-0.11042174,0.99981827,0.4642194,0.27077928,-0.28144938,0.9802524,0.28265056,0.2595354,-0.25747558,0.966779,0.43667087,0.24921492,-0.5637619,0.97988003,0.31582564,0.24805151,-0.5594673,0.9752935,0.41525984,0.4142915,-0.010840252,0.9995218,0.33146933,0.4078885,0.010731074,0.9996584,0.42666912,0.57281864,0.07621467,0.9899862,0.3256211,0.575217,0.13924143,0.99331486,0.4370842,0.72625655,0.3796648,0.9859397,0.32345584,0.73446316,0.43385917,0.99085087,0.42706212,0.7477802,0.40159932,0.9031053,0.33064276,0.75186974,0.4570961,0.92468125,idle
0.37217528,0.021867165,-0.4033137,0.999911,0.38751876,0.0034841269,-0.38156503,0.99980795,0.35851806,0.002226648,-0.3811706,0.9997763,0.3999206,0.01368363,-0.22781432,0.9996461,0.3453723,0.012941564,-0.22605109,0.99953824,0.38241628,0.03982211,-0.34432146,0.9999099,0.3615506,0.039017364,-0.34415382,0.99989563,0.4393282,0.12780355,-0.14661425,0.9997972,0.30552456,0.12087604,-0.12873363,0.9998181,0.45717525,0.27079776,-0.29194865,0.9794191,0.27474755,0.25960106,-0.26489154,0.96794623,0.4318224,0.2499383,-0.59303916,0.97928476,0.3059278,0.248156,-0.5672562,0.9761664,0.40610662,0.41204542,-0.009048875,0.99948883,0.3243031,0.40611714,0.008968812,0.99964345,0.41885367,0.57314765,0.08892371,0.9890887,0.32137027,0.57517326,0.11451294,0.99310744,0.4333377,0.72454274,0.4182211,0.9848188,0.32301205,0.73477745,0.42563853,0.99054784,0.42419195,0.74531007,0.44393173,0.9000568,0.33050367,0.75190747,0.4500064,0.92267793,idle
0.36742783,0.021744521,-0.43449956,0.99991184,0.38211864,0.0034605952,-0.41505852,0.99981064,0.353141,0.0022239008,-0.41493922,0.9997816,0.39435092,0.013672606,-0.2610355,0.9996481,0.3391803,0.012933741,-0.26184157,0.9995571,0.3776382,0.039816793,-0.37448305,0.99990994,0.3569364,0.039015606,-0.37473434,0.9998988,0.43271297,0.1282933,-0.16978669,0.9997942,0.29692087,0.12087672,-0.1590243,0.9998257,0.44481674,0.2743793,-0.29458052,0.97653794,0.26604885,0.26002333,-0.308448,0.96941966,0.4254663,0.249938,-0.60150945,0.9780534,0.30083203,0.24733916,-0.6383254,0.9773608,0.3989539,0.41189018,-0.006406706,0.9994787,0.31810293,0.40635958,0.0063266135,0.9996471,0.41578683,0.5746048,0.10843645,0.9889295,0.3169251,0.5757914,0.119986095,0.9931597,0.43362546,0.72480017,0.4405151,0.98485106,0.32227993,0.7362565,0.42764983,0.99054754,0.42451128,0.7455053,0.4662958,0.90193695,0.33035466,0.7524976,0.4555199,0.92306805,idle
0.3610051,0.021655483,-0.3866846,0.99991375,0.37536603,0.003282554,-0.36604515,0.99981445,0.34613335,0.0022250586,-0.36728436,0.99978876,0.38810533,0.013322702,-0.2155371,0.99965024,0.33234924,0.012926903,-0.22463754,0.9995808,0.37196922,0.039811432,-0.32824832,0.99991095,0.35027695,0.039045412,-0.33045238,0.999903,0.42532015,0.12836462,-0.13592191,0.999791,0.29049864,0.12086142,-0.14018324,0.99983233,0.43702793,0.27467972,-0.25313845,0.97244626,0.258208,0.2575607,-0.2760555,0.97086793,0.41575265,0.24911228,-0.5498287,0.9758624,0.2990325,0.2466349,-0.56077695,0.9780872,0.39585426,0.41165012,-0.0046266154,0.9994866,0.31373507,0.40625986,0.0045178263,0.99965185,0.41133565,0.5750058,0.10638984,0.9884818,0.3148319,0.5754678,0.11405927,0.9929941,0.43108168,0.7249908,0.44013065,0.9843933,0.3213234,0.7360628,0.43588114,0.9903221,0.4237135,0.74566823,0.46820664,0.9003261,0.3292145,0.7512225,0.4632113,0.9216711,idle
0.35492855,0.021202257,-0.3942259,0.9999166,0.36979556,0.002528581,-0.37402847,0.99982065,0.33980325,0.0018630789,-0.37307018,0.99979687,0.38322943,0.0121689765,-0.22296396,0.99965554,0.32597572,0.012684556,-0.22697814,0.9996012,0.36588117,0.039711095,-0.335478,0.9999132,0.34422928,0.039023183,-0.33469942,0.99990755,0.42007917,0.12822726,-0.14379504,0.9997928,0.28621078,0.120857164,-0.13899876,0.9998379,0.43269363,0.2746894,-0.26625445,0.96938735,0.25492126,0.2576458,-0.27591854,0.9719562,0.41330153,0.2507073,-0.5698945,0.97459185,0.29406166,0.24655458,-0.571281,0.97870374,0.3945021,0.41161352,-0.0030902622,0.9995034,0.31146878,0.40635058,0.002953872,0.99965864,0.41334444,0.5751766,0.101217344,0.9884681,0.31486285,0.57549727,0.12035298,0.99301326,0.43089986,0.72462887,0.4343996,0.9846283,0.32077834,0.7346474,0.4449041,0.99029976,0.4227647,0.7453936,0.4614769,0.9011618,0.32860744,0.74809206,0.47606927,0.9206757,idle
0.35057777,0.01998083,-0.38510865,0.99991685,0.36487797,0.0014443656,-0.36604577,0.99982184,0.33468822,0.0007361147,-0.3650644,0.99979985,0.3774138,0.011388327,-0.22009473,0.99965256,0.32114175,0.01227761,-0.21980254,0.9996135,0.36131078,0.039031435,-0.3287056,0.9999131,0.33974436,0.03849816,-0.32771358,0.9999101,0.41540375,0.12820832,-0.14004631,0.99979246,0.28338072,0.12111475,-0.13681851,0.9998429,0.42961472,0.27477485,-0.23573244,0.9643262,0.25231698,0.25772196,-0.27348563,0.97315717,0.4132877,0.2529597,-0.5165795,0.972788,0.28917664,0.24626213,-0.5668164,0.9796509,0.39399046,0.41164812,-0.0021030633,0.9995157,0.31073087,0.40687907,0.0019833075,0.9996672,0.41418996,0.5766239,0.09957616,0.9886773,0.31464726,0.57559776,0.12323092,0.9931555,0.43051776,0.72672975,0.4285288,0.98507255,0.32089004,0.7347791,0.45112,0.99037635,0.42211574,0.74734634,0.453724,0.9040258,0.3287343,0.74832547,0.4803372,0.92093533,idle
