x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.48847905,0.1789809,-0.45705104,0.9999619,0.50131434,0.16666934,-0.43884045,0.9999277,0.47896895,0.15692155,-0.435995,0.9998941,0.509596,0.17543584,-0.28719777,0.99991125,0.46796626,0.16083986,-0.268329,0.9998289,0.4916509,0.19799522,-0.39590546,0.99996835,0.4773715,0.19175352,-0.3912899,0.9999601,0.5256797,0.2975677,-0.16942693,0.999898,0.4063793,0.22374363,-0.1507077,0.9999209,0.5100126,0.43054152,-0.30578944,0.9908728,0.34376252,0.31416246,-0.29915676,0.9502148,0.4673577,0.3695388,-0.59746236,0.97922003,0.40720177,0.32857525,-0.6205869,0.95045143,0.42306906,0.49031585,-0.012574008,0.9994943,0.35738057,0.45694143,0.012460038,0.99957794,0.43405634,0.66453457,-0.114820674,0.99679977,0.31999773,0.6396717,-0.027655337,0.994833,0.42801672,0.8369922,0.18336897,0.99469805,0.3184455,0.8159208,0.23908627,0.99040306,0.4194911,0.852025,0.203337,0.931263,0.32247695,0.8347537,0.25890043,0.928265,idle
0.47488156,0.16967368,-0.45558032,0.99996126,0.48728433,0.15633698,-0.43634486,0.999928,0.4642527,0.14933716,-0.4345006,0.9998923,0.49634832,0.16459782,-0.282347,0.9999143,0.45362622,0.15400977,-0.26903376,0.99982643,0.47869492,0.18807402,-0.3941179,0.99996966,0.46427774,0.18283251,-0.3909756,0.99996126,0.51677036,0.2882964,-0.16217092,0.9999059,0.39457056,0.22340706,-0.16266342,0.99991727,0.508902,0.42072174,-0.29614002,0.99086386,0.33463472,0.31664124,-0.31724018,0.95298284,0.46392912,0.3679386,-0.59469366,0.9793055,0.4001271,0.3280321,-0.63507056,0.95257246,0.42340142,0.4888463,0.0015874436,0.9994344,0.35504708,0.45910242,-0.001671923,0.99949837,0.43467784,0.6645058,-0.08718993,0.9963985,0.33432052,0.65540355,-0.034342255,0.9938939,0.4272379,0.83626616,0.22510883,0.99326265,0.32253778,0.8294419,0.22630298,0.98933893,0.4175768,0.85182875,0.2475017,0.92243373,0.3228838,0.8510383,0.24616387,0.916784,idle
0.45944872,0.1680441,-0.4512624,0.9999626,0.471799,0.15419893,-0.43080372,0.9999314,0.44947156,0.14832082,-0.42925256,0.999896,0.48282975,0.16438246,-0.2751057,0.9999193,0.437076,0.1533679,-0.26421568,0.99983156,0.4644876,0.1879628,-0.39009535,0.99997157,0.4497159,0.18252642,-0.38756138,0.99996334,0.50426,0.2870972,-0.15552475,0.9999133,0.38050038,0.23002237,-0.16132294,0.9999134,0.5036957,0.41855633,-0.28801867,0.99080217,0.32703632,0.33684224,-0.3172086,0.9553613,0.46012783,0.36776623,-0.5898342,0.9798759,0.39314723,0.32957423,-0.6391542,0.9542784,0.42344308,0.49108782,0.011751123,0.9994097,0.35487252,0.47308683,-0.011830073,0.99944764,0.4362715,0.66866964,-0.05987113,0.99564916,0.3448153,0.6716803,-0.039460715,0.99290246,0.4268784,0.8382387,0.24878974,0.9912851,0.32990518,0.83587414,0.22179332,0.9878477,0.41594332,0.8535148,0.2709741,0.91318953,0.32853645,0.8569914,0.24111478,0.90228707,idle
0.44238678,0.17412537,-0.4614726,0.9999657,0.4551085,0.16182181,-0.44035643,0.99993736,0.4322775,0.15281373,-0.43940824,0.9999048,0.4665857,0.17229451,-0.2848127,0.9999265,0.41946802,0.15563408,-0.27744025,0.99984574,0.4471523,0.19442433,-0.40088716,0.99997413,0.4311089,0.18626866,-0.39922932,0.99996656,0.49107164,0.291777,-0.16637984,0.9999205,0.3672289,0.2543133,-0.18397938,0.9999137,0.4969144,0.42324868,-0.30711514,0.9910803,0.32087642,0.3658042,-0.34503132,0.95900494,0.4598363,0.36977154,-0.6198832,0.98109186,0.3851921,0.35338303,-0.6436512,0.9573574,0.42403764,0.50591147,0.016302045,0.9994396,0.35537916,0.49621993,-0.016381469,0.9994525,0.4442397,0.6728867,-0.14669721,0.9956631,0.34645355,0.68152696,-0.043891806,0.99287987,0.42594847,0.83025116,0.19661334,0.9909551,0.32850906,0.8308612,0.22071806,0.98763126,0.41203395,0.844146,0.21972516,0.9137121,0.32684585,0.8486621,0.24018116,0.89219785,idle
0.43936905,0.17623253,-0.4337079,0.9999686,0.44981107,0.16559178,-0.4095336,0.99994296,0.427039,0.15337877,-0.41128993,0.99991316,0.4556488,0.17603157,-0.25502852,0.9999332,0.40931183,0.16314769,-0.25579253,0.999859,0.44497824,0.19754545,-0.37222248,0.99997646,0.42759395,0.18899901,-0.37457138,0.9999695,0.4822536,0.2902185,-0.15126535,0.9999271,0.36078578,0.2719516,-0.18142179,0.9999108,0.49512762,0.41999006,-0.28266707,0.99116856,0.31673443,0.38562864,-0.35489666,0.96273744,0.46058792,0.3733619,-0.60201174,0.9824032,0.3848717,0.3693351,-0.6254489,0.9608318,0.42726678,0.518725,0.028506497,0.9994901,0.35918206,0.5127385,-0.028511181,0.9994875,0.46568522,0.672557,-0.2868219,0.99576914,0.34815702,0.68645513,-0.04112256,0.99255043,0.4254868,0.8282513,-0.016202444,0.9908795,0.33169764,0.8351918,0.23731394,0.98705685,0.4082448,0.84319425,0.0041980227,0.9180447,0.3281297,0.8534937,0.2569997,0.8823708,idle
0.43712416,0.17697787,-0.4134825,0.99997115,0.44788712,0.16328281,-0.38271523,0.9999478,0.42329162,0.15645358,-0.39538395,0.99992067,0.45405936,0.17131734,-0.21114664,0.9999385,0.4086638,0.16438676,-0.23980066,0.99987143,0.4436388,0.19672984,-0.34531918,0.99997836,0.42601162,0.19145793,-0.3661601,0.9999721,0.48309487,0.27695316,-0.08975865,0.9999311,0.3613825,0.2659165,-0.16720861,0.999913,0.49649367,0.4032988,-0.24152255,0.99019,0.32237712,0.37970078,-0.33858013,0.9662039,0.4621219,0.3599786,-0.574238,0.98253864,0.39043108,0.3591967,-0.59380466,0.9639861,0.43684858,0.5150357,0.040963776,0.99953413,0.36991277,0.51104057,-0.04100904,0.999516,0.4848484,0.6649428,-0.25779277,0.995807,0.35370967,0.683094,-0.038764577,0.9926378,0.4443466,0.823474,-0.034573946,0.9911253,0.33067197,0.83019394,0.23073694,0.9869361,0.422197,0.8408367,-0.019238425,0.9236192,0.32361916,0.8498732,0.25064313,0.8747602,idle
0.44508702,0.16909361,-0.4113695,0.9999736,0.45377168,0.15171613,-0.3841512,0.9999523,0.43037295,0.15037832,-0.39364392,0.9999277,0.4574775,0.15764402,-0.21194604,0.99994373,0.41137943,0.15948549,-0.25265998,0.9998833,0.45015144,0.18755968,-0.34658018,0.99998015,0.43512622,0.18812159,-0.3597225,0.9999746,0.48805404,0.26500183,-0.09758262,0.9999341,0.36729068,0.2605089,-0.18819715,0.9999187,0.4973258,0.39449883,-0.24231255,0.9894092,0.3263275,0.37539998,-0.35416582,0.9692902,0.47518474,0.34990254,-0.5757219,0.9824717,0.39621106,0.3548792,-0.60938424,0.966906,0.44986725,0.5142115,0.042322822,0.9995584,0.3821297,0.50776243,-0.042373795,0.999533,0.50668246,0.6542753,-0.2323735,0.9956162,0.3575413,0.679402,-0.10745343,0.9929929,0.49115366,0.81580585,0.036162995,0.99089015,0.33164558,0.83156407,0.10282294,0.9874208,0.47392088,0.83991486,0.055810463,0.9269971,0.32480052,0.8499261,0.11528151,0.8739738,idle
0.45259658,0.16563629,-0.39246708,0.99997604,0.46385694,0.14804333,-0.36117986,0.9999568,0.44102436,0.14665872,-0.3829353,0.9999346,0.46635565,0.15335181,-0.18162596,0.99994886,0.4235158,0.15470593,-0.2566187,0.9998946,0.45756188,0.18453059,-0.32393435,0.999982,0.44090718,0.18517713,-0.35888183,0.99997705,0.4936239,0.26342106,-0.058223426,0.99993867,0.37429038,0.25784168,-0.1967146,0.99992543,0.50358045,0.39636365,-0.20126793,0.9882151,0.34111238,0.37658536,-0.3606979,0.9720803,0.4948834,0.34837833,-0.5673805,0.98238504,0.409542,0.35133255,-0.61492777,0.9697688,0.46159673,0.5121927,0.05068643,0.99959195,0.39411414,0.51076955,-0.05076877,0.99956214,0.5271274,0.6556665,-0.080806665,0.9955539,0.36269,0.6796581,-0.08721204,0.99330866,0.550826,0.8168545,0.18204525,0.99110544,0.33299658,0.83198375,0.15642925,0.9880398,0.53406703,0.846432,0.1995785,0.93012184,0.3269117,0.84754556,0.17455722,0.8746684,idle
0.47577506,0.1684921,-0.38659948,0.99997824,0.4767343,0.15224952,-0.3567863,0.99996084,0.46025467,0.14916451,-0.37904948,0.9999409,0.46861258,0.15863402,-0.18168606,0.9999533,0.437147,0.15500267,-0.26273817,0.99990493,0.47804433,0.18750468,-0.31900468,0.9999836,0.46673256,0.18545601,-0.35723084,0.99997926,0.50214493,0.27025923,-0.062002975,0.99994206,0.38371453,0.2599057,-0.20237763,0.999932,0.5121836,0.4018563,-0.19256684,0.98570913,0.35796648,0.37789324,-0.36153567,0.97456783,0.5128196,0.35761738,-0.53879654,0.9811667,0.43343773,0.3527049,-0.60411555,0.9723195,0.47513825,0.5163729,0.04509161,0.9996177,0.40754122,0.51959836,-0.045223355,0.99958915,0.54619116,0.6575292,0.01608621,0.99555,0.3681907,0.6832946,-0.029686248,0.9936837,0.592039,0.81891066,0.2743091,0.9915123,0.33194962,0.83226836,0.25288764,0.9888048,0.57929766,0.84740394,0.2919342,0.93269855,0.3259041,0.84975964,0.27358395,0.87715584,idle
0.49913588,0.17849536,-0.37723976,0.9999802,0.49866313,0.1600226,-0.34702584,0.9999643,0.48363847,0.15987703,-0.36937523,0.9999465,0.48981246,0.16672923,-0.17209004,0.9999571,0.45881048,0.16921459,-0.2611795,0.9999141,0.50049466,0.19620892,-0.31026733,0.999985,0.49015713,0.1958826,-0.34668285,0.9999812,0.5207013,0.27657548,-0.06220259,0.999944,0.40413913,0.2727542,-0.19791389,0.9999375,0.5331768,0.40938312,-0.19475535,0.9840973,0.3796863,0.39286128,-0.3655845,0.97680765,0.5322443,0.37100688,-0.5345216,0.98085284,0.45280552,0.36488372,-0.62018555,0.9746779,0.49861893,0.5321535,0.039545707,0.9996378,0.4287107,0.53650445,-0.03965457,0.9996127,0.569137,0.67566866,0.030523688,0.99560434,0.37758258,0.6863813,-0.036755662,0.9940866,0.6121224,0.8300861,0.32639134,0.99184,0.33588418,0.83119404,0.23389824,0.98957807,0.60279673,0.8577948,0.3473927,0.9343738,0.32789737,0.850567,0.25289467,0.8810194,idle
0.5236505,0.18742436,-0.28591758,0.9999818,0.5252887,0.16800363,-0.25435394,0.99996734,0.50772893,0.16851456,-0.27821946,0.99995136,0.5194911,0.17508277,-0.08216853,0.9999599,0.4827971,0.17904975,-0.19318596,0.9999223,0.52637154,0.2050315,-0.22096546,0.9999859,0.51499647,0.20631193,-0.2538902,0.9999828,0.5469497,0.28441477,0.038841143,0.99994457,0.43324357,0.28297684,-0.19580616,0.999942,0.56281173,0.4110084,-0.087643884,0.9809561,0.40986323,0.40246695,-0.3497141,0.978949,0.55834943,0.37874317,-0.41193327,0.9812463,0.47713456,0.37145105,-0.5669535,0.97699755,0.5262423,0.5417725,0.059354085,0.99966663,0.45624393,0.54683745,-0.059445273,0.9996412,0.59502757,0.6850173,0.051018666,0.9956907,0.39553747,0.6950235,-0.040160086,0.99454206,0.6190112,0.83681715,0.31278864,0.9923127,0.3339222,0.8332414,0.21835586,0.9903883,0.605599,0.86219674,0.3309123,0.9387322,0.32521144,0.8501684,0.23499587,0.8853717,idle
0.54165685,0.18792571,-0.262947,0.99998283,0.54723984,0.16831051,-0.23152909,0.99996954,0.52511257,0.16932908,-0.24482302,0.9999553,0.5489292,0.17557664,-0.060640443,0.9999612,0.5041803,0.18004707,-0.123335704,0.99992937,0.54816103,0.20572503,-0.19957548,0.99998605,0.5333978,0.20697306,-0.21789388,0.9999839,0.57469714,0.2846178,0.050029762,0.99994123,0.46316093,0.28559372,-0.095802136,0.9999453,0.5910492,0.40721145,-0.097696796,0.97611564,0.43939814,0.40422156,-0.25232825,0.9808144,0.5880135,0.37773305,-0.43316323,0.98070604,0.50432,0.37205684,-0.45989165,0.9789864,0.5550067,0.53857666,0.050506525,0.9996907,0.4845972,0.54090613,-0.050590467,0.9996669,0.6141774,0.68331134,0.013153434,0.99551743,0.42217192,0.688634,-0.07434793,0.9949553,0.62253726,0.8371745,0.2862458,0.99241203,0.3486527,0.8293117,0.12703437,0.99104625,0.6064719,0.862676,0.30473897,0.94103473,0.34010333,0.8467957,0.14032868,0.8884183,idle
0.5576669,0.17737761,-0.25129718,0.9999841,0.5634135,0.15802194,-0.22060256,0.999972,0.5406653,0.16097441,-0.23177393,0.9999591,0.56492484,0.16553403,-0.050239682,0.9999634,0.52055204,0.1737948,-0.10329239,0.99993587,0.5633443,0.19652504,-0.18799141,0.99998665,0.5490705,0.19922183,-0.20350996,0.99998504,0.59553915,0.27336657,0.060649246,0.9999422,0.48513955,0.2799216,-0.0721277,0.9999482,0.6095,0.39981872,-0.08748384,0.97299767,0.4602073,0.3959308,-0.24339108,0.9825357,0.6126764,0.36776638,-0.4256536,0.981207,0.52532524,0.35776988,-0.46350938,0.9807991,0.57790315,0.53510743,0.046574637,0.9997149,0.50928396,0.53311205,-0.046654567,0.99969065,0.6191741,0.68143845,-0.021691721,0.995515,0.45449537,0.685327,-0.073042974,0.99532956,0.62415546,0.83599865,0.19721434,0.9927022,0.38355348,0.82714176,0.10044638,0.99162614,0.6086718,0.8615687,0.2087461,0.9433478,0.37490684,0.84596723,0.110115446,0.8898344,idle
0.5662631,0.15758084,-0.37556458,0.99998456,0.5722883,0.14017145,-0.35045302,0.9999732,0.5498923,0.14291044,-0.36091143,0.9999617,0.57563716,0.14782642,-0.17019972,0.99996275,0.53421557,0.154706,-0.22011276,0.99994075,0.57336175,0.17640077,-0.30573332,0.99998647,0.55780226,0.17840983,-0.32018754,0.9999856,0.6116624,0.24813953,-0.013785437,0.99994165,0.4984602,0.2656785,-0.13407758,0.99994725,0.6352968,0.37411228,-0.13188906,0.9734005,0.47380227,0.39271134,-0.28517243,0.9838219,0.62438,0.3408881,-0.45773053,0.9819746,0.5390452,0.3294358,-0.5602622,0.98206997,0.59559065,0.5148042,0.045756567,0.999717,0.5281766,0.51888365,-0.045843698,0.999685,0.6201926,0.68072766,0.041758686,0.99514693,0.49730197,0.68139267,0.008944469,0.9953601,0.62543094,0.83586174,0.24708574,0.99269444,0.4511103,0.827011,0.26241717,0.9916047,0.6087979,0.8612808,0.2561554,0.94337,0.44185615,0.84471637,0.27913225,0.8859198,idle
0.57442075,0.1409869,-0.3741526,0.99998385,0.5801628,0.123189405,-0.34213322,0.99997175,0.5587983,0.12536052,-0.35375682,0.9999609,0.58346117,0.13097242,-0.16648294,0.99995726,0.54178447,0.13844042,-0.21351342,0.9999423,0.5808153,0.15745415,-0.29609615,0.9999855,0.56628436,0.16133215,-0.3095158,0.9999854,0.62380606,0.2309117,-0.013028098,0.99994195,0.508139,0.24625815,-0.12043979,0.9999452,0.65212214,0.35360828,-0.12090971,0.97416013,0.4829018,0.37596065,-0.25333,0.98499674,0.63376325,0.31136033,-0.45609266,0.9828306,0.54210836,0.31060642,-0.52743816,0.98336405,0.6052982,0.49254188,0.045132793,0.99967796,0.5401865,0.49890536,-0.04526322,0.99962205,0.6224688,0.67410475,0.029572943,0.99441004,0.539093,0.676714,-0.011784023,0.995041,0.63247055,0.83567744,0.24028187,0.9922671,0.52205247,0.8286636,0.23337138,0.9909559,0.62243116,0.8608131,0.2505215,0.9423709,0.5182749,0.8482534,0.24869406,0.8800621,idle
