x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.45070785,0.22270782,-0.22806482,0.9996401,0.4657945,0.20559388,-0.22100799,0.99925655,0.44585323,0.2067868,-0.20484802,0.9992187,0.48466864,0.2167421,-0.14155883,0.99889046,0.4443624,0.21526265,-0.061026264,0.9984579,0.4597997,0.240003,-0.1950602,0.9991772,0.44651595,0.24010755,-0.173179,0.9990339,0.5244972,0.31528813,-0.13687691,0.99766815,0.40694642,0.31740645,0.024154017,0.9992378,0.50290376,0.3987909,-0.34670272,0.9751873,0.3674523,0.4217069,-0.12798473,0.9428758,0.45636064,0.2875534,-0.5360368,0.9788227,0.38632998,0.31254736,-0.40411115,0.9667951,0.49286896,0.5846023,-0.04198329,0.9991694,0.41910988,0.58025736,0.04190519,0.9996171,0.49764603,0.75730354,0.043253668,0.9973874,0.39160916,0.751108,0.11171869,0.99647737,0.507376,0.9099503,0.27069038,0.9943508,0.37751657,0.9135009,0.2972611,0.99590117,0.50314355,0.9307472,0.284548,0.89209634,0.39144656,0.93712395,0.3068194,0.95575947,idle
0.44648337,0.22257099,-0.23108867,0.9996395,0.46128288,0.20539966,-0.2237303,0.99925494,0.44178686,0.20688945,-0.20782903,0.9992177,0.48011595,0.21666546,-0.14250952,0.99889106,0.44009352,0.21547651,-0.0631849,0.9984413,0.45563596,0.2397662,-0.19724405,0.99916947,0.4426259,0.24014239,-0.17584665,0.9990331,0.5202509,0.3155573,-0.13672341,0.9976115,0.40243474,0.3174572,0.022303287,0.99924767,0.4984633,0.39884344,-0.3458238,0.97516525,0.36233848,0.42163542,-0.13134693,0.941646,0.45084062,0.28767812,-0.53689766,0.9789594,0.38093928,0.31302023,-0.41146645,0.96617514,0.4873632,0.58564734,-0.041607894,0.99915385,0.41468197,0.58090705,0.04151091,0.9996279,0.49568743,0.75784427,0.062160306,0.99733967,0.38890997,0.75286776,0.086530074,0.99660957,0.50664747,0.9091715,0.30115175,0.9942931,0.37753266,0.9165748,0.25231978,0.9960392,0.50321174,0.9301604,0.31593382,0.89227825,0.39173612,0.9386177,0.25989437,0.9564784,idle
0.4418207,0.22208071,-0.23813634,0.99963397,0.4569215,0.20484588,-0.22724493,0.9992433,0.4375648,0.20629525,-0.21168406,0.9992084,0.47563297,0.21637331,-0.14208567,0.99885875,0.4357492,0.21495654,-0.064474136,0.9983992,0.451253,0.2391008,-0.20117123,0.9991454,0.43824738,0.2394404,-0.18062583,0.9990207,0.5153259,0.31566998,-0.13340387,0.99749625,0.3971327,0.3172841,0.019545687,0.99924546,0.49371728,0.39905015,-0.35504147,0.9753385,0.35449344,0.4209049,-0.13159135,0.94112253,0.44522414,0.2878357,-0.5784146,0.97918934,0.37522754,0.31305596,-0.43547672,0.9653536,0.4823339,0.585304,-0.03743855,0.9991523,0.40983424,0.5805185,0.037325427,0.9996404,0.49390835,0.7579457,0.06410961,0.99734896,0.38512617,0.7536839,0.07091204,0.99678594,0.5049991,0.9093074,0.30148312,0.9943691,0.37633383,0.91885257,0.23687741,0.9962304,0.5003414,0.9307798,0.3157654,0.89479035,0.390394,0.9401997,0.24376714,0.957244,idle
0.43813667,0.22140886,-0.23887698,0.9996438,0.45309868,0.20412663,-0.2275625,0.99926376,0.4338935,0.20559402,-0.21180773,0.99922866,0.47214347,0.21610238,-0.14193852,0.9988884,0.43234268,0.21455199,-0.065224946,0.998429,0.4474222,0.23849306,-0.20132478,0.9991645,0.43469447,0.23891586,-0.18104967,0.99904877,0.51025,0.31585246,-0.13148767,0.99750507,0.39324313,0.31682009,0.018240038,0.99925905,0.48868674,0.39983985,-0.35489362,0.97590333,0.34855384,0.418199,-0.13778816,0.941248,0.44108072,0.28804928,-0.56764746,0.97970456,0.37216622,0.31169355,-0.43589586,0.9650797,0.47726703,0.58509177,-0.037049834,0.99914986,0.4051176,0.58021504,0.0369331,0.99965185,0.49084893,0.75764877,0.06654191,0.9973766,0.38306126,0.7540401,0.07315232,0.9969357,0.5047995,0.90911233,0.2991498,0.9944671,0.37634414,0.91901755,0.23327096,0.9963911,0.4998588,0.9301817,0.31293148,0.896754,0.39011824,0.94017017,0.23972325,0.9581217,idle
0.43470725,0.22024666,-0.24266465,0.9996577,0.44945186,0.20301871,-0.22993115,0.9992917,0.43012148,0.20477003,-0.21561623,0.9992562,0.46874022,0.21538953,-0.14105268,0.9989314,0.42839584,0.21388574,-0.066687636,0.9984751,0.44378647,0.23740551,-0.20366411,0.99920017,0.43105215,0.23784241,-0.18504564,0.9990934,0.5064057,0.31598514,-0.12869301,0.99755955,0.38913295,0.3152067,0.015439846,0.99927264,0.4841844,0.40095514,-0.3470659,0.9763989,0.3428297,0.4167346,-0.14648965,0.9411339,0.43699145,0.2876422,-0.5653963,0.98016167,0.3679684,0.31070688,-0.4385639,0.96466213,0.47423658,0.5812704,-0.035942085,0.99915147,0.40147144,0.5783018,0.035819195,0.9996582,0.488136,0.75633335,0.05894642,0.99744093,0.38143528,0.75369585,0.07147046,0.9970675,0.5021112,0.9088081,0.30633447,0.9946103,0.37659127,0.9196108,0.24344018,0.9965443,0.4977649,0.92952627,0.32188517,0.89759904,0.39137208,0.9406234,0.25147784,0.95885825,idle
0.43260145,0.21921054,-0.24253035,0.9996665,0.447272,0.20208459,-0.22987607,0.9993067,0.42750782,0.20361839,-0.21580371,0.9992744,0.46564633,0.21425693,-0.1339453,0.9989463,0.42546803,0.21276799,-0.066947944,0.99851006,0.44134903,0.23649819,-0.2031976,0.99922407,0.4287696,0.23665737,-0.1850924,0.99913037,0.50393766,0.31578436,-0.11761818,0.997588,0.3844552,0.31288046,0.011422227,0.9992869,0.48220468,0.4009243,-0.3336304,0.97656024,0.3375102,0.4153053,-0.16111207,0.9423965,0.43487126,0.28646877,-0.5623716,0.9804505,0.36331046,0.31065372,-0.44505325,0.9647672,0.47289371,0.57862604,-0.03228516,0.9991549,0.39880064,0.5753798,0.032156132,0.9996612,0.48558903,0.7563006,0.05143267,0.99750334,0.38057038,0.7535445,0.06207631,0.99718857,0.49713683,0.90842736,0.29102188,0.9947211,0.37586612,0.91990143,0.23114455,0.99666137,0.4905364,0.92935383,0.30581403,0.8985122,0.391001,0.9406534,0.23892191,0.9589649,idle
0.42997923,0.21709128,-0.24111322,0.9996742,0.445121,0.20032334,-0.22698009,0.9993149,0.42507315,0.2009997,-0.21453115,0.9992891,0.46334332,0.21261714,-0.12263732,0.99895835,0.4228329,0.21065997,-0.06541918,0.9985492,0.43859506,0.23510358,-0.20002684,0.9992467,0.42580572,0.23469682,-0.18400192,0.9991677,0.5010297,0.31442922,-0.10335801,0.99759114,0.3810803,0.31037825,0.011596813,0.9993049,0.4810187,0.4009518,-0.30634317,0.97650176,0.3344335,0.41357258,-0.1604697,0.94385034,0.43197218,0.28591767,-0.5156292,0.9804465,0.36166793,0.31008175,-0.43426442,0.96511316,0.4719383,0.57465965,-0.029102052,0.9991637,0.39767733,0.57254815,0.028978443,0.99966687,0.48157325,0.75619704,0.04860236,0.9975773,0.37942535,0.7534174,0.054725446,0.997309,0.4904645,0.9084056,0.2989186,0.99481714,0.37611422,0.91993153,0.23503728,0.9967841,0.48272437,0.9292631,0.31544533,0.89943177,0.39161056,0.9410066,0.24385624,0.95932853,idle
0.42768106,0.21701966,-0.25651973,0.99968743,0.4430018,0.2002043,-0.2430069,0.9993425,0.42315277,0.20093894,-0.23152535,0.9993165,0.46127263,0.21222542,-0.13114607,0.9990051,0.42048636,0.21036096,-0.0800661,0.9986174,0.43732506,0.23514678,-0.21313146,0.99928796,0.42415637,0.23461407,-0.19816436,0.9992131,0.50007033,0.3136652,-0.108951196,0.99767375,0.3784515,0.30848944,-0.004621426,0.9993157,0.48000455,0.4008566,-0.3158074,0.97632265,0.33200473,0.41237196,-0.18539256,0.94540083,0.43057126,0.285906,-0.52067244,0.98042446,0.36256096,0.30713686,-0.45784006,0.965596,0.47115007,0.5736201,-0.028788697,0.99919564,0.39601144,0.57210815,0.028670829,0.9996679,0.47833538,0.75837666,-0.0039628916,0.99767655,0.3784917,0.7531907,0.07749865,0.99738467,0.48475868,0.9139087,0.24568589,0.9949858,0.3763371,0.92009354,0.31380415,0.99687874,0.47510272,0.933267,0.26139522,0.90146756,0.3917801,0.9408996,0.32852647,0.9595268,idle
0.42534938,0.21659034,-0.26403815,0.9997001,0.44162077,0.19967738,-0.25139216,0.9993652,0.42160955,0.20086636,-0.23956545,0.99934494,0.45960093,0.2112855,-0.14245066,0.99903554,0.4192137,0.21015216,-0.08956706,0.99868387,0.43598008,0.23461565,-0.22150841,0.9993154,0.42195612,0.2340887,-0.2062064,0.9992501,0.4985817,0.3131374,-0.11066614,0.9977041,0.37725753,0.30637237,-0.011470909,0.99933034,0.4795279,0.40079603,-0.31447035,0.97641474,0.32982725,0.4122922,-0.19176026,0.9472396,0.42840752,0.28471142,-0.52299273,0.98060983,0.36035985,0.30687538,-0.47277355,0.96635205,0.47049323,0.5719576,-0.02873956,0.9992041,0.39560744,0.5708899,0.028624276,0.9996579,0.4746654,0.75634575,-0.011731058,0.9976843,0.37865204,0.75305825,0.09328863,0.9973303,0.47999477,0.91614205,0.1991617,0.99502975,0.37638322,0.92008024,0.3188295,0.9968748,0.46866155,0.93677455,0.21010599,0.90333027,0.39143682,0.9409606,0.33213255,0.9593143,idle
0.4243459,0.21635939,-0.27080032,0.9997097,0.4417202,0.19956897,-0.25798145,0.9993775,0.42049637,0.20078109,-0.24665801,0.9993656,0.45862395,0.21114065,-0.14883685,0.9990419,0.4179632,0.20992531,-0.09759041,0.9987363,0.43576163,0.23460239,-0.22784281,0.9993258,0.42043883,0.23402804,-0.21328227,0.9992742,0.497873,0.31296495,-0.11306882,0.9977049,0.3760296,0.30567247,-0.01834235,0.99935156,0.4790544,0.40133348,-0.30512884,0.9765759,0.3286124,0.4123813,-0.19458501,0.94939077,0.42782578,0.28470668,-0.51243037,0.9809422,0.36035404,0.3060197,-0.47492296,0.96731085,0.4707938,0.56989735,-0.027148563,0.9991876,0.39622897,0.5695388,0.027040685,0.9996465,0.47218174,0.7514937,-8.537753e-05,0.99762684,0.3784908,0.75222874,0.08748059,0.9972925,0.4759175,0.9181757,0.20005937,0.9949862,0.37649682,0.9202204,0.28995734,0.9968629,0.46266055,0.93992406,0.2095058,0.90534675,0.39181975,0.9413741,0.29998165,0.9590649,idle
