x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.44471255,0.27664408,-0.21783416,0.9999574,0.44343176,0.26209086,-0.20059986,0.9999209,0.43269008,0.26091665,-0.21918802,0.9999135,0.43356472,0.26638544,-0.06817443,0.9998806,0.41136593,0.26657972,-0.15972908,0.9998735,0.444668,0.2911803,-0.16438898,0.9999033,0.43762642,0.29104033,-0.19006574,0.9998644,0.45877966,0.35382956,0.02916452,0.9999067,0.35799056,0.34036255,-0.088601105,0.99993616,0.4705915,0.47613758,-0.054405175,0.9662009,0.3229539,0.44934833,-0.21483597,0.97178173,0.49124217,0.40859082,-0.3442477,0.9894197,0.34942824,0.41602716,-0.4542017,0.98523134,0.44676715,0.584398,0.023351725,0.99967706,0.38099486,0.5891596,-0.023335602,0.9998208,0.48693043,0.7480832,0.08029458,0.99352306,0.3634377,0.75999147,-0.013522124,0.9952521,0.51236266,0.8858618,0.23429604,0.9868356,0.3522756,0.90140253,0.19476889,0.9941612,0.50544536,0.9070978,0.2453157,0.9068619,0.3597406,0.917431,0.20683572,0.9319348,idle
0.43714103,0.2772312,-0.23824187,0.9999606,0.4355978,0.26226252,-0.2205532,0.9999266,0.42484245,0.26135984,-0.23898256,0.9999193,0.42590967,0.2668104,-0.08635864,0.9998887,0.40371972,0.26721278,-0.17384814,0.99988323,0.4368368,0.29153016,-0.18386783,0.9999115,0.42960796,0.29163504,-0.20959482,0.999877,0.4488388,0.35490465,0.011778842,0.99991286,0.35160562,0.34047934,-0.09222593,0.99994,0.4558301,0.477632,-0.06615906,0.9642975,0.31177825,0.44760385,-0.21470663,0.97382796,0.47983146,0.4143104,-0.35182136,0.9895747,0.3415785,0.41724095,-0.45278436,0.9861403,0.43870497,0.5826224,0.021627942,0.9996885,0.3739954,0.5886871,-0.021597456,0.99982375,0.47739395,0.7453653,0.050889708,0.99400544,0.3587746,0.75859326,0.017185327,0.9955425,0.5076116,0.88508296,0.21804622,0.9877941,0.3491599,0.9005646,0.24077025,0.99453086,0.5017055,0.90624183,0.22724783,0.9117643,0.3596975,0.9176424,0.2542206,0.9343893,idle
0.4310239,0.27804115,-0.21768706,0.99996275,0.42941585,0.26248533,-0.20019719,0.99993,0.4203053,0.26160568,-0.22007446,0.9999229,0.4191596,0.2666332,-0.07010739,0.9998936,0.3982771,0.26707923,-0.17203462,0.99989074,0.43031853,0.29208946,-0.1646705,0.999918,0.42414132,0.29206648,-0.1921286,0.9998878,0.4379117,0.35458878,0.023442717,0.99991834,0.34271356,0.339016,-0.09859913,0.9999439,0.4427413,0.47572657,-0.053703487,0.96059966,0.30462325,0.44091463,-0.23419496,0.9758212,0.4716565,0.4152285,-0.3396675,0.9891564,0.33897465,0.41555855,-0.4721151,0.9870677,0.43048182,0.5823848,0.021599116,0.99969226,0.36691514,0.58770204,-0.021560587,0.9998218,0.4676136,0.7447421,0.030022949,0.9944006,0.3553781,0.7563199,0.015991574,0.9957284,0.50613797,0.8850861,0.21520546,0.988513,0.34660253,0.8998559,0.23114279,0.9947875,0.49925834,0.9058412,0.22590737,0.9149628,0.35866547,0.91759354,0.24415544,0.93607295,idle
0.42617425,0.27807575,-0.21799366,0.9999655,0.42463508,0.2623873,-0.20226057,0.9999348,0.41616845,0.26133806,-0.224358,0.999928,0.4144464,0.2664913,-0.0755429,0.9999008,0.3935599,0.26614016,-0.18166901,0.9998991,0.4249162,0.29221523,-0.16546328,0.99992496,0.41881973,0.2918448,-0.19605948,0.99989825,0.43236414,0.35430685,0.018594248,0.99992484,0.3354296,0.33737737,-0.10600158,0.9999482,0.44073114,0.47381562,-0.05326469,0.9606681,0.29738408,0.43810463,-0.24126086,0.9776196,0.46557927,0.41182557,-0.32530788,0.98951685,0.33663464,0.4148741,-0.47293052,0.9879072,0.4238917,0.5823018,0.021535646,0.99970317,0.36135924,0.5869785,-0.021501323,0.9998239,0.46184364,0.7443409,0.025486346,0.9947432,0.353657,0.75545174,0.02579158,0.9958538,0.5029113,0.88502705,0.2064323,0.9891156,0.3459846,0.8993452,0.2451669,0.9949688,0.49543634,0.9055769,0.21785803,0.9177308,0.35700655,0.9175674,0.25909537,0.9373615,idle
0.421241,0.27701536,-0.21475121,0.9999673,0.4199838,0.26081353,-0.19904795,0.9999379,0.41107845,0.2593843,-0.22059628,0.9999307,0.40914258,0.26454931,-0.07180747,0.9999057,0.3881541,0.2633328,-0.17357892,0.99990463,0.41958055,0.2915864,-0.16200384,0.99993074,0.41335398,0.29063442,-0.19170979,0.99990714,0.42776918,0.35206234,0.022885282,0.9999303,0.33117804,0.33415428,-0.10257933,0.9999511,0.43770128,0.47252053,-0.0485181,0.95925456,0.29439968,0.43522507,-0.24508624,0.9789669,0.45831838,0.4105705,-0.31481808,0.98958886,0.3358224,0.4074425,-0.47962803,0.9884484,0.42025608,0.5820002,0.022144044,0.9997149,0.35770994,0.58655095,-0.022095587,0.9998244,0.4585669,0.7434808,0.010300497,0.9950448,0.35054758,0.75443083,0.026366716,0.9959178,0.49672708,0.8849744,0.19595164,0.98960435,0.34563813,0.89893043,0.26662195,0.9950192,0.49089894,0.90511346,0.20769438,0.91917664,0.35527974,0.9169115,0.28273934,0.9372885,idle
0.41834316,0.27290758,-0.1734702,0.99996746,0.41747522,0.25707528,-0.1563354,0.9999379,0.40779442,0.25564298,-0.17743514,0.9999305,0.4070573,0.26205578,-0.032730967,0.99990636,0.38433462,0.2601137,-0.1338637,0.99990803,0.41696924,0.28814438,-0.122937724,0.99993396,0.4107336,0.28660455,-0.15208557,0.9999142,0.42398453,0.34789765,0.04739739,0.9999331,0.3298946,0.3295901,-0.06547658,0.9999528,0.43341526,0.47174448,-0.016158888,0.9581297,0.29129642,0.4333814,-0.19929817,0.9801121,0.4553423,0.40038672,-0.2500892,0.98960924,0.33643937,0.4042644,-0.40273333,0.988907,0.4196199,0.5782305,0.020850241,0.9997083,0.35710114,0.585019,-0.020725444,0.9998171,0.45417,0.74253356,0.0109182885,0.9952103,0.35062727,0.75364023,0.024743482,0.99566865,0.49037164,0.88465935,0.1611584,0.98965573,0.34650126,0.89903635,0.2370142,0.9947485,0.48727852,0.9044244,0.16777246,0.9150357,0.35647267,0.9175526,0.25024182,0.9348613,idle
0.41667756,0.27108252,-0.18724447,0.9999672,0.4151222,0.25540763,-0.17312372,0.99993765,0.40548444,0.25451884,-0.19303474,0.99992925,0.4046403,0.2606125,-0.053177346,0.9999077,0.38169175,0.258902,-0.14546834,0.9999099,0.41549128,0.28658238,-0.13735422,0.99993646,0.40926513,0.28502196,-0.16529354,0.9999201,0.42376113,0.34461084,0.03164175,0.99993694,0.32880718,0.3266929,-0.06337035,0.9999542,0.4333489,0.47077468,-0.025092343,0.95903,0.2904232,0.43378454,-0.18443967,0.980909,0.4547902,0.39706936,-0.26516658,0.9899999,0.3353558,0.4008295,-0.3937598,0.9893146,0.4176497,0.56613064,0.011112534,0.9996853,0.3552092,0.5751544,-0.010961091,0.99979836,0.44624725,0.7364693,0.010758931,0.9950305,0.34962386,0.74795336,0.021074051,0.9948355,0.4782048,0.88064206,0.15316048,0.9887489,0.34743005,0.89749473,0.1939962,0.9938533,0.4777215,0.8984609,0.15936404,0.9024259,0.35793224,0.91698706,0.2030228,0.92932016,idle
0.415914,0.26987854,-0.16994032,0.99996567,0.4132343,0.25451508,-0.15435827,0.99993527,0.4046248,0.25384876,-0.17358592,0.9999256,0.40189528,0.25952324,-0.033146378,0.9999065,0.381679,0.2581302,-0.12358792,0.99990934,0.4145646,0.28544554,-0.11976178,0.999937,0.4087103,0.28411385,-0.146444,0.9999244,0.4228626,0.34178331,0.052390944,0.9999396,0.32864836,0.32534733,-0.03703248,0.9999542,0.43141478,0.46966347,-0.004580112,0.9591744,0.2915899,0.4339066,-0.15996975,0.9816044,0.45519248,0.39505303,-0.22926445,0.99028534,0.33639276,0.39929387,-0.37613612,0.9897407,0.41616517,0.56018764,0.008822698,0.9996481,0.3544596,0.57087356,-0.008607607,0.99977165,0.44168502,0.7317926,0.003082867,0.9949396,0.34996834,0.74457896,0.01492694,0.9941469,0.46897855,0.88074845,0.12390882,0.987969,0.3483172,0.8959132,0.17266181,0.99305886,0.46489945,0.8987223,0.1272504,0.8911898,0.358807,0.91584957,0.18005492,0.92512774,idle
0.41610307,0.26951912,-0.17537256,0.99996483,0.4129855,0.25426596,-0.16175355,0.99993396,0.40503716,0.2535824,-0.18044175,0.99992365,0.40027004,0.25865337,-0.042182725,0.9999062,0.3828243,0.25784823,-0.12918015,0.9999096,0.41455564,0.28490707,-0.1252635,0.9999367,0.40899044,0.2838325,-0.15091683,0.99992764,0.42345262,0.3376373,0.04395411,0.9999408,0.33068416,0.3246235,-0.04167205,0.9999526,0.4313089,0.46377718,-0.015602961,0.9584891,0.29210606,0.43209258,-0.15769707,0.9820276,0.45755333,0.3944599,-0.24513848,0.99025685,0.33698997,0.39997742,-0.36870903,0.9898738,0.4177467,0.555734,0.0022034943,0.9995705,0.35713938,0.5661457,-0.0019147543,0.9997233,0.43713164,0.7248606,-0.024604645,0.9948771,0.35083383,0.7384546,0.011878861,0.9935815,0.46320224,0.8795267,0.071374334,0.9875458,0.34871915,0.89333,0.14672127,0.99259144,0.45679373,0.899226,0.07157228,0.88688916,0.3607852,0.9148771,0.15122208,0.92466986,idle
0.41566354,0.2693115,-0.21552643,0.99996585,0.4136464,0.25413653,-0.19877087,0.99993616,0.4042798,0.25335768,-0.21522793,0.99992615,0.4025117,0.25818434,-0.061852433,0.9999096,0.38287476,0.25760868,-0.1403907,0.9999147,0.41476423,0.2845117,-0.15913156,0.99993974,0.40835643,0.2837415,-0.18197876,0.99993277,0.426192,0.33654296,0.040603302,0.99994284,0.33211228,0.32441214,-0.044491637,0.9999538,0.43438062,0.46085253,-0.019868772,0.9592859,0.29395905,0.4307004,-0.15695342,0.9828521,0.45957732,0.39454195,-0.25905553,0.9905297,0.33705685,0.40036663,-0.37736177,0.9902008,0.41898853,0.55432606,0.003159308,0.999517,0.3588918,0.5640219,-0.002865291,0.9996917,0.43279546,0.72377896,-0.04246611,0.9946985,0.3507119,0.7390853,0.0050815856,0.99319357,0.45451456,0.8797385,0.041645654,0.98713267,0.34917703,0.89306074,0.13481711,0.9922339,0.4432114,0.9034742,0.03999474,0.88812923,0.36099067,0.914869,0.13833842,0.92503804,idle
