x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.36771092,0.1490168,-0.30890143,0.9996282,0.38162977,0.13229802,-0.27607745,0.99962384,0.35604662,0.1257732,-0.28904516,0.99962556,0.38637164,0.14540173,-0.08771114,0.9993765,0.33575165,0.13457134,-0.1501567,0.9995046,0.37257972,0.16646124,-0.23872435,0.99934816,0.3553041,0.16224265,-0.25729668,0.9993836,0.39977652,0.27626255,0.014035737,0.99968326,0.26937842,0.24020274,-0.082532994,0.99985725,0.3984378,0.41269952,-0.13587897,0.7934433,0.22515428,0.3648729,-0.2659685,0.956609,0.39809558,0.3878311,-0.5070659,0.7113511,0.31128752,0.33531353,-0.567343,0.8699449,0.35417062,0.5401107,0.037592154,0.99894625,0.27293834,0.54368913,-0.037572145,0.99953914,0.435394,0.69481564,-0.05939909,0.855675,0.21747908,0.7318911,-0.062369503,0.97205675,0.47810617,0.8674899,0.19644055,0.90150136,0.19697632,0.89017904,0.21391872,0.9676678,0.4669017,0.90299195,0.21250978,0.8760734,0.20571712,0.9102817,0.23151214,0.9365024,idle
0.34245932,0.15113412,-0.3459704,0.99966526,0.3562094,0.13484012,-0.31570417,0.9996613,0.33065856,0.12814565,-0.32687113,0.99966276,0.36275718,0.14562273,-0.12849,0.99943864,0.31313127,0.13546611,-0.18220124,0.999554,0.3486472,0.16830567,-0.2748856,0.99941325,0.32930586,0.16427654,-0.291097,0.9994452,0.37993863,0.27449998,-0.020672273,0.9997145,0.24716619,0.23798329,-0.09304039,0.99987096,0.37997928,0.41801828,-0.17521393,0.812951,0.1991965,0.36218092,-0.29445302,0.9604897,0.38214684,0.38569328,-0.54620326,0.7396166,0.285603,0.3349013,-0.60874546,0.8821658,0.33620375,0.5368399,0.029213306,0.9990419,0.25438756,0.5415052,-0.02922536,0.99957687,0.41923007,0.6959805,-0.07253125,0.86995363,0.20710525,0.7321361,-0.053968303,0.9747107,0.4684712,0.8676883,0.1697174,0.9111021,0.19316652,0.88970536,0.23858538,0.9706467,0.45945054,0.90312225,0.18374811,0.886104,0.20564301,0.9102106,0.25789136,0.9370141,idle
0.32589963,0.14500731,-0.3482902,0.99969864,0.33928397,0.12863979,-0.31916156,0.999695,0.31081957,0.12310317,-0.3292598,0.9996962,0.34594768,0.13986555,-0.13679466,0.99949455,0.29438373,0.13025035,-0.185079,0.9995983,0.3321335,0.16560178,-0.27879888,0.99947184,0.3122207,0.16233736,-0.29325992,0.99950063,0.36658964,0.27362677,-0.032101315,0.9997425,0.22850871,0.23557635,-0.0980086,0.999883,0.37442353,0.41208044,-0.208686,0.8307849,0.18549228,0.3593743,-0.30014014,0.96393955,0.3662378,0.36670455,-0.5819868,0.765183,0.27293557,0.32778886,-0.5982253,0.8931149,0.32538012,0.53626406,0.026468357,0.99913114,0.24190855,0.5362459,-0.026475713,0.99961215,0.40424198,0.6969396,-0.09075789,0.882862,0.20539863,0.72919494,-0.056918465,0.97715634,0.44187936,0.87123567,0.16126634,0.9198115,0.19164735,0.8893272,0.25626954,0.97339994,0.42660052,0.907024,0.1756724,0.89523464,0.20527609,0.9102341,0.2776665,0.938676,idle
0.31478098,0.13564649,-0.34137627,0.9997285,0.32796317,0.11702366,-0.31511092,0.9997251,0.30011746,0.11198332,-0.32472628,0.9997259,0.33305162,0.12679832,-0.13825443,0.9995446,0.2841466,0.118954524,-0.18414816,0.99963796,0.32158077,0.1588356,-0.27270848,0.99952453,0.3019145,0.1561509,-0.28649357,0.99955046,0.3572243,0.25743252,-0.02880386,0.9997676,0.21913227,0.22549649,-0.10010137,0.99989337,0.3671947,0.407128,-0.19335274,0.84632456,0.17835516,0.35864237,-0.29771742,0.9669842,0.35504577,0.3480323,-0.56713283,0.7878955,0.2631976,0.3169816,-0.58986104,0.90295786,0.31559008,0.52650213,0.025615465,0.99921227,0.2321362,0.5331824,-0.02562886,0.99964267,0.39119646,0.6975008,-0.122347035,0.8944531,0.19962053,0.72631156,-0.06223596,0.9793444,0.40839925,0.87858903,0.15570083,0.927606,0.1935527,0.88945043,0.24276325,0.97587186,0.39047077,0.9126383,0.17253017,0.9031539,0.20421453,0.9104574,0.26348308,0.9402291,idle
0.30592316,0.12655838,-0.3387614,0.99975514,0.31941825,0.10750776,-0.31074747,0.9997518,0.29097435,0.10358719,-0.31720537,0.9997519,0.32594407,0.11682772,-0.1312622,0.9995893,0.2757706,0.11062146,-0.17438868,0.9996727,0.31308383,0.15042505,-0.2696041,0.99957174,0.29326522,0.14871317,-0.2787557,0.99959505,0.3519388,0.24687581,-0.026417155,0.99978983,0.21359237,0.2196831,-0.08101212,0.9999004,0.3724119,0.3968078,-0.18745968,0.8604786,0.17564523,0.3582985,-0.28663743,0.9695657,0.35504037,0.34308523,-0.53874695,0.80833507,0.26082838,0.30767375,-0.58432657,0.9117506,0.31187183,0.5220277,0.01807784,0.99928427,0.22749916,0.52979004,-0.018093696,0.9996674,0.37940606,0.6972543,-0.21719117,0.9049274,0.19563766,0.72390306,-0.08320211,0.9813241,0.39073884,0.88784,0.07458869,0.9346789,0.19256517,0.8897068,0.1936641,0.9781122,0.3761999,0.91778815,0.09287075,0.91052663,0.20464006,0.91049737,0.21285614,0.9424859,idle
0.30487943,0.12718178,-0.38629633,0.9997789,0.3155103,0.10681134,-0.36142564,0.9997755,0.28815925,0.10350406,-0.36706018,0.99977493,0.3225382,0.1159801,-0.18357864,0.9996292,0.27040154,0.11191694,-0.20945244,0.9997037,0.3110358,0.15029533,-0.3165161,0.9996142,0.29222494,0.14936616,-0.3242009,0.9996351,0.35169333,0.24369259,-0.06882565,0.99980956,0.21150914,0.21854687,-0.10183933,0.999906,0.3739799,0.39184982,-0.22400263,0.8732522,0.17411412,0.3568484,-0.2976525,0.9717359,0.35719407,0.34570774,-0.58335346,0.82666975,0.2591779,0.30728924,-0.6174993,0.9195788,0.31150332,0.5194021,0.014054038,0.9993398,0.22619697,0.52684474,-0.014017212,0.9996796,0.36952832,0.71151716,-0.124331094,0.91429424,0.19265756,0.7223599,-0.05020961,0.9830846,0.37798768,0.90564084,0.1371347,0.9409085,0.19033745,0.8899203,0.24697785,0.98004025,0.36752394,0.9340213,0.15149914,0.91482234,0.20281835,0.91071224,0.26623872,0.94335383,idle
0.30252796,0.124487035,-0.40141097,0.99980044,0.31486824,0.10427308,-0.3730079,0.9997969,0.28620192,0.101439364,-0.37721673,0.99979603,0.32328534,0.114392586,-0.18978888,0.999665,0.2671523,0.11124697,-0.208618,0.99973196,0.3088066,0.14679877,-0.33116728,0.9996524,0.28848565,0.1469399,-0.33680877,0.9996712,0.35627264,0.24184586,-0.08133058,0.999827,0.21188147,0.21860902,-0.10187966,0.99991,0.3781788,0.38911015,-0.24510245,0.8849733,0.17461213,0.35718766,-0.29656532,0.9736823,0.35834378,0.34607497,-0.60463715,0.84330344,0.25460294,0.3081136,-0.62995446,0.92670953,0.31307665,0.51933676,0.005504093,0.9993856,0.22665472,0.52651906,-0.0055442066,0.99969214,0.36734936,0.7235962,-0.13587251,0.92272025,0.17773813,0.7215192,-0.15659128,0.9847053,0.376112,0.9044344,0.1716814,0.9464926,0.18853925,0.8891472,0.18733267,0.9818062,0.3640888,0.9321626,0.19900525,0.91596204,0.20184629,0.9091679,0.20719306,0.94457513,idle
0.30001742,0.12458443,-0.45043334,0.999819,0.31177297,0.1046134,-0.4225058,0.99981475,0.28364578,0.10151943,-0.4263751,0.99981326,0.32091618,0.114110485,-0.23680508,0.9996956,0.2647625,0.1112098,-0.2518521,0.9997561,0.30624023,0.14646599,-0.3789341,0.99968624,0.28606984,0.14646982,-0.3837628,0.9997032,0.35585016,0.23812263,-0.12226808,0.999842,0.20890477,0.21881457,-0.13575615,0.99991167,0.3820103,0.3846071,-0.28940868,0.8956201,0.17618164,0.35890588,-0.3221827,0.97537357,0.35420126,0.34588665,-0.64536536,0.8581066,0.24949904,0.3089425,-0.66873974,0.93297005,0.31149793,0.51907045,0.002710439,0.9994147,0.22248574,0.524186,-0.0027185292,0.99969715,0.3659856,0.7243904,-0.16677901,0.93023765,0.16096357,0.7145683,-0.24059708,0.9861604,0.37728727,0.90703064,0.15386167,0.9513805,0.17814848,0.8827498,0.11050902,0.98333985,0.36548585,0.9346419,0.1738698,0.9148324,0.19176874,0.90297914,0.13682279,0.94522244,idle
0.29924336,0.12639476,-0.4135953,0.9998366,0.30876535,0.10689266,-0.38701773,0.99983263,0.28345555,0.103270456,-0.39328045,0.99983096,0.31576815,0.11481393,-0.20513263,0.99972534,0.26233497,0.111144274,-0.23141465,0.99977964,0.30403095,0.14785236,-0.34270632,0.99971735,0.28592128,0.14732756,-0.35082313,0.9997326,0.35071874,0.23603025,-0.09116196,0.9998567,0.20149812,0.21882634,-0.13157456,0.99991626,0.38165212,0.3822211,-0.24969718,0.9054716,0.1684668,0.35959673,-0.30223894,0.9769395,0.34923923,0.3452224,-0.6130303,0.8717199,0.2358416,0.30907622,-0.6420537,0.93873644,0.30483228,0.5191348,0.00010320525,0.99944824,0.2161103,0.521917,-8.4868065e-05,0.9997089,0.35783905,0.7238158,-0.12792888,0.93710095,0.15064444,0.71202475,-0.18160579,0.98749757,0.37895674,0.9097567,0.16305459,0.9560126,0.14649674,0.8825519,0.11706455,0.984874,0.37029517,0.9375054,0.17972885,0.91726017,0.16686484,0.9033834,0.1383631,0.947669,idle
0.30047044,0.12889676,-0.41882896,0.9998527,0.30685502,0.10803397,-0.39299846,0.9998491,0.2852027,0.10343962,-0.40366024,0.9998475,0.3080991,0.11672043,-0.2076219,0.9997525,0.25874558,0.11168672,-0.25456795,0.99980134,0.30286777,0.14847091,-0.34546712,0.9997455,0.28802192,0.14793256,-0.35959595,0.9997592,0.3421799,0.23750907,-0.09307093,0.9998703,0.19062576,0.21938579,-0.13855751,0.9999226,0.37116092,0.38273132,-0.26135513,0.9142773,0.15666418,0.36314544,-0.31819695,0.9785413,0.33224702,0.34718275,-0.63823026,0.8839065,0.22241764,0.31206167,-0.66044456,0.9439583,0.29674506,0.5200557,0.003672005,0.99948215,0.20656188,0.5216698,-0.0036765686,0.9997227,0.3520574,0.7231816,-0.12159244,0.9432781,0.14394334,0.7143568,-0.16709788,0.988693,0.3769729,0.912018,0.15465811,0.9602051,0.12206028,0.8956393,0.10348336,0.9862737,0.36731175,0.93939346,0.16970131,0.9211446,0.13523814,0.921209,0.12020354,0.9496064,idle
