x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.06559703,0.35344994,0.1381551,0.99648595,0.06533457,0.33341917,0.09576013,0.9947169,0.06933594,0.3293329,0.12544082,0.9957055,0.07539728,0.33304605,-0.039539427,0.99345225,0.086175166,0.3241083,0.09232735,0.9953742,0.073241524,0.3663414,0.096765235,0.9938801,0.07567771,0.3647634,0.13507158,0.99499696,0.09615194,0.4140994,-0.115764454,0.9979239,0.17304642,0.36962998,0.120121345,0.99902153,0.10573012,0.54377216,-0.10910515,0.5294574,0.19496903,0.49096993,0.16152343,0.14452693,0.114674546,0.58372146,-0.015152881,0.30904356,0.15763214,0.5325029,0.17608228,0.09279505,0.17322467,0.62709916,-0.05999567,0.992705,0.23563449,0.6054446,0.05973195,0.9952307,0.17436954,0.8072118,-0.014590983,0.9067082,0.28236437,0.77850986,0.12252194,0.828809,0.17520034,0.9861832,0.030826781,0.92991847,0.341196,0.9475821,0.13044132,0.893819,0.17897506,1.0041347,0.035949368,0.90272427,0.3564675,0.96663386,0.13186929,0.8812748,idle
0.06587886,0.3519446,0.15523341,0.9962986,0.065805875,0.33179393,0.112808466,0.99444884,0.07023332,0.32793614,0.14156798,0.99551773,0.07593121,0.33219033,-0.025346568,0.9931315,0.0869567,0.32379073,0.102383,0.9951241,0.07332525,0.36510402,0.112911366,0.99332625,0.076149516,0.3634344,0.15001875,0.9946026,0.09634061,0.41224432,-0.10538393,0.9978762,0.17526439,0.36954182,0.12046552,0.9989979,0.1069141,0.5407794,-0.10314015,0.5167965,0.20534119,0.48529932,0.16164443,0.13891481,0.114998296,0.5843022,-0.013168231,0.28881514,0.174485,0.53255874,0.17678487,0.08815732,0.1735104,0.6268978,-0.060173314,0.9927774,0.23598056,0.6054258,0.059906203,0.9951509,0.17409864,0.8072417,-0.016164323,0.91034395,0.28220627,0.77851814,0.1276479,0.82787186,0.17516996,0.9862283,0.032801736,0.9320387,0.34086937,0.94758767,0.14656305,0.89496624,0.17899796,1.004233,0.03800545,0.9063395,0.35635543,0.96665055,0.14854567,0.88223994,idle
0.067619696,0.3507477,0.1444281,0.996383,0.06883847,0.3310292,0.10169802,0.99460745,0.07247165,0.32759732,0.13028485,0.9956333,0.0808466,0.33204174,-0.03524656,0.9933252,0.09028484,0.32401666,0.098606154,0.9952244,0.075446546,0.36432326,0.10242964,0.9935048,0.07838017,0.36279306,0.13956381,0.9947231,0.09725188,0.4127947,-0.11090646,0.9979114,0.17738579,0.36969295,0.100489475,0.9989864,0.10205499,0.54324526,-0.087458715,0.5196899,0.21645601,0.47980893,0.16260669,0.13799642,0.11760614,0.5847834,0.03857662,0.27074292,0.1830822,0.5325729,0.23806337,0.08249168,0.17381682,0.62698305,-0.059465062,0.99293417,0.23594677,0.6055239,0.059187096,0.9951624,0.17416668,0.80919677,-0.015385767,0.9119509,0.28201464,0.7788114,0.1258042,0.8250027,0.17510302,0.9864367,0.033329196,0.9337247,0.340422,0.9475871,0.14196816,0.8955723,0.17901193,1.0046421,0.038559865,0.9090784,0.35536036,0.9666564,0.14381127,0.8823961,idle
0.08479575,0.3406264,0.0681812,0.99659276,0.08764373,0.3224472,0.03106538,0.99490535,0.087303236,0.3206059,0.06156965,0.9958197,0.100176014,0.3266799,-0.07524536,0.9937483,0.10067135,0.3216272,0.058926605,0.9954342,0.092471324,0.35544556,0.036122546,0.99394923,0.09256384,0.35484874,0.07471247,0.9950463,0.11746625,0.41085818,-0.13884562,0.99798375,0.17119738,0.37249213,0.10303919,0.99888337,0.1429629,0.53155047,-0.09871049,0.54944235,0.17404446,0.4813394,0.21728322,0.13323306,0.12827234,0.5138164,0.045436792,0.29253677,0.121372,0.5068418,0.32229993,0.08220985,0.18074249,0.6265926,-0.06478054,0.99292505,0.22122097,0.60765153,0.06479631,0.9952197,0.1742309,0.8088868,-0.032168157,0.8965523,0.2792245,0.7786499,0.09104319,0.8203183,0.17515323,0.98427606,0.0213489,0.9233012,0.33561733,0.9471664,0.056687254,0.8909732,0.17994231,1.0034041,0.025777359,0.89769024,0.3465211,0.9657935,0.051636767,0.8762726,idle
0.11963701,0.31522506,0.18165822,0.9968449,0.1116464,0.30340603,0.14187756,0.9953166,0.12597482,0.2992476,0.15268058,0.99616754,0.11009737,0.31409854,0.007454143,0.9942803,0.13807344,0.30725813,0.06276367,0.99582326,0.117659174,0.3322039,0.14023454,0.99445033,0.12886411,0.32900694,0.15343824,0.99545604,0.114682674,0.40103987,-0.04463035,0.9978854,0.18779698,0.37249455,0.051641803,0.9988379,0.1189339,0.52988,0.06427906,0.5513327,0.216011,0.4864145,0.18306042,0.16521645,0.122713044,0.51843905,0.2619372,0.26792544,0.19957674,0.5117437,0.32839617,0.07677821,0.17519851,0.6234091,-0.021793934,0.99331594,0.22436015,0.6035958,0.02182669,0.99543357,0.17361912,0.8094717,-0.03183519,0.9034384,0.27824995,0.7784353,0.04781086,0.8319534,0.1751687,0.9845527,-0.028010601,0.9259766,0.3301849,0.94725066,0.008045516,0.8938303,0.17992672,1.00342,-0.027226156,0.9024943,0.33859077,0.9662828,0.0040586838,0.87945485,idle
0.1306724,0.32007065,-0.4473858,0.99708855,0.14265887,0.30437312,-0.43414307,0.9957127,0.12621579,0.30193505,-0.42599255,0.996441,0.16080572,0.3132091,-0.29764903,0.99476105,0.12788264,0.3084648,-0.26715153,0.99613,0.1399593,0.3369584,-0.39337093,0.99493456,0.12743416,0.33496258,-0.38496232,0.9958525,0.20278426,0.39647114,-0.21703966,0.99797934,0.114668585,0.3920418,-0.11278789,0.9988977,0.23655128,0.51276267,-0.37591612,0.59178674,0.093495205,0.50464714,-0.18236934,0.21711124,0.19120906,0.45943978,-0.6326337,0.3348681,0.11509023,0.49217436,-0.4337247,0.13551427,0.22560099,0.6161715,-0.02177282,0.99379873,0.16748801,0.6275858,0.02189894,0.9957307,0.2645692,0.7876557,-0.006318337,0.90706736,0.17568205,0.81083745,-0.032982267,0.8450846,0.30537242,0.95327,0.15438339,0.9266092,0.1818634,0.9778617,0.09667901,0.89939094,0.3076076,0.9703186,0.16008951,0.87288594,0.18814921,0.98926955,0.105591096,0.86463094,idle
0.15490745,0.30988246,-0.38731185,0.997368,0.17013063,0.29575124,-0.36683154,0.99612665,0.146817,0.29581872,-0.3646706,0.99677014,0.18615541,0.30618572,-0.22267684,0.9952619,0.14200386,0.30613095,-0.21756248,0.9964863,0.1645065,0.3287562,-0.3324118,0.99543107,0.1484373,0.32726273,-0.3318137,0.99625635,0.23136203,0.39210862,-0.18625551,0.9981468,0.115045115,0.39717343,-0.08893188,0.99896115,0.26559773,0.51011306,-0.2571035,0.6279008,0.095679276,0.5112849,-0.15169138,0.2674659,0.24602859,0.45314768,-0.5242814,0.39508852,0.10496287,0.5200151,-0.4117609,0.17075771,0.23571742,0.61396515,-0.008672794,0.99424714,0.16426216,0.63031644,0.008763384,0.99589264,0.2741995,0.7824181,-0.02158809,0.913573,0.17153284,0.8212613,-0.014536965,0.85806346,0.31373224,0.95303327,0.11130768,0.93066925,0.17555442,0.9827248,0.15793367,0.905101,0.31179586,0.97003335,0.11423069,0.8515197,0.17891929,0.9930342,0.16687393,0.8497722,idle
0.17847493,0.31374797,-0.26528567,0.9976262,0.19260934,0.29840633,-0.24766262,0.9965101,0.16705945,0.3001252,-0.24946728,0.9970829,0.20719044,0.30738068,-0.18700539,0.99573034,0.15953101,0.3071745,-0.12974618,0.99682903,0.18878207,0.33229357,-0.21352863,0.99588466,0.17178039,0.33132395,-0.21773458,0.99662685,0.24724996,0.39437163,-0.02418318,0.9983258,0.12783726,0.40055567,-0.03978051,0.9990446,0.27184734,0.5140511,-0.15277661,0.661267,0.10789628,0.51268667,-0.16685267,0.33297822,0.2739701,0.4515816,-0.38317627,0.45426705,0.113722935,0.47079024,-0.42580247,0.24165961,0.24262857,0.6144153,0.01995609,0.994775,0.17116855,0.6304994,-0.019759562,0.9962066,0.28493074,0.7867374,-0.054028504,0.9201584,0.176436,0.82901067,-0.032474108,0.8699093,0.32065153,0.9585248,0.028999716,0.93297017,0.176819,0.9850081,0.16072209,0.9012828,0.31589872,0.97103596,0.025648305,0.84173584,0.1776611,0.9924467,0.17175065,0.8087917,idle
0.20192635,0.31546906,-0.13963027,0.9978574,0.21506187,0.30097663,-0.18667397,0.99685335,0.19045465,0.3021801,-0.13348971,0.9973624,0.22703895,0.30948675,0.030942818,0.99614906,0.17928675,0.3078626,-0.015052311,0.9971388,0.2097048,0.3341261,-0.13276109,0.9962887,0.19372605,0.33324975,-0.11249544,0.9969579,0.2528342,0.39797765,0.1217923,0.9984847,0.12901562,0.39641806,0.026923517,0.99912107,0.27166656,0.5126018,0.022252183,0.67947364,0.1286709,0.5099663,-0.090142325,0.39184356,0.29409894,0.46271256,-0.25705057,0.5059243,0.16032498,0.4681814,-0.29814705,0.3081444,0.25304955,0.61504775,0.03261719,0.99524313,0.18260889,0.6305579,-0.03233087,0.9965022,0.29262134,0.790865,-0.045215666,0.9248343,0.18539223,0.8313539,-0.07206312,0.8813426,0.31917447,0.9618483,0.032482944,0.93362457,0.17806683,0.9898109,0.020519666,0.9057078,0.3140313,0.9764738,0.02979685,0.834607,0.17538415,0.99598116,0.02212916,0.7897376,idle
0.22637567,0.31752327,-0.109940454,0.99802756,0.2372121,0.3030941,-0.07415317,0.9971158,0.21508177,0.30449173,-0.07788569,0.9975459,0.24602517,0.31285796,0.07879334,0.99646884,0.20279106,0.31203997,0.04266949,0.9973607,0.23322335,0.3347149,-0.040874198,0.996574,0.21830931,0.33349022,-0.054148912,0.99718946,0.26360393,0.41040638,0.13922581,0.9985881,0.16060187,0.3961404,0.08236952,0.99913967,0.27636814,0.5141228,0.061518013,0.6874405,0.16309614,0.4965487,-0.06687333,0.4403527,0.3100945,0.47407877,-0.124964215,0.5479067,0.2054539,0.4353461,-0.25987333,0.36419892,0.26460016,0.6151298,0.016279323,0.99561673,0.19431858,0.6291334,-0.015950866,0.996735,0.2920738,0.8004945,-0.047930244,0.9302587,0.19392076,0.8271709,-0.05594776,0.89097804,0.31079367,0.9694737,0.03223115,0.9336836,0.1817858,0.98870903,0.04166287,0.90888625,0.30669266,0.9851419,0.031284142,0.8195335,0.17939214,0.99657154,0.044381693,0.77269393,idle
