x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.44951215,0.073805146,-0.30437374,0.99994844,0.46390456,0.052576542,-0.2874075,0.9998919,0.43292165,0.052950677,-0.28044146,0.9998726,0.4762725,0.06327349,-0.15653633,0.9998249,0.4190711,0.06480574,-0.12278459,0.999756,0.458524,0.09498599,-0.25368488,0.9999266,0.43920922,0.0976252,-0.244235,0.99989915,0.5242364,0.18981239,-0.10460289,0.9997859,0.38255996,0.19667397,-0.024807937,0.9998067,0.54246867,0.33785346,-0.26952326,0.97866917,0.34924632,0.34064877,-0.1773013,0.95658416,0.49760938,0.28324118,-0.5501617,0.9819815,0.33787447,0.23389904,-0.5195474,0.98570454,0.48275408,0.49272546,-0.020115148,0.99921054,0.39735013,0.48998654,0.019925967,0.99954474,0.49813682,0.67327696,0.040614728,0.9881947,0.36345035,0.6833527,0.0734558,0.99499816,0.51012886,0.83095264,0.3430074,0.9671653,0.35832945,0.83272994,0.3344148,0.96489054,0.4990363,0.85464,0.36409694,0.7918919,0.3725289,0.8567785,0.35359338,0.8925945,idle
0.45199698,0.068670705,-0.28908348,0.9999498,0.4660263,0.04873729,-0.2742016,0.99989545,0.4345308,0.046738945,-0.26477414,0.99987763,0.47692624,0.0614466,-0.14398943,0.99983025,0.41767812,0.06045284,-0.11266284,0.99976516,0.4599704,0.09159206,-0.24376202,0.9999288,0.4394885,0.092931144,-0.2312072,0.99990356,0.52154577,0.19217338,-0.08932511,0.99978554,0.38037673,0.19673993,-0.027490173,0.999805,0.5401754,0.3404667,-0.23987313,0.97738653,0.34645164,0.34668645,-0.18583043,0.95675844,0.49931613,0.28360516,-0.4969142,0.9813604,0.34573552,0.24959497,-0.5011841,0.9851391,0.48113185,0.4940553,-0.015076245,0.9992297,0.39599591,0.4921937,0.014884311,0.99954486,0.49742103,0.675441,0.04939173,0.98872715,0.3644176,0.682887,0.075778544,0.99505293,0.5104442,0.83210474,0.334363,0.96922815,0.35655516,0.83230865,0.32612485,0.96766007,0.4991168,0.85679895,0.3538351,0.7977932,0.3703,0.8549564,0.3444976,0.8955855,idle
0.4495837,0.06836323,-0.284056,0.99995095,0.46435532,0.049172487,-0.26680824,0.99989784,0.43292123,0.04665755,-0.25979102,0.9998822,0.4756472,0.061930258,-0.13452138,0.99983275,0.41635624,0.05975399,-0.108664155,0.99977523,0.45822674,0.09120224,-0.23703274,0.9999304,0.43735805,0.092003316,-0.2269628,0.9999081,0.519225,0.19385095,-0.06992304,0.9997756,0.3788323,0.19494367,-0.030687656,0.99980843,0.5390469,0.3424299,-0.22105269,0.9747344,0.34188527,0.34499395,-0.19460204,0.95705444,0.4994526,0.28620774,-0.4803968,0.979121,0.3533356,0.25574806,-0.49844867,0.984084,0.47978607,0.49372372,-0.007957724,0.9992566,0.3948896,0.4937554,0.007758946,0.9995578,0.49783832,0.67490965,0.052152224,0.9892726,0.36166584,0.6830499,0.061167322,0.9952616,0.5126215,0.8322984,0.33979473,0.97130746,0.35462838,0.832165,0.31697828,0.9704064,0.5012839,0.8570128,0.3595435,0.80641854,0.36893424,0.8545968,0.3356105,0.8991912,idle
0.44817263,0.06538476,-0.35734594,0.9999535,0.46207398,0.047973614,-0.33306834,0.9999039,0.4308868,0.04606235,-0.331679,0.9998888,0.47309145,0.0605094,-0.17017755,0.9998427,0.41447058,0.059772953,-0.16484107,0.99978673,0.45693344,0.08743577,-0.2966462,0.999935,0.43571845,0.0888455,-0.29494852,0.9999145,0.51687825,0.19490017,-0.084824905,0.99978846,0.37800163,0.19314949,-0.07204412,0.9998111,0.5341073,0.3437092,-0.2335993,0.975226,0.33808234,0.34436932,-0.2587448,0.9586378,0.49830145,0.28725356,-0.54440016,0.9799854,0.3557864,0.25751653,-0.61758393,0.98392826,0.47925726,0.49144897,-0.0010070304,0.9992934,0.39452922,0.49105123,0.0009298905,0.99957,0.49747714,0.6740276,0.053141583,0.9900151,0.3594228,0.68299884,0.09461814,0.9955083,0.5170816,0.8325384,0.33615476,0.9735061,0.35365203,0.8318131,0.41444406,0.9728874,0.50490576,0.8581385,0.35399482,0.8180569,0.3674608,0.8524528,0.43733677,0.9020121,idle
0.44597536,0.06588049,-0.37208837,0.99995613,0.46053973,0.04937773,-0.34714186,0.9999102,0.42901817,0.047752243,-0.3470546,0.9998953,0.46796495,0.061881103,-0.18204607,0.9998524,0.41367412,0.061477743,-0.1834859,0.99979883,0.45533746,0.08690826,-0.31058514,0.9999393,0.4346324,0.08825991,-0.3110062,0.9999207,0.50705993,0.19562377,-0.095354676,0.99979913,0.37328726,0.19238168,-0.09584241,0.9998166,0.52109617,0.35079086,-0.25157416,0.9755169,0.33749625,0.34338462,-0.29126543,0.9602233,0.49667153,0.28977957,-0.57539463,0.98096776,0.3541898,0.2559583,-0.6469691,0.9840237,0.47246996,0.4920445,0.0054073865,0.9993297,0.38725922,0.492339,-0.0054363133,0.9995836,0.49737453,0.67373973,0.07044404,0.9906388,0.3574362,0.68327767,0.12095879,0.9957327,0.52802306,0.8333954,0.32547522,0.9755098,0.35286114,0.83165646,0.453581,0.9751168,0.5171906,0.86223245,0.3414567,0.8305364,0.3666398,0.8519705,0.47738653,0.90519124,idle
0.44164902,0.06670193,-0.39493117,0.99995726,0.45356196,0.04972213,-0.37035993,0.99991375,0.42487293,0.048431825,-0.3705873,0.99989814,0.45937952,0.06221677,-0.19948731,0.999858,0.40744013,0.0625225,-0.20143826,0.99980426,0.4497376,0.08742271,-0.3301857,0.9999419,0.4292118,0.08904609,-0.33088517,0.9999248,0.4950884,0.19612499,-0.10227524,0.9998085,0.36447966,0.19220941,-0.10525552,0.99981713,0.5124503,0.35557568,-0.2546101,0.97548413,0.3315097,0.3428481,-0.3023129,0.96177274,0.49571186,0.29131654,-0.57975674,0.9815726,0.35254425,0.2532122,-0.66669226,0.98413813,0.46423703,0.48960206,0.0042101275,0.9993553,0.37972856,0.4915961,-0.004240001,0.99958694,0.49634153,0.67233944,0.06363766,0.9912723,0.3568671,0.681322,0.11933104,0.99595004,0.5279503,0.8334009,0.3187408,0.9774671,0.35142872,0.831915,0.448986,0.97720385,0.5178898,0.8624895,0.33555353,0.841686,0.36289626,0.8520066,0.4724606,0.90867245,idle
0.43585187,0.067637414,-0.3854612,0.9999567,0.4454812,0.050315876,-0.3615296,0.99991465,0.41917005,0.04922087,-0.36478966,0.99989814,0.44946504,0.06276152,-0.19196482,0.9998602,0.39991698,0.063285716,-0.20717645,0.9998091,0.44244203,0.08849703,-0.32044512,0.99994314,0.4227508,0.090141185,-0.32498503,0.99992776,0.48065194,0.19621783,-0.09687751,0.9998165,0.35491395,0.1913134,-0.120058455,0.99982035,0.5051944,0.36104286,-0.24045236,0.97455454,0.31838018,0.33707148,-0.32813838,0.96356845,0.49459177,0.28392062,-0.55341196,0.9818378,0.35327673,0.23060322,-0.66293174,0.983998,0.4551012,0.48979777,0.0076972386,0.9993824,0.3727991,0.49247974,-0.007677795,0.9995938,0.4876956,0.6723665,0.08342915,0.99180967,0.35131878,0.6812639,0.14153698,0.99611336,0.526372,0.8343695,0.33549243,0.979174,0.34926897,0.8298782,0.48860964,0.97898686,0.5162179,0.86276853,0.3502866,0.85140145,0.36074156,0.84843796,0.514584,0.9113845,idle
0.4286322,0.06714358,-0.3416242,0.9999584,0.439601,0.050648544,-0.31249365,0.99991834,0.4119739,0.048462246,-0.33076254,0.9999027,0.44479042,0.06322616,-0.14142983,0.999866,0.39325553,0.062290046,-0.18025178,0.99982125,0.43590316,0.088605866,-0.27430907,0.9999457,0.41576868,0.089668,-0.2993127,0.99993235,0.47223425,0.19649024,-0.04925923,0.9998232,0.3445825,0.18881258,-0.105811164,0.9998278,0.5001029,0.36272478,-0.18698649,0.9730306,0.30361626,0.32270813,-0.32026702,0.96582186,0.49383584,0.27358332,-0.466657,0.9816594,0.35524407,0.21129343,-0.611699,0.9840523,0.44962448,0.4876971,0.010199199,0.99941576,0.366823,0.49281257,-0.010172467,0.9996087,0.48298892,0.671993,0.06985409,0.9922506,0.34597504,0.68146145,0.13094895,0.99618286,0.5268879,0.83694786,0.29164785,0.9806737,0.3479387,0.8298605,0.4626332,0.9805003,0.5174893,0.8663427,0.30244255,0.8598243,0.35999992,0.8482773,0.48764858,0.91350704,idle
0.4264253,0.060573217,-0.2770832,0.9999606,0.4368976,0.046786588,-0.2543639,0.9999227,0.40965462,0.042367406,-0.26902363,0.99990845,0.43981996,0.05904978,-0.10825233,0.99987376,0.38984206,0.05646438,-0.17177191,0.9998352,0.43176952,0.082575396,-0.22045591,0.99994916,0.41284713,0.0828327,-0.2404691,0.99993765,0.46691045,0.19549654,-0.022206973,0.99983394,0.33456448,0.18262771,-0.10646389,0.99983907,0.49576706,0.35567346,-0.13993773,0.97155195,0.29281825,0.3105197,-0.31500077,0.96825176,0.49412647,0.25891933,-0.38087672,0.98156726,0.35130495,0.20595159,-0.58191,0.9847177,0.44447857,0.48471263,0.01060329,0.9994568,0.3620213,0.49222857,-0.010567224,0.99963135,0.47984663,0.6701139,0.05706932,0.9927579,0.34088197,0.6818178,0.11473118,0.9962546,0.5262166,0.83688,0.2666493,0.98212194,0.34725186,0.82986414,0.42881036,0.9819176,0.51723707,0.86592394,0.27858296,0.86700255,0.35999078,0.8476722,0.45268464,0.9167425,idle
0.42377195,0.05353009,-0.22580107,0.99996233,0.4336419,0.04058589,-0.20414846,0.9999261,0.4069407,0.035589006,-0.21690407,0.99991196,0.43607837,0.052708026,-0.06222757,0.99987966,0.38577312,0.05026739,-0.1254749,0.99984664,0.4281299,0.07487771,-0.17055568,0.999951,0.4100574,0.075287856,-0.18828444,0.99994123,0.46319407,0.1898852,0.02002225,0.99984497,0.33350414,0.16690302,-0.09769092,0.9998492,0.48852843,0.33890685,-0.08630224,0.9686835,0.2889987,0.28554618,-0.29128632,0.9705233,0.49574542,0.25116506,-0.31408653,0.9820332,0.351865,0.18938926,-0.4931087,0.9854672,0.4432691,0.47717446,0.015932476,0.9994967,0.36111534,0.4852077,-0.015904564,0.99965537,0.48046762,0.6669816,0.055377178,0.99297076,0.33769235,0.6818611,0.04891075,0.99627185,0.52534145,0.8368829,0.2471787,0.9829252,0.34605965,0.830135,0.329027,0.982875,0.5167537,0.8654337,0.25798306,0.87053734,0.35954455,0.84766495,0.3516448,0.91592044,idle
