x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.50480074,0.17780264,-0.25859147,0.99991333,0.5164088,0.15850605,-0.24673872,0.9998312,0.49585932,0.16556478,-0.22523835,0.99978894,0.5399642,0.1666152,-0.14030962,0.99977785,0.49636975,0.1773353,-0.043064907,0.9997146,0.51742685,0.1945415,-0.21709783,0.9998201,0.5038241,0.19724514,-0.18781805,0.9997191,0.60058105,0.25033253,-0.09764896,0.99976313,0.47909513,0.2962183,0.077976644,0.99975574,0.63712555,0.35371637,-0.31717622,0.99182266,0.42258063,0.3810034,-0.064667985,0.8271601,0.55762184,0.28117076,-0.5575934,0.9856573,0.43594298,0.27847207,-0.3608119,0.88063186,0.5831784,0.5401268,-0.054731317,0.9995906,0.5072359,0.5343021,0.05460496,0.9998783,0.60909957,0.72429407,-0.020883843,0.9978592,0.44136825,0.69101703,-0.018520478,0.9986125,0.62633705,0.86782163,0.282274,0.9967854,0.38073337,0.8601601,0.17600311,0.9983727,0.6198628,0.88630086,0.30277997,0.9115237,0.38958025,0.89499897,0.18798167,0.98450744,idle
0.52381927,0.16448726,-0.28199467,0.9999204,0.53566194,0.14459129,-0.2728326,0.9998446,0.51487505,0.15146182,-0.24923995,0.9998072,0.560402,0.15245238,-0.1753774,0.9997948,0.51546395,0.16643573,-0.06696424,0.9997384,0.53689593,0.18112138,-0.24431744,0.9998346,0.5247923,0.18573436,-0.21281621,0.9997434,0.62343657,0.23252526,-0.13107385,0.9997731,0.50254816,0.27612212,0.054032516,0.9997655,0.6488825,0.32685667,-0.35550043,0.9923864,0.4379897,0.3605254,-0.11885069,0.84322727,0.5680686,0.24668176,-0.56327206,0.98652035,0.4561512,0.2514829,-0.4420225,0.89074683,0.60859853,0.5226934,-0.05634301,0.999587,0.53328735,0.5165005,0.056271393,0.99987483,0.6215544,0.71705157,-0.02877608,0.99789864,0.47342414,0.68894964,-0.047273636,0.9986159,0.62842953,0.866539,0.23950832,0.9968244,0.43796363,0.8627166,0.15392518,0.9983766,0.6216367,0.8858572,0.25467864,0.9117013,0.4523751,0.8983412,0.16604966,0.98384756,idle
0.53922474,0.14383693,-0.29378754,0.9999248,0.55222213,0.12443109,-0.28202322,0.99985194,0.53172904,0.13002051,-0.26075643,0.9998195,0.57554305,0.13168041,-0.18042843,0.999801,0.530971,0.14199004,-0.081171036,0.99975514,0.5521573,0.16018213,-0.254489,0.99984413,0.540001,0.16447541,-0.22609024,0.9997624,0.6351852,0.2105081,-0.13643664,0.9997584,0.5142728,0.25028676,0.02859272,0.9997678,0.6528885,0.31401104,-0.37239638,0.99251,0.45525998,0.33954772,-0.15511061,0.8572781,0.5753383,0.22435686,-0.583918,0.98698837,0.47518802,0.22652772,-0.47862,0.8999889,0.626981,0.50005084,-0.055318065,0.99955404,0.5540132,0.4970968,0.05526542,0.99985826,0.6393616,0.6982602,-0.05898726,0.9979221,0.5090351,0.67131937,-0.068666175,0.99864304,0.63175946,0.865626,0.1402491,0.9969106,0.5083723,0.85961545,0.1294168,0.9983709,0.62205637,0.8855091,0.14756824,0.91308665,0.5254581,0.89178663,0.13977894,0.98286825,idle
0.55604583,0.13788766,-0.27676174,0.9999298,0.5686563,0.11880966,-0.26869553,0.99986017,0.5466093,0.12344619,-0.24973659,0.99983114,0.5905504,0.12492756,-0.13721323,0.99980885,0.5431752,0.13545683,-0.067312084,0.9997692,0.56835353,0.15512289,-0.24453083,0.99985427,0.5552952,0.15951715,-0.21055451,0.99978083,0.6488985,0.21190405,-0.10645332,0.99975705,0.5284625,0.2472477,0.048283033,0.9997615,0.6626174,0.31835306,-0.33449107,0.9925944,0.47180238,0.33590174,-0.1344262,0.8701195,0.58777356,0.2316439,-0.5813407,0.98778,0.49111682,0.22626162,-0.4422176,0.9083067,0.64424884,0.4928199,-0.0450864,0.9995427,0.572693,0.49303004,0.04496543,0.9998421,0.66874784,0.6891497,-0.08781322,0.99799776,0.53675526,0.6734741,-0.096030496,0.99870276,0.6568345,0.8620766,0.15530291,0.9970262,0.55687976,0.8587271,0.13975796,0.9983882,0.6474737,0.8841041,0.1679308,0.91387254,0.5718905,0.88580936,0.15476945,0.9817943,idle
0.5693724,0.1472346,-0.28005335,0.99993527,0.5834442,0.12770614,-0.26546392,0.99986976,0.56044996,0.13194126,-0.24964365,0.99984306,0.6049465,0.13428667,-0.13902825,0.99981934,0.5566984,0.14213388,-0.07115518,0.99978393,0.5812949,0.16438982,-0.23705932,0.9998657,0.5662831,0.16726123,-0.21314716,0.9997996,0.65672797,0.21929106,-0.09987981,0.9997696,0.54078686,0.24993291,0.030183509,0.9997741,0.67710143,0.33443418,-0.30953774,0.9927424,0.49111962,0.3460406,-0.1519793,0.8816031,0.5994452,0.23993093,-0.5678531,0.98860145,0.5208671,0.24794981,-0.45977122,0.915887,0.66105914,0.50040257,-0.036807273,0.9995725,0.59163696,0.50106406,0.03661265,0.9998432,0.7054187,0.6907054,-0.09549473,0.99808544,0.5518929,0.68230975,-0.030259814,0.9987332,0.7249985,0.8628582,0.14041866,0.9971694,0.5598749,0.8580774,0.23896387,0.9983781,0.72085476,0.8909334,0.15258536,0.9159756,0.5740212,0.87939566,0.2571745,0.98075193,idle
0.5837216,0.15475677,-0.2792995,0.99993944,0.59717906,0.13509937,-0.2607024,0.9998768,0.57589984,0.14024547,-0.24512215,0.99985325,0.62028146,0.14334795,-0.120437816,0.999823,0.5754731,0.14955251,-0.06472295,0.9997973,0.5974727,0.168811,-0.2328779,0.9998736,0.5816555,0.1712272,-0.21167234,0.99981445,0.6803695,0.23746379,-0.07452315,0.99975836,0.55971575,0.2680269,0.028958604,0.99978167,0.70696187,0.3729353,-0.28605816,0.9923592,0.51564157,0.38121662,-0.15537821,0.89123154,0.61785185,0.28335258,-0.5394692,0.9885677,0.54889095,0.29576647,-0.46036592,0.92107236,0.6829514,0.51788765,-0.024594625,0.99960566,0.6073557,0.52484614,0.024350962,0.9998517,0.7411439,0.6925074,-0.107446395,0.9980794,0.55293405,0.6930689,-0.13342327,0.9987975,0.7950076,0.8665422,0.15205434,0.99723244,0.5602843,0.8585061,0.1894428,0.99838436,0.7875561,0.89472187,0.1668462,0.91880554,0.5756477,0.88018984,0.2079086,0.980124,idle
0.6036123,0.18436573,-0.24299714,0.9999439,0.6172358,0.16203314,-0.22795331,0.99988586,0.5952212,0.16927978,-0.21027716,0.9998641,0.6396365,0.167325,-0.11138432,0.99983567,0.59595865,0.17577133,-0.030105561,0.99981165,0.6179848,0.2019323,-0.19857928,0.99988365,0.60440123,0.20487112,-0.17489603,0.99982977,0.7026446,0.2602631,-0.07907511,0.99977475,0.58555186,0.2918491,0.06541313,0.9997926,0.72528386,0.38506737,-0.28344086,0.9925775,0.5523349,0.4115395,-0.12485371,0.89832234,0.64344996,0.3172689,-0.5147201,0.98921144,0.5689088,0.33477455,-0.40409738,0.9264591,0.7042674,0.5457258,-0.030995423,0.99963576,0.6252105,0.5488736,0.030802285,0.99985766,0.7766923,0.71342933,-0.12609524,0.99811137,0.5626872,0.702931,-0.15118065,0.9988603,0.8358208,0.87092334,0.15517892,0.9972725,0.55738986,0.85925406,0.17370187,0.9983738,0.8312454,0.89342815,0.17252536,0.92026216,0.57414484,0.8807918,0.19814631,0.9799013,idle
0.6307979,0.20113759,-0.19997759,0.99994224,0.6428813,0.17768714,-0.19219054,0.9998847,0.621374,0.18700428,-0.16935441,0.99986464,0.66559047,0.18132398,-0.107155785,0.9998307,0.6229434,0.19346079,-0.0017156943,0.9998085,0.6447128,0.21818796,-0.16679153,0.99988294,0.6332612,0.22264008,-0.13628398,0.99983025,0.73605824,0.2710377,-0.08359631,0.9997674,0.614872,0.30734485,0.07401325,0.9997882,0.7518896,0.383373,-0.2835088,0.9918581,0.58858895,0.43055984,-0.107515596,0.9021675,0.6681645,0.3228552,-0.48688158,0.98870254,0.60082304,0.34229228,-0.39052445,0.92909724,0.73402184,0.55477613,-0.031770803,0.9996589,0.6541783,0.55725485,0.03159953,0.9998609,0.8026117,0.7269081,-0.10846943,0.9980952,0.5831417,0.706443,-0.13655952,0.9988888,0.8521972,0.8795435,0.19584268,0.9972497,0.5580553,0.8614991,0.16883376,0.99832344,0.84513825,0.8993336,0.2178045,0.9203597,0.5700285,0.8814609,0.19049503,0.97830635,idle
0.65955716,0.20859097,-0.18185268,0.99994093,0.66799146,0.1855189,-0.17954259,0.99988604,0.65109193,0.19479413,-0.15364645,0.99986625,0.6925922,0.18297943,-0.11226207,0.99983174,0.6574004,0.19876438,0.007714859,0.99980795,0.6745647,0.22230138,-0.15433024,0.9998853,0.6652876,0.22842415,-0.11938667,0.9998316,0.76563275,0.26498294,-0.085328296,0.9997736,0.650092,0.30664986,0.075936034,0.9997856,0.7872064,0.3810324,-0.2847051,0.9916229,0.62601453,0.43233708,-0.088523015,0.90609896,0.69616294,0.3139292,-0.48413342,0.9885793,0.6293251,0.34052715,-0.3886169,0.93230826,0.76403105,0.55286115,-0.03262473,0.9996818,0.6829983,0.5544107,0.032490753,0.9998625,0.82870275,0.7291227,-0.11052211,0.9981362,0.60797143,0.7064671,-0.10363797,0.99891496,0.85835487,0.8817604,0.19989215,0.99725455,0.56468135,0.86152005,0.17665465,0.9983172,0.84988624,0.9029715,0.22264357,0.9205062,0.571946,0.88182,0.19818547,0.97661155,idle
0.6822508,0.20201682,-0.17133313,0.9999417,0.6928704,0.17951171,-0.17017612,0.99988806,0.67554706,0.18803658,-0.1444384,0.99987096,0.71803963,0.17925268,-0.10926162,0.99983275,0.68206936,0.19323285,0.011508502,0.99981177,0.69723755,0.21612766,-0.14534421,0.9998864,0.6852348,0.22098778,-0.11064412,0.99983203,0.7923631,0.26166832,-0.084108055,0.9997724,0.67212635,0.3024337,0.08083893,0.9997878,0.8147253,0.37810296,-0.2755021,0.9915459,0.6462457,0.41845864,-0.071247295,0.9096289,0.71868753,0.30673,-0.45998493,0.98859555,0.652119,0.3298766,-0.35170373,0.9353432,0.7861999,0.54883325,-0.033936,0.9996987,0.7079207,0.55341095,0.03379138,0.9998649,0.8372925,0.7296068,-0.08640945,0.99800736,0.63374794,0.70426583,-0.05499311,0.9988368,0.8578989,0.88366574,0.19872467,0.9969637,0.5935676,0.8603228,0.17695022,0.9981975,0.85033786,0.9055954,0.21931675,0.9183742,0.60594535,0.88203204,0.19533937,0.9755202,idle
