x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.3766772,0.18823689,-0.20519002,0.9999723,0.38883933,0.17439811,-0.18335423,0.9999612,0.36449388,0.17627054,-0.1819846,0.99994826,0.40086174,0.18447168,-0.04013353,0.9999299,0.35479742,0.1884563,-0.036147144,0.9999344,0.38721412,0.20619576,-0.15106508,0.99994326,0.36819392,0.20666225,-0.15028211,0.99994904,0.43830198,0.27348718,0.03613227,0.9998804,0.32788974,0.27933308,0.046915453,0.9997849,0.45975098,0.38418517,-0.12382767,0.9587565,0.31155586,0.38589427,-0.08160618,0.88638663,0.4378964,0.31399947,-0.37895763,0.96477395,0.3208645,0.3350111,-0.36205,0.8972822,0.4249784,0.49455276,0.008950097,0.99971217,0.3553607,0.4977531,-0.008979407,0.99971265,0.45446363,0.6685238,0.020557638,0.9943089,0.34105164,0.67260534,-0.010488125,0.9961619,0.4919575,0.8278606,0.16578922,0.99410665,0.31822595,0.83014685,0.15942982,0.9954743,0.4857729,0.84795606,0.17083314,0.9238411,0.32181978,0.8483441,0.16631873,0.9036503,idle
0.37684363,0.18747766,-0.20754357,0.9999744,0.38901848,0.17397805,-0.18767373,0.99996394,0.364707,0.17569448,-0.18511403,0.9999519,0.40113038,0.184418,-0.04574781,0.9999348,0.35491875,0.18794808,-0.038150877,0.9999383,0.38730407,0.20575732,-0.1544426,0.99994767,0.36837882,0.20619036,-0.15128447,0.9999527,0.43971166,0.27277285,0.034929764,0.9998858,0.32824916,0.27980822,0.039572794,0.9997975,0.46385002,0.38207868,-0.14126311,0.9613576,0.3117455,0.3855815,-0.10750906,0.88973784,0.43829346,0.3118037,-0.40722403,0.9669565,0.32111728,0.3349075,-0.3871611,0.90033746,0.4273913,0.49484918,0.00884721,0.9997234,0.3574713,0.49857676,-0.008890114,0.9997266,0.45613152,0.6689481,0.029837096,0.9943974,0.34241015,0.67259896,-0.011190479,0.9962306,0.49253598,0.8269984,0.1881852,0.9941744,0.3198257,0.83010083,0.16026898,0.99562705,0.4861699,0.8468786,0.1945146,0.92577857,0.32325068,0.8483428,0.16737564,0.9058411,idle
0.3770545,0.187345,-0.21520683,0.9999765,0.38907704,0.17391968,-0.19247954,0.9999667,0.36491123,0.17564382,-0.19166647,0.9999555,0.4013806,0.18437062,-0.04845392,0.99993986,0.35508806,0.18793967,-0.040606905,0.9999426,0.38736513,0.20562066,-0.15886305,0.999952,0.36855185,0.20613927,-0.15837228,0.9999563,0.44113174,0.27247047,0.032081157,0.9998915,0.32953644,0.28003374,0.036620546,0.9998092,0.4661506,0.3807426,-0.14371426,0.96320087,0.31221074,0.38578504,-0.11339482,0.89138055,0.44257918,0.31171295,-0.42537084,0.96836615,0.32082483,0.33603507,-0.40542,0.90168554,0.42885303,0.49475697,0.0088936165,0.9997365,0.35844493,0.49857646,-0.008943614,0.9997398,0.45735145,0.66978914,0.025224525,0.99445444,0.34289536,0.6728875,-0.010862565,0.9963023,0.4938806,0.82696414,0.1894547,0.9942688,0.32077333,0.83039564,0.17312208,0.9958011,0.4872362,0.84686214,0.19653663,0.9280329,0.3247227,0.84873897,0.1816734,0.9082287,idle
0.37720218,0.18729182,-0.22212017,0.9999783,0.38911137,0.17390785,-0.19909404,0.99996907,0.365013,0.17563213,-0.19821315,0.99995863,0.40156215,0.18433496,-0.051240504,0.9999441,0.35526013,0.18793793,-0.046540253,0.99994636,0.38742375,0.20554477,-0.16566592,0.9999557,0.36870188,0.2061277,-0.16539699,0.99995947,0.44204324,0.27248186,0.031216701,0.99989504,0.3303411,0.27991468,0.034879748,0.99982077,0.4671504,0.38063014,-0.14555061,0.9653025,0.31225067,0.38592443,-0.11437897,0.89488554,0.4444766,0.3116083,-0.42566985,0.9700932,0.32021186,0.33691296,-0.40926057,0.90542865,0.42928046,0.49393177,0.008854828,0.9997431,0.35857204,0.497908,-0.008907577,0.9997503,0.45764226,0.66974914,0.023549868,0.99453443,0.3430397,0.6725093,-0.014890024,0.9963933,0.49426064,0.8267961,0.18712491,0.99442124,0.32156783,0.83066237,0.15598843,0.9959835,0.4873137,0.84686774,0.19116727,0.9306746,0.32571274,0.8492065,0.16229874,0.9108453,idle
0.37724063,0.18711554,-0.21239074,0.99998,0.38928193,0.17376858,-0.1903438,0.9999713,0.3650588,0.17545043,-0.18803546,0.99996144,0.40174308,0.184282,-0.047971245,0.999948,0.35530925,0.18773851,-0.04004156,0.99994934,0.38750675,0.2053459,-0.15888515,0.9999591,0.3688597,0.20598976,-0.15709355,0.9999622,0.4421025,0.27216953,0.030243536,0.99989974,0.33066878,0.27980423,0.045508057,0.9998309,0.46703035,0.38079327,-0.14424199,0.96751,0.3123805,0.3857602,-0.09269439,0.8971271,0.44321784,0.3115143,-0.41466695,0.9721514,0.31841704,0.33669266,-0.37905824,0.90889305,0.42917767,0.4936481,0.0065970356,0.9997519,0.35836008,0.49789587,-0.006658698,0.99976087,0.4574848,0.66878456,0.022359353,0.99470913,0.34276387,0.67249584,-0.012521235,0.9965105,0.49448052,0.82599044,0.17845769,0.9945773,0.3215514,0.83094,0.15527488,0.9961347,0.48745266,0.84665334,0.18176997,0.9323553,0.325889,0.84936684,0.16120213,0.91280824,idle
0.37737775,0.18708022,-0.20457737,0.99998105,0.38945925,0.17369975,-0.18370284,0.9999725,0.3652218,0.17544934,-0.18056726,0.9999628,0.4018982,0.18423198,-0.04438449,0.9999503,0.3554197,0.18774809,-0.03318037,0.99994993,0.3876782,0.20526142,-0.15210308,0.99996126,0.36901957,0.20596537,-0.14917679,0.9999636,0.44206023,0.2720863,0.030513052,0.99990183,0.33124298,0.2797083,0.056411974,0.9998371,0.4653259,0.3812551,-0.13408539,0.9688423,0.31242007,0.38573378,-0.0762393,0.89722174,0.44243985,0.31139138,-0.39412773,0.9734575,0.317254,0.33488983,-0.361792,0.9108608,0.4289086,0.4928539,0.0050089117,0.9997575,0.35809758,0.49699003,-0.005069194,0.9997678,0.4573125,0.66638786,0.015885565,0.9948163,0.34254324,0.6722068,-0.012691815,0.9965981,0.49447805,0.8248463,0.15616252,0.99471456,0.32147396,0.8312311,0.15289812,0.9962689,0.48746687,0.8463956,0.15966912,0.93408126,0.32587034,0.8495495,0.15859036,0.9147201,idle
0.37743473,0.18708707,-0.20503399,0.9999821,0.38953584,0.17370175,-0.18464866,0.9999737,0.36531395,0.17547864,-0.18115368,0.9999641,0.40199795,0.18421198,-0.04597457,0.9999525,0.35545853,0.18778422,-0.033747498,0.99995077,0.38777092,0.20523362,-0.15292084,0.9999633,0.36912197,0.20595391,-0.14950004,0.999965,0.4418656,0.27201232,0.02823165,0.9999029,0.33140045,0.27963433,0.056577824,0.99984366,0.46261007,0.3822869,-0.13353105,0.9699963,0.31242058,0.38556853,-0.07343015,0.8976239,0.4378635,0.308033,-0.38024703,0.9745839,0.31625003,0.33446667,-0.35439238,0.9126357,0.42871243,0.49286166,0.003048031,0.9997635,0.35782155,0.4969873,-0.0031034849,0.99977505,0.45689917,0.6656143,0.0153596075,0.9949615,0.3421085,0.6722381,-0.00991671,0.9967117,0.49447018,0.8243296,0.15624532,0.9948401,0.3213959,0.8316401,0.15418379,0.99640214,0.4874796,0.84630495,0.1604007,0.9351183,0.32580632,0.84970146,0.15975188,0.9166714,idle
0.37751156,0.18703406,-0.20688894,0.9999828,0.38965538,0.17364019,-0.18637066,0.99997455,0.36534125,0.17547658,-0.18302558,0.99996424,0.40206924,0.18417388,-0.04691062,0.9999545,0.35570973,0.18777375,-0.0341829,0.9999496,0.38797265,0.20512635,-0.15437627,0.99996495,0.36916035,0.20584835,-0.15099816,0.9999654,0.441222,0.27239066,0.026970467,0.99990463,0.331343,0.27916563,0.05352687,0.9998399,0.4614865,0.38386112,-0.13053006,0.97098964,0.31243187,0.38287896,-0.07943269,0.89074445,0.43485865,0.30713558,-0.3647874,0.975355,0.3164446,0.32700804,-0.36375135,0.9064134,0.42796025,0.49286464,0.0031948679,0.99976933,0.35677943,0.49701574,-0.0032453495,0.9997771,0.45618254,0.66526383,0.012947941,0.995093,0.34155458,0.6721004,-0.0067053535,0.9967671,0.49444732,0.82368773,0.14968196,0.9949416,0.32130843,0.83167785,0.16093028,0.99647176,0.48747635,0.84597325,0.15351675,0.93575567,0.32579225,0.84955144,0.167085,0.9173896,idle
0.37750483,0.18674016,-0.23047057,0.99998367,0.38973215,0.17342061,-0.20937476,0.9999758,0.36531508,0.17537121,-0.20659296,0.9999654,0.4021172,0.18414555,-0.065144315,0.9999572,0.35589018,0.18751957,-0.055323802,0.99995047,0.38805416,0.2048912,-0.17614676,0.99996716,0.36899084,0.20558888,-0.17368564,0.99996686,0.44082317,0.2731652,0.01194437,0.9999059,0.33135137,0.278687,0.03807757,0.99983984,0.46121702,0.3843717,-0.15070686,0.9721401,0.31241024,0.37857124,-0.10307828,0.8866353,0.4351484,0.30702192,-0.40835986,0.976298,0.31440774,0.32442576,-0.40323192,0.90341234,0.42695394,0.49301937,0.0032974132,0.9997748,0.35563293,0.4970844,-0.0033456222,0.99978095,0.4557324,0.66528016,0.01137363,0.99524844,0.34066278,0.672159,-0.0060441988,0.99686515,0.4942963,0.823206,0.14634515,0.99510455,0.32125884,0.8317209,0.16113444,0.99658847,0.4871505,0.8456562,0.14974752,0.9374949,0.3259471,0.84951377,0.16718866,0.91907865,idle
0.37743104,0.18677393,-0.2685716,0.9999843,0.38972968,0.17342149,-0.2465597,0.99997675,0.36530572,0.17546126,-0.24470372,0.99996644,0.40208238,0.184121,-0.09350799,0.99995965,0.3559931,0.18752904,-0.086754315,0.9999515,0.388048,0.20489629,-0.21040499,0.999969,0.36896506,0.20563997,-0.2088463,0.999968,0.44018263,0.27342108,-0.00481542,0.9999051,0.3313978,0.27798685,0.014817731,0.99983555,0.46111172,0.3841843,-0.1629561,0.9723452,0.31229216,0.37412167,-0.13069443,0.88401985,0.43516392,0.3081621,-0.43119773,0.9755024,0.31433493,0.3225824,-0.44197124,0.89995044,0.42600995,0.4929059,0.002982128,0.9997763,0.35486624,0.49692625,-0.0030190633,0.9997809,0.4546031,0.6653506,0.0018267684,0.9954194,0.33961472,0.6733678,-0.006613631,0.9969794,0.49425888,0.8232121,0.14330478,0.9952816,0.3210724,0.8323516,0.16092688,0.9967225,0.4871007,0.8455867,0.14702336,0.9387285,0.32594523,0.84966964,0.1670183,0.92107785,idle
