x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.45692095,0.1879645,-0.22270624,0.99995625,0.4658575,0.17714879,-0.19368272,0.99992955,0.4446682,0.1701779,-0.21027657,0.99991286,0.46348947,0.18417908,-0.03413054,0.9998749,0.42513108,0.169997,-0.10631268,0.9998811,0.45715553,0.20748602,-0.16278647,0.9997675,0.44299713,0.20419428,-0.18569687,0.99973017,0.46931762,0.30190322,0.07272453,0.9989807,0.36785883,0.24212137,-0.10360458,0.9999325,0.4791963,0.4147889,-0.07483014,0.5185992,0.2878552,0.2994944,-0.30883616,0.99559706,0.5023018,0.33207604,-0.34526163,0.57093716,0.38115412,0.24332812,-0.4897166,0.98118764,0.41132155,0.52333796,0.07126055,0.9988447,0.34366444,0.5132503,-0.071143046,0.99957985,0.47280318,0.6738641,0.021925163,0.9241857,0.3012579,0.6868368,-0.14097276,0.9963587,0.47763833,0.8426889,0.22350875,0.9639472,0.25628048,0.87045074,-0.013300585,0.99388236,0.4591926,0.8805415,0.23530078,0.92645633,0.25263426,0.8940092,-0.008283085,0.91438943,idle
0.4285912,0.18179326,-0.29610255,0.9999605,0.43851247,0.16917644,-0.26734647,0.9999363,0.41608733,0.16200252,-0.27917174,0.99992114,0.43904233,0.17650135,-0.10013185,0.99988693,0.39565876,0.16354366,-0.15625873,0.99989253,0.4303401,0.20007247,-0.23354909,0.9997905,0.41523075,0.19743387,-0.25062615,0.999757,0.45212966,0.29852057,0.0080845235,0.9990813,0.33333728,0.24450126,-0.10211013,0.999938,0.47471413,0.41127837,-0.13863212,0.565713,0.25677288,0.3253577,-0.2959482,0.9957858,0.4951895,0.32922235,-0.4368166,0.6135165,0.3201394,0.2438741,-0.5464336,0.9827768,0.39872953,0.5240516,0.0457848,0.99890316,0.32700187,0.5194103,-0.045823757,0.9995938,0.45870218,0.67976123,0.058154933,0.93129003,0.28425553,0.69637614,-0.0885368,0.99640983,0.47736126,0.8437957,0.31451163,0.96679753,0.25550047,0.8745606,0.082124256,0.9939443,0.46256462,0.87808394,0.33333427,0.92864096,0.2550569,0.89729154,0.091372505,0.9119054,idle
0.39998886,0.16665824,-0.37816808,0.9999643,0.41187128,0.15286759,-0.3496063,0.99994236,0.38742602,0.14727187,-0.3546273,0.9999287,0.41782624,0.16475709,-0.17532127,0.99989766,0.36894628,0.15294413,-0.20290487,0.9999029,0.405372,0.18621702,-0.31368023,0.9998113,0.38884962,0.18320775,-0.32215768,0.9997812,0.43759078,0.2840465,-0.059014298,0.99917084,0.3114488,0.2443726,-0.12082883,0.99994314,0.46446046,0.40734884,-0.22492531,0.6080878,0.23781082,0.33343533,-0.3138246,0.9959137,0.49270695,0.31576604,-0.5482918,0.65168446,0.27982667,0.24445419,-0.6418953,0.9841748,0.3881128,0.5245259,0.038337253,0.99898475,0.31578916,0.52057344,-0.038458075,0.99962074,0.44798365,0.68968976,0.07121662,0.937843,0.2767489,0.698484,-0.075877175,0.9966273,0.47198382,0.8447738,0.36327437,0.96974397,0.25730786,0.87376505,0.12992693,0.99431115,0.46238723,0.87806255,0.38387153,0.9327576,0.26155934,0.89551204,0.1423096,0.91404706,idle
0.3793326,0.15837744,-0.45122376,0.9999678,0.3919552,0.14354144,-0.42449173,0.999948,0.36612862,0.13973045,-0.4270974,0.99993575,0.40044346,0.15398522,-0.24511662,0.99990773,0.3490556,0.14626296,-0.26004496,0.9999125,0.38676932,0.17898804,-0.3833237,0.9998301,0.36876267,0.17611933,-0.3882338,0.999803,0.42675662,0.26571605,-0.12189412,0.9992527,0.29513726,0.24020515,-0.1523141,0.99994826,0.4639193,0.39838874,-0.32308546,0.64687306,0.22128642,0.3301178,-0.37710878,0.9961769,0.47938973,0.29114246,-0.6647376,0.68624115,0.26336172,0.23169681,-0.71533525,0.98556274,0.3883144,0.5234277,0.025545334,0.9990688,0.31206325,0.51881135,-0.02567856,0.99965155,0.44758597,0.69185925,0.03655731,0.94386905,0.27346304,0.6998375,-0.10000557,0.9968819,0.47159442,0.8447816,0.37523073,0.97249883,0.25823456,0.8743503,0.14396732,0.9947334,0.4611196,0.8761733,0.40077487,0.93652624,0.2642594,0.89565647,0.16078278,0.9176525,idle
0.36570704,0.15305755,-0.4437748,0.999971,0.37725747,0.13586555,-0.41918498,0.9999531,0.3530708,0.13352308,-0.4200624,0.999942,0.3877149,0.14500363,-0.24721062,0.99991673,0.3389203,0.14127144,-0.25244722,0.9999211,0.37381428,0.17372867,-0.37742883,0.99984705,0.35678,0.17251697,-0.37951285,0.9998227,0.42095274,0.25107315,-0.13291432,0.99932635,0.28611934,0.23811899,-0.15228465,0.9999528,0.46552235,0.37649438,-0.34564406,0.6819057,0.21134886,0.32433403,-0.37133175,0.9964363,0.46900496,0.2673059,-0.6807271,0.71739364,0.25226396,0.22146751,-0.70276284,0.98683405,0.39063278,0.517476,0.010018602,0.99914515,0.3115331,0.517897,-0.010185241,0.9996806,0.45040363,0.6901327,-0.003940264,0.94934756,0.27350435,0.69970506,-0.12835917,0.9971191,0.48177218,0.8398214,0.36860576,0.97502047,0.25750667,0.8748425,0.14098746,0.9951313,0.4741632,0.8629993,0.39714223,0.9384638,0.26554668,0.8966153,0.16160968,0.9214849,idle
0.35780266,0.1486883,-0.41269103,0.9999736,0.37108785,0.13099888,-0.3873579,0.99995714,0.3441289,0.12961878,-0.38750395,0.99994713,0.38242453,0.1407759,-0.22058468,0.99992394,0.33356342,0.13893496,-0.22295931,0.9999283,0.36733118,0.1697959,-0.34919906,0.9998621,0.34793752,0.16959931,-0.35013962,0.99984026,0.41956273,0.24504267,-0.117057815,0.9993912,0.28787786,0.23730658,-0.13028899,0.9999557,0.4684456,0.35917175,-0.3325462,0.71338725,0.20949468,0.31894127,-0.36215052,0.9966607,0.4629135,0.24990226,-0.65549964,0.74529785,0.24903396,0.21647315,-0.6596791,0.9879022,0.39290693,0.514603,0.0048575937,0.9992096,0.31440437,0.517053,-0.0050330013,0.9996996,0.45129567,0.6898749,-0.042903397,0.95429814,0.2755375,0.6988143,-0.1217108,0.9973187,0.48891822,0.8365631,0.3539841,0.9772975,0.25679645,0.8690534,0.17138842,0.9954362,0.48393565,0.856967,0.3665286,0.9382353,0.26530626,0.8923268,0.19266936,0.9232436,idle
0.3576994,0.15065119,-0.38362083,0.99997586,0.37114695,0.13368489,-0.3589271,0.99996054,0.34487176,0.13196571,-0.36020896,0.9999514,0.382658,0.14305748,-0.19069542,0.9999297,0.3333794,0.1407668,-0.2027951,0.9999345,0.36730137,0.17062071,-0.31893748,0.99987537,0.34828737,0.17031102,-0.3216813,0.9998559,0.42072797,0.24264506,-0.081109375,0.9994489,0.2914235,0.23721582,-0.10280399,0.99995786,0.46824345,0.3582691,-0.28014946,0.7415302,0.21948154,0.32563132,-0.30663624,0.99681216,0.46069765,0.25131217,-0.6100561,0.7702938,0.25618276,0.21842417,-0.60948557,0.988813,0.3931079,0.51465636,0.0061664507,0.99927336,0.3191516,0.51723963,-0.0063140416,0.99971867,0.4548574,0.68873006,-0.0328762,0.9587242,0.27872366,0.69846046,-0.07632749,0.9974988,0.49531478,0.83693224,0.2948447,0.9793511,0.2560212,0.8687575,0.21339747,0.9957344,0.48914528,0.85939276,0.31635398,0.9401468,0.2634269,0.89047027,0.23427399,0.9260629,idle
0.3659181,0.15091248,-0.3557642,0.99997807,0.37916544,0.13429753,-0.32970822,0.99996406,0.35358125,0.13305774,-0.33365068,0.99995583,0.3916922,0.14426938,-0.16393536,0.9999358,0.33999392,0.1421997,-0.1678568,0.9999405,0.3732528,0.17064206,-0.29262185,0.9998875,0.35582763,0.17057095,-0.29916063,0.99987006,0.42597207,0.24710922,-0.055829655,0.99950117,0.2995534,0.23819175,-0.06921782,0.99996,0.4688719,0.36221972,-0.2492326,0.7668701,0.23804215,0.34286565,-0.2612229,0.99676913,0.4624073,0.26459613,-0.5847193,0.79295003,0.26975787,0.23136643,-0.58435065,0.98951006,0.400909,0.5156246,0.0073796,0.9993366,0.32047293,0.5182599,-0.007562054,0.9997407,0.4605817,0.6936201,-0.00070012535,0.9626905,0.28126314,0.69906825,-0.071599826,0.9976898,0.49467582,0.84840524,0.3304776,0.9811908,0.25555825,0.8677721,0.19512832,0.99605614,0.48633042,0.8742187,0.35339615,0.94248486,0.26174098,0.8890742,0.21357818,0.92986166,idle
0.37889045,0.15321349,-0.34625417,0.99998,0.39092723,0.13702875,-0.31845954,0.9999671,0.36634788,0.13594557,-0.3254906,0.9999597,0.40127212,0.14691274,-0.16206184,0.99994105,0.3514822,0.14369608,-0.15002656,0.9999458,0.38619748,0.17261484,-0.283351,0.99989843,0.36914498,0.1723158,-0.29105973,0.9998828,0.42810807,0.24917223,-0.043976955,0.99954695,0.31061095,0.24764535,-0.06859137,0.99996126,0.48418826,0.37309238,-0.23317918,0.7896113,0.25664648,0.36103186,-0.25811288,0.9967193,0.47436395,0.27560252,-0.5668686,0.81330574,0.28477067,0.2522185,-0.5791482,0.9901533,0.4152421,0.52400887,0.015571696,0.9993938,0.33390385,0.5247923,-0.015745996,0.99976027,0.47562963,0.70744234,0.0032900095,0.9662387,0.28212374,0.70108265,-0.088213116,0.9978724,0.49251118,0.85819334,0.3500412,0.98279196,0.25559658,0.8682745,0.18653053,0.99635255,0.48266584,0.88494396,0.3753454,0.945222,0.26101133,0.8896959,0.20669591,0.93328,idle
0.3817179,0.15518112,-0.3288977,0.9999816,0.39517194,0.13926716,-0.29622197,0.9999696,0.36738747,0.13785346,-0.29670876,0.9999629,0.41331926,0.14867873,-0.123340055,0.9999453,0.36091954,0.14548083,-0.122841656,0.99995035,0.39684853,0.17417307,-0.265147,0.99990803,0.37683442,0.17379692,-0.26591176,0.9998941,0.45156127,0.25051975,-0.01685936,0.99958676,0.32114232,0.25191575,-0.056895126,0.99996096,0.5068168,0.3773049,-0.21454795,0.81005776,0.26141328,0.36395133,-0.2519614,0.9967298,0.49481496,0.27662942,-0.5392073,0.8316231,0.30029088,0.25746116,-0.5488049,0.9907212,0.4316134,0.5274001,0.019940324,0.99944526,0.35318086,0.5257474,-0.02007727,0.9997737,0.4889842,0.70416695,-0.09005213,0.9694233,0.29438502,0.7008456,-0.107154444,0.99801844,0.49307054,0.8596818,0.23409379,0.9842515,0.2559078,0.86804175,0.15419641,0.9966045,0.48098865,0.8872293,0.2574796,0.9484429,0.2602653,0.89015514,0.1723791,0.9358936,idle
0.40537292,0.1543022,-0.34968182,0.9999832,0.41989675,0.13764587,-0.3191118,0.9999721,0.39065126,0.13794357,-0.3176076,0.99996614,0.4343702,0.14728823,-0.14491877,0.99994934,0.3832097,0.14629684,-0.13648164,0.9999548,0.41815513,0.17313649,-0.28626806,0.9999168,0.39828587,0.17345734,-0.285722,0.9999044,0.4741879,0.24998894,-0.0385996,0.9996234,0.34168229,0.25114205,-0.0689898,0.99996257,0.5245934,0.37482157,-0.22927554,0.8287058,0.27274996,0.35409644,-0.2607984,0.9968904,0.5178591,0.2698138,-0.5517331,0.8482351,0.306467,0.25373092,-0.54934573,0.9913186,0.44700512,0.5264478,0.017579881,0.999491,0.37008205,0.5221087,-0.017738786,0.9997887,0.492163,0.7025521,-0.05429197,0.97231054,0.3094293,0.6967876,-0.09527766,0.9981682,0.49445373,0.85961366,0.25269496,0.98560953,0.2646107,0.86622566,0.18192199,0.9968638,0.48212105,0.8867291,0.27381137,0.951468,0.2726354,0.88980347,0.2008945,0.9394098,idle
0.42469493,0.14379366,-0.46838492,0.9999844,0.43753228,0.12704255,-0.44261375,0.9999738,0.41062647,0.1272993,-0.44342953,0.99996877,0.4490389,0.1377458,-0.26910588,0.9999515,0.40117854,0.13717882,-0.27501017,0.99995863,0.43490714,0.16361354,-0.40289998,0.9999241,0.4172911,0.16465425,-0.40512967,0.9999135,0.4867499,0.23817529,-0.14894441,0.9996484,0.3578337,0.23800057,-0.16826688,0.99996334,0.5369428,0.35568303,-0.34811497,0.84549755,0.28627628,0.33964348,-0.37271866,0.9970566,0.529774,0.253301,-0.66457117,0.8629914,0.31945065,0.23185557,-0.68439925,0.9918327,0.45435256,0.51169837,0.00919411,0.9995149,0.3803804,0.5040547,-0.0092930375,0.99979943,0.49001473,0.69953877,0.046887726,0.9748064,0.33203924,0.6820233,-0.04390032,0.9982711,0.4945367,0.86046535,0.2781388,0.9867635,0.2911803,0.85225827,0.18152425,0.99704975,0.48112336,0.88718754,0.2796026,0.95192355,0.30032143,0.8813591,0.19453658,0.9410365,idle
0.43542504,0.13089325,-0.50607866,0.9999855,0.4474628,0.115260005,-0.47898492,0.99997544,0.42068893,0.115539424,-0.48001724,0.9999712,0.45846123,0.12344391,-0.29889175,0.999954,0.41069412,0.12499722,-0.30725008,0.99996233,0.44501835,0.15260664,-0.43813977,0.99993116,0.42735872,0.15321635,-0.44092035,0.9999219,0.49349633,0.23126546,-0.1696736,0.99967366,0.36571693,0.22263215,-0.2039717,0.99996513,0.54326576,0.34810168,-0.38547644,0.86064935,0.29372358,0.3196273,-0.42088848,0.997256,0.5382705,0.24401465,-0.72752863,0.87635946,0.33184698,0.21698944,-0.74529105,0.992433,0.45853224,0.4950326,0.013415846,0.999535,0.3849731,0.4876787,-0.013532576,0.9998061,0.49548036,0.68290436,0.005004938,0.97693694,0.34784493,0.6675778,-0.12508331,0.99833345,0.4964196,0.8584169,0.24303567,0.98761237,0.33065936,0.8449166,0.13356374,0.9971042,0.48090354,0.8845374,0.25463122,0.95187527,0.33394143,0.87051976,0.14932236,0.93986034,idle
