x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.75088245,0.16103859,-0.16165248,0.9998319,0.7602079,0.14348494,-0.14393702,0.9996438,0.74004096,0.14418715,-0.13839012,0.9995577,0.76926756,0.1502135,-0.021648576,0.99939394,0.729146,0.15160373,0.0050250394,0.9993891,0.75998974,0.17890806,-0.114179984,0.99968493,0.74464625,0.17879295,-0.106679186,0.99963784,0.8102299,0.23107873,0.034724906,0.99954677,0.7024764,0.23628181,0.04666239,0.9996144,0.8313586,0.3314104,-0.1374622,0.9853935,0.6744367,0.33231336,-0.108718455,0.97928154,0.78488064,0.22852728,-0.31210253,0.9900763,0.71828324,0.22963147,-0.29570153,0.9781079,0.78320676,0.4796272,0.003627191,0.99971074,0.71467817,0.4740544,-0.0035969578,0.9998587,0.78004086,0.66115314,0.029834483,0.9897368,0.69604164,0.6480864,0.02092592,0.9965765,0.7772713,0.8245831,0.18625695,0.98538274,0.67482156,0.8035097,0.20120835,0.9938598,0.766374,0.84649795,0.19410469,0.9198949,0.6839782,0.8242726,0.20582995,0.91431266,idle
0.75104797,0.16295089,-0.1706315,0.9998271,0.7603887,0.1444941,-0.15415595,0.99964345,0.7407121,0.14640045,-0.14765546,0.9995461,0.76972073,0.15008624,-0.035213195,0.99940085,0.7305697,0.15313682,-0.0046379473,0.9993663,0.76066136,0.18053322,-0.12448349,0.9996735,0.74549526,0.18072097,-0.11565794,0.99961084,0.8133252,0.23204595,0.020776983,0.99953455,0.7043045,0.23810823,0.037133776,0.9995923,0.8317027,0.3332559,-0.14769,0.9848857,0.67646295,0.3341163,-0.11917921,0.9776526,0.78496253,0.22909908,-0.31131572,0.98977435,0.7197788,0.23043725,-0.3046161,0.9767137,0.78440815,0.48166028,0.003616433,0.9997116,0.7154451,0.47542948,-0.0035878345,0.99985546,0.78029215,0.66359484,0.030691952,0.9900149,0.69577754,0.6491407,0.02808157,0.99657875,0.77702564,0.82681614,0.19398363,0.98597264,0.6746491,0.8040002,0.20516756,0.9939831,0.76636696,0.848904,0.2022665,0.92286,0.68387246,0.8246221,0.21322998,0.91448003,idle
0.75206745,0.16403659,-0.17605022,0.99982524,0.76129,0.1456554,-0.15921405,0.9996482,0.74200183,0.14786097,-0.15255193,0.9995418,0.77074397,0.15094598,-0.04076242,0.9994148,0.7316898,0.15442252,-0.010533132,0.9993588,0.7617859,0.18156314,-0.1301914,0.9996707,0.74696946,0.1818205,-0.121651605,0.99959576,0.81411487,0.23191261,0.018634792,0.9995362,0.70527697,0.23931739,0.030410975,0.9995775,0.83298504,0.3351609,-0.14081797,0.9846859,0.67743653,0.33550158,-0.12743534,0.9768334,0.78497636,0.2311712,-0.30347085,0.9896971,0.72098327,0.23121145,-0.31289044,0.9761899,0.78527415,0.48298427,0.0059603197,0.99971586,0.71600556,0.4767494,-0.0059110504,0.999853,0.78396773,0.6648667,0.03091373,0.9902731,0.6956738,0.6496841,0.03597888,0.99655765,0.77735406,0.82712567,0.19159332,0.98644155,0.67451054,0.8040506,0.22594094,0.99402505,0.7663909,0.8490843,0.19937634,0.92610496,0.683189,0.82464314,0.23649792,0.9141504,idle
0.75305676,0.16452542,-0.19027792,0.9998234,0.7623593,0.14660375,-0.17414257,0.99964964,0.7427046,0.14817816,-0.16862068,0.9995345,0.7716142,0.15243119,-0.05174581,0.9994202,0.7319433,0.15508161,-0.0258814,0.9993418,0.7625868,0.18242396,-0.14225426,0.9996653,0.7475136,0.18236774,-0.13492355,0.99958193,0.8140974,0.23272322,0.014892909,0.99952644,0.70529133,0.24007802,0.022992136,0.99955547,0.83294487,0.33668652,-0.14543916,0.9844083,0.67778313,0.33617023,-0.1323937,0.975559,0.7849183,0.23152716,-0.3120614,0.9896391,0.72096324,0.23160683,-0.31990734,0.9754768,0.78593004,0.48269367,0.0071481476,0.9997144,0.716231,0.47651443,-0.0070870183,0.9998475,0.7851069,0.6622137,0.030126479,0.9905909,0.6963562,0.6484501,0.038809527,0.99656725,0.7773391,0.8270658,0.18225357,0.9870161,0.67467844,0.80254555,0.23035225,0.99417245,0.76621604,0.8491847,0.18903254,0.9295263,0.68326026,0.8237951,0.24099799,0.91537184,idle
0.752952,0.16503285,-0.20939612,0.99982005,0.7623123,0.14723252,-0.19412956,0.99964607,0.742643,0.14871128,-0.18748143,0.9995225,0.7718195,0.15273814,-0.07254909,0.999422,0.732152,0.1547454,-0.040785022,0.99930847,0.76235884,0.18248992,-0.161411,0.9996617,0.7473074,0.18236476,-0.15249917,0.9995669,0.8139612,0.23233487,-0.0054604677,0.9995213,0.70532215,0.23876859,0.017100574,0.99953943,0.83307636,0.33700097,-0.16494974,0.9845492,0.6778544,0.3374721,-0.13510941,0.9744967,0.7848765,0.23231246,-0.3495759,0.98974085,0.72043407,0.23209506,-0.34392875,0.9752913,0.78648764,0.4834853,0.0054099024,0.9997027,0.71677285,0.4765941,-0.0053704414,0.9998402,0.78510034,0.66320056,0.039656583,0.99104404,0.6963611,0.6476166,0.031418458,0.9966874,0.7773482,0.8270292,0.19723883,0.9877045,0.6748343,0.8026493,0.21256904,0.9944293,0.7662307,0.8490135,0.20256689,0.93230283,0.68438816,0.82476604,0.21855974,0.9178766,idle
0.7527755,0.16518971,-0.21518183,0.999812,0.7622518,0.14711569,-0.20062387,0.9996328,0.74253345,0.1488238,-0.19312875,0.99949944,0.77189386,0.15257113,-0.08267871,0.99940133,0.7322844,0.15437365,-0.04695688,0.9992581,0.7621857,0.18221374,-0.16866198,0.99964523,0.7470876,0.18220724,-0.15864937,0.9995383,0.8139156,0.23148689,-0.018636134,0.99949074,0.7061319,0.23935612,0.010916196,0.99952185,0.8330143,0.33657172,-0.17675306,0.98391044,0.67754394,0.33829883,-0.13597496,0.97341317,0.7837235,0.23276576,-0.35518947,0.9892648,0.72035164,0.23334351,-0.34405655,0.974279,0.7869459,0.48430678,0.004462964,0.99968886,0.7172835,0.477049,-0.004453661,0.99983245,0.78517973,0.6638406,0.047433827,0.9913069,0.69630444,0.6465485,0.037200686,0.9967529,0.7778224,0.8264759,0.21225873,0.98816043,0.67492616,0.80271614,0.21357706,0.99458015,0.7670409,0.8486824,0.21946435,0.93417734,0.6846252,0.8251857,0.22147807,0.9188027,idle
0.7527121,0.16561633,-0.21828833,0.9998117,0.7622333,0.14737125,-0.20543881,0.9996324,0.74246657,0.1493122,-0.19639316,0.9994955,0.7718926,0.15244773,-0.09398092,0.99940115,0.73233163,0.15467177,-0.05077387,0.9992334,0.76205057,0.18233249,-0.17390573,0.9996409,0.74693334,0.18241031,-0.1618415,0.99952537,0.814168,0.2317203,-0.030520588,0.99946713,0.7069615,0.23854081,0.005627729,0.9995067,0.832726,0.33604136,-0.18863502,0.9839033,0.67725265,0.3384174,-0.139057,0.97300124,0.78273475,0.23320471,-0.36450952,0.9893849,0.71923697,0.23416011,-0.3517015,0.9742319,0.78686213,0.48473302,0.0033254437,0.99967545,0.71724904,0.47765225,-0.003313334,0.9998255,0.7859892,0.6646575,0.02379472,0.99152946,0.69618976,0.64322776,0.03809403,0.9968128,0.7784297,0.8269997,0.15878594,0.98851943,0.6758839,0.80275726,0.21149273,0.99473876,0.7672494,0.84927833,0.16350403,0.93668956,0.6871982,0.8263091,0.2199349,0.920923,idle
0.7526534,0.16598397,-0.22798255,0.99981457,0.762213,0.14759776,-0.21299931,0.9996355,0.74234027,0.14965206,-0.2047404,0.99949825,0.771894,0.1523863,-0.095495276,0.99940985,0.73235,0.15478526,-0.056456424,0.9992174,0.7620068,0.18241428,-0.18201368,0.9996346,0.746814,0.18267474,-0.17105874,0.99951357,0.81416357,0.23186694,-0.035482164,0.9994543,0.7070154,0.23729202,0.0055968706,0.99948335,0.8317524,0.33576936,-0.19481258,0.98449093,0.67620164,0.3385565,-0.13961154,0.97317195,0.7809928,0.23355754,-0.38311633,0.9898885,0.71567863,0.23397583,-0.36764485,0.9750362,0.7857336,0.48415482,-0.003136664,0.9996254,0.7164711,0.47609615,0.0032097145,0.9998019,0.78567165,0.65869564,-0.0056497403,0.9911777,0.6930287,0.63215935,0.009430592,0.99669,0.7781704,0.82658833,0.12217976,0.9879404,0.6764575,0.8027958,0.16781764,0.9945802,0.76684594,0.8490884,0.12598312,0.93500096,0.6886927,0.8269835,0.17483778,0.9211942,idle
0.7501055,0.16661361,-0.23305044,0.9998217,0.760811,0.14765549,-0.22307262,0.99964803,0.7397887,0.15087472,-0.21031928,0.99951214,0.77150655,0.15276667,-0.1202085,0.99943095,0.7321374,0.15491231,-0.059859317,0.9992288,0.7604917,0.18270704,-0.19132556,0.99964166,0.74451137,0.18292692,-0.17458043,0.9995186,0.814149,0.23224965,-0.055080898,0.99944746,0.706984,0.23697919,0.005120534,0.9994875,0.8293134,0.33607796,-0.21416092,0.98466676,0.67275846,0.3369207,-0.1378986,0.972953,0.7779101,0.23405366,-0.39343345,0.9900146,0.7103685,0.23352636,-0.3628798,0.9751032,0.78280556,0.4847535,-0.0069304854,0.99960566,0.7142354,0.47658554,0.0069804573,0.9997952,0.7842654,0.65952843,0.0040045576,0.9910741,0.6887223,0.6341383,0.020277735,0.9967324,0.77835405,0.82563686,0.14161219,0.9879707,0.67707956,0.80282843,0.17454718,0.9946932,0.76685894,0.84859794,0.14655443,0.9360319,0.6905485,0.8273264,0.17953333,0.92349786,idle
0.7416889,0.16667973,-0.20553038,0.9998208,0.75481695,0.14800389,-0.20346694,0.99964446,0.73472536,0.15135519,-0.18129975,0.99950576,0.7689552,0.15301135,-0.10928331,0.9994282,0.7300416,0.15519874,-0.032609023,0.9992,0.7527139,0.18295531,-0.1777598,0.9996232,0.7369732,0.18307069,-0.14780138,0.9994916,0.8129665,0.23231842,-0.057079922,0.99937934,0.7069275,0.23745373,0.030667786,0.9994776,0.8226763,0.3355195,-0.21792793,0.98425317,0.6686513,0.33634713,-0.11442679,0.97129834,0.7735601,0.23283662,-0.38666606,0.98962,0.70375156,0.23179261,-0.34800786,0.9739653,0.77774704,0.48776808,-0.016712286,0.9995743,0.7108694,0.47749186,0.016753927,0.9997902,0.78111535,0.66024655,0.009801208,0.9909471,0.68388784,0.63501686,0.026121479,0.99672204,0.7783798,0.8222087,0.15508527,0.9877366,0.6770446,0.8069988,0.17769818,0.9947504,0.7669281,0.8441896,0.16101399,0.9342443,0.6910279,0.83107716,0.18407132,0.9254887,idle
