x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.5106469,0.26855418,-0.16640757,0.99996185,0.51442474,0.2553035,-0.14429809,0.99994874,0.50011486,0.25423113,-0.1666694,0.9999433,0.51133025,0.25986588,-0.013521619,0.999853,0.48406324,0.25687727,-0.11068902,0.99995154,0.51165855,0.28248248,-0.115756094,0.99994504,0.5023999,0.28135765,-0.14431298,0.9999539,0.52890635,0.34758064,0.099932775,0.9995126,0.45370197,0.33340257,-0.13215877,0.999895,0.55562216,0.43445975,-0.03007352,0.8810649,0.47411537,0.42449299,-0.16942485,0.9882964,0.55352515,0.35460398,-0.2995848,0.92598885,0.52523243,0.3446713,-0.12982634,0.9792941,0.50887024,0.54006,0.07861553,0.9993478,0.4636454,0.5379027,-0.078619,0.9996828,0.51232404,0.6886542,0.12842354,0.9551749,0.46427292,0.6846703,-0.11294669,0.99649656,0.4970745,0.8284926,0.2628191,0.98338497,0.4316061,0.8414091,-0.059495132,0.9941424,0.4838571,0.84900606,0.26893878,0.9602014,0.4199699,0.8587338,-0.062064342,0.9183605,idle
0.5122549,0.26097846,-0.20052794,0.99995756,0.5167388,0.24797899,-0.1779894,0.9999435,0.50124484,0.24688102,-0.20197459,0.9999375,0.51418185,0.2527173,-0.039296545,0.9998367,0.4851378,0.24994142,-0.14458312,0.9999472,0.51381993,0.27512437,-0.14647318,0.9999417,0.5044285,0.27465466,-0.17741272,0.9999516,0.53104824,0.34161714,0.09323344,0.9995075,0.45508528,0.32583347,-0.15569799,0.9998941,0.5574981,0.43104553,-0.040617704,0.8768816,0.4764499,0.4176275,-0.18233381,0.98805064,0.5544306,0.35293132,-0.30999964,0.92162377,0.5284539,0.3407043,-0.13202591,0.97864616,0.51067746,0.53559595,0.07999535,0.9992445,0.46489516,0.53420526,-0.07998891,0.9996427,0.5175378,0.6786882,0.14137831,0.9476544,0.46848685,0.67767566,-0.13351181,0.9960074,0.5009573,0.821045,0.27598247,0.9795228,0.4434886,0.8406655,-0.088860594,0.99340945,0.48762614,0.84017,0.2868164,0.9545528,0.43304142,0.8590456,-0.09297085,0.9134692,idle
0.5133382,0.25750452,-0.2266855,0.99995714,0.51821357,0.24366787,-0.20409091,0.9999425,0.5023276,0.24254277,-0.22669566,0.99993676,0.51638144,0.24957183,-0.06277471,0.99983627,0.48601204,0.2465602,-0.16287334,0.9999471,0.5153917,0.2726186,-0.1715483,0.9999427,0.5059052,0.27210215,-0.2007811,0.99995273,0.5322827,0.3400119,0.0695038,0.9995028,0.456391,0.32304108,-0.17329916,0.9998964,0.5581389,0.42964718,-0.05521082,0.87333727,0.47846803,0.41317913,-0.21422441,0.9879984,0.5555608,0.35022035,-0.33725756,0.9184364,0.5323244,0.3371249,-0.19850892,0.978479,0.51128167,0.53747547,0.07963587,0.9991999,0.46462837,0.53652924,-0.07964153,0.9996355,0.5249931,0.67774296,0.15937093,0.94587094,0.4680811,0.68304104,-0.11813186,0.99600196,0.5064019,0.8145382,0.34776777,0.97772914,0.4522144,0.8414754,-0.0534243,0.99347144,0.49260062,0.83227235,0.36043063,0.95177895,0.4445661,0.8622152,-0.055075567,0.91360956,idle
0.51733196,0.26120257,-0.21584181,0.99995095,0.5212862,0.24710289,-0.19368011,0.9999308,0.50703317,0.24600703,-0.21588416,0.9999266,0.51764315,0.25248852,-0.057192124,0.9998123,0.48899364,0.2493356,-0.1587303,0.9999388,0.51839364,0.27636594,-0.16272096,0.99993724,0.50936687,0.2755147,-0.19149093,0.99994963,0.5325147,0.3405243,0.06733527,0.9994732,0.4573295,0.32377753,-0.17693624,0.9998967,0.55827665,0.43049276,-0.05469074,0.8667986,0.47995186,0.41336688,-0.23443177,0.9881098,0.5552031,0.35304135,-0.3281596,0.91286206,0.53264946,0.33790895,-0.23313129,0.9786131,0.51215357,0.54194456,0.08067793,0.99914616,0.4650485,0.5397519,-0.080683395,0.9996185,0.5357257,0.68002516,0.15670817,0.9437139,0.4688422,0.689489,-0.115755655,0.99585104,0.5114988,0.81299126,0.34526148,0.9748128,0.4540626,0.8443678,-0.042304583,0.99321604,0.49787864,0.83021504,0.35817498,0.9473912,0.44514218,0.86758935,-0.043302055,0.9123135,idle
0.5197302,0.26320428,-0.21316001,0.99994653,0.5237085,0.24914387,-0.19030653,0.999922,0.5090165,0.24805337,-0.21134773,0.99991894,0.51998055,0.25450382,-0.053991716,0.9997942,0.4902103,0.25100562,-0.15062958,0.99993193,0.5208955,0.278387,-0.15979847,0.99993193,0.51117545,0.27745953,-0.18700719,0.99994653,0.5351755,0.3416651,0.0659066,0.9994497,0.45937976,0.3261836,-0.16866472,0.9998971,0.5592613,0.4321676,-0.055316083,0.8617116,0.4795021,0.41631222,-0.23803337,0.9880542,0.55552655,0.3539662,-0.32729298,0.90996134,0.5320092,0.33954933,-0.25401375,0.97845465,0.51640254,0.54336536,0.079860106,0.99911964,0.46931958,0.54697347,-0.079870924,0.9996095,0.5414894,0.6825181,0.15482123,0.94094133,0.47030145,0.69964707,-0.10203757,0.9956346,0.5197791,0.8138804,0.33903566,0.9722518,0.45545927,0.84678066,-0.0124750845,0.99278635,0.50769556,0.83145344,0.35134107,0.94415325,0.44670877,0.86909443,-0.011456872,0.91012985,idle
0.52078706,0.26393622,-0.20884888,0.9999411,0.5251948,0.2501153,-0.18757173,0.9999133,0.50965583,0.2487174,-0.20872848,0.9999106,0.522313,0.25531518,-0.052364618,0.9997729,0.49150372,0.2523531,-0.14763683,0.99992484,0.52239454,0.27922007,-0.15804844,0.9999247,0.51219976,0.27819535,-0.18531832,0.99994177,0.53821933,0.34291127,0.06495847,0.9994,0.4619555,0.3266941,-0.16544063,0.9998952,0.561403,0.43420982,-0.06345284,0.8550523,0.48340496,0.41709965,-0.22744167,0.9877292,0.5552817,0.3579421,-0.33370262,0.9025409,0.53563654,0.34024543,-0.22741118,0.9770625,0.51922715,0.5459024,0.07923631,0.9990777,0.4716894,0.5515867,-0.07924728,0.99959636,0.54547584,0.6840219,0.15694833,0.9378121,0.4734404,0.70357037,-0.090846665,0.9955057,0.53310835,0.8141137,0.33505252,0.9701794,0.45892566,0.84867877,-0.010679901,0.99240136,0.5218996,0.83273876,0.34656802,0.9409256,0.45117268,0.869804,-0.010321288,0.9077942,idle
0.5228368,0.2646572,-0.1819162,0.9999372,0.5272151,0.25107563,-0.16101429,0.9999086,0.51176655,0.25002593,-0.18212357,0.9999052,0.5241851,0.25628942,-0.034441028,0.9997556,0.49372706,0.25478497,-0.12812671,0.99992025,0.5241743,0.2793662,-0.13338003,0.9999187,0.5142685,0.27878582,-0.16059944,0.9999377,0.5412406,0.34556118,0.07409138,0.9993695,0.46420535,0.33019647,-0.16080646,0.9998953,0.5636673,0.44136468,-0.058994897,0.8476624,0.48641452,0.41967174,-0.213504,0.9872572,0.5564799,0.36564496,-0.3218611,0.8956687,0.53830427,0.34713644,-0.17837869,0.9753441,0.5224122,0.5533793,0.07953032,0.99906623,0.47384053,0.557535,-0.07954227,0.9995999,0.5470616,0.68654436,0.17472678,0.9330447,0.4759315,0.70546895,-0.091848254,0.99530095,0.5477143,0.81489545,0.34917265,0.96800137,0.46003184,0.8490711,-0.025958043,0.9916952,0.5358628,0.83415186,0.36060262,0.9375086,0.45075947,0.8700483,-0.026324455,0.9021831,idle
0.52618873,0.26759687,-0.1532962,0.99993277,0.53018266,0.25390798,-0.133248,0.9999036,0.51525784,0.25330108,-0.15520097,0.9998994,0.5264245,0.25927505,-0.013269817,0.99973226,0.49723968,0.25862423,-0.11005956,0.99991506,0.52702564,0.28158957,-0.10673219,0.9999089,0.51745266,0.28139925,-0.1349881,0.99993044,0.5446619,0.3500385,0.08763653,0.99931526,0.46647072,0.33518332,-0.1484479,0.99989253,0.56545234,0.44784948,-0.050496496,0.8317748,0.4902243,0.42554197,-0.19349515,0.98659754,0.5606858,0.3769696,-0.31229082,0.88250214,0.54211384,0.35339615,-0.14128731,0.9735542,0.5256458,0.5576195,0.07943158,0.99907166,0.47526225,0.56036377,-0.07944293,0.9996054,0.5474088,0.68919224,0.16904059,0.93057793,0.47968563,0.7084423,-0.08746263,0.9951454,0.55940217,0.8158034,0.32668757,0.96731764,0.46020728,0.84964347,-0.017995264,0.9912313,0.54760516,0.83875823,0.33614403,0.93549126,0.45020047,0.87002057,-0.017601673,0.89704335,idle
0.5293276,0.27193224,-0.15210322,0.9999327,0.53345436,0.25723255,-0.13169518,0.9999039,0.51833326,0.2574444,-0.15409485,0.9998992,0.52935,0.26251176,-0.011650506,0.9997243,0.5005677,0.26316586,-0.1103182,0.9999145,0.5301078,0.2855704,-0.10563251,0.9999051,0.5205394,0.2856695,-0.13447091,0.99992806,0.54709053,0.35457134,0.08963487,0.99930114,0.46967763,0.33987907,-0.14606652,0.99989176,0.5687905,0.45131025,-0.047632933,0.8238625,0.49195704,0.4323384,-0.17157772,0.98627496,0.56302863,0.37689367,-0.30924642,0.87691635,0.54419875,0.3589956,-0.09330459,0.97203577,0.5285026,0.5631432,0.07925479,0.9990928,0.47905836,0.565762,-0.079270616,0.9996142,0.5505713,0.6942016,0.16707435,0.92721575,0.48452893,0.71253806,-0.088454224,0.9950494,0.5655574,0.8219187,0.32578754,0.96693534,0.46080607,0.8496801,-0.019508177,0.9909472,0.55245674,0.8480515,0.33520502,0.9342435,0.44800672,0.8699935,-0.018823503,0.89430803,idle
0.532065,0.27437907,-0.15259974,0.99993634,0.53623545,0.25997922,-0.13161455,0.9999094,0.52101547,0.25983444,-0.1536718,0.9999044,0.53239214,0.26551554,-0.009061883,0.9997375,0.50333256,0.26566452,-0.10674252,0.9999189,0.53298753,0.2880685,-0.10540603,0.9999091,0.5232613,0.28801885,-0.1338729,0.9999309,0.54949296,0.35863864,0.09405221,0.9993295,0.4726788,0.34321865,-0.14241023,0.9998947,0.5721464,0.45319256,-0.046507753,0.82368416,0.49478048,0.43799216,-0.175176,0.9861414,0.56948555,0.37931678,-0.31155518,0.87930506,0.5464848,0.3634371,-0.111646056,0.97184116,0.53272426,0.5667542,0.080035746,0.9991358,0.48404416,0.56910735,-0.080070466,0.99963015,0.55513155,0.69855577,0.16924036,0.9239213,0.48845872,0.7170381,-0.08770971,0.99491936,0.5671028,0.8263567,0.32667315,0.9666503,0.45937508,0.8496258,-0.011785818,0.9907413,0.55405885,0.8540591,0.33587775,0.93364537,0.4455076,0.8699408,-0.010211461,0.89208114,idle
