x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.59489226,0.16570099,-0.26348352,0.9999675,0.6092103,0.14534038,-0.25549555,0.9999726,0.5895193,0.14611283,-0.23579392,0.9999382,0.6321708,0.14984827,-0.14985004,0.9999823,0.5936266,0.15109661,-0.05425036,0.9999297,0.60537994,0.18594243,-0.21971123,0.9999884,0.5932284,0.18682759,-0.19267403,0.99997777,0.69436306,0.25201204,-0.08205726,0.9999895,0.5648457,0.25037634,0.073345765,0.99994737,0.7211649,0.38770443,-0.20714244,0.9948343,0.541362,0.36464426,-0.026680583,0.9551504,0.6355147,0.39219433,-0.47719684,0.98487103,0.52379787,0.333905,-0.39219967,0.9613667,0.65450466,0.5201698,-0.042064108,0.99986994,0.5816957,0.5168984,0.041867808,0.99988127,0.7112742,0.70383084,-0.094760306,0.9849831,0.5150171,0.6849663,-0.0026705414,0.97317135,0.7478861,0.8713733,0.2195733,0.9744676,0.50205797,0.84769994,0.28339452,0.9343387,0.7421741,0.8974565,0.24044672,0.9305355,0.51853895,0.8767359,0.30319893,0.89944476,idle
0.56298053,0.17083924,-0.28034866,0.9999695,0.57836777,0.15120567,-0.2727058,0.9999727,0.55853903,0.1518893,-0.25328785,0.9999407,0.6011113,0.1564657,-0.1671231,0.9999823,0.5615127,0.15653352,-0.07304572,0.99992967,0.57269394,0.19095282,-0.23657063,0.99998885,0.56103295,0.1910525,-0.210084,0.999978,0.6647743,0.25795272,-0.099952765,0.9999891,0.53407407,0.25224605,0.062467776,0.99994856,0.696459,0.39113414,-0.23176856,0.99515045,0.5136973,0.38111585,-0.041820504,0.9529398,0.62084013,0.40240607,-0.5097666,0.9857503,0.48443538,0.33591285,-0.4248076,0.9642789,0.6288324,0.52354,-0.04693417,0.9998555,0.5525495,0.5290914,0.046723306,0.99987066,0.6987206,0.7047259,-0.10173911,0.9864207,0.49512586,0.68851626,-0.0020383934,0.9757703,0.74293244,0.87136495,0.19404486,0.976863,0.5000416,0.8490721,0.28063628,0.94076,0.7401003,0.89707965,0.21548626,0.93211585,0.5182786,0.87694764,0.29977623,0.9079018,idle
0.54296666,0.16751614,-0.2995661,0.99997073,0.55821717,0.14800414,-0.2894017,0.9999712,0.5378015,0.14947678,-0.27238932,0.9999409,0.5794521,0.15412536,-0.17348604,0.9999807,0.5399144,0.15494514,-0.09125605,0.99992454,0.5528525,0.18529692,-0.25253588,0.99998873,0.5398384,0.18556815,-0.2293866,0.99997705,0.63841885,0.25600612,-0.10624961,0.9999882,0.5099601,0.25470182,0.04853903,0.9999488,0.6758282,0.38638163,-0.23987666,0.9954731,0.48651427,0.38167036,-0.046761833,0.9498147,0.60076684,0.39303544,-0.5148109,0.9867519,0.46095982,0.3379458,-0.4286798,0.96682346,0.6077013,0.5247824,-0.044834975,0.9998345,0.5335388,0.52981985,0.044627104,0.99986136,0.67726165,0.70406127,-0.07960866,0.987678,0.48141146,0.6886108,-0.04750172,0.97812074,0.74143237,0.8682159,0.18758687,0.9789977,0.49627924,0.8493233,0.21338573,0.9465604,0.7338721,0.8919462,0.20425817,0.93365264,0.5175705,0.87668395,0.22965999,0.915689,idle
0.5286649,0.15666206,-0.38018468,0.99997157,0.54391813,0.13893646,-0.36741236,0.99996936,0.52120316,0.13985273,-0.3563349,0.9999401,0.56252015,0.14545329,-0.22934821,0.9999779,0.5205815,0.14630485,-0.17765264,0.9999161,0.5394523,0.1742758,-0.32441205,0.99998796,0.52424324,0.17483358,-0.30991518,0.99997455,0.6193745,0.24302505,-0.14951417,0.9999868,0.49289346,0.25054464,-0.021921465,0.9999463,0.6609958,0.3650408,-0.30076307,0.9958427,0.46813947,0.3760976,-0.13298418,0.9499408,0.5907663,0.35960096,-0.59364027,0.98789567,0.4461875,0.32509696,-0.5234548,0.9692309,0.59410006,0.5128828,-0.043579396,0.9998212,0.5207203,0.52026445,0.043371826,0.999852,0.64468807,0.68620396,-0.037702646,0.98874456,0.48264998,0.6852854,0.056697004,0.9801524,0.6983078,0.86213094,0.15301445,0.9808656,0.49232358,0.84935623,0.3035858,0.9517276,0.6869141,0.88770527,0.15801987,0.9373763,0.51293045,0.8767666,0.31782562,0.92234194,idle
0.5174797,0.13681084,-0.43685102,0.9999734,0.532529,0.11520005,-0.42640775,0.9999703,0.51071185,0.11691936,-0.4132596,0.9999435,0.554712,0.11842183,-0.2867763,0.9999785,0.5100968,0.12270265,-0.22459562,0.99991924,0.52787817,0.15565504,-0.37909308,0.99998844,0.514081,0.15731107,-0.36180127,0.9999753,0.61025065,0.22249189,-0.19526097,0.9999867,0.48190108,0.2341621,-0.037827745,0.99994564,0.6585368,0.34513018,-0.33161646,0.99618137,0.46247965,0.35720947,-0.14319927,0.94965726,0.58278674,0.3405453,-0.6243013,0.98891866,0.4393207,0.3115948,-0.55702,0.9714248,0.58900344,0.48912624,-0.05259127,0.9997952,0.5137216,0.49621132,0.052474022,0.9998339,0.6180534,0.67295223,-0.051356845,0.9897593,0.47807807,0.6755255,0.07017908,0.98200226,0.65118665,0.86084133,0.10994383,0.9826286,0.49002957,0.84802127,0.30402353,0.95638794,0.6478087,0.88747084,0.111322545,0.9393643,0.51141584,0.87621915,0.3162797,0.9284127,idle
0.50991195,0.1243582,-0.40343946,0.9999753,0.5263308,0.10150173,-0.3949607,0.99997175,0.50289553,0.10554004,-0.37961996,0.99994713,0.54945534,0.106048934,-0.2678095,0.9999795,0.5022519,0.11175633,-0.19483557,0.99992317,0.5207635,0.14422368,-0.35042715,0.9999893,0.50642586,0.14631167,-0.32995307,0.9999768,0.6043088,0.21042754,-0.17678095,0.9999873,0.47698125,0.22280864,-0.028792784,0.9999452,0.65425104,0.33738345,-0.29970747,0.9964687,0.4649315,0.34774777,-0.13460198,0.9495425,0.5782754,0.3320499,-0.58285487,0.9897936,0.4423344,0.30944172,-0.55123335,0.9731463,0.57948446,0.4765024,-0.04995201,0.9997879,0.50436145,0.4797109,0.049804278,0.99981713,0.5972816,0.6750223,-0.06215713,0.99062437,0.46555573,0.6703435,0.035227038,0.9836177,0.6119379,0.85719085,0.18518111,0.98413056,0.47610465,0.8433557,0.2878587,0.9604911,0.6099816,0.8807511,0.19766887,0.9370294,0.49190283,0.8707193,0.30297604,0.93161947,idle
0.50094193,0.13659744,-0.3955993,0.99997705,0.51435494,0.11428579,-0.38542953,0.99997306,0.4945097,0.11801592,-0.36824286,0.99995023,0.54095507,0.11664686,-0.25992578,0.99998033,0.4986371,0.12158614,-0.17417511,0.99992675,0.51189256,0.15488587,-0.34016472,0.99999,0.49937868,0.15618786,-0.31675592,0.99997824,0.60225475,0.21528715,-0.17559788,0.9999877,0.4753185,0.22761104,-0.012845454,0.9999446,0.65045464,0.34107974,-0.32183543,0.99672425,0.46294975,0.35284674,-0.12764564,0.9472339,0.5685568,0.341041,-0.60170877,0.99056214,0.4427465,0.31544062,-0.5275575,0.97417164,0.56915927,0.48557413,-0.04931611,0.99978465,0.49579173,0.48381245,0.04914329,0.9998096,0.58280385,0.6754175,-0.069421224,0.9914435,0.44505033,0.66801625,-0.039047983,0.9851548,0.5978484,0.8578627,0.20834303,0.9855361,0.449588,0.84172434,0.26435083,0.9642667,0.59679776,0.88044435,0.22643673,0.936566,0.46528244,0.86926913,0.28634977,0.9353156,idle
0.4800077,0.1437141,-0.26819688,0.99997693,0.492489,0.12227747,-0.2779376,0.99997085,0.47747946,0.12525386,-0.2462759,0.9999494,0.5202677,0.1248169,-0.231801,0.99997854,0.4907012,0.12869743,-0.08017145,0.99992347,0.49234885,0.16156785,-0.24331884,0.9999897,0.48220938,0.16255927,-0.20060217,0.9999765,0.593561,0.22321674,-0.16829434,0.9999866,0.46542698,0.23180573,0.053715687,0.99994373,0.63338995,0.35044876,-0.3030206,0.9966913,0.4522879,0.35473552,-0.0402459,0.9419907,0.557777,0.35590562,-0.55805486,0.990423,0.431817,0.32165235,-0.41348797,0.9748312,0.5567856,0.49617836,-0.06318851,0.9997681,0.48173365,0.48897043,0.062968835,0.99979764,0.5811803,0.6909905,-0.06907309,0.99215984,0.42593393,0.6741839,0.07340046,0.9864827,0.59531784,0.8585506,0.20723179,0.9867268,0.41934195,0.8419323,0.35713905,0.96761894,0.5961401,0.8807725,0.2235286,0.93330616,0.43267766,0.8694866,0.37763268,0.9393452,idle
0.46078238,0.14456469,-0.2208993,0.99997723,0.47400436,0.12353388,-0.22875242,0.9999694,0.4590231,0.12560605,-0.19798808,0.99994993,0.50179946,0.12844278,-0.17234606,0.99997807,0.4743802,0.13066176,-0.025470987,0.99992234,0.4750968,0.16186613,-0.19215432,0.99998945,0.46516418,0.1663685,-0.1506799,0.9999751,0.5759328,0.22745539,-0.12519819,0.99998623,0.451163,0.23275429,0.116430745,0.99994534,0.6096368,0.354404,-0.26333797,0.9967706,0.4361481,0.35699198,0.010288296,0.93732303,0.53292197,0.36186197,-0.4723248,0.9906138,0.41490468,0.32299328,-0.36744022,0.9753667,0.54667753,0.498856,-0.07246199,0.99975425,0.47362843,0.49242842,0.07230297,0.99979573,0.57269514,0.69606715,-0.071109034,0.9928575,0.41508523,0.674739,0.0857976,0.9877135,0.59815085,0.8604928,0.1954789,0.98787737,0.397793,0.8477322,0.32314634,0.9707352,0.59809,0.88089997,0.21086517,0.9339743,0.4115286,0.87573636,0.3394491,0.9440547,idle
0.43930498,0.14763764,-0.2547366,0.99997765,0.45203656,0.12649381,-0.26083893,0.99996895,0.43729568,0.12822483,-0.23168862,0.999951,0.48086065,0.13084388,-0.19505073,0.99997795,0.45178348,0.13306846,-0.060055662,0.99992263,0.4523744,0.16507064,-0.22474316,0.99998933,0.44248766,0.16867836,-0.18562528,0.99997413,0.5530614,0.22958697,-0.14005397,0.99998516,0.4276715,0.23772414,0.08916573,0.9999461,0.5897783,0.35669312,-0.30060035,0.9968595,0.41224885,0.36037603,-0.014406326,0.9344681,0.519384,0.36433408,-0.53680223,0.9907761,0.38145766,0.32237008,-0.40251365,0.9764595,0.5267202,0.5030877,-0.07937546,0.9997211,0.45553413,0.50170493,0.07919882,0.99978125,0.5633358,0.6985496,-0.055387355,0.9934746,0.40248698,0.6760113,0.1092726,0.9887777,0.5983672,0.86160636,0.18940262,0.9889101,0.39417875,0.85213596,0.32697386,0.97347766,0.59977686,0.8819459,0.19808261,0.93473816,0.41063055,0.87966067,0.34002504,0.9480217,idle
