x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.6859957,0.1617604,-0.21415503,0.999966,0.69720256,0.13911504,-0.20842922,0.999933,0.6749424,0.14599724,-0.18940543,0.9999,0.71257025,0.13927026,-0.112581596,0.999919,0.67098325,0.15022412,-0.025725374,0.9997933,0.69744164,0.17584424,-0.17505023,0.9999373,0.68161356,0.17810029,-0.15003386,0.9998856,0.767763,0.22292393,-0.054083426,0.9998392,0.6565844,0.24747096,0.067308836,0.99980724,0.7813491,0.34286636,-0.21727256,0.9927671,0.61724454,0.35307357,-0.063224584,0.94139016,0.718851,0.25536317,-0.40931553,0.9933038,0.6414296,0.265787,-0.33707184,0.96698517,0.74315125,0.49379417,-0.025820384,0.9995895,0.6763387,0.49034733,0.025803229,0.9997275,0.755038,0.68233645,0.006263531,0.995558,0.6478044,0.66243076,0.05078175,0.99676293,0.7579601,0.8387228,0.1953223,0.9934257,0.6254175,0.83392584,0.2677397,0.99616456,0.74919564,0.8630716,0.20698754,0.9369075,0.63553596,0.8583568,0.28191274,0.96008843,idle
0.6858662,0.16130549,-0.21816869,0.9999659,0.69777983,0.13816816,-0.21209684,0.99993247,0.6762789,0.14548533,-0.1930165,0.9998986,0.71422476,0.13857844,-0.11297128,0.9999173,0.6733229,0.14939035,-0.027546104,0.99978954,0.6974566,0.1754372,-0.17830141,0.9999372,0.6818197,0.17759289,-0.15310358,0.99988514,0.7705151,0.22231188,-0.057939153,0.99983853,0.65699226,0.2466474,0.053345896,0.99980164,0.78470457,0.34333214,-0.22315979,0.9926433,0.61779314,0.35308966,-0.075860046,0.9427656,0.72136676,0.2538348,-0.41473818,0.99331474,0.64639264,0.26355314,-0.34207115,0.96687514,0.744788,0.49382132,-0.024333455,0.9996032,0.67596614,0.4892129,0.024291202,0.99973214,0.7522017,0.68178713,0.006396564,0.9954504,0.6482343,0.6627114,0.055866487,0.99684024,0.75796646,0.83788,0.20944569,0.9932128,0.62796295,0.82972085,0.2655008,0.9961903,0.74922884,0.8601588,0.22139578,0.9360235,0.6393584,0.8546429,0.2782394,0.9586619,idle
0.68402326,0.16144043,-0.18986046,0.9999662,0.6951619,0.138508,-0.18743023,0.9999327,0.6758548,0.14582963,-0.16496827,0.9998987,0.71402144,0.13885261,-0.104861915,0.9999166,0.6735288,0.14975429,-0.002935774,0.99978864,0.6961059,0.17558679,-0.15541753,0.99993676,0.68123746,0.17769094,-0.12594745,0.9998845,0.7702905,0.22259156,-0.04491151,0.999839,0.6581168,0.24624889,0.076452576,0.9998049,0.7843684,0.34403867,-0.20236304,0.9925545,0.6161449,0.35300115,-0.05062566,0.9436849,0.7221713,0.2543261,-0.37879714,0.9933692,0.6458822,0.26028544,-0.31555286,0.96708095,0.743262,0.49214473,-0.024808504,0.99961233,0.673639,0.4864579,0.024778906,0.9997394,0.7480953,0.6777583,0.012975639,0.9951728,0.6472928,0.66281104,0.05333355,0.9969047,0.75778866,0.83815455,0.1937559,0.9928523,0.6271291,0.83036023,0.22493947,0.9962106,0.7494813,0.86035645,0.20328668,0.93482506,0.6386,0.8550838,0.23400506,0.957362,idle
0.68363,0.16136743,-0.20118809,0.99996597,0.6938733,0.13819426,-0.19773252,0.9999312,0.67469424,0.14595099,-0.17671719,0.999897,0.7129928,0.13874507,-0.11180802,0.999912,0.672534,0.14997773,-0.0056373994,0.9997866,0.6956753,0.1756796,-0.1648123,0.99993455,0.6813628,0.17783496,-0.13716593,0.9998818,0.76906735,0.22266628,-0.05043261,0.9998357,0.65663576,0.24586129,0.057796896,0.999811,0.7813157,0.34459323,-0.20470694,0.99218404,0.61436033,0.35298207,-0.061814625,0.9449491,0.7220821,0.25455043,-0.3853069,0.9933014,0.6470395,0.26005667,-0.3297934,0.9673985,0.7421422,0.4924445,-0.020133944,0.9996237,0.6713766,0.48591238,0.020104805,0.9997492,0.74564826,0.6768308,0.007758599,0.9948556,0.6480766,0.66208684,0.05471567,0.9969602,0.7571313,0.8417706,0.14849712,0.9926991,0.62765324,0.8303029,0.23329815,0.99626285,0.7493817,0.8674078,0.15288898,0.9368161,0.63911843,0.8549315,0.24282642,0.95680135,idle
0.68295914,0.16141754,-0.19569173,0.9999649,0.6929145,0.13836655,-0.19285598,0.9999279,0.67358816,0.14610867,-0.17232612,0.99989176,0.71208066,0.1388749,-0.10787879,0.9999063,0.67162013,0.15014668,-0.011038611,0.99977654,0.694156,0.17599921,-0.15952933,0.9999302,0.6805113,0.17790964,-0.13281785,0.999876,0.7676316,0.22287062,-0.044104934,0.9998352,0.65511525,0.2452595,0.06379877,0.999815,0.77998126,0.3447899,-0.19193253,0.9919699,0.6116596,0.352952,-0.05997747,0.9454086,0.7212296,0.2547963,-0.3689771,0.9933256,0.64429027,0.2592936,-0.32334927,0.9670443,0.74057454,0.4926737,-0.019238073,0.9996253,0.6700009,0.48606297,0.019233577,0.99975526,0.7452562,0.6759601,0.022430955,0.99435186,0.6487575,0.6625099,0.04568994,0.99696535,0.7569181,0.83977187,0.17612521,0.99216527,0.6256629,0.83064866,0.20751682,0.9962229,0.7484288,0.865193,0.18288349,0.93632984,0.6372127,0.8551728,0.21554399,0.95533687,idle
0.6824428,0.16258655,-0.26444283,0.9999608,0.69270116,0.14133424,-0.2587375,0.99991727,0.6713206,0.14713357,-0.24278422,0.9998775,0.7119094,0.14346857,-0.16232464,0.9998873,0.6649636,0.15184154,-0.088976964,0.9997543,0.69267917,0.17848234,-0.22444177,0.9999186,0.6799369,0.17997028,-0.2038567,0.9998648,0.7582636,0.23452799,-0.09309142,0.9998102,0.6419077,0.24527894,-0.004372791,0.9998117,0.7640797,0.35220277,-0.24635717,0.99178654,0.5951722,0.35018507,-0.14503732,0.94770855,0.7177681,0.25497875,-0.43902296,0.9931917,0.6441573,0.25895596,-0.40168828,0.9674219,0.7209128,0.50318176,-0.020226294,0.9996078,0.65330774,0.49773845,0.020209987,0.9997492,0.7350536,0.6826882,0.023562325,0.9943,0.6307933,0.667228,0.084646486,0.9969945,0.75385517,0.8409967,0.1762704,0.9921956,0.6242281,0.83138865,0.2869791,0.996255,0.745304,0.8655318,0.18267614,0.93766594,0.6362711,0.8565362,0.29921037,0.95580816,idle
0.68066704,0.16375168,-0.2662471,0.999959,0.6908925,0.14331707,-0.26088876,0.9999122,0.66875666,0.14804609,-0.24464945,0.9998706,0.7100628,0.14575496,-0.1634137,0.99987614,0.66105574,0.15309368,-0.08917354,0.99974227,0.68987954,0.18017124,-0.22535777,0.99991333,0.6773046,0.18140218,-0.20443204,0.99986017,0.752886,0.23777904,-0.091808155,0.99979764,0.637229,0.24511191,-0.0031091778,0.9998117,0.7599789,0.35559255,-0.24777111,0.99169594,0.5901136,0.34945926,-0.13986894,0.94972426,0.713319,0.25502965,-0.4482964,0.9931328,0.64130956,0.25898042,-0.4004368,0.96802175,0.7145816,0.50581294,-0.020184327,0.99960285,0.6471015,0.49988386,0.020175302,0.9997469,0.72811943,0.6848298,0.020353334,0.9942724,0.6263222,0.66811764,0.09055288,0.99701184,0.7526237,0.8435657,0.1453596,0.9922994,0.62346375,0.83422315,0.29719672,0.99628544,0.7443081,0.8687292,0.1496993,0.9401102,0.6365174,0.8592596,0.30983597,0.9561145,idle
0.67931473,0.16513248,-0.27543303,0.9999589,0.6891502,0.14530514,-0.2657736,0.9999111,0.6657033,0.14969704,-0.25300473,0.9998695,0.70616895,0.14861529,-0.15705274,0.999873,0.6557915,0.15496986,-0.09577987,0.9997428,0.6875704,0.1819871,-0.2303404,0.9999137,0.6742139,0.18322127,-0.21369484,0.9998632,0.7466778,0.24130765,-0.08657572,0.99979633,0.6300098,0.24612342,-0.010144179,0.99981505,0.7551631,0.36079967,-0.24252531,0.99189025,0.5837754,0.3495449,-0.14706089,0.95278716,0.7111458,0.2568864,-0.43811053,0.993232,0.6366882,0.25900784,-0.3906601,0.9694944,0.7089541,0.50806856,-0.020387277,0.9996028,0.6420059,0.50281835,0.02037522,0.9997439,0.7249741,0.68818533,0.017525297,0.99442786,0.6184008,0.67349124,0.10930363,0.9970526,0.75259775,0.8438179,0.14899646,0.99248356,0.6229128,0.83472425,0.32509372,0.99630153,0.7445487,0.86890906,0.1549992,0.9416692,0.6369448,0.8593237,0.33918327,0.9562043,idle
0.6663991,0.1701715,-0.30421588,0.9999609,0.67584836,0.14912337,-0.29474157,0.99991536,0.65395916,0.15599518,-0.28159195,0.9998752,0.692418,0.15189105,-0.18109412,0.9998792,0.64543355,0.15959887,-0.11904021,0.9997554,0.67677766,0.18546507,-0.25741675,0.99991846,0.662605,0.18780194,-0.24011913,0.999871,0.73770446,0.24623528,-0.09830123,0.9998037,0.6193643,0.2531513,-0.026732918,0.9998208,0.7503547,0.37095353,-0.25740147,0.9923144,0.57540613,0.35556072,-0.17183836,0.9550031,0.7053412,0.27483547,-0.47746176,0.9934946,0.6306255,0.2658469,-0.44758564,0.97076,0.6959716,0.5093903,-0.020605307,0.9995954,0.6276774,0.50691205,0.020573214,0.9997402,0.7167584,0.6906026,0.021135287,0.99466926,0.6052321,0.6792554,0.09978211,0.99720377,0.7525805,0.84450954,0.17798372,0.9928427,0.6221384,0.8366657,0.3077451,0.9964469,0.7449418,0.86931676,0.18493322,0.9435369,0.6365071,0.86036474,0.32156235,0.95758855,idle
0.66228276,0.16998525,-0.3061147,0.9999632,0.6718771,0.14884238,-0.29850963,0.9999207,0.64927435,0.15579562,-0.28437737,0.99988186,0.68809235,0.15139358,-0.1903489,0.9998875,0.64222705,0.15941451,-0.123425886,0.999768,0.6731142,0.18534817,-0.26085895,0.99992424,0.6594597,0.18755075,-0.24219458,0.99987954,0.7354246,0.24813724,-0.11216694,0.9998163,0.6169412,0.25302643,-0.025675794,0.999827,0.74773145,0.37475643,-0.2706784,0.99273545,0.57549703,0.35648793,-0.1710471,0.9560029,0.7024101,0.28154165,-0.4931918,0.99380094,0.62794363,0.26786408,-0.46201366,0.97160494,0.69482166,0.508755,-0.023395848,0.99958813,0.62514406,0.50583965,0.02333174,0.99972886,0.7129231,0.6900696,0.016149784,0.9949913,0.60825443,0.6809135,0.11152899,0.99728006,0.74963635,0.8444221,0.16818449,0.9932437,0.62185663,0.8369351,0.31718403,0.9965248,0.7447338,0.86882514,0.17373589,0.9449358,0.6362362,0.861184,0.32967877,0.95841366,idle
