x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.27933362,0.094858125,-0.36463404,0.999989,0.28667778,0.084555365,-0.32775214,0.99997544,0.26497632,0.080953084,-0.34606636,0.99998564,0.28827494,0.096706994,-0.1270018,0.99989974,0.24678347,0.09320696,-0.21276383,0.9999877,0.2831865,0.11741325,-0.29047114,0.9999585,0.26557595,0.11481915,-0.3145607,0.99997807,0.29621035,0.21646288,0.073768035,0.9996608,0.20341575,0.19603075,-0.19389224,0.99996084,0.30265915,0.3276491,0.15352021,0.4036975,0.15102616,0.32459867,-0.21994093,0.9939969,0.32484576,0.41182676,-0.030342108,0.5817146,0.1954853,0.4152114,-0.35438722,0.9684539,0.2741068,0.47107735,0.10346874,0.99923265,0.21174052,0.46658403,-0.10343011,0.99948984,0.31546298,0.6477317,0.12669888,0.88678384,0.18441698,0.65687805,-0.15601489,0.9819719,0.296181,0.819864,0.2714645,0.9439405,0.11559226,0.8359014,-0.062241524,0.98984677,0.2769964,0.84738487,0.2748906,0.9218835,0.099825524,0.8604174,-0.06218322,0.9129672,idle
0.26807144,0.0950371,-0.37188512,0.99998975,0.27406326,0.083639294,-0.33625978,0.99997705,0.25344646,0.08011513,-0.35753232,0.99998665,0.2736517,0.094999924,-0.13592884,0.9999053,0.23417947,0.091085985,-0.23718002,0.9999887,0.27179286,0.11706945,-0.29716632,0.99996144,0.25477082,0.114374705,-0.32569903,0.9999799,0.28439724,0.21108948,0.06407701,0.9996804,0.18497829,0.1948553,-0.20671657,0.9999639,0.29627463,0.32408616,0.15722623,0.41582772,0.13485909,0.32585964,-0.22315748,0.99435836,0.3091244,0.4102123,-0.014503144,0.58789563,0.1851341,0.4197678,-0.3309644,0.9701848,0.26016474,0.47395575,0.10365802,0.99926716,0.19664447,0.4721317,-0.10363394,0.99952495,0.30030984,0.65206134,0.15913613,0.89580137,0.17132494,0.6638842,-0.14733455,0.9836139,0.3006114,0.83031493,0.33088994,0.94886374,0.11903155,0.84276956,-0.036508944,0.9906713,0.2853234,0.8630329,0.33665675,0.92737204,0.10707681,0.86609954,-0.03528173,0.91478264,idle
0.25584716,0.093532965,-0.32337648,0.9999902,0.262239,0.081943974,-0.28883988,0.99997824,0.24061659,0.07861912,-0.30886567,0.9999873,0.2623931,0.093254514,-0.096396334,0.9999088,0.22120962,0.08962052,-0.19162235,0.99998933,0.2595373,0.11558537,-0.25143278,0.99996346,0.2425071,0.1129816,-0.27870664,0.9999814,0.2704694,0.21109532,0.0900286,0.99969196,0.1721974,0.19217816,-0.16469352,0.9999664,0.27095866,0.32662168,0.18758193,0.4136329,0.11623915,0.32038647,-0.17417224,0.99465775,0.29341277,0.41026467,0.0280247,0.58765805,0.16396223,0.41531286,-0.26745087,0.9717508,0.24431881,0.4740054,0.10206411,0.99930745,0.17849547,0.47154677,-0.10203649,0.9995594,0.28768677,0.6559061,0.15405823,0.90436786,0.16121162,0.66296315,-0.12753232,0.98512816,0.30730715,0.83582443,0.3196332,0.9534058,0.11894198,0.84690636,-0.012146784,0.99144834,0.29567567,0.86461097,0.32389286,0.93199974,0.11142349,0.87657773,-0.010415138,0.91722864,idle
0.24206522,0.09354537,-0.33536783,0.99999034,0.25001764,0.08182061,-0.30113307,0.99997854,0.22636172,0.077843115,-0.32147926,0.99998766,0.25123197,0.09339221,-0.10691118,0.999909,0.20751962,0.08855561,-0.20307918,0.9999899,0.24642465,0.11592118,-0.26231197,0.9999645,0.22783712,0.11287327,-0.28983086,0.99998266,0.25265047,0.21013826,0.08596708,0.9996915,0.16140166,0.19064881,-0.17548415,0.99996877,0.2537434,0.32455984,0.18363288,0.39557457,0.09535538,0.3173448,-0.1849446,0.9948374,0.2740736,0.4097768,0.024355646,0.5628351,0.15148132,0.41443983,-0.2557044,0.9721085,0.22779211,0.4798126,0.09968866,0.99928844,0.16437228,0.47543165,-0.09967732,0.9995716,0.27231902,0.66262096,0.16106874,0.91081434,0.14915642,0.6692211,-0.10204457,0.9863462,0.31023234,0.83689475,0.3249103,0.9568608,0.11616949,0.8623511,0.030888423,0.9919101,0.30193797,0.86636275,0.33031383,0.93393207,0.11346674,0.88843566,0.035915434,0.9154463,idle
0.23250858,0.093007445,-0.3395383,0.999989,0.23899591,0.08115224,-0.3060972,0.99997514,0.21781048,0.07726775,-0.32589915,0.99998665,0.23788576,0.09272521,-0.11153052,0.9998914,0.19650495,0.087113075,-0.20574343,0.9999898,0.23420325,0.1153541,-0.26600415,0.9999595,0.21731344,0.11223119,-0.29125744,0.9999828,0.23470104,0.20875949,0.07598047,0.9996025,0.14784642,0.18787378,-0.18010063,0.99996984,0.23728538,0.32353017,0.16849335,0.36985812,0.07827995,0.30640522,-0.1971327,0.9948977,0.2548116,0.40902048,0.020855589,0.52298045,0.13592102,0.41132239,-0.2674771,0.97098094,0.21233459,0.47777706,0.09704043,0.99915123,0.14969797,0.47288707,-0.09707481,0.9995437,0.25923616,0.66256607,0.15741025,0.9158826,0.1409631,0.66665906,-0.0803731,0.9873027,0.30781737,0.8366659,0.31954053,0.95955145,0.11768861,0.86016214,0.076367125,0.99217707,0.30449075,0.86407125,0.32529306,0.93379474,0.112070456,0.8847163,0.08353425,0.91255337,idle
0.22219768,0.091616355,-0.34232402,0.999988,0.228362,0.08043929,-0.306426,0.99997175,0.2080545,0.07459965,-0.32889792,0.9999856,0.2286109,0.09267025,-0.12594825,0.99987924,0.18549201,0.08388586,-0.20774248,0.9999894,0.22408652,0.11501538,-0.2693868,0.9999596,0.20761049,0.111037925,-0.29383773,0.99998367,0.23260744,0.2076325,0.036710832,0.9996066,0.13555917,0.18209888,-0.16534418,0.9999715,0.2460738,0.32169047,0.14075443,0.3858257,0.06663267,0.29802412,-0.16813223,0.99515676,0.2562239,0.40852556,-0.009981174,0.5257292,0.119572856,0.40637693,-0.2662108,0.97237986,0.2071987,0.47367242,0.07845101,0.99906796,0.14046988,0.47125962,-0.07850871,0.99952203,0.24209535,0.6617901,0.13042971,0.9219785,0.13323049,0.6649628,-0.06104241,0.98811007,0.29394358,0.8336777,0.29626438,0.96212125,0.11453073,0.86086804,0.101040244,0.9922805,0.29256386,0.8595465,0.30320698,0.93125635,0.11151259,0.8865569,0.10829829,0.90794694,idle
0.21408017,0.09133593,-0.34274933,0.99998695,0.22130243,0.080107585,-0.30767846,0.9999678,0.19928174,0.07454213,-0.32943383,0.99998474,0.22172657,0.09255154,-0.1263996,0.9998647,0.17514385,0.082998246,-0.20979896,0.9999894,0.21603589,0.11452487,-0.2707814,0.99995863,0.19977126,0.11076309,-0.29440913,0.99998444,0.21818188,0.20591293,0.047594838,0.9995905,0.12974426,0.17580514,-0.17109337,0.99997324,0.23307972,0.32044938,0.147447,0.37813973,0.058673806,0.29425347,-0.18250032,0.99541444,0.24494973,0.39608607,-0.0064316727,0.51308566,0.113553666,0.40594265,-0.27849677,0.97382104,0.19795194,0.47223717,0.0796968,0.99891204,0.1365218,0.47062835,-0.079721704,0.99947333,0.23316085,0.6611897,0.11920898,0.9240844,0.12843087,0.6644212,-0.06775523,0.98808146,0.2706368,0.8300556,0.3000381,0.9612443,0.11289034,0.8601246,0.107952975,0.9911141,0.26477382,0.8544828,0.30778643,0.92336327,0.10856315,0.88646615,0.1179585,0.8966084,idle
0.20675342,0.08908472,-0.33963487,0.99998266,0.21301493,0.0770378,-0.30589765,0.9999559,0.1907516,0.07294872,-0.32676595,0.99998057,0.21295743,0.08806364,-0.11815344,0.9998263,0.16600226,0.082339,-0.20886377,0.9999879,0.20885818,0.111669436,-0.26714957,0.99994993,0.19266537,0.11034308,-0.29311112,0.9999835,0.21357259,0.20252314,0.06498516,0.99954844,0.12395296,0.17246966,-0.16955324,0.9999727,0.22936115,0.313657,0.17395312,0.36121598,0.05424272,0.29212385,-0.17953981,0.99541175,0.23611638,0.37504786,0.03314069,0.4949843,0.10891843,0.4058992,-0.25501424,0.97388583,0.19754449,0.4676494,0.08123058,0.9986206,0.1362274,0.4696727,-0.08119444,0.9993506,0.22794667,0.64985305,0.09490164,0.92345244,0.12649284,0.663793,-0.08360031,0.9867228,0.2524572,0.81813365,0.29414588,0.95686287,0.11394898,0.8597327,0.092628896,0.98827773,0.24532962,0.84780544,0.30380225,0.9081179,0.11271106,0.8865468,0.103101134,0.878381,idle
0.19648305,0.08666284,-0.33196515,0.9999828,0.20297626,0.073579855,-0.29998145,0.9999553,0.180401,0.07113071,-0.31944078,0.99998087,0.20441572,0.08458208,-0.11521904,0.9998229,0.15830866,0.08145102,-0.20570557,0.99998826,0.20023815,0.109400526,-0.26174092,0.9999506,0.18330075,0.10910116,-0.28750315,0.9999843,0.2075285,0.20241728,0.06501971,0.9995365,0.11616917,0.17259707,-0.17075832,0.9999741,0.22146443,0.31326976,0.18267989,0.3481499,0.049654968,0.29259604,-0.18507794,0.9955554,0.23481664,0.3779228,0.05729603,0.48646048,0.10548566,0.40615666,-0.26802632,0.9747604,0.19603398,0.46635553,0.08136376,0.99862725,0.13336521,0.46880934,-0.08134824,0.9993695,0.2176507,0.6479423,0.11698417,0.9266291,0.12326469,0.66632926,-0.06937506,0.9872141,0.22644289,0.8159006,0.31943074,0.95849925,0.11533525,0.85902584,0.09955828,0.9882567,0.21372461,0.8440104,0.32949397,0.9084296,0.1149323,0.885227,0.108856216,0.8761714,idle
0.1971536,0.08381461,-0.31486446,0.99997544,0.19945897,0.07013843,-0.2822686,0.99993145,0.18168512,0.06842063,-0.30669555,0.99997437,0.19406565,0.08074143,-0.09863521,0.9997241,0.15715776,0.07768914,-0.20763507,0.9999852,0.19752668,0.10570653,-0.24517348,0.99993277,0.18528944,0.10587342,-0.2776653,0.99998176,0.19898988,0.20177744,0.0761538,0.999312,0.11155875,0.17077471,-0.18211184,0.99997336,0.21553516,0.30883136,0.1865485,0.32887617,0.0487436,0.29302058,-0.20167947,0.9956734,0.23084292,0.3813881,0.05422715,0.46392873,0.103756644,0.40718415,-0.27406245,0.9754859,0.19131075,0.46403974,0.08365987,0.9983653,0.12898189,0.46523705,-0.08362137,0.9993134,0.20700884,0.6479317,0.11526917,0.92711926,0.12026999,0.66753256,-0.07982527,0.9873764,0.20378391,0.81939214,0.30167973,0.9583861,0.11670512,0.86031467,0.08212146,0.9881749,0.18790333,0.8479677,0.30990332,0.9075422,0.11720599,0.8850643,0.089427724,0.87422115,idle
