x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.4302876,0.23130609,-0.25637266,0.99989766,0.4283917,0.21344179,-0.22376528,0.9997668,0.4147152,0.21566334,-0.25516695,0.9998828,0.41892013,0.22009777,-0.057065867,0.9994738,0.39412245,0.22615644,-0.19349234,0.9998928,0.43032956,0.24837364,-0.1897916,0.9996967,0.42192668,0.25033844,-0.22989945,0.99979234,0.41234916,0.309832,0.13492844,0.9973496,0.38954973,0.3047542,-0.29033512,0.9995471,0.48015434,0.33111128,0.17806399,0.28722525,0.48158818,0.31205407,-0.46262875,0.9877063,0.5488897,0.29085717,0.041472115,0.43363118,0.5585618,0.27263802,-0.50213516,0.9054068,0.3952267,0.54935825,0.12479417,0.9977867,0.37505203,0.54843867,-0.12502156,0.99870306,0.3969091,0.7267805,0.20525432,0.43998003,0.37764573,0.74501055,-0.05089136,0.9717452,0.40203437,0.8843598,0.3447068,0.6524277,0.38580623,0.92945373,0.049108118,0.9805536,0.39226842,0.9146028,0.35377306,0.6887817,0.37837404,0.95689493,0.052140318,0.9513102,idle
0.43046147,0.23192161,-0.25333548,0.9999075,0.42859393,0.2140649,-0.22183113,0.9997891,0.41551432,0.21587753,-0.2525955,0.9998942,0.4189086,0.2203097,-0.0473737,0.9995242,0.39458397,0.22617164,-0.18440405,0.9999032,0.4303267,0.24866916,-0.18573283,0.9997242,0.42195672,0.25048828,-0.22657435,0.99981123,0.4099447,0.31123605,0.14544722,0.99754494,0.38952297,0.30359948,-0.27922592,0.99958605,0.45755824,0.35286236,0.19160365,0.2838831,0.45680627,0.3366861,-0.44409236,0.9887581,0.5165356,0.31397593,0.06794018,0.45929927,0.5381681,0.29766452,-0.47698522,0.91381115,0.3970483,0.5515222,0.12578824,0.99788827,0.37730733,0.5503216,-0.12599884,0.9987734,0.39716,0.72770715,0.22909382,0.46162868,0.37844664,0.7461053,-0.05325843,0.9732902,0.40005237,0.8869974,0.3731638,0.6673723,0.38579506,0.93145794,0.037898835,0.98147225,0.39093518,0.9154672,0.38230267,0.69942987,0.3781538,0.9581634,0.037503414,0.9530276,idle
0.4304839,0.23218773,-0.22136562,0.999914,0.42878532,0.21437778,-0.1939062,0.9998028,0.4158934,0.21605243,-0.22698812,0.9999016,0.41898155,0.22032428,-0.03876709,0.99955094,0.39482173,0.22627403,-0.18321757,0.9999098,0.43031937,0.24903522,-0.15994662,0.99973035,0.42195454,0.2506543,-0.20211563,0.99981356,0.4043398,0.31197596,0.14966178,0.9975319,0.38875812,0.3078672,-0.26211092,0.9996027,0.44795424,0.3640681,0.20230904,0.26370576,0.43724433,0.3688389,-0.31237867,0.9889896,0.4869823,0.34267917,0.08815734,0.4349043,0.5038177,0.33284053,-0.19906405,0.9158284,0.40030628,0.5529329,0.12578592,0.997726,0.37923163,0.5524217,-0.125962,0.9986996,0.39923537,0.72810674,0.22193651,0.471543,0.38045552,0.7466707,-0.05516883,0.9738841,0.4000463,0.88787675,0.35739428,0.6787136,0.38668314,0.93139255,0.029393995,0.98200274,0.39240745,0.91654545,0.36597496,0.7048087,0.37864542,0.958207,0.030023742,0.9539751,idle
0.43048587,0.23221095,-0.17631169,0.9999149,0.42888132,0.21449035,-0.15126686,0.9997949,0.4161561,0.21605545,-0.18400271,0.9999031,0.41924697,0.220333,-0.004996783,0.9995128,0.39482522,0.2261814,-0.1494981,0.9999127,0.4303109,0.24908638,-0.11721454,0.9997208,0.4219603,0.25058013,-0.1589371,0.9998184,0.40549397,0.31204396,0.17300114,0.99744713,0.376302,0.30649132,-0.21453826,0.99963856,0.42116815,0.39988425,0.23166242,0.24886623,0.37663692,0.4036526,-0.3042315,0.98979896,0.47739992,0.37903062,0.11040382,0.4173385,0.46811557,0.3681545,-0.28556603,0.9234551,0.40802035,0.552854,0.123545274,0.99715596,0.379929,0.55267036,-0.12359087,0.99858505,0.40532255,0.72725946,0.1854485,0.4881367,0.38399354,0.7465735,-0.08978169,0.9747623,0.40057793,0.88820916,0.30963612,0.691698,0.38790718,0.93122965,-0.028732877,0.982396,0.39254868,0.9175063,0.31468293,0.7135286,0.37916535,0.95814866,-0.02983583,0.95442224,idle
0.43186134,0.23200983,-0.14743292,0.99991477,0.42948112,0.21410008,-0.12082044,0.99978876,0.41807657,0.21599251,-0.15575661,0.99990374,0.41949287,0.21986909,0.025557533,0.9994674,0.39544907,0.22599904,-0.12954214,0.99991614,0.4314192,0.24883589,-0.088963665,0.9997155,0.42326388,0.25014922,-0.13373819,0.9998273,0.406017,0.31228703,0.19219956,0.9974116,0.36937082,0.30588433,-0.1945967,0.9996719,0.41650668,0.41136223,0.20325236,0.23505852,0.3579114,0.4193775,-0.29123574,0.99061006,0.47012067,0.38470867,0.051711224,0.41477773,0.44472677,0.39017487,-0.29922798,0.9306689,0.4117732,0.553048,0.12120099,0.99673647,0.3800163,0.5542392,-0.12117715,0.99848914,0.40981847,0.72726053,0.16325709,0.49832842,0.38536602,0.74655616,-0.10866928,0.97475773,0.40178132,0.89146864,0.27229106,0.7017104,0.3898991,0.9314083,-0.05103714,0.98170376,0.39263982,0.91852474,0.2754547,0.7202143,0.38150018,0.9589311,-0.05238495,0.95294017,idle
0.43340987,0.23182106,-0.1662713,0.99991834,0.4301661,0.2140384,-0.13823673,0.9997964,0.41981965,0.2159444,-0.17238417,0.99990803,0.4195374,0.21987341,0.013670931,0.99947315,0.39700446,0.22593795,-0.13879004,0.99992156,0.43277517,0.24850051,-0.1062693,0.9997275,0.4251372,0.24950965,-0.15022399,0.99984,0.40620297,0.3137902,0.17740354,0.99747,0.36576855,0.30641496,-0.19208506,0.9997014,0.41827145,0.42129856,0.19928053,0.22688502,0.3444315,0.42828232,-0.29806274,0.9913234,0.47641212,0.3959221,-0.02738013,0.432773,0.42682385,0.399755,-0.32813293,0.9372242,0.41601244,0.5545718,0.11520376,0.99634266,0.38000363,0.556006,-0.11516949,0.9983483,0.41362014,0.72769505,0.14188933,0.50909555,0.38705763,0.74652123,-0.11168496,0.9741928,0.40337887,0.89525527,0.23855588,0.71042025,0.39316672,0.93209255,-0.059691124,0.9798404,0.3933079,0.93180054,0.24026325,0.72368145,0.3836657,0.9598616,-0.061984368,0.9494217,idle
0.43464833,0.23179926,-0.16883412,0.9999253,0.43093252,0.21440513,-0.13929805,0.99981385,0.42143407,0.21594945,-0.17248783,0.999916,0.41973263,0.21993016,0.017984165,0.9995153,0.3995787,0.22567697,-0.1307385,0.9999288,0.4335398,0.24827172,-0.107487604,0.99975014,0.42644018,0.24889396,-0.15026388,0.9998546,0.4069964,0.3135747,0.18078093,0.9976359,0.36548385,0.30677953,-0.17380574,0.99972904,0.41479096,0.41289902,0.18652084,0.22315517,0.33772904,0.4270114,-0.28843313,0.99205875,0.46933556,0.38837203,-0.01994159,0.46229362,0.4165224,0.39556316,-0.3501442,0.943308,0.41835126,0.5541789,0.11215959,0.9963063,0.38013902,0.55581355,-0.11213835,0.9983007,0.41482678,0.7276314,0.10173595,0.5284114,0.38670284,0.7424243,-0.10879278,0.97447467,0.40437478,0.8974869,0.16806936,0.7252709,0.39280948,0.93005633,-0.058781225,0.9787698,0.39362252,0.9300776,0.16610599,0.7309829,0.38367382,0.95996565,-0.0615382,0.9458854,idle
0.43613702,0.23179987,-0.12028389,0.99992365,0.43157244,0.21456116,-0.094027534,0.99981445,0.4235267,0.21595028,-0.13105005,0.99991494,0.41972637,0.21992011,0.05073362,0.9994894,0.4026033,0.22534028,-0.11456028,0.99993175,0.4342707,0.24824654,-0.06282943,0.9997403,0.4279489,0.24863826,-0.11056505,0.99985975,0.4073848,0.311166,0.19884634,0.9976969,0.36627865,0.306657,-0.15822533,0.99975157,0.40624127,0.40969148,0.17340095,0.21042897,0.33762032,0.42694375,-0.21926078,0.9926222,0.45011514,0.37416926,-0.06702714,0.46615726,0.41262418,0.38348764,-0.18740039,0.94851625,0.41732478,0.55336696,0.112412706,0.996117,0.3803784,0.55578077,-0.112406656,0.99817914,0.41370192,0.7282115,0.12141366,0.55094695,0.38666338,0.7424355,-0.10145329,0.9746038,0.40625462,0.89837676,0.20287232,0.74146825,0.3922769,0.9299131,-0.043797065,0.9782725,0.39459366,0.9291985,0.20292144,0.744024,0.38242656,0.9598008,-0.041338302,0.9419985,idle
0.43665305,0.23179908,-0.084553435,0.999895,0.4318873,0.21498407,-0.060911022,0.99976224,0.42409697,0.21606465,-0.098808095,0.9998873,0.4196394,0.22010344,0.07150181,0.99928194,0.4035519,0.22533886,-0.09810813,0.9999201,0.4347794,0.24821214,-0.03140143,0.9996444,0.4284869,0.24853544,-0.08032719,0.99983567,0.40726954,0.3111024,0.2097185,0.9975758,0.36678645,0.3051041,-0.14729741,0.9997678,0.4076952,0.41450036,0.17196475,0.19599144,0.3360101,0.42483148,-0.23033407,0.9929834,0.44415984,0.37786448,-0.057137854,0.45705155,0.40668973,0.37459153,-0.23138459,0.9529715,0.4158671,0.5526775,0.11202483,0.99531,0.38045368,0.5549463,-0.11201284,0.99776906,0.41278243,0.72973657,0.12170837,0.55947125,0.38733372,0.7426515,-0.10160037,0.9725622,0.40721884,0.8999922,0.19598714,0.74752814,0.39212012,0.92990524,-0.037947174,0.9752112,0.3969557,0.9294738,0.19531289,0.74728125,0.38203055,0.9599091,-0.03689526,0.9340834,idle
0.43693724,0.23179768,-0.07230793,0.99981976,0.4320088,0.21520977,-0.05016405,0.9996207,0.42441124,0.21612564,-0.0888937,0.99981606,0.41935188,0.22025803,0.0729855,0.9988018,0.40425983,0.22523633,-0.09927432,0.9998877,0.4350667,0.24808957,-0.02258493,0.9994519,0.42905512,0.2483038,-0.07240809,0.9997765,0.4074177,0.312566,0.20671809,0.9973141,0.3664307,0.3033616,-0.15627961,0.9997827,0.40718752,0.4244691,0.17662394,0.18111864,0.3363461,0.42404085,-0.22344716,0.9933907,0.4353043,0.41643107,-0.04238192,0.4314341,0.40156966,0.3700366,-0.19859073,0.9570634,0.4150384,0.55236083,0.11228647,0.99463713,0.37998092,0.5541645,-0.112270735,0.99750185,0.41238508,0.73101234,0.12781192,0.56627715,0.38732284,0.74293715,-0.10061371,0.9711663,0.40772223,0.90031487,0.21173096,0.75213224,0.39161798,0.9294435,-0.03704049,0.9729521,0.3968702,0.9284203,0.21216778,0.7492849,0.38144937,0.95949334,-0.03474336,0.9271415,idle
0.43722916,0.23166166,-0.08078608,0.999701,0.43220186,0.21520443,-0.059118055,0.9993653,0.42471847,0.21612257,-0.09701848,0.99969345,0.41883412,0.22022271,0.06366746,0.9979656,0.40451297,0.22494788,-0.10539488,0.99982023,0.43526277,0.24784663,-0.030970812,0.9991173,0.42947006,0.24810712,-0.07989138,0.99965966,0.40770394,0.3133152,0.19979051,0.9969312,0.36555403,0.30158147,-0.16263643,0.9997943,0.40600038,0.42820472,0.19477293,0.16648827,0.3371101,0.42453566,-0.23978388,0.9936241,0.43209964,0.4458998,0.007546195,0.401243,0.3998292,0.3678732,-0.2381958,0.96058667,0.41446647,0.5521705,0.11230143,0.9937817,0.37966302,0.5534037,-0.11228462,0.9971918,0.41214544,0.73183024,0.12884584,0.57203704,0.38721925,0.7429911,-0.09946824,0.96984947,0.40843907,0.90115756,0.21309702,0.7565434,0.39124817,0.92939794,-0.032947704,0.9711337,0.39707485,0.92797655,0.21329308,0.75142497,0.38096058,0.95947987,-0.029953593,0.92111033,idle
0.43720752,0.2312858,-0.08680574,0.99948525,0.4322153,0.21515411,-0.0650374,0.998896,0.4246722,0.21605329,-0.102634475,0.9994301,0.418379,0.22016558,0.05536713,0.9966037,0.40452343,0.22465613,-0.11159718,0.9996614,0.43523893,0.24749303,-0.038272697,0.99854964,0.42943272,0.24778213,-0.08680173,0.99941164,0.4078303,0.31423697,0.19562833,0.99646914,0.36413628,0.3006991,-0.17186034,0.999799,0.40618744,0.42989367,0.2238324,0.154535,0.33937487,0.4246405,-0.23130028,0.9937756,0.42933622,0.4744862,0.087078795,0.3689155,0.40199226,0.36678484,-0.21506605,0.9633348,0.41425627,0.5521782,0.11240263,0.99288225,0.37758937,0.55336994,-0.11237184,0.99687314,0.41199532,0.7329568,0.1324198,0.5794477,0.38715172,0.74353623,-0.09741418,0.96875685,0.40864348,0.9013598,0.22461767,0.7599837,0.38968733,0.92950696,-0.011003492,0.9699926,0.3973257,0.92752063,0.22582212,0.7523552,0.3799483,0.9594592,-0.008589935,0.9160543,idle
