x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.35801572,0.12765734,-0.34550053,0.99995136,0.36287338,0.109833695,-0.31161162,0.9999194,0.3432445,0.1052959,-0.33006507,0.99992234,0.35921896,0.11760224,-0.11538348,0.999833,0.3201561,0.11385371,-0.20488372,0.9999347,0.35950488,0.14826587,-0.2714132,0.9999221,0.34625125,0.14679685,-0.29722732,0.99993217,0.37309825,0.2348186,0.029565182,0.999692,0.26713338,0.2241046,-0.1560672,0.9998501,0.37566143,0.36421224,-0.02150722,0.73897785,0.23401038,0.35445789,-0.3148139,0.9825589,0.39757073,0.3432195,-0.3200291,0.89867026,0.29976308,0.33046007,-0.5364085,0.93459666,0.36549145,0.5112968,0.061589926,0.99987054,0.29417807,0.51606095,-0.061701994,0.9998597,0.4205973,0.66203296,0.19119123,0.9780892,0.27508625,0.6758288,0.026428372,0.9959572,0.43870878,0.8081912,0.45669937,0.9855348,0.2514252,0.83113456,0.25238383,0.9934574,0.42277604,0.8358244,0.47537503,0.9632053,0.24613479,0.84849983,0.2689205,0.9140838,idle
0.34968153,0.12344762,-0.36339125,0.99995536,0.3550368,0.10564856,-0.33087832,0.9999256,0.33564836,0.10100592,-0.35151878,0.99992913,0.35172033,0.1142089,-0.13952225,0.9998415,0.31277025,0.10984102,-0.23952591,0.99994016,0.35079953,0.14448716,-0.29089397,0.9999261,0.337935,0.14320828,-0.31953585,0.99993795,0.36649665,0.23387057,0.00234486,0.9996907,0.25910932,0.21886058,-0.1885328,0.9998624,0.3734836,0.3634291,-0.03684046,0.7255955,0.22861609,0.35200813,-0.3555131,0.9838242,0.38979876,0.34243268,-0.32841355,0.900739,0.30054754,0.32111925,-0.5712368,0.94046634,0.3638504,0.50213605,0.06222864,0.9998622,0.29096797,0.5065696,-0.062366717,0.9998647,0.4095319,0.65615445,0.22285554,0.97904164,0.27534625,0.6658047,0.034348544,0.99614084,0.4067142,0.803354,0.47844777,0.98620677,0.25146967,0.8292016,0.24778464,0.993633,0.3904615,0.8311733,0.49558702,0.9641302,0.2470366,0.84837943,0.26398906,0.91558385,idle
0.34531564,0.122038685,-0.3547036,0.9999577,0.34977588,0.10345069,-0.3210674,0.9999281,0.3300051,0.09982084,-0.34099543,0.99993354,0.345713,0.11201061,-0.14099422,0.99984,0.30693984,0.10889546,-0.23555744,0.99994355,0.34719652,0.14252576,-0.28160936,0.99992734,0.33505538,0.1419256,-0.30916378,0.99994254,0.36397156,0.23075415,-0.008405889,0.99967945,0.25695744,0.215655,-0.19020867,0.99987215,0.37353134,0.36195576,-0.04318792,0.71264017,0.22292545,0.35048687,-0.34527153,0.9848808,0.38731933,0.34146622,-0.3115808,0.9007774,0.3001808,0.31973997,-0.5467914,0.9454773,0.35738885,0.5002191,0.059745997,0.999846,0.28385288,0.50334185,-0.059871875,0.99986225,0.39813128,0.6539669,0.18774459,0.9797869,0.27213722,0.6638816,0.045103602,0.9962213,0.3850704,0.80142474,0.43331885,0.98665863,0.25242117,0.82897246,0.270743,0.9936121,0.36893517,0.82844186,0.4509759,0.9642481,0.24769597,0.84812456,0.2872249,0.9159153,idle
0.33851266,0.11878995,-0.3172004,0.99995935,0.3432179,0.09962059,-0.29256955,0.99993,0.32286182,0.09709693,-0.3104412,0.99993753,0.34035358,0.10911604,-0.13237897,0.99983793,0.30039728,0.107205965,-0.22894259,0.99994653,0.3410054,0.13851897,-0.25755495,0.99992806,0.32805267,0.13865529,-0.28225014,0.9999466,0.35992908,0.23183917,-0.012504086,0.99965096,0.25174683,0.2165369,-0.18909946,0.9998809,0.3719483,0.364608,-0.045764554,0.69433874,0.22228841,0.35011905,-0.32998735,0.9856229,0.38278645,0.3400537,-0.28702193,0.8985441,0.29631987,0.3206862,-0.5059184,0.94978577,0.3549852,0.50160676,0.057163365,0.9998248,0.28052077,0.5052263,-0.05731854,0.9998622,0.38473472,0.65492177,0.2149946,0.97934955,0.27138117,0.66208726,0.04437629,0.99627334,0.3754107,0.7990643,0.44400302,0.98654974,0.25379163,0.82459396,0.24725103,0.9934235,0.36023676,0.8270475,0.46387053,0.9637282,0.24845186,0.84403145,0.26045883,0.9166936,idle
0.33212858,0.12017091,-0.33814725,0.9999627,0.33761817,0.10020521,-0.316783,0.99993527,0.31648093,0.09763532,-0.33306274,0.9999429,0.33532357,0.10977193,-0.1582882,0.9998476,0.29357204,0.10743023,-0.2419667,0.9999509,0.33439773,0.14020613,-0.27814832,0.9999328,0.32102737,0.14122877,-0.30108672,0.9999513,0.35548893,0.232343,-0.034045853,0.9996538,0.24719855,0.21696489,-0.19129986,0.9998905,0.36779016,0.3751121,-0.06864413,0.6920608,0.22008316,0.35286257,-0.3323301,0.9862778,0.37762898,0.3403677,-0.30355024,0.90276384,0.28995448,0.32151785,-0.5222748,0.95369834,0.35000283,0.50234586,0.054612707,0.99981546,0.27587354,0.5059025,-0.05477815,0.9998659,0.3803655,0.6547323,0.22005138,0.97976863,0.27149647,0.66163653,0.069167115,0.9963573,0.37600228,0.7973818,0.4562126,0.98686045,0.25375217,0.8241943,0.27039358,0.9933117,0.35930076,0.8268153,0.47473615,0.9640187,0.24764898,0.8438133,0.28484225,0.9177765,idle
0.3300129,0.12031351,-0.32559478,0.9999648,0.33425716,0.10086078,-0.30609745,0.99993813,0.31365255,0.09879077,-0.32194802,0.99994653,0.33165842,0.11001493,-0.1475691,0.99985194,0.29014164,0.11011485,-0.23282853,0.9999536,0.33351693,0.14028816,-0.2694181,0.99993557,0.32006985,0.14200456,-0.29093844,0.999955,0.35469604,0.23405057,-0.027192462,0.9996477,0.24493131,0.21980108,-0.18939371,0.99989754,0.3678127,0.38088843,-0.0639079,0.68768847,0.218528,0.3555408,-0.32821825,0.9869093,0.37655315,0.3394689,-0.2931946,0.90589875,0.2901627,0.32600743,-0.5078435,0.9574223,0.34617347,0.5045525,0.05402109,0.999797,0.27256268,0.5080786,-0.054163277,0.9998597,0.38185462,0.6535577,0.17866056,0.979805,0.2714764,0.6624511,0.093560874,0.9962407,0.3727445,0.7945555,0.3937343,0.98673207,0.25358427,0.8243091,0.33584926,0.9928552,0.3560247,0.8233445,0.409947,0.9632297,0.24678752,0.8437409,0.3552978,0.9169365,idle
0.3289745,0.12088818,-0.33197805,0.99996626,0.3330914,0.10170474,-0.30910933,0.99994,0.31194386,0.099138066,-0.32633987,0.9999489,0.33045834,0.110889085,-0.14587262,0.99985343,0.28813022,0.11044557,-0.23200718,0.99995536,0.33340773,0.14091586,-0.27240866,0.9999373,0.31938377,0.14224675,-0.295496,0.99995804,0.35094896,0.23428956,-0.024979603,0.9996425,0.24197154,0.22149377,-0.19149305,0.999902,0.36076918,0.38013604,-0.06703984,0.6769735,0.2204876,0.35758728,-0.32511976,0.9874612,0.37503448,0.33935654,-0.30783594,0.907615,0.2915071,0.32714766,-0.480393,0.9608802,0.34543133,0.5046623,0.053531468,0.99978524,0.2712868,0.5097918,-0.053630967,0.99984854,0.38816598,0.6528811,0.13646865,0.9805952,0.2686064,0.6627409,0.10943595,0.9961133,0.3806775,0.7932715,0.382604,0.98679405,0.2536257,0.824481,0.41277903,0.99251765,0.3597972,0.82198656,0.40093327,0.9620571,0.2463673,0.8437353,0.43784872,0.9156951,idle
0.32851386,0.12129845,-0.32254353,0.99996763,0.33230883,0.102275155,-0.2956605,0.9999415,0.3116243,0.09939215,-0.31295112,0.9999513,0.32942188,0.111489765,-0.12931207,0.9998515,0.28749898,0.11064104,-0.21208541,0.9999571,0.33249816,0.1413435,-0.2600034,0.99993736,0.31870097,0.1424525,-0.2832059,0.99996066,0.34894878,0.23457174,-0.0151917245,0.9996281,0.24223499,0.22169138,-0.17805156,0.9999069,0.35894746,0.38003102,-0.061125226,0.665523,0.21716292,0.35744268,-0.31416407,0.9880794,0.37705284,0.33832082,-0.31094497,0.9088205,0.29039952,0.32726336,-0.46885794,0.9639913,0.34393328,0.5052597,0.05442404,0.9997731,0.27070108,0.5098614,-0.05453338,0.99984366,0.39057827,0.6471082,0.1336158,0.98079276,0.2682088,0.66215116,0.09861893,0.9959859,0.38121596,0.7921824,0.3684532,0.9867212,0.25349414,0.8246543,0.34631756,0.99218637,0.3593406,0.821767,0.38545242,0.9613292,0.24532919,0.8441316,0.3659668,0.91414636,idle
0.33037376,0.12081714,-0.3237744,0.9999689,0.3332682,0.10137999,-0.29640278,0.9999429,0.3128397,0.09917297,-0.31409687,0.9999536,0.32981908,0.110763244,-0.12955834,0.99985087,0.28958803,0.11052628,-0.2130421,0.99995905,0.3339968,0.14078142,-0.26046097,0.9999384,0.32060808,0.14181699,-0.28404683,0.9999632,0.34971327,0.23490353,-0.011194277,0.99960923,0.24296169,0.22150086,-0.18102486,0.99991137,0.35914892,0.37915453,-0.060780577,0.6550792,0.21650033,0.35729367,-0.31393507,0.9887418,0.3776101,0.33745402,-0.30787632,0.9090608,0.28922224,0.32655677,-0.45976585,0.96694285,0.3447671,0.5055863,0.055039894,0.9997679,0.27207133,0.51013356,-0.05515548,0.99983776,0.39016655,0.6464444,0.13583897,0.9813855,0.26928616,0.6621873,0.12871012,0.99585116,0.38495177,0.7920712,0.34691408,0.986939,0.25368613,0.8239129,0.43659958,0.9919398,0.36366987,0.8217996,0.36148542,0.9613859,0.24550626,0.84389484,0.46215186,0.9137404,idle
0.33055156,0.12050335,-0.34138423,0.99997056,0.3344625,0.10144304,-0.31204155,0.99994504,0.31312156,0.09927051,-0.32855412,0.99995667,0.33201307,0.11075059,-0.13690278,0.99985033,0.29093665,0.110094465,-0.21578684,0.9999619,0.33472967,0.14065394,-0.2746952,0.99993855,0.32076097,0.14145495,-0.29684561,0.9999657,0.35034662,0.23485865,-0.0057670157,0.9995631,0.24504665,0.21947572,-0.18474574,0.9999171,0.35610598,0.37683973,-0.02615573,0.6319622,0.21524441,0.35418162,-0.30744022,0.9894185,0.37662745,0.33738583,-0.26300678,0.9035708,0.29029322,0.32588106,-0.43647885,0.9696295,0.34520698,0.5048498,0.05906592,0.9997542,0.27334502,0.5100942,-0.059173115,0.999832,0.38743564,0.645939,0.15404236,0.98188144,0.27076608,0.66175365,0.11944014,0.9958695,0.3851211,0.7922814,0.34949276,0.9873313,0.25384277,0.8237168,0.4040745,0.99196637,0.36510175,0.82245076,0.36114225,0.96225077,0.24563614,0.8438729,0.4270893,0.9143149,idle
