x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.38790345,0.15247342,-0.10810368,0.9999861,0.40141988,0.13251191,-0.10052629,0.99997723,0.38149682,0.13756916,-0.089585975,0.99996835,0.42273536,0.13870881,-0.019272257,0.99998444,0.3837422,0.14518799,0.053549714,0.99991226,0.39954123,0.16993572,-0.072627194,0.9999691,0.38714728,0.17137548,-0.05657364,0.9999521,0.4556262,0.22502999,-0.08981098,0.9999351,0.3887235,0.24981618,0.21173418,0.9998442,0.44534278,0.33544073,-0.060881592,0.977464,0.36661798,0.36131927,0.10650523,0.68746734,0.36400872,0.35565418,0.038187113,0.9077091,0.3566126,0.3476804,-0.16250576,0.826056,0.43968835,0.4982662,-0.10047903,0.99978787,0.37951186,0.5012965,0.1006612,0.999837,0.45599276,0.6840389,-0.09385021,0.99608284,0.3543759,0.68386704,0.111411974,0.9392581,0.48508438,0.86485577,0.027768422,0.99714315,0.31931338,0.8552634,0.21325424,0.98457515,0.5100479,0.8957779,0.030662024,0.96004593,0.33698714,0.89368004,0.21304277,0.95305395,idle
0.39963412,0.1524585,-0.15226987,0.9999869,0.41392082,0.13254592,-0.14634283,0.99997854,0.393045,0.13756229,-0.12728809,0.99996996,0.4348201,0.13897535,-0.049325697,0.9999857,0.39518505,0.14516456,0.036695465,0.9999165,0.41095796,0.17033075,-0.112777375,0.9999716,0.3978193,0.1717028,-0.08811352,0.99995506,0.46864194,0.22656903,-0.088645704,0.99994093,0.40729633,0.25011817,0.2228891,0.9998364,0.4804237,0.34769738,-0.10832377,0.97948486,0.40181965,0.3678246,0.20908563,0.64722157,0.39847773,0.37047184,-0.091984615,0.9159991,0.37171525,0.37098083,-0.02466757,0.815479,0.45762715,0.5018288,-0.1046955,0.99978673,0.39938742,0.5044816,0.10498121,0.9998272,0.47276124,0.6889809,-0.11029647,0.99633825,0.3656472,0.6843979,0.09477285,0.9448867,0.4883574,0.86849314,0.023730809,0.9972193,0.32062694,0.8574814,0.2015601,0.98591673,0.5070093,0.89846206,0.027324194,0.9587594,0.33718446,0.89610565,0.20049882,0.9560621,idle
0.40909934,0.15300609,-0.26837617,0.9999871,0.4244824,0.13302161,-0.26533118,0.99997914,0.4040448,0.13753597,-0.23848966,0.9999703,0.44511324,0.13895726,-0.17302193,0.9999866,0.40938836,0.14484705,-0.050286084,0.9999161,0.4204854,0.17114829,-0.22920349,0.9999735,0.4073339,0.17210244,-0.19415171,0.99995536,0.48114806,0.22819641,-0.18218395,0.99994606,0.42675295,0.2483874,0.17983535,0.9997738,0.5196421,0.35356238,-0.25133422,0.9814711,0.43320155,0.3653478,0.2114338,0.593134,0.4263753,0.39331946,-0.30013776,0.9240358,0.39515793,0.36644688,-0.0054801595,0.78188884,0.4694418,0.50183475,-0.10970722,0.9997376,0.41585922,0.50321627,0.10978135,0.99973106,0.4789703,0.6884006,-0.15238461,0.9962207,0.37355143,0.6767243,0.039852962,0.94884866,0.4872392,0.86930394,-0.026588941,0.9969831,0.34376985,0.8568783,0.1400378,0.9867035,0.5053027,0.89895546,-0.033172067,0.95640945,0.3590985,0.8959835,0.13822213,0.95822364,idle
0.42031732,0.15299466,-0.2970474,0.9999874,0.4359266,0.13301031,-0.29622293,0.9999797,0.41552323,0.13677189,-0.26793712,0.99997014,0.4566082,0.1388674,-0.20825896,0.99998754,0.4192534,0.14412805,-0.07770546,0.99991703,0.4317089,0.1711094,-0.25885218,0.9999755,0.41852736,0.17196992,-0.2214781,0.9999563,0.49455863,0.22738403,-0.20682986,0.9999512,0.4339326,0.24129291,0.15539388,0.99974895,0.54402125,0.34978274,-0.28279966,0.9832769,0.4508664,0.36116493,0.18813467,0.5453274,0.4514355,0.39242777,-0.3616888,0.93144387,0.4045187,0.3554078,-0.05210814,0.7620493,0.4804949,0.5004421,-0.111472294,0.99971735,0.4269492,0.5024792,0.111600496,0.9996879,0.48586974,0.68750995,-0.14721097,0.9962709,0.37812206,0.6646086,0.029146776,0.9532827,0.48652473,0.8673443,-0.013230396,0.99691576,0.39469975,0.84441286,0.15305904,0.9874156,0.50561875,0.8962374,-0.013762233,0.9545823,0.41012,0.87596524,0.16974603,0.96044534,idle
0.4355598,0.15248837,-0.36068237,0.9999883,0.45133948,0.13287865,-0.35721558,0.99998116,0.4297875,0.13574308,-0.3305953,0.9999719,0.4711451,0.13873576,-0.25620753,0.9999886,0.43220466,0.14331387,-0.13252033,0.99992234,0.4468201,0.17078246,-0.31766766,0.99997777,0.4327725,0.17147069,-0.28234267,0.9999594,0.5089703,0.22709936,-0.24139687,0.999956,0.44037476,0.24066646,0.10595554,0.99973893,0.56117785,0.34923255,-0.33100083,0.9849174,0.45241657,0.3597025,0.10649315,0.52068114,0.47140723,0.3914732,-0.46706796,0.9381619,0.4104045,0.35993698,-0.21103375,0.76588655,0.49258298,0.4997277,-0.11205502,0.99973005,0.43844804,0.50093776,0.11216364,0.99966127,0.4905352,0.68678105,-0.16637854,0.99626064,0.3918169,0.6610673,0.084778756,0.9558964,0.48855472,0.86608124,-0.02681832,0.99686134,0.43921193,0.82651806,0.33612904,0.9864548,0.5079328,0.8960709,-0.025809374,0.95384943,0.45895624,0.8477355,0.35109508,0.9596201,idle
0.44988436,0.15248083,-0.3169868,0.99998915,0.46594086,0.1330424,-0.30815494,0.9999826,0.44466996,0.13553968,-0.28506386,0.9999737,0.48562798,0.13900924,-0.19403836,0.99998957,0.44654799,0.14292385,-0.08610953,0.99992776,0.46084887,0.17075627,-0.26937145,0.99997985,0.4467326,0.1713811,-0.23890722,0.9999626,0.522828,0.22881551,-0.19222896,0.9999603,0.44444466,0.23993711,0.1339652,0.9997429,0.5712278,0.35164875,-0.28504086,0.98637676,0.45071632,0.3587602,0.096454196,0.51469684,0.48828602,0.384586,-0.47503147,0.9442075,0.41139436,0.3548025,-0.25599575,0.77809954,0.5038825,0.49819005,-0.11358275,0.9997425,0.44846788,0.4994932,0.11367955,0.999644,0.5008849,0.6844227,-0.17953512,0.9958074,0.41488656,0.66228974,0.08511965,0.95594394,0.4892808,0.8642714,-0.030210104,0.99642414,0.47344118,0.8192109,0.32801458,0.982844,0.5072552,0.89508396,-0.030081112,0.95136666,0.49018353,0.84377056,0.34350833,0.95598084,idle
0.46524435,0.15272732,-0.26380378,0.99998933,0.4809009,0.13399346,-0.27406415,0.9999829,0.45961303,0.13559328,-0.23466058,0.9999733,0.49965605,0.14027855,-0.11142691,0.99998987,0.46050602,0.14292333,-0.051727463,0.9999282,0.47523817,0.17104557,-0.24169597,0.9999814,0.46046615,0.17139062,-0.1912934,0.99996424,0.5376221,0.23262183,-0.07935809,0.9999641,0.44833416,0.24007106,0.14567044,0.99974865,0.5795957,0.35551488,-0.21916899,0.98763365,0.44418654,0.35836533,0.098042965,0.51964676,0.50355375,0.37974605,-0.39474624,0.9495503,0.4189419,0.35406074,-0.23852213,0.79151064,0.5138308,0.4930525,-0.09443809,0.99976075,0.4566773,0.4975634,0.09458968,0.999644,0.5036626,0.66795033,-0.23350397,0.99531984,0.43907723,0.6620775,0.06330655,0.9558989,0.4896323,0.8611393,-0.17108834,0.99626285,0.51680106,0.80559444,0.3102797,0.9803293,0.5008284,0.8931132,-0.17565592,0.9498142,0.5416123,0.82943344,0.32714328,0.953941,idle
0.4764921,0.1532558,-0.25780398,0.9999859,0.49160403,0.1354457,-0.2490637,0.9999773,0.47012138,0.13626108,-0.22692497,0.9999645,0.5089233,0.14263874,-0.095895275,0.99998724,0.46945268,0.14363508,-0.04185413,0.9999127,0.4861285,0.17160633,-0.21586387,0.9999811,0.47034985,0.17177926,-0.18595469,0.9999615,0.54867136,0.23570791,-0.06345935,0.99996686,0.4509508,0.2418754,0.13425012,0.9997508,0.5890847,0.35978612,-0.19930974,0.9887008,0.44296223,0.35937414,0.071560755,0.5327847,0.5149094,0.37553975,-0.42324758,0.95404667,0.4261121,0.3592338,-0.2813971,0.8045318,0.52535254,0.49307674,-0.09133996,0.9997269,0.46486577,0.49720287,0.09158392,0.9995392,0.5122116,0.66867983,-0.21697883,0.99344933,0.4775896,0.667534,0.06929363,0.9436261,0.49085307,0.86281717,-0.111691855,0.99444485,0.52049553,0.80766904,0.27994353,0.9735521,0.5007393,0.89280754,-0.111212775,0.9436504,0.5410867,0.8343414,0.2901786,0.94844097,idle
0.48343006,0.15349147,-0.27863532,0.99998516,0.49834642,0.1365696,-0.26054102,0.9999752,0.47711414,0.1366713,-0.2497839,0.9999634,0.5146941,0.1447723,-0.10247636,0.9999855,0.47582245,0.14420739,-0.07139018,0.99991447,0.49272195,0.17178705,-0.22411545,0.9999819,0.4767561,0.17187832,-0.21038668,0.9999628,0.5557914,0.23696454,-0.084718116,0.99996907,0.45402908,0.24772659,0.09891042,0.9997661,0.5985982,0.35821673,-0.20014262,0.98969644,0.4441769,0.36335522,0.039237686,0.5541697,0.52637285,0.3736523,-0.45139775,0.95828986,0.43503395,0.36541155,-0.30477864,0.81881636,0.54063994,0.493865,-0.08915834,0.9996928,0.48140827,0.49696335,0.08949877,0.9994929,0.51857287,0.66876084,-0.1818535,0.99368894,0.49697566,0.66755277,0.123220146,0.9341246,0.49027953,0.8639559,-0.093852386,0.99288106,0.52610916,0.81348205,0.3224227,0.96996224,0.5000809,0.89256936,-0.09431816,0.9419122,0.54357517,0.84528726,0.3302418,0.94720036,idle
0.4872436,0.15438536,-0.2743587,0.9999844,0.50217426,0.13755322,-0.25692302,0.9999728,0.48126262,0.13762923,-0.24654016,0.9999627,0.5181104,0.14666326,-0.106635354,0.9999829,0.47912422,0.14566919,-0.074266694,0.99991584,0.49684,0.17301854,-0.22128268,0.9999824,0.4809845,0.17311658,-0.2086337,0.99996376,0.5616553,0.23692171,-0.09668681,0.9999705,0.45730162,0.25397,0.0947247,0.999781,0.6080483,0.356583,-0.21008119,0.99061733,0.44695377,0.36824706,0.026078084,0.5844388,0.5367013,0.37334284,-0.45231682,0.9621007,0.44257617,0.36835977,-0.31817284,0.8331564,0.5542356,0.49324888,-0.09259785,0.99965066,0.49305958,0.49659652,0.09293513,0.99944514,0.5186812,0.66924024,-0.20091788,0.99390894,0.5067202,0.6671583,0.12952052,0.91930115,0.4913021,0.8635057,-0.15174003,0.99110174,0.5312966,0.81424296,0.3185537,0.9644496,0.49984446,0.8915364,-0.15805843,0.9412444,0.54587996,0.8479481,0.32522643,0.9454272,idle
