x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.67468166,0.15747565,-0.19111487,0.9999498,0.68433803,0.1380131,-0.18038513,0.99989694,0.663481,0.14397882,-0.16759807,0.9998423,0.69727767,0.1424691,-0.085126184,0.99988395,0.6571444,0.15279347,-0.016426582,0.99975616,0.6852011,0.17199665,-0.15424675,0.99988633,0.6703445,0.17384489,-0.1394589,0.9998704,0.7468809,0.23375782,-0.035026353,0.99969447,0.63830984,0.2439314,0.058680765,0.99972546,0.74769914,0.346695,-0.1713524,0.9911422,0.58567053,0.3437898,-0.081798844,0.97251123,0.7003192,0.24254407,-0.32872903,0.9948967,0.6222424,0.25977325,-0.30774593,0.9684994,0.7195951,0.48896867,-0.013564947,0.99926955,0.65400153,0.48538107,0.013602304,0.9996671,0.7048441,0.6625019,0.065983094,0.99015254,0.638708,0.6566258,0.014111941,0.9939445,0.7021202,0.8151981,0.28953767,0.98085195,0.6215889,0.825709,0.14653596,0.9920522,0.69481283,0.83307207,0.30471689,0.8880275,0.6337987,0.8436937,0.15071817,0.9180947,idle
0.67397034,0.15749773,-0.16460924,0.99994993,0.6841316,0.13802956,-0.155578,0.9998951,0.66338474,0.14400095,-0.1398026,0.999844,0.69689333,0.14258796,-0.06845576,0.99987763,0.6568025,0.15230678,0.0073392713,0.9997546,0.6851417,0.17232318,-0.1289806,0.9998805,0.66961515,0.17386083,-0.10973275,0.99986804,0.74618304,0.23451707,-0.012752248,0.999658,0.6378099,0.24424627,0.07775778,0.99973303,0.74281055,0.3506204,-0.15730141,0.9908623,0.5850767,0.34439316,-0.060282625,0.97131795,0.6971452,0.24739859,-0.31890646,0.99471456,0.6214387,0.26360327,-0.30061683,0.96746325,0.7166552,0.4874123,-0.012187431,0.99926513,0.6495508,0.48223102,0.012251812,0.99968404,0.7047316,0.6618739,0.064536355,0.9901488,0.6334523,0.65669376,-0.013857588,0.99429536,0.70168936,0.8148335,0.28093123,0.9814906,0.6163635,0.83167523,0.09991838,0.9925479,0.69236934,0.8338915,0.29502183,0.89223444,0.6290848,0.8530305,0.10150774,0.9210616,idle
0.6716901,0.15614441,-0.15529223,0.99994946,0.6824899,0.13751163,-0.14556456,0.99989325,0.66245526,0.14319518,-0.12986575,0.99984425,0.6966,0.14255564,-0.05964628,0.9998744,0.6563546,0.15150543,0.01526884,0.9997541,0.6831604,0.17181356,-0.12002428,0.9998757,0.6674186,0.17230806,-0.10033206,0.9998657,0.7444401,0.23530108,-0.012555887,0.99961555,0.63606656,0.24431849,0.0819387,0.99973583,0.7398,0.34965366,-0.15916924,0.99029577,0.584849,0.34363773,-0.05803631,0.9709981,0.6904992,0.2477422,-0.30980653,0.9943281,0.62091815,0.2621438,-0.27958065,0.9661313,0.7130234,0.49121264,-0.012794228,0.99927604,0.64497614,0.4857218,0.012856741,0.9997011,0.70449203,0.667154,0.07258159,0.990269,0.62680876,0.6649792,-0.009692209,0.99462086,0.70144576,0.8169278,0.29598677,0.9819724,0.61301136,0.8355759,0.13855748,0.9929391,0.69206846,0.8375061,0.3111089,0.8957827,0.6255344,0.8579498,0.14342609,0.9236165,idle
0.6697923,0.15619332,-0.1846728,0.9999489,0.68089455,0.13752641,-0.17339717,0.9998908,0.66039795,0.14322455,-0.15942821,0.99984294,0.6960068,0.14300479,-0.074541256,0.9998706,0.65373045,0.15153067,-0.011233646,0.99975115,0.68146974,0.17236868,-0.14583929,0.999872,0.6651629,0.17247704,-0.1282461,0.99986374,0.74092406,0.23776516,-0.031775907,0.99956304,0.63228595,0.24464944,0.05568876,0.9997358,0.732947,0.34920684,-0.18501729,0.98993075,0.58351105,0.34304053,-0.09437238,0.97151214,0.68470377,0.24802099,-0.33628428,0.9941098,0.62078565,0.259742,-0.30878577,0.96607107,0.7073724,0.4999831,-0.013470387,0.9992783,0.6399315,0.49311978,0.013545749,0.99971443,0.7027356,0.6731165,0.085452184,0.9901599,0.62105286,0.67712116,0.013642633,0.9948807,0.7009717,0.8177105,0.32374364,0.98187476,0.61174095,0.83942133,0.15285696,0.9931654,0.69169647,0.83813214,0.3407183,0.8979239,0.62510115,0.86141163,0.15740493,0.92495775,idle
0.66120964,0.156065,-0.18610302,0.9999451,0.6716839,0.1374242,-0.17593646,0.99988073,0.64958227,0.14290981,-0.16102998,0.9998315,0.6861863,0.14301369,-0.07711841,0.99985665,0.6401842,0.15119971,-0.010227714,0.999732,0.671083,0.17237939,-0.14695314,0.9998601,0.6555102,0.17254578,-0.12815681,0.999854,0.72859025,0.2384639,-0.035733037,0.999519,0.61991274,0.2429115,0.06094541,0.9997393,0.7186337,0.3487371,-0.19532819,0.9890291,0.566106,0.33946362,-0.09074982,0.9704573,0.66913265,0.2474658,-0.34654635,0.9934975,0.6020547,0.25886086,-0.3220983,0.9649465,0.69088113,0.5015241,-0.0146876965,0.9992861,0.6251604,0.4945408,0.014719775,0.99972594,0.6959568,0.67787206,0.07672425,0.9902465,0.6112604,0.68066424,0.031946193,0.9951185,0.7007002,0.8184007,0.3008545,0.982265,0.6122267,0.8415758,0.17698592,0.99343765,0.6919239,0.839299,0.3162922,0.90002185,0.6263319,0.86358815,0.1830674,0.92679894,idle
0.6553639,0.15548082,-0.21775067,0.99994403,0.6660679,0.136898,-0.21005242,0.99987984,0.6439515,0.14166287,-0.19172065,0.99982727,0.68135434,0.14290902,-0.115277275,0.999858,0.6342279,0.15014951,-0.032520793,0.99972457,0.66493964,0.17219767,-0.17961077,0.9998597,0.64982224,0.17238644,-0.15622051,0.9998519,0.72260076,0.23886897,-0.078989916,0.99951357,0.6142287,0.24128142,0.057823323,0.99973863,0.71115154,0.3465346,-0.24491453,0.98864853,0.5590724,0.33488643,-0.089164615,0.9680872,0.6619656,0.2461858,-0.40951723,0.99326414,0.59713876,0.25870463,-0.35028303,0.9627564,0.6832164,0.5052637,-0.020436326,0.9992784,0.61862755,0.4968015,0.020461986,0.9997339,0.68925244,0.68350613,0.07222589,0.9903066,0.6068624,0.6775492,0.040219657,0.99533135,0.6997604,0.81834483,0.31190437,0.9821908,0.61257833,0.8408011,0.1926392,0.9935872,0.6920666,0.8389975,0.32825875,0.8998546,0.62567526,0.8624706,0.1991877,0.92821187,idle
0.65046597,0.15507966,-0.21789667,0.99994516,0.66133046,0.13663353,-0.20943174,0.99988246,0.6389922,0.14070669,-0.19258657,0.9998293,0.6764457,0.14282708,-0.109310195,0.9998635,0.62982684,0.14915013,-0.032333672,0.9997239,0.6597887,0.17199107,-0.1771561,0.9998642,0.64525187,0.1720956,-0.1555325,0.999855,0.7160891,0.23884127,-0.07350096,0.99952835,0.60940146,0.2394851,0.06052084,0.99973744,0.70780426,0.34534368,-0.23677115,0.98865366,0.55393165,0.33299014,-0.08987136,0.9656625,0.6576124,0.2460431,-0.39907497,0.9931083,0.5928147,0.2580593,-0.36624962,0.9613327,0.6774012,0.5033502,-0.033999205,0.9992561,0.613569,0.4958143,0.034042217,0.99973017,0.68390393,0.6808616,0.046924025,0.9906859,0.6030499,0.6770908,0.061690528,0.9954308,0.6998766,0.8184946,0.29819554,0.9826891,0.6142908,0.8436614,0.22081718,0.99379486,0.69353795,0.8387142,0.3155271,0.8992813,0.62687474,0.86418736,0.22822627,0.9310486,idle
0.64051104,0.15056369,-0.14027557,0.99994755,0.6527583,0.13314135,-0.122464046,0.99988747,0.63043094,0.13387948,-0.110520326,0.9998356,0.667179,0.1396754,-0.00030045354,0.99987257,0.6214298,0.14024892,0.054801337,0.9997332,0.6477467,0.16802908,-0.092832215,0.9998736,0.6336915,0.16754475,-0.077446334,0.9998646,0.70336604,0.23458892,0.02234607,0.99956924,0.5978812,0.23876882,0.15765417,0.9997458,0.7069641,0.3447105,-0.14004925,0.98932695,0.54527706,0.33255434,0.00848502,0.9654758,0.6555109,0.24636951,-0.3065768,0.99341387,0.58731073,0.25718576,-0.2516563,0.96279716,0.67194355,0.4897363,-0.04036187,0.9992896,0.6085504,0.4866614,0.04049345,0.9997282,0.67027587,0.67747957,-0.059323244,0.99094474,0.6042272,0.6764013,0.039646715,0.99471474,0.68983704,0.814706,0.25502568,0.98102605,0.6144449,0.8451339,0.22473781,0.9933341,0.6887842,0.8258236,0.2802564,0.8806614,0.6272651,0.8653967,0.23644967,0.92879415,idle
0.63824373,0.14321917,-0.08366853,0.99994665,0.6494154,0.12523957,-0.06473019,0.99988604,0.6275814,0.127164,-0.053249687,0.99983317,0.66325164,0.13207172,0.051866937,0.9998756,0.6185093,0.1341632,0.105281115,0.9997305,0.6456071,0.16118899,-0.038925856,0.9998763,0.6317653,0.1620682,-0.02393469,0.99986655,0.7012214,0.22941417,0.06661597,0.99960494,0.5979148,0.23689142,0.18904254,0.9997463,0.70464617,0.34282044,-0.09632655,0.9897569,0.54445916,0.33224052,0.04579802,0.9651271,0.6516057,0.24609163,-0.25024706,0.99358124,0.58334965,0.25560835,-0.18916282,0.96433395,0.6715255,0.47375536,-0.041068546,0.9993075,0.60702986,0.47175345,0.041200645,0.99970245,0.662408,0.6686506,-0.06310538,0.99100035,0.60334724,0.6705446,0.020452488,0.9930924,0.68167126,0.8153685,0.18420576,0.9805996,0.61411107,0.8459208,0.21439536,0.9922283,0.6818079,0.82770354,0.20150463,0.8598392,0.6268927,0.8671692,0.22559781,0.92174524,idle
0.63781166,0.1406633,-0.050628375,0.9999486,0.64840096,0.1236328,-0.02954108,0.99989086,0.6269049,0.12492358,-0.019876737,0.9998398,0.6621159,0.13005072,0.09055078,0.99988335,0.61773133,0.1320718,0.13549139,0.9997444,0.64557016,0.15882622,-0.005046209,0.9998839,0.63170415,0.1590805,0.007549688,0.9998745,0.6999628,0.22713529,0.103579536,0.99964076,0.59471834,0.23508744,0.21137193,0.99975485,0.7049581,0.33938774,-0.056778975,0.99021906,0.5445127,0.33225116,0.07174124,0.9655396,0.65213525,0.24562642,-0.20454204,0.99380445,0.58273834,0.2555206,-0.15369242,0.9658739,0.6706784,0.47210237,-0.038272947,0.9993567,0.6050393,0.47014576,0.038403,0.9997055,0.6621908,0.6693271,-0.055280656,0.9913581,0.60277724,0.66916686,0.010077796,0.99248195,0.67638636,0.8241826,0.19312282,0.9811134,0.6123265,0.8466226,0.21931164,0.99159807,0.6771165,0.8369399,0.21074736,0.8462557,0.6217508,0.86688066,0.23290733,0.9139518,idle
