x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.33561257,0.19997524,-0.23453462,0.99999326,0.348177,0.180029,-0.22068444,0.9999875,0.32361314,0.18417022,-0.19983721,0.9999864,0.3661779,0.18709005,-0.12562728,0.99998254,0.31798232,0.19287275,-0.032365598,0.9999749,0.34617698,0.22118561,-0.1969702,0.99998903,0.33136547,0.22290169,-0.17310795,0.99998415,0.39269933,0.27460077,-0.21063785,0.9999768,0.3133172,0.30519885,0.1630377,0.99989736,0.35421926,0.3988425,-0.31036964,0.9927508,0.26467395,0.42471233,0.13414559,0.7746413,0.25576535,0.41866288,-0.38034874,0.985248,0.19610402,0.48174435,-0.121338174,0.88154167,0.39578635,0.5265285,-0.13593537,0.9999714,0.3561092,0.53943425,0.13590117,0.99988306,0.35724705,0.6977174,-0.25344366,0.9931546,0.3846741,0.69606346,0.2517044,0.82824284,0.37337494,0.8892195,-0.190918,0.9980755,0.45961732,0.8428881,0.4210915,0.964636,0.3943862,0.9187048,-0.19014868,0.99260145,0.48407537,0.8621193,0.4327635,0.9667379,idle
0.33595678,0.19857042,-0.25481322,0.9999934,0.34854525,0.17892851,-0.23973593,0.9999876,0.32469708,0.1824575,-0.22190067,0.99998647,0.36717498,0.18561582,-0.13008037,0.999983,0.31961364,0.18927604,-0.05137064,0.9999744,0.34650552,0.21934472,-0.21322744,0.9999894,0.33231762,0.22135407,-0.1912994,0.99998456,0.3965373,0.27553254,-0.20976916,0.99997747,0.31314158,0.3009312,0.1422312,0.999898,0.36982325,0.4032841,-0.30634096,0.9931831,0.27042374,0.42222822,0.14955607,0.7713777,0.2783665,0.42395553,-0.38813248,0.98570895,0.20289083,0.48010826,-0.062051684,0.8752156,0.39612904,0.5237599,-0.13478932,0.99996847,0.35639626,0.53377324,0.13483131,0.9998804,0.36292642,0.6965967,-0.25309056,0.9935147,0.3933685,0.6948381,0.25040403,0.82110757,0.37851864,0.88747936,-0.1943974,0.9980778,0.4592227,0.844916,0.4200819,0.96513456,0.39610538,0.9161662,-0.19361684,0.99267083,0.48478073,0.8631025,0.43111768,0.9677898,idle
0.33623832,0.19027098,-0.38153297,0.9999938,0.34964624,0.17183982,-0.36681134,0.9999884,0.32393953,0.17509481,-0.34796777,0.99998724,0.36736393,0.18107258,-0.25203216,0.9999843,0.3172378,0.1842749,-0.16826448,0.9999757,0.3460841,0.21319956,-0.33743486,0.9999902,0.32979515,0.21488947,-0.31351957,0.9999857,0.39659247,0.27860066,-0.28779393,0.9999794,0.3128081,0.30153707,0.05333517,0.9999027,0.42646608,0.4085981,-0.32748464,0.99381673,0.28407305,0.42222995,0.14081521,0.75696343,0.35236758,0.48188016,-0.4179352,0.9868651,0.23002608,0.49719414,-0.048425626,0.87495357,0.39449105,0.53191334,-0.13266611,0.9999616,0.35570902,0.5380611,0.13275264,0.99986994,0.36948335,0.7006095,-0.17529671,0.9938444,0.3839512,0.7040354,0.1855322,0.8274362,0.3782515,0.8903302,-0.08879768,0.9980778,0.4579003,0.84341085,0.35972387,0.96722627,0.39327127,0.91914684,-0.089676216,0.99232334,0.48439717,0.8619531,0.3676742,0.9697543,idle
0.33499557,0.18937555,-0.40182108,0.99999416,0.34860367,0.17168799,-0.389371,0.99998903,0.3229814,0.17411469,-0.3697763,0.9999878,0.3659852,0.18068132,-0.27885744,0.9999856,0.31629637,0.18253456,-0.19026509,0.9999765,0.3452678,0.21185826,-0.35779986,0.99999094,0.32818097,0.21304184,-0.33242783,0.9999866,0.39679804,0.27908865,-0.3055468,0.9999813,0.31254536,0.2996152,0.03335149,0.9999059,0.43649888,0.409128,-0.3445155,0.9943911,0.28991085,0.4210711,0.12703213,0.74075645,0.37166196,0.5003882,-0.43819553,0.9879434,0.24199724,0.50432795,-0.039257534,0.8728356,0.39316103,0.5372109,-0.128539,0.99995583,0.34967974,0.5400083,0.12858787,0.99985826,0.3658194,0.7039611,-0.14695808,0.99375486,0.3775908,0.70854086,0.12007256,0.8380281,0.37853855,0.8937544,-0.041317668,0.9980364,0.44844183,0.84108454,0.30099,0.9690623,0.39333814,0.92134833,-0.04122537,0.9912922,0.47245115,0.85314995,0.31025308,0.97135144,idle
0.33334646,0.19191031,-0.40140992,0.9999943,0.34719473,0.17332664,-0.389029,0.9999893,0.32145935,0.17542908,-0.36903152,0.9999874,0.36487538,0.18322559,-0.28131804,0.99998647,0.31546497,0.18512091,-0.18934253,0.9999753,0.3443452,0.21367082,-0.35832965,0.9999914,0.32677513,0.21455416,-0.3318773,0.9999868,0.3975066,0.2799466,-0.2941727,0.999983,0.31218737,0.3012801,0.02329405,0.99990445,0.44428015,0.40655997,-0.34109133,0.9948908,0.29177767,0.42489237,0.121653214,0.7284002,0.38631973,0.50206035,-0.44525632,0.9888735,0.25047743,0.5074474,-0.038259428,0.8718368,0.39246786,0.53592813,-0.117936134,0.99994963,0.3426993,0.5406498,0.117871776,0.9998357,0.36889517,0.70586365,-0.14545695,0.9930596,0.34602064,0.70730585,0.08704449,0.8495364,0.38110167,0.89387435,-0.022129612,0.9979443,0.4326818,0.8283329,0.29084057,0.97012067,0.3927103,0.92091346,-0.020711837,0.98867816,0.45812932,0.8274181,0.30326432,0.9718352,idle
0.3319736,0.19331042,-0.39528233,0.99999446,0.34655866,0.1738955,-0.38396442,0.9999896,0.32018393,0.17540121,-0.36360067,0.9999872,0.36413002,0.18431512,-0.2811455,0.9999873,0.3147236,0.18543783,-0.18690743,0.999974,0.343464,0.21501899,-0.35429835,0.99999195,0.3258382,0.21565756,-0.3271516,0.99998707,0.39774644,0.2802552,-0.28902328,0.99998456,0.31164068,0.302155,0.015843187,0.99990034,0.44817233,0.40392697,-0.3261791,0.9953387,0.29489553,0.42844486,0.11541961,0.7148105,0.3954261,0.50573057,-0.43703467,0.9896927,0.2559008,0.50809276,-0.034930803,0.8690582,0.38960576,0.53549176,-0.11170344,0.99994624,0.33633047,0.54043025,0.11162348,0.999815,0.36969692,0.7066302,-0.16266802,0.9924649,0.3288079,0.7076021,0.1038809,0.8597715,0.3791062,0.89294934,-0.059927575,0.99781346,0.41849217,0.8263971,0.32019216,0.9702807,0.38831884,0.9218571,-0.06037841,0.9857493,0.44215053,0.82339257,0.33413652,0.9708263,idle
0.33108503,0.1945692,-0.42341128,0.99999446,0.34585208,0.17517534,-0.41184908,0.99998915,0.31972203,0.17617539,-0.3954894,0.9999862,0.36323574,0.18530266,-0.30048913,0.9999876,0.31447506,0.1862283,-0.2234956,0.9999701,0.3425744,0.21563233,-0.37847823,0.9999924,0.3253119,0.21698399,-0.35633254,0.9999873,0.39888823,0.27872235,-0.2828168,0.999986,0.3006604,0.30075043,-0.017396698,0.9998984,0.45452625,0.39462215,-0.29127032,0.9957564,0.29322666,0.43017048,0.099095374,0.7115372,0.40631455,0.5013936,-0.42222825,0.9904458,0.26308122,0.51517516,-0.04994463,0.8727215,0.38713288,0.5364016,-0.10145744,0.9999438,0.32940027,0.54009223,0.10141347,0.99980307,0.37454322,0.7072995,-0.14165504,0.9927006,0.3203823,0.7107917,0.11017809,0.867873,0.37870264,0.88788086,0.011370275,0.9976518,0.3481282,0.8487229,0.4248073,0.97038364,0.39139676,0.91881007,0.015725771,0.98228943,0.36448696,0.8631,0.44165373,0.9673866,idle
0.33054847,0.19483773,-0.37774643,0.99999404,0.34519798,0.17584607,-0.36695117,0.99998754,0.31958637,0.17639819,-0.34483582,0.99998343,0.3629964,0.18566464,-0.26907668,0.99998724,0.31391895,0.1870329,-0.17640689,0.9999629,0.34207338,0.21603604,-0.33835492,0.9999926,0.3243621,0.2173098,-0.3085554,0.99998724,0.39854935,0.27850196,-0.22810474,0.9999872,0.29530922,0.30135643,0.016324863,0.9998982,0.45481235,0.39214557,-0.22418106,0.9961116,0.29073328,0.4295131,0.114150524,0.7111876,0.4082803,0.50050336,-0.34389958,0.99107474,0.26323113,0.51775926,-0.02900483,0.8766287,0.38405055,0.53847253,-0.08759712,0.99992967,0.3253149,0.54134506,0.08759506,0.9997712,0.37412807,0.71274817,-0.08934731,0.99257565,0.32005137,0.71321243,0.111032024,0.8760215,0.37809187,0.88886136,0.088375494,0.9970441,0.33377427,0.86496323,0.3268203,0.9705704,0.39100558,0.91941416,0.09464618,0.97315,0.34957156,0.8835886,0.33660272,0.9633062,idle
0.330328,0.19509186,-0.35979822,0.9999933,0.34475136,0.17670791,-0.34688127,0.99998546,0.3190808,0.17698383,-0.33968532,0.99998,0.36258283,0.18647183,-0.23949417,0.9999864,0.3125146,0.18818477,-0.16360943,0.999954,0.34191594,0.21646522,-0.31602466,0.9999926,0.32297534,0.21783856,-0.30074438,0.9999868,0.39884195,0.2790791,-0.20084253,0.99998814,0.29096216,0.30233613,0.018827096,0.99989766,0.454531,0.3912838,-0.19264145,0.99642307,0.2882448,0.42984915,0.1205969,0.71463907,0.41087145,0.49916592,-0.30177546,0.99157095,0.26038936,0.52081764,-0.021828895,0.8804854,0.3823494,0.54018366,-0.080441274,0.9999048,0.3227363,0.5426681,0.08047626,0.9997208,0.37406954,0.7165625,-0.065281436,0.99236244,0.32194278,0.7148221,0.11279205,0.88350344,0.37931323,0.8887713,0.09259592,0.99642223,0.33203498,0.8699159,0.28517264,0.97100806,0.39214292,0.91930956,0.09661183,0.96462107,0.34766483,0.89006233,0.2909533,0.9595995,idle
0.32981426,0.1963121,-0.35331875,0.99999297,0.34463564,0.1784256,-0.34175038,0.99998397,0.31831095,0.17841183,-0.32826144,0.99997777,0.36096913,0.1881546,-0.23204777,0.9999856,0.3110681,0.18973218,-0.16739485,0.99994814,0.34136695,0.21770757,-0.3120311,0.9999927,0.3213974,0.21876098,-0.29206878,0.99998677,0.3992478,0.28089115,-0.19212176,0.999989,0.2878621,0.30472538,0.0066826707,0.9998993,0.45451212,0.3911233,-0.18003826,0.99669135,0.28740242,0.42988688,0.11329216,0.7237104,0.4166499,0.4968273,-0.29816118,0.9919603,0.2552386,0.5247376,-0.02802341,0.8854502,0.3806943,0.5403992,-0.07484301,0.9998855,0.32102975,0.54440695,0.07483314,0.99968785,0.37257344,0.7225171,-0.04325787,0.99217474,0.32445607,0.7174643,0.12045181,0.89066243,0.37892777,0.8876492,0.13415655,0.9958868,0.3329277,0.86975735,0.30948395,0.9717202,0.3919093,0.9173107,0.140248,0.95608073,0.34805015,0.8892196,0.31768316,0.95678556,idle
