x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.22806604,0.117541276,-0.23611352,0.9999888,0.2358985,0.10402275,-0.20905164,0.999982,0.21404076,0.0999308,-0.21947674,0.9999802,0.24024379,0.114663176,-0.037759475,0.9999632,0.19663638,0.10800584,-0.08562951,0.99997914,0.23178093,0.13895334,-0.17116025,0.99998015,0.21466167,0.13680051,-0.18619755,0.9999863,0.25774574,0.2205844,0.08834126,0.9999014,0.15694623,0.2017813,-0.0077280616,0.99993336,0.26993555,0.34473053,0.011323693,0.92932725,0.120317,0.3200796,-0.115868114,0.9721313,0.2743469,0.29950812,-0.27566174,0.955417,0.1600177,0.28370064,-0.39647064,0.9773536,0.24238949,0.4411619,0.031753145,0.99964714,0.17792758,0.44192547,-0.031579386,0.9997372,0.25679252,0.62100846,0.04391821,0.99209124,0.17202535,0.6291281,-0.034168407,0.9955387,0.2607627,0.7857888,0.21617594,0.99255615,0.16679467,0.8058684,0.13844612,0.99530166,0.24660644,0.80486065,0.22269294,0.9243718,0.17404637,0.82115674,0.14397427,0.917441,idle
0.2232342,0.1178963,-0.34578925,0.99998903,0.23115852,0.104508005,-0.32049474,0.9999822,0.20849928,0.10028673,-0.3304527,0.9999806,0.23555808,0.115236335,-0.1457624,0.9999634,0.19085698,0.10874592,-0.19435063,0.9999795,0.22664754,0.13925,-0.27837676,0.9999808,0.20944163,0.13742815,-0.2925408,0.9999868,0.2547999,0.22146939,-0.0005891947,0.999902,0.15207455,0.2035674,-0.099417105,0.9999352,0.26811978,0.34617108,-0.07235236,0.93104815,0.120483615,0.32211864,-0.21781306,0.97297907,0.27107686,0.3123756,-0.38500863,0.9575192,0.16208488,0.28399178,-0.50246704,0.97824335,0.23578744,0.44304845,0.03534855,0.999618,0.1718248,0.44408342,-0.03531746,0.999728,0.25196317,0.6220408,0.07045473,0.9917827,0.16951604,0.63132787,-0.032342795,0.9956458,0.25199473,0.78657603,0.25601318,0.9924533,0.16442297,0.8057993,0.14650118,0.9954117,0.23608795,0.8058964,0.2632868,0.9271626,0.17333968,0.8214465,0.15326428,0.9192163,idle
0.22049817,0.1180817,-0.3445832,0.9999891,0.2271562,0.10470621,-0.31778088,0.9999819,0.20567128,0.1004296,-0.33073,0.9999809,0.22985563,0.11547808,-0.13969119,0.9999616,0.18641774,0.10924359,-0.20125039,0.9999798,0.22346854,0.1393691,-0.2759727,0.99998075,0.20714195,0.13770702,-0.29376245,0.99998707,0.24934876,0.22162649,0.009579784,0.99989605,0.14612874,0.20385657,-0.119325206,0.9999351,0.26302165,0.34243855,-0.048189808,0.92234683,0.122035764,0.325933,-0.23795083,0.97333866,0.26865235,0.32046446,-0.3444955,0.9543886,0.15646896,0.28993654,-0.50907594,0.9787679,0.23182583,0.4435863,0.045366373,0.999594,0.16858993,0.44431388,-0.04543958,0.999715,0.24776979,0.6221167,0.09061905,0.9912125,0.16749884,0.6316774,-0.03291025,0.9956481,0.2500654,0.78616583,0.28085893,0.9923548,0.15923466,0.8024683,0.15009448,0.9954178,0.23583336,0.8056462,0.28889102,0.9301499,0.15874891,0.81878364,0.1582537,0.9199951,idle
0.2134887,0.11839594,-0.34206492,0.99998873,0.21951441,0.105061874,-0.31733358,0.9999811,0.1984722,0.1011002,-0.3287821,0.99998033,0.22266832,0.11571644,-0.15340833,0.99995875,0.17953053,0.10990455,-0.20914145,0.99997854,0.21739975,0.1392537,-0.2793456,0.99998045,0.20075062,0.13795859,-0.29549673,0.9999868,0.24458861,0.22307073,-0.02289891,0.9998922,0.13878453,0.20839638,-0.1392007,0.99993294,0.26182067,0.3468183,-0.10164459,0.9205225,0.11765182,0.33291405,-0.26795697,0.97288114,0.265127,0.32239446,-0.39747408,0.9535731,0.15697049,0.2933546,-0.51874644,0.9773403,0.22282016,0.4500222,0.043883678,0.99957895,0.16026683,0.44740126,-0.04398529,0.99969465,0.24467838,0.62219626,0.03663461,0.9904506,0.15990664,0.6245641,-0.023993319,0.99551225,0.24442069,0.7832199,0.19682047,0.9921758,0.15190879,0.79614747,0.17122447,0.99511015,0.23027937,0.8042158,0.20303778,0.9329192,0.15544733,0.81656986,0.18099043,0.91640174,idle
0.20733306,0.11749458,-0.4040204,0.9999889,0.2128267,0.10388836,-0.3803884,0.99998134,0.19206348,0.10076009,-0.39347777,0.99998057,0.21497342,0.11450482,-0.21454601,0.9999592,0.17332625,0.11015323,-0.27791956,0.99997836,0.21145764,0.13846484,-0.3398568,0.9999811,0.19519919,0.13747407,-0.35847265,0.99998724,0.24094526,0.22329846,-0.08611141,0.99989533,0.12887882,0.21062712,-0.18118192,0.9999324,0.26104328,0.35388616,-0.18127503,0.9248246,0.105623186,0.33711377,-0.31183922,0.97304964,0.25957423,0.3211754,-0.49831247,0.9563421,0.14821354,0.29780993,-0.592323,0.9769114,0.22005971,0.45340747,0.037237495,0.9995681,0.15289387,0.45248717,-0.03740127,0.9996964,0.2461782,0.6253443,0.07387718,0.99079436,0.14649662,0.6251157,-0.026390126,0.9956904,0.24740751,0.78370935,0.30689102,0.99241984,0.1307747,0.7950238,0.17023373,0.9953073,0.23436138,0.80457586,0.3193515,0.9350629,0.13501988,0.81684613,0.17994031,0.9180042,idle
0.19986233,0.11554529,-0.36407572,0.99998975,0.20519237,0.10225206,-0.33821017,0.9999828,0.18419251,0.09990513,-0.35484678,0.9999821,0.20692301,0.11304032,-0.16597292,0.99996173,0.16547279,0.11037871,-0.24561898,0.99998015,0.20470102,0.13693999,-0.29749888,0.99998254,0.18882868,0.13637535,-0.32037607,0.9999883,0.2322691,0.2230082,-0.08471049,0.99990153,0.121838644,0.2111123,-0.1822348,0.9999381,0.25741085,0.3560597,-0.13887157,0.9266103,0.094677165,0.33732542,-0.30178827,0.9750857,0.2536577,0.31463784,-0.43177333,0.9583299,0.14205995,0.30608428,-0.542063,0.97832745,0.21298054,0.45685497,0.06938856,0.99958014,0.14591618,0.45746863,-0.06954335,0.99971384,0.24420956,0.62586296,0.15250869,0.9899457,0.14013654,0.6428672,-0.11886867,0.99590975,0.24446538,0.78614444,0.34986755,0.9923613,0.09353303,0.8079902,0.004283032,0.99547756,0.23129351,0.81291,0.35906935,0.9377847,0.08653106,0.8346389,0.006795326,0.91811645,idle
0.19173647,0.11701705,-0.36914566,0.9999906,0.1960206,0.103014894,-0.3429051,0.9999842,0.17722742,0.10140884,-0.36529407,0.99998367,0.19519015,0.113317125,-0.16489412,0.99996465,0.15806438,0.111428656,-0.26947996,0.9999819,0.19508201,0.13775566,-0.29931736,0.999984,0.18058541,0.1372792,-0.3296457,0.99998933,0.21944825,0.22190902,-0.05419586,0.99990916,0.1123155,0.2117926,-0.20560029,0.9999432,0.24865648,0.35824308,-0.13257682,0.92924803,0.08615854,0.34156737,-0.32335058,0.9770466,0.23968633,0.3105076,-0.4248739,0.96078074,0.13775675,0.31067818,-0.5437153,0.9796772,0.20660882,0.46065393,0.07658811,0.9995934,0.14026465,0.46505406,-0.07674259,0.99972785,0.24416313,0.63336724,0.15945101,0.98955625,0.13334285,0.65516484,-0.13371353,0.99612343,0.246467,0.7895876,0.3687251,0.992386,0.07824266,0.8234593,-0.0072371624,0.99565625,0.2334929,0.81700695,0.37948948,0.93988854,0.06450733,0.8454806,-0.0039692046,0.91875017,idle
0.18450722,0.12017549,-0.37071016,0.99999124,0.18835138,0.10599961,-0.34411544,0.9999853,0.17016782,0.10412561,-0.36657327,0.9999849,0.18668036,0.11492428,-0.1665815,0.99996656,0.14973833,0.11164008,-0.27112418,0.9999833,0.18652858,0.14032762,-0.30128527,0.9999851,0.1726897,0.1394936,-0.3319011,0.99999017,0.21192916,0.222208,-0.024864323,0.9999126,0.10087161,0.21290037,-0.2084297,0.9999471,0.23604679,0.35887992,-0.11335309,0.9315843,0.083766244,0.3467069,-0.31995314,0.9786863,0.21902028,0.3103603,-0.43362308,0.9619295,0.14660692,0.30995402,-0.538087,0.98056364,0.19907649,0.46346253,0.072554305,0.999598,0.13058484,0.46641728,-0.07272233,0.99973327,0.2436386,0.63603485,0.12822017,0.9891213,0.12423086,0.65578955,-0.115740895,0.99621856,0.2513275,0.7939714,0.33130315,0.992328,0.07469975,0.82823247,0.029276246,0.99565685,0.23800556,0.82402617,0.34139743,0.9412574,0.06320128,0.8489493,0.03422251,0.915694,idle
0.17558718,0.122214064,-0.326445,0.9999883,0.17816272,0.10700477,-0.29988593,0.99998015,0.16103804,0.10563395,-0.32686144,0.9999817,0.17554273,0.11572421,-0.13923278,0.9999484,0.14006317,0.11211688,-0.24033168,0.99998045,0.17688641,0.14210425,-0.26388973,0.99998057,0.16350426,0.1411426,-0.30217218,0.99998873,0.19424534,0.2250243,-0.015466349,0.99988043,0.09063719,0.21425787,-0.19147514,0.99994576,0.21477544,0.36081186,-0.11661135,0.92056644,0.07902405,0.3487275,-0.29525223,0.97984993,0.19758855,0.30389914,-0.4220633,0.9509171,0.15043186,0.29783562,-0.3982073,0.9802462,0.1876957,0.46555606,0.06658071,0.99957263,0.11810428,0.46859547,-0.06674571,0.9997037,0.24307343,0.63571835,0.08986925,0.9877671,0.11287145,0.65383685,-0.097797744,0.99590135,0.25392127,0.79389066,0.33036786,0.9914254,0.07196905,0.8251579,0.03935335,0.995004,0.23987746,0.8230533,0.32953855,0.9364323,0.06311236,0.8450739,0.061847053,0.9056929,idle
0.17086443,0.121595055,-0.24569666,0.99998546,0.17355163,0.106565736,-0.22475965,0.99997455,0.15621257,0.10520772,-0.25196046,0.9999791,0.16863753,0.11553528,-0.091431886,0.9999298,0.131519,0.111174785,-0.2222747,0.99997807,0.1714308,0.14133896,-0.19294216,0.99997604,0.15995419,0.1408168,-0.2296093,0.99998736,0.18282183,0.22497407,0.00043607602,0.99983585,0.08217497,0.2144881,-0.1803015,0.999946,0.20437583,0.36070046,-0.11209607,0.9040251,0.0831358,0.35185748,-0.26544103,0.98009855,0.18148538,0.29519498,-0.40530482,0.9327797,0.14230259,0.28721908,-0.2970168,0.978831,0.18312636,0.46537945,0.06385575,0.9995488,0.11353848,0.46971425,-0.0640265,0.9996948,0.24248347,0.635043,0.1141154,0.9867164,0.10543833,0.652448,-0.09628531,0.9957518,0.25647253,0.7937927,0.32283488,0.9908566,0.06972267,0.8284861,0.034249824,0.99459773,0.24358284,0.8223344,0.33223718,0.9336112,0.061241657,0.84810096,0.041454867,0.9004207,idle
