x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.55901635,0.16736446,-0.1753005,0.9999086,0.56684697,0.14287782,-0.19268228,0.99988025,0.55531776,0.15044512,-0.15345593,0.9998102,0.59658146,0.13863637,-0.18871622,0.999858,0.56862146,0.14908502,-0.0011995137,0.99971116,0.57268333,0.18157609,-0.16430876,0.9998399,0.56408936,0.18376224,-0.11197083,0.99969876,0.6671085,0.22699945,-0.16321947,0.9999218,0.55785495,0.2436438,0.11394514,0.99965996,0.6782314,0.37069878,-0.2933357,0.9921604,0.52811146,0.37360927,0.00620644,0.74770015,0.59859157,0.29633406,-0.41038245,0.98722017,0.5318829,0.31240338,-0.33462396,0.9073285,0.63908565,0.50721437,-0.08049455,0.99957854,0.56715345,0.50579715,0.08049437,0.99961495,0.65500146,0.7120325,-0.11249856,0.9979627,0.530221,0.6893184,0.04932577,0.9906755,0.6496922,0.89662415,0.03993712,0.99741036,0.54537594,0.8627966,0.25749007,0.9931345,0.6552112,0.92041534,0.04459734,0.9497773,0.56046873,0.8875231,0.27019638,0.96773124,idle
0.55587965,0.1685698,-0.16003917,0.99991286,0.56386214,0.14495854,-0.18011306,0.9998823,0.55226666,0.15152632,-0.13923974,0.99981517,0.5916121,0.13882472,-0.18141864,0.99986464,0.5661932,0.14937475,0.010161949,0.99972475,0.56971306,0.18225113,-0.15170947,0.9998492,0.5624684,0.18441266,-0.09761969,0.99971455,0.66640294,0.22793077,-0.15970172,0.9999249,0.55665433,0.24241105,0.12642732,0.9996839,0.67853916,0.36867052,-0.2746734,0.9920684,0.5267699,0.37325045,0.014654865,0.7466828,0.5921092,0.2989897,-0.3768672,0.9869895,0.5337234,0.31416237,-0.3206374,0.90701187,0.6363361,0.50909007,-0.08120184,0.99951255,0.56447965,0.5059208,0.0811767,0.99959797,0.65329015,0.7148664,-0.11675099,0.99796206,0.5124175,0.68434876,-0.010945583,0.99141896,0.6501409,0.8995178,0.057794284,0.9972948,0.5415448,0.85523766,0.19605735,0.9934246,0.6564464,0.92236936,0.06439601,0.9436411,0.55690897,0.8806222,0.20903862,0.9682692,idle
0.5515001,0.16915973,-0.14202015,0.99991685,0.56014884,0.14703766,-0.16550836,0.9998847,0.5477662,0.1521932,-0.12569897,0.9998232,0.58757764,0.13978724,-0.17786597,0.99987084,0.5620843,0.14949422,0.008891879,0.9997379,0.5653248,0.18288676,-0.13803314,0.99985576,0.5574002,0.18498228,-0.08523961,0.999725,0.6614823,0.22822835,-0.16460088,0.9999277,0.55297697,0.24107923,0.12516238,0.9997045,0.67200863,0.365379,-0.25389543,0.9920716,0.5241152,0.37278023,-0.001935217,0.74969894,0.58355504,0.301675,-0.30040693,0.9858482,0.5307115,0.31545398,-0.32226261,0.9063953,0.6344136,0.51329094,-0.08477296,0.9994836,0.564031,0.50669557,0.084804736,0.99958843,0.65098256,0.71854025,-0.11625202,0.9980565,0.49881545,0.6785744,0.09092204,0.9919687,0.649892,0.901315,0.003518446,0.9973282,0.5056943,0.8521111,0.28545457,0.99361116,0.6566731,0.9241488,0.0032294027,0.94211763,0.52303773,0.88135934,0.29772967,0.96856046,idle
0.5406853,0.17100115,-0.14409997,0.9999215,0.55063355,0.14925586,-0.16711786,0.9998908,0.5400751,0.15346299,-0.12634794,0.99983424,0.57785314,0.14197081,-0.17837611,0.9998796,0.5606358,0.15089642,0.009134373,0.9997511,0.5562492,0.18536271,-0.1408945,0.9998646,0.5500378,0.1883026,-0.08705028,0.99973893,0.6579556,0.22904307,-0.17962542,0.9999328,0.5512125,0.24168128,0.13317835,0.9997209,0.66367435,0.364819,-0.27473944,0.9924656,0.52206564,0.37235418,0.00061695935,0.75094754,0.57525486,0.30304918,-0.33331364,0.9857573,0.5223292,0.3152957,-0.34541494,0.90498734,0.6286726,0.51645494,-0.10376991,0.99951243,0.5585756,0.50979275,0.103831574,0.9996027,0.6468883,0.7187164,-0.12602839,0.9981693,0.49421754,0.6785813,0.21982284,0.9919139,0.64984524,0.9035972,-0.050136335,0.99744195,0.46968016,0.84993297,0.4077704,0.99368805,0.6568543,0.9267299,-0.05341779,0.94399625,0.4840061,0.8819612,0.41856322,0.9688582,idle
0.5191349,0.17298068,-0.13550249,0.99992436,0.52891684,0.15140286,-0.16005206,0.999894,0.51989746,0.15498847,-0.118512236,0.9998419,0.5580343,0.1449806,-0.1786094,0.99988496,0.54091537,0.1523601,0.010217447,0.9997577,0.5334505,0.18781887,-0.13623711,0.9998702,0.5287084,0.19088098,-0.08134933,0.999747,0.6398467,0.23006783,-0.18345168,0.99993664,0.5333495,0.24876748,0.13108888,0.9997329,0.65358317,0.36531577,-0.2740485,0.992673,0.51094633,0.37438408,-0.0019905244,0.75672966,0.5608752,0.30768237,-0.29930535,0.98522353,0.5143358,0.313105,-0.3374638,0.9061897,0.6144564,0.51923305,-0.10489657,0.99954057,0.5463934,0.51545465,0.104913294,0.99961597,0.6375856,0.7195274,-0.11539984,0.9982426,0.4926505,0.6808957,0.25029835,0.9914155,0.64951605,0.9063059,-0.02664121,0.9974786,0.46110398,0.85000527,0.44237453,0.99356085,0.6564672,0.9284604,-0.028086979,0.9445475,0.47419482,0.88253504,0.45397535,0.96797305,idle
0.4984778,0.17664663,-0.14028373,0.9999284,0.50737274,0.15522462,-0.16570792,0.9998995,0.49767146,0.15862887,-0.124043584,0.99985117,0.53511137,0.14886336,-0.19188108,0.9998927,0.5170195,0.15574071,0.0093864,0.9997694,0.5130139,0.19225393,-0.14159474,0.99987906,0.5080817,0.19502981,-0.08665138,0.99976236,0.61431634,0.23129317,-0.19785568,0.9999413,0.51524717,0.25198764,0.12716223,0.99974966,0.6271058,0.36694083,-0.26636836,0.9929344,0.49815264,0.37608975,0.0039256113,0.75705206,0.53558576,0.311936,-0.24667946,0.98490393,0.49200106,0.31406772,-0.32154083,0.9066015,0.5921093,0.5210818,-0.1051236,0.99957305,0.5277177,0.5197246,0.105108894,0.99963415,0.62359583,0.7193442,-0.10008856,0.9983464,0.48683944,0.68448025,0.2613767,0.99137485,0.64875525,0.9052976,-0.025314564,0.9976166,0.45562798,0.84891826,0.4682797,0.99374247,0.6561059,0.927352,-0.025845671,0.9465351,0.47179332,0.88255924,0.48145223,0.96822417,idle
0.47716135,0.17932998,-0.14584339,0.9999316,0.4852522,0.15759358,-0.16984469,0.99990404,0.47686267,0.16130756,-0.1288757,0.9998587,0.51325905,0.15094863,-0.20438187,0.9998994,0.496653,0.15850407,0.0032207319,0.9997784,0.49252242,0.19568132,-0.14367959,0.99988705,0.48763496,0.19829655,-0.09102394,0.99977505,0.592486,0.23297554,-0.21451247,0.99994546,0.49784845,0.2569456,0.12623158,0.99976397,0.60252386,0.36998942,-0.26924956,0.99313915,0.48636955,0.3832723,0.006909723,0.75026834,0.512007,0.3174609,-0.28685975,0.9844049,0.47089276,0.3174882,-0.3216138,0.904498,0.57089746,0.524297,-0.11169869,0.99960047,0.5071889,0.52483207,0.1116457,0.9996443,0.60631394,0.71921223,-0.10127278,0.9984396,0.47610718,0.6860851,0.2972358,0.99112684,0.6475706,0.9046422,-0.014674509,0.99776345,0.4538526,0.8483448,0.5316606,0.99379504,0.65607965,0.92667633,-0.014446455,0.94918174,0.47133318,0.88235223,0.5475341,0.9683849,idle
0.46245986,0.18165398,-0.13585612,0.9999346,0.4701926,0.15948722,-0.16363037,0.99990815,0.4611103,0.16349648,-0.12019004,0.9998641,0.49707913,0.1520679,-0.20134482,0.99990594,0.4800684,0.1599442,0.0034872096,0.99978405,0.47749496,0.19782263,-0.14047278,0.99989444,0.47266984,0.2004175,-0.08381843,0.99978673,0.5735954,0.2342556,-0.21771412,0.9999492,0.48405248,0.25699142,0.12633431,0.999778,0.5801982,0.37047014,-0.27193752,0.99331,0.47277746,0.38230422,0.008429269,0.7322241,0.489968,0.31654903,-0.22987059,0.9840599,0.45322546,0.31704384,-0.3183269,0.89508396,0.5510572,0.52418953,-0.11107032,0.99962074,0.48962778,0.52553505,0.111018084,0.99965656,0.5784404,0.71109474,-0.061405946,0.99849206,0.46892795,0.68697333,0.26998413,0.9911926,0.6300808,0.8870875,0.083514184,0.9978695,0.45609134,0.848599,0.5000703,0.9940422,0.6338273,0.90746516,0.08939365,0.95155597,0.47292763,0.8825684,0.51528656,0.9693844,idle
0.45209774,0.18137965,-0.11739413,0.99993587,0.45872712,0.15935041,-0.14528343,0.99991053,0.45028892,0.16325164,-0.10218011,0.99986666,0.48625928,0.1518988,-0.19041465,0.99991083,0.46909872,0.15982653,0.011317283,0.9997826,0.46665654,0.19723676,-0.12547964,0.9998979,0.46066946,0.19985037,-0.06912021,0.9997902,0.5583398,0.23413643,-0.2124016,0.9999512,0.47285777,0.25693458,0.1300726,0.99977535,0.5590161,0.36947298,-0.24250226,0.9932495,0.45984298,0.38073346,0.008672321,0.7069231,0.47364718,0.31589743,-0.14104334,0.9832584,0.4393436,0.3058302,-0.30436033,0.8789145,0.53952813,0.51894605,-0.1096466,0.9996117,0.47973576,0.5221945,0.10961366,0.99963987,0.55268276,0.6964641,-0.059578456,0.99849653,0.46270475,0.68661106,0.24635729,0.9908793,0.5999802,0.8756216,0.067383066,0.9979071,0.45624107,0.84819853,0.45451236,0.99412197,0.60695165,0.89830476,0.07112844,0.9528895,0.4753552,0.8822467,0.46786308,0.9692077,idle
0.44284883,0.17988692,-0.0980426,0.99993736,0.451545,0.15801385,-0.12290311,0.999914,0.44399604,0.16170588,-0.080164,0.99986994,0.478906,0.15171708,-0.16379265,0.9999165,0.463626,0.15820196,0.032000236,0.9997792,0.45561963,0.19548993,-0.1073149,0.9999004,0.45104045,0.19723855,-0.05181826,0.99978805,0.55130726,0.23426652,-0.20890525,0.9999527,0.46289912,0.2561952,0.15029609,0.99974597,0.54691184,0.369175,-0.22703299,0.9933145,0.45069247,0.3760735,0.03706502,0.6680513,0.46116313,0.31378657,-0.09687061,0.9825434,0.42916822,0.30697405,-0.26994485,0.84820676,0.5306145,0.5069192,-0.11020048,0.99959,0.47327065,0.5076417,0.110198304,0.9996078,0.5303928,0.6864789,-0.11104821,0.99843395,0.46011835,0.6816978,0.180024,0.9894619,0.56106293,0.87076724,-0.036951005,0.9978629,0.45665082,0.8477398,0.29428673,0.9938735,0.5774007,0.8973948,-0.03838726,0.95340145,0.47561398,0.8804973,0.2962876,0.9678642,idle
0.43873787,0.17625195,-0.111429095,0.9999338,0.44748965,0.15441188,-0.1354988,0.9999116,0.4391086,0.15893927,-0.093408994,0.999862,0.47461113,0.15042414,-0.16702566,0.9999194,0.45714912,0.1559739,0.025812829,0.99975526,0.451688,0.19149314,-0.116854966,0.9998983,0.44490987,0.19274499,-0.061962564,0.9997714,0.5438878,0.2341948,-0.20708911,0.999952,0.45425883,0.2559341,0.15114084,0.9996911,0.5422954,0.36849633,-0.22745597,0.99321383,0.4424661,0.37598708,0.040391166,0.6270189,0.4592858,0.31090772,-0.113209926,0.98113453,0.425098,0.30796725,-0.2745071,0.8165661,0.5218293,0.49886972,-0.11199899,0.99951756,0.46466216,0.49794132,0.112036966,0.99953926,0.50590795,0.6839561,-0.10560787,0.9982181,0.45128497,0.67932034,0.14962031,0.9873299,0.5239364,0.8642836,0.004555439,0.99766976,0.45390415,0.8420318,0.27306795,0.99333,0.5383454,0.89151454,0.008711272,0.95188457,0.47121033,0.86946845,0.27634826,0.96628004,idle
