x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.6657353,0.15473731,-0.19941095,0.9999801,0.6761917,0.13291487,-0.17994021,0.9999613,0.6548396,0.13836475,-0.17102662,0.9999505,0.69127905,0.1357851,-0.06831457,0.99995023,0.65130347,0.14461248,-0.0004986058,0.99990815,0.67698026,0.17018622,-0.14602448,0.99994105,0.6615594,0.17215247,-0.13420382,0.9999202,0.7458701,0.22571458,-0.009584066,0.9997874,0.6288017,0.24145852,0.07633318,0.9998515,0.77731407,0.34496698,-0.19067796,0.9908385,0.578437,0.34614465,-0.07475247,0.9633974,0.7067017,0.26058015,-0.4069971,0.99119294,0.6311446,0.27941373,-0.3338749,0.9723781,0.7129599,0.5000684,-0.032248277,0.9995091,0.6437572,0.493914,0.032347884,0.9997459,0.7276386,0.69501793,0.0020906338,0.99465656,0.6118127,0.6796356,0.061817907,0.99565613,0.7431042,0.85854363,0.18189555,0.99244195,0.58092237,0.8450977,0.23092636,0.9955174,0.7383859,0.88477045,0.19037516,0.92623633,0.5921477,0.8710844,0.23897591,0.9592145,idle
0.67129695,0.15493256,-0.2765671,0.9999797,0.6831658,0.13331391,-0.26084787,0.9999602,0.6611344,0.13815649,-0.25044972,0.9999509,0.6980877,0.1361286,-0.1273807,0.9999491,0.6568085,0.14371398,-0.0760525,0.99991035,0.6820704,0.17035112,-0.22250667,0.9999422,0.66624534,0.17197469,-0.2086008,0.99992293,0.7500441,0.22831282,-0.010352595,0.99978995,0.62953866,0.23719172,0.020669276,0.99985826,0.78687197,0.3508505,-0.22149451,0.991319,0.5801652,0.34601888,-0.12941487,0.9653918,0.7195197,0.2682013,-0.49055105,0.9911687,0.6415781,0.28122282,-0.41242728,0.97360796,0.7154332,0.49559397,-0.035078917,0.99950254,0.6471664,0.49023572,0.035178967,0.999744,0.7253609,0.681901,-0.008569364,0.99441594,0.61629117,0.6723058,0.060425043,0.99565053,0.7438687,0.8554325,0.16319327,0.99219245,0.5856199,0.83829117,0.2314361,0.9956066,0.7398695,0.88416845,0.17027019,0.92641026,0.59647745,0.8669716,0.23932567,0.95952153,idle
0.6844795,0.1542622,-0.25198686,0.9999812,0.69906217,0.13339235,-0.23525245,0.9999631,0.6754328,0.13578127,-0.22634304,0.99995494,0.7141465,0.13656381,-0.100118145,0.9999528,0.6693996,0.14040756,-0.060120575,0.99991834,0.6936536,0.17049764,-0.19948351,0.9999471,0.6769812,0.17105103,-0.18752989,0.99992996,0.7556989,0.23559774,-0.0016640478,0.99980646,0.6339488,0.23061009,0.038538583,0.9998698,0.79942954,0.35815424,-0.15911719,0.9917908,0.58502215,0.34313926,-0.09987282,0.96796393,0.7527039,0.30018884,-0.4590693,0.9913465,0.6530877,0.30206946,-0.3844617,0.97559386,0.71863246,0.49509913,-0.034944147,0.99952114,0.6488955,0.49039856,0.035058733,0.99974936,0.72864854,0.6829766,-0.009794086,0.99432945,0.6170291,0.6729533,0.054430347,0.9955277,0.74539804,0.85495824,0.15874997,0.99197733,0.58624816,0.83864254,0.2242599,0.99550146,0.74223703,0.8831251,0.16504553,0.92374706,0.59705484,0.8669499,0.23224624,0.9581685,idle
0.693653,0.15357046,-0.34206674,0.9999823,0.708167,0.13341542,-0.32283676,0.9999649,0.6843218,0.13391836,-0.31966332,0.9999582,0.72256714,0.13662295,-0.16947542,0.99995416,0.6766242,0.13807724,-0.15499565,0.9999253,0.70184577,0.17054182,-0.28159148,0.9999508,0.68477976,0.17021021,-0.27761057,0.9999361,0.7582187,0.24105033,-0.049314126,0.9998107,0.6384282,0.22731382,-0.05845766,0.9998805,0.80376196,0.36198202,-0.17172635,0.99177074,0.5893384,0.33922383,-0.19911031,0.9705991,0.76988083,0.31317186,-0.50411814,0.99031574,0.66613144,0.3135193,-0.47003657,0.97737676,0.71987534,0.4949023,-0.02658489,0.9995284,0.6505057,0.49051693,0.026681611,0.99975336,0.7305485,0.6799459,-0.0084862765,0.99432343,0.6184445,0.66928893,0.061122708,0.9956226,0.7461603,0.85462,0.15519184,0.99213564,0.58902,0.8349535,0.27591044,0.9956594,0.7417951,0.8817848,0.1603011,0.92599165,0.59831285,0.86266387,0.28710204,0.95928013,idle
0.71460724,0.15364043,-0.29130495,0.99998224,0.7304747,0.13370284,-0.27167875,0.9999642,0.7064929,0.13392033,-0.26803404,0.99995863,0.74424016,0.14205821,-0.14069714,0.9999518,0.69830155,0.13849185,-0.11137794,0.99992883,0.721202,0.17084545,-0.23460451,0.9999522,0.70610285,0.17034839,-0.23029943,0.99994034,0.76619637,0.24992566,-0.018331278,0.9998199,0.6538486,0.22368897,-0.024133978,0.9998878,0.7936426,0.36331955,-0.1343053,0.99149203,0.61853033,0.33576185,-0.1414687,0.9724464,0.7806347,0.34552947,-0.41325483,0.99021286,0.7075403,0.35169843,-0.3775472,0.9785395,0.7229375,0.49513736,-0.020604748,0.99953616,0.65079963,0.4901801,0.020729315,0.9997543,0.7303065,0.68073267,0.011224316,0.9942124,0.6167573,0.66484183,0.043470748,0.9956309,0.74671894,0.85027236,0.1869947,0.99197984,0.58871055,0.83250403,0.22811064,0.9956276,0.7433835,0.8706376,0.19357339,0.9209162,0.5972249,0.85851765,0.2365812,0.9574984,idle
0.7251324,0.15418953,-0.32284966,0.99998206,0.73981404,0.13702518,-0.2999223,0.99996346,0.7165012,0.13455792,-0.30393648,0.9999579,0.7512902,0.14736797,-0.14216077,0.99994874,0.70543194,0.13924283,-0.15790395,0.9999306,0.7304471,0.17361993,-0.25989217,0.9999532,0.71594286,0.17157665,-0.26556677,0.9999436,0.7671998,0.25256908,-0.024845306,0.99982977,0.6619729,0.22322601,-0.070002265,0.9998917,0.7843487,0.36207846,-0.1419489,0.99038035,0.6318892,0.3359433,-0.16574878,0.973583,0.780553,0.35425383,-0.4164423,0.9897374,0.7231478,0.36553913,-0.37614185,0.97844523,0.72252166,0.49637002,-0.009379304,0.9995337,0.6512474,0.49027243,0.009474399,0.9997484,0.7299558,0.67877126,0.042113565,0.99422115,0.6147622,0.66385245,0.031185672,0.9957788,0.7468551,0.84419113,0.22391017,0.9920889,0.5843689,0.8306952,0.1996044,0.995702,0.74287784,0.8649494,0.23134127,0.9180054,0.5927436,0.8553849,0.2067378,0.9556399,idle
0.7268423,0.15432213,-0.3008539,0.999981,0.7415708,0.13887857,-0.27835763,0.9999607,0.71871483,0.13497195,-0.28098345,0.99995524,0.75262535,0.15035215,-0.13389614,0.99994236,0.7068981,0.13971497,-0.13511011,0.9999301,0.73187464,0.17548193,-0.24020329,0.9999527,0.7177127,0.17198521,-0.24392188,0.9999458,0.7665609,0.25478318,-0.02037612,0.9998357,0.6632416,0.22365265,-0.056144126,0.9998947,0.7794701,0.3620466,-0.13406682,0.9879114,0.6335026,0.33606166,-0.16302842,0.9749063,0.7818798,0.3549711,-0.41633472,0.9883754,0.72304916,0.36564475,-0.374625,0.9787257,0.72278035,0.4985956,-0.0076239742,0.9995209,0.65139794,0.4905651,0.007734712,0.9997394,0.72990155,0.6789143,0.03119424,0.9941664,0.6138367,0.6642484,0.015855577,0.99586433,0.7466127,0.8418046,0.22979009,0.9919822,0.5810295,0.8312417,0.18838745,0.99568915,0.74300545,0.86249936,0.23912129,0.910926,0.58956444,0.8559183,0.19603595,0.9528147,idle
0.73106486,0.15487644,-0.28767473,0.99997854,0.74587727,0.14113018,-0.2705691,0.99995416,0.7232336,0.13536152,-0.26612955,0.9999485,0.7559155,0.15347654,-0.106297396,0.99992764,0.7114204,0.13976268,-0.116862155,0.99992466,0.7358128,0.17694688,-0.23395655,0.99995035,0.72152877,0.1725363,-0.22904769,0.99994636,0.7694472,0.2587778,-0.0022703689,0.999839,0.6678674,0.22475125,-0.04218258,0.9998965,0.7810136,0.36539987,-0.1043875,0.98583466,0.6400279,0.33632225,-0.14839545,0.97623515,0.7778327,0.36945936,-0.386181,0.9867411,0.72874224,0.37771422,-0.327802,0.9784742,0.7231197,0.49861512,0.00054519007,0.9995108,0.65104,0.49045298,-0.00043145343,0.99972636,0.731816,0.6755146,0.022342475,0.99422824,0.61284703,0.6646358,0.0008278286,0.9960558,0.7464487,0.8411394,0.21864279,0.99207,0.57473683,0.8289106,0.18635109,0.99574304,0.7427291,0.8623991,0.22825167,0.9091847,0.58262813,0.85186523,0.19533248,0.94879556,idle
0.7339613,0.15694568,-0.2277101,0.99996597,0.7480733,0.1442098,-0.2028135,0.9999265,0.7260176,0.13688287,-0.20612852,0.99992573,0.75869924,0.15664834,-0.04177303,0.99986815,0.714451,0.14081854,-0.0577858,0.99990726,0.7386056,0.18002051,-0.16699797,0.9999239,0.7244715,0.17465809,-0.17110556,0.99993676,0.77064866,0.26304188,0.047473036,0.9997733,0.6749399,0.22478823,-0.0197134,0.99989194,0.7801999,0.36507785,-0.070004,0.96309644,0.64930797,0.33614933,-0.115841165,0.9772399,0.7703457,0.37004623,-0.35565436,0.9678259,0.73070353,0.38843068,-0.3070327,0.97768116,0.723519,0.4963821,-0.0005720092,0.99946135,0.6524654,0.48604995,0.00075314054,0.9996976,0.73178446,0.67171687,-0.0011062732,0.99436635,0.6126555,0.6584285,-0.028817222,0.99627066,0.74624956,0.8414144,0.19125216,0.9922938,0.5688039,0.82647747,0.13259163,0.99585384,0.74255544,0.8628594,0.20018296,0.9056725,0.5752615,0.84862584,0.13901405,0.9446426,idle
0.7345688,0.15916881,-0.26268658,0.9999257,0.7490901,0.14654541,-0.23519865,0.99979997,0.72701013,0.13913493,-0.24334833,0.99984753,0.75897443,0.15815283,-0.05276103,0.9995424,0.7165898,0.14184044,-0.09724933,0.99982816,0.7389411,0.18184906,-0.19726247,0.99977756,0.72449267,0.17595395,-0.20655306,0.9998784,0.7687005,0.26314375,0.016642638,0.99949586,0.67771316,0.22512197,-0.048847653,0.9998797,0.7675261,0.36132085,-0.018391808,0.9138309,0.65823203,0.33893216,-0.09719589,0.97837377,0.7635871,0.38515368,-0.22206232,0.9126201,0.74133396,0.3952914,-0.20977397,0.9773108,0.72260946,0.4964349,-3.7562445e-06,0.99930286,0.652779,0.48581445,0.00012645754,0.9996293,0.73286283,0.67230666,-0.0068721487,0.9944152,0.61085606,0.6549435,-0.016986474,0.9964191,0.7464143,0.8401382,0.1929551,0.9924743,0.56739193,0.82309884,0.15912738,0.99594545,0.74248916,0.86192924,0.20264633,0.9034664,0.57309765,0.8455903,0.16754293,0.9420341,idle
0.7332249,0.17529948,-0.29087478,0.99990803,0.74664813,0.16259031,-0.2608481,0.9997434,0.7245811,0.15543908,-0.27498955,0.9998141,0.7551143,0.17076676,-0.053232122,0.99938166,0.7123567,0.15706597,-0.14722113,0.9998057,0.7372721,0.19657114,-0.22309919,0.9995705,0.7216331,0.19156988,-0.24092019,0.9997984,0.7542929,0.26961228,0.03197301,0.99890476,0.67749983,0.23335831,-0.101187386,0.9998529,0.72552025,0.3615886,0.09757417,0.8370001,0.65321594,0.3567133,-0.1004711,0.97763664,0.7420234,0.4122164,-0.014954035,0.83447057,0.7273455,0.404694,-0.13599096,0.9708376,0.7128365,0.50168777,0.010309523,0.9989907,0.6515319,0.49262443,-0.010111341,0.9995536,0.7319318,0.6736154,0.01576995,0.9941844,0.5978288,0.65608567,-0.028704247,0.9964144,0.7463517,0.84071165,0.19198075,0.9924685,0.5669795,0.82324284,0.13273373,0.99604017,0.7407816,0.86546713,0.19629805,0.9052784,0.57406193,0.8476415,0.13949132,0.94240355,idle
0.7303083,0.17739457,-0.33317816,0.99990326,0.7440961,0.16391453,-0.306553,0.9997309,0.72122633,0.15659632,-0.31517166,0.99980515,0.75227606,0.17447835,-0.13668695,0.9993657,0.7089341,0.15939406,-0.17768893,0.9998026,0.7349724,0.19825712,-0.26907298,0.9995563,0.71847767,0.19297613,-0.27984947,0.99979323,0.7507676,0.27812272,-0.031412326,0.9987615,0.6718841,0.23743679,-0.10590871,0.9998501,0.73012483,0.3731641,-0.012860517,0.7953847,0.64453757,0.36480924,-0.1170461,0.97766507,0.7355772,0.4223456,-0.18787575,0.783066,0.719766,0.4020012,-0.22008634,0.9683577,0.7067223,0.5098859,0.0037907115,0.9989136,0.6435503,0.50116557,-0.0036361367,0.9995404,0.72885716,0.67931616,0.022932243,0.9943256,0.5846606,0.6569811,-0.0150043,0.99660933,0.7457131,0.8409179,0.24633405,0.9927559,0.565853,0.82336724,0.20310536,0.99624896,0.74009925,0.8682448,0.25720233,0.90695673,0.5747384,0.85078937,0.21478117,0.94451076,idle
0.72621596,0.17914444,-0.31208,0.9999104,0.7401936,0.16544263,-0.28652066,0.99975187,0.71729743,0.15805572,-0.2921301,0.9998188,0.74960315,0.17617007,-0.12514105,0.9994205,0.70592505,0.16223581,-0.14804879,0.9998173,0.731416,0.19981082,-0.24947882,0.9995953,0.71613896,0.19478504,-0.25650734,0.9998105,0.74861217,0.27943707,-0.026566166,0.9988664,0.665494,0.24196164,-0.07294292,0.9998551,0.73671,0.37944585,-0.066941,0.8018234,0.63319874,0.36553702,-0.15835997,0.9775946,0.7369359,0.40333712,-0.33714068,0.7925926,0.71702534,0.3953601,-0.37278748,0.96861625,0.70412475,0.51223785,0.0022896668,0.9989519,0.6378554,0.5046534,-0.002282221,0.9995517,0.72786295,0.6863665,-0.018252864,0.9944547,0.575557,0.65756404,-0.027147964,0.99670255,0.7456676,0.8410467,0.22283888,0.99293184,0.56514454,0.8249329,0.19930166,0.99632686,0.7402667,0.8680221,0.23453085,0.9053383,0.575746,0.8556848,0.21074894,0.94582534,idle
0.712682,0.17934203,-0.3501938,0.9999177,0.73041546,0.16493478,-0.32792774,0.99977225,0.70632035,0.15846401,-0.329889,0.9998337,0.7410882,0.17589511,-0.17605112,0.99947166,0.69623125,0.16276471,-0.18193054,0.9998329,0.718687,0.20039672,-0.29050782,0.9996317,0.7033165,0.19583417,-0.29278293,0.9998274,0.7467369,0.28076082,-0.086422876,0.9989429,0.64917696,0.24468777,-0.09526574,0.999865,0.73444664,0.38775194,-0.15727648,0.8106836,0.6117259,0.3678314,-0.19307649,0.9782383,0.73002344,0.39296618,-0.39065626,0.7970956,0.70704496,0.39200512,-0.40260082,0.9691862,0.7012368,0.5193837,-0.009785056,0.99898726,0.630406,0.5108771,0.009670557,0.99957734,0.7254355,0.6908546,-0.0019082021,0.9947714,0.56622636,0.65810835,-0.02490569,0.9969198,0.7455598,0.8411534,0.2818982,0.9933292,0.56379896,0.82548136,0.23027842,0.9965483,0.7408947,0.86789626,0.2988581,0.90675366,0.5763446,0.8557008,0.24468854,0.94872814,idle
0.70108455,0.1817063,-0.35304242,0.99992317,0.7175356,0.16651715,-0.332179,0.9997884,0.69366276,0.16065674,-0.3330288,0.9998445,0.72928566,0.17569564,-0.18344352,0.99951565,0.6850455,0.16406263,-0.18314229,0.99984443,0.7069253,0.20123513,-0.29355687,0.99966425,0.69186294,0.19778928,-0.29431328,0.9998415,0.74561584,0.2810195,-0.09825795,0.99902713,0.63526535,0.24527949,-0.0921826,0.99987346,0.7381148,0.3871584,-0.22944054,0.8268598,0.59273255,0.3659143,-0.2075119,0.9787847,0.72862834,0.3890235,-0.49859104,0.8107411,0.68469536,0.38826314,-0.44060105,0.9695166,0.6965986,0.5203068,-0.020596836,0.9990167,0.62285817,0.51113194,0.020470396,0.99959207,0.7205828,0.6896528,-0.020157022,0.995106,0.5610319,0.658894,-0.014884074,0.9970778,0.7452811,0.8415641,0.24460402,0.993733,0.561402,0.82578284,0.23016123,0.9967219,0.7422369,0.86813664,0.2569593,0.90653944,0.57561654,0.85571074,0.24418557,0.9513324,idle
0.6900235,0.18218328,-0.36002013,0.9999292,0.7045248,0.16620916,-0.33922583,0.99980533,0.68128765,0.16138539,-0.3388598,0.99985665,0.717051,0.17451486,-0.1889823,0.999558,0.6713629,0.16492489,-0.18464486,0.9998563,0.6953579,0.2009653,-0.30049855,0.9996948,0.6805571,0.19788429,-0.29993412,0.99985504,0.7423555,0.2797031,-0.09792087,0.999109,0.6238384,0.24747846,-0.09216417,0.99988073,0.7470992,0.39153334,-0.2412267,0.84314686,0.5798471,0.365755,-0.23169227,0.97909707,0.7241181,0.38847336,-0.5173354,0.8264807,0.6663741,0.3809674,-0.5013565,0.96990055,0.6918546,0.5207765,-0.020551588,0.9990409,0.6172403,0.51113874,0.02044998,0.99960864,0.7133069,0.6890277,-0.0073750443,0.9952484,0.556219,0.6603374,-0.018431488,0.9971784,0.74473846,0.84537995,0.23554628,0.99393076,0.5586134,0.82933956,0.2045134,0.9968324,0.7424146,0.8726868,0.2478491,0.9075224,0.57328385,0.85835904,0.21809125,0.95322937,idle
0.6853134,0.1825388,-0.38152796,0.9999343,0.7002692,0.16616386,-0.36255196,0.99982035,0.67780507,0.16180205,-0.36100873,0.99986684,0.71335196,0.17391276,-0.21419601,0.9995956,0.6704277,0.16524807,-0.20455039,0.99986565,0.6917286,0.2007766,-0.32209796,0.99972206,0.6773561,0.19792446,-0.32003012,0.9998666,0.7416438,0.27887067,-0.11729,0.99918425,0.6220764,0.24882294,-0.10540243,0.9998865,0.7486849,0.39428434,-0.2558492,0.8578084,0.5794907,0.36689532,-0.24188837,0.97935873,0.7212094,0.38787413,-0.53057295,0.84129,0.6615659,0.37970808,-0.5149903,0.97020715,0.69069636,0.52101505,-0.019987397,0.9990477,0.6154918,0.51172996,0.01989848,0.99961287,0.711175,0.68958944,-0.006232904,0.99530524,0.55576885,0.66287065,-0.014630656,0.997222,0.7446419,0.8484522,0.23169053,0.99397075,0.55667555,0.8322419,0.20454606,0.9968368,0.74273837,0.8742688,0.24446316,0.90675133,0.5708031,0.86007607,0.21790227,0.95366156,idle
0.6732835,0.18167095,-0.3762618,0.99993986,0.6868496,0.16563484,-0.3566592,0.999836,0.6650046,0.1613379,-0.35279006,0.99987775,0.7026422,0.17287837,-0.20922187,0.9996328,0.65814006,0.16528872,-0.19001585,0.9998757,0.68127406,0.20037161,-0.31811273,0.9997485,0.66659194,0.19718651,-0.31305447,0.9998786,0.7376447,0.2779023,-0.11656574,0.9992598,0.61359483,0.25216636,-0.09257873,0.999892,0.7497152,0.3996722,-0.26750657,0.87162644,0.5719077,0.37031326,-0.2266387,0.97944415,0.70764464,0.37949815,-0.54813755,0.8561631,0.6458342,0.3742863,-0.5241448,0.9709147,0.68759364,0.5230247,-0.023211723,0.9990672,0.61317194,0.51372457,0.0230943,0.99961704,0.70443934,0.6930084,-0.0054960717,0.99522084,0.55267113,0.66290134,-0.042932637,0.99715376,0.7443001,0.85141945,0.24470003,0.9937348,0.5529892,0.832521,0.17795701,0.9965997,0.74389684,0.87485164,0.2600455,0.9008698,0.5678344,0.8600385,0.19226512,0.9514982,idle
0.6603575,0.1810175,-0.39061064,0.9999427,0.6722968,0.1647841,-0.3761133,0.9998449,0.6508144,0.16157494,-0.36744618,0.9998817,0.69000876,0.17114663,-0.23769343,0.99966,0.64678997,0.16656783,-0.19567367,0.99987626,0.6699511,0.200251,-0.3344356,0.9997701,0.65557253,0.19665013,-0.3230992,0.99988633,0.7324513,0.27595967,-0.14556895,0.99932444,0.6069354,0.25423926,-0.08832914,0.9998968,0.7420624,0.39711472,-0.30186957,0.8840095,0.56880605,0.37106368,-0.22924924,0.9790652,0.67419195,0.37477738,-0.5618633,0.8691753,0.6193473,0.36384952,-0.54933083,0.97076166,0.6794568,0.52436024,-0.023072826,0.9990734,0.6080474,0.51518184,0.022966001,0.99961776,0.6981259,0.6951741,-0.027909312,0.9950515,0.55151093,0.66385144,-0.08142716,0.99718064,0.74085385,0.85547614,0.2101408,0.9933491,0.5510639,0.8324104,0.15398885,0.9963638,0.74352205,0.8786779,0.2244797,0.89666075,0.5653808,0.857891,0.1697661,0.949154,idle
0.64522654,0.18081951,-0.28783545,0.9999459,0.6583055,0.1631062,-0.2843743,0.99985486,0.6381146,0.16178899,-0.26191783,0.9998867,0.6789057,0.16898595,-0.22396192,0.99968874,0.6375309,0.16742508,-0.092559114,0.99987656,0.65677077,0.20013925,-0.25117594,0.99979013,0.6428965,0.19629903,-0.22159906,0.99989283,0.72499436,0.27288815,-0.1490826,0.99938315,0.6053613,0.25817668,0.028929513,0.99989885,0.7171427,0.3896148,-0.32670963,0.8951991,0.57236093,0.37465823,-0.11255004,0.9706428,0.6399106,0.3521738,-0.54358387,0.8814158,0.59011245,0.3548266,-0.4948427,0.968981,0.6740856,0.52633536,-0.04863,0.9990863,0.6060266,0.51781607,0.04855652,0.99961644,0.69448215,0.69580877,-0.07651082,0.9950829,0.5500556,0.66494936,-0.06022053,0.99713194,0.7394377,0.8550013,0.12764396,0.9932599,0.5486914,0.8327029,0.14230144,0.9961727,0.74434197,0.87812334,0.1382046,0.89527833,0.56453747,0.857874,0.15412334,0.9494352,idle
0.6223107,0.17800996,-0.16192141,0.99995005,0.6369423,0.16071548,-0.15544446,0.99986684,0.61759675,0.16074175,-0.1344715,0.9998943,0.65654314,0.16684075,-0.08541509,0.99971807,0.6202594,0.16648093,0.014420012,0.9998786,0.6329752,0.19641733,-0.13293281,0.9998083,0.61991984,0.19420856,-0.10548212,0.99989784,0.69046676,0.25858593,-0.13145943,0.9994417,0.6032102,0.26304522,0.16919479,0.9998897,0.6469266,0.35740277,-0.23970182,0.90536267,0.57013077,0.37671784,0.10394955,0.917873,0.5559631,0.30287367,-0.231513,0.8928909,0.5372189,0.33419603,-0.164127,0.9521259,0.6656847,0.52032,-0.074751526,0.99914396,0.6043725,0.5168328,0.07464559,0.9996314,0.68477607,0.6898194,-0.119741224,0.995474,0.5492226,0.660838,-0.048389345,0.99715614,0.73952705,0.8495504,0.026271367,0.99377894,0.54842794,0.8324755,0.11567154,0.99634695,0.7515656,0.87076193,0.03163571,0.89901215,0.5652631,0.85787004,0.12206086,0.95260984,hadouken
0.6141835,0.17754331,-0.21998966,0.9999531,0.6277014,0.16027237,-0.21488214,0.9998767,0.60814774,0.1605737,-0.18814269,0.9998995,0.6469249,0.16606936,-0.1042677,0.9997429,0.61079633,0.16630962,-0.020179387,0.99987143,0.62506884,0.1954286,-0.1915251,0.9998218,0.61136997,0.1940401,-0.15667143,0.99989575,0.67445755,0.25067374,-0.2253658,0.9994926,0.60326535,0.27246562,0.16113958,0.999875,0.6041725,0.3393807,-0.3311961,0.91453266,0.56677496,0.37857392,0.14076489,0.87499934,0.518512,0.287177,-0.35768226,0.90314585,0.5097734,0.32210842,-0.118128344,0.94100964,0.6575409,0.52087396,-0.105889395,0.99919873,0.60185343,0.52045494,0.10569914,0.9996452,0.6790911,0.690046,-0.15770212,0.9957601,0.54940903,0.66102517,0.0043803407,0.99693936,0.74185103,0.8466618,-0.008395734,0.99428177,0.549255,0.83245945,0.15456483,0.99640864,0.7628385,0.8675161,-0.0022802013,0.9060953,0.57030714,0.85786074,0.15724258,0.95582414,hadouken
0.61173904,0.17816472,-0.23926255,0.9999553,0.6254872,0.16019411,-0.2174015,0.99988455,0.6020893,0.1619168,-0.22889753,0.9999036,0.6426113,0.16577336,-0.16853672,0.99976254,0.6001287,0.16835234,-0.05145084,0.99986154,0.622717,0.19550753,-0.22218792,0.99982864,0.6081995,0.19469064,-0.19366844,0.9998885,0.6636713,0.24339256,-0.25114253,0.99953395,0.60340154,0.27539465,0.14524885,0.9998465,0.5769298,0.31220156,-0.36787778,0.9228151,0.55730814,0.37574536,0.17324556,0.8336591,0.491813,0.27147642,-0.4062221,0.91232234,0.49082404,0.32208794,-0.039681308,0.92725426,0.65531766,0.51932937,-0.11513668,0.99922866,0.60212195,0.5194021,0.11493243,0.9996464,0.6760175,0.68657905,-0.1480402,0.99590176,0.55015934,0.6600186,0.011440766,0.9964633,0.74444187,0.84298134,-0.012047584,0.9947212,0.548988,0.83206695,0.1668798,0.99633396,0.76774836,0.8632953,-0.0074172756,0.9125092,0.5703657,0.857847,0.16977166,0.95831263,hadouken
