x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.5247467,0.17429025,-0.24609673,0.999988,0.53302115,0.15901726,-0.22230928,0.9999628,0.5128344,0.15101998,-0.2354588,0.9999782,0.5332298,0.16833016,-0.058845796,0.99988145,0.49219912,0.15337768,-0.15987435,0.9999718,0.52570015,0.19795495,-0.18490183,0.9998417,0.5119703,0.19286305,-0.19948934,0.9998833,0.5323645,0.28720418,0.06685219,0.99946475,0.44620794,0.23545219,-0.18657295,0.9999222,0.5273631,0.42042658,0.14891736,0.3725437,0.4013186,0.31154117,-0.36860377,0.9927919,0.5422249,0.5265268,0.07689563,0.7869582,0.4865333,0.38530418,-0.5301954,0.9904837,0.51057726,0.5382637,0.08407779,0.99957424,0.4472342,0.532623,-0.08416388,0.99963975,0.5271498,0.7131287,0.11927042,0.9832414,0.427423,0.70266545,-0.017564451,0.99876684,0.4973681,0.8867803,0.30821753,0.9939916,0.394196,0.87599427,0.18411256,0.99890745,0.47377157,0.9146028,0.3212084,0.98143446,0.39070696,0.88560337,0.19708803,0.96863204,idle
0.52339023,0.17185098,-0.18214317,0.9999432,0.53038555,0.15836677,-0.15818566,0.99980325,0.5108076,0.15107399,-0.17312711,0.9999081,0.53021014,0.16928463,-0.017000591,0.9991352,0.49033007,0.15461253,-0.09387208,0.999923,0.5229357,0.1949623,-0.1277352,0.999607,0.51013076,0.19095661,-0.14852466,0.9998349,0.5307358,0.28519297,0.09410929,0.9985873,0.44324094,0.24130012,-0.09928571,0.9999202,0.52071095,0.40847954,0.17944631,0.34538054,0.37955832,0.3151395,-0.13778906,0.99262804,0.52592903,0.5207488,0.1220006,0.7176459,0.46299338,0.3863245,-0.1373162,0.98426265,0.5128356,0.52410644,0.07156794,0.9994435,0.45223904,0.52222186,-0.07164259,0.99961936,0.50657696,0.7082353,0.053577133,0.9758983,0.43854752,0.70212466,-0.061248202,0.99673975,0.48932186,0.8874547,0.16800198,0.989735,0.41654745,0.8779522,0.0807401,0.9971322,0.47037092,0.9156667,0.17099881,0.97290593,0.41444296,0.892554,0.08992107,0.9539606,idle
0.5232664,0.1766708,-0.25110668,0.99992496,0.5293227,0.16136762,-0.22630873,0.9997338,0.5079158,0.15365373,-0.2376715,0.9998798,0.5276957,0.17121014,-0.06513365,0.9988242,0.48530477,0.15993562,-0.12450568,0.9999013,0.5212783,0.19810148,-0.18925352,0.9995388,0.50956035,0.1952463,-0.2038898,0.99982256,0.52818096,0.29205707,0.06696151,0.99812,0.4379509,0.24879391,-0.13549145,0.9999185,0.52011156,0.41556728,0.16533661,0.3237627,0.3724679,0.3230056,-0.22425485,0.99228394,0.5244478,0.5238813,0.09299727,0.6597306,0.45047474,0.38951352,-0.329289,0.98000836,0.5117907,0.5294996,0.07295312,0.9993598,0.45240384,0.5256669,-0.07304504,0.99960244,0.49886066,0.7090948,0.056707375,0.971411,0.44481438,0.7081755,-0.062473666,0.99544775,0.48494333,0.8911514,0.17793997,0.98790675,0.42127734,0.8781179,0.09500401,0.9962372,0.4692169,0.9210869,0.18045881,0.9690346,0.4194911,0.8962564,0.101759955,0.94602764,idle
0.5205249,0.17813613,-0.29022074,0.9999113,0.5273216,0.16166285,-0.26401874,0.99968445,0.50305724,0.15590516,-0.2778858,0.9998619,0.5268777,0.17114952,-0.097240485,0.9986257,0.47951174,0.16372785,-0.15975711,0.9998901,0.52039903,0.1994438,-0.22622769,0.9995056,0.5081954,0.19775742,-0.24545327,0.9998203,0.5301715,0.29596415,0.041359223,0.9977844,0.43297425,0.25723693,-0.14701238,0.99991804,0.5203279,0.41936037,0.14831841,0.30983207,0.36462197,0.3304424,-0.2394943,0.9921552,0.5264122,0.5264141,0.0737359,0.61104465,0.43947735,0.39133313,-0.36789912,0.9772286,0.51189935,0.5392664,0.06880914,0.99933517,0.4512034,0.5348494,-0.068934284,0.9996061,0.49671912,0.71491534,0.073157474,0.9705267,0.44461137,0.717063,-0.03072061,0.9947669,0.48553362,0.89498395,0.2295247,0.98762363,0.41854724,0.87866306,0.1587931,0.99579525,0.4693039,0.9264288,0.23582995,0.9679225,0.41906023,0.9036539,0.16856173,0.94201684,idle
0.51438516,0.17732154,-0.29249257,0.99989796,0.52143395,0.16078162,-0.26719737,0.9996388,0.4971997,0.15665637,-0.2801708,0.99984246,0.52403355,0.17120303,-0.10765751,0.99845695,0.47470126,0.16620666,-0.16756901,0.9998774,0.51792824,0.19905749,-0.23134819,0.9994907,0.5033002,0.19750047,-0.24974856,0.99982125,0.53233975,0.29812714,0.018248871,0.9976643,0.42862934,0.26188532,-0.13957715,0.9999164,0.5306765,0.419081,0.11454873,0.31393516,0.35756508,0.33756113,-0.21515179,0.9922647,0.53289664,0.52578604,0.03459096,0.5821905,0.4323144,0.3940635,-0.33413273,0.9752387,0.5111392,0.54468423,0.05926212,0.99933225,0.4491138,0.53996253,-0.059369944,0.9996118,0.4963171,0.7216986,0.07736398,0.9710693,0.43998748,0.71985376,-0.007458323,0.99445295,0.4861269,0.8990523,0.23184319,0.98771787,0.41632515,0.87976813,0.18758634,0.99542105,0.46932372,0.9302332,0.23769107,0.9677896,0.42043877,0.9091952,0.1982375,0.9382475,idle
0.49244398,0.17174913,-0.33685634,0.9999062,0.5025893,0.1565921,-0.31248015,0.99966824,0.47786993,0.15380374,-0.3203045,0.9998538,0.50838554,0.16784266,-0.15345375,0.9985911,0.4619918,0.16475855,-0.19550762,0.99988574,0.49979052,0.19396275,-0.27674916,0.99953806,0.48155135,0.19288653,-0.288907,0.99983764,0.53011394,0.29251003,-0.027840802,0.99788517,0.4132739,0.26385346,-0.1400197,0.999922,0.5370885,0.41663986,0.06778698,0.3750969,0.34158668,0.3425625,-0.1970783,0.9922342,0.5356182,0.5254549,-0.04277663,0.6183023,0.39215997,0.42779726,-0.3551923,0.9737745,0.5086444,0.54797274,0.052665483,0.9993792,0.43884206,0.5414517,-0.05276962,0.99963826,0.49827686,0.7245108,0.08318757,0.97261345,0.43624386,0.72247297,0.0031821392,0.9946346,0.48585376,0.90121144,0.2352668,0.98825586,0.4123283,0.8801525,0.21160439,0.9954467,0.46866792,0.93201935,0.24745217,0.9686098,0.41797572,0.9104683,0.22303525,0.9382144,idle
0.483745,0.17307329,-0.33595964,0.999914,0.49450406,0.15803526,-0.3105165,0.999696,0.46937218,0.15551327,-0.31904468,0.99986476,0.50118554,0.16966051,-0.14827563,0.99871516,0.4540279,0.16690892,-0.19451758,0.9998938,0.49149522,0.195132,-0.27475932,0.99958146,0.47225255,0.19402274,-0.28770506,0.99985266,0.52790123,0.2904568,-0.019373015,0.9980879,0.40602747,0.26570433,-0.13006276,0.99992704,0.5402923,0.4118041,0.0782778,0.43205947,0.33770728,0.35083976,-0.15852472,0.9923216,0.54549795,0.52211744,-0.045118812,0.65212536,0.38138932,0.44175798,-0.3047544,0.9730414,0.5080264,0.55006576,0.053269535,0.9994218,0.43228808,0.54425627,-0.053352814,0.99966,0.5002705,0.7280974,0.09509083,0.9738819,0.43216005,0.72426564,0.004847384,0.99481654,0.48574752,0.9023367,0.25777358,0.988688,0.4091131,0.88219136,0.2110173,0.99544376,0.46824393,0.9330556,0.26567233,0.9694407,0.41363883,0.9117753,0.2224598,0.9381424,idle
0.47719043,0.17468993,-0.3334716,0.9999216,0.48799786,0.15993285,-0.30778047,0.9997231,0.46291345,0.15764128,-0.31493455,0.9998759,0.49564013,0.17153986,-0.14770837,0.9988346,0.44814658,0.1689505,-0.18983865,0.9999023,0.48508173,0.19609782,-0.27353206,0.99962175,0.46543303,0.19502495,-0.28453946,0.99986666,0.5264649,0.29285473,-0.029119482,0.99827373,0.4010617,0.2668887,-0.1195987,0.9999322,0.54231864,0.4114155,0.052377373,0.48556483,0.3345156,0.36042485,-0.15729198,0.99241024,0.55501044,0.518443,-0.08923714,0.684472,0.37056887,0.45356712,-0.32717606,0.9731839,0.5043009,0.5521983,0.04561513,0.99946463,0.42701834,0.5453517,-0.04567018,0.99968326,0.5008576,0.73226297,0.09117431,0.97548246,0.4259724,0.7253689,0.014608741,0.9950003,0.48597583,0.9031265,0.26993215,0.98908854,0.4098947,0.88387924,0.23756698,0.99541557,0.46812588,0.93311185,0.27881366,0.97000134,0.4180889,0.9133078,0.2505184,0.93795294,idle
0.47195798,0.17763908,-0.33939084,0.9999289,0.4834021,0.16286463,-0.31374496,0.9997488,0.4581968,0.16058606,-0.31937182,0.99988705,0.49127573,0.17435884,-0.1561949,0.9989464,0.44372565,0.17117418,-0.18972099,0.9999109,0.48047027,0.198946,-0.28108573,0.99965876,0.4601749,0.1979586,-0.290029,0.9998796,0.52575153,0.2948252,-0.04723929,0.9984411,0.39520922,0.27242798,-0.12235203,0.99993724,0.54294604,0.41328478,0.023241522,0.5333078,0.3308134,0.3743163,-0.172999,0.99238604,0.56018776,0.5173991,-0.12266606,0.71273285,0.36222318,0.47043815,-0.3425624,0.9731248,0.49806562,0.5587639,0.03778048,0.999506,0.42040816,0.5523265,-0.03783199,0.9997057,0.50473857,0.7311413,0.070969746,0.9772345,0.4188551,0.72552806,0.03366291,0.99519765,0.48691854,0.90303236,0.270446,0.9894869,0.4102099,0.8845414,0.28224647,0.9954004,0.46862158,0.93207145,0.28055722,0.9704785,0.4191087,0.9128211,0.2981801,0.9377127,idle
0.47099534,0.1776557,-0.34070018,0.99993515,0.48232165,0.16308615,-0.3151459,0.999771,0.4575563,0.16147937,-0.3209899,0.9998962,0.4893387,0.17506583,-0.1573874,0.9990446,0.44301242,0.17244844,-0.19070813,0.9999176,0.47941342,0.19906306,-0.2821326,0.9996916,0.4598655,0.19826815,-0.2914061,0.999891,0.5256239,0.29621267,-0.046379317,0.9985909,0.3945395,0.2739678,-0.12150363,0.999941,0.54266626,0.41408262,0.03272763,0.5760808,0.33225515,0.37718076,-0.15617102,0.99224466,0.56219536,0.51736444,-0.1046294,0.7381033,0.36273837,0.47250825,-0.33148107,0.9726293,0.49548793,0.56158173,0.035407092,0.99954194,0.41920477,0.5557485,-0.035441794,0.9997247,0.5065949,0.7321016,0.058625657,0.97883874,0.4160362,0.72751343,0.023653094,0.99538934,0.48733416,0.90280384,0.27161437,0.989845,0.40935516,0.8859465,0.2699765,0.9954179,0.46875638,0.9318315,0.28319094,0.9707467,0.41780716,0.91378194,0.28575975,0.93744946,idle
