x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.4651218,0.26292837,-0.103852846,0.9996536,0.45924538,0.24870303,-0.075886466,0.9994529,0.45376605,0.25043443,-0.10587563,0.9996149,0.4465385,0.2583531,0.07655917,0.99871045,0.43588623,0.2596758,-0.079679824,0.9996144,0.4631722,0.28307706,-0.04232732,0.99851835,0.45858365,0.28316054,-0.08025578,0.99869776,0.4626946,0.35980597,0.19129817,0.99747115,0.39139447,0.33638182,-0.12631735,0.9997061,0.4829124,0.47612327,0.06386866,0.3811122,0.38236398,0.43640608,-0.26376313,0.994097,0.49879533,0.39953032,-0.20983315,0.45441568,0.43002096,0.34584272,-0.3460065,0.9839533,0.46838632,0.5912266,0.101643346,0.9995484,0.4096105,0.5877953,-0.10159025,0.999446,0.49320775,0.7417703,0.046467,0.9242839,0.38105786,0.75350547,-0.12130858,0.99138737,0.5103543,0.91182524,0.14806166,0.9735565,0.31039113,0.9070969,-0.019875633,0.99258316,0.49849716,0.94012886,0.15055096,0.9362619,0.28558725,0.9227454,-0.016056018,0.89787614,idle
0.46309915,0.26347917,-0.15497985,0.9996833,0.458788,0.24922147,-0.12845595,0.9995012,0.45126313,0.25067168,-0.15823868,0.9996456,0.44612828,0.25858092,0.02641837,0.9988145,0.42927068,0.2597321,-0.11124446,0.99964595,0.4620492,0.28315222,-0.09570043,0.99865687,0.4566307,0.28326657,-0.13575608,0.9988221,0.46003637,0.36041328,0.14571093,0.99771285,0.3766963,0.33678594,-0.12390997,0.99973184,0.47713703,0.48737076,0.041627068,0.4154919,0.3562486,0.4536587,-0.266877,0.99397796,0.49376082,0.40161476,-0.23500708,0.504717,0.3966085,0.36946258,-0.4018941,0.98503256,0.46362704,0.5914773,0.09544468,0.9995633,0.40083933,0.588361,-0.0954327,0.99947506,0.49083543,0.7433557,0.09243332,0.9255324,0.37340075,0.7538545,-0.15122046,0.9914654,0.50828457,0.91026,0.24808629,0.9735414,0.31079087,0.9069716,-0.050164532,0.99214333,0.4977916,0.93794334,0.2555595,0.9344472,0.28716716,0.9233717,-0.046933852,0.8932822,idle
0.4587484,0.26548615,-0.17260733,0.9997114,0.45534444,0.25015086,-0.14675334,0.9995467,0.447025,0.25109985,-0.17551672,0.9996755,0.44290763,0.2593178,0.0037774425,0.9989181,0.423621,0.25996175,-0.1301071,0.99967617,0.45758843,0.28472266,-0.11449597,0.99878347,0.45219675,0.28421152,-0.15382603,0.9989353,0.4561066,0.36032966,0.1237808,0.9979289,0.37066182,0.33858055,-0.12806122,0.99975276,0.46926802,0.4826652,0.044770062,0.44814423,0.3330961,0.45560706,-0.2893953,0.9940873,0.48843783,0.403865,-0.20852843,0.550773,0.37408414,0.39393216,-0.4719779,0.9860063,0.45417118,0.59157497,0.084755585,0.99958634,0.39329043,0.5903395,-0.08473279,0.99949306,0.48793125,0.7433233,0.0133409,0.93038344,0.3639017,0.75318265,-0.063072875,0.9914608,0.5078827,0.90732604,0.09944025,0.97468746,0.31071252,0.90437925,0.08696504,0.991519,0.49761415,0.9343078,0.100452706,0.9362982,0.28967652,0.9208146,0.09408843,0.88692576,idle
0.45474568,0.26972035,-0.18041152,0.9997359,0.4512515,0.25252655,-0.15286322,0.99958575,0.44313678,0.25332394,-0.18172622,0.9997021,0.43837103,0.26072615,-0.0031178608,0.9990053,0.41924077,0.26206985,-0.13708793,0.99970293,0.453197,0.28824562,-0.12285081,0.9988925,0.44798326,0.2873708,-0.16198933,0.99903566,0.45143571,0.3595438,0.11703215,0.9981119,0.36544648,0.34136474,-0.1312202,0.9997705,0.46869564,0.47583342,0.071235135,0.46789452,0.32142153,0.4585386,-0.29596633,0.9944727,0.4847229,0.40461332,-0.14465728,0.58990246,0.36626998,0.39542362,-0.4605597,0.98715425,0.44714636,0.5917405,0.077513,0.9996077,0.38778755,0.59503627,-0.07746677,0.9994962,0.48251095,0.73943084,-0.109480046,0.93493474,0.35947162,0.75298464,-0.027595058,0.99072385,0.50587696,0.905507,-0.072124526,0.975466,0.3094298,0.9035332,0.13680789,0.9893668,0.4969265,0.9322956,-0.07542206,0.9379819,0.29004002,0.91880935,0.1454226,0.8755923,idle
0.45153952,0.27101362,-0.18952648,0.9997586,0.4475904,0.25348815,-0.16306111,0.9996215,0.43983278,0.25441146,-0.19120546,0.99972755,0.43467098,0.26123804,-0.014987419,0.9990829,0.416004,0.26300666,-0.14690563,0.99972886,0.4497842,0.28907782,-0.13265562,0.99899083,0.44449168,0.28810832,-0.17107448,0.99912727,0.44574744,0.35847265,0.10686471,0.9982704,0.36213613,0.34290105,-0.13736728,0.99978936,0.46036124,0.47351745,0.06868662,0.48184326,0.31665975,0.45863807,-0.29973823,0.994804,0.48343587,0.405361,-0.13980243,0.62478083,0.361646,0.39362714,-0.4573927,0.98822373,0.44177818,0.5918063,0.07774615,0.9996218,0.38224095,0.59667987,-0.07775104,0.999513,0.47568995,0.7415702,-0.015833255,0.9376194,0.356533,0.75328755,-0.02856731,0.99033946,0.50328124,0.9056291,0.047911722,0.9758585,0.3077448,0.9045667,0.1197114,0.98828655,0.49311075,0.9340641,0.046796042,0.9394686,0.29026246,0.918925,0.12726356,0.87022424,idle
0.44796807,0.27188098,-0.19849378,0.9997801,0.4435025,0.25420362,-0.17097287,0.999655,0.43637118,0.25514752,-0.19796354,0.9997515,0.43087706,0.26165074,-0.020416243,0.9991597,0.41276184,0.26396513,-0.14712405,0.99975276,0.44628033,0.28964588,-0.14085838,0.9990822,0.44114622,0.2885338,-0.17765622,0.9992106,0.44029802,0.35797423,0.10213433,0.9984095,0.35904402,0.34404528,-0.13982964,0.99980474,0.45373306,0.47361645,0.077281214,0.49414954,0.31353876,0.45788974,-0.30539078,0.9950941,0.48058158,0.40314248,-0.09710208,0.65583444,0.35833794,0.3919692,-0.45432168,0.98918223,0.43671402,0.5939181,0.07354536,0.99963677,0.37799293,0.6010839,-0.07356624,0.99952143,0.47053298,0.74162567,-0.08022632,0.9412732,0.3548982,0.7577108,-0.026940158,0.98972744,0.5018748,0.90513974,-0.033424653,0.9764655,0.30764776,0.91041857,0.12906414,0.98700213,0.49229008,0.9341148,-0.035634607,0.9404517,0.29175442,0.9258071,0.13754897,0.8632179,idle
0.4454054,0.2723783,-0.19433162,0.9997979,0.44024014,0.25473574,-0.16856882,0.9996828,0.43360552,0.2556569,-0.19549924,0.99977076,0.42744827,0.2621603,-0.020204764,0.9992202,0.4101417,0.26466694,-0.14652762,0.9997722,0.443708,0.28977185,-0.13716862,0.9991599,0.4388744,0.28868762,-0.17392026,0.99928355,0.43887734,0.35716626,0.10051043,0.9985272,0.35567495,0.34397894,-0.13692197,0.9998183,0.4487214,0.47437328,0.053817667,0.5065579,0.31271875,0.45454723,-0.30302715,0.995272,0.4753676,0.4026654,-0.15665515,0.68419045,0.35902378,0.38636363,-0.45890325,0.9900303,0.43426624,0.5940885,0.072022304,0.9996426,0.37331071,0.60172147,-0.07202767,0.9995306,0.4684797,0.741891,-0.03154802,0.9444047,0.35237664,0.7602394,-0.013912837,0.9894996,0.50052017,0.9051376,0.010019978,0.97707045,0.30772114,0.91509587,0.13898137,0.98641247,0.49068785,0.93415284,0.0064531737,0.94180095,0.29525164,0.93285155,0.14699128,0.85926205,idle
0.4428442,0.27264416,-0.22258921,0.99981344,0.43733644,0.2549355,-0.19783182,0.9997061,0.4306231,0.25610358,-0.22479811,0.9997864,0.42502442,0.26234108,-0.046907865,0.9992719,0.40815434,0.26542446,-0.1726107,0.9997877,0.44172454,0.28979275,-0.16364235,0.99923015,0.43678403,0.28873435,-0.20033734,0.9993488,0.4383317,0.35701242,0.07474165,0.99865305,0.3537797,0.3437676,-0.1410019,0.999831,0.44609576,0.47580385,0.016247679,0.52158886,0.3123862,0.45341408,-0.31312534,0.9953723,0.47098762,0.40260276,-0.22425242,0.7099437,0.36055258,0.38312218,-0.48530275,0.990722,0.43416947,0.59411275,0.065587424,0.99964935,0.37234774,0.60144174,-0.065616645,0.9995368,0.47040206,0.74038815,-0.024712445,0.9482393,0.35212535,0.76107514,-0.021607194,0.98931396,0.50062364,0.9043631,0.052689165,0.977761,0.30785117,0.91613275,0.14309926,0.9855463,0.490728,0.92947507,0.052933138,0.9401287,0.29921043,0.9338102,0.15272625,0.8509986,idle
0.44088262,0.27500418,-0.19404463,0.9998263,0.4351894,0.25741377,-0.16977601,0.9997252,0.42910585,0.25839242,-0.19937101,0.9997983,0.42193526,0.2633739,-0.026904946,0.9993144,0.40713024,0.266215,-0.16622914,0.99979866,0.43918777,0.29126132,-0.13812473,0.9992893,0.43471003,0.29005748,-0.17816004,0.99940485,0.4320206,0.35693985,0.09097374,0.9987663,0.35259068,0.34191498,-0.15547909,0.99984133,0.43955737,0.47502473,0.05192399,0.5237965,0.31431043,0.45169955,-0.33459672,0.9954619,0.46611285,0.40396383,-0.15117528,0.732067,0.3665132,0.38161972,-0.48675424,0.9913415,0.43132895,0.5927391,0.06934659,0.9996595,0.3727755,0.60071725,-0.069366194,0.9995359,0.47019258,0.73185307,-0.06778257,0.9513848,0.35351682,0.7591094,-0.025252238,0.9887753,0.49887067,0.90076846,-0.011945011,0.97809345,0.30762893,0.9158091,0.13798715,0.98445904,0.48813772,0.9260913,-0.013024722,0.93983424,0.29986703,0.9333381,0.14765653,0.8446576,idle
0.44007435,0.27719826,-0.15399607,0.9998374,0.4340802,0.26011783,-0.12993418,0.99974036,0.4281691,0.26088074,-0.16011238,0.99980897,0.41996083,0.26418322,0.0014556654,0.999346,0.406789,0.26692322,-0.13861988,0.99980664,0.43783337,0.29261112,-0.1024575,0.99933535,0.43364462,0.29143894,-0.14322919,0.9994518,0.42925858,0.3546778,0.10418415,0.99885607,0.35370046,0.34101334,-0.14424442,0.9998486,0.4352788,0.4714675,0.12140639,0.52104515,0.31513208,0.45031407,-0.32695076,0.9957107,0.46243295,0.40435717,0.006121139,0.74966186,0.36864486,0.3803133,-0.47612602,0.9920188,0.4297173,0.5918836,0.06990895,0.99967676,0.37194008,0.6002636,-0.06992239,0.9995396,0.4688929,0.72394085,-0.15505895,0.9537987,0.35402834,0.7564994,-0.029443478,0.9869405,0.49543795,0.89626336,-0.11724831,0.9779276,0.3078001,0.91504824,0.13404864,0.9817715,0.48493615,0.9213143,-0.11925224,0.93955123,0.30043724,0.9323402,0.14402595,0.8339697,idle
