x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.7197797,0.19949527,-0.29911664,0.9999472,0.73542583,0.18200283,-0.2801499,0.9999018,0.71345353,0.17955826,-0.26923078,0.9998576,0.7524001,0.18824913,-0.13706401,0.9998686,0.7095665,0.18231739,-0.0872599,0.99975747,0.7288414,0.21944539,-0.24298827,0.99991393,0.7136296,0.21578291,-0.22973418,0.99988085,0.7906879,0.2777444,-0.07946712,0.99978447,0.66182387,0.25618917,0.025228526,0.9998468,0.8054326,0.38526282,-0.31380504,0.992741,0.59305274,0.2832875,-0.10134919,0.93551207,0.7493267,0.3108635,-0.6066593,0.9924358,0.58814514,0.2780286,-0.40742174,0.9621602,0.75006115,0.5337018,-0.015849302,0.99973327,0.67121404,0.5271019,0.015789289,0.9998638,0.7995328,0.7014353,-0.07241349,0.9985771,0.6117491,0.68653715,-0.13889804,0.9991365,0.81279534,0.8582021,0.27116424,0.9977171,0.5581191,0.8530826,0.12198959,0.99884075,0.8020312,0.8837844,0.29710335,0.93388224,0.5673057,0.8804061,0.13865775,0.976649,idle
0.7332976,0.19813731,-0.24393837,0.99995035,0.7484823,0.18085791,-0.22836578,0.99990606,0.72719556,0.17823675,-0.21532576,0.9998675,0.765792,0.18810435,-0.105473354,0.9998732,0.7238336,0.18077357,-0.044950772,0.9997763,0.7405824,0.21531437,-0.19527875,0.99991757,0.72679776,0.21241698,-0.17858523,0.99988896,0.8026277,0.2716457,-0.053365223,0.9997768,0.68312407,0.25654513,0.05125957,0.99985635,0.8221017,0.37204853,-0.2511077,0.9929857,0.605987,0.29803404,-0.101168096,0.9410534,0.757245,0.2945365,-0.46514678,0.9922138,0.63988245,0.2636308,-0.36420098,0.9635038,0.76444435,0.5319235,-0.016843203,0.99974185,0.68985164,0.5202803,0.016888907,0.999871,0.7980656,0.70100045,-0.061207138,0.9984403,0.6259225,0.67836565,-0.0975959,0.99910396,0.816542,0.85821366,0.25191477,0.9975138,0.57017547,0.84737396,0.13357238,0.99884987,0.8063358,0.8836941,0.27224433,0.9315476,0.58019084,0.8755493,0.14747417,0.977056,idle
0.7352069,0.18447895,-0.25170264,0.999944,0.7487675,0.16593072,-0.24155287,0.9998885,0.73059,0.16435194,-0.22345409,0.9998591,0.76877475,0.17506476,-0.13904601,0.99984676,0.72968644,0.16874322,-0.057026614,0.9997725,0.7428749,0.20121323,-0.21131293,0.99990433,0.73024666,0.19987297,-0.18764381,0.999881,0.8104908,0.25929078,-0.093921825,0.999736,0.69076,0.25288334,0.038194217,0.9998591,0.8274493,0.3402377,-0.29874444,0.99306977,0.6164777,0.2986331,-0.12120114,0.94547176,0.75733846,0.2573924,-0.5099906,0.9915225,0.6507252,0.23817235,-0.40163675,0.9649671,0.770197,0.5266261,-0.023493651,0.9997477,0.6965582,0.51276636,0.023400998,0.9998764,0.79984367,0.7004592,-0.0534799,0.99830484,0.63566273,0.66852593,-0.063128695,0.99908197,0.81531954,0.8595734,0.18937936,0.99736696,0.59900934,0.8398651,0.14036211,0.99882495,0.8052988,0.88565725,0.20130834,0.9302931,0.612161,0.869444,0.15369609,0.9770322,idle
0.7357798,0.17793846,-0.26857716,0.9999019,0.7499447,0.16016892,-0.26005456,0.9998109,0.7312669,0.1590071,-0.24351533,0.99978673,0.76912534,0.1685937,-0.2108819,0.9997438,0.731208,0.16383475,-0.06268708,0.9997042,0.7452298,0.1962097,-0.24417038,0.99983287,0.7309674,0.19458804,-0.19803545,0.99982375,0.8144323,0.2515508,-0.18654744,0.99962497,0.6955036,0.25113004,0.011698248,0.99985087,0.82779056,0.3151616,-0.42257613,0.9929105,0.6249041,0.29865164,-0.11642245,0.948833,0.7681118,0.23166342,-0.5987779,0.99017936,0.6511865,0.21981142,-0.37044662,0.9667605,0.7716414,0.52060145,-0.037205227,0.9997146,0.6989751,0.5069849,0.037132207,0.9998712,0.7971708,0.6967128,-0.02312604,0.99803597,0.6448479,0.66129136,-0.05915183,0.9990443,0.8140062,0.85864663,0.16305853,0.9971523,0.6357019,0.8315831,0.120936655,0.9987519,0.8044783,0.8854163,0.16971013,0.92751163,0.6485131,0.8627071,0.12959428,0.9772197,idle
0.741737,0.17594244,-0.28057897,0.9998866,0.75676954,0.1584189,-0.270395,0.9997701,0.7342325,0.15765497,-0.25375724,0.9997496,0.77306163,0.16636989,-0.18528014,0.9996962,0.72982705,0.16244766,-0.079968534,0.9996672,0.7515557,0.19329974,-0.2457904,0.9997952,0.7352591,0.19217266,-0.21369362,0.99979687,0.8143687,0.24885558,-0.168032,0.9995342,0.69901615,0.24972199,0.028168414,0.99984,0.8272484,0.30888408,-0.39256048,0.9931336,0.6325199,0.30281612,-0.1048553,0.95207614,0.7655816,0.22562684,-0.5986326,0.99012214,0.6541411,0.2163488,-0.32987398,0.9685837,0.77286994,0.5175312,-0.042409442,0.9996602,0.70134,0.50664645,0.04235679,0.9998635,0.7963099,0.69295824,-0.037689663,0.9979064,0.654837,0.6633083,-0.104729936,0.9990586,0.8137926,0.8583003,0.13298672,0.99698013,0.66568106,0.8339034,0.055440377,0.99874675,0.80400544,0.88512385,0.13924432,0.9259297,0.68269885,0.8651113,0.06180098,0.97801596,idle
0.7390371,0.17621915,-0.2739846,0.99986607,0.75433266,0.15832196,-0.26742938,0.99972904,0.73309475,0.15786035,-0.24616286,0.9997036,0.7729984,0.16595294,-0.18451764,0.9996494,0.7320626,0.16238013,-0.078235336,0.99962485,0.7488023,0.19389452,-0.23997588,0.99975204,0.73370373,0.19260775,-0.20909946,0.9997609,0.81620884,0.24987744,-0.15993246,0.99942607,0.7039516,0.24993739,0.037665028,0.9998278,0.82326764,0.32116616,-0.39070788,0.993021,0.6432439,0.31989306,-0.066220365,0.9524715,0.7677344,0.23321472,-0.5991356,0.9898078,0.66096276,0.22500679,-0.3173434,0.9692605,0.7737244,0.5162699,-0.0449278,0.9995972,0.7037632,0.50687736,0.04492521,0.99985564,0.7970246,0.6930613,-0.03832422,0.9976493,0.6526411,0.6622664,-0.12730834,0.99905884,0.8145936,0.85801834,0.12518917,0.9966655,0.66230434,0.83560467,0.020550596,0.9987064,0.8044155,0.88497376,0.13033356,0.9231468,0.6779283,0.86630386,0.025853831,0.97857,idle
0.7346665,0.1767421,-0.2761159,0.9998518,0.7491616,0.15834658,-0.271952,0.99970233,0.7303585,0.15841112,-0.2497864,0.99966365,0.7704196,0.1655252,-0.19976759,0.9996219,0.73093826,0.16277193,-0.0841518,0.9995855,0.74398816,0.19430695,-0.24244246,0.9997384,0.73039335,0.19314642,-0.21154055,0.9997326,0.81379235,0.2485201,-0.16090053,0.99941194,0.7038824,0.25113508,0.03863972,0.9998164,0.8289312,0.32305166,-0.38195407,0.99286056,0.6562769,0.34784016,-0.032887522,0.94387466,0.76917374,0.23786594,-0.5887597,0.9888157,0.65867585,0.25273308,-0.31361645,0.96734685,0.7702912,0.51666427,-0.04451742,0.9995449,0.70087636,0.50710016,0.044516668,0.99984586,0.7956497,0.69409716,-0.038872376,0.9973923,0.64435506,0.65658116,-0.1733608,0.99906754,0.814247,0.8578042,0.15300794,0.9962739,0.64756304,0.82487136,0.023004854,0.9986163,0.8047922,0.8838632,0.16277932,0.9174486,0.6617682,0.84957165,0.03375699,0.97864157,idle
0.7313216,0.177367,-0.27197075,0.9998485,0.7462438,0.158886,-0.27106297,0.99968845,0.7263325,0.15908273,-0.24620302,0.9996515,0.7662158,0.1656628,-0.19991714,0.9995943,0.7258266,0.16327135,-0.08068551,0.9995815,0.7404912,0.19483083,-0.24077217,0.99972975,0.72661316,0.19369741,-0.206893,0.99972385,0.8130196,0.2476867,-0.15814522,0.9994004,0.6994158,0.25493324,0.046323456,0.99982387,0.8274795,0.32913813,-0.38919494,0.9929561,0.6556093,0.3555838,0.009095612,0.940013,0.76806015,0.24426034,-0.62742865,0.9887316,0.64579487,0.27113715,-0.2510847,0.96712774,0.76762235,0.5172215,-0.04586401,0.99950397,0.6972051,0.50739413,0.045873057,0.9998527,0.79517287,0.69438803,0.012373324,0.99709046,0.63277614,0.6476504,-0.24885133,0.999115,0.81392014,0.8561746,0.26064664,0.99597645,0.6355459,0.81877613,-0.080363445,0.9986302,0.8045516,0.88065034,0.27459747,0.91198057,0.6502428,0.8478535,-0.07266195,0.97937554,idle
0.7225791,0.18888886,-0.2502794,0.9998503,0.7331971,0.1693453,-0.25094825,0.99969554,0.71388733,0.1714458,-0.22472772,0.9996579,0.7552322,0.16987272,-0.18320984,0.99960035,0.71506816,0.1728755,-0.05482003,0.9995916,0.73263824,0.20414244,-0.21867268,0.99973446,0.7209955,0.20667678,-0.18288314,0.99972224,0.8119712,0.24840648,-0.12930092,0.9993865,0.69450784,0.26101333,0.05184369,0.9998234,0.82276237,0.32173344,-0.39074072,0.99274135,0.6428327,0.34610835,-0.015167596,0.94169253,0.7666175,0.2471681,-0.65704924,0.9878602,0.6382065,0.26613718,-0.2665847,0.9685402,0.7659652,0.52138084,-0.046710547,0.9995193,0.69531476,0.50814515,0.046647914,0.99985766,0.7944554,0.69516367,-0.029250914,0.9970332,0.623502,0.65120125,-0.17827705,0.99911916,0.81380546,0.85620594,0.21035984,0.9958931,0.60138786,0.82257754,0.006079827,0.99863315,0.8045324,0.88064295,0.22530642,0.9111298,0.6146468,0.84961563,0.0146374805,0.9799044,idle
0.70494604,0.19304027,-0.25591737,0.9998567,0.7167794,0.17354123,-0.25129834,0.99971,0.69461334,0.17677695,-0.22837377,0.99967366,0.7361481,0.17286658,-0.16468537,0.99961704,0.6950232,0.17872985,-0.054188885,0.99960214,0.71799374,0.2087126,-0.21924007,0.99974513,0.7041084,0.21201068,-0.18812689,0.99972844,0.7922193,0.2516762,-0.12170482,0.9994113,0.6759796,0.26526454,0.047326803,0.99982786,0.81104165,0.32238376,-0.39025876,0.9928617,0.61873245,0.34304178,-0.083559655,0.9448212,0.7529546,0.2490464,-0.6470978,0.9879155,0.6336348,0.2630757,-0.3888498,0.9702475,0.76018417,0.5260324,-0.04587538,0.99954224,0.6870351,0.5139543,0.045826167,0.9998642,0.7904755,0.69821316,-0.021197926,0.9970619,0.61356926,0.6601681,-0.12319349,0.99911153,0.81375396,0.85619646,0.2196377,0.99586374,0.5754801,0.82547337,0.027892139,0.99862856,0.8044051,0.88012004,0.23431237,0.9090793,0.5885053,0.85307395,0.0381051,0.9795884,idle
