x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.5777134,0.14789647,-0.17419414,0.99996,0.5890792,0.12778977,-0.17582479,0.99992514,0.57235605,0.13459235,-0.14999142,0.99989474,0.61017996,0.13246517,-0.1237993,0.9998973,0.57204646,0.142098,-0.0041629653,0.9998054,0.588878,0.1617325,-0.15162463,0.9998542,0.5774125,0.1638379,-0.117672324,0.9998279,0.6616356,0.22520064,-0.118786335,0.99941957,0.554296,0.2394936,0.0788637,0.9997211,0.6389607,0.29811156,-0.26294276,0.9834711,0.4926127,0.30811888,-0.068785995,0.9589561,0.59596646,0.18827608,-0.36722162,0.98662496,0.51636803,0.20382772,-0.343911,0.95877916,0.6305287,0.49935108,-0.05179422,0.99935275,0.5635029,0.4971062,0.051688887,0.99968064,0.6521801,0.67383635,-0.06371579,0.99786025,0.5551412,0.6653343,0.117425606,0.9974496,0.68118596,0.8461734,0.024839062,0.99683136,0.551367,0.8444147,0.25472504,0.99790335,0.6803923,0.8668664,0.023229357,0.9574956,0.5644028,0.873965,0.25970998,0.9778514,idle
0.57780653,0.14899415,-0.1748841,0.99995774,0.58909535,0.12920874,-0.17585954,0.9999187,0.5723614,0.13497184,-0.15088937,0.99988866,0.61027056,0.13405634,-0.120287254,0.99988556,0.5721011,0.14222756,-0.0040905,0.99979055,0.58882177,0.16359062,-0.15048936,0.9998386,0.5773815,0.16560811,-0.11765268,0.9998136,0.6613268,0.22501417,-0.11197362,0.9993801,0.5536798,0.23958787,0.07841053,0.9997179,0.6373008,0.2982199,-0.26018968,0.9829611,0.49337548,0.30854538,-0.07007614,0.9593985,0.59377825,0.19022642,-0.3724937,0.986011,0.5186554,0.20475921,-0.33956975,0.95931304,0.63038605,0.49934942,-0.05176627,0.9993398,0.56340706,0.49708334,0.05166143,0.9996777,0.6515335,0.67338216,-0.062025744,0.9978028,0.555235,0.66542435,0.11663805,0.99734753,0.6809472,0.84570825,0.02677697,0.9967158,0.55125076,0.84441715,0.25422692,0.99781454,0.6801289,0.86604434,0.026682645,0.95625365,0.56434053,0.8740303,0.25929952,0.9771732,idle
0.5778906,0.14900002,-0.15960214,0.99995977,0.58912843,0.12923202,-0.16280997,0.99992234,0.57241344,0.13476834,-0.13662322,0.9998944,0.6103295,0.13411564,-0.11603302,0.9998905,0.5721679,0.14186083,0.0052371584,0.9998002,0.58865887,0.163621,-0.13840681,0.9998438,0.5772954,0.16562933,-0.103927575,0.9998197,0.6607661,0.22280836,-0.11173538,0.9993805,0.5537013,0.23957233,0.085259154,0.9997215,0.63733363,0.297637,-0.24407692,0.982565,0.4960811,0.30886725,-0.06681146,0.9591038,0.5910324,0.19128871,-0.31095576,0.9851838,0.52021587,0.20603062,-0.3331706,0.9598776,0.62993205,0.49637213,-0.056833267,0.9993521,0.56347215,0.49516144,0.05670301,0.9996828,0.65069675,0.67153996,-0.06650671,0.9978413,0.5550635,0.6654967,0.12996669,0.99725485,0.6814022,0.84653676,0.018315945,0.996781,0.55126965,0.84446657,0.2629388,0.9977508,0.6826829,0.8667502,0.0173695,0.95631486,0.56445426,0.8741493,0.26845986,0.97665983,idle
0.57789475,0.14908175,-0.1608652,0.99995774,0.58924437,0.12925954,-0.1662001,0.999917,0.572556,0.1347344,-0.14009191,0.9998902,0.61054146,0.13425675,-0.12381661,0.99988157,0.5726713,0.14144905,-0.004494362,0.9997896,0.5885493,0.16418771,-0.14367083,0.9998291,0.5772113,0.16613154,-0.10954978,0.99980736,0.66050136,0.22357284,-0.11881677,0.9993178,0.5537283,0.23945284,0.07285382,0.99971294,0.6357447,0.29843715,-0.2509481,0.98175263,0.49653587,0.3090902,-0.082868755,0.95867467,0.5896796,0.19420424,-0.33199507,0.98409915,0.52149004,0.20605582,-0.34797865,0.95983654,0.630625,0.49642122,-0.05672998,0.99932396,0.5636667,0.4946404,0.056609225,0.99967855,0.65035564,0.67141044,-0.06531002,0.9978543,0.5550774,0.66360325,0.12943408,0.99719834,0.6814445,0.84655505,0.027747095,0.99682057,0.5513147,0.84400254,0.25340027,0.9977522,0.68356377,0.86676,0.02728572,0.9563751,0.5644625,0.8741625,0.25760084,0.9767148,idle
0.57769865,0.15198056,-0.16641486,0.99995685,0.58926374,0.13174966,-0.17046234,0.9999142,0.5725909,0.13598481,-0.14439142,0.9998884,0.61087525,0.13566545,-0.12688547,0.9998772,0.5730959,0.14165288,-0.004824673,0.9997862,0.5881866,0.16757935,-0.14646439,0.99982154,0.5769393,0.16991745,-0.11204664,0.99980193,0.66049945,0.22439395,-0.12044656,0.9992798,0.5538939,0.23938665,0.0731515,0.99971443,0.6343047,0.30091348,-0.24819103,0.9808004,0.49750814,0.30909076,-0.08085002,0.9587415,0.5892911,0.19570677,-0.30678827,0.98296946,0.5221275,0.20615593,-0.34024602,0.96018404,0.6306964,0.49830243,-0.056549896,0.9993167,0.56363547,0.4969977,0.05643758,0.9996809,0.650642,0.6738024,-0.061337113,0.99787176,0.55507696,0.6667545,0.1353893,0.997182,0.681697,0.8469532,0.034279417,0.9968277,0.5514449,0.84397393,0.28405458,0.99773747,0.683514,0.866851,0.034843586,0.956649,0.5645833,0.87416047,0.29121917,0.97669387,idle
0.57982147,0.15202363,-0.17394055,0.99995714,0.5922284,0.13190794,-0.17410079,0.9999146,0.5743223,0.13609968,-0.15023413,0.99988884,0.6121909,0.13592249,-0.12354566,0.9998778,0.5738104,0.14169674,-0.005467023,0.9997851,0.5903827,0.16762336,-0.14871971,0.99982214,0.57796216,0.17001258,-0.11706786,0.9998013,0.6605832,0.22495332,-0.118551455,0.9992748,0.5540505,0.2394152,0.07322268,0.99971193,0.6334821,0.30109346,-0.26320627,0.98090607,0.49849162,0.30911303,-0.082528025,0.95809764,0.5891618,0.19661777,-0.37601486,0.9832022,0.52210826,0.20708983,-0.35021695,0.9596874,0.6306465,0.49863237,-0.05407213,0.9993295,0.5636401,0.49699065,0.05398937,0.9996869,0.65089405,0.67378265,-0.060496915,0.99788034,0.5548856,0.6672956,0.13441974,0.9972106,0.6816836,0.8484565,0.0419506,0.9968031,0.5514452,0.8445959,0.2759085,0.99773204,0.68208045,0.8709933,0.042428426,0.9566525,0.56472266,0.874695,0.2823779,0.9766062,idle
0.58081686,0.15235071,-0.17428008,0.9999571,0.5933933,0.13265362,-0.17532289,0.9999136,0.57553846,0.13635041,-0.15089722,0.99988896,0.61314356,0.13685247,-0.12650044,0.99987566,0.57478374,0.14171645,-0.006186635,0.99978447,0.5911687,0.1682932,-0.14986154,0.9998176,0.5786162,0.17034028,-0.11755352,0.9997989,0.66128993,0.22636192,-0.11925002,0.9992476,0.5542511,0.2384487,0.07088934,0.999713,0.631743,0.30247524,-0.25399518,0.98045826,0.49889117,0.30973503,-0.08532369,0.95778275,0.58829635,0.19663146,-0.323263,0.9827314,0.5222727,0.20853987,-0.35530722,0.9596544,0.63069826,0.4994416,-0.05303926,0.99932927,0.5636474,0.49734333,0.052960526,0.9996903,0.65108967,0.6741063,-0.055151366,0.9979382,0.5547133,0.6672926,0.1309032,0.9972611,0.68166465,0.8486184,0.049563896,0.9968572,0.5514588,0.84457546,0.2770247,0.9977575,0.68181336,0.87127763,0.05002262,0.9565451,0.5647457,0.87479603,0.28374225,0.97665757,idle
0.58087087,0.15377669,-0.16445197,0.99995625,0.5934163,0.13410504,-0.16818832,0.99991053,0.5758221,0.13706729,-0.14250124,0.99988675,0.61334217,0.13805829,-0.12358415,0.99987006,0.57562786,0.1417349,-0.0026022126,0.9997787,0.5911609,0.16976148,-0.14284274,0.99980795,0.57874477,0.17140125,-0.10917853,0.99979174,0.6609589,0.22714901,-0.115645505,0.99921113,0.5548257,0.23745416,0.07332756,0.99971354,0.6299947,0.30401072,-0.23011255,0.979946,0.49957818,0.30985898,-0.07215337,0.95709515,0.58722395,0.19725674,-0.27882355,0.9822655,0.5222132,0.21007197,-0.33473745,0.9594719,0.63070476,0.4993013,-0.05094052,0.999316,0.56357175,0.49730685,0.05087037,0.9996896,0.6511258,0.6734406,-0.051344216,0.99794114,0.554724,0.6672994,0.12525047,0.9972466,0.68166184,0.84795916,0.05397277,0.9968098,0.5514535,0.8444713,0.27180305,0.9977401,0.68175703,0.8694954,0.05476717,0.955573,0.564859,0.87478024,0.27896103,0.9762975,idle
0.58090335,0.15421318,-0.16536543,0.99995714,0.59375995,0.13457142,-0.1690577,0.99991196,0.5765353,0.1373284,-0.14244777,0.9998894,0.61398005,0.13891481,-0.12385553,0.999871,0.5770529,0.14177553,-0.0014320792,0.9997826,0.59114885,0.1707932,-0.14436269,0.9998091,0.5788209,0.1721695,-0.109844886,0.9997942,0.6611002,0.228796,-0.118971944,0.99919635,0.55544364,0.23774995,0.07830104,0.9997143,0.6300162,0.30484813,-0.2472097,0.98015285,0.49992904,0.3097535,-0.069350734,0.95662355,0.5877317,0.19946308,-0.29358262,0.9824805,0.5204511,0.2133077,-0.33628577,0.9597988,0.63070977,0.49995515,-0.051596362,0.9993137,0.56382763,0.49848443,0.051513545,0.9996909,0.6510421,0.6739644,-0.056317866,0.997993,0.55476254,0.6671402,0.12547179,0.9973016,0.68138146,0.84942055,0.04167416,0.9968903,0.5514572,0.8448445,0.27080518,0.99778205,0.6802951,0.87185055,0.041199625,0.95669496,0.56486905,0.87502974,0.27740553,0.97662556,idle
0.58126444,0.15525563,-0.16705497,0.99995774,0.59448606,0.13568822,-0.17030916,0.9999127,0.577074,0.13796553,-0.14396793,0.9998903,0.61459243,0.13976602,-0.12612781,0.9998734,0.57748467,0.14184713,-0.002240631,0.99978447,0.59132195,0.1715272,-0.14542322,0.99980986,0.5789331,0.17291923,-0.111146055,0.9997954,0.6610738,0.23081535,-0.13039896,0.9991955,0.55555546,0.23757917,0.08120938,0.99971527,0.6289818,0.3063404,-0.25995234,0.9803267,0.5004164,0.30920953,-0.068911485,0.95492613,0.5859932,0.19935443,-0.31442922,0.98244303,0.5195812,0.21438293,-0.33643124,0.95806646,0.6307136,0.50489175,-0.054941617,0.99930507,0.56413513,0.5019038,0.054848976,0.99969363,0.65141267,0.6825001,-0.038198784,0.9980348,0.55473757,0.670262,0.13247477,0.99734443,0.68146664,0.84939903,0.08266303,0.9969294,0.551426,0.8452128,0.2757277,0.99782276,0.68293965,0.87045085,0.08520462,0.9568744,0.5648813,0.8751005,0.28175026,0.97717905,idle
