x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.4643591,0.33182696,-0.26206553,0.9999597,0.4753409,0.31933257,-0.2432334,0.9998994,0.45630637,0.31505927,-0.24753162,0.99993074,0.4835151,0.32702625,-0.11040833,0.99980044,0.4451898,0.32133862,-0.13603829,0.9998901,0.4689939,0.348123,-0.21117604,0.9999163,0.45691252,0.34700695,-0.21824372,0.9999188,0.4986576,0.4083485,-0.015325013,0.999699,0.409185,0.40481636,-0.048764892,0.9998818,0.5169765,0.50183105,-0.07406016,0.9583585,0.3737288,0.5030555,-0.13160679,0.86206603,0.490671,0.48487672,-0.29147127,0.9695885,0.43497935,0.4818945,-0.3186198,0.8688533,0.4895006,0.61456174,0.014958305,0.99959826,0.43354326,0.6150896,-0.015007694,0.9998154,0.49399814,0.7584048,0.06580213,0.9941624,0.41650423,0.7618257,0.009364859,0.986905,0.49863043,0.88516873,0.25250998,0.99416524,0.3960274,0.89194983,0.18529601,0.99516535,0.49097052,0.9019048,0.26284778,0.96007764,0.40445954,0.9090701,0.19515511,0.9524841,idle
0.46429354,0.33141056,-0.2578823,0.99996185,0.47495666,0.31925508,-0.23901653,0.9999033,0.45621276,0.31499642,-0.24278343,0.9999346,0.48401302,0.32705718,-0.10817735,0.9998034,0.4452816,0.3213666,-0.13037442,0.99989855,0.46913847,0.34796655,-0.20760997,0.9999206,0.45681462,0.34665853,-0.21390767,0.9999257,0.5003314,0.40857086,-0.015910022,0.9996952,0.41052598,0.4045976,-0.04608869,0.99989057,0.51813424,0.5034742,-0.080103405,0.9579063,0.3742385,0.50270534,-0.12994996,0.8751587,0.48927146,0.48361167,-0.29822844,0.97010756,0.43535453,0.48216894,-0.31719378,0.88090813,0.490022,0.6141919,0.0137075735,0.99960965,0.43352404,0.61492324,-0.013758026,0.99982136,0.49419922,0.7582498,0.06309952,0.99424696,0.41641068,0.7616553,0.010463922,0.9880489,0.4986917,0.8850879,0.25441927,0.9941752,0.39635998,0.8917038,0.19187269,0.9954064,0.491049,0.9018425,0.26532117,0.9597866,0.40496722,0.9090684,0.20216319,0.95227623,idle
0.46469432,0.33100608,-0.25502983,0.99996346,0.4749495,0.31908125,-0.236419,0.99990577,0.45623356,0.3147726,-0.23991053,0.9999376,0.48413405,0.32700056,-0.107115224,0.99980384,0.4450398,0.32126474,-0.12791213,0.99990577,0.46942535,0.34771872,-0.20533672,0.9999238,0.45720857,0.34617692,-0.21121383,0.9999316,0.501196,0.4083542,-0.018707652,0.99968904,0.4110303,0.40443596,-0.044702657,0.9998982,0.5183273,0.5028704,-0.0883337,0.95737016,0.3748658,0.5025362,-0.12803051,0.8868473,0.48791662,0.4808881,-0.30106336,0.9701753,0.4363258,0.48247114,-0.3161784,0.8915303,0.49062118,0.6139767,0.01278232,0.9996187,0.4337646,0.6148377,-0.012829924,0.9998268,0.49405804,0.7581358,0.060686678,0.99424577,0.41677403,0.76151735,0.010605897,0.98904467,0.49871603,0.88506037,0.25141796,0.99408275,0.39607936,0.89171803,0.19010097,0.99557436,0.4911031,0.90179956,0.26240999,0.95898235,0.4046851,0.90911233,0.20002338,0.95154405,idle
0.46398252,0.33097553,-0.22876242,0.9999652,0.47434157,0.3190839,-0.21032321,0.9999089,0.45597968,0.31479034,-0.21352836,0.99994045,0.48398668,0.32707098,-0.08517055,0.99980754,0.44491273,0.32127568,-0.10439563,0.99991226,0.46895322,0.3477448,-0.18069065,0.9999273,0.45676175,0.3461209,-0.18615909,0.999937,0.5011348,0.4082772,-0.007841624,0.99969447,0.41121584,0.4041671,-0.024476279,0.9999053,0.51853424,0.50255597,-0.08215528,0.9578589,0.375782,0.50204945,-0.102658965,0.8972915,0.48711458,0.47970885,-0.29372793,0.97084755,0.43640924,0.4827757,-0.2817826,0.9010676,0.49090958,0.6127968,0.012212301,0.9996286,0.43386927,0.6140864,-0.012262346,0.9998307,0.49393407,0.75805736,0.055394243,0.99425894,0.4167706,0.7613132,0.010847823,0.9899357,0.49875703,0.8850656,0.2414339,0.99398136,0.39563718,0.8915787,0.18945745,0.99570423,0.49117866,0.90174353,0.25220323,0.9578385,0.403833,0.9089245,0.19885692,0.9502587,idle
0.4629484,0.33091694,-0.23195498,0.9999659,0.4734835,0.31901795,-0.21453878,0.9999091,0.4550569,0.3147801,-0.2160112,0.9999419,0.4837648,0.32707426,-0.091872424,0.99980366,0.44428402,0.3212682,-0.10589342,0.9999169,0.46823302,0.34775746,-0.18460904,0.99992853,0.45580888,0.34602955,-0.1876213,0.99994123,0.50179625,0.40816107,-0.015780186,0.9996831,0.4111127,0.40390316,-0.026291016,0.9999108,0.5185607,0.5019101,-0.09789679,0.95800745,0.37631938,0.5008655,-0.106655166,0.90674484,0.48664355,0.4790743,-0.31353524,0.970852,0.43581218,0.48304686,-0.28285053,0.9097807,0.4907106,0.61248,0.009944402,0.9996311,0.43362004,0.61368793,-0.009993634,0.9998318,0.49382597,0.75800365,0.045794763,0.9942903,0.4167202,0.7601721,0.013488747,0.99074167,0.4987659,0.88504356,0.22915104,0.9939274,0.39565045,0.8907346,0.19021524,0.99584275,0.49112868,0.90172696,0.23928547,0.9569496,0.40401006,0.90831125,0.19971804,0.9497345,idle
0.46232757,0.33092043,-0.23457384,0.99996686,0.47290713,0.31897542,-0.21641536,0.99991,0.45450956,0.31479353,-0.21891025,0.99994355,0.4834211,0.3270789,-0.0948749,0.9998027,0.44385052,0.32136524,-0.10780927,0.99992156,0.467625,0.34788856,-0.18630597,0.99993026,0.45531306,0.34604397,-0.19057855,0.9999452,0.5026685,0.40807244,-0.019225966,0.9996752,0.41107017,0.40388778,-0.027102988,0.99991643,0.51855284,0.5012027,-0.10080969,0.95824784,0.37655854,0.5003391,-0.10777582,0.9153613,0.48624215,0.47840098,-0.30983666,0.970903,0.4359909,0.4830565,-0.28977507,0.9176609,0.490779,0.6122888,0.008976759,0.99964,0.4334484,0.61327106,-0.009031438,0.9998368,0.4937493,0.7581338,0.046537355,0.99431485,0.4166901,0.75995815,0.013565975,0.99150085,0.4987293,0.8850125,0.23275506,0.99390197,0.3957388,0.8906115,0.18930767,0.9959915,0.49090058,0.9017166,0.24372594,0.9562519,0.40412316,0.90821856,0.19867946,0.94927466,idle
0.4618855,0.33095306,-0.24580848,0.9999682,0.47252908,0.31897095,-0.22829516,0.9999123,0.45410576,0.31480244,-0.2299166,0.9999458,0.4832707,0.32708153,-0.10381601,0.9998056,0.4435679,0.32136866,-0.113995686,0.9999265,0.46729723,0.3480417,-0.19701906,0.99993324,0.45488247,0.34608454,-0.20015414,0.99994934,0.5026764,0.40803066,-0.023016362,0.99967486,0.41105646,0.40386707,-0.031253517,0.9999215,0.51839244,0.50111926,-0.1006755,0.9584428,0.3768081,0.49987015,-0.11487873,0.9231783,0.48616832,0.4783837,-0.31106347,0.97112703,0.43604523,0.48313993,-0.30846435,0.92487425,0.49073735,0.61220396,0.008921469,0.9996503,0.43333483,0.6132682,-0.008974219,0.9998413,0.49369588,0.75872165,0.046909217,0.99438584,0.4165902,0.76028216,0.012761863,0.9921949,0.49869305,0.88497984,0.25021297,0.9938826,0.3955934,0.89054435,0.19103627,0.99613243,0.49082455,0.9013924,0.263054,0.95586276,0.40364808,0.908166,0.20134482,0.9488748,idle
0.46162468,0.33093107,-0.23075028,0.9999693,0.47231063,0.31890094,-0.21225138,0.99991465,0.45381266,0.31480178,-0.21475968,0.9999478,0.48316208,0.32707733,-0.08597877,0.9998089,0.44353586,0.32142723,-0.10068923,0.9999308,0.4671319,0.34806135,-0.18202397,0.9999359,0.45456368,0.34608656,-0.18626389,0.9999529,0.50279284,0.40796307,-0.007157963,0.99968624,0.41093588,0.40390673,-0.02396599,0.99992603,0.51925147,0.5009132,-0.09150301,0.9598646,0.37729472,0.49971434,-0.10959301,0.93015283,0.48600015,0.47829258,-0.30812225,0.97192204,0.43602514,0.48341656,-0.30117258,0.93131346,0.4906079,0.61209124,0.010809246,0.9996596,0.43310523,0.6129215,-0.010874004,0.99984354,0.49359432,0.7588333,0.04698441,0.994415,0.4167193,0.76028,0.0034962832,0.9927923,0.49870577,0.8849642,0.24746065,0.9938943,0.39532685,0.8905441,0.18298799,0.996227,0.49085307,0.9013427,0.25947303,0.95544195,0.40241155,0.9081468,0.19359605,0.9472385,idle
0.4614386,0.33083317,-0.24694231,0.9999708,0.4721459,0.31873146,-0.22912724,0.9999183,0.45369548,0.3147138,-0.23091106,0.9999503,0.48295942,0.32707262,-0.10209777,0.99981606,0.4434018,0.32142887,-0.11340233,0.9999352,0.4669578,0.34806225,-0.19776078,0.9999394,0.4544897,0.34598655,-0.20110813,0.9999564,0.5029978,0.4079102,-0.019067746,0.99969524,0.41083807,0.40398905,-0.031936817,0.99993014,0.5195154,0.5014943,-0.104217306,0.961347,0.37767428,0.499917,-0.1170944,0.9363667,0.4856012,0.47822902,-0.32413763,0.9729241,0.4358787,0.48396817,-0.3157429,0.9370438,0.4904979,0.6120684,0.010641242,0.99966764,0.43277135,0.6129046,-0.010704492,0.9998456,0.49358225,0.7588786,0.047195014,0.9945048,0.41644278,0.7604751,0.006667204,0.99335617,0.4988516,0.88551414,0.24725452,0.99393564,0.39511076,0.89074033,0.19287589,0.9963458,0.49093086,0.90171325,0.2590849,0.9553207,0.40204102,0.9081495,0.20380262,0.94659156,idle
0.46132487,0.33002204,-0.24243173,0.9999721,0.47203454,0.31780562,-0.22383702,0.9999214,0.45350593,0.31431988,-0.22542885,0.9999526,0.4828128,0.32686487,-0.09664123,0.99982244,0.44323897,0.32139477,-0.10708423,0.99993926,0.46684813,0.34733602,-0.1935255,0.99994224,0.45435613,0.34519184,-0.19651014,0.9999595,0.50314885,0.407869,-0.016233351,0.99970204,0.410779,0.40425253,-0.028840104,0.9999341,0.5205574,0.50137174,-0.10176675,0.9627924,0.3778724,0.49994123,-0.11541332,0.94189227,0.48449445,0.47808233,-0.3175543,0.9735217,0.43574542,0.48394674,-0.31542656,0.94209313,0.4904526,0.61195546,0.010750441,0.9996762,0.43257493,0.6127282,-0.010816546,0.9998493,0.49354777,0.75895107,0.047219325,0.99453694,0.41643572,0.7601999,0.006926234,0.9938557,0.49894303,0.8856312,0.24650598,0.9939425,0.3950811,0.890928,0.19174446,0.99646294,0.49103227,0.90194297,0.25810066,0.9551087,0.40217996,0.9083345,0.20255491,0.9462667,idle
