x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.43848428,0.21045211,-0.27688554,0.99992675,0.44761077,0.19447643,-0.25064903,0.99987996,0.42707118,0.19002882,-0.27319247,0.99986535,0.44954857,0.2051148,-0.08759064,0.99970376,0.40583873,0.19679166,-0.19446516,0.9998709,0.44056335,0.2317195,-0.21400471,0.9998768,0.42391914,0.22908768,-0.24486403,0.9999168,0.46383867,0.32117325,0.024703521,0.9995758,0.34946004,0.2928541,-0.16235253,0.9998589,0.49833822,0.44327027,-0.113724865,0.93896246,0.3440238,0.41417286,-0.28587088,0.9903549,0.51019734,0.34759513,-0.4101451,0.98168075,0.4250218,0.32864922,-0.36463392,0.98819876,0.4420649,0.5903729,0.046001058,0.9994326,0.369957,0.5866617,-0.04590691,0.99966526,0.4496916,0.76208633,0.1892394,0.97878575,0.34783024,0.77072245,0.016564779,0.99381745,0.4525087,0.92333627,0.4417376,0.98075527,0.32499963,0.93171763,0.22121982,0.98708355,0.43850136,0.9512672,0.45867616,0.9514311,0.33252734,0.9494129,0.23280719,0.8940012,idle
0.4354022,0.21000059,-0.27455255,0.99992985,0.4447004,0.19440651,-0.24777086,0.9998847,0.42415032,0.18959917,-0.2700028,0.9998711,0.44653958,0.20509298,-0.08403595,0.9997159,0.40261483,0.1959756,-0.18945977,0.99987686,0.4378074,0.23144552,-0.21148121,0.99988186,0.42151254,0.22871746,-0.24201162,0.9999207,0.4601106,0.3213377,0.027329424,0.9995842,0.34644806,0.29215354,-0.15726164,0.99986327,0.49388218,0.44448754,-0.10834034,0.94064486,0.33965155,0.41375273,-0.2872393,0.9904888,0.50687355,0.34808952,-0.3971553,0.9821823,0.42061386,0.32860082,-0.38096142,0.9883214,0.4380415,0.5904267,0.045596357,0.9994536,0.3658813,0.5870747,-0.045506537,0.9996842,0.44623995,0.76256734,0.18572779,0.98025733,0.3470506,0.7704958,0.013770516,0.99423146,0.45218334,0.92339534,0.4413809,0.98195916,0.32411537,0.9321931,0.2152431,0.98795134,0.43786588,0.9511835,0.45843077,0.9534291,0.33115146,0.9500784,0.22610816,0.8986942,idle
0.43342242,0.20937638,-0.2709216,0.9999326,0.44310108,0.19412759,-0.24456978,0.9998888,0.42261487,0.18870844,-0.26712507,0.9998766,0.4446649,0.20481719,-0.08287985,0.99972725,0.40015087,0.19467525,-0.18987618,0.99988234,0.43589434,0.23107554,-0.20853917,0.99988574,0.42003927,0.22819427,-0.23952107,0.9999241,0.45876727,0.32157055,0.024911188,0.99958783,0.34402972,0.2915882,-0.15624702,0.9998679,0.4909988,0.44529724,-0.10859277,0.9416018,0.3361385,0.41339105,-0.29934773,0.9905997,0.50419897,0.34917814,-0.3925031,0.9824514,0.41769385,0.32841638,-0.4106318,0.9884455,0.43729383,0.590441,0.042995103,0.99946296,0.36492792,0.58758646,-0.0429033,0.99970245,0.44428357,0.76255673,0.20569877,0.98165727,0.346685,0.7716639,0.010072524,0.99463785,0.45091447,0.9231958,0.47964072,0.98308724,0.32408464,0.9352338,0.18369876,0.9887944,0.4357001,0.9505511,0.49836645,0.9549429,0.33020765,0.95318794,0.19106105,0.9033325,idle
0.43112183,0.20908538,-0.26709732,0.99993443,0.44101816,0.19399732,-0.24065092,0.9998913,0.42040825,0.18816335,-0.26291066,0.99988055,0.44255805,0.20466536,-0.07928204,0.9997343,0.39802116,0.19367142,-0.1849876,0.9998862,0.43390766,0.23093237,-0.20488541,0.9998878,0.41852874,0.22790234,-0.23550716,0.99992657,0.45785713,0.32165432,0.028105685,0.99959,0.34162033,0.29091647,-0.15388677,0.9998719,0.4889408,0.44584516,-0.10565396,0.9429766,0.33348656,0.41236264,-0.2936963,0.9906891,0.50064045,0.3510441,-0.39094254,0.9828377,0.41627932,0.32840174,-0.4135364,0.9885571,0.4368411,0.5887636,0.043249782,0.9994616,0.3642065,0.5875009,-0.043161094,0.9997153,0.44367647,0.7626213,0.19587289,0.9828518,0.34695452,0.771612,-0.0039024497,0.99497336,0.447313,0.92309356,0.45645136,0.98400915,0.3245061,0.93563974,0.1621491,0.9894992,0.43195343,0.9503371,0.47366294,0.95628345,0.3303886,0.9537918,0.16883272,0.90681773,idle
0.43096867,0.20907998,-0.26352403,0.99993676,0.44038263,0.1939974,-0.23712328,0.99989456,0.41949493,0.18814483,-0.2592897,0.99988526,0.4417139,0.20465259,-0.076609574,0.99974203,0.39654028,0.1934057,-0.18182917,0.999891,0.43393773,0.23091926,-0.20168023,0.99989045,0.41855326,0.22787462,-0.23211078,0.99992925,0.4578805,0.32155535,0.030350557,0.9995942,0.33976382,0.2903991,-0.15147081,0.99987644,0.48761415,0.44647974,-0.08872003,0.94396615,0.33153516,0.4115941,-0.28654602,0.9908052,0.4994398,0.3517949,-0.3575183,0.98319066,0.4157206,0.32833976,-0.390695,0.9886659,0.43706912,0.5874887,0.043273635,0.99947107,0.36330453,0.58613414,-0.043185584,0.9997297,0.44299895,0.76261306,0.1910332,0.9839357,0.34748867,0.7714941,-0.0052952124,0.99526644,0.44363552,0.92301196,0.44703332,0.9848567,0.32436186,0.93566686,0.16592166,0.9901254,0.42871967,0.95001614,0.4639135,0.95770293,0.3302593,0.95492965,0.17345147,0.9100176,idle
0.4304207,0.20928329,-0.26184368,0.9999384,0.4398009,0.19413653,-0.23569015,0.9998963,0.41871896,0.18826534,-0.25779435,0.9998888,0.441387,0.20473097,-0.07634221,0.9997452,0.39547384,0.19338755,-0.18146566,0.99989456,0.4333685,0.23103993,-0.20027487,0.9998918,0.41792727,0.22799972,-0.23064463,0.9999312,0.45924807,0.32151142,0.029157218,0.9995899,0.33891636,0.29035693,-0.15014067,0.99988014,0.48683292,0.44830438,-0.09038366,0.94361997,0.33027893,0.41148603,-0.28357846,0.9909499,0.49796295,0.35226557,-0.3616649,0.9832433,0.41464287,0.32834345,-0.37894353,0.98876554,0.43800354,0.58788604,0.040602706,0.9994868,0.36395353,0.5868836,-0.040496845,0.9997434,0.4423698,0.7626136,0.18426105,0.9849571,0.34740978,0.7756599,0.022879085,0.99549,0.4429573,0.9234018,0.44454497,0.9855838,0.32496405,0.9353819,0.23300609,0.9905925,0.42814964,0.95060885,0.46305814,0.95876914,0.3307932,0.95441735,0.24466951,0.91225564,idle
0.43152508,0.21009539,-0.2470663,0.99993896,0.44034034,0.19476369,-0.22162771,0.9998962,0.41947502,0.18890876,-0.24482496,0.9998905,0.4407021,0.20492236,-0.06541236,0.9997438,0.39496985,0.19352184,-0.17561089,0.99989676,0.4342708,0.23138599,-0.186515,0.99989146,0.41903266,0.22829841,-0.21827257,0.9999323,0.45853025,0.32169816,0.03795202,0.9995835,0.33852845,0.29047677,-0.14662513,0.9998831,0.4869513,0.44842666,-0.082434624,0.9423791,0.33174354,0.41241866,-0.27757663,0.99098897,0.49708754,0.3525767,-0.3569526,0.98303056,0.41527167,0.32830366,-0.35552484,0.9887946,0.43824276,0.58801913,0.040779926,0.9994981,0.3642437,0.5870969,-0.040686782,0.9997551,0.44329315,0.76247877,0.1837709,0.9858054,0.34823382,0.7756688,0.018338028,0.995703,0.4421175,0.92354983,0.44015718,0.9862502,0.3245795,0.9353634,0.21628037,0.9910305,0.4273587,0.9508231,0.4580037,0.95994276,0.32932746,0.9544052,0.22655845,0.9145464,idle
0.43277773,0.21167377,-0.22227073,0.9999386,0.44081718,0.19577661,-0.19734016,0.9998952,0.42072004,0.19027942,-0.2215699,0.99989134,0.4390996,0.20529683,-0.046657745,0.999739,0.3952356,0.19414885,-0.1610989,0.9998982,0.43540516,0.23209362,-0.16370451,0.9998897,0.4200684,0.2292259,-0.19664422,0.99993235,0.45935297,0.32194763,0.052168895,0.99957234,0.33809584,0.29156408,-0.13787219,0.9998854,0.48731223,0.44904408,-0.073092915,0.9409697,0.3336543,0.41682974,-0.2553814,0.99109894,0.49645138,0.35262802,-0.34500402,0.9824054,0.416434,0.3291865,-0.3029053,0.98872244,0.43918496,0.58800787,0.041049246,0.99950206,0.3655062,0.5873057,-0.040968187,0.99976385,0.44404238,0.7625188,0.18367136,0.986551,0.3488066,0.77771366,0.0140600605,0.99589306,0.44263116,0.92353046,0.43701053,0.9867745,0.32435483,0.9357424,0.1984325,0.99140084,0.4277738,0.9507622,0.4541584,0.96085066,0.3290139,0.95496666,0.20757684,0.91605693,idle
0.43352714,0.21244945,-0.22824521,0.99993885,0.44092527,0.19609663,-0.20280953,0.9998953,0.42125493,0.19128156,-0.22620085,0.99989253,0.43827733,0.2053873,-0.050019067,0.9997384,0.39497307,0.19532411,-0.16143824,0.9998994,0.436114,0.23261899,-0.16897258,0.999889,0.42078662,0.23011976,-0.20079258,0.9999326,0.45970353,0.32223076,0.050284415,0.99957067,0.33803838,0.2926985,-0.13815668,0.9998872,0.48815522,0.4492958,-0.076360956,0.94096357,0.33497223,0.41889203,-0.25853452,0.99110883,0.49659562,0.35310778,-0.34928975,0.9823634,0.41741243,0.3296481,-0.32855588,0.98868215,0.43980566,0.5874853,0.041299038,0.9994989,0.36628526,0.58719623,-0.041222446,0.9997706,0.44438416,0.7620102,0.18239373,0.9870782,0.3490348,0.7792686,-0.013191367,0.996045,0.44147477,0.9236095,0.43581492,0.9871359,0.32414424,0.9373133,0.15228431,0.9917021,0.42710614,0.95073575,0.45295563,0.9615498,0.32850757,0.95705533,0.15922144,0.9168496,idle
0.4333753,0.21247764,-0.22531989,0.9999393,0.44031268,0.19611178,-0.19991048,0.9998957,0.42047507,0.19132999,-0.22263885,0.99989384,0.43788394,0.20540884,-0.047042873,0.9997384,0.39449564,0.19561931,-0.15481944,0.99990106,0.4360425,0.23265864,-0.16612415,0.9998895,0.42090258,0.23018041,-0.19708449,0.9999332,0.45937246,0.322721,0.05369095,0.99956256,0.33826095,0.29407895,-0.13186482,0.999888,0.48881492,0.4492746,-0.07480642,0.93959105,0.33578762,0.4202587,-0.24858005,0.9911393,0.49723846,0.35312387,-0.3489347,0.9818377,0.41797018,0.3296066,-0.30351,0.98864716,0.44015032,0.58756626,0.04159083,0.9995027,0.36679587,0.5879014,-0.041510526,0.9997764,0.44456798,0.7624455,0.16796051,0.9876235,0.34927577,0.7837612,-0.010243408,0.996192,0.4411358,0.9240967,0.43458018,0.9874143,0.3240077,0.9386199,0.15442054,0.991944,0.42697597,0.9509485,0.45147648,0.9619047,0.3282443,0.9582985,0.1649827,0.91730773,idle
