x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.23763564,0.28040573,-0.051372044,0.99887097,0.2454199,0.26340207,-0.059995215,0.997913,0.2396729,0.26666418,-0.034692816,0.9973591,0.26724443,0.26291412,-0.03638863,0.9974461,0.25280485,0.26858896,0.0836207,0.9954384,0.24867196,0.2897944,-0.03925448,0.9983275,0.24433705,0.29292372,-0.0059536407,0.99676234,0.33386138,0.3188707,0.0042073224,0.9995115,0.2380919,0.34437603,0.13523805,0.9996332,0.37013522,0.42523673,-0.079695486,0.9355757,0.23110196,0.43743053,0.07768245,0.7190736,0.32782724,0.4343013,-0.2050205,0.89616644,0.22379056,0.42081478,-0.14964455,0.86009365,0.3288012,0.53553694,-0.024885003,0.9985076,0.26763457,0.54520583,0.024970386,0.99925655,0.35330436,0.7089941,-0.044317484,0.9793543,0.26734877,0.7235735,0.0024007736,0.98866194,0.3771305,0.86909825,0.063134484,0.9750313,0.26715514,0.88525265,0.11429528,0.98782367,0.36953437,0.8893849,0.06624928,0.8708181,0.27598608,0.90426624,0.11797167,0.8941618,idle
0.24534062,0.28058717,-0.05193598,0.9989435,0.25277317,0.2634249,-0.061461248,0.9980402,0.24692437,0.266779,-0.035122447,0.9975208,0.2740726,0.26287264,-0.041168932,0.9976033,0.25972664,0.2687744,0.08144337,0.9956869,0.25664085,0.28994554,-0.040695604,0.998432,0.25225765,0.29306507,-0.0061806357,0.9969523,0.3420613,0.3189054,-0.008438179,0.9995366,0.24498455,0.34435982,0.13440607,0.9996469,0.37699088,0.42586067,-0.08839922,0.9398278,0.24478094,0.44175714,0.08123445,0.7266592,0.33377266,0.43517798,-0.22661622,0.90308195,0.23175526,0.421772,-0.1449286,0.8673444,0.33466876,0.54051274,-0.025049593,0.9984903,0.2737189,0.5474573,0.025143215,0.999261,0.3571051,0.7095271,-0.040661924,0.98025596,0.26978415,0.72385335,0.0036025369,0.9891183,0.3769243,0.86899674,0.07333606,0.97595674,0.26717266,0.8862518,0.11874988,0.98839533,0.36862597,0.888774,0.07736535,0.87544805,0.27539837,0.90439373,0.12276602,0.89635897,idle
0.25069454,0.28088552,-0.050318014,0.99902165,0.25823313,0.26351586,-0.059902646,0.9981797,0.2526016,0.26716307,-0.033282526,0.9976988,0.27940172,0.26283264,-0.04204241,0.99776685,0.2656958,0.26882422,0.08352016,0.9959914,0.26151368,0.2900348,-0.03836122,0.9985437,0.25699353,0.29312137,-0.0030667954,0.99717057,0.34736973,0.31900898,-0.0017630557,0.99956304,0.25140482,0.34359446,0.13514109,0.9996681,0.38297474,0.4256239,-0.09331058,0.9437101,0.25044453,0.44639513,0.08269783,0.73985916,0.34099036,0.43459746,-0.24594745,0.9100033,0.23945227,0.42271155,-0.1418186,0.8760604,0.34045392,0.5441657,-0.024240855,0.9985163,0.27944463,0.54889107,0.024317522,0.99928653,0.36015633,0.7109073,-0.03866226,0.9808592,0.27341434,0.7245314,0.004218691,0.9895318,0.37603217,0.8692292,0.07671393,0.97660446,0.26744002,0.8878884,0.118465826,0.98893094,0.36661267,0.88891,0.08116341,0.8808826,0.27508625,0.90710235,0.12253742,0.89833766,idle
0.25815347,0.28149822,-0.050409686,0.99909,0.26518497,0.2639089,-0.05929467,0.99830335,0.26021618,0.26757804,-0.03333124,0.9978534,0.28622514,0.26286587,-0.02849717,0.9979011,0.27305275,0.2688447,0.085408725,0.99625295,0.2681062,0.2902431,-0.035715878,0.99863434,0.26405746,0.29327542,-0.0025367285,0.9973586,0.35155854,0.31885144,0.02604413,0.9995885,0.2576608,0.34091005,0.13493417,0.99968976,0.387215,0.42635614,-0.08296382,0.94673187,0.24971735,0.44544283,0.072147675,0.7536406,0.34734285,0.43453595,-0.25154215,0.9159494,0.24410613,0.42184487,-0.15440464,0.8839455,0.34462184,0.5441836,-0.013405308,0.99852705,0.2839654,0.5488174,0.013458505,0.99931455,0.36209306,0.7109488,-0.021327704,0.9810624,0.2767039,0.72388667,-0.023024684,0.99004704,0.3747518,0.8683125,0.0955843,0.97719836,0.26772526,0.8880858,0.07299745,0.9895767,0.36486626,0.8885319,0.10014224,0.88626415,0.27516505,0.90830934,0.074959405,0.9016132,idle
0.26215,0.28088552,-0.046923455,0.9991295,0.27023625,0.26312557,-0.054965537,0.9983799,0.2649588,0.26652774,-0.029648384,0.9979387,0.29187655,0.2626981,-0.02487747,0.99798584,0.2782042,0.2680501,0.091294765,0.99637973,0.2716784,0.28994173,-0.030597886,0.99868846,0.267672,0.2928576,0.0025703288,0.99746376,0.3565399,0.31872648,0.028266704,0.9996041,0.2620688,0.33853707,0.13751827,0.9997028,0.39111418,0.42607075,-0.07923492,0.9484861,0.2582571,0.4405989,0.0733392,0.7579701,0.35192415,0.43425784,-0.24406151,0.91987646,0.25024676,0.4176776,-0.15434304,0.888144,0.3482975,0.5433537,-0.0116835,0.99851197,0.2874213,0.54670733,0.011784289,0.99933666,0.36434376,0.7094359,-0.022268506,0.9808287,0.2808462,0.72150886,-0.036949407,0.9903293,0.3744257,0.86662835,0.0947186,0.9773162,0.2689187,0.88817775,0.048991777,0.9900371,0.36469308,0.88825214,0.09905459,0.890144,0.27535433,0.9098947,0.049360998,0.90355134,idle
0.2670404,0.2780836,-0.058846593,0.9991497,0.2756572,0.26088458,-0.06610912,0.9984086,0.27035946,0.26337662,-0.041023158,0.9979902,0.2972114,0.26211914,-0.03171942,0.99799025,0.2832999,0.2661437,0.087458566,0.9964358,0.27576965,0.28803608,-0.040210765,0.9987071,0.27187577,0.29012105,-0.0072680363,0.9975252,0.36192518,0.31935194,0.01854179,0.9996031,0.26550072,0.33803424,0.1360617,0.99971426,0.3944884,0.4257968,-0.08267218,0.9487625,0.26158702,0.44062296,0.0732543,0.76474464,0.35825366,0.4341245,-0.25599423,0.9214387,0.2555619,0.41735977,-0.16163133,0.8935163,0.35236108,0.543032,-0.01390692,0.998456,0.29087242,0.5462375,0.014013557,0.99935025,0.3671593,0.7094013,-0.023574745,0.98073906,0.2847308,0.72070193,-0.03013507,0.9906233,0.37475473,0.8666051,0.09832296,0.977438,0.2698118,0.88905644,0.06528942,0.99046314,0.36518413,0.888193,0.10297122,0.89322746,0.27583173,0.91196454,0.06675472,0.90535504,idle
0.27002707,0.2770797,-0.048282657,0.9991668,0.27841565,0.26029518,-0.05732891,0.9984125,0.27380288,0.261893,-0.02924775,0.99802285,0.30066332,0.2619534,-0.03233212,0.9979521,0.28764164,0.26496947,0.09642661,0.9964008,0.27805406,0.287501,-0.033710968,0.99868786,0.2748484,0.28880352,0.003095412,0.99754286,0.3657256,0.31929076,0.011643243,0.99959373,0.27065197,0.33778992,0.14877383,0.99972385,0.39739168,0.42571458,-0.102635846,0.95024943,0.26365954,0.44081372,0.08140714,0.77283585,0.3623583,0.43397996,-0.26975688,0.92492354,0.2569874,0.41716036,-0.15662222,0.8998725,0.3559543,0.5429994,-0.022287637,0.9984072,0.29419285,0.54635906,0.022457194,0.99937177,0.37053627,0.7092174,-0.025986608,0.9804133,0.28776976,0.71985143,-0.024668563,0.9907235,0.3752795,0.8666039,0.095731094,0.97664833,0.2725793,0.8889817,0.06948212,0.9907459,0.365259,0.8883324,0.10119097,0.89342463,0.27993748,0.9124517,0.070591874,0.90736943,idle
0.2738834,0.27603462,-0.05303555,0.9992204,0.28220743,0.2594284,-0.06143573,0.9985062,0.27749357,0.26058277,-0.033585787,0.99814516,0.30454364,0.26123518,-0.034736805,0.9980586,0.29148075,0.26365378,0.09299688,0.99659836,0.28175545,0.28679904,-0.03681667,0.9987611,0.27855286,0.2876896,-3.1444135e-05,0.99769163,0.37031728,0.31916925,0.011573965,0.999609,0.2746424,0.336503,0.14649251,0.9997389,0.40228707,0.42566,-0.10185788,0.95291764,0.26762012,0.44077662,0.08252127,0.7834263,0.36577675,0.4338825,-0.26289493,0.9297682,0.25982377,0.41715926,-0.15568167,0.90642655,0.3609945,0.5438108,-0.022326333,0.9984274,0.29895973,0.54663295,0.022499021,0.9994031,0.3735018,0.7097647,-0.020727396,0.98144084,0.2899164,0.71825147,-0.020496769,0.9913003,0.37579224,0.86614805,0.11478581,0.9776678,0.2762938,0.88401675,0.076834805,0.99134725,0.36545974,0.8877389,0.12079058,0.8981954,0.28456232,0.9022955,0.07829718,0.91171074,idle
0.2777008,0.27514178,-0.06908276,0.9992699,0.2863053,0.2586096,-0.075936384,0.99859864,0.28112295,0.25989082,-0.05001815,0.99826217,0.30817062,0.26008067,-0.0355083,0.9981728,0.29423836,0.2626029,0.08365564,0.9968023,0.28587693,0.28600138,-0.049303934,0.9988427,0.28232104,0.28675017,-0.014851257,0.99784905,0.3748332,0.3191036,0.013844358,0.9996281,0.27598175,0.3354755,0.14267035,0.9997532,0.40606165,0.4253941,-0.09717559,0.9551242,0.26882753,0.44074896,0.077047035,0.7931334,0.36875165,0.43412736,-0.27163702,0.93386537,0.2605079,0.4170351,-0.1731704,0.9118684,0.36513695,0.54501444,-0.02036446,0.9984479,0.30218965,0.5475078,0.02051532,0.99942493,0.3757872,0.71057296,-0.023814384,0.98252016,0.29392508,0.7179079,-0.019018004,0.99180937,0.37783876,0.8660079,0.12233545,0.97877055,0.2806581,0.8787344,0.09549834,0.9918665,0.3671098,0.8876028,0.1292769,0.90274614,0.2893185,0.8954517,0.09911542,0.91509455,idle
0.28050068,0.27374098,-0.08754073,0.99930125,0.28933293,0.25725573,-0.09673077,0.99866164,0.28355876,0.25888634,-0.069286756,0.99833786,0.31180203,0.25856122,-0.066214584,0.9982508,0.29701552,0.26153225,0.05983569,0.99691874,0.28939942,0.28465503,-0.07150327,0.99890125,0.28528956,0.28552458,-0.035120856,0.9979481,0.37784413,0.31908065,-0.010224803,0.99963063,0.27898416,0.3351107,0.122230306,0.99975514,0.40936548,0.42518145,-0.11240828,0.9566751,0.27276754,0.44000873,0.057989694,0.7986487,0.36979052,0.43402365,-0.2800152,0.9364411,0.26295146,0.41275257,-0.19705611,0.91523534,0.36741918,0.5458568,-0.020426191,0.99841577,0.3046385,0.5481319,0.020564273,0.9994246,0.3777766,0.71226174,-0.021254422,0.983255,0.29593688,0.7177058,-0.0018814651,0.9921764,0.3779807,0.8660562,0.13536736,0.9794217,0.28398567,0.874658,0.13498913,0.9921797,0.36740988,0.8875821,0.14302753,0.9063296,0.29081482,0.89094436,0.14049146,0.9166123,idle
