x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.3699252,0.08372385,-0.38590336,0.99987775,0.38358828,0.063965306,-0.3651678,0.9997875,0.3538488,0.06391017,-0.36096746,0.9997661,0.39501584,0.07621513,-0.21267883,0.99966145,0.3417297,0.07971438,-0.1938216,0.9995573,0.3809637,0.10368458,-0.32783404,0.99978185,0.35892817,0.104063466,-0.32233697,0.9997631,0.44237447,0.19885309,-0.14136884,0.99971545,0.3057317,0.20377393,-0.08071416,0.99954927,0.46171683,0.3442254,-0.22829413,0.9032924,0.27618,0.35048297,-0.24209717,0.93664604,0.44274655,0.36158565,-0.46860522,0.9140457,0.28495663,0.26555508,-0.6212925,0.9707451,0.41646847,0.5014199,-0.018366769,0.9994238,0.33302218,0.5054962,0.018271124,0.99947375,0.4404552,0.6673928,0.06532115,0.9876727,0.30994734,0.68130225,0.14140867,0.9952963,0.45603782,0.82405347,0.348066,0.98676395,0.31854025,0.81832206,0.47560835,0.99119395,0.4475389,0.8471836,0.36293545,0.9293922,0.33586875,0.8348636,0.5006165,0.93926466,idle
0.36904204,0.08871733,-0.39004296,0.9998757,0.3824877,0.07045622,-0.36927027,0.9997817,0.35341352,0.06958527,-0.365017,0.9997585,0.3932518,0.08258657,-0.21678177,0.9996434,0.34138742,0.08485326,-0.19628152,0.9995305,0.37990364,0.108241715,-0.33190078,0.9997875,0.35798687,0.10797033,-0.32603437,0.9997681,0.44127855,0.20475906,-0.1425357,0.99970734,0.30378783,0.20821606,-0.086299546,0.9995577,0.45962793,0.3511198,-0.23803201,0.9068611,0.27142724,0.35418475,-0.2476737,0.93918264,0.4422524,0.35251343,-0.5037375,0.9163581,0.28261766,0.27517164,-0.6203533,0.97177875,0.41472286,0.50570405,-0.018284377,0.9994201,0.33068734,0.5097018,0.018202642,0.9994759,0.44313413,0.6714485,0.044791106,0.98852485,0.30829635,0.68344057,0.1425968,0.99551207,0.4639365,0.83101314,0.32271805,0.98749673,0.3182512,0.8190459,0.50123733,0.99159116,0.45689654,0.8529799,0.33850455,0.92942536,0.33536538,0.8352793,0.52903265,0.9407458,idle
0.36813378,0.0966477,-0.39713806,0.9998761,0.3814946,0.078754134,-0.37541535,0.9997799,0.35291868,0.077307686,-0.37162048,0.9997525,0.39250517,0.08975139,-0.21914235,0.99963343,0.34110743,0.09139093,-0.2008702,0.99950224,0.37870198,0.11529725,-0.33763748,0.999794,0.35699686,0.11471956,-0.33251634,0.9997728,0.4400881,0.21114787,-0.14502242,0.9997135,0.303252,0.21471705,-0.08868139,0.9995583,0.4573698,0.35468054,-0.27324325,0.91267306,0.2696685,0.35972703,-0.25783762,0.94123757,0.43855166,0.34648043,-0.56661546,0.92170614,0.28117904,0.28458643,-0.63427484,0.97223634,0.41457906,0.5107338,-0.01650564,0.999403,0.33052695,0.5138523,0.016439851,0.9994628,0.44698048,0.67341745,0.045550168,0.989224,0.30851233,0.6834583,0.11240457,0.9956968,0.464642,0.8306539,0.34096524,0.9880137,0.31835157,0.8199796,0.4757356,0.99190325,0.4560576,0.8519443,0.35995588,0.9283091,0.33502954,0.83625346,0.5048643,0.9411311,idle
0.36820748,0.104931995,-0.39308652,0.9998715,0.38168114,0.08620728,-0.37149268,0.99977136,0.35315332,0.085392155,-0.36827552,0.9997325,0.39208394,0.09648691,-0.2152183,0.99961185,0.34112287,0.100593105,-0.19943137,0.9994415,0.37907594,0.123936184,-0.33348757,0.99979484,0.3573566,0.12380111,-0.3290582,0.99977094,0.4405021,0.22090861,-0.14158325,0.9997191,0.30389982,0.22155781,-0.08924419,0.9995557,0.45537958,0.36528906,-0.2717225,0.91564786,0.2705056,0.3685826,-0.25761282,0.94294715,0.43856835,0.3507196,-0.56032157,0.9262976,0.28213692,0.28651306,-0.63129526,0.9725044,0.41436186,0.5198694,-0.010131089,0.9993876,0.3306536,0.5230192,0.010130573,0.9994464,0.4520588,0.67668235,0.04650559,0.98979586,0.30783647,0.6850308,0.11388518,0.9958383,0.4656481,0.82986367,0.34353784,0.9883533,0.31752554,0.82221735,0.4753488,0.99204564,0.4547502,0.85083985,0.36273402,0.92765224,0.33340073,0.83773464,0.5034739,0.9400134,idle
0.37191528,0.118322864,-0.391205,0.9998657,0.38233116,0.09825489,-0.36992872,0.99976283,0.35549006,0.09776383,-0.36744976,0.9997132,0.3925286,0.10788164,-0.2120723,0.9995906,0.34142882,0.11216937,-0.19631508,0.9993903,0.3810733,0.13795082,-0.33096075,0.99979544,0.3610224,0.1371542,-0.32880065,0.9997706,0.440545,0.23337986,-0.13489397,0.99972475,0.30417773,0.23281308,-0.08809145,0.9995548,0.4557255,0.3802305,-0.26814163,0.9165766,0.270833,0.3764713,-0.25719613,0.94442964,0.43993655,0.36302343,-0.55667996,0.9295429,0.28314307,0.29681528,-0.63109726,0.97182107,0.41482073,0.5317974,-0.0054997997,0.9993856,0.33169106,0.53516775,0.0055138976,0.99944395,0.45611912,0.68655175,0.05448399,0.9900559,0.3063888,0.6926039,0.10255959,0.995892,0.46699062,0.8297806,0.382636,0.988253,0.31693572,0.8249856,0.457827,0.9919966,0.4538671,0.85066414,0.4056192,0.92467636,0.33241472,0.8393972,0.48583493,0.937769,idle
0.37727743,0.12955767,-0.38202766,0.99985963,0.38628364,0.109385416,-0.35564318,0.9997547,0.35998034,0.109944835,-0.35642424,0.99969584,0.3954162,0.1201529,-0.19205251,0.99957234,0.34399146,0.12405259,-0.19191682,0.99936384,0.3866399,0.14995652,-0.32073924,0.99979895,0.3670468,0.1492633,-0.32274583,0.9997745,0.44345888,0.24699658,-0.120887235,0.99972904,0.3071264,0.24349764,-0.08963762,0.9995472,0.45649108,0.39087704,-0.2620576,0.91698503,0.27172965,0.37877184,-0.2463152,0.9430909,0.44268197,0.37691507,-0.5648865,0.9300236,0.28704244,0.34367222,-0.56708455,0.9644383,0.41669407,0.5434828,-0.00084655744,0.999379,0.33492526,0.54550624,0.0008830782,0.99942285,0.4613668,0.69785607,0.019450631,0.9902367,0.30684605,0.6981354,0.068997994,0.9958198,0.46838933,0.8306894,0.36768502,0.98788875,0.31705818,0.82817566,0.4320097,0.9918459,0.45356488,0.8505092,0.3902745,0.918548,0.3324553,0.8428708,0.4600852,0.93353885,idle
0.3823921,0.13874298,-0.34842703,0.9998664,0.39190468,0.11978599,-0.32156208,0.9997672,0.36478394,0.12140909,-0.32075727,0.9997052,0.40291753,0.13193707,-0.1622472,0.9995915,0.34875697,0.1361503,-0.15848294,0.99937576,0.39287597,0.15922822,-0.2896839,0.9998104,0.37329024,0.15917788,-0.28899154,0.9997864,0.44932875,0.25961098,-0.09641819,0.9997447,0.3138818,0.25549793,-0.06654193,0.9995404,0.45709047,0.40870398,-0.2099305,0.91629183,0.27312946,0.38860932,-0.2144926,0.9419568,0.44983214,0.396801,-0.5107562,0.93205804,0.29205912,0.35098124,-0.54255074,0.95881987,0.42115918,0.5524766,0.0012333796,0.9993892,0.33913973,0.55339456,-0.0011738256,0.9993947,0.4667173,0.70578915,-0.10386437,0.99062157,0.30720225,0.70429957,0.014857878,0.99577683,0.46818322,0.8309976,0.24600306,0.98782796,0.31683066,0.83169115,0.3760677,0.99164355,0.45339933,0.8504495,0.27117032,0.91507965,0.33206958,0.8472233,0.40323567,0.92839515,idle
0.3912636,0.14486784,-0.35517734,0.9998738,0.4010601,0.12750508,-0.33012122,0.9997798,0.3743974,0.12514855,-0.32845658,0.99971825,0.41106614,0.13982359,-0.17234744,0.99961007,0.35621136,0.1403514,-0.16146077,0.9993988,0.40077153,0.16539983,-0.2965891,0.999822,0.3819243,0.1648356,-0.29395407,0.9997996,0.45417938,0.26480886,-0.104390636,0.9997613,0.3207826,0.25946727,-0.07366443,0.99955165,0.4614857,0.4122287,-0.21810877,0.9185025,0.27914816,0.39799467,-0.22152874,0.9435811,0.4557329,0.40353915,-0.51820606,0.9361813,0.30198556,0.35533425,-0.552867,0.9590648,0.4268004,0.55716616,0.0022530349,0.9993992,0.34500104,0.557483,-0.0022045986,0.99938256,0.47262877,0.7119456,-0.10618808,0.9909388,0.30929533,0.70862156,-0.006454996,0.99575114,0.46841288,0.83198905,0.23677966,0.9876696,0.31627917,0.8326649,0.35173085,0.9914736,0.45308048,0.8507511,0.26146275,0.91158736,0.3307472,0.84817857,0.37886477,0.9238449,idle
0.3952663,0.14213161,-0.41954622,0.99988395,0.40679425,0.12457892,-0.39382598,0.99979746,0.379517,0.123484306,-0.3942762,0.9997399,0.41862875,0.13787846,-0.22615132,0.9996401,0.36127648,0.14070296,-0.22950289,0.9994447,0.40533966,0.16331081,-0.35646552,0.99983704,0.3858203,0.16325484,-0.35733843,0.9998167,0.4601983,0.2635255,-0.1384037,0.9997803,0.32471433,0.2584662,-0.12146386,0.99957895,0.47131792,0.4233656,-0.25647324,0.92398214,0.28438988,0.40210745,-0.27715743,0.94718826,0.45951587,0.3975266,-0.5729955,0.9415645,0.30854565,0.34613353,-0.61779535,0.961735,0.43125755,0.55646604,0.0032783453,0.9994287,0.349625,0.5566544,-0.0032589778,0.9994061,0.47528228,0.71495193,-0.12558816,0.99138016,0.312728,0.7108632,-0.031086933,0.99582183,0.46939436,0.832638,0.24369061,0.987766,0.31614634,0.8322516,0.35637373,0.9914529,0.45289937,0.850972,0.2711752,0.9101712,0.33051744,0.8477935,0.3866288,0.9200419,idle
0.40348896,0.13786449,-0.4057013,0.9998846,0.41436276,0.11977981,-0.38013762,0.9997993,0.38701555,0.11900984,-0.3798744,0.99974155,0.42372322,0.13342221,-0.2162699,0.9996435,0.3684966,0.13571374,-0.21505377,0.9994456,0.4124197,0.16004853,-0.34390917,0.99984324,0.39400813,0.15983872,-0.3438306,0.99982274,0.4672172,0.25973395,-0.13553198,0.99978685,0.32967862,0.25506034,-0.108765244,0.99956864,0.48452774,0.41748127,-0.25910145,0.9266905,0.29144454,0.3984527,-0.27165264,0.9466972,0.4655179,0.39497203,-0.5649205,0.94368035,0.31088108,0.33687693,-0.62145555,0.96072066,0.4367253,0.55256027,0.0025946072,0.99942917,0.3535034,0.5526558,-0.0025797929,0.999398,0.47731146,0.7159923,-0.08707855,0.99164677,0.31544524,0.71229655,0.00092878507,0.9958356,0.47105485,0.8337844,0.26588908,0.9876204,0.31614795,0.83075625,0.38319737,0.9914194,0.45524216,0.8515518,0.27901822,0.90602535,0.33010554,0.8467506,0.41141543,0.91789275,idle
