x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.62906355,0.13138404,-0.34145868,0.9999521,0.6411596,0.11706139,-0.3104871,0.999935,0.61731917,0.10825576,-0.32732013,0.9999111,0.642645,0.12713294,-0.11371195,0.9998964,0.5961851,0.11463854,-0.19279405,0.99989367,0.6317268,0.15291786,-0.26545697,0.999825,0.6149488,0.14910236,-0.28849453,0.99980134,0.64768803,0.24716787,0.050371684,0.99985254,0.54173887,0.2001265,-0.1551536,0.9999647,0.6422167,0.3751755,-0.022783216,0.7174624,0.49458748,0.31232512,-0.31593987,0.9841362,0.6661465,0.3366006,-0.34788647,0.64276797,0.59688836,0.27097556,-0.5611638,0.8932531,0.59729725,0.48321983,0.07187791,0.9992433,0.52890784,0.4785685,-0.07188067,0.99948555,0.62255543,0.66703916,0.021698851,0.8417527,0.5195798,0.6732717,-0.077010676,0.98893934,0.5839888,0.84746164,0.23061828,0.9563609,0.5169962,0.8674595,0.10922861,0.98669964,0.5668097,0.8718555,0.24146172,0.924651,0.51849335,0.9001275,0.11764605,0.9310527,idle
0.60153747,0.14769796,-0.4393088,0.99995667,0.6147916,0.13196804,-0.41226307,0.9999411,0.5902873,0.1262271,-0.4207929,0.9999196,0.6204058,0.14141153,-0.22145681,0.99990606,0.5716002,0.13231687,-0.26488695,0.9999038,0.6073173,0.16699377,-0.36601144,0.9998422,0.58914864,0.16410771,-0.3788019,0.999821,0.6380961,0.25443575,-0.06594413,0.9998639,0.51537335,0.2203601,-0.16748284,0.99996567,0.64146024,0.37961853,-0.19058686,0.74452037,0.47321025,0.31572637,-0.32922378,0.9852754,0.6588384,0.3515792,-0.5735838,0.6780547,0.54950815,0.30288348,-0.64411205,0.903453,0.5814594,0.49317378,0.05272134,0.99927676,0.5088099,0.48701862,-0.052819032,0.9995127,0.6071354,0.6852502,0.051430106,0.8569295,0.47414345,0.67743677,-0.07406815,0.98993266,0.58048797,0.8480783,0.31735796,0.9601649,0.4489004,0.86712474,0.11622288,0.9878381,0.5646868,0.8724259,0.33191818,0.9299622,0.45470682,0.8954603,0.12486182,0.93280655,idle
0.57095134,0.16202474,-0.39200014,0.9999609,0.58424443,0.14609641,-0.36220515,0.9999469,0.55987537,0.14161184,-0.36745256,0.99992746,0.59402406,0.15517117,-0.17982474,0.9999153,0.54479325,0.14769903,-0.20840117,0.99991316,0.5762423,0.18077667,-0.32382002,0.9998579,0.56027794,0.17845728,-0.3314766,0.9998388,0.61786705,0.25619206,-0.05784014,0.9998758,0.49205914,0.23270865,-0.12469454,0.99996525,0.63927066,0.39852017,-0.19800612,0.76945597,0.4561894,0.37548476,-0.3072682,0.9861663,0.6347994,0.36411768,-0.5576872,0.7097843,0.5223209,0.31973737,-0.5984548,0.9124744,0.5617137,0.5128211,0.025623295,0.999336,0.48524934,0.503653,-0.02564528,0.9995493,0.6026531,0.7027113,-0.08678596,0.87115526,0.42613775,0.68153346,-0.08005918,0.9908987,0.5794367,0.84870327,0.23739386,0.9639997,0.39037135,0.86176425,0.15786147,0.9889809,0.5648313,0.8731541,0.25319487,0.9358525,0.3963999,0.89275795,0.17133084,0.9361552,idle
0.54100335,0.17076562,-0.32079214,0.9999647,0.55512536,0.1539322,-0.29083806,0.999952,0.53012574,0.15001088,-0.29559273,0.9999345,0.56507534,0.16135968,-0.11292815,0.9999236,0.5159026,0.15558921,-0.13968453,0.99992156,0.5468023,0.18936925,-0.25366572,0.99987197,0.5305695,0.18742655,-0.2608212,0.9998548,0.5918566,0.2594342,-0.0055340924,0.9998866,0.46575013,0.24239478,-0.03743325,0.9999652,0.6087686,0.40605688,-0.15229334,0.791706,0.43202505,0.3909403,-0.20126268,0.9863945,0.59713227,0.37025422,-0.5093189,0.7382329,0.48010582,0.3446126,-0.53066343,0.920454,0.53835726,0.5312863,0.0140982885,0.99939245,0.46107426,0.52041763,-0.014085124,0.9995862,0.58837456,0.71269304,-0.06662823,0.883978,0.38765627,0.6847802,-0.08707371,0.99178296,0.5803381,0.8544809,0.25434226,0.9674798,0.34063146,0.8505627,0.17010753,0.9900392,0.563084,0.87470084,0.2759846,0.9409517,0.34706298,0.879708,0.18572202,0.94047475,idle
0.5039977,0.17046157,-0.32327795,0.9999681,0.5177678,0.15308037,-0.2953655,0.9999566,0.49381685,0.14848556,-0.2961971,0.9999408,0.5300088,0.16142291,-0.12174734,0.9999309,0.4828732,0.15327813,-0.13005951,0.999929,0.51133555,0.18955493,-0.25815088,0.9998846,0.49480352,0.18639037,-0.25980878,0.99986917,0.56013906,0.26019967,-0.024913987,0.99989575,0.42852265,0.24572235,-0.028690185,0.99996614,0.5688821,0.41285494,-0.17786627,0.81183904,0.39186728,0.38617605,-0.18529405,0.9865526,0.5486369,0.37307405,-0.5240256,0.7637987,0.43319136,0.34486076,-0.52577084,0.92762303,0.50951445,0.53115195,0.0012241921,0.9994376,0.4307198,0.5219715,-0.0013221458,0.9996169,0.5658248,0.7095656,-0.07088743,0.8955223,0.35562614,0.6860064,-0.077805944,0.99257374,0.58287364,0.8553329,0.2506461,0.97061646,0.31204072,0.84667933,0.19303712,0.99098116,0.5675527,0.87596726,0.27223605,0.9443222,0.3186628,0.8706556,0.20999336,0.94428504,idle
0.4689931,0.17334636,-0.38368934,0.9999712,0.4830138,0.15668249,-0.35658494,0.9999608,0.45844635,0.15111452,-0.35825285,0.99994653,0.49456683,0.16424891,-0.17832156,0.9999376,0.44660845,0.15475145,-0.18435594,0.9999358,0.47576314,0.19256191,-0.31584126,0.99989605,0.45897278,0.1887531,-0.3186957,0.99988216,0.5204989,0.2667178,-0.074980825,0.999905,0.39022917,0.24717478,-0.06834145,0.9999679,0.53671396,0.41974652,-0.23366368,0.8303185,0.34522676,0.38253847,-0.19600394,0.98691183,0.517516,0.3734972,-0.57950604,0.78710836,0.37525383,0.34043297,-0.6092843,0.93420076,0.47469822,0.53201175,0.0014544298,0.9994797,0.39685318,0.5272065,-0.0016588571,0.99964577,0.5431355,0.70689434,-0.0875032,0.9059064,0.33068234,0.68837225,-0.081538014,0.9932677,0.57756877,0.8559314,0.23502621,0.9734282,0.3035888,0.8457959,0.21260497,0.99180835,0.564239,0.87681365,0.25462738,0.947112,0.31504267,0.8697789,0.23232369,0.94789356,idle
0.4344185,0.17619053,-0.4030195,0.999974,0.4498201,0.15945601,-0.37391824,0.9999645,0.42438102,0.15427881,-0.3776626,0.99995166,0.4589933,0.16462772,-0.19426551,0.9999435,0.4102446,0.15715572,-0.21167262,0.99994195,0.43874002,0.19421752,-0.33546677,0.99990636,0.42279944,0.19109012,-0.34121647,0.99989384,0.48250413,0.28332773,-0.089712866,0.99991363,0.3517131,0.257317,-0.08000548,0.9999701,0.5106239,0.42250353,-0.2431324,0.8470366,0.29253465,0.38043776,-0.2529382,0.9878663,0.5025989,0.3779864,-0.5909442,0.80818063,0.32881856,0.33788285,-0.6275544,0.94050145,0.4441505,0.5351502,0.0044917655,0.9995192,0.36563054,0.5348694,-0.00473909,0.99967384,0.5171046,0.70525277,-0.098976195,0.91523254,0.30522448,0.69419247,-0.090496436,0.99387735,0.5656243,0.85594064,0.2103866,0.9759442,0.30553037,0.8459971,0.20110874,0.99251705,0.5548849,0.87744236,0.23527813,0.94995844,0.319912,0.868913,0.2225928,0.95089465,idle
0.40536052,0.17782491,-0.40606532,0.99997646,0.4201749,0.16089864,-0.3781844,0.9999676,0.39727885,0.15612586,-0.38260084,0.999956,0.42977706,0.16623838,-0.20344377,0.9999483,0.3820294,0.15870914,-0.2241549,0.99994713,0.40892276,0.19569162,-0.3400505,0.99991554,0.39524865,0.19280373,-0.3465448,0.99990433,0.4552916,0.28579256,-0.096926585,0.99992126,0.320352,0.26178262,-0.08619101,0.99997187,0.49165112,0.4181455,-0.2336668,0.8620074,0.26082486,0.3735872,-0.25378406,0.9887999,0.4883511,0.37734556,-0.57921803,0.82702094,0.28936344,0.33606765,-0.6007547,0.9462022,0.42203927,0.53376853,0.0032199384,0.9995545,0.34355897,0.5340584,-0.0034296527,0.99969745,0.49278885,0.70091367,-0.08854006,0.9236383,0.2957316,0.69762206,-0.08959201,0.99442714,0.5278622,0.8559338,0.21070042,0.97822005,0.30266324,0.8464613,0.2398723,0.99313015,0.5162847,0.8780766,0.23370886,0.95160425,0.31768012,0.86909133,0.26422414,0.9532969,idle
0.3912021,0.16103743,-0.48732942,0.99997836,0.40520892,0.14485338,-0.46235123,0.9999698,0.3792084,0.14013031,-0.46657887,0.9999595,0.41402417,0.15464757,-0.28310856,0.9999515,0.3655251,0.14559044,-0.30483425,0.9999514,0.39833996,0.18056542,-0.41827208,0.99992335,0.37978533,0.17739739,-0.42494616,0.9999136,0.43634897,0.2714325,-0.16052505,0.9999247,0.30492407,0.24588148,-0.17927131,0.99997246,0.47751015,0.39058876,-0.3313051,0.8752929,0.24586567,0.35371068,-0.3585209,0.9896004,0.47106212,0.3426159,-0.7007126,0.8437285,0.2798199,0.3155672,-0.7109755,0.95109534,0.40251556,0.5121516,0.0055719856,0.9995816,0.32793313,0.51413256,-0.0056720707,0.9997152,0.45415345,0.68811125,-0.062135853,0.93105507,0.30071336,0.6885885,0.015769,0.9947692,0.46109575,0.8545187,0.20013125,0.98007554,0.302293,0.8453036,0.3141151,0.9935484,0.44679594,0.87815017,0.21591373,0.95310235,0.31625563,0.8683409,0.33323678,0.9537126,idle
0.3782946,0.1323532,-0.50799084,0.9999802,0.39432266,0.116175465,-0.4827551,0.99997205,0.36629775,0.108233914,-0.48836723,0.9999629,0.40158707,0.12461521,-0.29695958,0.999955,0.3521318,0.11463014,-0.32633805,0.9999557,0.3849113,0.1564724,-0.4361379,0.9999306,0.36599562,0.15154973,-0.4449489,0.999922,0.42106706,0.24446018,-0.15987682,0.9999277,0.29283845,0.21274118,-0.19729216,0.9999731,0.47060317,0.3612932,-0.32311195,0.88745445,0.24245235,0.33370188,-0.3559137,0.9903946,0.4556392,0.30888137,-0.70566833,0.85909534,0.27912483,0.29664776,-0.7064274,0.9557048,0.38490576,0.48274642,0.009054572,0.9995852,0.31044012,0.4833508,-0.009111336,0.9997238,0.4068756,0.6725579,-0.05351265,0.93750185,0.29310697,0.6762846,-0.04072426,0.9950613,0.3881699,0.8473108,0.2084661,0.98137754,0.29447827,0.84336156,0.20991905,0.99383485,0.3727715,0.87444943,0.22437802,0.9534233,0.30787772,0.8679794,0.22530127,0.9528403,idle
